	Naumovozyma_castellii	Saccharomyces_cerevisiae
OG0000514	augustus_masked-HE576752-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.52&CDS=1-1395	YKL194C
OG0000515	augustus_masked-HE576752-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.53&CDS=1-600	YKL196C
OG0000516	augustus_masked-HE576752-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.70&CDS=1-519	YML055W
OG0000517	snap_masked-HE576752-processed-gene-5.116-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-5.116&CDS=1-366	YML058W
OG0000518	augustus_masked-HE576752-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.57&CDS=1-4860	YML059C
OG0000519	augustus_masked-HE576752-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.74&CDS=1-1101	YML060W
OG0000520	augustus_masked-HE576752-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.58&CDS=1-2493	YML061C
OG0000521	genemark-HE576752-processed-gene-5.36-mRNA-1_1&gene=genemark-HE576752-processed-gene-5.36&CDS=1-1911	YHL024W
OG0000522	augustus_masked-HE576752-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.77&CDS=1-2727	YLL026W
OG0000523	augustus_masked-HE576752-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.78&CDS=1-876	YLL027W
OG0000524	augustus_masked-HE576752-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.59&CDS=1-2439	YLL032C
OG0000525	genemark-HE576752-processed-gene-5.40-mRNA-1_1&gene=genemark-HE576752-processed-gene-5.40&CDS=1-678	YLL033W
OG0000526	augustus_masked-HE576752-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.60&CDS=1-2571	YLL034C
OG0000527	genemark-HE576752-processed-gene-5.41-mRNA-1_1&gene=genemark-HE576752-processed-gene-5.41&CDS=1-3339	YLL035W
OG0000528	snap_masked-HE576752-processed-gene-5.105-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-5.105&CDS=1-10104	YLL040C
OG0000529	snap_masked-HE576752-processed-gene-5.106-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-5.106&CDS=1-372	YLL042C
OG0000530	augustus_masked-HE576752-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-5.81&CDS=1-2037	YLL043W
OG0000531	snap_masked-HE576752-processed-gene-6.2-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.2&CDS=1-417	YPR200C
OG0000532	augustus_masked-HE576752-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.94&CDS=1-1239	YPR201W
OG0000533	augustus_masked-HE576752-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.96&CDS=1-870	YHR209W
OG0000534	augustus_masked-HE576752-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.97&CDS=1-1632	YBR008C
OG0000535	augustus_masked-HE576752-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.114&CDS=1-1233	YIL160C
OG0000536	augustus_masked-HE576752-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.98&CDS=1-1017	YKR100C
OG0000537	augustus_masked-HE576752-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.115&CDS=1-2259	YKR099W
OG0000538	augustus_masked-HE576752-processed-gene-6.116-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.116&CDS=1-1656	YKR097W
OG0000539	snap_masked-HE576752-processed-gene-6.31-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.31&CDS=1-246	YKR095W-A
OG0000540	augustus_masked-HE576752-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.120&CDS=1-1833	YKR093W
OG0000541	augustus_masked-HE576752-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.100&CDS=1-1116	YKR092C
OG0000542	snap_masked-HE576752-processed-gene-6.34-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.34&CDS=1-1797	YKR090W
OG0000543	augustus_masked-HE576752-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.102&CDS=1-996	YKR088C
OG0000544	augustus_masked-HE576752-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.103&CDS=1-1041	YKR087C
OG0000545	augustus_masked-HE576752-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.122&CDS=1-3342	YKR086W
OG0000546	augustus_masked-HE576752-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.123&CDS=1-2490	YKR079C
OG0000547	augustus_masked-HE576752-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.105&CDS=1-441	YKR083C
OG0000548	augustus_masked-HE576752-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.124&CDS=1-3423	YKR082W
OG0000549	augustus_masked-HE576752-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.125&CDS=1-1557	YKR080W
OG0000550	augustus_masked-HE576752-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.107&CDS=1-1053	YOR075W
OG0000551	augustus_masked-HE576752-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.126&CDS=1-1824	YKR084C
OG0000552	augustus_masked-HE576752-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.127&CDS=1-660	YGR201C
OG0000553	augustus_masked-HE576752-processed-gene-6.129-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.129&CDS=1-1104	YKR076W
OG0000554	augustus_masked-HE576752-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.131&CDS=1-876	YBL010C
OG0000555	snap_masked-HE576752-processed-gene-6.22-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.22&CDS=1-2433	YBL009W
OG0000556	augustus_masked-HE576752-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.110&CDS=1-2448	YBL008W
OG0000557	augustus_masked-HE576752-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.47&CDS=1-3705	YBL007C
OG0000558	snap_masked-HE576752-processed-gene-7.4-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-7.4&CDS=1-510	YBL006C
OG0000559	snap_masked-HE576752-processed-gene-7.6-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-7.6&CDS=1-1404	YGL012W
OG0000560	augustus_masked-HE576752-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.49&CDS=1-2580	YLR347C
OG0000561	augustus_masked-HE576752-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.68&CDS=1-906	YLR348C
OG0000562	augustus_masked-HE576752-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.50&CDS=1-2556	YLR352W
OG0000563	augustus_masked-HE576752-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.52&CDS=1-3708	YPL012W
OG0000564	augustus_masked-HE576752-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.71&CDS=1-1062	YPL011C
OG0000565	genemark-HE576752-processed-gene-7.87-mRNA-1_1&gene=genemark-HE576752-processed-gene-7.87&CDS=1-654	YPL010W
OG0000566	snap_masked-HE576752-processed-gene-7.13-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-7.13&CDS=1-1968	YPR007C
OG0000567	genemark-HE576752-processed-gene-7.89-mRNA-1_1&gene=genemark-HE576752-processed-gene-7.89&CDS=1-1662	YPR006C
OG0000568	augustus_masked-HE576752-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.55&CDS=1-1071	YPR005C
OG0000569	augustus_masked-HE576752-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.74&CDS=1-1725	YER165W
OG0000570	augustus_masked-HE576752-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.75&CDS=1-4371	YER164W
OG0000571	augustus_masked-HE576752-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.56&CDS=1-1137	YMR021C
OG0000572	genemark-HE576752-processed-gene-7.92-mRNA-1_1&gene=genemark-HE576752-processed-gene-7.92&CDS=1-711	YER163C
OG0000573	augustus_masked-HE576752-processed-gene-7.58-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.58&CDS=1-2337	YER162C
OG0000574	augustus_masked-HE576752-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.59&CDS=1-1047	YER161C
OG0000575	augustus_masked-HE576752-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.60&CDS=1-360	YER159C
OG0000576	augustus_masked-HE576752-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.62&CDS=1-1944	YER158C
OG0000577	augustus_masked-HE576752-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.76&CDS=1-2532	YER157W
OG0000578	augustus_masked-HE576752-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.63&CDS=1-1017	YER156C
OG0000579	augustus_masked-HE576752-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.64&CDS=1-6378	YER155C
OG0000580	augustus_masked-HE576752-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.78&CDS=1-1152	YER154W
OG0000581	augustus_masked-HE576752-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.65&CDS=1-4851	YER151C
OG0000582	augustus_masked-HE576752-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.79&CDS=1-927	YDR075W
OG0000583	augustus_masked-HE576752-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.66&CDS=1-1260	YER149C
OG0000584	augustus_masked-HE576752-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.80&CDS=1-756	YER148W
OG0000585	augustus_masked-HE576752-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.67&CDS=1-1884	YER147C
OG0000586	augustus_masked-HE576752-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-7.81&CDS=1-270	YER146W
OG0000587	augustus_masked-HE576752-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.0&CDS=1-1248	YER145C
OG0000588	augustus_masked-HE576752-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.5&CDS=1-1272	YER143W
OG0000589	augustus_masked-HE576752-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.4&CDS=1-1338	YDL084W
OG0000590	snap_masked-HE576752-processed-gene-8.74-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-8.74&CDS=1-939	YMR144W
OG0000591	augustus_masked-HE576752-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.26&CDS=1-321	YDL081C
OG0000592	genemark-HE576752-processed-gene-8.127-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.127&CDS=1-1875	YDL080C
OG0000593	snap_masked-HE576752-processed-gene-8.78-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-8.78&CDS=1-1134	YMR139W
OG0000594	genemark-HE576752-processed-gene-8.129-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.129&CDS=1-1029	YDL078C
OG0000595	augustus_masked-HE576752-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.8&CDS=1-786	YLR040C
OG0000596	augustus_masked-HE576752-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.9&CDS=1-2991	YLR039C
OG0000597	snap_masked-HE576752-processed-gene-8.58-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-8.58&CDS=1-246	YLR038C
OG0000598	snap_masked-HE576752-processed-gene-8.59-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-8.59&CDS=1-2136	YLR035C
OG0000599	augustus_masked-HE576752-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.11&CDS=1-1428	YLR034C
OG0000600	augustus_masked-HE576752-processed-gene-8.29-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.29&CDS=1-1452	YLR033W
OG0000601	augustus_masked-HE576752-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.30&CDS=1-7137	YMR128W
OG0000602	augustus_masked-HE576752-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.32&CDS=1-1785	YNL008C
OG0000603	augustus_masked-HE576752-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.14&CDS=1-1263	YLR027C
OG0000604	augustus_masked-HE576752-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.15&CDS=1-1131	YLR026C
OG0000605	augustus_masked-HE576752-processed-gene-8.33-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.33&CDS=1-717	YLR025W
OG0000606	genemark-HE576752-processed-gene-8.115-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.115&CDS=1-609	YKL141W
OG0000607	augustus_masked-HE576752-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.17&CDS=1-1791	YKL140W
OG0000608	genemark-HE576752-processed-gene-8.117-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.117&CDS=1-1560	YKL139W
OG0000609	augustus_masked-HE576752-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.34&CDS=1-558	YKL138C
OG0000610	augustus_masked-HE576752-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.19&CDS=1-333	YKL137W
OG0000611	augustus_masked-HE576752-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.35&CDS=1-2166	YKL135C
OG0000612	augustus_masked-HE576752-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.36&CDS=1-2319	YKL134C
OG0000613	augustus_masked-HE576752-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.37&CDS=1-1317	YMR113W
OG0000614	augustus_masked-HE576752-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.38&CDS=1-735	YKL130C
OG0000615	augustus_masked-HE576752-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.39&CDS=1-3696	YMR109W
OG0000616	genemark-HE576752-processed-gene-8.142-mRNA-1_1&gene=genemark-HE576752-processed-gene-8.142&CDS=1-891	YKL128C
OG0000617	augustus_masked-HE576752-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.41&CDS=1-327	YMR107W
OG0000618	augustus_masked-HE576752-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.22&CDS=1-2745	YKL125W
OG0000619	augustus_masked-HE576752-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.23&CDS=1-1719	YKL124W
OG0000620	augustus_masked-HE576752-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-8.42&CDS=1-471	YKL122C
OG0000621	augustus_masked-HE576752-processed-gene-9.126-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.126&CDS=1-2553	YMR102C
OG0000622	augustus_masked-HE576752-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.127&CDS=1-969	YKL120W
OG0000623	augustus_masked-HE576752-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.130&CDS=1-636	YKL119C
OG0000624	augustus_masked-HE576752-processed-gene-9.128-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.128&CDS=1-714	YKL117W
OG0000625	augustus_masked-HE576752-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.131&CDS=1-1587	YKL116C
OG0000626	augustus_masked-HE576752-processed-gene-9.132-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.132&CDS=1-1077	YKL114C
OG0000627	augustus_masked-HE576752-processed-gene-9.157-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.157&CDS=1-936	YKL110C
OG0000628	augustus_masked-HE576752-processed-gene-9.134-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.134&CDS=1-1101	YKL108W
OG0000629	augustus_masked-HE576752-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.135&CDS=1-1326	YNR029C
OG0000630	augustus_masked-HE576752-processed-gene-9.159-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.159&CDS=1-987	YNR027W
OG0000631	augustus_masked-HE576752-processed-gene-9.136-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.136&CDS=1-1764	YNR026C
OG0000632	augustus_masked-HE576752-processed-gene-9.137-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.137&CDS=1-447	YNR022C
OG0000633	augustus_masked-HE576752-processed-gene-9.138-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.138&CDS=1-687	YNR020C
OG0000634	augustus_masked-HE576752-processed-gene-9.162-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.162&CDS=1-669	YNR018W
OG0000635	augustus_masked-HE576752-processed-gene-9.163-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.163&CDS=1-648	YNR017W
OG0000636	augustus_masked-HE576752-processed-gene-9.139-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.139&CDS=1-786	YMR206W
OG0000637	augustus_masked-HE576752-processed-gene-9.140-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.140&CDS=1-1140	YNR015W
OG0000638	maker-HE576752-snap-gene-9.62-mRNA-1_1&gene=maker-HE576752-snap-gene-9.62&CDS=1-2616	YNR013C
OG0000639	augustus_masked-HE576752-processed-gene-9.164-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.164&CDS=1-1407	YNR012W
OG0000640	maker-HE576752-augustus-gene-9.56-mRNA-1_1&gene=maker-HE576752-augustus-gene-9.56&CDS=1-3375	YNR011C
OG0000641	augustus_masked-HE576752-processed-gene-9.165-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.165&CDS=1-459	YNR010W
OG0000642	augustus_masked-HE576752-processed-gene-9.167-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.167&CDS=1-789	YNR009W
OG0000643	augustus_masked-HE576752-processed-gene-9.143-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.143&CDS=1-1572	YKL045W
OG0000644	augustus_masked-HE576752-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.144&CDS=1-1563	YKL043W
OG0000645	snap_masked-HE576752-processed-gene-9.86-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-9.86&CDS=1-906	YKL042W
OG0000646	augustus_masked-HE576752-processed-gene-9.146-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.146&CDS=1-2238	YKL039W
OG0000647	augustus_masked-HE576752-processed-gene-9.147-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.147&CDS=1-3423	YKL038W
OG0000648	maker-HE576752-snap-gene-9.63-mRNA-1_1&gene=maker-HE576752-snap-gene-9.63&CDS=1-2961	YKL034W
OG0000649	augustus_masked-HE576752-processed-gene-9.149-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.149&CDS=1-3183	YKL033W
OG0000650	augustus_masked-HE576752-processed-gene-9.169-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.169&CDS=1-1665	YKL032C
OG0000651	augustus_masked-HE576752-processed-gene-9.171-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.171&CDS=1-1977	YKL029C
OG0000652	augustus_masked-HE576752-processed-gene-9.150-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.150&CDS=1-1413	YKL028W
OG0000653	maker-HE576752-augustus-gene-9.58-mRNA-1_1&gene=maker-HE576752-augustus-gene-9.58&CDS=1-2163	YBR291C
OG0000654	augustus_masked-HE576752-processed-gene-9.172-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.172&CDS=1-951	YBR290W
OG0000655	augustus_masked-HE576752-processed-gene-9.173-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.173&CDS=1-2799	YBR289W
OG0000656	augustus_masked-HE576752-processed-gene-9.153-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.153&CDS=1-3930	YKR009C
OG0000657	augustus_masked-HE576752-processed-gene-9.174-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.174&CDS=1-234	YHR001W-A
OG0000658	augustus_masked-HE576752-processed-gene-9.175-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.175&CDS=1-1800	YKR008W
OG0000659	augustus_masked-HE576752-processed-gene-9.176-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.176&CDS=1-522	YKR007W
OG0000660	augustus_masked-HE576752-processed-gene-9.154-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.154&CDS=1-747	YKR006C
OG0000661	augustus_masked-HE576752-processed-gene-9.155-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.155&CDS=1-1773	YKR005C
OG0000662	augustus_masked-HE576752-processed-gene-9.156-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.156&CDS=1-1212	YKR004C
OG0000663	augustus_masked-HE576752-processed-gene-9.178-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-9.178&CDS=1-1743	YKR002W
OG0000664	augustus_masked-HE576752-processed-gene-10.57-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.57&CDS=1-2166	YKR001C
OG0000665	augustus_masked-HE576752-processed-gene-10.58-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.58&CDS=1-606	YKL001C
OG0000666	augustus_masked-HE576752-processed-gene-10.62-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.62&CDS=1-699	YKL002W
OG0000667	snap_masked-HE576752-processed-gene-10.6-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.6&CDS=1-1470	YKL090W
OG0000668	augustus_masked-HE576752-processed-gene-10.63-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.63&CDS=1-1626	YKL089W
OG0000669	snap_masked-HE576752-processed-gene-10.35-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.35&CDS=1-2679	YHL007C
OG0000670	snap_masked-HE576752-processed-gene-10.36-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.36&CDS=1-4284	YKL010C
OG0000671	augustus_masked-HE576752-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.64&CDS=1-1350	YHL002W
OG0000672	augustus_masked-HE576752-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.65&CDS=1-2625	YGL163C
OG0000673	augustus_masked-HE576752-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.66&CDS=1-1236	YGL164C
OG0000674	augustus_masked-HE576752-processed-gene-10.91-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.91&CDS=1-873	YGL166W
OG0000675	snap_masked-HE576752-processed-gene-10.13-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.13&CDS=1-2277	YGR003W
OG0000676	augustus_masked-HE576752-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.68&CDS=1-1539	YGR004W
OG0000677	augustus_masked-HE576752-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.92&CDS=1-234	YLR325C
OG0000678	maker-HE576752-snap-gene-10.55-mRNA-1_1&gene=maker-HE576752-snap-gene-10.55&CDS=1-1248	YGR005C
OG0000679	augustus_masked-HE576752-processed-gene-10.69-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.69&CDS=1-765	YGR006W
OG0000680	snap_masked-HE576752-processed-gene-10.16-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.16&CDS=1-1077	YGR007W
OG0000681	maker-HE576752-augustus-gene-10.153-mRNA-1_1&gene=maker-HE576752-augustus-gene-10.153&CDS=1-714	YGR001C
OG0000682	maker-HE576752-augustus-gene-10.154-mRNA-1_1&gene=maker-HE576752-augustus-gene-10.154&CDS=1-2217	YGL001C
OG0000683	snap_masked-HE576752-processed-gene-10.21-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.21&CDS=1-2355	YGR014W
OG0000684	augustus_masked-HE576752-processed-gene-10.94-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.94&CDS=1-918	YGR015C
OG0000685	augustus_masked-HE576752-processed-gene-10.95-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.95&CDS=1-1407	YGR002C
OG0000686	augustus_masked-HE576752-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.72&CDS=1-1731	YMR319C
OG0000687	augustus_masked-HE576752-processed-gene-10.73-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.73&CDS=1-834	YKL095W
OG0000688	augustus_masked-HE576752-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.74&CDS=1-963	YKL094W
OG0000689	snap_masked-HE576752-processed-gene-10.45-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.45&CDS=1-3261	YKL092C
OG0000690	augustus_masked-HE576752-processed-gene-10.76-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.76&CDS=1-651	YMR077C
OG0000691	augustus_masked-HE576752-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.77&CDS=1-1683	YNR030W
OG0000692	augustus_masked-HE576752-processed-gene-10.78-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.78&CDS=1-1080	YNR032W
OG0000693	snap_masked-HE576752-processed-gene-10.47-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-10.47&CDS=1-219	YNR032C-A
OG0000694	augustus_masked-HE576752-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.79&CDS=1-2307	YNR033W
OG0000695	augustus_masked-HE576752-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.80&CDS=1-948	YNR034W
OG0000696	augustus_masked-HE576752-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.101&CDS=1-570	YNR036C
OG0000697	augustus_masked-HE576752-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-10.83&CDS=1-1947	YNR038W
