	Saccharomyces_cerevisiae	yHMPu5000034903_Ogataea_naganishii
OG0000405	YIL131C, YNL068C	maker-NODE_20_length_184659_cov_71.8452_ID_39-augustus-gene-0.219-mRNA-1_1&gene=maker-NODE_20_length_184659_cov_71.8452_ID_39-augustus-gene-0.219&CDS=1-2247
OG0000406	YIL149C, YKR095W	snap_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.110&CDS=1-6663
OG0000407	YIL151C, YKR096W	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.50&CDS=1-4173
OG0000408	YIL156W, YKR098C	genemark-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-1.128-mRNA-1_1&gene=genemark-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-1.128&CDS=1-3132
OG0000409	YIR001C	augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-0.100&CDS=1-636, augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-4.121&CDS=1-561
OG0000410	YIR023W	augustus_masked-NODE_24_length_91208_cov_71.2268_ID_47-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_24_length_91208_cov_71.2268_ID_47-processed-gene-0.81&CDS=1-3345, augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-0.106&CDS=1-1662
OG0000411	YIR031C, YNL117W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.154-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.154&CDS=1-1671
OG0000412	YIR033W, YKL020C	maker-NODE_12_length_396418_cov_70.9058_ID_23-snap-gene-1.35-mRNA-1_1&gene=maker-NODE_12_length_396418_cov_70.9058_ID_23-snap-gene-1.35&CDS=1-3909
OG0000413	YIR038C	maker-NODE_6_length_768710_cov_73.8521_ID_11-augustus-gene-4.5-mRNA-1_1&gene=maker-NODE_6_length_768710_cov_73.8521_ID_11-augustus-gene-4.5&CDS=1-669, maker-NODE_6_length_768710_cov_73.8521_ID_11-augustus-gene-4.6-mRNA-1_1&gene=maker-NODE_6_length_768710_cov_73.8521_ID_11-augustus-gene-4.6&CDS=1-660
OG0000414	YJL076W, YKR010C	snap_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-6.82-mRNA-1_1&gene=snap_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-6.82&CDS=1-2685
OG0000415	YJL079C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-6.54&CDS=1-846, genemark-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.40-mRNA-1_1&gene=genemark-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.40&CDS=1-354
OG0000416	YJL082W, YKR018C	augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.57&CDS=1-2388
OG0000417	YJL083W, YKR019C	augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.56&CDS=1-2844
OG0000418	YJL084C, YKR021W	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-1.44&CDS=1-3429
OG0000419	YJL105W, YKR029C	snap_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-1.18-mRNA-1_1&gene=snap_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-1.18&CDS=1-3225
OG0000420	YJL108C	augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-1.69&CDS=1-2730, augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-1.107&CDS=1-3792
OG0000421	YJL112W, YKR036C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-4.136&CDS=1-2091
OG0000422	YJL133W, YKR052C	snap_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.204-mRNA-1_1&gene=snap_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.204&CDS=1-1077
OG0000423	YJL134W, YKR053C	genemark-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-3.116-mRNA-1_1&gene=genemark-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-3.116&CDS=1-1281
OG0000424	YJL137C, YKR058W	augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-0.121&CDS=1-1260
OG0000425	YJL139C, YKR061W	augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-4.39&CDS=1-1266
OG0000426	YJL177W, YKL180W	augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-4.41&CDS=1-555
OG0000427	YJL212C, YPR194C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.24&CDS=1-2391
OG0000428	YJR054W, YML047C	augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-3.8&CDS=1-1551
OG0000429	YJR059W, YKL198C	augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-4.27&CDS=1-2640
OG0000430	YJR091C, YPR042C	augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.9&CDS=1-3576
OG0000431	YJR094W-A, YPR043W	augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.5&CDS=1-285
OG0000432	YJR126C	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.101-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.101&CDS=1-2424, maker-NODE_4_length_841044_cov_71.5186_ID_7-snap-gene-4.104-mRNA-1_1&gene=maker-NODE_4_length_841044_cov_71.5186_ID_7-snap-gene-4.104&CDS=1-3252
OG0000433	YJR127C, YML081W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.105-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.105&CDS=1-3486
OG0000434	YJR130C, YML082W	augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.100&CDS=1-1770
OG0000435	YJR154W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-4.121&CDS=1-1044, genemark-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.96&CDS=1-858
OG0000436	YKL050C, YMR031C	augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-6.24&CDS=1-2763
OG0000437	YKL068W, YMR047C	augustus_masked-NODE_24_length_91208_cov_71.2268_ID_47-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_24_length_91208_cov_71.2268_ID_47-processed-gene-0.56&CDS=1-3336
OG0000438	YKL072W, YMR053C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-12.4-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-12.4&CDS=1-3093
OG0000439	YKL121W, YMR102C	genemark-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-7.78-mRNA-1_1&gene=genemark-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-7.78&CDS=1-1866
OG0000440	YKL128C	augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-7.103&CDS=1-1041, augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-0.40&CDS=1-1002
OG0000441	YKL132C, YMR113W	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.145&CDS=1-1320
OG0000442	YKL133C, YMR115W	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-3.135&CDS=1-1488
OG0000443	YKL140W	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-3.104&CDS=1-1386, snap_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-3.69-mRNA-1_1&gene=snap_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-3.69&CDS=1-1470
OG0000444	YKL141W, YMR118C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.36&CDS=1-537
OG0000445	YKL217W	augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.221-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.221&CDS=1-1503, augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.68&CDS=1-1629
OG0000446	YKR072C, YOR054C	genemark-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.65-mRNA-1_1&gene=genemark-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.65&CDS=1-2061
OG0000447	YKR076W, YMR251W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-0.90&CDS=1-975
OG0000448	YKR091W, YOR083W	genemark-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.64-mRNA-1_1&gene=genemark-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.64&CDS=1-2076
OG0000449	YLL010C, YLR019W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-8.6&CDS=1-1278
OG0000450	YLL012W, YLR020C	augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-0.76&CDS=1-1365
OG0000451	YLL016W, YLR310C	maker-NODE_12_length_396418_cov_70.9058_ID_23-snap-gene-0.75-mRNA-1_1&gene=maker-NODE_12_length_396418_cov_70.9058_ID_23-snap-gene-0.75&CDS=1-4221
OG0000452	YLL055W	augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.214-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.214&CDS=1-1638, augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-4.110&CDS=1-1599
OG0000453	YLR210W	augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.3&CDS=1-1296, genemark-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-14.14-mRNA-1_1&gene=genemark-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-14.14&CDS=1-1386
OG0000454	YLR248W	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.6&CDS=1-1833, genemark-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-1.110-mRNA-1_1&gene=genemark-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-1.110&CDS=1-2538
OG0000455	YLR260W, YOR171C	augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-5.65&CDS=1-1518
OG0000456	YLR264W, YOR167C	augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-3.86&CDS=1-201
OG0000457	YLR270W, YOR173W	augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-0.67&CDS=1-873
OG0000458	YLR284C, YOR180C	augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-0.66&CDS=1-816
OG0000459	YLR287C-A, YOR182C	augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.66&CDS=1-1323
OG0000460	YLR433C, YML057W	maker-NODE_14_length_373348_cov_79.2154_ID_27-snap-gene-1.88-mRNA-1_1&gene=maker-NODE_14_length_373348_cov_79.2154_ID_27-snap-gene-1.88&CDS=1-3249
OG0000461	YLR450W, YML075C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-2.31&CDS=1-3105
OG0000462	YLR456W, YPR172W	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.239-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.239&CDS=1-549
OG0000463	YML038C	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.113&CDS=1-1275, augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-7.146&CDS=1-1842
OG0000464	YML100W, YMR261C	augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-4.33&CDS=1-3339
OG0000465	YML106W, YMR271C	augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-2.93&CDS=1-654
OG0000466	YML109W, YMR273C	maker-NODE_6_length_768710_cov_73.8521_ID_11-snap-gene-2.145-mRNA-1_1&gene=maker-NODE_6_length_768710_cov_73.8521_ID_11-snap-gene-2.145&CDS=1-2634
OG0000467	YMR083W	augustus_masked-NODE_22_length_128910_cov_70.9562_ID_43-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_22_length_128910_cov_70.9562_ID_43-processed-gene-0.89&CDS=1-1113, augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-4.110&CDS=1-1053
OG0000468	YMR119W, YNL008C	snap_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-0.40&CDS=1-2004
OG0000469	YMR172W, YOL116W	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-2.10&CDS=1-1107
OG0000470	YMR177W, YPL224C	snap_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.64-mRNA-1_1&gene=snap_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.64&CDS=1-1734
OG0000471	YMR182C, YPL230W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-3.133&CDS=1-1275
OG0000472	YMR183C, YPL232W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-4.129&CDS=1-861
OG0000473	YMR216C	augustus_masked-NODE_17_length_258948_cov_75.1999_ID_33-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_17_length_258948_cov_75.1999_ID_33-processed-gene-0.67&CDS=1-2451, augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-1.132&CDS=1-2298
OG0000474	YMR222C, YOR280C	augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-0.56&CDS=1-792
OG0000475	YMR230W, YOR293W	augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-2.87&CDS=1-357
OG0000476	YMR233W, YOR295W	augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-2.44&CDS=1-768
OG0000477	YMR242C, YOR312C	augustus_masked-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.94&CDS=1-522
OG0000478	YNL054W	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.292-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-5.292&CDS=1-2634, snap_masked-NODE_25_length_51826_cov_72.1866_ID_49-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_25_length_51826_cov_72.1866_ID_49-processed-gene-0.18&CDS=1-2262
OG0000479	YNL087W, YOR086C	augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-3.90&CDS=1-3483
OG0000480	YNL096C, YOR096W	augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-5.60&CDS=1-558
OG0000481	YNL098C, YOR101W	genemark-NODE_17_length_258948_cov_75.1999_ID_33-processed-gene-1.219-mRNA-1_1&gene=genemark-NODE_17_length_258948_cov_75.1999_ID_33-processed-gene-1.219&CDS=1-837
OG0000482	YNL101W	augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.64&CDS=1-2619, augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-0.14&CDS=1-2127
OG0000483	YNL103W	augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-1.31&CDS=1-801, genemark-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-4.64-mRNA-1_1&gene=genemark-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-4.64&CDS=1-1269
OG0000484	YNL125C	augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.16&CDS=1-1788, augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-4.164-mRNA-1_1&gene=augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-4.164&CDS=1-1887
OG0000485	YNL192W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.32&CDS=1-3243, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.8&CDS=1-3285
OG0000486	YNL239W	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-1.24&CDS=1-1374, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-1.108&CDS=1-1515
OG0000487	YNL301C, YOL120C	maker-NODE_5_length_775831_cov_75.5812_ID_9-snap-gene-6.265-mRNA-1_1&gene=maker-NODE_5_length_775831_cov_75.5812_ID_9-snap-gene-6.265&CDS=1-927
OG0000488	YNL322C	augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.68&CDS=1-615, augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-0.57&CDS=1-885
OG0000489	YNR055C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.115&CDS=1-1734, maker-NODE_14_length_373348_cov_79.2154_ID_27-snap-gene-0.110-mRNA-1_1&gene=maker-NODE_14_length_373348_cov_79.2154_ID_27-snap-gene-0.110&CDS=1-1764
OG0000490	YNR074C	augustus_masked-NODE_23_length_95945_cov_69.2483_ID_45-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_23_length_95945_cov_69.2483_ID_45-processed-gene-0.67&CDS=1-1071, snap_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-13.14-mRNA-1_1&gene=snap_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-13.14&CDS=1-1236
OG0000491	YOL048C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.39&CDS=1-828, genemark-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-1.84-mRNA-1_1&gene=genemark-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-1.84&CDS=1-651
OG0000492	YOL149W	augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-2.121&CDS=1-498, maker-NODE_7_length_679996_cov_70.6581_ID_13-augustus-gene-2.152-mRNA-1_1&gene=maker-NODE_7_length_679996_cov_70.6581_ID_13-augustus-gene-2.152&CDS=1-1146
OG0000493	YOL152W	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-4.94&CDS=1-1749, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.17&CDS=1-1743
OG0000494	YOR108W	augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-4.158-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-4.158&CDS=1-1743, genemark-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-2.109-mRNA-1_1&gene=genemark-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-2.109&CDS=1-1818
OG0000495	YOR226C, YPL135W	augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-1.33&CDS=1-591
OG0000496	YOR227W, YPL137C	augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-1.17&CDS=1-4872
OG0000497	YOR237W, YPL145C	augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-4.137-mRNA-1_1&gene=augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-4.137&CDS=1-1254
