	Saccharomyces_cerevisiae	yHMPu5000035687_Cyberlindnera_suaveolens
OG0000075	YBL032W, YBR233W	augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.42&CDS=1-1278, augustus_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.117&CDS=1-957
OG0000076	YBL042C, YBR021W, YIR028W	maker-NODE_24_length_154308_cov_16.0416_ID_8370-snap-gene-0.78-mRNA-1_1&gene=maker-NODE_24_length_154308_cov_16.0416_ID_8370-snap-gene-0.78&CDS=1-3435
OG0000077	YBL052C, YOR244W	augustus_masked-NODE_15_length_212952_cov_15.8836_ID_5602-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NODE_15_length_212952_cov_15.8836_ID_5602-processed-gene-1.115&CDS=1-2097, augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-0.23&CDS=1-1335
OG0000078	YBL063W, YEL061C	augustus_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-1.149&CDS=1-3156, augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.50&CDS=1-2772
OG0000079	YBR002C, YMR101C	augustus_masked-NODE_19_length_195766_cov_16.9769_ID_5328-processed-gene-0.214-mRNA-1_1&gene=augustus_masked-NODE_19_length_195766_cov_16.9769_ID_5328-processed-gene-0.214&CDS=1-924, augustus_masked-NODE_59_length_70817_cov_15.3005_ID_7652-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_59_length_70817_cov_15.3005_ID_7652-processed-gene-0.72&CDS=1-798
OG0000080	YBR009C, YNL030W	augustus_masked-NODE_106_length_16882_cov_15.0421_ID_28119-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_106_length_16882_cov_15.0421_ID_28119-processed-gene-0.19&CDS=1-309, augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.5&CDS=1-309
OG0000081	YBR010W, YNL031C	augustus_masked-NODE_106_length_16882_cov_15.0421_ID_28119-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_106_length_16882_cov_15.0421_ID_28119-processed-gene-0.24&CDS=1-408, augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.29&CDS=1-408
OG0000082	YBR011C, YMR267W	augustus_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.92&CDS=1-891, augustus_masked-NODE_42_length_92544_cov_16.747_ID_9372-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_42_length_92544_cov_16.747_ID_9372-processed-gene-0.125&CDS=1-855
OG0000083	YBR019C, YHR210C, YNR071C	augustus_masked-NODE_52_length_76053_cov_16.2395_ID_9931-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_52_length_76053_cov_16.2395_ID_9931-processed-gene-0.88&CDS=1-987
OG0000084	YBR038W, YNL192W	augustus_masked-NODE_22_length_176656_cov_15.8943_ID_5903-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_22_length_176656_cov_15.8943_ID_5903-processed-gene-0.103&CDS=1-2952, augustus_masked-NODE_38_length_101485_cov_15.519_ID_8235-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_38_length_101485_cov_15.519_ID_8235-processed-gene-0.94&CDS=1-3081
OG0000085	YBR082C, YGR133W	augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.232-mRNA-1_1&gene=augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.232&CDS=1-471, maker-NODE_85_length_34279_cov_16.4542_ID_10114-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_85_length_34279_cov_16.4542_ID_10114-augustus-gene-0.0&CDS=1-441
OG0000086	YBR096W, YCR009C	maker-NODE_10_length_264305_cov_15.4558_ID_6033-augustus-gene-1.186-mRNA-1_1&gene=maker-NODE_10_length_264305_cov_15.4558_ID_6033-augustus-gene-1.186&CDS=1-1959, maker-NODE_81_length_44004_cov_15.8066_ID_28087-augustus-gene-0.91-mRNA-1_1&gene=maker-NODE_81_length_44004_cov_15.8066_ID_28087-augustus-gene-0.91&CDS=1-2004
OG0000087	YBR132C	augustus_masked-NODE_147_length_5747_cov_17.4867_ID_14784-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_147_length_5747_cov_17.4867_ID_14784-processed-gene-0.5&CDS=1-1662, augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-2.12&CDS=1-1752, augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-0.103&CDS=1-1683
OG0000088	YBR139W, YMR297W	augustus_masked-NODE_37_length_103410_cov_15.6937_ID_6128-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_37_length_103410_cov_15.6937_ID_6128-processed-gene-0.83&CDS=1-1572, genemark-NODE_62_length_62124_cov_18.0477_ID_8133-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_62_length_62124_cov_18.0477_ID_8133-processed-gene-0.75&CDS=1-1698
OG0000089	YBR212W, YHR086W	augustus_masked-NODE_13_length_224594_cov_15.961_ID_5467-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NODE_13_length_224594_cov_15.961_ID_5467-processed-gene-1.36&CDS=1-1350, augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.221-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.221&CDS=1-1632
OG0000090	YBR239C, YJL103C	augustus_masked-NODE_36_length_104753_cov_15.7737_ID_6090-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_36_length_104753_cov_15.7737_ID_6090-processed-gene-0.87&CDS=1-1365, maker-NODE_10_length_264305_cov_15.4558_ID_6033-snap-gene-0.85-mRNA-1_1&gene=maker-NODE_10_length_264305_cov_15.4558_ID_6033-snap-gene-0.85&CDS=1-1398
OG0000091	YBR245C, YOR304W	augustus_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.44&CDS=1-2994, augustus_masked-NODE_53_length_74984_cov_15.5447_ID_7522-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_53_length_74984_cov_15.5447_ID_7522-processed-gene-0.71&CDS=1-3057
OG0000092	YBR249C, YDR035W	augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.283-mRNA-1_1&gene=augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.283&CDS=1-1101, genemark-NODE_73_length_52820_cov_15.245_ID_8889-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_73_length_52820_cov_15.245_ID_8889-processed-gene-0.61&CDS=1-1077
OG0000093	YBR263W, YLR058C	augustus_masked-NODE_52_length_76053_cov_16.2395_ID_9931-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_52_length_76053_cov_16.2395_ID_9931-processed-gene-0.99&CDS=1-1470, augustus_masked-NODE_59_length_70817_cov_15.3005_ID_7652-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_59_length_70817_cov_15.3005_ID_7652-processed-gene-0.77&CDS=1-1407
OG0000094	YBR265W, YKL055C	augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.240-mRNA-1_1&gene=augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.240&CDS=1-900, maker-NODE_13_length_224594_cov_15.961_ID_5467-augustus-gene-1.60-mRNA-1_1&gene=maker-NODE_13_length_224594_cov_15.961_ID_5467-augustus-gene-1.60&CDS=1-705
OG0000095	YCL074W	augustus_masked-NODE_435_length_308_cov_164.642_ID_25116-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_435_length_308_cov_164.642_ID_25116-processed-gene-0.2&CDS=1-282, augustus_masked-NODE_572_length_228_cov_23.8972_ID_25834-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_572_length_228_cov_23.8972_ID_25834-processed-gene-0.0&CDS=1-171, snap_masked-NODE_44_length_90996_cov_16.3586_ID_7160-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_44_length_90996_cov_16.3586_ID_7160-processed-gene-0.49&CDS=1-387
OG0000096	YCR010C, YNR002C	augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-0.64&CDS=1-861, augustus_masked-NODE_38_length_101485_cov_15.519_ID_8235-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_38_length_101485_cov_15.519_ID_8235-processed-gene-0.86&CDS=1-810
OG0000097	YCR027C, YOR101W	augustus_masked-NODE_46_length_86168_cov_15.2326_ID_7242-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_46_length_86168_cov_15.2326_ID_7242-processed-gene-0.125&CDS=1-537, genemark-NODE_46_length_86168_cov_15.2326_ID_7242-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_46_length_86168_cov_15.2326_ID_7242-processed-gene-0.13&CDS=1-726
OG0000098	YCR037C, YNR013C	augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-0.44&CDS=1-2424, augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.229-mRNA-1_1&gene=augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.229&CDS=1-2535
OG0000099	YCR105W, YMR318C	augustus_masked-NODE_16_length_212368_cov_14.7714_ID_5420-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_16_length_212368_cov_14.7714_ID_5420-processed-gene-1.91&CDS=1-1146, augustus_masked-NODE_16_length_212368_cov_14.7714_ID_5420-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NODE_16_length_212368_cov_14.7714_ID_5420-processed-gene-1.92&CDS=1-1209
OG0000100	YDL025C, YOR267C	augustus_masked-NODE_16_length_212368_cov_14.7714_ID_5420-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-NODE_16_length_212368_cov_14.7714_ID_5420-processed-gene-1.109&CDS=1-1542, augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.0&CDS=1-1539
OG0000101	YDL035C	augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.215-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.215&CDS=1-627, snap_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.77&CDS=1-1248, snap_masked-NODE_32_length_114752_cov_15.8803_ID_7121-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_32_length_114752_cov_15.8803_ID_7121-processed-gene-0.139&CDS=1-1266
OG0000102	YDL066W, YLR174W	augustus_masked-NODE_34_length_110513_cov_16.7138_ID_15698-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_34_length_110513_cov_16.7138_ID_15698-processed-gene-0.87&CDS=1-1233, augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.236-mRNA-1_1&gene=augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.236&CDS=1-1326
OG0000103	YDL082W, YMR142C	augustus_masked-NODE_11_length_255631_cov_16.2989_ID_11448-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NODE_11_length_255631_cov_16.2989_ID_11448-processed-gene-1.117&CDS=1-597, augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.63&CDS=1-597
OG0000104	YDL108W, YPR161C	augustus_masked-NODE_31_length_115741_cov_15.751_ID_5875-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_31_length_115741_cov_15.751_ID_5875-processed-gene-0.8&CDS=1-921, augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.251-mRNA-1_1&gene=augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.251&CDS=1-1920
OG0000105	YDL113C, YDR425W	augustus_masked-NODE_41_length_94782_cov_16.4488_ID_6813-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-NODE_41_length_94782_cov_16.4488_ID_6813-processed-gene-0.145&CDS=1-1617, augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-0.94&CDS=1-1587
OG0000106	YDL114W, YLR426W	augustus_masked-NODE_14_length_221288_cov_16.0768_ID_5705-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_14_length_221288_cov_16.0768_ID_5705-processed-gene-1.110&CDS=1-954, augustus_masked-NODE_48_length_81500_cov_15.6023_ID_7418-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_48_length_81500_cov_15.6023_ID_7418-processed-gene-0.34&CDS=1-912
OG0000107	YDL216C, YFR004W	augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.266-mRNA-1_1&gene=augustus_masked-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.266&CDS=1-1491, augustus_masked-NODE_94_length_23242_cov_17.6445_ID_11047-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_94_length_23242_cov_17.6445_ID_11047-processed-gene-0.23&CDS=1-930
OG0000108	YDL218W, YNR061C	augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-1.99&CDS=1-1089, snap_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.220-mRNA-1_1&gene=snap_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.220&CDS=1-678
OG0000109	YDR032C	augustus_masked-NODE_16_length_212368_cov_14.7714_ID_5420-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-NODE_16_length_212368_cov_14.7714_ID_5420-processed-gene-1.105&CDS=1-606, augustus_masked-NODE_56_length_74108_cov_17.7586_ID_9702-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_56_length_74108_cov_17.7586_ID_9702-processed-gene-0.104&CDS=1-768, augustus_masked-NODE_56_length_74108_cov_17.7586_ID_9702-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_56_length_74108_cov_17.7586_ID_9702-processed-gene-0.123&CDS=1-600
OG0000110	YDR037W, YNL073W	augustus_masked-NODE_14_length_221288_cov_16.0768_ID_5705-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-NODE_14_length_221288_cov_16.0768_ID_5705-processed-gene-0.137&CDS=1-1581, augustus_masked-NODE_32_length_114752_cov_15.8803_ID_7121-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_32_length_114752_cov_15.8803_ID_7121-processed-gene-0.28&CDS=1-1761
OG0000111	YDR135C, YLL015W	augustus_masked-NODE_78_length_46635_cov_17.1999_ID_9201-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_78_length_46635_cov_17.1999_ID_9201-processed-gene-0.57&CDS=1-4419, maker-NODE_17_length_210586_cov_18.3491_ID_13553-augustus-gene-0.97-mRNA-1_1&gene=maker-NODE_17_length_210586_cov_18.3491_ID_13553-augustus-gene-0.97&CDS=1-5169
OG0000112	YDR178W, YLR164W	augustus_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-1.116&CDS=1-513, augustus_masked-NODE_41_length_94782_cov_16.4488_ID_6813-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_41_length_94782_cov_16.4488_ID_6813-processed-gene-0.127&CDS=1-498
OG0000113	YDR216W, YML081W	augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.47&CDS=1-3270, augustus_masked-NODE_60_length_69805_cov_15.6166_ID_7763-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_60_length_69805_cov_15.6166_ID_7763-processed-gene-0.56&CDS=1-3000
OG0000114	YDR295C, YPR179C	augustus_masked-NODE_28_length_119648_cov_16.0167_ID_7057-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_28_length_119648_cov_16.0167_ID_7057-processed-gene-0.100&CDS=1-1713, augustus_masked-NODE_91_length_25601_cov_16.1647_ID_10551-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_91_length_25601_cov_16.1647_ID_10551-processed-gene-0.8&CDS=1-1464
OG0000115	YDR313C, YGL023C	augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.67&CDS=1-1386, augustus_masked-NODE_63_length_61504_cov_17.297_ID_8177-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_63_length_61504_cov_17.297_ID_8177-processed-gene-0.36&CDS=1-1029
OG0000116	YDR368W, YOR120W	augustus_masked-NODE_14_length_221288_cov_16.0768_ID_5705-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_14_length_221288_cov_16.0768_ID_5705-processed-gene-0.103&CDS=1-924, maker-NODE_67_length_57166_cov_15.6626_ID_8980-augustus-gene-0.34-mRNA-1_1&gene=maker-NODE_67_length_57166_cov_15.6626_ID_8980-augustus-gene-0.34&CDS=1-1368
OG0000117	YDR378C, YPR182W	augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.68&CDS=1-237, maker-NODE_34_length_110513_cov_16.7138_ID_15698-augustus-gene-0.122-mRNA-1_1&gene=maker-NODE_34_length_110513_cov_16.7138_ID_15698-augustus-gene-0.122&CDS=1-240
OG0000118	YDR382W, YOL039W	augustus_masked-NODE_33_length_112801_cov_16.0057_ID_7973-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-NODE_33_length_112801_cov_16.0057_ID_7973-processed-gene-0.167&CDS=1-321, augustus_masked-NODE_53_length_74984_cov_15.5447_ID_7522-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_53_length_74984_cov_15.5447_ID_7522-processed-gene-0.79&CDS=1-333
OG0000119	YDR391C, YOR013W	augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-0.93&CDS=1-678, augustus_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.96&CDS=1-609
OG0000120	YDR399W, YJR133W	augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.78&CDS=1-645, augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.18&CDS=1-618
OG0000121	YDR471W, YHR010W	augustus_masked-NODE_37_length_103410_cov_15.6937_ID_6128-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_37_length_103410_cov_15.6937_ID_6128-processed-gene-0.91&CDS=1-408, augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.124&CDS=1-408
OG0000122	YDR507C, YKL101W	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.34&CDS=1-3438, augustus_masked-NODE_13_length_224594_cov_15.961_ID_5467-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-NODE_13_length_224594_cov_15.961_ID_5467-processed-gene-1.0&CDS=1-3114
OG0000123	YEL066W, YPR193C	augustus_masked-NODE_38_length_101485_cov_15.519_ID_8235-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_38_length_101485_cov_15.519_ID_8235-processed-gene-0.109&CDS=1-456, augustus_masked-NODE_89_length_31196_cov_19.4815_ID_10288-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_89_length_31196_cov_19.4815_ID_10288-processed-gene-0.2&CDS=1-456
OG0000124	YER013W, YKR086W	augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-1.113&CDS=1-3192, snap_masked-NODE_54_length_74970_cov_15.7738_ID_7574-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_54_length_74970_cov_15.7738_ID_7574-processed-gene-0.76&CDS=1-2496
OG0000125	YER015W	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.19&CDS=1-2055, augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-0.110&CDS=1-2073, augustus_masked-NODE_47_length_86062_cov_15.8563_ID_7278-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_47_length_86062_cov_15.8563_ID_7278-processed-gene-0.32&CDS=1-2139
OG0000126	YER017C, YMR089C	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.28&CDS=1-2226, genemark-NODE_131_length_8279_cov_14.1855_ID_12445-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_131_length_8279_cov_14.1855_ID_12445-processed-gene-0.7&CDS=1-2379
OG0000127	YER047C, YPL074W	augustus_masked-NODE_20_length_190154_cov_15.6774_ID_5534-processed-gene-0.200-mRNA-1_1&gene=augustus_masked-NODE_20_length_190154_cov_15.6774_ID_5534-processed-gene-0.200&CDS=1-2283, augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-1.40&CDS=1-1773
OG0000128	YER056C, YER060W, YER060W-A	snap_masked-NODE_214_length_1346_cov_32.9494_ID_25064-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_214_length_1346_cov_32.9494_ID_25064-processed-gene-0.1&CDS=1-1311
OG0000129	YER056C-A, YIL052C	augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.224-mRNA-1_1&gene=augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.224&CDS=1-558, maker-NODE_7_length_296361_cov_15.7858_ID_5257-augustus-gene-0.50-mRNA-1_1&gene=maker-NODE_7_length_296361_cov_15.7858_ID_5257-augustus-gene-0.50&CDS=1-372
OG0000130	YER065C, YPR006C	augustus_masked-NODE_74_length_50024_cov_16.702_ID_8815-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_74_length_50024_cov_16.702_ID_8815-processed-gene-0.18&CDS=1-1650, maker-NODE_26_length_135373_cov_15.8704_ID_24655-augustus-gene-0.213-mRNA-1_1&gene=maker-NODE_26_length_135373_cov_15.8704_ID_24655-augustus-gene-0.213&CDS=1-2241
OG0000131	YER075C, YOR208W	augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-3.114&CDS=1-1962, augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-1.40&CDS=1-1986
OG0000132	YER099C, YHL011C	augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-1.22&CDS=1-963, augustus_masked-NODE_61_length_66738_cov_19.9984_ID_7891-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_61_length_66738_cov_19.9984_ID_7891-processed-gene-0.19&CDS=1-960
OG0000133	YER107C, YOR026W	augustus_masked-NODE_56_length_74108_cov_17.7586_ID_9702-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_56_length_74108_cov_17.7586_ID_9702-processed-gene-0.97&CDS=1-975, augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.197-mRNA-1_1&gene=augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.197&CDS=1-1080
OG0000134	YER109C, YMR164C	augustus_masked-NODE_28_length_119648_cov_16.0167_ID_7057-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_28_length_119648_cov_16.0167_ID_7057-processed-gene-0.79&CDS=1-1626, maker-NODE_6_length_345438_cov_15.5357_ID_5106-snap-gene-2.81-mRNA-1_1&gene=maker-NODE_6_length_345438_cov_15.5357_ID_5106-snap-gene-2.81&CDS=1-1620
OG0000135	YER112W, YLR147C	augustus_masked-NODE_34_length_110513_cov_16.7138_ID_15698-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_34_length_110513_cov_16.7138_ID_15698-processed-gene-0.103&CDS=1-441, maker-NODE_19_length_195766_cov_16.9769_ID_5328-snap-gene-0.19-mRNA-1_1&gene=maker-NODE_19_length_195766_cov_16.9769_ID_5328-snap-gene-0.19&CDS=1-303
