	Saccharomyces_cerevisiae	Scheffersomyces_lignosus
OG0000618	YBR041W	-processed-gene-7.66-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.66&CDS=1-1962
OG0000619	YBR042C	-processed-gene-7.59-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.59&CDS=1-1266
OG0000620	YBR043C	-processed-gene-7.73-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.73&CDS=1-1977
OG0000621	YBR046C	-processed-gene-5.7-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.7&CDS=1-1008
OG0000622	YBR053C	-processed-gene-13.76-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.76&CDS=1-996
OG0000623	YBR055C	-processed-gene-12.87-mRNA-1_1&gene=augustus_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-12.87&CDS=1-2751
OG0000624	YBR056W	-processed-gene-15.79-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-15.79&CDS=1-1512
OG0000625	YBR057C	-processed-gene-16.150-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.150&CDS=1-1161
OG0000626	YBR058C	-processed-gene-12.40-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-12.40&CDS=1-2388
OG0000627	YBR060C	-processed-gene-19.88-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.88&CDS=1-2361
OG0000628	YBR061C	-processed-gene-3.26-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.26&CDS=1-903
OG0000629	YBR062C	-processed-gene-3.27-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.27&CDS=1-630
OG0000630	YBR065C	-processed-gene-19.84-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.84&CDS=1-1209
OG0000631	YBR070C	-processed-gene-19.15-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.15&CDS=1-528
OG0000632	YBR073W	-processed-gene-19.99-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.99&CDS=1-2754
OG0000633	YBR074W	-processed-gene-19.98-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.98&CDS=1-3027
OG0000634	YBR079C	-processed-gene-10.69-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-10.69&CDS=1-2658
OG0000635	YBR080C	-processed-gene-11.0-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-11.0&CDS=1-2382
OG0000636	YBR081C	-processed-gene-5.73-mRNA-1_1&gene=snap_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-5.73&CDS=1-3471
OG0000637	YBR082C	-processed-gene-5.32-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-5.32&CDS=1-441
OG0000638	YBR083W	-processed-gene-12.107-mRNA-1_1&gene=augustus_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-12.107&CDS=1-2205
OG0000639	YBR085W	-processed-gene-0.1-mRNA-1_1&gene=genemark-gi|1002316360|dbj|BCGS01000013.1|-processed-gene-0.1&CDS=1-909
OG0000640	YBR086C	-processed-gene-1.55-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-1.55&CDS=1-2961
OG0000641	YBR087W	-processed-gene-0.100-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-0.100&CDS=1-1095
OG0000642	YBR088C	-processed-gene-14.56-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.56&CDS=1-777
OG0000643	YBR091C	-processed-gene-14.54-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.54&CDS=1-348
OG0000644	YBR094W	-processed-gene-14.71-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.71&CDS=1-2151
OG0000645	YBR096W	-processed-gene-18.42-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-18.42&CDS=1-708
OG0000646	YBR097W	-processed-gene-7.25-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.25&CDS=1-4770
OG0000647	YBR098W	-processed-gene-7.47-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.47&CDS=1-1635
OG0000648	YBR101C	-processed-gene-7.49-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.49&CDS=1-852
OG0000649	YBR102C	-processed-gene-7.58-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.58&CDS=1-2289
OG0000650	YBR103W	-processed-gene-7.72-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.72&CDS=1-1842
OG0000651	YBR106W	-processed-gene-17.97-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-17.97&CDS=1-576
OG0000652	YBR109C	-processed-gene-7.77-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-7.77&CDS=1-447
OG0000653	YBR110W	-processed-gene-7.76-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-7.76&CDS=1-1401
OG0000654	YBR111C	-processed-gene-2.88-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-2.88&CDS=1-636
OG0000655	YBR111W-A	-processed-gene-2.45-mRNA-1_1&gene=snap_masked-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-2.45&CDS=1-291
OG0000656	YBR112C	-processed-gene-2.76-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-2.76&CDS=1-2475
OG0000657	YBR114W	-processed-gene-13.99-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.99&CDS=1-2496
OG0000658	YBR115C	-processed-gene-13.98-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.98&CDS=1-4188
OG0000659	YBR120C	-processed-gene-7.30-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.30&CDS=1-336
OG0000660	YBR121C	-processed-gene-1.31-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-1.31&CDS=1-1959
OG0000661	YBR122C	-processed-gene-22.93-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.93&CDS=1-513
OG0000662	YBR123C	-processed-gene-13.62-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.62&CDS=1-1716
OG0000663	YBR125C	-processed-gene-3.65-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.65&CDS=1-1014
OG0000664	YBR126C	-processed-gene-3.79-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.79&CDS=1-1479
OG0000665	YBR127C	-processed-gene-3.19-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.19&CDS=1-1518
OG0000666	YBR130C	-processed-gene-8.91-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.91&CDS=1-1557
OG0000667	YBR132C	-processed-gene-15.73-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-15.73&CDS=1-1719
OG0000668	YBR133C	-processed-gene-9.19-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-9.19&CDS=1-1599
OG0000669	YBR135W	-processed-gene-9.32-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-9.32&CDS=1-306
OG0000670	YBR136W	-processed-gene-9.31-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-9.31&CDS=1-7098
OG0000671	YBR137W	-processed-gene-14.14-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.14&CDS=1-486
OG0000672	YBR141C	-processed-gene-13.97-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-13.97&CDS=1-1020
OG0000673	YBR142W	-processed-gene-13.114-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-13.114&CDS=1-2556
OG0000674	YBR143C	-processed-gene-13.96-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-13.96&CDS=1-1311
OG0000675	YBR146W	-processed-gene-10.62-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-10.62&CDS=1-939
OG0000676	YBR149W	-processed-gene-16.83-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.83&CDS=1-975
OG0000677	YBR151W	-processed-gene-2.18-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-2.18&CDS=1-915
OG0000678	YBR153W	-processed-gene-10.66-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-10.66&CDS=1-768
OG0000679	YBR154C	-processed-gene-10.52-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-10.52&CDS=1-642
OG0000680	YBR155W	-processed-gene-12.51-mRNA-1_1&gene=augustus_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-12.51&CDS=1-1170
OG0000681	YBR156C	-processed-gene-12.31-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-12.31&CDS=1-2730
OG0000682	YBR158W	-processed-gene-12.37-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-12.37&CDS=1-1710
OG0000683	YBR159W	-processed-gene-4.15-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.15&CDS=1-1038
OG0000684	YBR160W	-processed-gene-4.12-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.12&CDS=1-930
OG0000685	YBR162C	-processed-gene-28.34-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.34&CDS=1-1326
OG0000686	YBR162W-A	-processed-gene-3.100-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-3.100&CDS=1-186
OG0000687	YBR163W	-processed-gene-19.88-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-19.88&CDS=1-1986
OG0000688	YBR164C	-processed-gene-11.3-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-11.3&CDS=1-555
OG0000689	YBR166C	-processed-gene-11.0-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-11.0&CDS=1-1341
OG0000690	YBR167C	-processed-gene-1.7-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.7&CDS=1-459
OG0000691	YBR170C	-processed-gene-23.15-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-23.15&CDS=1-1731
OG0000692	YBR171W	-processed-gene-6.83-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-6.83&CDS=1-870
OG0000693	YBR173C	-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-1.13&CDS=1-444
OG0000694	YBR176W	-processed-gene-27.80-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-27.80&CDS=1-957
OG0000695	YBR179C	-processed-gene-8.108-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.108&CDS=1-2679
OG0000696	YBR182C	-processed-gene-13.67-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.67&CDS=1-1785
OG0000697	YBR185C	-processed-gene-0.68-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-0.68&CDS=1-891
OG0000698	YBR187W	-processed-gene-11.114-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-11.114&CDS=1-1014
OG0000699	YBR192W	-processed-gene-11.100-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-11.100&CDS=1-1110
OG0000700	YBR193C	-processed-gene-11.101-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-11.101&CDS=1-684
OG0000701	YBR195C	-processed-gene-5.81-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-5.81&CDS=1-1323
OG0000702	YBR196C	-processed-gene-5.32-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-5.32&CDS=1-1662
OG0000703	YBR198C	-processed-gene-17.52-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.52&CDS=1-2367
OG0000704	YBR199W	-processed-gene-9.36-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.36&CDS=1-1413
OG0000705	YBR200W	-processed-gene-14.44-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.44&CDS=1-1788
OG0000706	YBR202W	-processed-gene-14.64-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-14.64&CDS=1-2379
OG0000707	YBR203W	-processed-gene-5.21-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-5.21&CDS=1-2220
OG0000708	YBR204C	-processed-gene-3.99-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-3.99&CDS=1-1962
OG0000709	YBR208C	-processed-gene-3.76-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-3.76&CDS=1-5466
OG0000710	YBR212W	-processed-gene-2.89-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-2.89&CDS=1-2100
OG0000711	YBR213W	-processed-gene-2.82-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-2.82&CDS=1-867
OG0000712	YBR215W	-processed-gene-11.21-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-11.21&CDS=1-1701
OG0000713	YBR217W	-processed-gene-11.20-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-11.20&CDS=1-801
OG0000714	YBR220C	-processed-gene-7.20-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-7.20&CDS=1-1734
OG0000715	YBR221C	-processed-gene-7.19-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-7.19&CDS=1-1143
OG0000716	YBR223C	-processed-gene-4.106-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-4.106&CDS=1-1656
OG0000717	YBR228W	-processed-gene-24.100-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-24.100&CDS=1-999
OG0000718	YBR229C	-processed-gene-24.84-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-24.84&CDS=1-2853
OG0000719	YBR230C	-processed-gene-26.62-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-26.62&CDS=1-534
OG0000720	YBR231C	-processed-gene-19.27-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-19.27&CDS=1-1095
OG0000721	YBR233W	-processed-gene-19.28-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-19.28&CDS=1-1560
OG0000722	YBR233W-A	-processed-gene-4.32-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.32&CDS=1-426
OG0000723	YBR234C	-processed-gene-5.28-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-5.28&CDS=1-1140
OG0000724	YBR235W	-processed-gene-1.78-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-1.78&CDS=1-3993
OG0000725	YBR236C	-processed-gene-4.75-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.75&CDS=1-1623
OG0000726	YBR239C	-processed-gene-1.58-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-1.58&CDS=1-1698
OG0000727	YBR241C	-processed-gene-1.59-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-1.59&CDS=1-1491
OG0000728	YBR243C	-processed-gene-7.8-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.8&CDS=1-1485
OG0000729	YBR246W	-processed-gene-7.21-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.21&CDS=1-1050
OG0000730	YBR247C	-processed-gene-14.77-mRNA-1_1&gene=augustus_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.77&CDS=1-4167
OG0000731	YBR248C	-snap-gene-14.84-mRNA-1_1&gene=maker-gi|1002316367|dbj|BCGS01000006.1|-snap-gene-14.84&CDS=1-4284
OG0000732	YBR254C	-processed-gene-25.24-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-25.24&CDS=1-486
OG0000733	YBR255W	-processed-gene-25.26-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-25.26&CDS=1-2259
OG0000734	YBR256C	-processed-gene-16.115-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.115&CDS=1-711
OG0000735	YBR257W	-processed-gene-11.47-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-11.47&CDS=1-900
OG0000736	YBR258C	-processed-gene-23.21-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-23.21&CDS=1-729
OG0000737	YBR260C	-processed-gene-23.32-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-23.32&CDS=1-2019
OG0000738	YBR261C	-processed-gene-3.16-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-3.16&CDS=1-744
OG0000739	YBR263W	-processed-gene-10.24-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.24&CDS=1-1476
OG0000740	YBR265W	-processed-gene-8.17-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-8.17&CDS=1-975
OG0000741	YBR267W	-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-2.77&CDS=1-1236
OG0000742	YBR268W	-processed-gene-2.16-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-2.16&CDS=1-315
OG0000743	YBR269C	-processed-gene-29.16-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-29.16&CDS=1-411
OG0000744	YBR271W	-processed-gene-29.17-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-29.17&CDS=1-1251
OG0000745	YBR272C	-processed-gene-10.5-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.5&CDS=1-1521
OG0000746	YBR274W	-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-8.75&CDS=1-1623
OG0000747	YBR276C	-processed-gene-2.60-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-2.60&CDS=1-3906
OG0000748	YBR278W	-processed-gene-19.18-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-19.18&CDS=1-753
OG0000749	YBR279W	-processed-gene-17.90-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-17.90&CDS=1-1374
OG0000750	YBR280C	-processed-gene-20.12-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-20.12&CDS=1-1827
OG0000751	YBR281C	-processed-gene-23.26-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-23.26&CDS=1-3246
OG0000752	YBR282W	-processed-gene-19.17-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-19.17&CDS=1-504
OG0000753	YBR283C	-processed-gene-1.40-mRNA-1_1&gene=snap_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-1.40&CDS=1-1554
OG0000754	YBR286W	-processed-gene-15.81-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-15.81&CDS=1-1638
OG0000755	YBR287W	-processed-gene-5.51-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-5.51&CDS=1-1395
OG0000756	YBR288C	-processed-gene-5.66-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-5.66&CDS=1-1704
OG0000757	YBR289W	-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.43&CDS=1-3057
OG0000758	YBR290W	-processed-gene-13.3-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.3&CDS=1-1341
OG0000759	YBR291C	-processed-gene-13.4-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.4&CDS=1-882
OG0000760	YBR296C	-processed-gene-13.98-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.98&CDS=1-1746
OG0000761	YCL001W	-snap-gene-14.83-mRNA-1_1&gene=maker-gi|1002316367|dbj|BCGS01000006.1|-snap-gene-14.83&CDS=1-1695
OG0000762	YCL002C	-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.73&CDS=1-837
OG0000763	YCL004W	-processed-gene-1.27-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.27&CDS=1-1779
OG0000764	YCL005W-A	-processed-gene-24.106-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-24.106&CDS=1-216
OG0000765	YCL009C	-processed-gene-14.41-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.41&CDS=1-906
OG0000766	YCL012C	-processed-gene-1.25-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.25&CDS=1-447
OG0000767	YCL014W	-processed-gene-1.24-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.24&CDS=1-4485
OG0000768	YCL017C	-processed-gene-30.140-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.140&CDS=1-1458
OG0000769	YCL018W	-processed-gene-1.11-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.11&CDS=1-1134
OG0000770	YCL027W	-processed-gene-7.46-mRNA-1_1&gene=snap_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-7.46&CDS=1-1263
OG0000771	YCL029C	-processed-gene-4.94-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.94&CDS=1-1869
OG0000772	YCL030C	-processed-gene-0.33-mRNA-1_1&gene=genemark-gi|1002316362|dbj|BCGS01000011.1|-processed-gene-0.33&CDS=1-2601
OG0000773	YCL031C	-processed-gene-17.64-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-17.64&CDS=1-867
OG0000774	YCL032W	-processed-gene-5.106-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-5.106&CDS=1-1476
OG0000775	YCL033C	-processed-gene-3.88-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-3.88&CDS=1-411
OG0000776	YCL034W	-processed-gene-13.33-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-13.33&CDS=1-1413
OG0000777	YCL039W	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.21&CDS=1-2406
OG0000778	YCL043C	-processed-gene-0.3-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.3&CDS=1-1737
OG0000779	YCL044C	-processed-gene-18.55-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-18.55&CDS=1-1182
OG0000780	YCL045C	-processed-gene-22.82-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.82&CDS=1-2679
OG0000781	YCL054W	-processed-gene-7.32-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-7.32&CDS=1-2484
OG0000782	YCL055W	-processed-gene-3.11-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.11&CDS=1-1176
OG0000783	YCL057C-A	-processed-gene-8.76-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.76&CDS=1-264
OG0000784	YCL059C	-processed-gene-4.55-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.55&CDS=1-1083
OG0000785	YCL061C	-processed-gene-4.40-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.40&CDS=1-4185
OG0000786	YCR002C	-processed-gene-17.48-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.48&CDS=1-1053
OG0000787	YCR003W	-processed-gene-17.70-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.70&CDS=1-588
OG0000788	YCR008W	-processed-gene-4.11-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.11&CDS=1-2172
OG0000789	YCR009C	-processed-gene-30.167-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.167&CDS=1-792
