	Kazachstania_naganishii	Saccharomyces_cerevisiae
OG0000663	augustus_masked-HE978314-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-8.40&CDS=1-831	YMR144W
OG0000664	genemark-HE978314-processed-gene-8.100-mRNA-1_1&gene=genemark-HE978314-processed-gene-8.100&CDS=1-321	YDL081C
OG0000665	genemark-HE978314-processed-gene-8.102-mRNA-1_1&gene=genemark-HE978314-processed-gene-8.102&CDS=1-1218	YMR139W
OG0000666	genemark-HE978314-processed-gene-8.104-mRNA-1_1&gene=genemark-HE978314-processed-gene-8.104&CDS=1-1038	YDL078C
OG0000667	genemark-HE978314-processed-gene-9.100-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.100&CDS=1-3489	YLR039C
OG0000668	snap_masked-HE978314-processed-gene-9.6-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-9.6&CDS=1-291	YLR038C
OG0000669	genemark-HE978314-processed-gene-9.101-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.101&CDS=1-2115	YLR035C
OG0000670	augustus_masked-HE978314-processed-gene-9.57-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-9.57&CDS=1-1413	YLR034C
OG0000671	genemark-HE978314-processed-gene-9.123-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.123&CDS=1-1470	YLR033W
OG0000672	genemark-HE978314-processed-gene-9.124-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.124&CDS=1-3756	YMR128W
OG0000673	genemark-HE978314-processed-gene-9.125-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.125&CDS=1-3450	YLR032W
OG0000674	snap_masked-HE978314-processed-gene-9.35-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-9.35&CDS=1-1923	YNL008C
OG0000675	maker-HE978314-augustus-gene-9.3-mRNA-1_1&gene=maker-HE978314-augustus-gene-9.3&CDS=1-2280	YLR027C
OG0000676	genemark-HE978314-processed-gene-9.128-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.128&CDS=1-726	YLR025W
OG0000677	genemark-HE978314-processed-gene-9.108-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.108&CDS=1-549	YKL141W
OG0000678	snap_masked-HE978314-processed-gene-9.17-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-9.17&CDS=1-1707	YKL140W
OG0000679	augustus_masked-HE978314-processed-gene-9.83-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-9.83&CDS=1-564	YKL138C
OG0000680	genemark-HE978314-processed-gene-9.110-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.110&CDS=1-351	YKL137W
OG0000681	augustus_masked-HE978314-processed-gene-9.84-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-9.84&CDS=1-2148	YKL135C
OG0000682	genemark-HE978314-processed-gene-9.132-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.132&CDS=1-2142	YKL134C
OG0000683	genemark-HE978314-processed-gene-9.134-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.134&CDS=1-1272	YMR113W
OG0000684	genemark-HE978314-processed-gene-9.135-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.135&CDS=1-714	YKL130C
OG0000685	genemark-HE978314-processed-gene-9.136-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.136&CDS=1-3753	YMR109W
OG0000686	augustus_masked-HE978314-processed-gene-9.89-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-9.89&CDS=1-1722	YKL128C
OG0000687	maker-HE978314-augustus-gene-9.4-mRNA-1_1&gene=maker-HE978314-augustus-gene-9.4&CDS=1-3042	YKL125W
OG0000688	genemark-HE978314-processed-gene-9.115-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.115&CDS=1-1671	YKL124W
OG0000689	genemark-HE978314-processed-gene-9.140-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.140&CDS=1-471	YKL122C
OG0000690	genemark-HE978314-processed-gene-9.117-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.117&CDS=1-966	YKL120W
OG0000691	genemark-HE978314-processed-gene-9.141-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.141&CDS=1-696	YKL119C
OG0000692	genemark-HE978314-processed-gene-9.118-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.118&CDS=1-705	YKL117W
OG0000693	genemark-HE978314-processed-gene-9.142-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.142&CDS=1-1608	YKL116C
OG0000694	genemark-HE978314-processed-gene-9.143-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.143&CDS=1-1086	YKL114C
OG0000695	genemark-HE978314-processed-gene-9.144-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.144&CDS=1-933	YKL110C
OG0000696	snap_masked-HE978314-processed-gene-9.28-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-9.28&CDS=1-942	YKL108W
OG0000697	genemark-HE978314-processed-gene-9.121-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.121&CDS=1-942	YKL107W
OG0000698	genemark-HE978314-processed-gene-9.122-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.122&CDS=1-1323	YKL106W
OG0000699	genemark-HE978314-processed-gene-10.44-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.44&CDS=1-2178	YKL104C
OG0000700	genemark-HE978314-processed-gene-10.45-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.45&CDS=1-1530	YKL103C
OG0000701	genemark-HE978314-processed-gene-10.47-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.47&CDS=1-4296	YKL101W
OG0000702	genemark-HE978314-processed-gene-10.64-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.64&CDS=1-753	YKL099C
OG0000703	snap_masked-HE978314-processed-gene-10.8-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-10.8&CDS=1-1152	YKL098W
OG0000704	genemark-HE978314-processed-gene-10.49-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.49&CDS=1-954	YKL094W
OG0000705	genemark-HE978314-processed-gene-10.65-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.65&CDS=1-2967	YKL092C
OG0000706	augustus_masked-HE978314-processed-gene-10.103-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-10.103&CDS=1-1806	YKL005C
OG0000707	genemark-HE978314-processed-gene-10.53-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.53&CDS=1-1251	YKL004W
OG0000708	snap_masked-HE978314-processed-gene-10.27-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-10.27&CDS=1-540	YLR329W
OG0000709	snap_masked-HE978314-processed-gene-10.28-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-10.28&CDS=1-387	YKL003C
OG0000710	genemark-HE978314-processed-gene-10.68-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.68&CDS=1-651	YMR077C
OG0000711	maker-HE978314-augustus-gene-10.1-mRNA-1_1&gene=maker-HE978314-augustus-gene-10.1&CDS=1-1872	YKL007W
OG0000712	genemark-HE978314-processed-gene-10.56-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.56&CDS=1-4350	YKL010C
OG0000713	augustus_masked-HE978314-processed-gene-10.108-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-10.108&CDS=1-1680	YKL089W
OG0000714	genemark-HE978314-processed-gene-10.72-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.72&CDS=1-1299	YKL090W
OG0000715	snap_masked-HE978314-processed-gene-10.17-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-10.17&CDS=1-687	YKL002W
OG0000716	genemark-HE978314-processed-gene-10.75-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.75&CDS=1-594	YKL001C
OG0000717	genemark-HE978314-processed-gene-10.76-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.76&CDS=1-2169	YKR001C
OG0000718	genemark-HE978314-processed-gene-10.59-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.59&CDS=1-1728	YKR002W
OG0000719	genemark-HE978314-processed-gene-10.60-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.60&CDS=1-1344	YHR001W
OG0000720	snap_masked-HE978314-processed-gene-10.38-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-10.38&CDS=1-831	YKR004C
OG0000721	genemark-HE978314-processed-gene-10.79-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.79&CDS=1-750	YKR006C
OG0000722	augustus_masked-HE978314-processed-gene-10.97-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-10.97&CDS=1-582	YKR007W
OG0000723	genemark-HE978314-processed-gene-10.62-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.62&CDS=1-1842	YKR008W
OG0000724	snap_masked-HE978314-processed-gene-10.23-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-10.23&CDS=1-237	YHR001W-A
OG0000725	genemark-HE978314-processed-gene-10.80-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.80&CDS=1-2757	YKR009C
OG0000726	snap_masked-HE978314-processed-gene-10.42-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-10.42&CDS=1-1515	YBR288C
OG0000727	genemark-HE978314-processed-gene-11.94-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.94&CDS=1-3129	YBR289W
OG0000728	genemark-HE978314-processed-gene-11.95-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.95&CDS=1-981	YBR290W
OG0000729	genemark-HE978314-processed-gene-11.97-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.97&CDS=1-894	YBR291C
OG0000730	genemark-HE978314-processed-gene-11.98-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.98&CDS=1-1323	YKL027W
OG0000731	maker-HE978314-snap-gene-11.201-mRNA-1_1&gene=maker-HE978314-snap-gene-11.201&CDS=1-1401	YKL028W
OG0000732	genemark-HE978314-processed-gene-11.96-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.96&CDS=1-1968	YKL029C
OG0000733	genemark-HE978314-processed-gene-11.101-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.101&CDS=1-1923	YKL032C
OG0000734	snap_masked-HE978314-processed-gene-11.252-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.252&CDS=1-3027	YKL034W
OG0000735	genemark-HE978314-processed-gene-11.144-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.144&CDS=1-3858	YKL038W
OG0000736	genemark-HE978314-processed-gene-11.145-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.145&CDS=1-1572	YKL039W
OG0000737	genemark-HE978314-processed-gene-11.146-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.146&CDS=1-702	YKL041W
OG0000738	snap_masked-HE978314-processed-gene-11.256-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.256&CDS=1-852	YKL042W
OG0000739	genemark-HE978314-processed-gene-11.103-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.103&CDS=1-1716	YLR259C
OG0000740	genemark-HE978314-processed-gene-11.149-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.149&CDS=1-1515	YKL045W
OG0000741	augustus_masked-HE978314-processed-gene-11.9-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-11.9&CDS=1-1389	YKL046C
OG0000742	snap_masked-HE978314-processed-gene-11.259-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.259&CDS=1-1467	YKL047W
OG0000743	snap_masked-HE978314-processed-gene-11.214-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.214&CDS=1-327	YKL061W
OG0000744	genemark-HE978314-processed-gene-11.151-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.151&CDS=1-1137	YDR058C
OG0000745	genemark-HE978314-processed-gene-11.152-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.152&CDS=1-1080	YKL060C
OG0000746	genemark-HE978314-processed-gene-11.153-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.153&CDS=1-1266	YKL059C
OG0000747	genemark-HE978314-processed-gene-11.106-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.106&CDS=1-357	YKL058W
OG0000748	genemark-HE978314-processed-gene-11.154-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.154&CDS=1-501	YKL056C
OG0000749	snap_masked-HE978314-processed-gene-11.264-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.264&CDS=1-822	YKL055C
OG0000750	genemark-HE978314-processed-gene-11.156-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.156&CDS=1-849	YKL053C-A
OG0000751	genemark-HE978314-processed-gene-11.107-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.107&CDS=1-1521	YPR072W
OG0000752	genemark-HE978314-processed-gene-11.157-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.157&CDS=1-480	YPR073C
OG0000753	snap_masked-HE978314-processed-gene-11.269-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.269&CDS=1-1128	YPR075C
OG0000754	genemark-HE978314-processed-gene-11.108-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.108&CDS=1-987	YPR079W
OG0000755	genemark-HE978314-processed-gene-11.161-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.161&CDS=1-429	YPR082C
OG0000756	snap_masked-HE978314-processed-gene-11.219-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.219&CDS=1-1602	YPR083W
OG0000757	genemark-HE978314-processed-gene-11.111-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.111&CDS=1-1431	YPR084W
OG0000758	augustus_masked-HE978314-processed-gene-11.64-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-11.64&CDS=1-2367	YPR085C
OG0000759	genemark-HE978314-processed-gene-11.112-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.112&CDS=1-2688	YPR089W
OG0000760	genemark-HE978314-processed-gene-11.164-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.164&CDS=1-2358	YPR091C
OG0000761	snap_masked-HE978314-processed-gene-11.275-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.275&CDS=1-306	YPR093C
OG0000762	genemark-HE978314-processed-gene-11.113-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.113&CDS=1-342	YPR094W
OG0000763	snap_masked-HE978314-processed-gene-11.276-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.276&CDS=1-3195	YPR095C
OG0000764	maker-HE978314-augustus-gene-11.310-mRNA-1_1&gene=maker-HE978314-augustus-gene-11.310&CDS=1-3597	YPR097W
OG0000765	genemark-HE978314-processed-gene-11.167-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.167&CDS=1-486	YPR098C
OG0000766	genemark-HE978314-processed-gene-11.116-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.116&CDS=1-420	YPR100W
OG0000767	snap_masked-HE978314-processed-gene-11.226-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.226&CDS=1-471	YPR101W
OG0000768	genemark-HE978314-processed-gene-11.118-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.118&CDS=1-861	YPR103W
OG0000769	genemark-HE978314-processed-gene-11.169-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.169&CDS=1-2970	YPR104C
OG0000770	genemark-HE978314-processed-gene-11.170-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.170&CDS=1-2460	YPR105C
OG0000771	genemark-HE978314-processed-gene-11.119-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.119&CDS=1-876	YPR106W
OG0000772	genemark-HE978314-processed-gene-11.172-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.172&CDS=1-645	YPR107C
OG0000773	genemark-HE978314-processed-gene-11.120-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.120&CDS=1-1224	YPR108W
OG0000774	snap_masked-HE978314-processed-gene-11.230-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.230&CDS=1-864	YPR109W
OG0000775	maker-HE978314-augustus-gene-11.314-mRNA-1_1&gene=maker-HE978314-augustus-gene-11.314&CDS=1-3516	YPR112C
OG0000776	augustus_masked-HE978314-processed-gene-11.26-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-11.26&CDS=1-3783	YGR094W
OG0000777	genemark-HE978314-processed-gene-11.124-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.124&CDS=1-948	YPR114W
OG0000778	snap_masked-HE978314-processed-gene-11.234-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.234&CDS=1-783	YPR116W
OG0000779	augustus_masked-HE978314-processed-gene-11.29-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-11.29&CDS=1-7500	YPR117W
OG0000780	genemark-HE978314-processed-gene-11.126-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.126&CDS=1-1239	YPR118W
OG0000781	genemark-HE978314-processed-gene-11.127-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.127&CDS=1-1344	YPR119W
OG0000782	genemark-HE978314-processed-gene-11.175-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.175&CDS=1-1293	YPR120C
OG0000783	genemark-HE978314-processed-gene-11.176-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.176&CDS=1-1362	YPR125W
OG0000784	genemark-HE978314-processed-gene-11.177-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.177&CDS=1-4356	YGR116W
OG0000785	genemark-HE978314-processed-gene-11.178-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.178&CDS=1-1110	YPR124W
OG0000786	genemark-HE978314-processed-gene-11.179-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.179&CDS=1-3591	YPR122W
OG0000787	genemark-HE978314-processed-gene-11.180-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.180&CDS=1-1698	YPR137W
OG0000788	genemark-HE978314-processed-gene-11.181-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.181&CDS=1-2844	YPR135W
OG0000789	genemark-HE978314-processed-gene-11.129-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.129&CDS=1-1872	YGR119C
OG0000790	genemark-HE978314-processed-gene-11.130-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.130&CDS=1-1395	YPR133C
OG0000791	genemark-HE978314-processed-gene-11.131-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.131&CDS=1-588	YPR131C
OG0000792	genemark-HE978314-processed-gene-11.132-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.132&CDS=1-972	YPR128C
OG0000793	genemark-HE978314-processed-gene-11.133-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.133&CDS=1-1044	YPR140W
OG0000794	genemark-HE978314-processed-gene-11.187-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.187&CDS=1-2154	YPR141C
OG0000795	genemark-HE978314-processed-gene-11.134-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.134&CDS=1-738	YPR143W
OG0000796	genemark-HE978314-processed-gene-11.188-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.188&CDS=1-1536	YGR123C
OG0000797	genemark-HE978314-processed-gene-11.189-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.189&CDS=1-1653	YPR144C
OG0000798	genemark-HE978314-processed-gene-11.190-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.190&CDS=1-1356	YPR148C
OG0000799	genemark-HE978314-processed-gene-11.136-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.136&CDS=1-546	YPR149W
OG0000800	genemark-HE978314-processed-gene-11.192-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.192&CDS=1-531	YPR151C
OG0000801	snap_masked-HE978314-processed-gene-11.303-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.303&CDS=1-1164	YPR152C
OG0000802	genemark-HE978314-processed-gene-11.137-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.137&CDS=1-441	YPR153W
OG0000803	genemark-HE978314-processed-gene-11.138-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.138&CDS=1-663	YPR154W
OG0000804	snap_masked-HE978314-processed-gene-11.304-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.304&CDS=1-1815	YPR155C
OG0000805	genemark-HE978315-processed-gene-0.43-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.43&CDS=1-921	YJR077C
OG0000806	maker-HE978315-augustus-gene-0.2-mRNA-1_1&gene=maker-HE978315-augustus-gene-0.2&CDS=1-1749	YJR075W
OG0000807	maker-HE978315-augustus-gene-0.0-mRNA-1_1&gene=maker-HE978315-augustus-gene-0.0&CDS=1-1071	YJR073C
OG0000808	genemark-HE978315-processed-gene-0.46-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.46&CDS=1-1359	YJR065C
OG0000809	genemark-HE978315-processed-gene-0.64-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.64&CDS=1-1668	YJR064W
OG0000810	genemark-HE978315-processed-gene-0.65-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.65&CDS=1-375	YJR063W
OG0000811	genemark-HE978315-processed-gene-0.47-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.47&CDS=1-1278	YJR062C
OG0000812	snap_masked-HE978315-processed-gene-0.116-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.116&CDS=1-894	YKL206C
OG0000813	snap_masked-HE978315-processed-gene-0.92-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.92&CDS=1-1887	YKL204W
OG0000814	genemark-HE978315-processed-gene-0.69-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.69&CDS=1-990	YJR060W
OG0000815	genemark-HE978315-processed-gene-0.49-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.49&CDS=1-531	YJR056C
OG0000816	genemark-HE978315-processed-gene-0.71-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.71&CDS=1-462	YJR055W
OG0000817	snap_masked-HE978315-processed-gene-0.121-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.121&CDS=1-1578	YJR054W
OG0000818	snap_masked-HE978315-processed-gene-0.122-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.122&CDS=1-1761	YJR053W
OG0000819	genemark-HE978315-processed-gene-0.73-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.73&CDS=1-1707	YJR052W
OG0000820	augustus_masked-HE978315-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-0.35&CDS=1-2010	YGL236C
OG0000821	augustus_masked-HE978315-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-0.13&CDS=1-5754	YGL234W
OG0000822	snap_masked-HE978315-processed-gene-0.98-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.98&CDS=1-1665	YGL228W
OG0000823	genemark-HE978315-processed-gene-0.55-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.55&CDS=1-2313	YGL227W
OG0000824	genemark-HE978315-processed-gene-0.78-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.78&CDS=1-267	YGL226C-A
OG0000825	snap_masked-HE978315-processed-gene-0.100-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.100&CDS=1-477	YGL226W
OG0000826	genemark-HE978315-processed-gene-0.57-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.57&CDS=1-1008	YGL225W
OG0000827	snap_masked-HE978315-processed-gene-0.102-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.102&CDS=1-1857	YER036C
OG0000828	genemark-HE978315-processed-gene-0.82-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.82&CDS=1-885	YGL221C
OG0000829	genemark-HE978315-processed-gene-0.59-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.59&CDS=1-1755	YGR255C
OG0000830	genemark-HE978315-processed-gene-0.83-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.83&CDS=1-1527	YGL219C
OG0000831	genemark-HE978315-processed-gene-0.60-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.60&CDS=1-2169	YGL216W
OG0000832	augustus_masked-HE978315-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.93&CDS=1-1503	YGL215W
OG0000833	genemark-HE978315-processed-gene-1.53-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.53&CDS=1-1185	YGL213C
OG0000834	augustus_masked-HE978315-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.94&CDS=1-1047	YGL212W
OG0000835	maker-HE978315-augustus-gene-1.137-mRNA-1_1&gene=maker-HE978315-augustus-gene-1.137&CDS=1-1773	YGL211W
OG0000836	genemark-HE978315-processed-gene-1.52-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.52&CDS=1-3099	YGL207W
OG0000837	genemark-HE978315-processed-gene-1.69-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.69&CDS=1-4959	YGL206C
OG0000838	augustus_masked-HE978315-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.99&CDS=1-2991	YGL205W
OG0000839	genemark-HE978315-processed-gene-1.70-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.70&CDS=1-2112	YGL203C
OG0000840	genemark-HE978315-processed-gene-1.56-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.56&CDS=1-1488	YGL202W
OG0000841	genemark-HE978315-processed-gene-1.71-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.71&CDS=1-3048	YGL201C
OG0000842	snap_masked-HE978315-processed-gene-1.25-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-1.25&CDS=1-1212	YGR142W
OG0000843	genemark-HE978315-processed-gene-1.74-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.74&CDS=1-1368	YGR141W
OG0000844	snap_masked-HE978315-processed-gene-1.27-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-1.27&CDS=1-2562	YGR140W
OG0000845	genemark-HE978315-processed-gene-1.77-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.77&CDS=1-777	YGR135W
OG0000846	augustus_masked-HE978315-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.119&CDS=1-3114	YGR134W
OG0000847	genemark-HE978315-processed-gene-1.79-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.79&CDS=1-459	YGR133W
OG0000848	genemark-HE978315-processed-gene-1.59-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.59&CDS=1-852	YGR132C
OG0000849	snap_masked-HE978315-processed-gene-1.33-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-1.33&CDS=1-621	YGR129W
OG0000850	augustus_masked-HE978315-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.105&CDS=1-1821	YGR128C
OG0000851	genemark-HE978315-processed-gene-1.82-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.82&CDS=1-939	YGR127W
OG0000852	genemark-HE978315-processed-gene-1.83-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.83&CDS=1-675	YGR126W
OG0000853	augustus_masked-HE978315-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.125&CDS=1-3258	YGR125W
OG0000854	augustus_masked-HE978315-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.126&CDS=1-1245	YGR122W
OG0000855	genemark-HE978315-processed-gene-1.62-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.62&CDS=1-789	YGR120C
