	Saccharomyces_cerevisiae	yHMPu5000034904_Ogataea_nonfermentans
OG0000635	YLR390W-A	snap_masked-flattened_line_0-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.111&CDS=1-933, snap_masked-flattened_line_0-processed-gene-31.141-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-31.141&CDS=1-933
OG0000636	YLR393W	snap_masked-flattened_line_0-processed-gene-11.104-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.104&CDS=1-888, snap_masked-flattened_line_0-processed-gene-20.129-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-20.129&CDS=1-888
OG0000637	YLR397C	genemark-flattened_line_0-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.71&CDS=1-2478, genemark-flattened_line_0-processed-gene-31.206-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-31.206&CDS=1-2478
OG0000638	YLR398C	snap_masked-flattened_line_0-processed-gene-11.103-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.103&CDS=1-3693, snap_masked-flattened_line_0-processed-gene-20.130-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-20.130&CDS=1-3693
OG0000639	YLR433C, YML057W	maker-flattened_line_9-snap-gene-1.116-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-1.116&CDS=1-3201
OG0000640	YLR440C	snap_masked-flattened_line_0-processed-gene-22.88-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-22.88&CDS=1-2097, snap_masked-flattened_line_0-processed-gene-9.144-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.144&CDS=1-2097
OG0000641	YLR447C	snap_masked-flattened_line_0-processed-gene-26.48-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-26.48&CDS=1-1038, snap_masked-flattened_line_0-processed-gene-5.30-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.30&CDS=1-1038
OG0000642	YLR456W, YPR172W	snap_masked-flattened_line_19-processed-gene-0.159-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.159&CDS=1-534
OG0000643	YML002W	snap_masked-flattened_line_0-processed-gene-26.34-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-26.34&CDS=1-3630, snap_masked-flattened_line_0-processed-gene-5.44-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.44&CDS=1-3630
OG0000644	YML008C	snap_masked-flattened_line_0-processed-gene-1.168-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.168&CDS=1-1131, snap_masked-flattened_line_0-processed-gene-30.158-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-30.158&CDS=1-1131
OG0000645	YML017W	snap_masked-flattened_line_0-processed-gene-11.66-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.66&CDS=1-1728, snap_masked-flattened_line_0-processed-gene-21.156-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.156&CDS=1-1728
OG0000646	YML020W	snap_masked-flattened_line_0-processed-gene-15.134-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.134&CDS=1-1749, snap_masked-flattened_line_0-processed-gene-17.11-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-17.11&CDS=1-1749
OG0000647	YML021C	snap_masked-flattened_line_0-processed-gene-15.129-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.129&CDS=1-954, snap_masked-flattened_line_0-processed-gene-17.40-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-17.40&CDS=1-954
OG0000648	YML022W	snap_masked-flattened_line_0-processed-gene-14.25-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.25&CDS=1-576, snap_masked-flattened_line_0-processed-gene-17.43-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-17.43&CDS=1-576
OG0000649	YML038C	snap_masked-flattened_line_5-processed-gene-4.72-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.72&CDS=1-1704, snap_masked-flattened_line_5-processed-gene-4.97-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.97&CDS=1-1356
OG0000650	YML061C	augustus_masked-flattened_line_0-processed-gene-22.166-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-22.166&CDS=1-2472, augustus_masked-flattened_line_0-processed-gene-9.72-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.72&CDS=1-2472
OG0000651	YML072C	augustus_masked-flattened_line_0-processed-gene-26.122-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-26.122&CDS=1-5307, augustus_masked-flattened_line_0-processed-gene-5.162-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.162&CDS=1-5307
OG0000652	YML073C	snap_masked-flattened_line_0-processed-gene-26.46-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-26.46&CDS=1-522, snap_masked-flattened_line_0-processed-gene-5.32-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.32&CDS=1-522
OG0000653	YML076C	augustus_masked-flattened_line_0-processed-gene-26.139-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-26.139&CDS=1-2613, augustus_masked-flattened_line_0-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.143&CDS=1-2613
OG0000654	YML077W	snap_masked-flattened_line_0-processed-gene-26.24-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-26.24&CDS=1-684, snap_masked-flattened_line_0-processed-gene-5.55-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.55&CDS=1-684
OG0000655	YML079W	snap_masked-flattened_line_0-processed-gene-10.178-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.178&CDS=1-699, snap_masked-flattened_line_0-processed-gene-21.177-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.177&CDS=1-699
OG0000656	YML092C	maker-flattened_line_0-snap-gene-10.137-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-10.137&CDS=1-750, maker-flattened_line_0-snap-gene-22.178-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-22.178&CDS=1-750
OG0000657	YML097C	augustus_masked-flattened_line_0-processed-gene-12.55-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.55&CDS=1-3540, augustus_masked-flattened_line_0-processed-gene-19.153-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-19.153&CDS=1-3540
OG0000658	YML100W, YMR261C	maker-flattened_line_9-snap-gene-3.107-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-3.107&CDS=1-3105
OG0000659	YML103C	snap_masked-flattened_line_0-processed-gene-13.85-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.85&CDS=1-4815, snap_masked-flattened_line_0-processed-gene-19.10-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-19.10&CDS=1-4815
OG0000660	YML106W, YMR271C	genemark-flattened_line_11-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.39&CDS=1-651
OG0000661	YML109W, YMR273C	snap_masked-flattened_line_1-processed-gene-1.21-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.21&CDS=1-1803
OG0000662	YML123C	snap_masked-flattened_line_0-processed-gene-12.139-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.139&CDS=1-1692, snap_masked-flattened_line_0-processed-gene-19.63-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-19.63&CDS=1-1692
OG0000663	YMR010W	snap_masked-flattened_line_0-processed-gene-10.168-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.168&CDS=1-1173, snap_masked-flattened_line_0-processed-gene-22.95-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-22.95&CDS=1-1173
OG0000664	YMR015C	genemark-flattened_line_0-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.63&CDS=1-1593, genemark-flattened_line_0-processed-gene-31.215-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-31.215&CDS=1-1593
OG0000665	YMR027W	maker-flattened_line_0-snap-gene-26.145-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-26.145&CDS=1-3093, maker-flattened_line_0-snap-gene-5.177-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.177&CDS=1-3093
OG0000666	YMR034C	snap_masked-flattened_line_0-processed-gene-10.161-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.161&CDS=1-1203, snap_masked-flattened_line_0-processed-gene-22.76-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-22.76&CDS=1-1203
OG0000667	YMR035W	snap_masked-flattened_line_0-processed-gene-1.182-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.182&CDS=1-570, snap_masked-flattened_line_0-processed-gene-30.140-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-30.140&CDS=1-570
OG0000668	YMR036C	augustus_masked-flattened_line_0-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.21&CDS=1-1977, augustus_masked-flattened_line_0-processed-gene-30.46-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-30.46&CDS=1-1977
OG0000669	YMR038C	snap_masked-flattened_line_0-processed-gene-1.158-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.158&CDS=1-708, snap_masked-flattened_line_0-processed-gene-30.168-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-30.168&CDS=1-708
OG0000670	YMR042W, YMR043W	maker-flattened_line_3-augustus-gene-5.57-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-5.57&CDS=1-684
OG0000671	YMR068W	snap_masked-flattened_line_0-processed-gene-15.145-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.145&CDS=1-1596, snap_masked-flattened_line_0-processed-gene-16.41-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-16.41&CDS=1-1596
OG0000672	YMR071C	maker-flattened_line_0-snap-gene-15.124-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-15.124&CDS=1-495, maker-flattened_line_0-snap-gene-16.88-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-16.88&CDS=1-495
OG0000673	YMR077C	snap_masked-flattened_line_0-processed-gene-13.90-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.90&CDS=1-624, snap_masked-flattened_line_0-processed-gene-18.100-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.100&CDS=1-624
OG0000674	YMR098C	snap_masked-flattened_line_0-processed-gene-28.102-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-28.102&CDS=1-1476, snap_masked-flattened_line_0-processed-gene-4.67-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.67&CDS=1-1476
OG0000675	YMR100W	snap_masked-flattened_line_0-processed-gene-14.27-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.27&CDS=1-2139, snap_masked-flattened_line_0-processed-gene-17.41-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-17.41&CDS=1-2139
OG0000676	YMR117C	snap_masked-flattened_line_0-processed-gene-27.184-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-27.184&CDS=1-597, snap_masked-flattened_line_0-processed-gene-4.84-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.84&CDS=1-597
OG0000677	YMR145C	snap_masked-flattened_line_0-processed-gene-24.104-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-24.104&CDS=1-1611, snap_masked-flattened_line_0-processed-gene-7.93-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.93&CDS=1-1611
OG0000678	YMR152W	snap_masked-flattened_line_9-processed-gene-2.109-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.109&CDS=1-1077, snap_masked-flattened_line_9-processed-gene-2.110-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.110&CDS=1-1122
OG0000679	YMR169C, YMR170C	snap_masked-flattened_line_13-processed-gene-3.254-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.254&CDS=1-1476
OG0000680	YMR177W, YPL224C	maker-flattened_line_15-augustus-gene-1.68-mRNA-1_1&gene=maker-flattened_line_15-augustus-gene-1.68&CDS=1-4776
OG0000681	YMR186W	snap_masked-flattened_line_0-processed-gene-29.100-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-29.100&CDS=1-2103, snap_masked-flattened_line_0-processed-gene-3.64-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.64&CDS=1-2103
OG0000682	YMR210W	genemark-flattened_line_0-processed-gene-12.86-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-12.86&CDS=1-4707, genemark-flattened_line_0-processed-gene-19.117-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-19.117&CDS=1-4707
OG0000683	YMR211W	snap_masked-flattened_line_0-processed-gene-24.86-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-24.86&CDS=1-1344, snap_masked-flattened_line_0-processed-gene-7.118-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.118&CDS=1-1344
OG0000684	YMR212C	snap_masked-flattened_line_0-processed-gene-1.179-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.179&CDS=1-2364, snap_masked-flattened_line_0-processed-gene-30.143-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-30.143&CDS=1-2364
OG0000685	YMR214W	augustus_masked-flattened_line_0-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.38&CDS=1-2334, augustus_masked-flattened_line_0-processed-gene-30.27-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-30.27&CDS=1-2334
OG0000686	YMR220W	snap_masked-flattened_line_0-processed-gene-10.191-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.191&CDS=1-1293, snap_masked-flattened_line_0-processed-gene-21.164-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.164&CDS=1-1293
OG0000687	YMR229C	snap_masked-flattened_line_0-processed-gene-2.40-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.40&CDS=1-4980, snap_masked-flattened_line_0-processed-gene-29.83-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-29.83&CDS=1-4980
OG0000688	YMR230W, YOR293W	maker-flattened_line_7-snap-gene-3.62-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-3.62&CDS=1-357
OG0000689	YMR233W	snap_masked-flattened_line_0-processed-gene-25.150-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.150&CDS=1-597, snap_masked-flattened_line_0-processed-gene-7.88-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.88&CDS=1-597
OG0000690	YMR237W, YOR299W	maker-flattened_line_21-snap-gene-1.172-mRNA-1_1&gene=maker-flattened_line_21-snap-gene-1.172&CDS=1-2367
OG0000691	YMR242C, YOR312C	augustus_masked-flattened_line_5-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-3.117&CDS=1-717
OG0000692	YMR243C, YOR316C	snap_masked-flattened_line_7-processed-gene-3.87-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.87&CDS=1-2301
OG0000693	YMR253C, YPL264C	maker-flattened_line_17-snap-gene-1.198-mRNA-1_1&gene=maker-flattened_line_17-snap-gene-1.198&CDS=1-2655
OG0000694	YMR266W	maker-flattened_line_0-snap-gene-14.98-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-14.98&CDS=1-3774, maker-flattened_line_0-snap-gene-17.57-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-17.57&CDS=1-3774
OG0000695	YMR268C	snap_masked-flattened_line_0-processed-gene-13.114-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.114&CDS=1-2298, snap_masked-flattened_line_0-processed-gene-19.9-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-19.9&CDS=1-2298
OG0000696	YMR269W	augustus_masked-flattened_line_0-processed-gene-13.155-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.155&CDS=1-3576, augustus_masked-flattened_line_0-processed-gene-18.33-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.33&CDS=1-3576
OG0000697	YMR286W	snap_masked-flattened_line_0-processed-gene-25.189-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.189&CDS=1-279, snap_masked-flattened_line_0-processed-gene-7.78-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.78&CDS=1-279
OG0000698	YNL021W	snap_masked-flattened_line_0-processed-gene-28.91-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-28.91&CDS=1-2169, snap_masked-flattened_line_0-processed-gene-3.112-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.112&CDS=1-2169
OG0000699	YNL022C	snap_masked-flattened_line_0-processed-gene-28.114-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-28.114&CDS=1-1305, snap_masked-flattened_line_0-processed-gene-3.88-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.88&CDS=1-1305
OG0000700	YNL035C	snap_masked-flattened_line_0-processed-gene-28.116-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-28.116&CDS=1-1095, snap_masked-flattened_line_0-processed-gene-3.86-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.86&CDS=1-1095
OG0000701	YNL036W	genemark-flattened_line_0-processed-gene-10.68-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.68&CDS=1-858, genemark-flattened_line_0-processed-gene-21.96-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-21.96&CDS=1-858
OG0000702	YNL039W	snap_masked-flattened_line_0-processed-gene-28.92-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-28.92&CDS=1-1863, snap_masked-flattened_line_0-processed-gene-3.111-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.111&CDS=1-1863
OG0000703	YNL059C	snap_masked-flattened_line_0-processed-gene-25.158-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.158&CDS=1-2220, snap_masked-flattened_line_0-processed-gene-7.108-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.108&CDS=1-2220
OG0000704	YNL061W	snap_masked-flattened_line_0-processed-gene-25.187-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.187&CDS=1-1824, snap_masked-flattened_line_0-processed-gene-7.80-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.80&CDS=1-1824
OG0000705	YNL062C	snap_masked-flattened_line_0-processed-gene-25.159-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.159&CDS=1-1314, snap_masked-flattened_line_0-processed-gene-7.107-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.107&CDS=1-1314
OG0000706	YNL063W	augustus_masked-flattened_line_0-processed-gene-25.122-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-25.122&CDS=1-807, augustus_masked-flattened_line_0-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.9&CDS=1-807
OG0000707	YNL071W	augustus_masked-flattened_line_0-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.39&CDS=1-2760, augustus_masked-flattened_line_0-processed-gene-31.24-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-31.24&CDS=1-2760
OG0000708	YNL072W	snap_masked-flattened_line_0-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.130&CDS=1-915, snap_masked-flattened_line_0-processed-gene-31.122-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-31.122&CDS=1-915
OG0000709	YNL073W	snap_masked-flattened_line_0-processed-gene-1.138-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.138&CDS=1-1644, snap_masked-flattened_line_0-processed-gene-31.116-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-31.116&CDS=1-1644
OG0000710	YNL084C	snap_masked-flattened_line_0-processed-gene-13.105-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.105&CDS=1-1134, snap_masked-flattened_line_0-processed-gene-18.85-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.85&CDS=1-1134
OG0000711	YNL095C, YOR092W	maker-flattened_line_21-snap-gene-1.176-mRNA-1_1&gene=maker-flattened_line_21-snap-gene-1.176&CDS=1-3483
OG0000712	YNL106C, YOR109W	augustus_masked-flattened_line_5-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-1.125&CDS=1-4062
OG0000713	YNL108C, YOR110W	maker-flattened_line_3-snap-gene-10.54-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-10.54&CDS=1-1221
OG0000714	YNL110C	snap_masked-flattened_line_0-processed-gene-0.146-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.146&CDS=1-795, snap_masked-flattened_line_0-processed-gene-31.98-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-31.98&CDS=1-795
OG0000715	YNL111C	snap_masked-flattened_line_0-processed-gene-0.113-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.113&CDS=1-357, snap_masked-flattened_line_0-processed-gene-31.139-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-31.139&CDS=1-357
OG0000716	YNL137C	snap_masked-flattened_line_0-processed-gene-25.188-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.188&CDS=1-1431, snap_masked-flattened_line_0-processed-gene-7.79-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.79&CDS=1-1431
OG0000717	YNL138W	snap_masked-flattened_line_0-processed-gene-25.186-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.186&CDS=1-1548, snap_masked-flattened_line_0-processed-gene-7.81-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.81&CDS=1-1548
OG0000718	YNL138W-A	snap_masked-flattened_line_0-processed-gene-11.58-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.58&CDS=1-252, snap_masked-flattened_line_0-processed-gene-21.159-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.159&CDS=1-252
OG0000719	YNL139C	snap_masked-flattened_line_0-processed-gene-11.62-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.62&CDS=1-4476, snap_masked-flattened_line_0-processed-gene-21.142-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.142&CDS=1-4476
OG0000720	YNL183C	snap_masked-flattened_line_0-processed-gene-11.61-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.61&CDS=1-2292, snap_masked-flattened_line_0-processed-gene-21.143-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.143&CDS=1-2292
OG0000721	YNL185C	snap_masked-flattened_line_0-processed-gene-11.60-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.60&CDS=1-426, snap_masked-flattened_line_0-processed-gene-21.144-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.144&CDS=1-426
OG0000722	YNL186W	snap_masked-flattened_line_0-processed-gene-11.57-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.57&CDS=1-2142, snap_masked-flattened_line_0-processed-gene-21.160-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.160&CDS=1-2142
OG0000723	YNL218W	snap_masked-flattened_line_0-processed-gene-10.210-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.210&CDS=1-1635, snap_masked-flattened_line_0-processed-gene-21.149-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.149&CDS=1-1635
OG0000724	YNL222W	augustus_masked-flattened_line_0-processed-gene-11.50-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.50&CDS=1-669, augustus_masked-flattened_line_0-processed-gene-20.14-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-20.14&CDS=1-669
OG0000725	YNL227C	maker-flattened_line_0-augustus-gene-15.2-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-15.2&CDS=1-3405, maker-flattened_line_0-augustus-gene-17.180-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-17.180&CDS=1-3405
OG0000726	YNL259C	snap_masked-flattened_line_0-processed-gene-1.177-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.177&CDS=1-216, snap_masked-flattened_line_0-processed-gene-30.145-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-30.145&CDS=1-216
OG0000727	YNL275W	snap_masked-flattened_line_0-processed-gene-25.206-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.206&CDS=1-1527, snap_masked-flattened_line_0-processed-gene-6.12-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.12&CDS=1-1527
OG0000728	YNL277W	snap_masked-flattened_line_0-processed-gene-24.91-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-24.91&CDS=1-1446, snap_masked-flattened_line_0-processed-gene-8.60-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.60&CDS=1-1446
OG0000729	YNL298W, YOL113W	snap_masked-flattened_line_25-processed-gene-0.193-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.193&CDS=1-2427
OG0000730	YNL301C, YOL120C	maker-flattened_line_3-snap-gene-8.6-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-8.6&CDS=1-1005
OG0000731	YNL326C	genemark-flattened_line_0-processed-gene-2.101-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.101&CDS=1-5586, genemark-flattened_line_0-processed-gene-29.16-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-29.16&CDS=1-5586
OG0000732	YNL328C	genemark-flattened_line_0-processed-gene-29.7-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-29.7&CDS=1-393, maker-flattened_line_0-augustus-gene-3.119-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-3.119&CDS=1-393
OG0000733	YNL330C	snap_masked-flattened_line_0-processed-gene-2.49-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.49&CDS=1-1560, snap_masked-flattened_line_0-processed-gene-29.74-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-29.74&CDS=1-1560
OG0000734	YNR007C	snap_masked-flattened_line_0-processed-gene-28.123-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-28.123&CDS=1-1020, snap_masked-flattened_line_0-processed-gene-3.79-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.79&CDS=1-1020
OG0000735	YNR008W	snap_masked-flattened_line_0-processed-gene-29.93-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-29.93&CDS=1-1980, snap_masked-flattened_line_0-processed-gene-3.73-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.73&CDS=1-1980
