	Saccharomyces_cerevisiae	yHMPu5000035031_Candida_kruisii
OG0000468	YKL047W	augustus_masked-flattened_line_0-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.101&CDS=1-1692, genemark-flattened_line_0-processed-gene-5.76-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.76&CDS=1-1692
OG0000469	YKL056C	augustus_masked-flattened_line_3-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.120&CDS=1-501, augustus_masked-flattened_line_3-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.48&CDS=1-501
OG0000470	YKL065C, YMR040W	augustus_masked-flattened_line_121-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_121-processed-gene-0.16&CDS=1-567
OG0000471	YKL068W, YMR047C	augustus_masked-flattened_line_12-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.92&CDS=1-3201
OG0000472	YKL072W, YMR053C	augustus_masked-flattened_line_1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-4.67&CDS=1-2982
OG0000473	YKL073W	augustus_masked-flattened_line_0-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.74&CDS=1-2757, augustus_masked-flattened_line_0-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.25&CDS=1-2757
OG0000474	YKL074C	augustus_masked-flattened_line_0-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.73&CDS=1-1803, augustus_masked-flattened_line_0-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.26&CDS=1-1803
OG0000475	YKL088W	augustus_masked-flattened_line_3-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.123&CDS=1-1872, augustus_masked-flattened_line_3-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.45&CDS=1-1872
OG0000476	YKL095W	augustus_masked-flattened_line_0-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.83&CDS=1-882, augustus_masked-flattened_line_0-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.35&CDS=1-882
OG0000477	YKL121W, YMR102C	augustus_masked-flattened_line_20-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.181&CDS=1-2256
OG0000478	YKL126W, YMR104C	genemark-flattened_line_6-processed-gene-1.30-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.30&CDS=1-1959
OG0000479	YKL127W, YMR105C	augustus_masked-flattened_line_89-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.63&CDS=1-1659
OG0000480	YKL129C, YMR109W	genemark-flattened_line_66-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.80&CDS=1-8391
OG0000481	YKL132C, YMR113W	maker-flattened_line_24-augustus-gene-1.261-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.261&CDS=1-3003
OG0000482	YKL134C	augustus_masked-flattened_line_0-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.56&CDS=1-2406, genemark-flattened_line_0-processed-gene-6.60-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.60&CDS=1-2406
OG0000483	YKL141W, YMR118C	augustus_masked-flattened_line_28-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.80&CDS=1-522
OG0000484	YKL215C	augustus_masked-flattened_line_0-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.65&CDS=1-7278, augustus_masked-flattened_line_0-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.49&CDS=1-7278
OG0000485	YKL217W	augustus_masked-flattened_line_12-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.67&CDS=1-1542, augustus_masked-flattened_line_97-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_97-processed-gene-0.42&CDS=1-1527
OG0000486	YKR009C	augustus_masked-flattened_line_16-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.41&CDS=1-2706, augustus_masked-flattened_line_16-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.62&CDS=1-2706
OG0000487	YKR076W, YMR251W	augustus_masked-flattened_line_87-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.72&CDS=1-1005
OG0000488	YKR079C	maker-flattened_line_0-snap-gene-2.124-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-2.124&CDS=1-3114, maker-flattened_line_0-snap-gene-5.53-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.53&CDS=1-3114
OG0000489	YKR089C	augustus_masked-flattened_line_0-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.113&CDS=1-2799, augustus_masked-flattened_line_0-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.7&CDS=1-2799
OG0000490	YLL011W	augustus_masked-flattened_line_0-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.82&CDS=1-1368, snap_masked-flattened_line_0-processed-gene-2.61-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.61&CDS=1-1368
OG0000491	YLL012W, YLR020C	genemark-flattened_line_17-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-1.67&CDS=1-1479
OG0000492	YLL014W	augustus_masked-flattened_line_3-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.134&CDS=1-309, augustus_masked-flattened_line_3-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.88&CDS=1-309
OG0000493	YLL061W, YPL274W	augustus_masked-flattened_line_62-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.106&CDS=1-1809
OG0000494	YLR019W	augustus_masked-flattened_line_0-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.121&CDS=1-1026, augustus_masked-flattened_line_0-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.81&CDS=1-1026
OG0000495	YLR022C	augustus_masked-flattened_line_3-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.155&CDS=1-762, augustus_masked-flattened_line_3-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.71&CDS=1-762
OG0000496	YLR024C	augustus_masked-flattened_line_3-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.157&CDS=1-5637, augustus_masked-flattened_line_3-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.69&CDS=1-5637
OG0000497	YLR029C, YMR121C	augustus_masked-flattened_line_42-processed-gene-0.263-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.263&CDS=1-612
OG0000498	YLR031W, YMR124W	genemark-flattened_line_26-processed-gene-1.173-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.173&CDS=1-3291
OG0000499	YLR099W-A	augustus_masked-flattened_line_3-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.124&CDS=1-249, augustus_masked-flattened_line_3-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.44&CDS=1-249
OG0000500	YLR135W	augustus_masked-flattened_line_3-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-2.141&CDS=1-1935, augustus_masked-flattened_line_3-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.55&CDS=1-1935
OG0000501	YLR166C	augustus_masked-flattened_line_19-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.119&CDS=1-2427, augustus_masked-flattened_line_19-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.67&CDS=1-2427
OG0000502	YLR167W	genemark-flattened_line_19-processed-gene-1.74-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.74&CDS=1-453, genemark-flattened_line_19-processed-gene-2.5-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-2.5&CDS=1-453
OG0000503	YLR188W	snap_masked-flattened_line_82-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.103&CDS=1-2055, snap_masked-flattened_line_82-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.84&CDS=1-2055
OG0000504	YLR189C	augustus_masked-flattened_line_82-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.34&CDS=1-4890, augustus_masked-flattened_line_82-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.9&CDS=1-4890
OG0000505	YLR207W	augustus_masked-flattened_line_0-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.53&CDS=1-2346, genemark-flattened_line_0-processed-gene-6.63-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.63&CDS=1-2346
OG0000506	YLR215C	augustus_masked-flattened_line_3-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-2.153&CDS=1-1017, genemark-flattened_line_3-processed-gene-2.73-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.73&CDS=1-1017
OG0000507	YLR243W	augustus_masked-flattened_line_19-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.58&CDS=1-822, augustus_masked-flattened_line_19-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.104&CDS=1-822
OG0000508	YLR244C	augustus_masked-flattened_line_19-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.80&CDS=1-1110, augustus_masked-flattened_line_19-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.78&CDS=1-1110
OG0000509	YLR245C	augustus_masked-flattened_line_19-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.81&CDS=1-432, augustus_masked-flattened_line_19-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.77&CDS=1-432
OG0000510	YLR260W, YOR171C	augustus_masked-flattened_line_115-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_115-processed-gene-0.16&CDS=1-1491
OG0000511	YLR264W, YOR167C	augustus_masked-flattened_line_36-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.32&CDS=1-201
OG0000512	YLR270W, YOR173W	augustus_masked-flattened_line_24-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.52&CDS=1-915
OG0000513	YLR273C, YOR178C	augustus_masked-flattened_line_36-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.18&CDS=1-1737
OG0000514	YLR284C, YOR180C	augustus_masked-flattened_line_34-processed-gene-1.247-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.247&CDS=1-825
OG0000515	YLR287C-A, YOR182C	maker-flattened_line_42-augustus-gene-0.86-mRNA-1_1&gene=maker-flattened_line_42-augustus-gene-0.86&CDS=1-747
OG0000516	YLR300W, YOR190W	augustus_masked-flattened_line_72-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.84&CDS=1-1296
OG0000517	YLR306W	augustus_masked-flattened_line_0-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.95&CDS=1-582, augustus_masked-flattened_line_0-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.107&CDS=1-582
OG0000518	YLR310C	augustus_masked-flattened_line_16-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.38&CDS=1-3960, augustus_masked-flattened_line_16-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.81&CDS=1-3960
OG0000519	YLR330W	maker-flattened_line_16-augustus-gene-1.56-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-1.56&CDS=1-3420, maker-flattened_line_16-augustus-gene-2.246-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-2.246&CDS=1-3420
OG0000520	YLR370C	augustus_masked-flattened_line_0-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.113&CDS=1-528, augustus_masked-flattened_line_0-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.86&CDS=1-528
OG0000521	YLR372W	augustus_masked-flattened_line_0-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.100&CDS=1-969, augustus_masked-flattened_line_0-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.119&CDS=1-969
OG0000522	YLR395C	augustus_masked-flattened_line_16-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.96&CDS=1-255, augustus_masked-flattened_line_16-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.30&CDS=1-255
OG0000523	YLR396C	augustus_masked-flattened_line_16-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.97&CDS=1-1932, augustus_masked-flattened_line_16-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.29&CDS=1-1932
OG0000524	YLR411W	augustus_masked-flattened_line_19-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.116&CDS=1-645, augustus_masked-flattened_line_19-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.125&CDS=1-645
OG0000525	YLR449W, YML074C	augustus_masked-flattened_line_68-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.93&CDS=1-1284
OG0000526	YLR450W, YML075C	augustus_masked-flattened_line_68-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.94&CDS=1-4785
OG0000527	YLR456W, YPR172W	augustus_masked-flattened_line_74-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.96&CDS=1-540
OG0000528	YML013W	augustus_masked-flattened_line_19-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.75&CDS=1-1608, augustus_masked-flattened_line_19-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.83&CDS=1-1608
OG0000529	YML014W	augustus_masked-flattened_line_82-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.17&CDS=1-858, augustus_masked-flattened_line_82-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.26&CDS=1-858
OG0000530	YML100W, YMR261C	snap_masked-flattened_line_56-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.26&CDS=1-3177
OG0000531	YML106W, YMR271C	augustus_masked-flattened_line_89-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.51&CDS=1-663
OG0000532	YMR036C	augustus_masked-flattened_line_16-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.29&CDS=1-2232, augustus_masked-flattened_line_16-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.90&CDS=1-2232
OG0000533	YMR055C	augustus_masked-flattened_line_0-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.69&CDS=1-948, augustus_masked-flattened_line_0-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.45&CDS=1-948
OG0000534	YMR058W	maker-flattened_line_0-augustus-gene-1.2-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-1.2&CDS=1-3384, maker-flattened_line_0-augustus-gene-6.233-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-6.233&CDS=1-3384
OG0000535	YMR073C	augustus_masked-flattened_line_16-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.103&CDS=1-450, augustus_masked-flattened_line_16-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.20&CDS=1-450
OG0000536	YMR119W, YNL008C	maker-flattened_line_34-snap-gene-1.172-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-1.172&CDS=1-2268
OG0000537	YMR155W	augustus_masked-flattened_line_3-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.6&CDS=1-1521, augustus_masked-flattened_line_3-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.68&CDS=1-1521
OG0000538	YMR169C, YMR170C	augustus_masked-flattened_line_76-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.3&CDS=1-1503
OG0000539	YMR171C	augustus_masked-flattened_line_3-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.159&CDS=1-1464, augustus_masked-flattened_line_3-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.67&CDS=1-1464
OG0000540	YMR177W, YPL224C	snap_masked-flattened_line_14-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.31&CDS=1-1143
OG0000541	YMR182C, YPL230W	augustus_masked-flattened_line_125-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_125-processed-gene-0.13&CDS=1-1242
OG0000542	YMR183C, YPL232W	augustus_masked-flattened_line_36-processed-gene-1.228-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.228&CDS=1-852
OG0000543	YMR194W, YPL249C-A	augustus_masked-flattened_line_26-processed-gene-1.209-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.209&CDS=1-984
OG0000544	YMR199W, YPL256C	augustus_masked-flattened_line_68-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.84&CDS=1-1692
OG0000545	YMR220W	augustus_masked-flattened_line_3-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.152&CDS=1-1350, augustus_masked-flattened_line_3-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.74&CDS=1-1350
OG0000546	YMR230W, YOR293W	genemark-flattened_line_89-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_89-processed-gene-0.10&CDS=1-363
OG0000547	YMR237W, YOR299W	genemark-flattened_line_78-processed-gene-0.162-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.162&CDS=1-2163
OG0000548	YMR241W	augustus_masked-flattened_line_0-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.111&CDS=1-906, augustus_masked-flattened_line_0-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.88&CDS=1-906
OG0000549	YMR242C, YOR312C	augustus_masked-flattened_line_30-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.3&CDS=1-516
OG0000550	YMR253C, YPL264C	augustus_masked-flattened_line_17-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.10&CDS=1-1284
OG0000551	YMR289W	maker-flattened_line_0-augustus-gene-2.0-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-2.0&CDS=1-1686, maker-flattened_line_0-augustus-gene-5.165-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-5.165&CDS=1-1686
OG0000552	YMR303C, YOL086C	augustus_masked-flattened_line_6-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.69&CDS=1-1044
OG0000553	YMR307W	augustus_masked-flattened_line_16-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.53&CDS=1-1623, augustus_masked-flattened_line_16-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.50&CDS=1-1623
OG0000554	YMR310C	augustus_masked-flattened_line_3-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-2.112&CDS=1-1119, augustus_masked-flattened_line_3-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.65&CDS=1-1119
OG0000555	YMR311C	augustus_masked-flattened_line_3-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.132&CDS=1-585, augustus_masked-flattened_line_3-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.90&CDS=1-585
OG0000556	YNL036W	augustus_masked-flattened_line_16-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.49&CDS=1-816, augustus_masked-flattened_line_16-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.54&CDS=1-816
OG0000557	YNL041C	augustus_masked-flattened_line_16-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.72&CDS=1-2334, augustus_masked-flattened_line_16-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.67&CDS=1-2334
OG0000558	YNL042W	augustus_masked-flattened_line_16-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.92&CDS=1-1551, augustus_masked-flattened_line_16-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.34&CDS=1-1551
OG0000559	YNL059C	augustus_masked-flattened_line_0-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.23&CDS=1-2313, augustus_masked-flattened_line_0-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.61&CDS=1-2313
OG0000560	YNL061W	augustus_masked-flattened_line_0-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.46&CDS=1-1848, augustus_masked-flattened_line_0-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.57&CDS=1-1848
OG0000561	YNL062C	augustus_masked-flattened_line_0-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.24&CDS=1-1386, augustus_masked-flattened_line_0-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.60&CDS=1-1386
OG0000562	YNL064C	augustus_masked-flattened_line_0-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.44&CDS=1-1218, augustus_masked-flattened_line_0-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.59&CDS=1-1218
OG0000563	YNL084C	augustus_masked-flattened_line_16-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.33&CDS=1-1128, augustus_masked-flattened_line_16-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.86&CDS=1-1128
OG0000564	YNL096C, YOR096W	augustus_masked-flattened_line_38-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.55&CDS=1-564
OG0000565	YNL106C, YOR109W	augustus_masked-flattened_line_36-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.25&CDS=1-3891
OG0000566	YNL108C, YOR110W	maker-flattened_line_36-augustus-gene-0.113-mRNA-1_1&gene=maker-flattened_line_36-augustus-gene-0.113&CDS=1-1404
OG0000567	YNL115C	augustus_masked-flattened_line_0-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.63&CDS=1-1653, augustus_masked-flattened_line_0-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.107&CDS=1-1653
OG0000568	YNL124W	augustus_masked-flattened_line_0-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.26&CDS=1-1758, snap_masked-flattened_line_0-processed-gene-3.153-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.153&CDS=1-1449
OG0000569	YNL129W	augustus_masked-flattened_line_0-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.43&CDS=1-714, augustus_masked-flattened_line_0-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.62&CDS=1-714
OG0000570	YNL137C	augustus_masked-flattened_line_0-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.47&CDS=1-2043, augustus_masked-flattened_line_0-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.56&CDS=1-2043
OG0000571	YNL138W	augustus_masked-flattened_line_0-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.45&CDS=1-1617, augustus_masked-flattened_line_0-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.58&CDS=1-1617
OG0000572	YNL206C	augustus_masked-flattened_line_0-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.66&CDS=1-1437, augustus_masked-flattened_line_0-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.104&CDS=1-1437
OG0000573	YNL211C	augustus_masked-flattened_line_0-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.70&CDS=1-252, augustus_masked-flattened_line_0-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.100&CDS=1-252
OG0000574	YNL212W	augustus_masked-flattened_line_0-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.45&CDS=1-2430, augustus_masked-flattened_line_0-processed-gene-6.141-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.141&CDS=1-2430
OG0000575	YNL277W	maker-flattened_line_82-augustus-gene-0.107-mRNA-1_1&gene=maker-flattened_line_82-augustus-gene-0.107&CDS=1-2610, maker-flattened_line_82-augustus-gene-0.111-mRNA-1_1&gene=maker-flattened_line_82-augustus-gene-0.111&CDS=1-2610
OG0000576	YNL301C, YOL120C	maker-flattened_line_4-snap-gene-0.34-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-0.34&CDS=1-2154
