	Fusarium_graminearum	Saccharomyces_cerevisiae
OG0000311	XP_011318898.1	YGR141W, YPR157W
OG0000312	XP_011318902.1	YHR132W-A, YNL157W
OG0000313	XP_011318920.1, XP_011326099.1	YLR063W
OG0000314	XP_011318940.1	YBL085W, YER114C
OG0000315	XP_011318968.1	YCR094W, YNR048W
OG0000316	XP_011318998.1	YAR002C-A, YGL002W
OG0000317	XP_011319033.1, XP_011320990.1	YPL069C
OG0000318	XP_011319057.1, XP_011322619.1	YKL218C
OG0000319	XP_011319092.1	YGR038W, YLR350W
OG0000320	XP_011319108.1, XP_011322155.1	YAL053W
OG0000321	XP_011319123.1	YHR141C, YNL162W
OG0000322	XP_011319148.1	YAL015C, YOL043C
OG0000323	XP_011319188.1	YBL056W, YER089C
OG0000324	XP_011319254.1	YEL006W, YIL006W
OG0000325	XP_011319279.1	YDR185C, YLR168C
OG0000326	XP_011319342.1	YBL091C-A, YER120W
OG0000327	XP_011319348.1	YKL132C, YMR113W
OG0000328	XP_011319481.1, XP_011326891.1	YCL039W
OG0000329	XP_011319517.1	YJL098W, YKR028W
OG0000330	XP_011319521.1, XP_011327034.1	YJL190C
OG0000331	XP_011319750.1, XP_011321044.1	YFL017C
OG0000332	XP_011319753.1	YDR368W, YOR120W
OG0000333	XP_011319811.1	YBR191W, YPL079W
OG0000334	XP_011319849.1	YBR273C, YJL048C
OG0000335	XP_011319855.1, XP_011323985.1	YLR229C
OG0000336	XP_011319862.1	YGR136W, YPR154W
OG0000337	XP_011319920.1, XP_011320028.1	YDR423C
OG0000338	XP_011319958.1, XP_011323650.1	YBR151W
OG0000339	XP_011320005.1	YDR348C, YHR097C
OG0000340	XP_011320008.1, XP_011322519.1	YNL217W
OG0000341	XP_011320018.1	YHR203C, YJR145C
OG0000342	XP_011320031.1	YGR238C, YHR158C
OG0000343	XP_011320034.1	YIR031C, YNL117W
OG0000344	XP_011320049.1	YLR456W, YPR172W
OG0000345	XP_011320063.1	YGL031C, YGR148C
OG0000346	XP_011320065.1	YDR252W, YPL037C
OG0000347	XP_011320071.1	YDR500C, YLR185W
OG0000348	XP_011320073.1, XP_011328773.1	YJR099W
OG0000349	XP_011320108.1	YGR092W, YPR111W
OG0000350	XP_011320128.1	YDR253C, YPL038W
OG0000351	XP_011320164.1	YAR042W, YDL019C
OG0000352	XP_011320183.1	YGR243W, YHR162W
OG0000353	XP_011320191.1	YHL001W, YKL006W
OG0000354	XP_011320207.1, XP_011322504.1	YHL032C
OG0000355	XP_011320216.1	YCR026C, YEL016C
OG0000356	XP_011320276.1	YKL068W, YMR047C
OG0000357	XP_011320278.1	YDL161W, YLR206W
OG0000358	XP_011320286.1	YHL033C, YLL045C
OG0000359	XP_011320297.1, XP_011322636.1	YBR160W
OG0000360	XP_011320426.1	YGR004W, YLR324W
OG0000361	XP_011320432.1, XP_011328834.1	YAL044C
OG0000362	XP_011320454.1	YDL082W, YMR142C
OG0000363	XP_011320655.1	YNL299W, YOL115W
OG0000364	XP_011320685.1, XP_011322085.1	YMR041C
OG0000365	XP_011320838.1	YMR253C, YPL264C
OG0000366	XP_011320886.1, XP_011324378.1	YPL248C
OG0000367	XP_011320889.1, XP_011326999.1	YOR126C
OG0000368	XP_011320897.1, XP_011326033.1	YDR538W
OG0000369	XP_011320898.1, XP_011326032.1	YDR539W
OG0000370	XP_011321017.1	YKR072C, YOR054C
OG0000371	XP_011321108.1	YBR241C, YGL104C
OG0000372	XP_011321121.1	YER074W, YIL069C
OG0000373	XP_011321143.1	YOR389W, YPL277C
OG0000374	XP_011321182.1	YDL070W, YLR399C
OG0000375	XP_011321184.1	YHL039W, YPL208W
OG0000376	XP_011321200.1, XP_011325766.1	YBL057C
OG0000377	XP_011321300.1	YIL111W, YNL052W
OG0000378	XP_011321327.1	YBR010W, YNL031C
OG0000379	XP_011321339.1	YEL022W, YJR031C
OG0000380	XP_011321360.1, XP_011322052.1	YMR226C
OG0000381	XP_011321417.1, XP_011327364.1	YKL070W
OG0000382	XP_011321424.1, XP_011324487.1	YKL217W
OG0000383	XP_011321444.1	YBR172C, YPL105C
OG0000384	XP_011321474.1	YOR390W, YPL279C
OG0000385	XP_011321481.1	YER056C-A, YIL052C
OG0000386	XP_011321495.1	YDL083C, YMR143W
OG0000387	XP_011321505.1, XP_011323280.1	YLR231C
OG0000388	XP_011321555.1	YBR020W, YDR009W
OG0000389	XP_011321594.1, XP_011321850.1	YKR050W
OG0000390	XP_011321621.1	YNL293W, YOL112W
OG0000391	XP_011321623.1	YMR237W, YOR299W
OG0000392	XP_011321627.1	YDR312W, YHR066W
OG0000393	XP_011321681.1	YJL082W, YKR018C
OG0000394	XP_011321696.1, XP_011327938.1	YBR086C
OG0000395	XP_011321737.1, XP_011327706.1	YBR291C
OG0000396	XP_011321766.1, XP_011323825.1	YMR262W
OG0000397	XP_011321884.1	YBR161W, YPL057C
OG0000398	XP_011321889.1, XP_011328485.1	YOL147C
OG0000399	XP_011321927.1, XP_011326534.1	YMR020W
OG0000400	XP_011321985.1, XP_011323846.1	YML054C
OG0000401	XP_011322064.1, XP_011325740.1	YAL067C
OG0000402	XP_011322108.1, XP_011324874.1	YLR452C
OG0000403	XP_011322215.1, XP_011323589.1	YNL123W
OG0000404	XP_011322346.1	YBR015C, YJL186W
OG0000405	XP_011322429.1	YEL070W, YNR073C
OG0000406	XP_011322566.1, XP_011325357.1	YJR153W
OG0000407	XP_011322584.1	YDR453C, YML028W
OG0000408	XP_011322592.1, XP_011326065.1	YNR064C
OG0000409	XP_011322604.1, XP_011328588.1	YHL008C
OG0000410	XP_011322704.1, XP_011326993.1	YER023W
OG0000411	XP_011322716.1	YBR054W, YDR033W
OG0000412	XP_011322766.1, XP_011326469.1	YNL275W
OG0000413	XP_011322835.1, XP_011328215.1	YGL159W
OG0000414	XP_011322997.1, XP_011328453.1	YOR032C
OG0000415	XP_011323022.1	YAL034C, YOR338W
OG0000416	XP_011323031.1, XP_011324322.1	YML008C
OG0000417	XP_011323316.1, XP_011326620.1	YIL043C
OG0000418	XP_011323347.1, XP_011327050.1	YJL097W
OG0000419	XP_011323384.1	YLR287C-A, YOR182C
OG0000420	XP_011323422.1	YDR501W, YLR183C
OG0000421	XP_011323505.1	YDL022W, YOL059W
OG0000422	XP_011323528.1, XP_011328526.1	YJL108C
OG0000423	XP_011323558.1	YDL109C, YGL144C
OG0000424	XP_011323610.1, XP_011325903.1	YCR036W
OG0000425	XP_011323677.1, XP_011324320.1	YBL055C
OG0000426	XP_011323788.1	YBR021W, YIR028W
OG0000427	XP_011323815.1, XP_011323989.1	YJR040W
OG0000428	XP_011323853.1, XP_011324185.1	YEL046C
OG0000429	XP_011323855.1	YIL149C, YKR095W
OG0000430	XP_011323915.1	YIL131C, YNL068C
OG0000431	XP_011323929.1	YLL016W, YLR310C
OG0000432	XP_011323935.1	YHL017W, YKL039W
OG0000433	XP_011323937.1, XP_011327178.1	YPR161C
OG0000434	XP_011323958.1	YGL049C, YGR162W
OG0000435	XP_011324016.1	YGL096W, YPL177C
OG0000436	XP_011324052.1	YMR177W, YPL224C
OG0000437	XP_011324072.1	YHL003C, YKL008C
OG0000438	XP_011324092.1	YDR389W, YOR134W
OG0000439	XP_011324104.1, XP_011326395.1	YGR019W
OG0000440	XP_011324137.1	YHR133C, YNL156C
OG0000441	XP_011324148.1, XP_011325426.1	YHR067W
OG0000442	XP_011324156.1	YLL012W, YLR020C
OG0000443	XP_011324193.1	YER059W, YIL050W
OG0000444	XP_011324203.1	YDR447C, YML024W
OG0000445	XP_011324204.1	YDR066C, YER139C
OG0000446	XP_011324217.1, XP_011328573.1	YMR266W
OG0000447	XP_011324226.1, XP_011327726.1	YML123C
OG0000448	XP_011324242.1	YBL079W, YER105C
OG0000449	XP_011324273.1	YML100W, YMR261C
OG0000450	XP_011324316.1, XP_011327101.1	YDR523C
OG0000451	XP_011324362.1	YMR233W, YOR295W
OG0000452	XP_011324437.1, XP_011327369.1	YDR536W
OG0000453	XP_011324446.1	YKL126W, YMR104C
OG0000454	XP_011324564.1, XP_011324729.1	YHL021C
OG0000455	XP_011324599.1, XP_011326691.1	YCR059C
OG0000456	XP_011324618.1	YDR471W, YHR010W
OG0000457	XP_011324639.1	YGR027C, YLR333C
OG0000458	XP_011324645.1	YDR132C, YLR108C
OG0000459	XP_011324647.1	YJL134W, YKR053C
OG0000460	XP_011324739.1	YAL007C, YOR016C
OG0000461	XP_011324775.1	YDR438W, YML018C
OG0000462	XP_011324782.1	YBR244W, YIR037W
OG0000463	XP_011324799.1	YML106W, YMR271C
OG0000464	XP_011324834.1	YDR379W, YOR127W
OG0000465	XP_011324920.1	YMR230W, YOR293W
OG0000466	XP_011324928.1, XP_011325918.1	YIL099W
OG0000467	XP_011324952.1	YBR104W, YPR058W
OG0000468	XP_011324965.1	YDR146C, YLR131C
OG0000469	XP_011325007.1	YDR358W, YHR108W
OG0000470	XP_011325035.1	YIL105C, YNL047C
OG0000471	XP_011325071.1	YHR021C, YKL156W
OG0000472	XP_011325093.1	YBR267W, YLR387C
OG0000473	XP_011325335.1, XP_011327074.1	YGR281W
OG0000474	XP_011325416.1, XP_011325439.1	YOR320C
OG0000475	XP_011325432.1	YER131W, YGL189C
OG0000476	XP_011325465.1, XP_011328193.1	YIR023W
OG0000477	XP_011325475.1	YGR214W, YLR048W
OG0000478	XP_011325505.1	YEL039C, YJR048W
OG0000479	XP_011325530.1, XP_011328645.1	YLR299W
OG0000480	XP_011325547.1	YGR034W, YLR344W
OG0000481	XP_011325581.1	YBR049C, YDR026C
OG0000482	XP_011325676.1	YGR118W, YPR132W
OG0000483	XP_011325683.1, XP_011326247.1	YGL212W
OG0000484	XP_011325688.1	YCR052W, YNR023W
OG0000485	XP_011325699.1	YBR140C, YOL081W
OG0000486	XP_011325781.1, XP_011326845.1	YDR428C
OG0000487	XP_011325939.1, XP_011327795.1	YLR380W
OG0000488	XP_011326014.1, XP_011328563.1	YGL252C
OG0000489	XP_011326016.1, XP_011328543.1	YJL093C
OG0000490	XP_011326153.1	YDR264C, YOR034C
OG0000491	XP_011326203.1	YNL096C, YOR096W
OG0000492	XP_011326223.1	YDL242W, YPR079W
OG0000493	XP_011326225.1	YCL050C, YDR530C
OG0000494	XP_011326238.1, XP_011328830.1	YMR318C
OG0000495	XP_011326252.1	YNL104C, YOR108W
OG0000496	XP_011326328.1, XP_011327670.1	YBR265W
OG0000497	XP_011326343.1	YHR131C, YNL144C
OG0000498	XP_011326359.1	YCL036W, YDR514C
OG0000499	XP_011326404.1	YJR094W-A, YPR043W
OG0000500	XP_011326499.1	YDL130W-A, YDL181W
OG0000501	XP_011326518.1	YHR001W, YKR003W
OG0000502	XP_011326547.1	YNL087W, YOR086C
OG0000503	XP_011326558.1	YDR450W, YML026C
OG0000504	XP_011326591.1	YGL135W, YPL220W
OG0000505	XP_011326594.1	YHR155W, YNL257C
OG0000506	XP_011326599.1	YFR031C-A, YIL018W
OG0000507	XP_011326632.1	YJR091C, YPR042C
OG0000508	XP_011326646.1	YNL108C, YOR110W
OG0000509	XP_011326649.1	YAL017W, YOL045W
OG0000510	XP_011326656.1	YIL113W, YNL053W
OG0000511	XP_011326719.1	YCR073W-A, YNR034W
OG0000512	XP_011326736.1	YDR263C, YOR033C
OG0000513	XP_011326797.1	YER062C, YIL053W
OG0000514	XP_011326805.1, XP_011328185.1	YOL064C
OG0000515	XP_011326859.1	YDR272W, YOR040W
OG0000516	XP_011326879.1	YCL064C, YIL167W
OG0000517	XP_011326903.1	YDL061C, YLR388W
OG0000518	XP_011326908.1	YBR031W, YDR012W
OG0000519	XP_011327169.1	YKL081W, YPL048W
OG0000520	XP_011327176.1	YER027C, YGL208W
OG0000521	XP_011327196.1	YKL050C, YMR031C
OG0000522	XP_011327274.1	YMR180C, YPL228W
OG0000523	XP_011327334.1	YKR089C, YOR081C
OG0000524	XP_011327383.1	YEL066W, YPR193C
OG0000525	XP_011327785.1	YBR214W, YGL056C
OG0000526	XP_011327787.1	YGR279C, YMR305C
OG0000527	XP_011327810.1	YGR056W, YLR357W
OG0000528	XP_011327820.1	YBL002W, YDR224C
OG0000529	XP_011327825.1	YJR130C, YML082W
OG0000530	XP_011327833.1	YJL133W, YKR052C
OG0000531	XP_011327842.1	YCL011C, YNL004W
OG0000532	XP_011327852.1	YDR259C, YOR028C
OG0000533	XP_011327876.1	YLR270W, YOR173W
OG0000534	XP_011327925.1, XP_011328377.1	YPR022C
OG0000535	XP_011328041.1	YDR107C, YLR083C
OG0000536	XP_011328126.1	YJL105W, YKR029C
OG0000537	XP_011328137.1	YDR385W, YOR133W
OG0000538	XP_011328174.1	YBR024W, YBR037C
OG0000539	XP_011328177.1	YDR147W, YLR133W
OG0000540	XP_011328245.1	YJR054W, YML047C
OG0000541	XP_011328247.1	YGR010W, YLR328W
OG0000542	XP_011328300.1	YBL089W, YER119C
OG0000543	XP_011328306.1	YMR222C, YOR280C
OG0000544	XP_011328371.1	YCR010C, YNR002C
OG0000545	XP_011328493.1	YDR122W, YLR096W
OG0000546	XP_011328538.1	YML109W, YMR273C
OG0000547	XP_011328554.1	YDR200C, YLR238W
OG0000548	XP_011328559.1	YIR035C, YIR036C
OG0000549	XP_011328582.1	YLR450W, YML075C
OG0000550	XP_011328615.1	YGR241C, YHR161C
OG0000551		YCL067C, YCR039C, YCR096C
OG0000552	XP_011315780.1	YPR166C
OG0000553	XP_011315781.1	YNL245C
OG0000554	XP_011315782.1	YIL118W
OG0000555	XP_011315792.1	YBR111C
OG0000556	XP_011315805.1	YJR050W
OG0000557	XP_011315806.1	YEL002C
OG0000558	XP_011315808.1	YCR032W
OG0000559	XP_011315810.1	YEL060C
OG0000560	XP_011315900.1	YHR202W
OG0000561	XP_011315902.1	YCL045C
OG0000562	XP_011315905.1	YER048W-A
OG0000563	XP_011315911.1	YOR209C
OG0000564	XP_011315912.1	YDR324C
OG0000565	XP_011315915.1	YPL096W
OG0000566	XP_011315923.1	YGR286C
OG0000567	XP_011315926.1	YGR252W
OG0000568	XP_011315929.1	YDR182W
OG0000569	XP_011315933.1	YOL139C
OG0000570	XP_011315935.1	YAL044W-A
OG0000571	XP_011315937.1	YFR019W
OG0000572	XP_011315938.1	YOL009C
OG0000573	XP_011315939.1	YPL065W
OG0000574	XP_011315940.1	YOR206W
OG0000575	XP_011315944.1	YER086W
OG0000576	XP_011315946.1	YBR002C
OG0000577	XP_011315947.1	YMR196W
OG0000578	XP_011315948.1	YDR298C
OG0000579	XP_011315949.1	YIL106W
OG0000580	XP_011315950.1	YKL149C
OG0000581	XP_011315951.1	YPL046C
OG0000582	XP_011315953.1	YOR232W
OG0000583	XP_011315954.1	YDL097C
OG0000584	XP_011315957.1	YEL053C
OG0000585	XP_011315968.1	YML014W
OG0000586	XP_011315972.1	YHR068W
OG0000587	XP_011315974.1	YDR016C
OG0000588	XP_011315976.1	YOR217W
OG0000589	XP_011315977.1	YBL038W
OG0000590	XP_011315978.1	YBR087W
OG0000591	XP_011315983.1	YOL107W
OG0000592	XP_011315985.1	YPL190C
OG0000593	XP_011315986.1	YOL114C
OG0000594	XP_011315988.1	YKL004W
OG0000595	XP_011315992.1	YLL035W
OG0000596	XP_011316003.1	YNR050C
OG0000597	XP_011316006.1	YMR061W
OG0000598	XP_011316007.1	YJL115W
OG0000599	XP_011316009.1	YGL237C
OG0000600	XP_011316015.1	YDR140W
OG0000601	XP_011316016.1	YGR074W
OG0000602	XP_011316018.1	YBL026W
OG0000603	XP_011316019.1	YMR137C
OG0000604	XP_011316022.1	YGR099W
OG0000605	XP_011316023.1	YPR066W
OG0000606	XP_011316024.1	YPR110C
OG0000607	XP_011316027.1	YOR157C
OG0000608	XP_011316028.1	YBR007C
OG0000609	XP_011316031.1	YAL042W
OG0000610	XP_011316034.1	YPR144C
OG0000611	XP_011316035.1	YPL078C
OG0000612	XP_011316037.1	YGR255C
OG0000613	XP_011316042.1	YPL072W
OG0000614	XP_011316044.1	YPR049C
OG0000615	XP_011316049.1	YMR105C
OG0000616	XP_011316050.1	YLR059C
OG0000617	XP_011316057.1	YOL040C
OG0000618	XP_011316060.1	YOL041C
OG0000619	XP_011316061.1	YAL013W
OG0000620	XP_011316062.1	YAL043C
OG0000621	XP_011316070.1	YNL202W
OG0000622	XP_011316075.1	YLR245C
OG0000623	XP_011316083.1	YKR080W
OG0000624	XP_011316086.1	YLR243W
OG0000625	XP_011316087.1	YDR502C
OG0000626	XP_011316092.1	YER007W
OG0000627	XP_011316095.1	YDR488C
OG0000628	XP_011316096.1	YDR322C-A
OG0000629	XP_011316097.1	YGL022W
OG0000630	XP_011316104.1	YOR004W
OG0000631	XP_011316105.1	YFL034W
OG0000632	XP_011316108.1	YDR084C
OG0000633	XP_011316112.1	YER163C
OG0000634	XP_011316113.1	YGR058W
OG0000635	XP_011316117.1	YKR086W
OG0000636	XP_011316118.1	YLR196W
OG0000637	XP_011316123.1	YHR112C
OG0000638	XP_011316129.1	YDR191W
OG0000639	XP_011316136.1	YJR022W
OG0000640	XP_011316138.1	YPR178W
OG0000641	XP_011316142.1	YLR295C
OG0000642	XP_011316143.1	YHR205W
OG0000643	XP_011316148.1	YNL240C
OG0000644	XP_011316155.1	YDR489W
OG0000645	XP_011316158.1	YJL069C
OG0000646	XP_011316164.1	YAL058W
OG0000647	XP_011316167.1	YJR024C
OG0000648	XP_011316169.1	YMR225C
OG0000649	XP_011316170.1	YBR011C
OG0000650	XP_011316173.1	YJL002C
OG0000651	XP_011316175.1	YDR465C
OG0000652	XP_011316176.1	YJL012C
OG0000653	XP_011316178.1	YPR019W
OG0000654	XP_011316179.1	YPL010W
OG0000655	XP_011316180.1	YGL169W
OG0000656	XP_011316181.1	YPR105C
OG0000657	XP_011316182.1	YGL167C
OG0000658	XP_011316184.1	YOR265W
OG0000659	XP_011316200.1	YKL035W
OG0000660	XP_011316217.1	YGR284C
OG0000661	XP_011316222.1	YFR028C
OG0000662	XP_011316228.1	YPL169C
OG0000663	XP_011316229.1	YIR002C
OG0000664	XP_011316232.1	YMR190C
OG0000665	XP_011316235.1	YDR171W
OG0000666	XP_011316237.1	YLL009C
OG0000667	XP_011316239.1	YDL143W
OG0000668	XP_011316240.1	YKL145W
OG0000669	XP_011316242.1	YOR065W
OG0000670	XP_011316243.1	YMR235C
OG0000671	XP_011316245.1	YOR362C
OG0000672	XP_011316246.1	YEL055C
OG0000673	XP_011316248.1	YMR036C
OG0000674	XP_011316249.1	YGR093W
OG0000675	XP_011316250.1	YBL004W
OG0000676	XP_011316251.1	YNL310C
OG0000677	XP_011316253.1	YLR321C
OG0000678	XP_011316266.1	YML097C
OG0000679	XP_011316274.1	YHR075C
OG0000680	XP_011316276.1	YJL121C
OG0000681	XP_011316277.1	YER049W
OG0000682	XP_011316279.1	YKL054C
OG0000683	XP_011316285.1	YPR086W
OG0000684	XP_011316286.1	YDR354W
OG0000685	XP_011316292.1	YML096W
OG0000686	XP_011316298.1	YJR143C
OG0000687	XP_011316300.1	YBR234C
OG0000688	XP_011316301.1	YIR009W
OG0000689	XP_011316303.1	YJR131W
OG0000690	XP_011316320.1	YDL015C
OG0000691	XP_011316323.1	YPL249C
OG0000692	XP_011316325.1	YDR457W
OG0000693	XP_011316328.1	YIL103W
OG0000694	XP_011316329.1	YBR127C
OG0000695	XP_011316335.1	YGR178C
OG0000696	XP_011316336.1	YPR191W
OG0000697	XP_011316337.1	YPR190C
OG0000698	XP_011316338.1	YDL198C
OG0000699	XP_011316340.1	YBR233W-A
OG0000700	XP_011316341.1	YBR251W
OG0000701	XP_011316345.1	YHR040W
OG0000702	XP_011316346.1	YKL040C
OG0000703	XP_011316349.1	YPR020W
OG0000704	XP_011316351.1	YOR194C
OG0000705	XP_011316355.1	YLR403W
OG0000706	XP_011316360.1	YLR401C
OG0000707	XP_011316361.1	YLR191W
OG0000708	XP_011316362.1	YML102W
OG0000709	XP_011316374.1	YOR061W
OG0000710	XP_011316376.1	YPL120W
OG0000711	XP_011316383.1	YOR241W
OG0000712	XP_011316385.1	YKR016W
OG0000713	XP_011316388.1	YKL212W
OG0000714	XP_011316390.1	YPL040C
OG0000715	XP_011316395.1	YLR459W
OG0000716	XP_011316396.1	YGR103W
OG0000717	XP_011316398.1	YBL063W
OG0000718	XP_011316403.1	YJL091C
OG0000719	XP_011316415.1	YNL250W
OG0000720	XP_011316418.1	YHR178W
OG0000721	XP_011316421.1	YDR255C
OG0000722	XP_011316423.1	YHR005C-A
OG0000723	XP_011316428.1	YHR204W
OG0000724	XP_011316440.1	YNL132W
OG0000725	XP_011316444.1	YHR134W
OG0000726	XP_011316450.1	YDR176W
OG0000727	XP_011316453.1	YPL097W
OG0000728	XP_011316454.1	YEL062W
OG0000729	XP_011316455.1	YMR276W
OG0000730	XP_011316457.1	YPL125W
OG0000731	XP_011316458.1	YKL194C
OG0000732	XP_011316460.1	YOR111W
OG0000733	XP_011316466.1	YPR200C
OG0000734	XP_011316477.1	YOR027W
OG0000735	XP_011316487.1	YJR125C
OG0000736	XP_011316488.1	YDR155C
OG0000737	XP_011316489.1	YNR003C
OG0000738	XP_011316491.1	YNL330C
OG0000739	XP_011316497.1	YLR248W
OG0000740	XP_011316510.1	YOR386W
OG0000741	XP_011316517.1	YJL123C
OG0000742	XP_011316518.1	YKL029C
OG0000743	XP_011316528.1	YER042W
OG0000744	XP_011316531.1	YLR352W
OG0000745	XP_011316532.1	YOR270C
OG0000746	XP_011316533.1	YLR277C
OG0000747	XP_011316535.1	YJL126W
OG0000748	XP_011316539.1	YBL037W
OG0000749	XP_011316540.1	YBL036C
OG0000750	XP_011316548.1	YDL086W
OG0000751	XP_011316549.1	YOR165W
OG0000752	XP_011316550.1	YNL072W
OG0000753	XP_011316553.1	YMR302C
OG0000754	XP_011316554.1	YDR512C
OG0000755	XP_011316555.1	YLL024C
OG0000756	XP_011316559.1	YAR035W
OG0000757	XP_011316560.1	YGL014W
OG0000758	XP_011316563.1	YOR207C
OG0000759	XP_011316564.1	YDR004W
OG0000760	XP_011316565.1	YMR121C
OG0000761	XP_011316570.1	YPL183C
OG0000762	XP_011316584.1	YPL183W-A
OG0000763	XP_011316588.1	YML056C
OG0000764	XP_011316590.1	YLR163C
OG0000765	XP_011316591.1	YMR236W
OG0000766	XP_011316592.1	YCL030C
OG0000767	XP_011316593.1	YMR165C
OG0000768	XP_011316597.1	YJL029C
OG0000769	XP_011316598.1	YDR353W
OG0000770	XP_011316599.1	YDL103C
OG0000771	XP_011316603.1	YBR162C
OG0000772	XP_011316604.1	YGL171W
OG0000773	XP_011316608.1	YDR437W
OG0000774	XP_011316609.1	YAL002W
OG0000775	XP_011316617.1	YPR112C
OG0000776	XP_011316618.1	YDR424C
OG0000777	XP_011316621.1	YBR271W
OG0000778	XP_011316625.1	YOR210W
OG0000779	XP_011316626.1	YPL126W
OG0000780	XP_011316632.1	YDL072C
OG0000781	XP_011316634.1	YGR086C
OG0000782	XP_011316635.1	YER029C
OG0000783	XP_011316636.1	YGR258C
OG0000784	XP_011316637.1	YGL043W
OG0000785	XP_011316638.1	YGR012W
OG0000786	XP_011316639.1	YBR252W
OG0000787	XP_011316640.1	YKL162C
OG0000788	XP_011316641.1	YOR335C
OG0000789	XP_011316644.1	YLR207W
OG0000790	XP_011316645.1	YOR188W
OG0000791	XP_011316646.1	YML021C
OG0000792	XP_011316648.1	YMR269W
OG0000793	XP_011316649.1	YGR024C
OG0000794	XP_011316650.1	YAR003W
OG0000795	XP_011316651.1	YDL140C
OG0000796	XP_011316658.1	YNL209W
OG0000797	XP_011316667.1	YKL150W
OG0000798	XP_011316670.1	YDR162C
OG0000799	XP_011316671.1	YNL222W
OG0000800	XP_011316673.1	YLR313C
OG0000801	XP_011316691.1	YJR008W
OG0000802	XP_011316696.1	YPR107C
OG0000803	XP_011316699.1	YDR137W
OG0000804	XP_011316702.1	YPL175W
OG0000805	XP_011316703.1	YNR038W
OG0000806	XP_011316711.1	YMR120C
OG0000807	XP_011316712.1	YER173W
OG0000808	XP_011316714.1	YJR141W
OG0000809	XP_011316745.1	YLR337C
OG0000810	XP_011316746.1	YBR268W
OG0000811	XP_011316748.1	YGR159C
OG0000812	XP_011316753.1	YMR227C
OG0000813	XP_011316755.1	YPL155C
OG0000814	XP_011316758.1	YGR125W
OG0000815	XP_011316759.1	YDR013W
OG0000816	XP_011316760.1	YAL003W
OG0000817	XP_011316763.1	YNL286W
OG0000818	XP_011316766.1	YGL200C
OG0000819	XP_011316768.1	YDR258C
OG0000820	XP_011316770.1	YOL057W
OG0000821	XP_011316773.1	YLR393W
OG0000822	XP_011316774.1	YHL031C
OG0000823	XP_011316782.1	YGL018C
OG0000824	XP_011316783.1	YGL045W
OG0000825	XP_011316784.1	YJL194W
OG0000826	XP_011316786.1	YOR130C
OG0000827	XP_011316787.1	YDL212W
OG0000828	XP_011316789.1	YOR346W
OG0000829	XP_011316791.1	YDR400W
OG0000830	XP_011316792.1	YGR096W
OG0000831	XP_011316796.1	YLR318W
OG0000832	XP_011316800.1	YMR123W
OG0000833	XP_011316802.1	YLR127C
OG0000834	XP_011316809.1	YBR088C
OG0000835	XP_011316810.1	YEL029C
OG0000836	XP_011316814.1	YER019W
OG0000837	XP_011316820.1	YOR074C
OG0000838	XP_011316821.1	YLR023C
OG0000839	XP_011316822.1	YMR055C
OG0000840	XP_011316827.1	YKL151C
OG0000841	XP_011316830.1	YPL115C
OG0000842	XP_011316840.1	YBL099W
OG0000843	XP_011316846.1	YMR108W
OG0000844	XP_011316853.1	YGR095C
OG0000845	XP_011316854.1	YPL152W
OG0000846	XP_011316859.1	YPL011C
OG0000847	XP_011316861.1	YIL007C
OG0000848	XP_011316862.1	YLR293C
OG0000849	XP_011316865.1	YOL010W
OG0000850	XP_011316867.1	YFL022C
OG0000851	XP_011316869.1	YGR280C
OG0000852	XP_011316873.1	YML038C
OG0000853	XP_011316876.1	YHR183W
OG0000854	XP_011316883.1	YGR005C
OG0000855	XP_011316886.1	YGR231C
OG0000856	XP_011316888.1	YJR014W
OG0000857	XP_011316890.1	YHR200W
OG0000858	XP_011316891.1	YDR246W
OG0000859	XP_011316892.1	YJL140W
OG0000860	XP_011316895.1	YDR496C
OG0000861	XP_011316896.1	YDR152W
OG0000862	XP_011316897.1	YDR161W
OG0000863	XP_011316898.1	YBR256C
OG0000864	XP_011316899.1	YDR386W
OG0000865	XP_011316900.1	YEL058W
OG0000866	XP_011316901.1	YBR034C
OG0000867	XP_011316902.1	YER126C
OG0000868	XP_011316903.1	YJL096W
OG0000869	XP_011316904.1	YDL028C
OG0000870	XP_011316905.1	YCR044C
OG0000871	XP_011316909.1	YGR266W
OG0000872	XP_011316918.1	YDR452W
OG0000873	XP_011316919.1	YDR019C
OG0000874	XP_011316920.1	YPR036W
OG0000875	XP_011316923.1	YJL053W
OG0000876	XP_011316925.1	YER095W
OG0000877	XP_011316928.1	YBL041W
OG0000878	XP_011316929.1	YLR305C
OG0000879	XP_011316933.1	YOL143C
OG0000880	XP_011316936.1	YGR276C
OG0000881	XP_011316938.1	YOL031C
OG0000882	XP_011316945.1	YDR244W
OG0000883	XP_011316946.1	YKR081C
OG0000884	XP_011316949.1	YAL012W
OG0000885	XP_011316956.1	YOL021C
OG0000886	XP_011316957.1	YER006W
OG0000887	XP_011316959.1	YDL043C
OG0000888	XP_011316960.1	YNL161W
OG0000889	XP_011316961.1	YJL054W
OG0000890	XP_011316963.1	YGL215W
OG0000891	XP_011316966.1	YMR091C
OG0000892	XP_011316967.1	YGR184C
OG0000893	XP_011316968.1	YGR183C
OG0000894	XP_011316971.1	YOR259C
OG0000895	XP_011316972.1	YKL104C
OG0000896	XP_011316973.1	YFR050C
