	Eremothecium_coryli	Saccharomyces_cerevisiae
OG0000186	snap_masked-AZAH01000001.1-processed-gene-15.84-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-15.84&CDS=1-1266	YOR237W, YPL145C
OG0000187	augustus_masked-AZAH01000001.1-processed-gene-16.155-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-16.155&CDS=1-2349	YOR256C, YPL176C
OG0000188	maker-AZAH01000001.1-snap-gene-17.78-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-17.78&CDS=1-1353	YMR222C, YOR280C
OG0000189	snap_masked-AZAH01000001.1-processed-gene-17.24-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-17.24&CDS=1-315	YMR230W, YOR293W
OG0000190	augustus_masked-AZAH01000001.1-processed-gene-17.207-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-17.207&CDS=1-2343	YGR071C, YLR373C
OG0000191	maker-AZAH01000001.1-augustus-gene-17.217-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-17.217&CDS=1-1830	YBR147W, YOL092W
OG0000192	snap_masked-AZAH01000002.1-processed-gene-0.115-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-0.115&CDS=1-2094	YKL072W, YMR053C
OG0000193	genemark-AZAH01000002.1-processed-gene-1.61-mRNA-1_1&gene=genemark-AZAH01000002.1-processed-gene-1.61&CDS=1-336	YHR021C, YKL156W
OG0000194	snap_masked-AZAH01000002.1-processed-gene-1.13-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-1.13&CDS=1-891, snap_masked-AZAH01000002.1-processed-gene-1.14-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-1.14&CDS=1-885	YKL150W
OG0000195	maker-AZAH01000002.1-snap-gene-3.0-mRNA-1_1&gene=maker-AZAH01000002.1-snap-gene-3.0&CDS=1-519	YFR032C-A, YFR033C
OG0000196	snap_masked-AZAH01000002.1-processed-gene-3.13-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-3.13&CDS=1-762	YFR031C-A, YIL018W
OG0000197	snap_masked-AZAH01000002.1-processed-gene-3.22-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-3.22&CDS=1-1389	YGR121C, YPR138C
OG0000198	snap_masked-AZAH01000002.1-processed-gene-3.53-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-3.53&CDS=1-1290	YGR109C, YPR120C
OG0000199	snap_masked-AZAH01000002.1-processed-gene-4.112-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-4.112&CDS=1-435	YGR118W, YPR132W
OG0000200	augustus_masked-AZAH01000002.1-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-AZAH01000002.1-processed-gene-4.78&CDS=1-3132	YGR092W, YPR111W
OG0000201	snap_masked-AZAH01000002.1-processed-gene-4.117-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-4.117&CDS=1-738	YBR067C, YIL011W
OG0000202	augustus_masked-AZAH01000002.1-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-AZAH01000002.1-processed-gene-4.102&CDS=1-1179	YEL006W, YIL006W
OG0000203	snap_masked-AZAH01000002.1-processed-gene-5.37-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-5.37&CDS=1-288	YPR013C, YPR015C
OG0000204	snap_masked-AZAH01000002.1-processed-gene-6.16-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-6.16&CDS=1-768	YHL033C, YLL045C
OG0000205	snap_masked-AZAH01000002.1-processed-gene-6.21-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-6.21&CDS=1-2478	YCR106W, YLL054C
OG0000206	snap_masked-AZAH01000002.1-processed-gene-7.10-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-7.10&CDS=1-1185	YNL283C, YOL105C
OG0000207	snap_masked-AZAH01000002.1-processed-gene-7.46-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-7.46&CDS=1-2397	YDR475C, YOR019W
OG0000208	genemark-AZAH01000002.1-processed-gene-7.106-mRNA-1_1&gene=genemark-AZAH01000002.1-processed-gene-7.106&CDS=1-786	YGR248W, YHR163W
OG0000209	snap_masked-AZAH01000002.1-processed-gene-7.56-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-7.56&CDS=1-411	YGR243W, YHR162W
OG0000210	snap_masked-AZAH01000002.1-processed-gene-8.92-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-8.92&CDS=1-1524	YGR241C, YHR161C
OG0000211	snap_masked-AZAH01000002.1-processed-gene-9.46-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-9.46&CDS=1-495	YDR418W, YEL054C
OG0000212	snap_masked-AZAH01000002.1-processed-gene-9.57-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-9.57&CDS=1-1176	YDR277C, YOR047C
OG0000213	augustus_masked-AZAH01000002.1-processed-gene-9.126-mRNA-1_1&gene=augustus_masked-AZAH01000002.1-processed-gene-9.126&CDS=1-840	YDR272W, YOR040W
OG0000214	augustus_masked-AZAH01000002.1-processed-gene-9.110-mRNA-1_1&gene=augustus_masked-AZAH01000002.1-processed-gene-9.110&CDS=1-3294	YDR351W, YHR103W
OG0000215	snap_masked-AZAH01000002.1-processed-gene-10.144-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-10.144&CDS=1-2406	YJR059W, YKL198C
OG0000216	snap_masked-AZAH01000002.1-processed-gene-10.172-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-10.172&CDS=1-2832	YJR061W, YKL201C
OG0000217	snap_masked-AZAH01000003.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-0.67&CDS=1-1227	YGL134W, YPL219W
OG0000218	snap_masked-AZAH01000003.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-0.68&CDS=1-651	YGL135W, YPL220W
OG0000219	augustus_masked-AZAH01000003.1-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-0.114&CDS=1-594	YMR181C, YPL229W
OG0000220	snap_masked-AZAH01000003.1-processed-gene-1.53-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-1.53&CDS=1-2121	YMR186W, YPL240C
OG0000221	snap_masked-AZAH01000003.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-1.82&CDS=1-714	YMR206W, YNR014W
OG0000222	genemark-AZAH01000003.1-processed-gene-3.123-mRNA-1_1&gene=genemark-AZAH01000003.1-processed-gene-3.123&CDS=1-1101	YBR161W, YPL057C
OG0000223	snap_masked-AZAH01000003.1-processed-gene-4.51-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-4.51&CDS=1-1353	YBR177C, YPL095C
OG0000224	snap_masked-AZAH01000003.1-processed-gene-4.54-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-4.54&CDS=1-708	YBR181C, YPL090C
OG0000225	snap_masked-AZAH01000003.1-processed-gene-4.33-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-4.33&CDS=1-984	YBR183W, YPL087W
OG0000226	maker-AZAH01000003.1-augustus-gene-5.51-mRNA-1_1&gene=maker-AZAH01000003.1-augustus-gene-5.51&CDS=1-3888	YBR169C, YPL106C
OG0000227	snap_masked-AZAH01000003.1-processed-gene-5.152-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-5.152&CDS=1-897	YDL021W, YOL056W
OG0000228	snap_masked-AZAH01000003.1-processed-gene-5.155-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-5.155&CDS=1-1374	YDL022W, YOL059W
OG0000229	augustus_masked-AZAH01000003.1-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-6.54&CDS=1-2970	YJL129C, YKR050W
OG0000230	snap_masked-AZAH01000003.1-processed-gene-6.116-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-6.116&CDS=1-912	YJL133W, YKR052C
OG0000231	augustus_masked-AZAH01000003.1-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-6.69&CDS=1-642, snap_masked-AZAH01000003.1-processed-gene-6.129-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-6.129&CDS=1-792	YJL158C
OG0000232	snap_masked-AZAH01000003.1-processed-gene-7.103-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-7.103&CDS=1-4212	YCL068C, YCR038C
OG0000233	genemark-AZAH01000003.1-processed-gene-7.9-mRNA-1_1&gene=genemark-AZAH01000003.1-processed-gene-7.9&CDS=1-402	YCR031C, YJL191W
OG0000234	augustus_masked-AZAH01000003.1-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-7.80&CDS=1-390	YJL190C, YLR367W
OG0000235	augustus_masked-AZAH01000003.1-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-7.64&CDS=1-2298	YJL181W, YJR030C
OG0000236	maker-AZAH01000003.1-snap-gene-7.148-mRNA-1_1&gene=maker-AZAH01000003.1-snap-gene-7.148&CDS=1-552	YJL177W, YKL180W
OG0000237	genemark-AZAH01000003.1-processed-gene-8.74-mRNA-1_1&gene=genemark-AZAH01000003.1-processed-gene-8.74&CDS=1-2352, snap_masked-AZAH01000003.1-processed-gene-9.220-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-9.220&CDS=1-597	YJL204C
OG0000238	augustus_masked-AZAH01000003.1-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-8.101&CDS=1-3609	YHR155W, YNL257C
OG0000239	snap_masked-AZAH01000003.1-processed-gene-8.20-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-8.20&CDS=1-1077	YCR105W, YMR318C
OG0000240	snap_masked-AZAH01000003.1-processed-gene-9.186-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-9.186&CDS=1-264	YDR500C, YLR185W
OG0000241	snap_masked-AZAH01000003.1-processed-gene-9.153-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-9.153&CDS=1-615	YLR178C, YLR179C
OG0000242	augustus_masked-AZAH01000003.1-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-9.18&CDS=1-480	YCL035C, YDR513W
OG0000243	snap_masked-AZAH01000003.1-processed-gene-9.201-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-9.201&CDS=1-1575	YCL036W, YDR514C
OG0000244	augustus_masked-AZAH01000003.1-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-9.27&CDS=1-1335	YCL050C, YDR530C
OG0000245	snap_masked-AZAH01000003.1-processed-gene-9.210-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-9.210&CDS=1-741	YCL051W, YDR528W
OG0000246	snap_masked-AZAH01000003.1-processed-gene-9.179-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-9.179&CDS=1-1833, snap_masked-AZAH01000007.1-processed-gene-4.182-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.182&CDS=1-1827	YKR093W
OG0000247	snap_masked-AZAH01000004.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.16&CDS=1-1311	YGR254W, YHR174W
OG0000248	snap_masked-AZAH01000004.1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.39&CDS=1-1506	YEL047C, YJR051W
OG0000249	snap_masked-AZAH01000004.1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.24&CDS=1-1674	YEL041W, YJR049C
OG0000250	snap_masked-AZAH01000004.1-processed-gene-1.42-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.42&CDS=1-330	YEL039C, YJR048W
OG0000251	snap_masked-AZAH01000004.1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.26&CDS=1-471	YEL034W, YJR047C
OG0000252	augustus_masked-AZAH01000004.1-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-2.74&CDS=1-1746	YCR026C, YEL016C
OG0000253	snap_masked-AZAH01000004.1-processed-gene-2.128-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.128&CDS=1-1617, snap_masked-AZAH01000017.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AZAH01000017.1-processed-gene-0.18&CDS=1-1914	YFL040W
OG0000254	augustus_masked-AZAH01000004.1-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-2.86&CDS=1-2565	YDL037C, YIR019C
OG0000255	snap_masked-AZAH01000004.1-processed-gene-3.94-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.94&CDS=1-843	YCR010C, YNR002C
OG0000256	snap_masked-AZAH01000004.1-processed-gene-3.107-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.107&CDS=1-654	YAR002C-A, YGL002W
OG0000257	maker-AZAH01000004.1-snap-gene-4.104-mRNA-1_1&gene=maker-AZAH01000004.1-snap-gene-4.104&CDS=1-762	YGR214W, YLR048W
OG0000258	snap_masked-AZAH01000004.1-processed-gene-5.7-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.7&CDS=1-1767, snap_masked-AZAH01000010.1-processed-gene-2.132-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-2.132&CDS=1-732	YOL047C
OG0000259	snap_masked-AZAH01000004.1-processed-gene-5.24-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.24&CDS=1-522	YGR085C, YPR102C
OG0000260	snap_masked-AZAH01000004.1-processed-gene-6.153-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-6.153&CDS=1-1134, snap_masked-AZAH01000011.1-processed-gene-1.184-mRNA-1_1&gene=snap_masked-AZAH01000011.1-processed-gene-1.184&CDS=1-1158	YPR065W
OG0000261	snap_masked-AZAH01000004.1-processed-gene-7.8-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-7.8&CDS=1-282	YBR089C-A, YPR052C
OG0000262	snap_masked-AZAH01000004.1-processed-gene-7.19-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-7.19&CDS=1-588	YBL027W, YBR084C-A
OG0000263	augustus_masked-AZAH01000004.1-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-8.17&CDS=1-4527	YER132C, YGL197W
OG0000264	snap_masked-AZAH01000004.1-processed-gene-9.8-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-9.8&CDS=1-357	YER131W, YGL189C
OG0000265	augustus_masked-AZAH01000004.1-processed-gene-9.107-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-9.107&CDS=1-972	YNL301C, YOL120C
OG0000266	snap_masked-AZAH01000004.1-processed-gene-9.71-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-9.71&CDS=1-2409	YFL050C, YOL130W
OG0000267	snap_masked-AZAH01000005.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-0.2&CDS=1-516	YDR178W, YLR164W
OG0000268	snap_masked-AZAH01000005.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-0.4&CDS=1-387	YDR134C, YLR110C
OG0000269	snap_masked-AZAH01000005.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-0.37&CDS=1-2613	YBR294W, YLR092W
OG0000270	snap_masked-AZAH01000005.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-1.11&CDS=1-1878	YDR107C, YLR083C
OG0000271	snap_masked-AZAH01000005.1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-2.95&CDS=1-1137, snap_masked-AZAH01000018.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AZAH01000018.1-processed-gene-0.19&CDS=1-1116	YER145C
OG0000272	snap_masked-AZAH01000005.1-processed-gene-2.111-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-2.111&CDS=1-1479, snap_masked-AZAH01000006.1-processed-gene-0.114-mRNA-1_1&gene=snap_masked-AZAH01000006.1-processed-gene-0.114&CDS=1-1488	YGL202W
OG0000273	snap_masked-AZAH01000005.1-processed-gene-3.52-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-3.52&CDS=1-3063	YGL049C, YGR162W
OG0000274	snap_masked-AZAH01000005.1-processed-gene-4.198-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-4.198&CDS=1-2562	YFL004W, YPL019C
OG0000275	snap_masked-AZAH01000006.1-processed-gene-2.114-mRNA-1_1&gene=snap_masked-AZAH01000006.1-processed-gene-2.114&CDS=1-984	YLL062C, YPL273W
OG0000276	augustus_masked-AZAH01000006.1-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-AZAH01000006.1-processed-gene-2.92&CDS=1-1785, snap_masked-AZAH01000006.1-processed-gene-2.124-mRNA-1_1&gene=snap_masked-AZAH01000006.1-processed-gene-2.124&CDS=1-1755	YMR284W
OG0000277	maker-AZAH01000006.1-snap-gene-3.84-mRNA-1_1&gene=maker-AZAH01000006.1-snap-gene-3.84&CDS=1-1410	YJL079C, YKR013W
OG0000278	snap_masked-AZAH01000006.1-processed-gene-3.123-mRNA-1_1&gene=snap_masked-AZAH01000006.1-processed-gene-3.123&CDS=1-2178	YJL099W, YKR027W
OG0000279	snap_masked-AZAH01000006.1-processed-gene-3.126-mRNA-1_1&gene=snap_masked-AZAH01000006.1-processed-gene-3.126&CDS=1-345	YDL075W, YLR406C
OG0000280	snap_masked-AZAH01000006.1-processed-gene-4.74-mRNA-1_1&gene=snap_masked-AZAH01000006.1-processed-gene-4.74&CDS=1-3129	YJR127C, YML081W
OG0000281	snap_masked-AZAH01000007.1-processed-gene-1.74-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-1.74&CDS=1-840	YDR151C, YLR136C
OG0000282	augustus_masked-AZAH01000007.1-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-2.118&CDS=1-3360	YDR213W, YLR228C
OG0000283	snap_masked-AZAH01000007.1-processed-gene-3.60-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.60&CDS=1-1257	YDR451C, YML027W
OG0000284	augustus_masked-AZAH01000007.1-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-3.29&CDS=1-1221	YDR450W, YML026C
OG0000285	augustus_masked-AZAH01000007.1-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-3.12&CDS=1-408	YDR447C, YML024W
OG0000286	snap_masked-AZAH01000008.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.31&CDS=1-1476	YHL017W, YKL039W
OG0000287	snap_masked-AZAH01000008.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-0.36&CDS=1-2850	YKL043W, YMR016C
OG0000288	snap_masked-AZAH01000008.1-processed-gene-1.31-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.31&CDS=1-573	YKL065C, YMR040W
OG0000289	augustus_masked-AZAH01000008.1-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-4.125&CDS=1-7434	YAL051W, YOR363C
OG0000290	augustus_masked-AZAH01000008.1-processed-gene-4.154-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-4.154&CDS=1-2457	YAL056W, YOR371C
OG0000291	snap_masked-AZAH01000008.1-processed-gene-4.45-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-4.45&CDS=1-1377	YAL062W, YOR375C
OG0000292	snap_masked-AZAH01000009.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-0.14&CDS=1-468	YBR048W, YDR025W
OG0000293	snap_masked-AZAH01000009.1-processed-gene-1.5-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-1.5&CDS=1-1410	YER081W, YIL074C
OG0000294	snap_masked-AZAH01000009.1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-1.32&CDS=1-879	YDL127W, YDL179W
OG0000295	augustus_masked-AZAH01000009.1-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-AZAH01000009.1-processed-gene-1.89&CDS=1-384	YDL136W, YDL191W
OG0000296	augustus_masked-AZAH01000009.1-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-AZAH01000009.1-processed-gene-1.90&CDS=1-1056	YDL137W, YDL192W
OG0000297	snap_masked-AZAH01000009.1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-1.47&CDS=1-2025	YDL138W, YDL194W
OG0000298	maker-AZAH01000009.1-snap-gene-2.51-mRNA-1_1&gene=maker-AZAH01000009.1-snap-gene-2.51&CDS=1-411	YBL087C, YER117W
OG0000299	snap_masked-AZAH01000009.1-processed-gene-3.182-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-3.182&CDS=1-285	YJR094W-A, YPR043W
OG0000300	snap_masked-AZAH01000009.1-processed-gene-3.243-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-3.243&CDS=1-1746	YJL172W, YOL153C
OG0000301	augustus_masked-AZAH01000009.1-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-AZAH01000009.1-processed-gene-3.55&CDS=1-594	YBL043W, YJR115W
OG0000302	snap_masked-AZAH01000009.1-processed-gene-3.223-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-3.223&CDS=1-573	YLR456W, YPR172W
OG0000303	snap_masked-AZAH01000010.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-0.64&CDS=1-1173	YGR279C, YMR305C
OG0000304	augustus_masked-AZAH01000010.1-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-AZAH01000010.1-processed-gene-1.15&CDS=1-546	YMR242C, YOR312C
OG0000305	maker-AZAH01000010.1-augustus-gene-1.48-mRNA-1_1&gene=maker-AZAH01000010.1-augustus-gene-1.48&CDS=1-2460	YMR237W, YOR299W
OG0000306	augustus_masked-AZAH01000010.1-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-AZAH01000010.1-processed-gene-2.91&CDS=1-2082	YBL009W, YGL021W
OG0000307	snap_masked-AZAH01000010.1-processed-gene-2.130-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-2.130&CDS=1-465	YGL031C, YGR148C
OG0000308	snap_masked-AZAH01000010.1-processed-gene-3.22-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-3.22&CDS=1-612	YLR029C, YMR121C
OG0000309	snap_masked-AZAH01000010.1-processed-gene-3.36-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-3.36&CDS=1-1164	YGR023W, YLR332W
OG0000310	maker-AZAH01000011.1-augustus-gene-0.95-mRNA-1_1&gene=maker-AZAH01000011.1-augustus-gene-0.95&CDS=1-6177	YLR249W, YNL014W
OG0000311	snap_masked-AZAH01000011.1-processed-gene-1.199-mRNA-1_1&gene=snap_masked-AZAH01000011.1-processed-gene-1.199&CDS=1-510	YGR131W, YPR149W
OG0000312	snap_masked-AZAH01000011.1-processed-gene-1.203-mRNA-1_1&gene=snap_masked-AZAH01000011.1-processed-gene-1.203&CDS=1-702	YGR136W, YPR154W
OG0000313	snap_masked-AZAH01000011.1-processed-gene-1.241-mRNA-1_1&gene=snap_masked-AZAH01000011.1-processed-gene-1.241&CDS=1-1809	YGR138C, YPR156C
OG0000314	augustus_masked-AZAH01000012.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-AZAH01000012.1-processed-gene-0.70&CDS=1-2316	YKL105C, YMR086W
OG0000315	augustus_masked-AZAH01000012.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-AZAH01000012.1-processed-gene-0.58&CDS=1-2430	YKL121W, YMR102C
OG0000316	maker-AZAH01000012.1-snap-gene-1.79-mRNA-1_1&gene=maker-AZAH01000012.1-snap-gene-1.79&CDS=1-414	YHL001W, YKL006W
OG0000317	snap_masked-AZAH01000012.1-processed-gene-1.50-mRNA-1_1&gene=snap_masked-AZAH01000012.1-processed-gene-1.50&CDS=1-324	YGR027C, YLR333C
OG0000318	snap_masked-AZAH01000013.1-processed-gene-0.207-mRNA-1_1&gene=snap_masked-AZAH01000013.1-processed-gene-0.207&CDS=1-1386	YBR241C, YGL104C
OG0000319	augustus_masked-AZAH01000013.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-AZAH01000013.1-processed-gene-0.34&CDS=1-2025	YBR216C, YGL060W
OG0000320	genemark-AZAH01000013.1-processed-gene-0.142-mRNA-1_1&gene=genemark-AZAH01000013.1-processed-gene-0.142&CDS=1-189	YLR287C-A, YOR182C
OG0000321	augustus_masked-AZAH01000013.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-AZAH01000013.1-processed-gene-0.50&CDS=1-813	YLR284C, YOR180C
OG0000322	snap_masked-AZAH01000014.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AZAH01000014.1-processed-gene-0.15&CDS=1-201	YLR264W, YOR167C
OG0000323	maker-AZAH01000015.1-snap-gene-0.124-mRNA-1_1&gene=maker-AZAH01000015.1-snap-gene-0.124&CDS=1-549	YGL089C, YPL187W
OG0000324	snap_masked-AZAH01000015.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-AZAH01000015.1-processed-gene-0.118&CDS=1-756	YGL076C, YPL198W
OG0000325	snap_masked-AZAH01000018.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AZAH01000018.1-processed-gene-0.17&CDS=1-951	YGL162W, YPR009W
OG0000326	snap_masked-AZAH01000018.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AZAH01000018.1-processed-gene-0.18&CDS=1-1887	YGL166W, YPR008W
OG0000327	snap_masked-AZAH01000018.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AZAH01000018.1-processed-gene-0.23&CDS=1-1353	YHR001W, YKR003W
OG0000328	augustus_masked-AZAH01000018.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-AZAH01000018.1-processed-gene-0.97&CDS=1-660	YGR049W, YLR356W
OG0000329	snap_masked-AZAH01000018.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AZAH01000018.1-processed-gene-0.34&CDS=1-381	YGR034W, YLR344W
OG0000330		YML116W, YMR279C, YOR378W
OG0000331	snap_masked-AZAH01000001.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.19&CDS=1-309	YCR097W
OG0000332	snap_masked-AZAH01000001.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.2&CDS=1-657	YER183C
OG0000333	snap_masked-AZAH01000001.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.21&CDS=1-732	YER182W
