	Arthrobotrys_oligospora	Saccharomyces_cerevisiae
OG0000352	XP_011120363.1, XP_011124664.1	YMR041C
OG0000353	XP_011120366.1	YDL022W, YOL059W
OG0000354	XP_011120396.1	YJL076W, YKR010C
OG0000355	XP_011120418.1	YER059W, YIL050W
OG0000356	XP_011120419.1	YLR264W, YOR167C
OG0000357	XP_011120434.1	YMR233W, YOR295W
OG0000358	XP_011120464.1	YHR133C, YNL156C
OG0000359	XP_011120527.1	YBR218C, YGL062W
OG0000360	XP_011120539.1	YGR085C, YPR102C
OG0000361	XP_011120631.1	YDR451C, YML027W
OG0000362	XP_011120680.1, XP_011123768.1	YKL046C
OG0000363	XP_011120689.1	YHR146W, YNL173C
OG0000364	XP_011120730.1, XP_011125910.1	YBR296C
OG0000365	XP_011120787.1	YAL015C, YOL043C
OG0000366	XP_011120790.1, XP_011122381.1	YKR070W
OG0000367	XP_011120797.1, XP_011121057.1	YAL049C
OG0000368	XP_011120814.1	YBR244W, YIR037W
OG0000369	XP_011120822.1, XP_011123223.1	YGR170W
OG0000370	XP_011120824.1	YIR013C, YLR013W
OG0000371	XP_011120828.1, XP_011124893.1	YDL056W
OG0000372	XP_011120843.1	YBR241C, YGL104C
OG0000373	XP_011120853.1, XP_011123502.1	YJL108C
OG0000374	XP_011120909.1, XP_011127761.1	YMR029C
OG0000375	XP_011120944.1, XP_011127727.1	YKL157W
OG0000376	XP_011120952.1	YCL064C, YIL167W
OG0000377	XP_011120987.1	YKL050C, YMR031C
OG0000378	XP_011121052.1	YMR194W, YPL249C-A
OG0000379	XP_011121076.1, XP_011126959.1	YER177W
OG0000380	XP_011121086.1, XP_011122991.1	YHR007C
OG0000381	XP_011121093.1, XP_011122579.1	YPR201W
OG0000382	XP_011121123.1	YBL079W, YER105C
OG0000383	XP_011121125.1	YML106W, YMR271C
OG0000384	XP_011121199.1	YBR177C, YPL095C
OG0000385	XP_011121383.1	YCL050C, YDR530C
OG0000386	XP_011121400.1	YMR222C, YOR280C
OG0000387	XP_011121443.1	YGL147C, YNL067W
OG0000388	XP_011121498.1	YBR183W, YPL087W
OG0000389	XP_011121500.1, XP_011122202.1	YDR415C
OG0000390	XP_011121518.1	YLR260W, YOR171C
OG0000391	XP_011121534.1	YDR122W, YLR096W
OG0000392	XP_011121560.1	YHR155W, YNL257C
OG0000393	XP_011121561.1, XP_011124321.1	YGL212W
OG0000394	XP_011121563.1	YCL036W, YDR514C
OG0000395	XP_011121564.1, XP_011123558.1	YBR233W
OG0000396	XP_011121579.1	YER066W, YFL009W
OG0000397	XP_011121618.1, XP_011126897.1	YPL208W
OG0000398	XP_011121623.1	YDL161W, YLR206W
OG0000399	XP_011121638.1	YMR243C, YOR316C
OG0000400	XP_011121660.1, XP_011123966.1	YOL016C
OG0000401	XP_011121683.1	YGR273C, YMR295C
OG0000402	XP_011121694.1	YOR234C, YPL143W
OG0000403	XP_011121808.1, XP_011127751.1	YML085C
OG0000404	XP_011121814.1, XP_011124055.1	YDR028C
OG0000405	XP_011121842.1	YLR178C, YLR179C
OG0000406	XP_011121849.1	YKL132C, YMR113W
OG0000407	XP_011121853.1, XP_011127889.1	YHL021C
OG0000408	XP_011121883.1, XP_011126815.1	YBR007C
OG0000409	XP_011121952.1	YBL089W, YER119C
OG0000410	XP_011121963.1, XP_011127510.1	YDR150W
OG0000411	XP_011122022.1	YDR326C, YHR080C
OG0000412	XP_011122179.1	YGL076C, YPL198W
OG0000413	XP_011122213.1	YDR447C, YML024W
OG0000414	XP_011122217.1, XP_011127591.1	YER162C
OG0000415	XP_011122231.1	YBR024W, YBR037C
OG0000416	XP_011122246.1	YHR203C, YJR145C
OG0000417	XP_011122273.1	YDR453C, YML028W
OG0000418	XP_011122290.1	YGR238C, YHR158C
OG0000419	XP_011122297.1	YBR191W, YPL079W
OG0000420	XP_011122299.1	YDR500C, YLR185W
OG0000421	XP_011122332.1	YDL222C, YNL194C
OG0000422	XP_011122392.1	YDR200C, YLR238W
OG0000423	XP_011122404.1	YLR456W, YPR172W
OG0000424	XP_011122409.1	YDL093W, YDL095W
OG0000425	XP_011122435.1	YHR021C, YKL156W
OG0000426	XP_011122648.1	YCR067C, YNR026C
OG0000427	XP_011122665.1	YBR042C, YDR018C
OG0000428	XP_011122690.1	YDR178W, YLR164W
OG0000429	XP_011122734.1	YDL075W, YLR406C
OG0000430	XP_011122756.1, XP_011127888.1	YJR126C
OG0000431	XP_011122773.1	YLR300W, YOR190W
OG0000432	XP_011122787.1	YJL136C, YKR057W
OG0000433	XP_011122788.1	YLR450W, YML075C
OG0000434	XP_011122795.1	YNL087W, YOR086C
OG0000435	XP_011122818.1	YHR001W, YKR003W
OG0000436	XP_011122830.1	YNL302C, YOL121C
OG0000437	XP_011122833.1, XP_011123959.1	YPL242C
OG0000438	XP_011122851.1	YER056C-A, YIL052C
OG0000439	XP_011122913.1	YBL087C, YER117W
OG0000440	XP_011123057.1	YCL026C-A, YCL026C-B
OG0000441	XP_011123171.1	YBL072C, YER102W
OG0000442	XP_011123206.1	YKL152C, YOR283W
OG0000443	XP_011123216.1	YBR181C, YPL090C
OG0000444	XP_011123292.1	YDR505C, YLR177W
OG0000445	XP_011123305.1	YEL039C, YJR048W
OG0000446	XP_011123394.1, XP_011126119.1	YDL210W
OG0000447	XP_011123430.1, XP_011126197.1	YJL124C
OG0000448	XP_011123442.1, XP_011127609.1	YLR027C
OG0000449	XP_011123458.1	YMR230W, YOR293W
OG0000450	XP_011123471.1	YDL070W, YLR399C
OG0000451	XP_011123547.1, XP_011126789.1	YHR134W
OG0000452	XP_011123623.1	YDR418W, YEL054C
OG0000453	XP_011123639.1, XP_011127709.1	YPR128C
OG0000454	XP_011123664.1	YHR131C, YNL144C
OG0000455	XP_011123696.1	YMR177W, YPL224C
OG0000456	XP_011123759.1	YCR005C, YNR001C
OG0000457	XP_011123828.1	YHR141C, YNL162W
OG0000458	XP_011123857.1, XP_011126521.1	YLR014C
OG0000459	XP_011123905.1	YJL083W, YKR019C
OG0000460	XP_011123912.1, XP_011127544.1	YOL147C
OG0000461	XP_011123944.1	YDR146C, YLR131C
OG0000462	XP_011123964.1	YBR214W, YGL056C
OG0000463	XP_011123965.1	YIL105C, YNL047C
OG0000464	XP_011123970.1	YBR104W, YPR058W
OG0000465	XP_011123972.1	YHR210C, YNR071C
OG0000466	XP_011123981.1	YFL004W, YPL019C
OG0000467	XP_011123986.1	YAL034C, YOR338W
OG0000468	XP_011124335.1	YJL134W, YKR053C
OG0000469	XP_011124348.1, XP_011128039.1	YEL007W
OG0000470	XP_011124359.1, XP_011126525.1	YMR068W
OG0000471	XP_011124364.1	YCL011C, YNL004W
OG0000472	XP_011124432.1	YDR450W, YML026C
OG0000473	XP_011124546.1	YJL177W, YKL180W
OG0000474	XP_011124562.1	YDL083C, YMR143W
OG0000475	XP_011124566.1	YCR031C, YJL191W
OG0000476	XP_011124570.1	YNL108C, YOR110W
OG0000477	XP_011124576.1	YAR042W, YDL019C
OG0000478	XP_011124662.1	YGR004W, YLR324W
OG0000479	XP_011124713.1	YNL299W, YOL115W
OG0000480	XP_011124718.1	YDR132C, YLR108C
OG0000481	XP_011124731.1	YGR027C, YLR333C
OG0000482	XP_011124773.1	YGL049C, YGR162W
OG0000483	XP_011124777.1	YDL082W, YMR142C
OG0000484	XP_011124870.1	YDR385W, YOR133W
OG0000485	XP_011124882.1	YEL066W, YPR193C
OG0000486	XP_011124916.1	YCR026C, YEL016C
OG0000487	XP_011124941.1	YCR052W, YNR023W
OG0000488	XP_011124954.1	YDR471W, YHR010W
OG0000489	XP_011124963.1	YDL204W, YDR233C
OG0000490	XP_011124987.1	YGR214W, YLR048W
OG0000491	XP_011125000.1	YBL056W, YER089C
OG0000492	XP_011125005.1	YHR132W-A, YNL157W
OG0000493	XP_011125007.1	YEL006W, YIL006W
OG0000494	XP_011125123.1	YJL133W, YKR052C
OG0000495	XP_011125133.1	YBR049C, YDR026C
OG0000496	XP_011125138.1	YMR182C, YPL230W
OG0000497	XP_011125291.1	YER175C, YHR209W
OG0000498	XP_011125344.1	YDL224C, YNL197C
OG0000499	XP_011125411.1	YNL301C, YOL120C
OG0000500	XP_011125421.1	YFR053C, YGL253W
OG0000501	XP_011125426.1	YDR458C, YML034W
OG0000502	XP_011125429.1	YER062C, YIL053W
OG0000503	XP_011125432.1	YHL001W, YKL006W
OG0000504	XP_011125437.1	YGR092W, YPR111W
OG0000505	XP_011125448.1	YGR243W, YHR162W
OG0000506	XP_011125449.1	YDR252W, YPL037C
OG0000507	XP_011125467.1	YBR010W, YNL031C
OG0000508	XP_011125517.1, XP_011127623.1	YHR018C
OG0000509	XP_011125528.1	YDR107C, YLR083C
OG0000510	XP_011125607.1	YJL172W, YOL153C
OG0000511	XP_011125668.1	YIL111W, YNL052W
OG0000512	XP_011125702.1	YIR033W, YKL020C
OG0000513	XP_011125707.1	YBR118W, YPR080W
OG0000514	XP_011125709.1	YIL113W, YNL053W
OG0000515	XP_011125713.1	YAL017W, YOL045W
OG0000516	XP_011125743.1, XP_011128280.1	YOL137W
OG0000517	XP_011126139.1	YFL034C-A, YLR061W
OG0000518	XP_011126156.1	YGR038W, YLR350W
OG0000519	XP_011126174.1	YLR287C-A, YOR182C
OG0000520	XP_011126179.1	YLR448W, YML073C
OG0000521	XP_011126188.1	YDR368W, YOR120W
OG0000522	XP_011126227.1	YGR136W, YPR154W
OG0000523	XP_011126245.1	YGR131W, YPR149W
OG0000524	XP_011126299.1	YHR117W, YNL121C
OG0000525	XP_011126381.1	YGL135W, YPL220W
OG0000526	XP_011126391.1, XP_011128407.1	YPL092W
OG0000527	XP_011126552.1	YGR118W, YPR132W
OG0000528	XP_011126614.1	YDR185C, YLR168C
OG0000529	XP_011126617.1	YDR273W, YOR042W
OG0000530	XP_011126628.1	YGR008C, YLR327C
OG0000531	XP_011126634.1	YAR002C-A, YGL002W
OG0000532	XP_011126661.1	YMR253C, YPL264C
OG0000533	XP_011126767.1	YLR187W, YNL278W
OG0000534	XP_011126841.1	YBR294W, YLR092W
OG0000535	XP_011126879.1, XP_011127059.1	YBR271W
OG0000536	XP_011126916.1	YHL033C, YLL045C
OG0000537	XP_011126958.1	YDL130W-A, YDL181W
OG0000538	XP_011126972.1	YER074W, YIL069C
OG0000539	XP_011126985.1	YBL085W, YER114C
OG0000540	XP_011127039.1	YDL246C, YJR159W
OG0000541	XP_011127067.1	YMR242C, YOR312C
OG0000542	XP_011127090.1	YER019C-A, YER087C-B
OG0000543	XP_011127114.1	YIL148W, YKR094C
OG0000544	XP_011127215.1	YDR501W, YLR183C
OG0000545	XP_011127244.1, XP_011128069.1	YKL085W
OG0000546	XP_011127264.1	YHR179W, YPL171C
OG0000547	XP_011127346.1	YML109W, YMR273C
OG0000548	XP_011127391.1	YBR267W, YLR387C
OG0000549	XP_011127430.1	YDR069C, YER144C
OG0000550	XP_011127459.1	YJR054W, YML047C
OG0000551	XP_011127515.1	YBL027W, YBR084C-A
OG0000552	XP_011127699.1	YBR021W, YIR028W
OG0000553	XP_011127726.1	YJR061W, YKL201C
OG0000554	XP_011127788.1	YGL082W, YPL191C
OG0000555	XP_011127843.1	YDR098C, YER174C
OG0000556	XP_011127945.1, XP_011128226.1	YDR421W
OG0000557	XP_011127976.1	YNL106C, YOR109W
OG0000558	XP_011128062.1	YBR161W, YPL057C
OG0000559	XP_011128072.1	YDR409W, YOR156C
OG0000560	XP_011128082.1	YKL081W, YPL048W
OG0000561	XP_011128118.1	YER027C, YGL208W
OG0000562	XP_011128183.1	YFR031C-A, YIL018W
OG0000563	XP_011128304.1	YGR034W, YLR344W
OG0000564	XP_011128333.1	YAL060W, YAL061W
OG0000565	XP_011128394.1	YBR172C, YPL105C
OG0000566	XP_011116989.1	YLL063C
OG0000567	XP_011116993.1	YPL172C
OG0000568	XP_011116994.1	YPL247C
OG0000569	XP_011116999.1	YIL075C
OG0000570	XP_011117010.1	YBR041W
OG0000571	XP_011117027.1	YMR149W
OG0000572	XP_011117033.1	YJR013W
OG0000573	XP_011117034.1	YIL156W-B
OG0000574	XP_011117035.1	YMR158W
OG0000575	XP_011117039.1	YAL038W
OG0000576	XP_011117050.1	YHR190W
OG0000577	XP_011117056.1	YIR004W
OG0000578	XP_011117059.1	YFR018C
OG0000579	XP_011117075.1	YGR277C
OG0000580	XP_011117076.1	YDR434W
OG0000581	XP_011117079.1	YML010W
OG0000582	XP_011117083.1	YDR097C
OG0000583	XP_011117088.1	YML102W
OG0000584	XP_011117111.1	YBR261C
OG0000585	XP_011117122.1	YPL104W
OG0000586	XP_011117138.1	YOR241W
OG0000587	XP_011117139.1	YDR460W
OG0000588	XP_011117146.1	YNR053C
OG0000589	XP_011117147.1	YGR258C
OG0000590	XP_011117148.1	YPL183C
OG0000591	XP_011117153.1	YIL094C
OG0000592	XP_011117156.1	YDR324C
OG0000593	XP_011117157.1	YDR364C
OG0000594	XP_011117167.1	YGR086C
OG0000595	XP_011117170.1	YPL096W
OG0000596	XP_011117171.1	YJR008W
OG0000597	XP_011117178.1	YKL209C
OG0000598	XP_011117180.1	YPL225W
OG0000599	XP_011117187.1	YFR019W
OG0000600	XP_011117198.1	YJL092W
OG0000601	XP_011117199.1	YPL183W-A
OG0000602	XP_011117200.1	YKL212W
OG0000603	XP_011117201.1	YLR459W
OG0000604	XP_011117207.1	YBR006W
OG0000605	XP_011117210.1	YPL040C
OG0000606	XP_011117212.1	YFR029W
OG0000607	XP_011117213.1	YGR103W
OG0000608	XP_011117217.1	YLR244C
OG0000609	XP_011117221.1	YPR183W
OG0000610	XP_011117226.1	YLR262C-A
OG0000611	XP_011117233.1	YPR086W
OG0000612	XP_011117234.1	YLR295C
OG0000613	XP_011117237.1	YDR432W
OG0000614	XP_011117238.1	YJL154C
OG0000615	XP_011117239.1	YDR462W
OG0000616	XP_011117244.1	YGL153W
OG0000617	XP_011117253.1	YPR049C
OG0000618	XP_011117254.1	YMR105C
OG0000619	XP_011117256.1	YPL072W
OG0000620	XP_011117257.1	YKL054C
OG0000621	XP_011117260.1	YBR094W
OG0000622	XP_011117265.1	YNR017W
OG0000623	XP_011117266.1	YMR259C
OG0000624	XP_011117267.1	YBR254C
OG0000625	XP_011117273.1	YDR341C
OG0000626	XP_011117274.1	YBL001C
OG0000627	XP_011117280.1	YIL150C
OG0000628	XP_011117282.1	YLR059C
OG0000629	XP_011117284.1	YKL060C
OG0000630	XP_011117287.1	YML004C
OG0000631	XP_011117291.1	YKR043C
OG0000632	XP_011117303.1	YLR262C
OG0000633	XP_011117304.1	YOR021C
OG0000634	XP_011117309.1	YDL183C
OG0000635	XP_011117311.1	YFR030W
OG0000636	XP_011117312.1	YOL135C
OG0000637	XP_011117313.1	YDR284C
OG0000638	XP_011117314.1	YKR097W
OG0000639	XP_011117318.1	YEL012W
OG0000640	XP_011117323.1	YBR286W
OG0000641	XP_011117325.1	YHL002W
OG0000642	XP_011117326.1	YDR105C
OG0000643	XP_011117330.1	YIR026C
OG0000644	XP_011117336.1	YDR479C
OG0000645	XP_011117337.1	YPL162C
OG0000646	XP_011117338.1	YER002W
OG0000647	XP_011117339.1	YGR002C
OG0000648	XP_011117342.1	YBL013W
OG0000649	XP_011117344.1	YER078C
OG0000650	XP_011117345.1	YDR299W
OG0000651	XP_011117349.1	YJR064W
OG0000652	XP_011117362.1	YKL007W
OG0000653	XP_011117364.1	YDR481C
OG0000654	XP_011117368.1	YKL010C
OG0000655	XP_011117376.1	YMR297W
OG0000656	XP_011117378.1	YMR028W
OG0000657	XP_011117380.1	YLR032W
OG0000658	XP_011117381.1	YLR326W
OG0000659	XP_011117383.1	YNL118C
OG0000660	XP_011117384.1	YPR100W
OG0000661	XP_011117385.1	YIL061C
OG0000662	XP_011117389.1	YOR212W
OG0000663	XP_011117391.1	YAL010C
OG0000664	XP_011117392.1	YKL009W
OG0000665	XP_011117393.1	YDR050C
OG0000666	XP_011117395.1	YMR289W
OG0000667	XP_011117400.1	YMR281W
OG0000668	XP_011117408.1	YKR063C
OG0000669	XP_011117410.1	YEL042W
OG0000670	XP_011117414.1	YDL112W
OG0000671	XP_011117417.1	YPL045W
OG0000672	XP_011117421.1	YMR315W
OG0000673	XP_011117422.1	YML020W
OG0000674	XP_011117424.1	YKL172W
OG0000675	XP_011117427.1	YNL131W
OG0000676	XP_011117433.1	YJR122W
OG0000677	XP_011117435.1	YNL284C
OG0000678	XP_011117436.1	YLR438C-A
OG0000679	XP_011117443.1	YDL205C
OG0000680	XP_011117444.1	YGL115W
OG0000681	XP_011117446.1	YEL013W
OG0000682	XP_011117447.1	YNL011C
OG0000683	XP_011117450.1	YHR142W
OG0000684	XP_011117452.1	YDR472W
OG0000685	XP_011117460.1	YKL003C
OG0000686	XP_011117461.1	YAL044C
OG0000687	XP_011117466.1	YNL016W
OG0000688	XP_011117468.1	YHR031C
OG0000689	XP_011117469.1	YEL015W
OG0000690	XP_011117473.1	YMR004W
OG0000691	XP_011117475.1	YGR083C
OG0000692	XP_011117481.1	YCL032W
OG0000693	XP_011117482.1	YOR144C
OG0000694	XP_011117485.1	YJR138W
OG0000695	XP_011117486.1	YFL036W
OG0000696	XP_011117487.1	YDR365C
OG0000697	XP_011117488.1	YPL146C
OG0000698	XP_011117489.1	YHR170W
OG0000699	XP_011117490.1	YNR054C
OG0000700	XP_011117495.1	YDR377W
OG0000701	XP_011117497.1	YJL130C
OG0000702	XP_011117498.1	YMR026C
OG0000703	XP_011117502.1	YHR032W
OG0000704	XP_011117503.1	YHR027C
OG0000705	XP_011117504.1	YDL063C
OG0000706	XP_011117506.1	YDR367W
OG0000707	XP_011117508.1	YMR213W
OG0000708	XP_011117509.1	YGL091C
OG0000709	XP_011117516.1	YDR416W
OG0000710	XP_011117517.1	YEL051W
OG0000711	XP_011117520.1	YLR401C
OG0000712	XP_011117526.1	YGR157W
OG0000713	XP_011117530.1	YMR266W
OG0000714	XP_011117531.1	YLR403W
OG0000715	XP_011117558.1	YPR020W
OG0000716	XP_011117559.1	YGL171W
OG0000717	XP_011117569.1	YKL210W
OG0000718	XP_011117576.1	YDL072C
OG0000719	XP_011117581.1	YOR370C
OG0000720	XP_011117585.1	YKL013C
OG0000721	XP_011117586.1	YFR010W
OG0000722	XP_011117587.1	YOL034W
OG0000723	XP_011117589.1	YFL017C
OG0000724	XP_011117590.1	YNL221C
OG0000725	XP_011117594.1	YDR092W
OG0000726	XP_011117595.1	YDR128W
OG0000727	XP_011117596.1	YGL050W
OG0000728	XP_011117605.1	YPL262W
OG0000729	XP_011117608.1	YPL030W
OG0000730	XP_011117613.1	YBL023C
OG0000731	XP_011117616.1	YJR078W
OG0000732	XP_011117619.1	YBR251W
OG0000733	XP_011117620.1	YMR231W
OG0000734	XP_011117621.1	YCR091W
OG0000735	XP_011117622.1	YHR040W
OG0000736	XP_011117626.1	YER003C
OG0000737	XP_011117627.1	YGR262C
OG0000738	XP_011117632.1	YKR056W
OG0000739	XP_011117633.1	YKL058W
OG0000740	XP_011117634.1	YFR021W
OG0000741	XP_011117636.1	YHR020W
OG0000742	XP_011117637.1	YDR212W
OG0000743	XP_011117638.1	YHR026W
OG0000744	XP_011117640.1	YDR390C
OG0000745	XP_011117642.1	YJL019W
OG0000746	XP_011117645.1	YER005W
OG0000747	XP_011117646.1	YOL032W
OG0000748	XP_011117649.1	YDR063W
OG0000749	XP_011117650.1	YMR178W
OG0000750	XP_011117652.1	YDL135C
OG0000751	XP_011117654.1	YAR008W
OG0000752	XP_011117659.1	YKR024C
OG0000753	XP_011117662.1	YBR046C
OG0000754	XP_011117666.1	YDR173C
OG0000755	XP_011117669.1	YKR026C
OG0000756	XP_011117671.1	YNL263C
OG0000757	XP_011117674.1	YGR091W
OG0000758	XP_011117676.1	YNL240C
OG0000759	XP_011117702.1	YOR007C
OG0000760	XP_011117703.1	YIL022W
OG0000761	XP_011117704.1	YDR354W
OG0000762	XP_011117707.1	YDR043C
OG0000763	XP_011117708.1	YER007W
OG0000764	XP_011117709.1	YDL202W
OG0000765	XP_011117710.1	YHR143W-A
OG0000766	XP_011117711.1	YER007C-A
OG0000767	XP_011117715.1	YNL306W
OG0000768	XP_011117716.1	YNL161W
OG0000769	XP_011117718.1	YMR226C
OG0000770	XP_011117723.1	YJL054W
OG0000771	XP_011117726.1	YLR117C
OG0000772	XP_011117727.1	YJR072C
OG0000773	XP_011117731.1	YML002W
OG0000774	XP_011117734.1	YBR025C
OG0000775	XP_011117735.1	YMR300C
OG0000776	XP_011117737.1	YNL274C
OG0000777	XP_011117740.1	YKL196C
OG0000778	XP_011117743.1	YDR152W
OG0000779	XP_011117744.1	YDR161W
OG0000780	XP_011117747.1	YDR016C
OG0000781	XP_011117748.1	YER043C
OG0000782	XP_011117751.1	YDL040C
OG0000783	XP_011117759.1	YDR428C
OG0000784	XP_011117761.1	YDL043C
OG0000785	XP_011117762.1	YHL023C
OG0000786	XP_011117767.1	YJL087C
OG0000787	XP_011117769.1	YBL102W
OG0000788	XP_011117773.1	YDL231C
OG0000789	XP_011117777.1	YEL050C
OG0000790	XP_011117778.1	YOL124C
OG0000791	XP_011117779.1	YNL297C
OG0000792	XP_011117780.1	YGL087C
OG0000793	XP_011117783.1	YOR222W
OG0000794	XP_011117784.1	YHR164C
OG0000795	XP_011117787.1	YER095W
OG0000796	XP_011117788.1	YDR496C
OG0000797	XP_011117790.1	YKL057C
OG0000798	XP_011117792.1	YDR502C
OG0000799	XP_011117795.1	YKL012W
OG0000800	XP_011117798.1	YDR091C
OG0000801	XP_011117803.1	YDR191W
OG0000802	XP_011117804.1	YLR243W
OG0000803	XP_011117806.1	YER164W
OG0000804	XP_011117807.1	YCR014C
OG0000805	XP_011117809.1	YCR012W
OG0000806	XP_011117810.1	YDR363W-A
OG0000807	XP_011117817.1	YHL031C
OG0000808	XP_011117826.1	YNL286W
OG0000809	XP_011117827.1	YLR393W
OG0000810	XP_011117829.1	YJR102C
OG0000811	XP_011117859.1	YIL062C
OG0000812	XP_011117860.1	YBR085W
OG0000813	XP_011117864.1	YJR110W
OG0000814	XP_011117869.1	YNL308C
OG0000815	XP_011117870.1	YNL178W
OG0000816	XP_011117879.1	YDL237W
OG0000817	XP_011117893.1	YIL067C
OG0000818	XP_011117898.1	YLR138W
OG0000819	XP_011117899.1	YML064C
OG0000820	XP_011117901.1	YMR131C
OG0000821	XP_011117902.1	YNL294C
OG0000822	XP_011117912.1	YGL201C
OG0000823	XP_011117914.1	YBR167C
OG0000824	XP_011117915.1	YCR066W
OG0000825	XP_011117916.1	YJL049W
OG0000826	XP_011117917.1	YDR108W
OG0000827	XP_011117922.1	YMR220W
OG0000828	XP_011117924.1	YER168C
OG0000829	XP_011117930.1	YOL080C
OG0000830	XP_011117933.1	YPL117C
OG0000831	XP_011117934.1	YNL207W
OG0000832	XP_011117936.1	YHR042W
OG0000833	XP_011117937.1	YIL129C
OG0000834	XP_011117938.1	YNL325C
OG0000835	XP_011117939.1	YMR167W
OG0000836	XP_011117940.1	YJR063W
OG0000837	XP_011117941.1	YJR070C
OG0000838	XP_011117942.1	YDR164C
OG0000839	XP_011117945.1	YPL029W
OG0000840	XP_011117946.1	YDL045C
OG0000841	XP_011117949.1	YPR082C
OG0000842	XP_011117951.1	YDL031W
OG0000843	XP_011117956.1	YNL312W
OG0000844	XP_011117957.1	YNL099C
OG0000845	XP_011117958.1	YDR405W
OG0000846	XP_011117960.1	YBR035C
OG0000847	XP_011117966.1	YOR244W
OG0000848	XP_011117975.1	YJL033W
OG0000849	XP_011117979.1	YEL036C
OG0000850	XP_011117981.1	YKR054C
OG0000851	XP_011117982.1	YGL105W
OG0000852	XP_011117983.1	YGR111W
OG0000853	XP_011117984.1	YOL069W
OG0000854	XP_011117993.1	YHR002W
OG0000855	XP_011117999.1	YJR137C
OG0000856	XP_011118001.1	YDR346C
OG0000857	XP_011118002.1	YBR173C
OG0000858	XP_011118003.1	YKL014C
OG0000859	XP_011118024.1	YNL003C
OG0000860	XP_011118029.1	YGR094W
OG0000861	XP_011118031.1	YDL035C
OG0000862	XP_011118032.1	YNL181W
OG0000863	XP_011118034.1	YJR099W
OG0000864	XP_011118037.1	YJR113C
OG0000865	XP_011118039.1	YDR180W
OG0000866	XP_011118042.1	YBR257W
OG0000867	XP_011118048.1	YOR020C
OG0000868	XP_011118050.1	YDL025C
OG0000869	XP_011118051.1	YNL185C
OG0000870	XP_011118059.1	YGL172W
OG0000871	XP_011118060.1	YJR093C
OG0000872	XP_011118071.1	YML123C
OG0000873	XP_011118075.1	YPL207W
OG0000874	XP_011118084.1	YNL239W
OG0000875	XP_011118317.1	YGL156W
OG0000876	XP_011118318.1	YFL034W
OG0000877	XP_011118319.1	YNL209W
OG0000878	XP_011118325.1	YGL022W
OG0000879	XP_011118331.1	YBL007C
OG0000880	XP_011118333.1	YOR004W
OG0000881	XP_011118336.1	YER173W
OG0000882	XP_011118341.1	YCR088W
OG0000883	XP_011118349.1	YGL190C
OG0000884	XP_011118361.1	YBR252W
OG0000885	XP_011118362.1	YEL029C
OG0000886	XP_011118370.1	YGL085W
OG0000887	XP_011118377.1	YER170W
OG0000888	XP_011118378.1	YPR125W
OG0000889	XP_011118389.1	YNR035C
OG0000890	XP_011118390.1	YLR129W
OG0000891	XP_011118391.1	YLL014W
OG0000892	XP_011118397.1	YDR469W
OG0000893	XP_011118405.1	YIR027C
OG0000894	XP_011118426.1	YDR061W
OG0000895	XP_011118430.1	YMR009W
OG0000896	XP_011118438.1	YBR223C
OG0000897	XP_011118443.1	YOR323C
OG0000898	XP_011118444.1	YLR427W
OG0000899	XP_011118446.1	YML086C
OG0000900	XP_011118454.1	YCR090C
OG0000901	XP_011118456.1	YDR221W
OG0000902	XP_011118464.1	YDL015C
OG0000903	XP_011118470.1	YGR037C
OG0000904	XP_011118474.1	YMR063W
OG0000905	XP_011118475.1	YKR088C
OG0000906	XP_011118486.1	YKL034W
OG0000907	XP_011118539.1	YDR375C
OG0000908	XP_011118554.1	YBR256C
OG0000909	XP_011118559.1	YIR022W
OG0000910	XP_011118560.1	YHR065C
OG0000911	XP_011118567.1	YCR059C
OG0000912	XP_011118579.1	YKL095W
OG0000913	XP_011118580.1	YDL167C
OG0000914	XP_011118583.1	YCR034W
OG0000915	XP_011118584.1	YHR051W
OG0000916	XP_011118589.1	YKR050W
OG0000917	XP_011118592.1	YHR074W
OG0000918	XP_011118597.1	YKR001C
OG0000919	XP_011118598.1	YLR274W
OG0000920	XP_011118599.1	YDR027C
OG0000921	XP_011118604.1	YHR099W
OG0000922	XP_011118608.1	YOR014W
OG0000923	XP_011118609.1	YBR123C
OG0000924	XP_011118611.1	YDR468C
OG0000925	XP_011118612.1	YKL022C
OG0000926	XP_011118613.1	YDR196C
OG0000927	XP_011118616.1	YDL030W
OG0000928	XP_011118625.1	YJL167W
OG0000929	XP_011118626.1	YDR325W
OG0000930	XP_011118627.1	YGR061C
OG0000931	XP_011118638.1	YFR015C
OG0000932	XP_011118639.1	YGL245W
OG0000933	XP_011118642.1	YCR046C
OG0000934	XP_011118644.1	YMR010W
OG0000935	XP_011118646.1	YDL217C
OG0000936	XP_011118647.1	YPL041C
OG0000937	XP_011118653.1	YJR119C
OG0000938	XP_011118654.1	YHR201C
OG0000939	XP_011118656.1	YKL067W
OG0000940	XP_011118658.1	YIL003W
OG0000941	XP_011118659.1	YBR229C
OG0000942	XP_011118666.1	YCR057C
OG0000943	XP_011118669.1	YPR143W
OG0000944	XP_011118670.1	YPL252C
OG0000945	XP_011118674.1	YJR057W
OG0000946	XP_011118677.1	YPR067W
OG0000947	XP_011118678.1	YGL067W
OG0000948	XP_011118684.1	YOL038W
OG0000949	XP_011118685.1	YDL178W
