	Babjeviella_inositovora	Saccharomyces_cerevisiae
OG0000250	genemark-scaffold_12-processed-gene-3.214-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.214&CDS=1-867	YGL134W, YPL219W
OG0000251	genemark-scaffold_12-processed-gene-3.252-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.252&CDS=1-2469	YGL139W, YPL221W
OG0000252	genemark-scaffold_13-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.2&CDS=1-681	YBR242W, YGL101W
OG0000253	genemark-scaffold_13-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.10&CDS=1-945, genemark-scaffold_14-processed-gene-2.88-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.88&CDS=1-945	YGR060W
OG0000254	genemark-scaffold_13-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.11&CDS=1-1218	YGR009C, YMR017W
OG0000255	genemark-scaffold_13-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.6&CDS=1-3267	YDR085C, YER158C
OG0000256	genemark-scaffold_13-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.26&CDS=1-711, genemark-scaffold_2-processed-gene-8.119-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.119&CDS=1-729	YKL096W
OG0000257	snap_masked-scaffold_13-processed-gene-1.61-mRNA-1_1&gene=snap_masked-scaffold_13-processed-gene-1.61&CDS=1-480	YBR191W, YPL079W
OG0000258	augustus_masked-scaffold_13-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-1.108&CDS=1-1836, snap_masked-scaffold_17-processed-gene-1.71-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.71&CDS=1-1785	YBR132C
OG0000259	genemark-scaffold_13-processed-gene-2.122-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.122&CDS=1-2058	YBR216C, YGL060W
OG0000260	genemark-scaffold_13-processed-gene-2.131-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.131&CDS=1-1686	YGR092W, YPR111W
OG0000261	genemark-scaffold_13-processed-gene-3.161-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-3.161&CDS=1-762	YJL079C, YKR013W
OG0000262	genemark-scaffold_13-processed-gene-3.165-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-3.165&CDS=1-513	YKL141W, YMR118C
OG0000263	genemark-scaffold_13-processed-gene-3.182-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-3.182&CDS=1-1440, genemark-scaffold_18-processed-gene-1.50-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.50&CDS=1-1479	YFL022C
OG0000264	genemark-scaffold_14-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-0.105&CDS=1-4122	YCR073C, YNR031C
OG0000265	genemark-scaffold_14-processed-gene-1.95-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-1.95&CDS=1-2406	YBL067C, YER098W
OG0000266	genemark-scaffold_14-processed-gene-1.100-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-1.100&CDS=1-1281	YOR237W, YPL145C
OG0000267	maker-scaffold_14-snap-gene-1.93-mRNA-1_1&gene=maker-scaffold_14-snap-gene-1.93&CDS=1-2619	YCR026C, YEL016C
OG0000268	genemark-scaffold_14-processed-gene-1.118-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-1.118&CDS=1-1290	YOR231W, YPL140C
OG0000269	genemark-scaffold_14-processed-gene-1.139-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-1.139&CDS=1-2391	YOR233W, YPL141C
OG0000270	genemark-scaffold_14-processed-gene-2.79-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.79&CDS=1-321	YOR234C, YPL143W
OG0000271	genemark-scaffold_14-processed-gene-2.81-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.81&CDS=1-966	YKR076W, YMR251W
OG0000272	genemark-scaffold_14-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.85&CDS=1-330	YEL039C, YJR048W
OG0000273	genemark-scaffold_14-processed-gene-2.105-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.105&CDS=1-2028	YBL009W, YGL021W
OG0000274	genemark-scaffold_14-processed-gene-3.121-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-3.121&CDS=1-957	YCR073W-A, YNR034W
OG0000275	genemark-scaffold_14-processed-gene-3.125-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-3.125&CDS=1-1758, genemark-scaffold_14-processed-gene-3.126-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-3.126&CDS=1-6849	YNL242W
OG0000276	genemark-scaffold_14-processed-gene-3.129-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-3.129&CDS=1-636	YAR002C-A, YGL002W
OG0000277	genemark-scaffold_15-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.18&CDS=1-1293	YDR300C, YHR033W
OG0000278	genemark-scaffold_15-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.22&CDS=1-4722	YGR238C, YHR158C
OG0000279	genemark-scaffold_15-processed-gene-2.12-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.12&CDS=1-2037, genemark-scaffold_16-processed-gene-2.182-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.182&CDS=1-2016	YAL054C
OG0000280	genemark-scaffold_15-processed-gene-2.15-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.15&CDS=1-2364, genemark-scaffold_4-processed-gene-2.40-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.40&CDS=1-1605	YOR140W
OG0000281	genemark-scaffold_15-processed-gene-2.29-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.29&CDS=1-1044	YEL006W, YIL006W
OG0000282	genemark-scaffold_15-processed-gene-2.53-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.53&CDS=1-798, genemark-scaffold_16-processed-gene-2.175-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.175&CDS=1-804	YDR090C
OG0000283	genemark-scaffold_15-processed-gene-2.61-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.61&CDS=1-765	YGR136W, YPR154W
OG0000284	genemark-scaffold_16-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.25&CDS=1-1665, genemark-scaffold_7-processed-gene-1.34-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.34&CDS=1-1722	YNR055C
OG0000285	augustus_masked-scaffold_16-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-0.80&CDS=1-525	YGR085C, YPR102C
OG0000286	maker-scaffold_16-snap-gene-2.0-mRNA-1_1&gene=maker-scaffold_16-snap-gene-2.0&CDS=1-780, maker-scaffold_29-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_29-snap-gene-0.0&CDS=1-2193	YLR130C
OG0000287	genemark-scaffold_16-processed-gene-2.165-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.165&CDS=1-2004	YAL056W, YOR371C
OG0000288	maker-scaffold_17-snap-gene-0.68-mRNA-1_1&gene=maker-scaffold_17-snap-gene-0.68&CDS=1-3213	YNL301C, YOL120C
OG0000289	genemark-scaffold_17-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.87&CDS=1-1653	YJL112W, YKR036C
OG0000290	genemark-scaffold_17-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.20&CDS=1-462	YGL031C, YGR148C
OG0000291	genemark-scaffold_17-processed-gene-1.14-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.14&CDS=1-2448	YBR294W, YLR092W
OG0000292	snap_masked-scaffold_17-processed-gene-2.23-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-2.23&CDS=1-465	YBR048W, YDR025W
OG0000293	genemark-scaffold_17-processed-gene-2.111-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.111&CDS=1-732	YBR014C, YDL010W
OG0000294	genemark-scaffold_17-processed-gene-2.114-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.114&CDS=1-1236	YHR001W, YKR003W
OG0000295	augustus_masked-scaffold_18-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.12&CDS=1-2163	YDR475C, YOR019W
OG0000296	genemark-scaffold_18-processed-gene-0.111-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.111&CDS=1-2661	YDR458C, YML034W
OG0000297	genemark-scaffold_18-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.113&CDS=1-813, genemark-scaffold_4-processed-gene-2.35-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.35&CDS=1-558	YDL218W
OG0000298	genemark-scaffold_18-processed-gene-1.13-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.13&CDS=1-1560	YDL042C, YOL068C
OG0000299	snap_masked-scaffold_18-processed-gene-1.181-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.181&CDS=1-5664	YGR032W, YLR342W
OG0000300	genemark-scaffold_18-processed-gene-1.44-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.44&CDS=1-381	YGR034W, YLR344W
OG0000301	genemark-scaffold_18-processed-gene-1.49-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.49&CDS=1-1038, genemark-scaffold_6-processed-gene-5.49-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.49&CDS=1-996	YDL078C
OG0000302	genemark-scaffold_18-processed-gene-1.52-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.52&CDS=1-321	YCL035C, YDR513W
OG0000303	genemark-scaffold_2-processed-gene-0.66-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.66&CDS=1-585	YDR453C, YML028W
OG0000304	genemark-scaffold_2-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.83&CDS=1-1992	YMR237W, YOR299W
OG0000305	genemark-scaffold_2-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.94&CDS=1-1314	YGR254W, YHR174W
OG0000306	snap_masked-scaffold_2-processed-gene-1.4-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.4&CDS=1-783	YHR203C, YJR145C
OG0000307	genemark-scaffold_2-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.86&CDS=1-1833, maker-scaffold_2-snap-gene-11.46-mRNA-1_1&gene=maker-scaffold_2-snap-gene-11.46&CDS=1-1998	YDL174C
OG0000308	maker-scaffold_2-snap-gene-1.122-mRNA-1_1&gene=maker-scaffold_2-snap-gene-1.122&CDS=1-2529	YIL085C, YNL029C
OG0000309	genemark-scaffold_2-processed-gene-1.106-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.106&CDS=1-1638, genemark-scaffold_6-processed-gene-8.49-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.49&CDS=1-1752	YBR015C
OG0000310	genemark-scaffold_39-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_39-processed-gene-0.4&CDS=1-1557, maker-scaffold_2-snap-gene-2.5-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.5&CDS=1-1878	YOR374W
OG0000311	genemark-scaffold_2-processed-gene-2.46-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.46&CDS=1-273	YER019C-A, YER087C-B
OG0000312	genemark-scaffold_2-processed-gene-3.98-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.98&CDS=1-600	YBL072C, YER102W
OG0000313	genemark-scaffold_2-processed-gene-3.101-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.101&CDS=1-810, genemark-scaffold_2-processed-gene-3.104-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.104&CDS=1-807	YMR226C
OG0000314	snap_masked-scaffold_2-processed-gene-3.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.21&CDS=1-528	YMR242C, YOR312C
OG0000315	genemark-scaffold_2-processed-gene-4.7-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.7&CDS=1-3117	YBL106C, YPR032W
OG0000316	genemark-scaffold_2-processed-gene-5.70-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.70&CDS=1-3399	YDR122W, YLR096W
OG0000317	genemark-scaffold_2-processed-gene-5.69-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.69&CDS=1-309	YGR209C, YLR043C
OG0000318	genemark-scaffold_2-processed-gene-5.75-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.75&CDS=1-2235, genemark-scaffold_6-processed-gene-4.34-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.34&CDS=1-1107	YNL027W
OG0000319	genemark-scaffold_2-processed-gene-5.76-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.76&CDS=1-2478	YKL072W, YMR053C
OG0000320	genemark-scaffold_2-processed-gene-6.37-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.37&CDS=1-1698, genemark-scaffold_9-processed-gene-0.99-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.99&CDS=1-1674	YKR097W
OG0000321	snap_masked-scaffold_2-processed-gene-7.7-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.7&CDS=1-3840	YGR070W, YLR371W
OG0000322	genemark-scaffold_2-processed-gene-7.96-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.96&CDS=1-1179	YDL048C, YLR375W
OG0000323	genemark-scaffold_2-processed-gene-7.100-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.100&CDS=1-273	YBR089C-A, YPR052C
OG0000324	snap_masked-scaffold_2-processed-gene-7.27-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.27&CDS=1-7911	YBR140C, YOL081W
OG0000325	maker-scaffold_2-snap-gene-7.76-mRNA-1_1&gene=maker-scaffold_2-snap-gene-7.76&CDS=1-408	YDR471W, YHR010W
OG0000326	genemark-scaffold_2-processed-gene-8.93-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.93&CDS=1-1746	YDR451C, YML027W
OG0000327	genemark-scaffold_2-processed-gene-8.95-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.95&CDS=1-417	YDR450W, YML026C
OG0000328	genemark-scaffold_3-processed-gene-1.89-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.89&CDS=1-660, maker-scaffold_2-snap-gene-8.124-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.124&CDS=1-1302	YLR251W
OG0000329	genemark-scaffold_2-processed-gene-14.121-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-14.121&CDS=1-390, genemark-scaffold_2-processed-gene-9.77-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.77&CDS=1-390	YJL190C
OG0000330	genemark-scaffold_2-processed-gene-9.97-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.97&CDS=1-1266	YDL127W, YDL179W
OG0000331	maker-scaffold_2-snap-gene-10.0-mRNA-1_1&gene=maker-scaffold_2-snap-gene-10.0&CDS=1-3153	YDR409W, YOR156C
OG0000332	genemark-scaffold_2-processed-gene-10.44-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.44&CDS=1-828	YLR287C-A, YOR182C
OG0000333	genemark-scaffold_2-processed-gene-11.8-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.8&CDS=1-408	YDR447C, YML024W
OG0000334	snap_masked-scaffold_2-processed-gene-11.120-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.120&CDS=1-2526	YDR385W, YOR133W
OG0000335	genemark-scaffold_2-processed-gene-12.102-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.102&CDS=1-765, genemark-scaffold_8-processed-gene-7.37-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.37&CDS=1-720	YEL072W
OG0000336	genemark-scaffold_2-processed-gene-12.120-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.120&CDS=1-918	YBR104W, YPR058W
OG0000337	genemark-scaffold_2-processed-gene-13.8-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.8&CDS=1-2952	YML100W, YMR261C
OG0000338	genemark-scaffold_2-processed-gene-13.28-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.28&CDS=1-1839	YJR054W, YML047C
OG0000339	augustus_masked-scaffold_2-processed-gene-14.21-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.21&CDS=1-564	YCR031C, YJL191W
OG0000340	genemark-scaffold_2-processed-gene-16.175-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.175&CDS=1-1044	YMR303C, YOL086C
OG0000341	genemark-scaffold_2-processed-gene-16.199-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.199&CDS=1-747	YDR066C, YER139C
OG0000342	genemark-scaffold_2-processed-gene-16.204-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.204&CDS=1-1161	YDL022W, YOL059W
OG0000343	genemark-scaffold_20-processed-gene-0.17-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.17&CDS=1-3000	YDR379W, YOR127W
OG0000344	genemark-scaffold_20-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.18&CDS=1-1458	YCL040W, YDR516C
OG0000345	genemark-scaffold_20-processed-gene-0.40-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.40&CDS=1-651	YGR038W, YLR350W
OG0000346	genemark-scaffold_20-processed-gene-0.42-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.42&CDS=1-1326	YFL048C, YLR080W
OG0000347	genemark-scaffold_20-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.28&CDS=1-1182	YCR094W, YNR048W
OG0000348	genemark-scaffold_3-processed-gene-0.73-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.73&CDS=1-1092	YBR031W, YDR012W
OG0000349	maker-scaffold_3-snap-gene-1.100-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.100&CDS=1-4818, maker-scaffold_3-snap-gene-1.101-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.101&CDS=1-4368	YOR049C
OG0000350	genemark-scaffold_3-processed-gene-1.83-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.83&CDS=1-2559, genemark-scaffold_3-processed-gene-2.104-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.104&CDS=1-3039	YJL108C
OG0000351	genemark-scaffold_3-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.85&CDS=1-1233	YDR312W, YHR066W
OG0000352	snap_masked-scaffold_3-processed-gene-2.27-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.27&CDS=1-1839	YJL083W, YKR019C
OG0000353	genemark-scaffold_3-processed-gene-2.86-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.86&CDS=1-2499	YJL082W, YKR018C
OG0000354	augustus_masked-scaffold_3-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.55&CDS=1-3048	YIL156W, YKR098C
OG0000355	genemark-scaffold_3-processed-gene-2.98-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.98&CDS=1-1977	YDR351W, YHR103W
OG0000356	genemark-scaffold_3-processed-gene-3.86-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.86&CDS=1-495	YDR418W, YEL054C
OG0000357	genemark-scaffold_3-processed-gene-3.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.91&CDS=1-2988	YKR089C, YOR081C
OG0000358	genemark-scaffold_3-processed-gene-3.92-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.92&CDS=1-1608	YDR348C, YHR097C
OG0000359	genemark-scaffold_3-processed-gene-4.94-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.94&CDS=1-1032	YKR091W, YOR083W
OG0000360	augustus_masked-scaffold_3-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.12&CDS=1-765	YDR272W, YOR040W
OG0000361	genemark-scaffold_3-processed-gene-10.112-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.112&CDS=1-1143, genemark-scaffold_3-processed-gene-4.96-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.96&CDS=1-1182	YOR084W
OG0000362	genemark-scaffold_3-processed-gene-5.81-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.81&CDS=1-1260	YDR277C, YOR047C
OG0000363	genemark-scaffold_3-processed-gene-5.82-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.82&CDS=1-900	YIR013C, YLR013W
OG0000364	genemark-scaffold_3-processed-gene-6.29-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.29&CDS=1-1683	YKL127W, YMR105C
OG0000365	genemark-scaffold_3-processed-gene-6.35-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.35&CDS=1-747	YKR075C, YOR062C
OG0000366	genemark-scaffold_3-processed-gene-7.2-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.2&CDS=1-1200	YHL003C, YKL008C
OG0000367	genemark-scaffold_3-processed-gene-7.27-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.27&CDS=1-1602	YHL017W, YKL039W
OG0000368	genemark-scaffold_3-processed-gene-7.39-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.39&CDS=1-2430	YKL121W, YMR102C
OG0000369	augustus_masked-scaffold_3-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.130&CDS=1-1344	YLL012W, YLR020C
OG0000370	genemark-scaffold_3-processed-gene-10.106-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.106&CDS=1-1518	YDL161W, YLR206W
OG0000371	genemark-scaffold_3-processed-gene-11.131-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.131&CDS=1-690, genemark-scaffold_6-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.21&CDS=1-483	YIR001C
OG0000372	maker-scaffold_3-snap-gene-11.142-mRNA-1_1&gene=maker-scaffold_3-snap-gene-11.142&CDS=1-6141	YAR042W, YDL019C
OG0000373	genemark-scaffold_4-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.30&CDS=1-1851	YDR107C, YLR083C
OG0000374	genemark-scaffold_4-processed-gene-2.22-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.22&CDS=1-774	YGR248W, YHR163W
OG0000375	augustus_masked-scaffold_4-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.91&CDS=1-363	YJR094W-A, YPR043W
OG0000376	genemark-scaffold_4-processed-gene-3.109-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.109&CDS=1-981, genemark-scaffold_4-processed-gene-8.62-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.62&CDS=1-987	YLL043W
OG0000377	genemark-scaffold_4-processed-gene-3.121-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.121&CDS=1-2691	YJR091C, YPR042C
OG0000378	genemark-scaffold_4-processed-gene-4.91-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.91&CDS=1-2253	YDL109C, YGL144C
OG0000379	genemark-scaffold_4-processed-gene-5.120-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.120&CDS=1-507	YOR226C, YPL135W
OG0000380	snap_masked-scaffold_4-processed-gene-5.57-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-5.57&CDS=1-3837	YOR227W, YPL137C
OG0000381	genemark-scaffold_4-processed-gene-6.83-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.83&CDS=1-1527, genemark-scaffold_6-processed-gene-2.24-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.24&CDS=1-1512	YHR137W
OG0000382	maker-scaffold_4-snap-gene-6.2-mRNA-1_1&gene=maker-scaffold_4-snap-gene-6.2&CDS=1-1278, maker-scaffold_4-snap-gene-6.3-mRNA-1_1&gene=maker-scaffold_4-snap-gene-6.3&CDS=1-849	YGR189C
OG0000383	genemark-scaffold_4-processed-gene-7.15-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.15&CDS=1-2310	YGR241C, YHR161C
OG0000384	maker-scaffold_4-snap-gene-7.0-mRNA-1_1&gene=maker-scaffold_4-snap-gene-7.0&CDS=1-1332	YMR222C, YOR280C
OG0000385	maker-scaffold_4-snap-gene-7.2-mRNA-1_1&gene=maker-scaffold_4-snap-gene-7.2&CDS=1-1581	YER037W, YGL224C
OG0000386	genemark-scaffold_4-processed-gene-8.13-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.13&CDS=1-462	YIL111W, YNL052W
OG0000387	genemark-scaffold_4-processed-gene-8.58-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.58&CDS=1-1164	YGR283C, YMR310C
OG0000388	augustus_masked-scaffold_47-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_47-processed-gene-0.2&CDS=1-984, maker-scaffold_8-snap-gene-4.46-mRNA-1_1&gene=maker-scaffold_8-snap-gene-4.46&CDS=1-1773	YJL145W
OG0000389	genemark-scaffold_5-processed-gene-0.72-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.72&CDS=1-816	YDR185C, YLR168C
OG0000390	genemark-scaffold_5-processed-gene-0.107-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.107&CDS=1-2427	YDR264C, YOR034C
OG0000391	genemark-scaffold_5-processed-gene-1.87-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.87&CDS=1-1425	YDR463W, YHR006W
OG0000392	genemark-scaffold_5-processed-gene-1.101-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.101&CDS=1-1914	YDR263C, YOR033C
OG0000393	genemark-scaffold_5-processed-gene-2.7-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.7&CDS=1-1842	YDR200C, YLR238W
OG0000394	genemark-scaffold_5-processed-gene-2.23-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.23&CDS=1-3513	YNL087W, YOR086C
OG0000395	genemark-scaffold_5-processed-gene-2.28-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.28&CDS=1-1356	YDR132C, YLR108C
OG0000396	genemark-scaffold_5-processed-gene-3.101-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.101&CDS=1-264	YDR500C, YLR185W
OG0000397	genemark-scaffold_5-processed-gene-3.102-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.102&CDS=1-1851	YDR501W, YLR183C
OG0000398	genemark-scaffold_5-processed-gene-3.89-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.89&CDS=1-2157	YDR505C, YLR177W
OG0000399	genemark-scaffold_5-processed-gene-3.107-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.107&CDS=1-981, genemark-scaffold_6-processed-gene-8.48-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.48&CDS=1-1086	YIL035C
