	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
OG0000299	augustus_masked-ipo_s184-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-0.119&CDS=1-1992, snap_masked-ipo_s421-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s421-processed-gene-0.8&CDS=1-2184	YFL021W
OG0000300	augustus_masked-ipo_s184-processed-gene-2.203-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-2.203&CDS=1-5286	YOR233W, YPL141C
OG0000301	snap_masked-ipo_s184-processed-gene-2.28-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.28&CDS=1-1911	YDR107C, YLR083C
OG0000302	snap_masked-ipo_s184-processed-gene-2.71-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.71&CDS=1-2529	YBR033W, YKL038W
OG0000303	snap_masked-ipo_s184-processed-gene-2.30-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.30&CDS=1-1260	YDR132C, YLR108C
OG0000304	augustus_masked-ipo_s184-processed-gene-2.266-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-2.266&CDS=1-567	YBL027W, YBR084C-A
OG0000305	snap_masked-ipo_s184-processed-gene-2.48-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.48&CDS=1-3384, snap_masked-ipo_s299-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s299-processed-gene-0.2&CDS=1-231	YCR033W
OG0000306	snap_masked-ipo_s184-processed-gene-2.52-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-2.52&CDS=1-7608	YBR140C, YOL081W
OG0000307	snap_masked-ipo_s185-processed-gene-0.59-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.59&CDS=1-321, snap_masked-ipo_s68-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.25&CDS=1-2856	YDL117W
OG0000308	snap_masked-ipo_s185-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.67&CDS=1-2319	YGL139W, YPL221W
OG0000309	snap_masked-ipo_s185-processed-gene-0.84-mRNA-1_1&gene=snap_masked-ipo_s185-processed-gene-0.84&CDS=1-1554, snap_masked-ipo_s213-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s213-processed-gene-0.4&CDS=1-201	YGL138C
OG0000310	snap_masked-ipo_s190-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ipo_s190-processed-gene-0.67&CDS=1-2289	YIL131C, YNL068C
OG0000311	augustus_masked-ipo_s462-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-ipo_s462-processed-gene-0.99&CDS=1-1710, snap_masked-ipo_s193-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s193-processed-gene-0.1&CDS=1-468	YJL127C-B
OG0000312	augustus_masked-ipo_s193-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ipo_s193-processed-gene-0.6&CDS=1-315, snap_masked-ipo_s194-processed-gene-0.133-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.133&CDS=1-1959	YFL027C
OG0000313	snap_masked-ipo_s194-processed-gene-0.99-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.99&CDS=1-3192	YBL106C, YPR032W
OG0000314	snap_masked-ipo_s194-processed-gene-0.108-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.108&CDS=1-2940, snap_masked-ipo_s4-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s4-processed-gene-0.13&CDS=1-213	YMR125W
OG0000315	snap_masked-ipo_s194-processed-gene-0.145-mRNA-1_1&gene=snap_masked-ipo_s194-processed-gene-0.145&CDS=1-1632	YDL042C, YOL068C
OG0000316	snap_masked-ipo_s198-processed-gene-0.148-mRNA-1_1&gene=snap_masked-ipo_s198-processed-gene-0.148&CDS=1-1839	YDL229W, YNL209W
OG0000317	genemark-ipo_s198-processed-gene-0.115-mRNA-1_1&gene=genemark-ipo_s198-processed-gene-0.115&CDS=1-489	YDL061C, YLR388W
OG0000318	snap_masked-ipo_s202-processed-gene-0.147-mRNA-1_1&gene=snap_masked-ipo_s202-processed-gene-0.147&CDS=1-1884	YER059W, YIL050W
OG0000319	snap_masked-ipo_s202-processed-gene-0.187-mRNA-1_1&gene=snap_masked-ipo_s202-processed-gene-0.187&CDS=1-1452	YGR177C, YOR377W
OG0000320	snap_masked-ipo_s202-processed-gene-0.161-mRNA-1_1&gene=snap_masked-ipo_s202-processed-gene-0.161&CDS=1-1263	YOR237W, YPL145C
OG0000321	snap_masked-ipo_s202-processed-gene-0.162-mRNA-1_1&gene=snap_masked-ipo_s202-processed-gene-0.162&CDS=1-297	YOR234C, YPL143W
OG0000322	snap_masked-ipo_s202-processed-gene-0.165-mRNA-1_1&gene=snap_masked-ipo_s202-processed-gene-0.165&CDS=1-1458	YOR231W, YPL140C
OG0000323	snap_masked-ipo_s209-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s209-processed-gene-0.12&CDS=1-1170, snap_masked-ipo_s86-processed-gene-1.120-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-1.120&CDS=1-1113	YEL046C
OG0000324	augustus_masked-ipo_s210-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ipo_s210-processed-gene-0.14&CDS=1-414	YMR230W, YOR293W
OG0000325	augustus_masked-ipo_s213-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ipo_s213-processed-gene-0.15&CDS=1-492, augustus_masked-ipo_s36-processed-gene-1.219-mRNA-1_1&gene=augustus_masked-ipo_s36-processed-gene-1.219&CDS=1-2871	YGR187C
OG0000326	snap_masked-ipo_s215-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s215-processed-gene-0.5&CDS=1-624, snap_masked-ipo_s221-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s221-processed-gene-0.2&CDS=1-624	YLR326W
OG0000327	snap_masked-ipo_s215-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s215-processed-gene-0.6&CDS=1-624, snap_masked-ipo_s221-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s221-processed-gene-0.3&CDS=1-645	YLR323C
OG0000328	snap_masked-ipo_s216-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s216-processed-gene-0.17&CDS=1-2589	YKL121W, YMR102C
OG0000329	snap_masked-ipo_s216-processed-gene-0.60-mRNA-1_1&gene=snap_masked-ipo_s216-processed-gene-0.60&CDS=1-864, snap_masked-ipo_s386-processed-gene-0.69-mRNA-1_1&gene=snap_masked-ipo_s386-processed-gene-0.69&CDS=1-864	YNL202W
OG0000330	augustus_masked-ipo_s348-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ipo_s348-processed-gene-0.0&CDS=1-4194, snap_masked-ipo_s217-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ipo_s217-processed-gene-0.47&CDS=1-2121	YGL205W
OG0000331	augustus_masked-ipo_s219-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-ipo_s219-processed-gene-0.24&CDS=1-1533	YBR020W, YDR009W
OG0000332	augustus_masked-ipo_s223-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ipo_s223-processed-gene-0.23&CDS=1-669	YKR075C, YOR062C
OG0000333	augustus_masked-ipo_s32-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ipo_s32-processed-gene-0.26&CDS=1-480, snap_masked-ipo_s223-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s223-processed-gene-0.16&CDS=1-1932	YER005W
OG0000334	snap_masked-ipo_s231-processed-gene-0.171-mRNA-1_1&gene=snap_masked-ipo_s231-processed-gene-0.171&CDS=1-3534	YNL087W, YOR086C
OG0000335	snap_masked-ipo_s231-processed-gene-0.178-mRNA-1_1&gene=snap_masked-ipo_s231-processed-gene-0.178&CDS=1-2838, snap_masked-ipo_s445-processed-gene-0.51-mRNA-1_1&gene=snap_masked-ipo_s445-processed-gene-0.51&CDS=1-2964	YGR204W
OG0000336	maker-ipo_s231-augustus-gene-0.3-mRNA-1_1&gene=maker-ipo_s231-augustus-gene-0.3&CDS=1-1617	YGR248W, YHR163W
OG0000337	snap_masked-ipo_s231-processed-gene-0.222-mRNA-1_1&gene=snap_masked-ipo_s231-processed-gene-0.222&CDS=1-390	YBL003C, YDR225W
OG0000338	snap_masked-ipo_s231-processed-gene-0.188-mRNA-1_1&gene=snap_masked-ipo_s231-processed-gene-0.188&CDS=1-390	YBL002W, YDR224C
OG0000339	snap_masked-ipo_s231-processed-gene-0.196-mRNA-1_1&gene=snap_masked-ipo_s231-processed-gene-0.196&CDS=1-891	YHR198C, YHR199C
OG0000340	augustus_masked-ipo_s238-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-ipo_s238-processed-gene-0.21&CDS=1-252, augustus_masked-ipo_s463-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-ipo_s463-processed-gene-0.70&CDS=1-486	YML030W
OG0000341	snap_masked-ipo_s240-processed-gene-0.48-mRNA-1_1&gene=snap_masked-ipo_s240-processed-gene-0.48&CDS=1-1590	YEL041W, YJR049C
OG0000342	augustus_masked-ipo_s87-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-ipo_s87-processed-gene-0.42&CDS=1-2208, snap_masked-ipo_s240-processed-gene-1.1-mRNA-1_1&gene=snap_masked-ipo_s240-processed-gene-1.1&CDS=1-1434	YDL170W
OG0000343	snap_masked-ipo_s240-processed-gene-1.25-mRNA-1_1&gene=snap_masked-ipo_s240-processed-gene-1.25&CDS=1-222, snap_masked-ipo_s36-processed-gene-1.15-mRNA-1_1&gene=snap_masked-ipo_s36-processed-gene-1.15&CDS=1-1452	YNL206C
OG0000344	snap_masked-ipo_s240-processed-gene-1.29-mRNA-1_1&gene=snap_masked-ipo_s240-processed-gene-1.29&CDS=1-366	YGR034W, YLR344W
OG0000345	snap_masked-ipo_s242-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s242-processed-gene-0.3&CDS=1-3702	YDR122W, YLR096W
OG0000346	snap_masked-ipo_s25-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s25-processed-gene-0.8&CDS=1-4752	YDR093W, YER166W
OG0000347	genemark-ipo_s291-processed-gene-0.4-mRNA-1_1&gene=genemark-ipo_s291-processed-gene-0.4&CDS=1-3144, snap_masked-ipo_s25-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ipo_s25-processed-gene-0.24&CDS=1-255	YCL074W
OG0000348	snap_masked-ipo_s250-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s250-processed-gene-0.12&CDS=1-1749	YDR497C, YOL103W
OG0000349	snap_masked-ipo_s253-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s253-processed-gene-0.5&CDS=1-516	YGR085C, YPR102C
OG0000350	snap_masked-ipo_s255-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s255-processed-gene-0.8&CDS=1-516	YLR456W, YPR172W
OG0000351	snap_masked-ipo_s260-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s260-processed-gene-0.8&CDS=1-1053	YPR013C, YPR015C
OG0000352	snap_masked-ipo_s263-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s263-processed-gene-0.5&CDS=1-996	YCR073W-A, YNR034W
OG0000353	augustus_masked-ipo_s263-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-ipo_s263-processed-gene-0.50&CDS=1-1779	YEL039C, YJR048W
OG0000354	maker-ipo_s287-snap-gene-0.30-mRNA-1_1&gene=maker-ipo_s287-snap-gene-0.30&CDS=1-846, snap_masked-ipo_s267-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s267-processed-gene-0.0&CDS=1-2016	YHR124W
OG0000355	snap_masked-ipo_s268-processed-gene-0.34-mRNA-1_1&gene=snap_masked-ipo_s268-processed-gene-0.34&CDS=1-819	YDL049C, YJL174W
OG0000356	snap_masked-ipo_s268-processed-gene-0.42-mRNA-1_1&gene=snap_masked-ipo_s268-processed-gene-0.42&CDS=1-312	YGR027C, YLR333C
OG0000357	genemark-ipo_s268-processed-gene-0.17-mRNA-1_1&gene=genemark-ipo_s268-processed-gene-0.17&CDS=1-1920	YHR131C, YNL144C
OG0000358	snap_masked-ipo_s269-processed-gene-0.71-mRNA-1_1&gene=snap_masked-ipo_s269-processed-gene-0.71&CDS=1-879	YMR183C, YPL232W
OG0000359	snap_masked-ipo_s269-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ipo_s269-processed-gene-0.67&CDS=1-909	YBR105C, YGR066C
OG0000360	snap_masked-ipo_s27-processed-gene-0.44-mRNA-1_1&gene=snap_masked-ipo_s27-processed-gene-0.44&CDS=1-573	YGL147C, YNL067W
OG0000361	maker-ipo_s273-snap-gene-0.24-mRNA-1_1&gene=maker-ipo_s273-snap-gene-0.24&CDS=1-2646	YDR458C, YML034W
OG0000362	snap_masked-ipo_s28-processed-gene-0.66-mRNA-1_1&gene=snap_masked-ipo_s28-processed-gene-0.66&CDS=1-708	YBR181C, YPL090C
OG0000363	genemark-ipo_s362-processed-gene-0.6-mRNA-1_1&gene=genemark-ipo_s362-processed-gene-0.6&CDS=1-660, snap_masked-ipo_s28-processed-gene-0.51-mRNA-1_1&gene=snap_masked-ipo_s28-processed-gene-0.51&CDS=1-6783	YPL085W
OG0000364	snap_masked-ipo_s281-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_s281-processed-gene-0.11&CDS=1-462	YEL034W, YJR047C
OG0000365	snap_masked-ipo_s282-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ipo_s282-processed-gene-0.25&CDS=1-1626	YHL017W, YKL039W
OG0000366	augustus_masked-ipo_s295-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ipo_s295-processed-gene-0.22&CDS=1-348	YCL035C, YDR513W
OG0000367	augustus_masked-ipo_s295-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-ipo_s295-processed-gene-0.35&CDS=1-480	YBR191W, YPL079W
OG0000368	augustus_masked-ipo_s297-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ipo_s297-processed-gene-0.4&CDS=1-396, augustus_masked-ipo_s83-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-ipo_s83-processed-gene-0.143&CDS=1-1347	YJL049W
OG0000369	maker-ipo_s31-augustus-gene-0.0-mRNA-1_1&gene=maker-ipo_s31-augustus-gene-0.0&CDS=1-1041	YMR194W, YPL249C-A
OG0000370	snap_masked-ipo_s311-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s311-processed-gene-0.16&CDS=1-1260	YHR001W, YKR003W
OG0000371	snap_masked-ipo_s311-processed-gene-0.54-mRNA-1_1&gene=snap_masked-ipo_s311-processed-gene-0.54&CDS=1-2079, snap_masked-ipo_s378-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s378-processed-gene-0.16&CDS=1-2424	YBL011W
OG0000372	snap_masked-ipo_s32-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s32-processed-gene-0.6&CDS=1-342, snap_masked-ipo_s46-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s46-processed-gene-0.17&CDS=1-1542	YJR152W
OG0000373	augustus_masked-ipo_s32-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ipo_s32-processed-gene-0.25&CDS=1-1089, augustus_masked-ipo_s360-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ipo_s360-processed-gene-0.13&CDS=1-1791	YML114C
OG0000374	genemark-ipo_s320-processed-gene-0.3-mRNA-1_1&gene=genemark-ipo_s320-processed-gene-0.3&CDS=1-165, snap_masked-ipo_s63-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ipo_s63-processed-gene-0.36&CDS=1-2907	YBR289W
OG0000375	maker-ipo_s326-snap-gene-0.0-mRNA-1_1&gene=maker-ipo_s326-snap-gene-0.0&CDS=1-1380	YGR188C, YJL013C
OG0000376	snap_masked-ipo_s328-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.3&CDS=1-1125	YMR253C, YPL264C
OG0000377	snap_masked-ipo_s328-processed-gene-0.50-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.50&CDS=1-2802	YKR089C, YOR081C
OG0000378	snap_masked-ipo_s328-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.13&CDS=1-3300	YIR033W, YKL020C
OG0000379	snap_masked-ipo_s328-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.21&CDS=1-1425	YMR182C, YPL230W
OG0000380	snap_masked-ipo_s328-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s328-processed-gene-0.26&CDS=1-486	YDR178W, YLR164W
OG0000381	snap_masked-ipo_s33-processed-gene-0.77-mRNA-1_1&gene=snap_masked-ipo_s33-processed-gene-0.77&CDS=1-3930	YLL016W, YLR310C
OG0000382	snap_masked-ipo_s33-processed-gene-0.79-mRNA-1_1&gene=snap_masked-ipo_s33-processed-gene-0.79&CDS=1-4536	YEL022W, YJR031C
OG0000383	snap_masked-ipo_s33-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ipo_s33-processed-gene-0.68&CDS=1-1806	YDL224C, YNL197C
OG0000384	snap_masked-ipo_s331-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ipo_s331-processed-gene-0.38&CDS=1-1383	YGR108W, YPR119W
OG0000385	snap_masked-ipo_s339-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s339-processed-gene-0.4&CDS=1-561	YNL096C, YOR096W
OG0000386	snap_masked-ipo_s344-processed-gene-0.41-mRNA-1_1&gene=snap_masked-ipo_s344-processed-gene-0.41&CDS=1-4044	YCL024W, YDR507C
OG0000387	snap_masked-ipo_s344-processed-gene-0.55-mRNA-1_1&gene=snap_masked-ipo_s344-processed-gene-0.55&CDS=1-255	YDR500C, YLR185W
OG0000388	snap_masked-ipo_s344-processed-gene-0.46-mRNA-1_1&gene=snap_masked-ipo_s344-processed-gene-0.46&CDS=1-1593	YDR501W, YLR183C
OG0000389	snap_masked-ipo_s344-processed-gene-0.50-mRNA-1_1&gene=snap_masked-ipo_s344-processed-gene-0.50&CDS=1-1980	YDR505C, YLR177W
OG0000390	snap_masked-ipo_s346-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s346-processed-gene-0.3&CDS=1-1659	YKL127W, YMR105C
OG0000391	maker-ipo_s346-augustus-gene-0.20-mRNA-1_1&gene=maker-ipo_s346-augustus-gene-0.20&CDS=1-1854, snap_masked-ipo_s97-processed-gene-1.63-mRNA-1_1&gene=snap_masked-ipo_s97-processed-gene-1.63&CDS=1-453	YAR014C
OG0000392	maker-ipo_s348-augustus-gene-0.60-mRNA-1_1&gene=maker-ipo_s348-augustus-gene-0.60&CDS=1-1251	YDR348C, YHR097C
OG0000393	snap_masked-ipo_s348-processed-gene-0.76-mRNA-1_1&gene=snap_masked-ipo_s348-processed-gene-0.76&CDS=1-3678	YML109W, YMR273C
OG0000394	snap_masked-ipo_s348-processed-gene-0.78-mRNA-1_1&gene=snap_masked-ipo_s348-processed-gene-0.78&CDS=1-654	YML106W, YMR271C
OG0000395	snap_masked-ipo_s35-processed-gene-0.113-mRNA-1_1&gene=snap_masked-ipo_s35-processed-gene-0.113&CDS=1-1707, snap_masked-ipo_s73-processed-gene-3.3-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-3.3&CDS=1-1689	YNR055C
OG0000396	snap_masked-ipo_s35-processed-gene-0.116-mRNA-1_1&gene=snap_masked-ipo_s35-processed-gene-0.116&CDS=1-978	YDL175C, YIL079C
OG0000397	augustus_masked-ipo_s35-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-ipo_s35-processed-gene-0.101&CDS=1-915	YDR368W, YOR120W
OG0000398	snap_masked-ipo_s35-processed-gene-0.167-mRNA-1_1&gene=snap_masked-ipo_s35-processed-gene-0.167&CDS=1-459	YGL031C, YGR148C
OG0000399	maker-ipo_s357-augustus-gene-0.14-mRNA-1_1&gene=maker-ipo_s357-augustus-gene-0.14&CDS=1-390	YHR141C, YNL162W
OG0000400	snap_masked-ipo_s36-processed-gene-1.41-mRNA-1_1&gene=snap_masked-ipo_s36-processed-gene-1.41&CDS=1-2472, snap_masked-ipo_s88-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s88-processed-gene-0.17&CDS=1-393	YBL052C
OG0000401	snap_masked-ipo_s36-processed-gene-1.42-mRNA-1_1&gene=snap_masked-ipo_s36-processed-gene-1.42&CDS=1-1485	YBL056W, YER089C
OG0000402	snap_masked-ipo_s36-processed-gene-1.51-mRNA-1_1&gene=snap_masked-ipo_s36-processed-gene-1.51&CDS=1-1002, snap_masked-ipo_s98-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s98-processed-gene-0.2&CDS=1-369	YGL212W
OG0000403	snap_masked-ipo_s36-processed-gene-1.18-mRNA-1_1&gene=snap_masked-ipo_s36-processed-gene-1.18&CDS=1-1662	YHR115C, YNL116W
OG0000404	snap_masked-ipo_s36-processed-gene-1.19-mRNA-1_1&gene=snap_masked-ipo_s36-processed-gene-1.19&CDS=1-456	YEL066W, YPR193C
OG0000405	snap_masked-ipo_s364-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s364-processed-gene-0.10&CDS=1-315	YGR209C, YLR043C
OG0000406	maker-ipo_s367-augustus-gene-0.117-mRNA-1_1&gene=maker-ipo_s367-augustus-gene-0.117&CDS=1-2172	YGR141W, YPR157W
OG0000407	snap_masked-ipo_s367-processed-gene-0.147-mRNA-1_1&gene=snap_masked-ipo_s367-processed-gene-0.147&CDS=1-3075	YLR450W, YML075C
OG0000408	snap_masked-ipo_s367-processed-gene-0.148-mRNA-1_1&gene=snap_masked-ipo_s367-processed-gene-0.148&CDS=1-1767	YJR130C, YML082W
OG0000409	snap_masked-ipo_s368-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s368-processed-gene-0.1&CDS=1-2922	YJL084C, YKR021W
OG0000410	snap_masked-ipo_s369-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s369-processed-gene-0.8&CDS=1-1155	YDR312W, YHR066W
OG0000411	augustus_masked-ipo_s37-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ipo_s37-processed-gene-0.16&CDS=1-720, snap_masked-ipo_s73-processed-gene-0.110-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-0.110&CDS=1-729	YIR038C
OG0000412	augustus_masked-ipo_s371-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ipo_s371-processed-gene-0.23&CDS=1-723	YGL076C, YPL198W
OG0000413	snap_masked-ipo_s378-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ipo_s378-processed-gene-0.18&CDS=1-2115	YKL050C, YMR031C
OG0000414	snap_masked-ipo_s384-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ipo_s384-processed-gene-0.30&CDS=1-1374, snap_masked-ipo_s422-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s422-processed-gene-0.12&CDS=1-1374	YMR020W
OG0000415	snap_masked-ipo_s386-processed-gene-0.57-mRNA-1_1&gene=snap_masked-ipo_s386-processed-gene-0.57&CDS=1-1617, snap_masked-ipo_s97-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ipo_s97-processed-gene-0.18&CDS=1-1584	YMR221C
OG0000416	snap_masked-ipo_s386-processed-gene-0.80-mRNA-1_1&gene=snap_masked-ipo_s386-processed-gene-0.80&CDS=1-1503	YMR169C, YMR170C
OG0000417	snap_masked-ipo_s390-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ipo_s390-processed-gene-0.30&CDS=1-1833	YNL299W, YOL115W
OG0000418	snap_masked-ipo_s393-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s393-processed-gene-0.4&CDS=1-1272	YMR177W, YPL224C
OG0000419	snap_masked-ipo_s417-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s417-processed-gene-0.8&CDS=1-1506	YDL161W, YLR206W
OG0000420	snap_masked-ipo_s420-processed-gene-0.89-mRNA-1_1&gene=snap_masked-ipo_s420-processed-gene-0.89&CDS=1-1170	YMR243C, YOR316C
OG0000421	snap_masked-ipo_s420-processed-gene-0.116-mRNA-1_1&gene=snap_masked-ipo_s420-processed-gene-0.116&CDS=1-3297	YLR031W, YMR124W
OG0000422	snap_masked-ipo_s420-processed-gene-0.119-mRNA-1_1&gene=snap_masked-ipo_s420-processed-gene-0.119&CDS=1-2157	YFL050C, YOL130W
OG0000423	snap_masked-ipo_s422-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s422-processed-gene-0.6&CDS=1-267	YBR089C-A, YPR052C
OG0000424	snap_masked-ipo_s423-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ipo_s423-processed-gene-0.22&CDS=1-1110, snap_masked-ipo_s73-processed-gene-2.9-mRNA-1_1&gene=snap_masked-ipo_s73-processed-gene-2.9&CDS=1-1134	YDL022W
OG0000425	snap_masked-ipo_s426-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s426-processed-gene-0.6&CDS=1-2538	YDR351W, YHR103W
OG0000426	snap_masked-ipo_s43-processed-gene-0.64-mRNA-1_1&gene=snap_masked-ipo_s43-processed-gene-0.64&CDS=1-4119	YCR073C, YNR031C
OG0000427	maker-ipo_s430-snap-gene-0.0-mRNA-1_1&gene=maker-ipo_s430-snap-gene-0.0&CDS=1-3474	YGR143W, YPR159W
OG0000428	snap_masked-ipo_s430-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_s430-processed-gene-0.19&CDS=1-816	YDL127W, YDL179W
OG0000429	snap_masked-ipo_s430-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_s430-processed-gene-0.11&CDS=1-2385	YIL105C, YNL047C
OG0000430	snap_masked-ipo_s430-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s430-processed-gene-0.29&CDS=1-411	YBL087C, YER117W
OG0000431	snap_masked-ipo_s430-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ipo_s430-processed-gene-0.30&CDS=1-1185	YNL283C, YOL105C
OG0000432	snap_masked-ipo_s431-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s431-processed-gene-0.0&CDS=1-1221	YBR078W, YDR055W
OG0000433	snap_masked-ipo_s435-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s435-processed-gene-0.7&CDS=1-246	YHR021C, YKL156W
OG0000434	snap_masked-ipo_s439-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s439-processed-gene-0.2&CDS=1-288	YDL075W, YLR406C
OG0000435	augustus_masked-ipo_s441-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-ipo_s441-processed-gene-0.70&CDS=1-756	YIR035C, YIR036C
OG0000436	maker-ipo_s441-snap-gene-0.29-mRNA-1_1&gene=maker-ipo_s441-snap-gene-0.29&CDS=1-426	YNL302C, YOL121C
OG0000437	maker-ipo_s441-augustus-gene-0.33-mRNA-1_1&gene=maker-ipo_s441-augustus-gene-0.33&CDS=1-558	YNL301C, YOL120C
OG0000438	snap_masked-ipo_s443-processed-gene-0.71-mRNA-1_1&gene=snap_masked-ipo_s443-processed-gene-0.71&CDS=1-1647	YDL085W, YMR145C
