	Saccharomyces_cerevisiae	yHMPu5000035242_Zygoascus_ofunaensis
OG0000251	YEL006W, YIL006W	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-3.62-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-3.62&CDS=1-1080
OG0000252	YEL022W, YJR031C	genemark-NODE_28_length_22877_cov_24.2935_ID_5386-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_28_length_22877_cov_24.2935_ID_5386-processed-gene-0.18&CDS=1-4458
OG0000253	YEL039C, YJR048W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-8.46-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-8.46&CDS=1-324
OG0000254	YEL040W	augustus_masked-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-4.22&CDS=1-1446, genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.57-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.57&CDS=1-1428
OG0000255	YEL041W, YJR049C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-12.80-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-12.80&CDS=1-1389
OG0000256	YEL056W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.9&CDS=1-1281, maker-NODE_1_length_1859704_cov_17.1121_ID_3507-snap-gene-8.46-mRNA-1_1&gene=maker-NODE_1_length_1859704_cov_17.1121_ID_3507-snap-gene-8.46&CDS=1-1197
OG0000257	YER027C, YGL208W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.71&CDS=1-1419
OG0000258	YER029C	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.121-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.121&CDS=1-294, genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.65-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.65&CDS=1-375
OG0000259	YER031C, YGL210W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.66-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.66&CDS=1-630
OG0000260	YER045C, YIL036W	snap_masked-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.39&CDS=1-1926
OG0000261	YER054C, YIL045W	snap_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.128-mRNA-1_1&gene=snap_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.128&CDS=1-3780
OG0000262	YER056C-A, YIL052C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.59-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.59&CDS=1-387
OG0000263	YER059W, YIL050W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.79-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.79&CDS=1-2358
OG0000264	YER062C, YIL053W	maker-NODE_13_length_249367_cov_20.4516_ID_4175-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_13_length_249367_cov_20.4516_ID_4175-snap-gene-0.0&CDS=1-1323
OG0000265	YER064C, YIL056W	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.31-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.31&CDS=1-1680
OG0000266	YER066W, YFL009W	augustus_masked-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.41&CDS=1-2628
OG0000267	YER074W, YIL069C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.8-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.8&CDS=1-396
OG0000268	YER124C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.12-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.12&CDS=1-1467, snap_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.128-mRNA-1_1&gene=snap_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.128&CDS=1-306
OG0000269	YER131W, YGL189C	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.106-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.106&CDS=1-360
OG0000270	YER166W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.119-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.119&CDS=1-5253, genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-1.27-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-1.27&CDS=1-4476
OG0000271	YFL004W, YPL019C	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-1.101-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-1.101&CDS=1-2244
OG0000272	YFL017C	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-1.125-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-1.125&CDS=1-561, genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.127-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.127&CDS=1-492
OG0000273	YFL034C-A, YLR061W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-4.162-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-4.162&CDS=1-360
OG0000274	YFL037W	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-0.96&CDS=1-1365, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.106-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.106&CDS=1-1356
OG0000275	YFL050C, YOL130W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-7.39-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-7.39&CDS=1-2130
OG0000276	YFR031C-A, YIL018W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.76-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.76&CDS=1-762
OG0000277	YGL031C, YGR148C	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.129-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.129&CDS=1-456
OG0000278	YGL049C, YGR162W	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-3.132-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-3.132&CDS=1-3129
OG0000279	YGL066W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-8.85-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-8.85&CDS=1-1206, snap_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.134-mRNA-1_1&gene=snap_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.134&CDS=1-1170
OG0000280	YGL082W, YPL191C	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-4.125-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-4.125&CDS=1-1200
OG0000281	YGL133W, YPL216W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.54-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.54&CDS=1-3573
OG0000282	YGL135W, YPL220W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.55-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.55&CDS=1-648
OG0000283	YGL147C, YNL067W	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-0.109&CDS=1-567
OG0000284	YGL179C	augustus_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.134&CDS=1-3384, genemark-NODE_348_length_387_cov_0.830827_ID_11975-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_348_length_387_cov_0.830827_ID_11975-processed-gene-0.0&CDS=1-342
OG0000285	YGL254W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-4.120-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-4.120&CDS=1-1440, genemark-NODE_16_length_108370_cov_23.3074_ID_4316-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_16_length_108370_cov_23.3074_ID_4316-processed-gene-0.42&CDS=1-960
OG0000286	YGR008C, YLR327C	augustus_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.34&CDS=1-288
OG0000287	YGR010W, YLR328W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.96-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.96&CDS=1-1473
OG0000288	YGR027C, YLR333C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-2.4-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-2.4&CDS=1-318
OG0000289	YGR034W, YLR344W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-2.17-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-2.17&CDS=1-381
OG0000290	YGR038W, YLR350W	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-3.130-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-3.130&CDS=1-636
OG0000291	YGR044C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-3.25-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-3.25&CDS=1-1923, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.13-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.13&CDS=1-2148
OG0000292	YGR056W, YLR357W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.117-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.117&CDS=1-2370
OG0000293	YGR060W	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.113-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.113&CDS=1-873, genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-7.91-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-7.91&CDS=1-894
OG0000294	YGR070W, YLR371W	genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-5.91-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-5.91&CDS=1-4404
OG0000295	YGR085C, YPR102C	augustus_masked-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-3.198-mRNA-1_1&gene=augustus_masked-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-3.198&CDS=1-516
OG0000296	YGR092W, YPR111W	genemark-NODE_19_length_74702_cov_15.9505_ID_4581-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_19_length_74702_cov_15.9505_ID_4581-processed-gene-0.69&CDS=1-1761
OG0000297	YGR108W, YPR119W	augustus_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.80-mRNA-1_1&gene=augustus_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.80&CDS=1-1566
OG0000298	YGR110W	augustus_masked-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-0.48&CDS=1-1326, genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-4.102-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-4.102&CDS=1-1368
OG0000299	YGR118W, YPR132W	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-6.113-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-6.113&CDS=1-429
OG0000300	YGR121C, YPR138C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.37-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.37&CDS=1-1584
OG0000301	YGR131W, YPR149W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-1.31-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-1.31&CDS=1-513
OG0000302	YGR136W, YPR154W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-6.18-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-6.18&CDS=1-840
OG0000303	YGR138C, YPR156C	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-1.81-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-1.81&CDS=1-1761
OG0000304	YGR141W, YPR157W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.91-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.91&CDS=1-1215
OG0000305	YGR197C, YJR015W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-4.9-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-4.9&CDS=1-1476
OG0000306	YGR209C, YLR043C	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.31&CDS=1-309
OG0000307	YGR214W, YLR048W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-5.99-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-5.99&CDS=1-804
OG0000308	YGR238C, YHR158C	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-6.27-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-6.27&CDS=1-4029
OG0000309	YGR241C, YHR161C	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-5.47-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-5.47&CDS=1-1962
OG0000310	YGR243W, YHR162W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-0.67&CDS=1-402
OG0000311	YGR273C, YMR295C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-0.78&CDS=1-543
OG0000312	YHL001W, YKL006W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-0.85&CDS=1-411
OG0000313	YHL003C, YKL008C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.52-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.52&CDS=1-1428
OG0000314	YHL017W, YKL039W	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-8.27-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-8.27&CDS=1-1653
OG0000315	YHL021C	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.68-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.68&CDS=1-1293, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-7.104-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-7.104&CDS=1-1176
OG0000316	YHL033C, YLL045C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.73-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.73&CDS=1-789
OG0000317	YHR001W, YKR003W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.17-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.17&CDS=1-1296
OG0000318	YHR021C, YKL156W	augustus_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.36-mRNA-1_1&gene=augustus_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.36&CDS=1-246
OG0000319	YHR047C, YKL157W	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-6.121-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-6.121&CDS=1-2562
OG0000320	YHR048W	augustus_masked-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-2.46&CDS=1-2337, genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-5.42-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-5.42&CDS=1-1794
OG0000321	YHR115C, YNL116W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.71&CDS=1-1959
OG0000322	YHR117W, YNL121C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-11.64-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-11.64&CDS=1-1827
OG0000323	YHR123W, YNL130C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-9.115-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-9.115&CDS=1-1227
OG0000324	YHR131C, YNL144C	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-3.143-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-3.143&CDS=1-2118
OG0000325	YHR133C, YNL156C	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-2.58-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-2.58&CDS=1-903
OG0000326	YHR141C, YNL162W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-13.88-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-13.88&CDS=1-318
OG0000327	YHR155W, YNL257C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-1.20-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-1.20&CDS=1-3822
OG0000328	YHR177W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.86&CDS=1-1440, genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-2.54-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-2.54&CDS=1-1290
OG0000329	YHR179W, YPL171C	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-0.25&CDS=1-1098
OG0000330	YHR198C, YHR199C	genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-0.86&CDS=1-900
OG0000331	YHR203C, YJR145C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.53-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.53&CDS=1-777
OG0000332	YIL085C, YNL029C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-3.0-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-3.0&CDS=1-1653
OG0000333	YIL105C, YNL047C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-7.2-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-7.2&CDS=1-2283
OG0000334	YIL109C, YNL049C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.90-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.90&CDS=1-2871
OG0000335	YIL111W, YNL052W	augustus_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.70&CDS=1-540
OG0000336	YIL113W, YNL053W	genemark-NODE_16_length_108370_cov_23.3074_ID_4316-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_16_length_108370_cov_23.3074_ID_4316-processed-gene-0.32&CDS=1-1122
OG0000337	YIL114C, YNL055C	genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-5.78-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-5.78&CDS=1-861
OG0000338	YIL126W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.21-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.21&CDS=1-4650, snap_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.119-mRNA-1_1&gene=snap_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.119&CDS=1-3864
OG0000339	YIL154C	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.126-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.126&CDS=1-1770, genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-3.52-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-3.52&CDS=1-1017
OG0000340	YIL166C	genemark-NODE_15_length_126285_cov_15.6988_ID_15684-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_15_length_126285_cov_15.6988_ID_15684-processed-gene-0.87&CDS=1-1728, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.155-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.155&CDS=1-1752
OG0000341	YIR009W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-2.73-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-2.73&CDS=1-1038, genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-5.119-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-5.119&CDS=1-777
OG0000342	YIR013C, YLR013W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-1.118-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-1.118&CDS=1-2262
OG0000343	YIR031C, YNL117W	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-3.81-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-3.81&CDS=1-1647
OG0000344	YIR035C, YIR036C	maker-NODE_9_length_628899_cov_14.4483_ID_3702-augustus-gene-1.148-mRNA-1_1&gene=maker-NODE_9_length_628899_cov_14.4483_ID_3702-augustus-gene-1.148&CDS=1-738
OG0000345	YIR038C	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-0.79-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-0.79&CDS=1-684, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.24-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.24&CDS=1-678
OG0000346	YJL076W, YKR010C	augustus_masked-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-10.43-mRNA-1_1&gene=augustus_masked-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-10.43&CDS=1-2568
OG0000347	YJL079C, YKR013W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-3.104-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-3.104&CDS=1-819
OG0000348	YJL082W, YKR018C	maker-NODE_4_length_1142970_cov_18.2532_ID_14703-augustus-gene-7.8-mRNA-1_1&gene=maker-NODE_4_length_1142970_cov_18.2532_ID_14703-augustus-gene-7.8&CDS=1-2334
OG0000349	YJL083W, YKR019C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-8.10-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-8.10&CDS=1-2679
OG0000350	YJL084C, YKR021W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.56-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.56&CDS=1-2442
OG0000351	YJL098W, YKR028W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.41-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.41&CDS=1-3396
