	Nakaseomyces_bacillisporus	Saccharomyces_cerevisiae
OG0000395	augustus_masked-NABA0S01-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-0.91&CDS=1-2040	YDR172W
OG0000396	augustus_masked-NABA0S01-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-0.92&CDS=1-1122	YDR171W
OG0000397	augustus_masked-NABA0S01-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-0.74&CDS=1-5715	YDR170C
OG0000398	augustus_masked-NABA0S01-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-0.76&CDS=1-1557	YDR169C
OG0000399	augustus_masked-NABA0S01-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-0.93&CDS=1-2055	YDR168W
OG0000400	augustus_masked-NABA0S01-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-0.77&CDS=1-2940	YDR166C
OG0000401	augustus_masked-NABA0S01-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-0.94&CDS=1-1284	YDR165W
OG0000402	augustus_masked-NABA0S01-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-0.78&CDS=1-2142	YDR164C
OG0000403	augustus_masked-NABA0S01-processed-gene-1.169-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.169&CDS=1-2631	YFL003C
OG0000404	augustus_masked-NABA0S01-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.170&CDS=1-1152	YPL018W
OG0000405	augustus_masked-NABA0S01-processed-gene-1.172-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.172&CDS=1-1488	YFL018C
OG0000406	genemark-NABA0S01-processed-gene-1.10-mRNA-1_1&gene=genemark-NABA0S01-processed-gene-1.10&CDS=1-492	YLR050C
OG0000407	genemark-NABA0S01-processed-gene-1.50-mRNA-1_1&gene=genemark-NABA0S01-processed-gene-1.50&CDS=1-642	YLR051C
OG0000408	augustus_masked-NABA0S01-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.174&CDS=1-678	YLR052W
OG0000409	augustus_masked-NABA0S01-processed-gene-1.211-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.211&CDS=1-2430	YLR054C
OG0000410	augustus_masked-NABA0S01-processed-gene-1.212-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.212&CDS=1-1716	YLR055C
OG0000411	augustus_masked-NABA0S01-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.176&CDS=1-1092	YLR056W
OG0000412	snap_masked-NABA0S01-processed-gene-1.95-mRNA-1_1&gene=snap_masked-NABA0S01-processed-gene-1.95&CDS=1-2538	YLR057W
OG0000413	augustus_masked-NABA0S01-processed-gene-1.214-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.214&CDS=1-765	YLR059C
OG0000414	genemark-NABA0S01-processed-gene-1.15-mRNA-1_1&gene=genemark-NABA0S01-processed-gene-1.15&CDS=1-1785	YLR060W
OG0000415	maker-NABA0S01-augustus-gene-1.166-mRNA-1_1&gene=maker-NABA0S01-augustus-gene-1.166&CDS=1-366	YLR061W
OG0000416	maker-NABA0S01-augustus-gene-1.167-mRNA-1_1&gene=maker-NABA0S01-augustus-gene-1.167&CDS=1-2580	YFL039C
OG0000417	genemark-NABA0S01-processed-gene-1.18-mRNA-1_1&gene=genemark-NABA0S01-processed-gene-1.18&CDS=1-1563	YPR002W
OG0000418	augustus_masked-NABA0S01-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.181&CDS=1-2730	YFR002W
OG0000419	augustus_masked-NABA0S01-processed-gene-1.182-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.182&CDS=1-918	YFR004W
OG0000420	augustus_masked-NABA0S01-processed-gene-1.216-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.216&CDS=1-1302	YFR005C
OG0000421	augustus_masked-NABA0S01-processed-gene-1.183-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.183&CDS=1-1560	YFR006W
OG0000422	augustus_masked-NABA0S01-processed-gene-1.217-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.217&CDS=1-2193	YPR003C
OG0000423	augustus_masked-NABA0S01-processed-gene-1.218-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.218&CDS=1-1035	YPR004C
OG0000424	augustus_masked-NABA0S01-processed-gene-1.219-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.219&CDS=1-645	YPR005C
OG0000425	augustus_masked-NABA0S01-processed-gene-1.220-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.220&CDS=1-1701	YPR006C
OG0000426	augustus_masked-NABA0S01-processed-gene-1.221-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.221&CDS=1-2160	YPR007C
OG0000427	augustus_masked-NABA0S01-processed-gene-1.223-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.223&CDS=1-3603	YPR010C
OG0000428	snap_masked-NABA0S01-processed-gene-1.144-mRNA-1_1&gene=snap_masked-NABA0S01-processed-gene-1.144&CDS=1-222	YPR010C-A
OG0000429	snap_masked-NABA0S01-processed-gene-1.145-mRNA-1_1&gene=snap_masked-NABA0S01-processed-gene-1.145&CDS=1-987	YPR011C
OG0000430	snap_masked-NABA0S01-processed-gene-1.146-mRNA-1_1&gene=snap_masked-NABA0S01-processed-gene-1.146&CDS=1-744	YPR016C
OG0000431	augustus_masked-NABA0S01-processed-gene-1.186-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.186&CDS=1-1848	YPR018W
OG0000432	augustus_masked-NABA0S01-processed-gene-1.187-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.187&CDS=1-2874	YPR019W
OG0000433	augustus_masked-NABA0S01-processed-gene-1.225-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.225&CDS=1-2643	YPR021C
OG0000434	snap_masked-NABA0S01-processed-gene-1.148-mRNA-1_1&gene=snap_masked-NABA0S01-processed-gene-1.148&CDS=1-3369	YPR022C
OG0000435	genemark-NABA0S01-processed-gene-1.67-mRNA-1_1&gene=genemark-NABA0S01-processed-gene-1.67&CDS=1-1305	YPR023C
OG0000436	augustus_masked-NABA0S01-processed-gene-1.227-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.227&CDS=1-1602	YER124C
OG0000437	augustus_masked-NABA0S01-processed-gene-1.189-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.189&CDS=1-2403	YER125W
OG0000438	augustus_masked-NABA0S01-processed-gene-1.228-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.228&CDS=1-783	YER126C
OG0000439	augustus_masked-NABA0S01-processed-gene-1.190-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.190&CDS=1-1035	YER127W
OG0000440	snap_masked-NABA0S01-processed-gene-1.111-mRNA-1_1&gene=snap_masked-NABA0S01-processed-gene-1.111&CDS=1-594	YER128W
OG0000441	genemark-NABA0S01-processed-gene-1.30-mRNA-1_1&gene=genemark-NABA0S01-processed-gene-1.30&CDS=1-3474	YER129W
OG0000442	augustus_masked-NABA0S01-processed-gene-1.229-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.229&CDS=1-1077	YER130C
OG0000443	augustus_masked-NABA0S01-processed-gene-1.232-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.232&CDS=1-2013	YBL024W
OG0000444	augustus_masked-NABA0S01-processed-gene-1.233-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.233&CDS=1-1353	YER136W
OG0000445	augustus_masked-NABA0S01-processed-gene-1.235-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.235&CDS=1-930	YOR164C
OG0000446	augustus_masked-NABA0S01-processed-gene-1.194-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.194&CDS=1-2307	YOR165W
OG0000447	augustus_masked-NABA0S01-processed-gene-1.236-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.236&CDS=1-1047	YOR166C
OG0000448	augustus_masked-NABA0S01-processed-gene-1.195-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.195&CDS=1-2412	YOR168W
OG0000449	augustus_masked-NABA0S01-processed-gene-1.196-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.196&CDS=1-363	YDR156W
OG0000450	augustus_masked-NABA0S01-processed-gene-1.197-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.197&CDS=1-1074	YDR158W
OG0000451	augustus_masked-NABA0S01-processed-gene-1.198-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.198&CDS=1-4017	YDR159W
OG0000452	augustus_masked-NABA0S01-processed-gene-1.199-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.199&CDS=1-2568	YDR160W
OG0000453	augustus_masked-NABA0S01-processed-gene-1.200-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.200&CDS=1-1152	YDR161W
OG0000454	augustus_masked-NABA0S01-processed-gene-1.238-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.238&CDS=1-648	YDR162C
OG0000455	augustus_masked-NABA0S01-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.201&CDS=1-360	YDR163W
OG0000456	augustus_masked-NABA0S01-processed-gene-1.239-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.239&CDS=1-609	YFR001W
OG0000457	maker-NABA0S01-snap-gene-1.248-mRNA-1_1&gene=maker-NABA0S01-snap-gene-1.248&CDS=1-4479	YFL033C
OG0000458	augustus_masked-NABA0S01-processed-gene-1.240-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.240&CDS=1-3048	YFL034W
OG0000459	augustus_masked-NABA0S01-processed-gene-1.203-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.203&CDS=1-903	YFL034C-B
OG0000460	augustus_masked-NABA0S01-processed-gene-1.241-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.241&CDS=1-3948	YFL036W
OG0000461	snap_masked-NABA0S01-processed-gene-1.163-mRNA-1_1&gene=snap_masked-NABA0S01-processed-gene-1.163&CDS=1-1395	YFL037W
OG0000462	augustus_masked-NABA0S01-processed-gene-1.204-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.204&CDS=1-636	YFL038C
OG0000463	augustus_masked-NABA0S01-processed-gene-1.205-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.205&CDS=1-1668	YFL042C
OG0000464	augustus_masked-NABA0S01-processed-gene-1.206-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.206&CDS=1-915	YFL044C
OG0000465	augustus_masked-NABA0S01-processed-gene-1.207-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.207&CDS=1-663	YLR075W
OG0000466	augustus_masked-NABA0S01-processed-gene-1.208-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.208&CDS=1-762	YFL045C
OG0000467	augustus_masked-NABA0S01-processed-gene-1.244-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.244&CDS=1-627	YFL046W
OG0000468	augustus_masked-NABA0S01-processed-gene-1.245-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.245&CDS=1-2079	YFL047W
OG0000469	augustus_masked-NABA0S01-processed-gene-1.209-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.209&CDS=1-1323	YFL048C
OG0000470	augustus_masked-NABA0S01-processed-gene-1.246-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.246&CDS=1-1695	YFL049W
OG0000471	snap_masked-NABA0S02-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.0&CDS=1-1329	YCL063W
OG0000472	augustus_masked-NABA0S02-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.111&CDS=1-2805	YCL061C
OG0000473	augustus_masked-NABA0S02-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.112&CDS=1-936	YCL059C
OG0000474	augustus_masked-NABA0S02-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.113&CDS=1-258	YCL057C-A
OG0000475	augustus_masked-NABA0S02-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.91&CDS=1-906	YCL055W
OG0000476	augustus_masked-NABA0S02-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.92&CDS=1-2499	YCL054W
OG0000477	snap_masked-NABA0S02-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.29&CDS=1-1281	YCL052C
OG0000478	snap_masked-NABA0S02-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.31&CDS=1-783	YCL047C
OG0000479	snap_masked-NABA0S02-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.32&CDS=1-2202	YCL045C
OG0000480	snap_masked-NABA0S02-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.33&CDS=1-1206	YCL044C
OG0000481	genemark-NABA0S02-processed-gene-0.52-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-0.52&CDS=1-2397	YCL039W
OG0000482	augustus_masked-NABA0S02-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.119&CDS=1-1566	YCL038C
OG0000483	augustus_masked-NABA0S02-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.98&CDS=1-1023	YCL034W
OG0000484	snap_masked-NABA0S02-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.35&CDS=1-444	YCL033C
OG0000485	augustus_masked-NABA0S02-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.99&CDS=1-966	YCL032W
OG0000486	genemark-NABA0S02-processed-gene-0.78-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-0.78&CDS=1-900	YCL031C
OG0000487	augustus_masked-NABA0S02-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.122&CDS=1-2445	YCL030C
OG0000488	snap_masked-NABA0S02-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.38&CDS=1-1341	YCL029C
OG0000489	snap_masked-NABA0S02-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.10&CDS=1-1098	YCL028W
OG0000490	snap_masked-NABA0S02-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.11&CDS=1-1077	YCL027W
OG0000491	augustus_masked-NABA0S02-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.124&CDS=1-579	YCL026C-B
OG0000492	augustus_masked-NABA0S02-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.125&CDS=1-645	YLR178C
OG0000493	snap_masked-NABA0S02-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.41&CDS=1-849	YLR181C
OG0000494	augustus_masked-NABA0S02-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.105&CDS=1-2271	YLR182W
OG0000495	augustus_masked-NABA0S02-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.127&CDS=1-1191	YLR183C
OG0000496	snap_masked-NABA0S02-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.16&CDS=1-801	YLR186W
OG0000497	genemark-NABA0S02-processed-gene-0.62-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-0.62&CDS=1-2133	YLR188W
OG0000498	augustus_masked-NABA0S02-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.128&CDS=1-3345	YLR189C
OG0000499	augustus_masked-NABA0S02-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.129&CDS=1-1416	YER019W
OG0000500	genemark-NABA0S02-processed-gene-0.64-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-0.64&CDS=1-1095	YCR044C
OG0000501	snap_masked-NABA0S02-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.21&CDS=1-360	YCR043C
OG0000502	snap_masked-NABA0S02-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.22&CDS=1-4218	YCR042C
OG0000503	maker-NABA0S02-snap-gene-0.87-mRNA-1_1&gene=maker-NABA0S02-snap-gene-0.87&CDS=1-1605	YOR154W
OG0000504	augustus_masked-NABA0S02-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.22&CDS=1-1029	YCR036W
OG0000505	augustus_masked-NABA0S02-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.4&CDS=1-1137	YCR035C
OG0000506	augustus_masked-NABA0S02-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.24&CDS=1-4068	YCR033W
OG0000507	augustus_masked-NABA0S02-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.25&CDS=1-6339	YCR032W
OG0000508	augustus_masked-NABA0S02-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.8&CDS=1-387	YCR028C-A
OG0000509	augustus_masked-NABA0S02-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.9&CDS=1-1467	YCR028C
OG0000510	genemark-NABA0S02-processed-gene-1.107-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-1.107&CDS=1-1779	YCR023C
OG0000511	augustus_masked-NABA0S02-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.27&CDS=1-1485	YCR024C
OG0000512	augustus_masked-NABA0S02-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.29&CDS=1-681	YCR027C
OG0000513	snap_masked-NABA0S02-processed-gene-1.73-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-1.73&CDS=1-633	YCR020W-B
OG0000514	augustus_masked-NABA0S02-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.10&CDS=1-264	YCR020C-A
OG0000515	augustus_masked-NABA0S02-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.11&CDS=1-642	YCR020C
OG0000516	augustus_masked-NABA0S02-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.31&CDS=1-1053	YCR019W
OG0000517	augustus_masked-NABA0S02-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.12&CDS=1-2967	YCR017C
OG0000518	augustus_masked-NABA0S02-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.32&CDS=1-831	YCR016W
OG0000519	augustus_masked-NABA0S02-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.13&CDS=1-2529	YCR014C
OG0000520	augustus_masked-NABA0S02-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.33&CDS=1-1245	YCR012W
OG0000521	augustus_masked-NABA0S02-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.14&CDS=1-3270	YCR011C
OG0000522	augustus_masked-NABA0S02-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.16&CDS=1-795	YCR009C
OG0000523	genemark-NABA0S02-processed-gene-1.115-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-1.115&CDS=1-1680	YCR008W
OG0000524	augustus_masked-NABA0S02-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.17&CDS=1-801	YCR004C
OG0000525	augustus_masked-NABA0S02-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.35&CDS=1-564	YCR003W
OG0000526	augustus_masked-NABA0S02-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.18&CDS=1-960	YCR002C
OG0000527	genemark-NABA0S02-processed-gene-1.100-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-1.100&CDS=1-768	YCL002C
OG0000528	augustus_masked-NABA0S02-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.36&CDS=1-1461	YCL004W
OG0000529	snap_masked-NABA0S02-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-1.81&CDS=1-849	YCL005W
OG0000530	augustus_masked-NABA0S02-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.19&CDS=1-879	YCL010C
OG0000531	augustus_masked-NABA0S02-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.21&CDS=1-342	YCL012C
OG0000532	augustus_masked-NABA0S02-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.3&CDS=1-4890	YCL014W
OG0000533	snap_masked-NABA0S02-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-2.33&CDS=1-1257	YCL016C
OG0000534	snap_masked-NABA0S02-processed-gene-2.52-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-2.52&CDS=1-2031	YLR173W
OG0000535	augustus_masked-NABA0S02-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.5&CDS=1-897	YLR172C
OG0000536	augustus_masked-NABA0S02-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.6&CDS=1-468	YLR170C
OG0000537	snap_masked-NABA0S02-processed-gene-2.55-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-2.55&CDS=1-1557	YLR253W
OG0000538	maker-NABA0S02-snap-gene-2.0-mRNA-1_1&gene=maker-NABA0S02-snap-gene-2.0&CDS=1-1293	YLR250W
OG0000539	augustus_masked-NABA0S02-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.23&CDS=1-3135	YNL014W
OG0000540	augustus_masked-NABA0S02-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.24&CDS=1-1830	YLR248W
OG0000541	augustus_masked-NABA0S02-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.7&CDS=1-4593	YLR247C
OG0000542	snap_masked-NABA0S02-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-2.40&CDS=1-1035	YLR257W
OG0000543	augustus_masked-NABA0S02-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.10&CDS=1-1296	YOL016C
OG0000544	augustus_masked-NABA0S02-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.11&CDS=1-1197	YOL018C
OG0000545	snap_masked-NABA0S02-processed-gene-2.60-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-2.60&CDS=1-1758	YOL019W
OG0000546	genemark-NABA0S02-processed-gene-2.98-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-2.98&CDS=1-1833	YOL020W
OG0000547	augustus_masked-NABA0S02-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.12&CDS=1-3021	YOL021C
OG0000548	augustus_masked-NABA0S02-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.13&CDS=1-1191	YOL022C
OG0000549	genemark-NABA0S02-processed-gene-2.99-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-2.99&CDS=1-2052	YOL023W
OG0000550	augustus_masked-NABA0S02-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.28&CDS=1-2001	YOL025W
OG0000551	augustus_masked-NABA0S02-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.14&CDS=1-2373	YOR018W
OG0000552	augustus_masked-NABA0S02-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.16&CDS=1-1074	YHR017W
OG0000553	augustus_masked-NABA0S02-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.30&CDS=1-1650	YHR019C
OG0000554	augustus_masked-NABA0S02-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.17&CDS=1-2022	YHR020W
OG0000555	augustus_masked-NABA0S02-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.31&CDS=1-1251	YJL046W
OG0000556	snap_masked-NABA0S02-processed-gene-2.50-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-2.50&CDS=1-2340	YJL047C
OG0000557	snap_masked-NABA0S02-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-2.68&CDS=1-1281	YJL049W
OG0000558	genemark-NABA0S02-processed-gene-2.106-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-2.106&CDS=1-3159	YJL050W
OG0000559	augustus_masked-NABA0S02-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.68&CDS=1-1677	YDR212W
OG0000560	snap_masked-NABA0S02-processed-gene-3.35-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-3.35&CDS=1-1053	YDR214W
OG0000561	snap_masked-NABA0S02-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-3.36&CDS=1-3216	YDR216W
OG0000562	snap_masked-NABA0S02-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-3.47&CDS=1-3387	YDR217C
OG0000563	augustus_masked-NABA0S02-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.85&CDS=1-1128	YDR218C
OG0000564	snap_masked-NABA0S02-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-3.49&CDS=1-1329	YDR219C
OG0000565	augustus_masked-NABA0S02-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.71&CDS=1-2043	YDR221W
OG0000566	augustus_masked-NABA0S02-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.73&CDS=1-2322	YJL090C
OG0000567	augustus_masked-NABA0S02-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.74&CDS=1-1476	YJL091C
OG0000568	genemark-NABA0S02-processed-gene-3.18-mRNA-1_1&gene=genemark-NABA0S02-processed-gene-3.18&CDS=1-3324	YJL092W
OG0000569	augustus_masked-NABA0S02-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.75&CDS=1-2094	YJL093C
