	Saccharomyces_arboricola	Saccharomyces_cerevisiae
OG0000678	genemark-NC_026173.1-processed-gene-1.93-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.93&CDS=1-780	YCR075C
OG0000679	snap_masked-NC_026173.1-processed-gene-1.200-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.200&CDS=1-225	YCR075W-A
OG0000680	augustus_masked-NC_026173.1-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.163&CDS=1-3165	YCR077C
OG0000681	genemark-NC_026173.1-processed-gene-1.50-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.50&CDS=1-1329	YCR079W
OG0000682	augustus_masked-NC_026173.1-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.124&CDS=1-4623	YCR081W
OG0000683	snap_masked-NC_026173.1-processed-gene-1.203-mRNA-1_1&gene=snap_masked-NC_026173.1-processed-gene-1.203&CDS=1-381	YCR083W
OG0000684	genemark-NC_026173.1-processed-gene-1.96-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.96&CDS=1-2139	YCR084C
OG0000685	genemark-NC_026173.1-processed-gene-1.54-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.54&CDS=1-570	YCR086W
OG0000686	genemark-NC_026173.1-processed-gene-1.97-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.97&CDS=1-417	YCR087C-A
OG0000687	genemark-NC_026173.1-processed-gene-1.55-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.55&CDS=1-1785	YCR088W
OG0000688	augustus_masked-NC_026173.1-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NC_026173.1-processed-gene-1.128&CDS=1-4770	YCR089W
OG0000689	genemark-NC_026173.1-processed-gene-1.98-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.98&CDS=1-546	YCR090C
OG0000690	genemark-NC_026173.1-processed-gene-1.99-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.99&CDS=1-3048	YCR092C
OG0000691	maker-NC_026173.1-snap-gene-1.2-mRNA-1_1&gene=maker-NC_026173.1-snap-gene-1.2&CDS=1-7446	YCR093W
OG0000692	genemark-NC_026173.1-processed-gene-1.100-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.100&CDS=1-1089	YCR095C
OG0000693	genemark-NC_026173.1-processed-gene-1.61-mRNA-1_1&gene=genemark-NC_026173.1-processed-gene-1.61&CDS=1-2031	YOL164W
OG0000694	genemark-NC_026174.1-processed-gene-0.68-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.68&CDS=1-594	YJL217W
OG0000695	genemark-NC_026174.1-processed-gene-0.82-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.82&CDS=1-951	YER185W
OG0000696	genemark-NC_026174.1-processed-gene-0.70-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.70&CDS=1-2343	YER184C
OG0000697	snap_masked-NC_026174.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-0.33&CDS=1-366	YDL241W
OG0000698	maker-NC_026174.1-snap-gene-0.65-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-0.65&CDS=1-378	YGR290W
OG0000699	genemark-NC_026174.1-processed-gene-0.75-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.75&CDS=1-3051	YDL240W
OG0000700	maker-NC_026174.1-augustus-gene-0.61-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-0.61&CDS=1-3822	YDL238C
OG0000701	genemark-NC_026174.1-processed-gene-0.76-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.76&CDS=1-1170	YDL237W
OG0000702	genemark-NC_026174.1-processed-gene-0.77-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.77&CDS=1-927	YDL236W
OG0000703	maker-NC_026174.1-augustus-gene-0.62-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-0.62&CDS=1-2808	YDL234C
OG0000704	genemark-NC_026174.1-processed-gene-0.78-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.78&CDS=1-1590	YDL233W
OG0000705	genemark-NC_026174.1-processed-gene-0.90-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.90&CDS=1-3375	YDL231C
OG0000706	augustus_masked-NC_026174.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-0.12&CDS=1-1014	YDL230W
OG0000707	genemark-NC_026174.1-processed-gene-0.91-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.91&CDS=1-1758	YDL227C
OG0000708	genemark-NC_026174.1-processed-gene-0.92-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.92&CDS=1-1056	YDL226C
OG0000709	genemark-NC_026174.1-processed-gene-0.80-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.80&CDS=1-1647	YDL225W
OG0000710	genemark-NC_026174.1-processed-gene-0.93-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.93&CDS=1-1947	YDL224C
OG0000711	genemark-NC_026174.1-processed-gene-1.43-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.43&CDS=1-6843	YDL220C
OG0000712	genemark-NC_026174.1-processed-gene-1.41-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.41&CDS=1-366	YDL219W
OG0000713	genemark-NC_026174.1-processed-gene-1.42-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.42&CDS=1-951	YDL218W
OG0000714	augustus_masked-NC_026174.1-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-1.2&CDS=1-1893	YDL216C
OG0000715	genemark-NC_026174.1-processed-gene-1.46-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.46&CDS=1-3276	YDL215C
OG0000716	snap_masked-NC_026174.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-1.119&CDS=1-2085	YDL214C
OG0000717	genemark-NC_026174.1-processed-gene-1.71-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.71&CDS=1-690	YDL213C
OG0000718	genemark-NC_026174.1-processed-gene-1.47-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.47&CDS=1-621	YDL212W
OG0000719	genemark-NC_026174.1-processed-gene-1.72-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.72&CDS=1-1101	YDL211C
OG0000720	genemark-NC_026174.1-processed-gene-1.48-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.48&CDS=1-1713	YDL210W
OG0000721	genemark-NC_026174.1-processed-gene-1.73-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.73&CDS=1-1023	YDL209C
OG0000722	genemark-NC_026174.1-processed-gene-1.49-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.49&CDS=1-468	YDL208W
OG0000723	augustus_masked-NC_026174.1-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-1.7&CDS=1-3870	YDL206W
OG0000724	genemark-NC_026174.1-processed-gene-1.74-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.74&CDS=1-981	YDL205C
OG0000725	genemark-NC_026174.1-processed-gene-1.52-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.52&CDS=1-1179	YDL204W
OG0000726	genemark-NC_026174.1-processed-gene-1.75-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.75&CDS=1-1854	YDL203C
OG0000727	genemark-NC_026174.1-processed-gene-1.53-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.53&CDS=1-744	YDL202W
OG0000728	genemark-NC_026174.1-processed-gene-1.54-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.54&CDS=1-858	YDL201W
OG0000729	augustus_masked-NC_026174.1-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-1.30&CDS=1-3417	YDL199C
OG0000730	genemark-NC_026174.1-processed-gene-1.79-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.79&CDS=1-1587	YDL197C
OG0000731	genemark-NC_026174.1-processed-gene-1.55-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.55&CDS=1-3840	YDL195W
OG0000732	genemark-NC_026174.1-processed-gene-1.57-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.57&CDS=1-1116	YDL193W
OG0000733	genemark-NC_026174.1-processed-gene-1.80-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.80&CDS=1-2883	YDL190C
OG0000734	genemark-NC_026174.1-processed-gene-1.59-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.59&CDS=1-1374	YDL189W
OG0000735	genemark-NC_026174.1-processed-gene-1.60-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.60&CDS=1-846	YDL186W
OG0000736	genemark-NC_026174.1-processed-gene-1.61-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.61&CDS=1-1851	YDL185W
OG0000737	genemark-NC_026174.1-processed-gene-1.82-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.82&CDS=1-957	YDL183C
OG0000738	snap_masked-NC_026174.1-processed-gene-1.111-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-1.111&CDS=1-255	YDL181W
OG0000739	snap_masked-NC_026174.1-processed-gene-1.112-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-1.112&CDS=1-1641	YDL180W
OG0000740	genemark-NC_026174.1-processed-gene-1.83-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.83&CDS=1-504	YDL177C
OG0000741	genemark-NC_026174.1-processed-gene-1.66-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.66&CDS=1-2121	YDL176W
OG0000742	genemark-NC_026174.1-processed-gene-1.84-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.84&CDS=1-1032	YDL175C
OG0000743	genemark-NC_026174.1-processed-gene-1.85-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.85&CDS=1-1785	YDL174C
OG0000744	genemark-NC_026174.1-processed-gene-1.67-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.67&CDS=1-924	YDL173W
OG0000745	genemark-NC_026174.1-processed-gene-1.86-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.86&CDS=1-6435	YDL171C
OG0000746	genemark-NC_026174.1-processed-gene-1.68-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.68&CDS=1-1584	YDL170W
OG0000747	genemark-NC_026174.1-processed-gene-1.87-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.87&CDS=1-672	YDL169C
OG0000748	genemark-NC_026174.1-processed-gene-1.69-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-1.69&CDS=1-1158	YDL168W
OG0000749	genemark-NC_026174.1-processed-gene-2.95-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.95&CDS=1-2184	YDL167C
OG0000750	genemark-NC_026174.1-processed-gene-2.96-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.96&CDS=1-591	YDL166C
OG0000751	genemark-NC_026174.1-processed-gene-2.93-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.93&CDS=1-573	YDL165W
OG0000752	genemark-NC_026174.1-processed-gene-2.97-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.97&CDS=1-2202	YDL164C
OG0000753	snap_masked-NC_026174.1-processed-gene-2.5-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-2.5&CDS=1-240	YDL160C-A
OG0000754	genemark-NC_026174.1-processed-gene-2.98-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.98&CDS=1-1521	YDL160C
OG0000755	genemark-NC_026174.1-processed-gene-2.99-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.99&CDS=1-1521	YDL159W
OG0000756	genemark-NC_026174.1-processed-gene-2.126-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.126&CDS=1-351	YDL157C
OG0000757	genemark-NC_026174.1-processed-gene-2.100-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.100&CDS=1-1566	YDL156W
OG0000758	augustus_masked-NC_026174.1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-2.58&CDS=1-3990	YDL154W
OG0000759	snap_masked-NC_026174.1-processed-gene-2.35-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-2.35&CDS=1-2256	YDL153C
OG0000760	maker-NC_026174.1-snap-gene-2.142-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-2.142&CDS=1-1248	YDL150W
OG0000761	genemark-NC_026174.1-processed-gene-2.104-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.104&CDS=1-2979	YDL149W
OG0000762	genemark-NC_026174.1-processed-gene-2.128-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.128&CDS=1-2430	YDL148C
OG0000763	genemark-NC_026174.1-processed-gene-2.105-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.105&CDS=1-1335	YDL147W
OG0000764	genemark-NC_026174.1-processed-gene-2.106-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.106&CDS=1-1467	YDL146W
OG0000765	genemark-NC_026174.1-processed-gene-2.129-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.129&CDS=1-3603	YDL145C
OG0000766	genemark-NC_026174.1-processed-gene-2.130-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.130&CDS=1-1068	YDL144C
OG0000767	genemark-NC_026174.1-processed-gene-2.107-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.107&CDS=1-1584	YDL143W
OG0000768	genemark-NC_026174.1-processed-gene-2.131-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.131&CDS=1-633	YDL142C
OG0000769	genemark-NC_026174.1-processed-gene-2.108-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.108&CDS=1-2070	YDL141W
OG0000770	genemark-NC_026174.1-processed-gene-2.132-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.132&CDS=1-5178	YDL140C
OG0000771	genemark-NC_026174.1-processed-gene-2.133-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.133&CDS=1-678	YDL139C
OG0000772	genemark-NC_026174.1-processed-gene-2.112-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.112&CDS=1-1329	YDL133W
OG0000773	genemark-NC_026174.1-processed-gene-2.113-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.113&CDS=1-2445	YDL132W
OG0000774	genemark-NC_026174.1-processed-gene-2.114-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.114&CDS=1-372	YDL130W-A
OG0000775	genemark-NC_026174.1-processed-gene-2.115-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.115&CDS=1-318	YDL130W
OG0000776	genemark-NC_026174.1-processed-gene-2.116-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.116&CDS=1-876	YDL129W
OG0000777	genemark-NC_026174.1-processed-gene-2.117-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.117&CDS=1-1233	YDL128W
OG0000778	genemark-NC_026174.1-processed-gene-2.118-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.118&CDS=1-912	YDL127W
OG0000779	maker-NC_026174.1-snap-gene-2.145-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-2.145&CDS=1-2847	YDL126C
OG0000780	genemark-NC_026174.1-processed-gene-2.119-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.119&CDS=1-936	YDL124W
OG0000781	snap_masked-NC_026174.1-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-2.28&CDS=1-264	YDL123W
OG0000782	genemark-NC_026174.1-processed-gene-2.120-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.120&CDS=1-2121	YDL122W
OG0000783	genemark-NC_026174.1-processed-gene-2.138-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.138&CDS=1-447	YDL121C
OG0000784	augustus_masked-NC_026174.1-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-2.75&CDS=1-519	YDL120W
OG0000785	genemark-NC_026174.1-processed-gene-2.139-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.139&CDS=1-921	YDL119C
OG0000786	maker-NC_026174.1-snap-gene-2.144-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-2.144&CDS=1-2634	YDL117W
OG0000787	genemark-NC_026174.1-processed-gene-2.124-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.124&CDS=1-2178	YDL116W
OG0000788	snap_masked-NC_026174.1-processed-gene-2.47-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-2.47&CDS=1-1011	YDL115C
OG0000789	genemark-NC_026174.1-processed-gene-2.125-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.125&CDS=1-912	YDL114W
OG0000790	genemark-NC_026174.1-processed-gene-2.141-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-2.141&CDS=1-1923	YDL113C
OG0000791	genemark-NC_026174.1-processed-gene-3.60-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.60&CDS=1-4308	YDL112W
OG0000792	genemark-NC_026174.1-processed-gene-3.63-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.63&CDS=1-795	YDL111C
OG0000793	augustus_masked-NC_026174.1-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-3.116&CDS=1-2337	YDL109C
OG0000794	augustus_masked-NC_026174.1-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-3.114&CDS=1-1827	YDL108W
OG0000795	snap_masked-NC_026174.1-processed-gene-3.6-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-3.6&CDS=1-1701	YDL106C
OG0000796	genemark-NC_026174.1-processed-gene-3.67-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.67&CDS=1-1209	YDL105W
OG0000797	snap_masked-NC_026174.1-processed-gene-3.29-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-3.29&CDS=1-2541	YDL103C
OG0000798	genemark-NC_026174.1-processed-gene-3.68-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.68&CDS=1-3291	YDL102W
OG0000799	maker-NC_026174.1-augustus-gene-3.58-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-3.58&CDS=1-2589	YDL101C
OG0000800	genemark-NC_026174.1-processed-gene-3.69-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.69&CDS=1-1005	YDL099W
OG0000801	augustus_masked-NC_026174.1-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-3.139&CDS=1-1974	YDL097C
OG0000802	maker-NC_026174.1-snap-gene-3.51-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-3.51&CDS=1-4716	YDL095W
OG0000803	genemark-NC_026174.1-processed-gene-3.72-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.72&CDS=1-438	YDL092W
OG0000804	augustus_masked-NC_026174.1-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-3.140&CDS=1-2589	YDL090C
OG0000805	genemark-NC_026174.1-processed-gene-3.73-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.73&CDS=1-1461	YDL089W
OG0000806	augustus_masked-NC_026174.1-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-3.141&CDS=1-2280	YDL087C
OG0000807	genemark-NC_026174.1-processed-gene-3.74-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.74&CDS=1-819	YDL086W
OG0000808	snap_masked-NC_026174.1-processed-gene-3.37-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-3.37&CDS=1-204	YDL085C-A
OG0000809	genemark-NC_026174.1-processed-gene-3.75-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.75&CDS=1-1635	YDL085W
OG0000810	genemark-NC_026174.1-processed-gene-3.76-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.76&CDS=1-1338	YDL084W
OG0000811	genemark-NC_026174.1-processed-gene-3.99-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.99&CDS=1-318	YDL081C
OG0000812	genemark-NC_026174.1-processed-gene-3.100-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.100&CDS=1-1860	YDL080C
OG0000813	maker-NC_026174.1-snap-gene-3.53-mRNA-1_1&gene=maker-NC_026174.1-snap-gene-3.53&CDS=1-1422	YDL079C
OG0000814	genemark-NC_026174.1-processed-gene-3.102-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.102&CDS=1-1029	YDL078C
OG0000815	genemark-NC_026174.1-processed-gene-3.103-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.103&CDS=1-3147	YDL077C
OG0000816	genemark-NC_026174.1-processed-gene-3.104-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.104&CDS=1-882	YDL076C
OG0000817	genemark-NC_026174.1-processed-gene-3.105-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.105&CDS=1-2100	YDL074C
OG0000818	genemark-NC_026174.1-processed-gene-3.79-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.79&CDS=1-2943	YDL073W
OG0000819	genemark-NC_026174.1-processed-gene-3.106-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.106&CDS=1-609	YDL072C
OG0000820	genemark-NC_026174.1-processed-gene-3.80-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.80&CDS=1-1866	YDL070W
OG0000821	snap_masked-NC_026174.1-processed-gene-3.46-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-3.46&CDS=1-690	YDL069C
OG0000822	snap_masked-NC_026174.1-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-3.47&CDS=1-177	YDL067C
OG0000823	genemark-NC_026174.1-processed-gene-3.108-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.108&CDS=1-1011	YDL065C
OG0000824	augustus_masked-NC_026174.1-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-3.131&CDS=1-453	YDL064W
OG0000825	snap_masked-NC_026174.1-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-3.49&CDS=1-1848	YDL063C
OG0000826	genemark-NC_026174.1-processed-gene-3.83-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.83&CDS=1-2376	YDL060W
OG0000827	genemark-NC_026174.1-processed-gene-3.110-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.110&CDS=1-723	YDL059C
OG0000828	genemark-NC_026174.1-processed-gene-3.84-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.84&CDS=1-5367	YDL058W
OG0000829	genemark-NC_026174.1-processed-gene-3.85-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.85&CDS=1-984	YDL057W
OG0000830	genemark-NC_026174.1-processed-gene-3.86-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.86&CDS=1-2496	YDL056W
OG0000831	genemark-NC_026174.1-processed-gene-3.111-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-3.111&CDS=1-1083	YDL055C
OG0000832	augustus_masked-NC_026174.1-processed-gene-3.157-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-3.157&CDS=1-1464	YDL054C
OG0000833	genemark-NC_026174.1-processed-gene-4.62-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.62&CDS=1-546	YDL053C
OG0000834	genemark-NC_026174.1-processed-gene-4.63-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.63&CDS=1-903	YDL052C
OG0000835	genemark-NC_026174.1-processed-gene-4.59-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.59&CDS=1-846	YDL051W
OG0000836	genemark-NC_026174.1-processed-gene-4.64-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.64&CDS=1-810	YDL049C
OG0000837	genemark-NC_026174.1-processed-gene-4.65-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.65&CDS=1-1479	YDL048C
OG0000838	snap_masked-NC_026174.1-processed-gene-4.3-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-4.3&CDS=1-519	YDL046W
OG0000839	snap_masked-NC_026174.1-processed-gene-4.7-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-4.7&CDS=1-285	YDL045W-A
OG0000840	genemark-NC_026174.1-processed-gene-4.83-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.83&CDS=1-924	YDL045C
OG0000841	genemark-NC_026174.1-processed-gene-4.84-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.84&CDS=1-1341	YDL044C
OG0000842	genemark-NC_026174.1-processed-gene-4.87-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.87&CDS=1-2565	YDL040C
OG0000843	snap_masked-NC_026174.1-processed-gene-4.32-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-4.32&CDS=1-2832	YDL035C
OG0000844	snap_masked-NC_026174.1-processed-gene-4.33-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-4.33&CDS=1-1269	YDL033C
OG0000845	augustus_masked-NC_026174.1-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-4.109&CDS=1-5766	YDL031W
OG0000846	genemark-NC_026174.1-processed-gene-4.90-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.90&CDS=1-2298	YDL028C
OG0000847	maker-NC_026174.1-augustus-gene-4.55-mRNA-1_1&gene=maker-NC_026174.1-augustus-gene-4.55&CDS=1-2928	YDL025C
OG0000848	genemark-NC_026174.1-processed-gene-4.69-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.69&CDS=1-933	YDL021W
OG0000849	genemark-NC_026174.1-processed-gene-4.95-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.95&CDS=1-1623	YDL020C
OG0000850	genemark-NC_026174.1-processed-gene-4.97-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.97&CDS=1-675	YDL018C
OG0000851	genemark-NC_026174.1-processed-gene-4.70-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.70&CDS=1-1521	YDL017W
OG0000852	genemark-NC_026174.1-processed-gene-4.98-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.98&CDS=1-930	YDL015C
OG0000853	genemark-NC_026174.1-processed-gene-4.71-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-4.71&CDS=1-1008	YDL014W
OG0000854	augustus_masked-NC_026174.1-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-4.114&CDS=1-1857	YDL013W
OG0000855	augustus_masked-NC_026174.1-processed-gene-4.137-mRNA-1_1&gene=augustus_masked-NC_026174.1-processed-gene-4.137&CDS=1-342	YDL012C
OG0000856	snap_masked-NC_026174.1-processed-gene-4.18-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-4.18&CDS=1-702	YDL010W
