	Saccharomyces_cerevisiae	yHMPu5000034918_Nakazawaea_holstii
OG0000656	YBR120C	snap_masked-flattened_line_26-processed-gene-0.271-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.271&CDS=1-444
OG0000657	YBR121C	snap_masked-flattened_line_46-processed-gene-0.198-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.198&CDS=1-1968
OG0000658	YBR122C	genemark-flattened_line_26-processed-gene-0.181-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.181&CDS=1-504
OG0000659	YBR123C	snap_masked-flattened_line_26-processed-gene-0.229-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.229&CDS=1-1647
OG0000660	YBR125C	genemark-flattened_line_26-processed-gene-0.132-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.132&CDS=1-1146
OG0000661	YBR126C	snap_masked-flattened_line_26-processed-gene-0.227-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.227&CDS=1-1407
OG0000662	YBR127C	genemark-flattened_line_26-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.130&CDS=1-1530
OG0000663	YBR132C	snap_masked-flattened_line_66-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.123&CDS=1-1764
OG0000664	YBR133C	snap_masked-flattened_line_83-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.65&CDS=1-2154
OG0000665	YBR135W	maker-flattened_line_83-snap-gene-0.43-mRNA-1_1&gene=maker-flattened_line_83-snap-gene-0.43&CDS=1-306
OG0000666	YBR136W	snap_masked-flattened_line_83-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.49&CDS=1-6999
OG0000667	YBR137W	genemark-flattened_line_58-processed-gene-0.142-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.142&CDS=1-483
OG0000668	YBR141C	snap_masked-flattened_line_30-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.23&CDS=1-1020
OG0000669	YBR142W	snap_masked-flattened_line_30-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.67&CDS=1-2262
OG0000670	YBR143C	snap_masked-flattened_line_30-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.22&CDS=1-1302
OG0000671	YBR146W	genemark-flattened_line_133-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_133-processed-gene-0.99&CDS=1-921
OG0000672	YBR151W	snap_masked-flattened_line_133-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.68&CDS=1-894
OG0000673	YBR153W	genemark-flattened_line_44-processed-gene-0.175-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.175&CDS=1-759
OG0000674	YBR154C	snap_masked-flattened_line_44-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.67&CDS=1-642
OG0000675	YBR155W	snap_masked-flattened_line_163-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_163-processed-gene-0.55&CDS=1-1188
OG0000676	YBR156C	snap_masked-flattened_line_163-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_163-processed-gene-0.67&CDS=1-2640
OG0000677	YBR158W	augustus_masked-flattened_line_322-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_322-processed-gene-0.10&CDS=1-1755
OG0000678	YBR159W	snap_masked-flattened_line_322-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_322-processed-gene-0.17&CDS=1-1029
OG0000679	YBR160W	maker-flattened_line_58-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_58-snap-gene-0.4&CDS=1-891
OG0000680	YBR162C	snap_masked-flattened_line_119-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_119-processed-gene-0.11&CDS=1-1362
OG0000681	YBR163W	augustus_masked-flattened_line_89-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.32&CDS=1-1752
OG0000682	YBR166C	maker-flattened_line_107-augustus-gene-0.47-mRNA-1_1&gene=maker-flattened_line_107-augustus-gene-0.47&CDS=1-1902
OG0000683	YBR167C	genemark-flattened_line_316-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_316-processed-gene-0.2&CDS=1-423
OG0000684	YBR170C	snap_masked-flattened_line_40-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.108&CDS=1-1734
OG0000685	YBR171W	snap_masked-flattened_line_193-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_193-processed-gene-0.47&CDS=1-732
OG0000686	YBR173C	genemark-flattened_line_193-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_193-processed-gene-0.8&CDS=1-441
OG0000687	YBR176W	snap_masked-flattened_line_12-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.22&CDS=1-915
OG0000688	YBR179C	snap_masked-flattened_line_195-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_195-processed-gene-0.41&CDS=1-2601
OG0000689	YBR182C	snap_masked-flattened_line_143-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_143-processed-gene-0.48&CDS=1-1743
OG0000690	YBR185C	snap_masked-flattened_line_97-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.23&CDS=1-819
OG0000691	YBR186W	maker-flattened_line_157-snap-gene-0.50-mRNA-1_1&gene=maker-flattened_line_157-snap-gene-0.50&CDS=1-1419
OG0000692	YBR187W	snap_masked-flattened_line_0-processed-gene-2.134-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.134&CDS=1-978
OG0000693	YBR192W	snap_masked-flattened_line_0-processed-gene-2.138-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.138&CDS=1-1086
OG0000694	YBR193C	genemark-flattened_line_159-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.11&CDS=1-612
OG0000695	YBR194W	augustus_masked-flattened_line_159-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_159-processed-gene-0.55&CDS=1-465
OG0000696	YBR195C	snap_masked-flattened_line_155-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_155-processed-gene-0.46&CDS=1-1212
OG0000697	YBR196C	augustus_masked-flattened_line_333-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_333-processed-gene-0.9&CDS=1-1596
OG0000698	YBR200W	snap_masked-flattened_line_52-processed-gene-0.98-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.98&CDS=1-1488
OG0000699	YBR201C-A	snap_masked-flattened_line_222-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_222-processed-gene-0.6&CDS=1-213
OG0000700	YBR201W	genemark-flattened_line_24-processed-gene-0.205-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.205&CDS=1-696
OG0000701	YBR202W	snap_masked-flattened_line_133-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.42&CDS=1-2409
OG0000702	YBR203W	snap_masked-flattened_line_97-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.27&CDS=1-1857
OG0000703	YBR204C	snap_masked-flattened_line_34-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.71&CDS=1-1821
OG0000704	YBR208C	snap_masked-flattened_line_56-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.10&CDS=1-5460
OG0000705	YBR212W	snap_masked-flattened_line_62-processed-gene-0.196-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.196&CDS=1-1527
OG0000706	YBR213W	maker-flattened_line_62-snap-gene-0.76-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.76&CDS=1-786
OG0000707	YBR215W	augustus_masked-flattened_line_123-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_123-processed-gene-0.24&CDS=1-1935
OG0000708	YBR217W	maker-flattened_line_123-snap-gene-0.123-mRNA-1_1&gene=maker-flattened_line_123-snap-gene-0.123&CDS=1-720
OG0000709	YBR220C	snap_masked-flattened_line_60-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.41&CDS=1-1776
OG0000710	YBR221C	snap_masked-flattened_line_60-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.42&CDS=1-1101
OG0000711	YBR222C	snap_masked-flattened_line_60-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.43&CDS=1-1587
OG0000712	YBR223C	snap_masked-flattened_line_351-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_351-processed-gene-0.3&CDS=1-1560
OG0000713	YBR225W	augustus_masked-flattened_line_145-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_145-processed-gene-0.50&CDS=1-2364
OG0000714	YBR227C	snap_masked-flattened_line_0-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.25&CDS=1-1794
OG0000715	YBR229C	snap_masked-flattened_line_117-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_117-processed-gene-0.48&CDS=1-2832
OG0000716	YBR230C	snap_masked-flattened_line_16-processed-gene-1.168-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.168&CDS=1-513
OG0000717	YBR231C	snap_masked-flattened_line_10-processed-gene-1.170-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.170&CDS=1-825
OG0000718	YBR233W	snap_masked-flattened_line_10-processed-gene-1.200-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.200&CDS=1-1362
OG0000719	YBR234C	snap_masked-flattened_line_191-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_191-processed-gene-0.35&CDS=1-1113
OG0000720	YBR235W	snap_masked-flattened_line_262-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_262-processed-gene-0.19&CDS=1-3339
OG0000721	YBR236C	snap_masked-flattened_line_8-processed-gene-1.247-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.247&CDS=1-1494
OG0000722	YBR241C	snap_masked-flattened_line_6-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.39&CDS=1-1548
OG0000723	YBR243C	snap_masked-flattened_line_6-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.17&CDS=1-1374
OG0000724	YBR246W	snap_masked-flattened_line_6-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.35&CDS=1-1089
OG0000725	YBR247C	snap_masked-flattened_line_12-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.11&CDS=1-1386
OG0000726	YBR248C	maker-flattened_line_12-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-0.0&CDS=1-3069
OG0000727	YBR249C	snap_masked-flattened_line_12-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.8&CDS=1-1077
OG0000728	YBR251W	genemark-flattened_line_97-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_97-processed-gene-0.114&CDS=1-939
OG0000729	YBR254C	snap_masked-flattened_line_165-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_165-processed-gene-0.43&CDS=1-438
OG0000730	YBR255C-A	genemark-flattened_line_157-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_157-processed-gene-0.9&CDS=1-429
OG0000731	YBR255W	snap_masked-flattened_line_165-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_165-processed-gene-0.44&CDS=1-1935
OG0000732	YBR256C	snap_masked-flattened_line_46-processed-gene-0.165-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.165&CDS=1-702
OG0000733	YBR257W	snap_masked-flattened_line_12-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.16&CDS=1-867
OG0000734	YBR258C	genemark-flattened_line_18-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.8&CDS=1-302
OG0000735	YBR260C	maker-flattened_line_32-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_32-augustus-gene-0.7&CDS=1-2787
OG0000736	YBR261C	snap_masked-flattened_line_216-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_216-processed-gene-0.35&CDS=1-747
OG0000737	YBR265W	snap_masked-flattened_line_2-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.38&CDS=1-915
OG0000738	YBR267W	snap_masked-flattened_line_10-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.75&CDS=1-1254
OG0000739	YBR268W	snap_masked-flattened_line_10-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.97&CDS=1-306
OG0000740	YBR269C	snap_masked-flattened_line_10-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.76&CDS=1-414
OG0000741	YBR271W	genemark-flattened_line_46-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.70&CDS=1-981
OG0000742	YBR272C	snap_masked-flattened_line_147-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_147-processed-gene-0.60&CDS=1-1398
OG0000743	YBR274W	snap_masked-flattened_line_60-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.29&CDS=1-1734
OG0000744	YBR276C	snap_masked-flattened_line_4-processed-gene-2.122-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.122&CDS=1-3279
OG0000745	YBR279W	snap_masked-flattened_line_10-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.78&CDS=1-1311
OG0000746	YBR280C	snap_masked-flattened_line_111-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_111-processed-gene-0.40&CDS=1-1680
OG0000747	YBR281C	snap_masked-flattened_line_193-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_193-processed-gene-0.35&CDS=1-2607
OG0000748	YBR282W	snap_masked-flattened_line_18-processed-gene-1.85-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.85&CDS=1-429
OG0000749	YBR283C	snap_masked-flattened_line_216-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_216-processed-gene-0.26&CDS=1-1458
OG0000750	YBR286W	genemark-flattened_line_220-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_220-processed-gene-0.33&CDS=1-1551
OG0000751	YBR287W	genemark-flattened_line_127-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_127-processed-gene-0.59&CDS=1-837
OG0000752	YBR288C	snap_masked-flattened_line_18-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.79&CDS=1-1767
OG0000753	YBR291C	maker-flattened_line_6-snap-gene-2.65-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-2.65&CDS=1-888
OG0000754	YBR296C	snap_masked-flattened_line_62-processed-gene-0.172-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.172&CDS=1-1716
OG0000755	YCL001W	snap_masked-flattened_line_398-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_398-processed-gene-0.1&CDS=1-570
OG0000756	YCL004W	genemark-flattened_line_398-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_398-processed-gene-0.5&CDS=1-1500
OG0000757	YCL005W-A	augustus_masked-flattened_line_34-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.217&CDS=1-216
OG0000758	YCL010C	augustus_masked-flattened_line_2-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.112&CDS=1-2043
OG0000759	YCL012C	genemark-flattened_line_189-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_189-processed-gene-0.41&CDS=1-438
OG0000760	YCL014W	genemark-flattened_line_58-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.135&CDS=1-3891
OG0000761	YCL016C	snap_masked-flattened_line_58-processed-gene-0.178-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.178&CDS=1-1050
OG0000762	YCL017C	snap_masked-flattened_line_306-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_306-processed-gene-0.13&CDS=1-1377
OG0000763	YCL018W	maker-flattened_line_306-snap-gene-0.20-mRNA-1_1&gene=maker-flattened_line_306-snap-gene-0.20&CDS=1-1209
OG0000764	YCL029C	maker-flattened_line_89-snap-gene-0.47-mRNA-1_1&gene=maker-flattened_line_89-snap-gene-0.47&CDS=1-918
OG0000765	YCL030C	snap_masked-flattened_line_89-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_89-processed-gene-0.84&CDS=1-2544
OG0000766	YCL031C	snap_masked-flattened_line_30-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.8&CDS=1-888
OG0000767	YCL032W	snap_masked-flattened_line_141-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_141-processed-gene-0.44&CDS=1-1266
OG0000768	YCL033C	augustus_masked-flattened_line_26-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.42&CDS=1-489
OG0000769	YCL034W	genemark-flattened_line_26-processed-gene-0.191-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.191&CDS=1-1290
OG0000770	YCL038C	snap_masked-flattened_line_26-processed-gene-0.240-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.240&CDS=1-1719
OG0000771	YCL039W	snap_masked-flattened_line_8-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.1&CDS=1-1647
OG0000772	YCL045C	snap_masked-flattened_line_169-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_169-processed-gene-0.57&CDS=1-2607
OG0000773	YCL047C	snap_masked-flattened_line_187-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_187-processed-gene-0.27&CDS=1-840
OG0000774	YCL054W	snap_masked-flattened_line_189-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_189-processed-gene-0.67&CDS=1-2493
OG0000775	YCL055W	snap_masked-flattened_line_187-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_187-processed-gene-0.38&CDS=1-1134
OG0000776	YCL057C-A	snap_masked-flattened_line_286-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_286-processed-gene-0.20&CDS=1-246
OG0000777	YCL057W	maker-flattened_line_286-snap-gene-0.11-mRNA-1_1&gene=maker-flattened_line_286-snap-gene-0.11&CDS=1-4053
OG0000778	YCL059C	snap_masked-flattened_line_228-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_228-processed-gene-0.27&CDS=1-1017
OG0000779	YCL061C	snap_masked-flattened_line_228-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_228-processed-gene-0.29&CDS=1-2880
OG0000780	YCR002C	snap_masked-flattened_line_306-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_306-processed-gene-0.16&CDS=1-945
OG0000781	YCR003W	snap_masked-flattened_line_306-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_306-processed-gene-0.11&CDS=1-555
OG0000782	YCR008W	snap_masked-flattened_line_34-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.4&CDS=1-1785
OG0000783	YCR009C	maker-flattened_line_34-snap-gene-0.257-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-0.257&CDS=1-792
OG0000784	YCR012W	maker-flattened_line_141-augustus-gene-0.55-mRNA-1_1&gene=maker-flattened_line_141-augustus-gene-0.55&CDS=1-3171
OG0000785	YCR014C	snap_masked-flattened_line_4-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.67&CDS=1-1542
OG0000786	YCR015C	snap_masked-flattened_line_14-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.46&CDS=1-858
OG0000787	YCR016W	snap_masked-flattened_line_258-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_258-processed-gene-0.12&CDS=1-984
OG0000788	YCR017C	augustus_masked-flattened_line_240-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_240-processed-gene-0.19&CDS=1-1935
OG0000789	YCR019W	snap_masked-flattened_line_189-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_189-processed-gene-0.60&CDS=1-1041
OG0000790	YCR020C-A	snap_masked-flattened_line_189-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_189-processed-gene-0.72&CDS=1-297
OG0000791	YCR021C	maker-flattened_line_173-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_173-snap-gene-0.2&CDS=1-1812
OG0000792	YCR024C	snap_masked-flattened_line_91-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_91-processed-gene-0.104&CDS=1-1446
OG0000793	YCR027C	snap_masked-flattened_line_48-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.75&CDS=1-552
OG0000794	YCR028C	augustus_masked-flattened_line_12-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.91&CDS=1-1938
OG0000795	YCR028C-A	snap_masked-flattened_line_28-processed-gene-0.148-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.148&CDS=1-393
OG0000796	YCR030C	snap_masked-flattened_line_28-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.112&CDS=1-2544
OG0000797	YCR032W	snap_masked-flattened_line_83-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.67&CDS=1-6234
OG0000798	YCR033W	snap_masked-flattened_line_83-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.58&CDS=1-3789
OG0000799	YCR035C	snap_masked-flattened_line_83-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.69&CDS=1-1041
OG0000800	YCR036W	snap_masked-flattened_line_113-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.39&CDS=1-1014
OG0000801	YCR042C	genemark-flattened_line_103-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_103-processed-gene-0.22&CDS=1-4848
OG0000802	YCR043C	snap_masked-flattened_line_26-processed-gene-0.246-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.246&CDS=1-609
OG0000803	YCR044C	snap_masked-flattened_line_343-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_343-processed-gene-0.12&CDS=1-1065
OG0000804	YCR045W-A	snap_masked-flattened_line_87-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.66&CDS=1-240
OG0000805	YCR047C	augustus_masked-flattened_line_137-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_137-processed-gene-0.77&CDS=1-2469
OG0000806	YCR051W	snap_masked-flattened_line_137-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_137-processed-gene-0.46&CDS=1-669
OG0000807	YCR053W	maker-flattened_line_8-snap-gene-1.93-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-1.93&CDS=1-2979
OG0000808	YCR054C	snap_masked-flattened_line_8-processed-gene-1.209-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.209&CDS=1-1437
OG0000809	YCR057C	snap_masked-flattened_line_8-processed-gene-1.208-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.208&CDS=1-2748
OG0000810	YCR059C	snap_masked-flattened_line_8-processed-gene-1.207-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.207&CDS=1-906
OG0000811	YCR060W	snap_masked-flattened_line_8-processed-gene-1.255-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.255&CDS=1-624
OG0000812	YCR063W	snap_masked-flattened_line_22-processed-gene-1.115-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.115&CDS=1-477
OG0000813	YCR065W	augustus_masked-flattened_line_22-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.47&CDS=1-1896
OG0000814	YCR066W	genemark-flattened_line_308-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_308-processed-gene-0.1&CDS=1-1257
OG0000815	YCR068W	snap_masked-flattened_line_22-processed-gene-1.108-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.108&CDS=1-1524
OG0000816	YCR071C	snap_masked-flattened_line_42-processed-gene-0.175-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.175&CDS=1-420
OG0000817	YCR072C	maker-flattened_line_32-snap-gene-0.90-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-0.90&CDS=1-2166
OG0000818	YCR077C	snap_masked-flattened_line_42-processed-gene-0.215-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.215&CDS=1-2481
OG0000819	YCR079W	snap_masked-flattened_line_42-processed-gene-0.220-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.220&CDS=1-1350
OG0000820	YCR081W	augustus_masked-flattened_line_143-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_143-processed-gene-0.5&CDS=1-4782
OG0000821	YCR084C	snap_masked-flattened_line_167-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_167-processed-gene-0.37&CDS=1-1878
OG0000822	YCR086W	augustus_masked-flattened_line_137-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_137-processed-gene-0.95&CDS=1-915
OG0000823	YCR088W	snap_masked-flattened_line_226-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_226-processed-gene-0.11&CDS=1-1848
OG0000824	YCR090C	snap_masked-flattened_line_34-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.25&CDS=1-483
OG0000825	YCR091W	maker-flattened_line_34-snap-gene-0.268-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-0.268&CDS=1-2427
OG0000826	YCR092C	snap_masked-flattened_line_34-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.24&CDS=1-2934
OG0000827	YCR095C	snap_masked-flattened_line_56-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.71&CDS=1-1080
OG0000828	YCR098C	snap_masked-flattened_line_99-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_99-processed-gene-0.7&CDS=1-1536
OG0000829	YDL001W	snap_masked-flattened_line_280-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_280-processed-gene-0.22&CDS=1-1305
