	Candida_sojae	Saccharomyces_cerevisiae
OG0000222	augustus_masked-LMTL01000082.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LMTL01000082.1-processed-gene-0.20&CDS=1-2613, augustus_masked-LMTL01000082.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LMTL01000082.1-processed-gene-0.21&CDS=1-2160	YDR034C
OG0000223	augustus_masked-LMTL01000082.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LMTL01000082.1-processed-gene-0.23&CDS=1-591	YDR134C, YLR110C
OG0000224	maker-LMTL01000083.1-snap-gene-0.0-mRNA-1_1&gene=maker-LMTL01000083.1-snap-gene-0.0&CDS=1-3786	YLR284C, YOR180C
OG0000225	augustus_masked-LMTL01000083.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LMTL01000083.1-processed-gene-0.37&CDS=1-2349	YMR119W, YNL008C
OG0000226	augustus_masked-LMTL01000084.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000084.1-processed-gene-0.9&CDS=1-1443, augustus_masked-LMTL01000103.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000103.1-processed-gene-0.0&CDS=1-1443	YOL123W
OG0000227	augustus_masked-LMTL01000084.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000084.1-processed-gene-0.11&CDS=1-2763, augustus_masked-LMTL01000103.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000103.1-processed-gene-0.4&CDS=1-2763	YDL031W
OG0000228	augustus_masked-LMTL01000085.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-LMTL01000085.1-processed-gene-0.31&CDS=1-3051, augustus_masked-LMTL01000170.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LMTL01000170.1-processed-gene-0.7&CDS=1-3051	YGR125W
OG0000229	augustus_masked-LMTL01000087.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000087.1-processed-gene-0.2&CDS=1-1173, snap_masked-LMTL01000087.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-LMTL01000087.1-processed-gene-0.42&CDS=1-1173	YCR044C
OG0000230	augustus_masked-LMTL01000087.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LMTL01000087.1-processed-gene-0.12&CDS=1-900, augustus_masked-LMTL01000087.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000087.1-processed-gene-0.15&CDS=1-900	YLR172C
OG0000231	augustus_masked-LMTL01000088.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000088.1-processed-gene-0.2&CDS=1-930, augustus_masked-LMTL01000220.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000220.1-processed-gene-0.4&CDS=1-921	YDL124W
OG0000232	augustus_masked-LMTL01000090.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LMTL01000090.1-processed-gene-0.32&CDS=1-435	YGR118W, YPR132W
OG0000233	maker-LMTL01000094.1-augustus-gene-0.10-mRNA-1_1&gene=maker-LMTL01000094.1-augustus-gene-0.10&CDS=1-474	YHR141C, YNL162W
OG0000234	maker-LMTL01000095.1-augustus-gene-0.28-mRNA-1_1&gene=maker-LMTL01000095.1-augustus-gene-0.28&CDS=1-1947	YLR270W, YOR173W
OG0000235	augustus_masked-LMTL01000095.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LMTL01000095.1-processed-gene-0.22&CDS=1-2067, augustus_masked-LMTL01000326.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000326.1-processed-gene-0.1&CDS=1-1233	YMR116C
OG0000236	augustus_masked-LMTL01000096.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000096.1-processed-gene-0.1&CDS=1-2076	YGR241C, YHR161C
OG0000237	snap_masked-LMTL01000097.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LMTL01000097.1-processed-gene-0.38&CDS=1-492	YDR178W, YLR164W
OG0000238	snap_masked-LMTL01000097.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LMTL01000097.1-processed-gene-0.19&CDS=1-1884	YDR206W, YLR233C
OG0000239	augustus_masked-LMTL01000098.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.76&CDS=1-2457	YGR056W, YLR357W
OG0000240	augustus_masked-LMTL01000098.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.98&CDS=1-5715	YGR032W, YLR342W
OG0000241	augustus_masked-LMTL01000098.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.99&CDS=1-1674	YGR279C, YMR305C
OG0000242	maker-LMTL01000099.1-snap-gene-0.211-mRNA-1_1&gene=maker-LMTL01000099.1-snap-gene-0.211&CDS=1-981	YBR189W, YPL081W
OG0000243	augustus_masked-LMTL01000099.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.15&CDS=1-2055, snap_masked-LMTL01000099.1-processed-gene-0.112-mRNA-1_1&gene=snap_masked-LMTL01000099.1-processed-gene-0.112&CDS=1-2307	YOR022C
OG0000244	snap_masked-LMTL01000099.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LMTL01000099.1-processed-gene-0.77&CDS=1-1041	YDL048C, YLR375W
OG0000245	augustus_masked-LMTL01000099.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.49&CDS=1-2526	YDR385W, YOR133W
OG0000246	augustus_masked-LMTL01000101.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.32&CDS=1-2013	YDL224C, YNL197C
OG0000247	augustus_masked-LMTL01000101.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.33&CDS=1-834	YDL222C, YNL194C
OG0000248	maker-LMTL01000101.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LMTL01000101.1-augustus-gene-0.1&CDS=1-1437	YNL108C, YOR110W
OG0000249	augustus_masked-LMTL01000102.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.38&CDS=1-777, augustus_masked-LMTL01000188.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000188.1-processed-gene-0.9&CDS=1-777	YAR008W
OG0000250	augustus_masked-LMTL01000102.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.29&CDS=1-1467	YEL047C, YJR051W
OG0000251	augustus_masked-LMTL01000102.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.41&CDS=1-321	YOR234C, YPL143W
OG0000252	augustus_masked-LMTL01000102.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.42&CDS=1-1278	YOR237W, YPL145C
OG0000253	augustus_masked-LMTL01000102.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.45&CDS=1-1458	YOR231W, YPL140C
OG0000254	augustus_masked-LMTL01000102.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.34&CDS=1-1437, augustus_masked-LMTL01000216.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000216.1-processed-gene-0.3&CDS=1-4110	YGR134W
OG0000255	augustus_masked-LMTL01000103.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000103.1-processed-gene-0.3&CDS=1-435	YNL302C, YOL121C
OG0000256	augustus_masked-LMTL01000103.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LMTL01000103.1-processed-gene-0.7&CDS=1-783	YHL033C, YLL045C
OG0000257	augustus_masked-LMTL01000106.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.2&CDS=1-411	YDR447C, YML024W
OG0000258	augustus_masked-LMTL01000107.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000107.1-processed-gene-0.8&CDS=1-1560, augustus_masked-LMTL01000169.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000169.1-processed-gene-0.2&CDS=1-1560	YLL024C
OG0000259	augustus_masked-LMTL01000108.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-LMTL01000108.1-processed-gene-0.38&CDS=1-654	YML106W, YMR271C
OG0000260	augustus_masked-LMTL01000109.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LMTL01000109.1-processed-gene-0.29&CDS=1-1368	YBR118W, YPR080W
OG0000261	maker-LMTL01000112.1-snap-gene-0.91-mRNA-1_1&gene=maker-LMTL01000112.1-snap-gene-0.91&CDS=1-1032	YMR194W, YPL249C-A
OG0000262	augustus_masked-LMTL01000113.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-LMTL01000113.1-processed-gene-0.36&CDS=1-999	YKR076W, YMR251W
OG0000263	maker-LMTL01000114.1-augustus-gene-0.10-mRNA-1_1&gene=maker-LMTL01000114.1-augustus-gene-0.10&CDS=1-354	YMR230W, YOR293W
OG0000264	augustus_masked-LMTL01000115.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000115.1-processed-gene-0.0&CDS=1-1224	YGR010W, YLR328W
OG0000265	augustus_masked-LMTL01000115.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000115.1-processed-gene-0.9&CDS=1-1182	YLR307W, YLR308W
OG0000266	augustus_masked-LMTL01000115.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LMTL01000115.1-processed-gene-0.12&CDS=1-4152	YDR122W, YLR096W
OG0000267	augustus_masked-LMTL01000116.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LMTL01000116.1-processed-gene-0.7&CDS=1-2031	YLR098C, YOR337W
OG0000268	snap_masked-LMTL01000117.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-LMTL01000117.1-processed-gene-0.15&CDS=1-1068	YAL034C, YOR338W
OG0000269	augustus_masked-LMTL01000117.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-LMTL01000117.1-processed-gene-0.33&CDS=1-1389	YBR161W, YPL057C
OG0000270	snap_masked-LMTL01000119.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LMTL01000119.1-processed-gene-0.2&CDS=1-3183	YDR409W, YOR156C
OG0000271	augustus_masked-LMTL01000119.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000119.1-processed-gene-0.28&CDS=1-786	YHR203C, YJR145C
OG0000272	augustus_masked-LMTL01000122.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LMTL01000122.1-processed-gene-0.24&CDS=1-3069	YDR326C, YHR080C
OG0000273	augustus_masked-LMTL01000125.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-LMTL01000125.1-processed-gene-0.53&CDS=1-1974	YER054C, YIL045W
OG0000274	augustus_masked-LMTL01000125.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-LMTL01000125.1-processed-gene-0.89&CDS=1-1329	YMR177W, YPL224C
OG0000275	genemark-LMTL01000126.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LMTL01000126.1-processed-gene-0.5&CDS=1-498	YGR085C, YPR102C
OG0000276	augustus_masked-LMTL01000170.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000170.1-processed-gene-0.6&CDS=1-564, snap_masked-LMTL01000128.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-LMTL01000128.1-processed-gene-0.13&CDS=1-564	YDL046W
OG0000277	augustus_masked-LMTL01000128.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000128.1-processed-gene-0.2&CDS=1-1557, augustus_masked-LMTL01000293.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000293.1-processed-gene-0.6&CDS=1-1140	YGR260W
OG0000278	augustus_masked-LMTL01000130.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000130.1-processed-gene-0.16&CDS=1-4221	YLL016W, YLR310C
OG0000279	augustus_masked-LMTL01000130.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LMTL01000130.1-processed-gene-0.25&CDS=1-390	YBL002W, YDR224C
OG0000280	augustus_masked-LMTL01000130.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000130.1-processed-gene-0.17&CDS=1-396	YBL003C, YDR225W
OG0000281	augustus_masked-LMTL01000131.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LMTL01000131.1-processed-gene-0.27&CDS=1-954	YCL050C, YDR530C
OG0000282	maker-LMTL01000134.1-snap-gene-0.17-mRNA-1_1&gene=maker-LMTL01000134.1-snap-gene-0.17&CDS=1-2613, snap_masked-LMTL01000134.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-LMTL01000134.1-processed-gene-0.28&CDS=1-1080	YOR355W
OG0000283	maker-LMTL01000135.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LMTL01000135.1-augustus-gene-0.0&CDS=1-393	YHL001W, YKL006W
OG0000284	maker-LMTL01000136.1-augustus-gene-0.6-mRNA-1_1&gene=maker-LMTL01000136.1-augustus-gene-0.6&CDS=1-4227, snap_masked-LMTL01000408.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LMTL01000408.1-processed-gene-0.0&CDS=1-648	YCR016W
OG0000285	augustus_masked-LMTL01000139.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000139.1-processed-gene-0.3&CDS=1-3009	YCR037C, YJL198W
OG0000286	maker-LMTL01000140.1-snap-gene-0.33-mRNA-1_1&gene=maker-LMTL01000140.1-snap-gene-0.33&CDS=1-3267	YKL072W, YMR053C
OG0000287	augustus_masked-LMTL01000148.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-LMTL01000148.1-processed-gene-0.31&CDS=1-2670	YDR458C, YML034W
OG0000288	snap_masked-LMTL01000148.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LMTL01000148.1-processed-gene-0.4&CDS=1-1146, snap_masked-LMTL01000148.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LMTL01000148.1-processed-gene-0.7&CDS=1-1146	YDR374C
OG0000289	snap_masked-LMTL01000148.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LMTL01000148.1-processed-gene-0.5&CDS=1-753, snap_masked-LMTL01000148.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LMTL01000148.1-processed-gene-0.8&CDS=1-753	YOR125C
OG0000290	augustus_masked-LMTL01000148.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000148.1-processed-gene-0.28&CDS=1-1464, augustus_masked-LMTL01000148.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LMTL01000148.1-processed-gene-0.30&CDS=1-1464	YOL069W
OG0000291	augustus_masked-LMTL01000148.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-LMTL01000148.1-processed-gene-0.39&CDS=1-2466, augustus_masked-LMTL01000148.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LMTL01000148.1-processed-gene-0.43&CDS=1-2466	YDL035C
OG0000292	augustus_masked-LMTL01000150.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000150.1-processed-gene-0.28&CDS=1-762	YER062C, YIL053W
OG0000293	augustus_masked-LMTL01000154.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-LMTL01000154.1-processed-gene-0.71&CDS=1-1395	YMR253C, YPL264C
OG0000294	augustus_masked-LMTL01000154.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-LMTL01000154.1-processed-gene-0.87&CDS=1-2259	YGL071W, YPL202C
OG0000295	augustus_masked-LMTL01000155.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000155.1-processed-gene-0.13&CDS=1-3555	YDR379W, YOR127W
OG0000296	snap_masked-LMTL01000158.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-LMTL01000158.1-processed-gene-0.45&CDS=1-6726, snap_masked-LMTL01000158.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LMTL01000158.1-processed-gene-0.52&CDS=1-6726	YPL085W
OG0000297	augustus_masked-LMTL01000158.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.2&CDS=1-1602, augustus_masked-LMTL01000158.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.9&CDS=1-1602	YKL116C
OG0000298	augustus_masked-LMTL01000158.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.10&CDS=1-3354, augustus_masked-LMTL01000158.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.3&CDS=1-3354	YLR071C
OG0000299	augustus_masked-LMTL01000158.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.16&CDS=1-2211, augustus_masked-LMTL01000158.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.23&CDS=1-2211	YOL070C
OG0000300	augustus_masked-LMTL01000158.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.19&CDS=1-831, augustus_masked-LMTL01000158.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.26&CDS=1-831	YJR024C
OG0000301	augustus_masked-LMTL01000158.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.12&CDS=1-600, augustus_masked-LMTL01000158.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.5&CDS=1-600	YKR035W-A
OG0000302	augustus_masked-LMTL01000158.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.20&CDS=1-4320, augustus_masked-LMTL01000158.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.27&CDS=1-4320	YKL101W
OG0000303	augustus_masked-LMTL01000158.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.13&CDS=1-453, augustus_masked-LMTL01000158.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.6&CDS=1-453	YKL067W
OG0000304	augustus_masked-LMTL01000158.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.14&CDS=1-2316, augustus_masked-LMTL01000158.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.7&CDS=1-2316	YLR055C
OG0000305	augustus_masked-LMTL01000158.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.21&CDS=1-2076, augustus_masked-LMTL01000158.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000158.1-processed-gene-0.28&CDS=1-2076	YFL027C
OG0000306	augustus_masked-LMTL01000159.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-LMTL01000159.1-processed-gene-0.42&CDS=1-2415	YER066W, YFL009W
OG0000307	augustus_masked-LMTL01000160.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-LMTL01000160.1-processed-gene-0.71&CDS=1-2178	YDL093W, YDL095W
OG0000308	augustus_masked-LMTL01000160.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-LMTL01000160.1-processed-gene-0.73&CDS=1-1317	YDR312W, YHR066W
OG0000309	augustus_masked-LMTL01000160.1-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-LMTL01000160.1-processed-gene-0.111&CDS=1-1233, genemark-LMTL01000271.1-processed-gene-0.57-mRNA-1_1&gene=genemark-LMTL01000271.1-processed-gene-0.57&CDS=1-1356	YPL092W
OG0000310	snap_masked-LMTL01000161.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LMTL01000161.1-processed-gene-0.62&CDS=1-426	YDL083C, YMR143W
OG0000311	augustus_masked-LMTL01000161.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LMTL01000161.1-processed-gene-0.27&CDS=1-606	YDL082W, YMR142C
OG0000312	augustus_masked-LMTL01000161.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000161.1-processed-gene-0.28&CDS=1-1308	YLR300W, YOR190W
OG0000313	augustus_masked-LMTL01000161.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-LMTL01000161.1-processed-gene-0.42&CDS=1-1023, maker-LMTL01000161.1-snap-gene-0.0-mRNA-1_1&gene=maker-LMTL01000161.1-snap-gene-0.0&CDS=1-3333	YNL274C
OG0000314	augustus_masked-LMTL01000162.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000162.1-processed-gene-0.13&CDS=1-1017	YCR073W-A, YNR034W
OG0000315	augustus_masked-LMTL01000164.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000164.1-processed-gene-0.17&CDS=1-2391, augustus_masked-LMTL01000164.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LMTL01000164.1-processed-gene-0.20&CDS=1-2391	YGR261C
OG0000316	augustus_masked-LMTL01000164.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000164.1-processed-gene-0.18&CDS=1-2991, augustus_masked-LMTL01000164.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LMTL01000164.1-processed-gene-0.21&CDS=1-2991	YGR258C
OG0000317	snap_masked-LMTL01000164.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LMTL01000164.1-processed-gene-0.0&CDS=1-2481, snap_masked-LMTL01000164.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LMTL01000164.1-processed-gene-0.1&CDS=1-2481	YNL085W
OG0000318	augustus_masked-LMTL01000171.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000171.1-processed-gene-0.6&CDS=1-606	YBL072C, YER102W
OG0000319	augustus_masked-LMTL01000171.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000171.1-processed-gene-0.11&CDS=1-4002	YLR031W, YMR124W
OG0000320	augustus_masked-LMTL01000173.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000173.1-processed-gene-0.8&CDS=1-1080	YCL037C, YDR515W
OG0000321	augustus_masked-LMTL01000173.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000173.1-processed-gene-0.9&CDS=1-1818	YBR238C, YGL107C
OG0000322	augustus_masked-LMTL01000173.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LMTL01000173.1-processed-gene-0.30&CDS=1-3651	YAL017W, YOL045W
OG0000323	augustus_masked-LMTL01000173.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000173.1-processed-gene-0.16&CDS=1-1527	YEL041W, YJR049C
OG0000324	genemark-LMTL01000179.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LMTL01000179.1-processed-gene-0.5&CDS=1-1002, genemark-LMTL01000188.1-processed-gene-0.30-mRNA-1_1&gene=genemark-LMTL01000188.1-processed-gene-0.30&CDS=1-1002	YIL061C
OG0000325	augustus_masked-LMTL01000179.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LMTL01000179.1-processed-gene-0.26&CDS=1-1152, augustus_masked-LMTL01000188.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000188.1-processed-gene-0.6&CDS=1-1152	YIL063C
OG0000326	augustus_masked-LMTL01000179.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-LMTL01000179.1-processed-gene-0.34&CDS=1-741, augustus_masked-LMTL01000188.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000188.1-processed-gene-0.11&CDS=1-741	YIL064W
OG0000327	snap_masked-LMTL01000179.1-processed-gene-0.45-mRNA-1_1&gene=snap_masked-LMTL01000179.1-processed-gene-0.45&CDS=1-1374, snap_masked-LMTL01000188.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LMTL01000188.1-processed-gene-0.19&CDS=1-1374	YBR195C
OG0000328	augustus_masked-LMTL01000179.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LMTL01000179.1-processed-gene-0.35&CDS=1-699, augustus_masked-LMTL01000188.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LMTL01000188.1-processed-gene-0.12&CDS=1-699	YPL078C
OG0000329	augustus_masked-LMTL01000179.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000179.1-processed-gene-0.28&CDS=1-4032, genemark-LMTL01000188.1-processed-gene-0.33-mRNA-1_1&gene=genemark-LMTL01000188.1-processed-gene-0.33&CDS=1-3591	YGL251C
OG0000330	augustus_masked-LMTL01000182.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.16&CDS=1-1839	YDL229W, YNL209W
OG0000331	augustus_masked-LMTL01000182.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.18&CDS=1-2838	YBR084W, YGR204W
OG0000332	augustus_masked-LMTL01000185.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000185.1-processed-gene-0.10&CDS=1-1422	YCL040W, YDR516C
OG0000333	genemark-LMTL01000185.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LMTL01000185.1-processed-gene-0.1&CDS=1-1428	YFL048C, YLR080W
OG0000334	augustus_masked-LMTL01000190.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.70&CDS=1-813	YBR183W, YPL087W
OG0000335	augustus_masked-LMTL01000191.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000191.1-processed-gene-0.15&CDS=1-1503	YMR169C, YMR170C
OG0000336	augustus_masked-LMTL01000194.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000194.1-processed-gene-0.0&CDS=1-951, maker-LMTL01000360.1-augustus-gene-0.3-mRNA-1_1&gene=maker-LMTL01000360.1-augustus-gene-0.3&CDS=1-1338	YMR041C
OG0000337	genemark-LMTL01000194.1-processed-gene-0.49-mRNA-1_1&gene=genemark-LMTL01000194.1-processed-gene-0.49&CDS=1-687, genemark-LMTL01000194.1-processed-gene-0.52-mRNA-1_1&gene=genemark-LMTL01000194.1-processed-gene-0.52&CDS=1-687	YKL095W
OG0000338	augustus_masked-LMTL01000194.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000194.1-processed-gene-0.15&CDS=1-4416, augustus_masked-LMTL01000194.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000194.1-processed-gene-0.8&CDS=1-4416	YIL068C
OG0000339	augustus_masked-LMTL01000194.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000194.1-processed-gene-0.16&CDS=1-1500, augustus_masked-LMTL01000194.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000194.1-processed-gene-0.9&CDS=1-1500	YKL047W
