	Metschnikowia_lockheadii	Saccharomyces_cerevisiae
OG0000328	snap_masked-loc-_s195-processed-gene-2.120-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-2.120&CDS=1-3375	YGR238C, YHR158C
OG0000329	snap_masked-loc-_s195-processed-gene-2.140-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-2.140&CDS=1-363, snap_masked-loc-_s228-processed-gene-0.27-mRNA-1_1&gene=snap_masked-loc-_s228-processed-gene-0.27&CDS=1-369	YNL322C
OG0000330	snap_masked-loc-_s195-processed-gene-2.102-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-2.102&CDS=1-1869, snap_masked-loc-_s561-processed-gene-0.100-mRNA-1_1&gene=snap_masked-loc-_s561-processed-gene-0.100&CDS=1-1947	YNL101W
OG0000331	snap_masked-loc-_s195-processed-gene-2.142-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-2.142&CDS=1-2742	YDR251W, YPL032C
OG0000332	genemark-loc-_s195-processed-gene-2.31-mRNA-1_1&gene=genemark-loc-_s195-processed-gene-2.31&CDS=1-534	YOR226C, YPL135W
OG0000333	maker-loc-_s445-snap-gene-0.27-mRNA-1_1&gene=maker-loc-_s445-snap-gene-0.27&CDS=1-3039, snap_masked-loc-_s195-processed-gene-2.115-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-2.115&CDS=1-1191	YDR021W
OG0000334	snap_masked-loc-_s195-processed-gene-2.118-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-2.118&CDS=1-1281	YHR179W, YPL171C
OG0000335	genemark-loc-_s20-processed-gene-0.25-mRNA-1_1&gene=genemark-loc-_s20-processed-gene-0.25&CDS=1-1443, snap_masked-loc-_s293-processed-gene-0.3-mRNA-1_1&gene=snap_masked-loc-_s293-processed-gene-0.3&CDS=1-306	YCR079W
OG0000336	genemark-loc-_s20-processed-gene-0.26-mRNA-1_1&gene=genemark-loc-_s20-processed-gene-0.26&CDS=1-354	YCL035C, YDR513W
OG0000337	snap_masked-loc-_s203-processed-gene-0.13-mRNA-1_1&gene=snap_masked-loc-_s203-processed-gene-0.13&CDS=1-1383	YDR247W, YPL026C
OG0000338	maker-loc-_s204-augustus-gene-0.2-mRNA-1_1&gene=maker-loc-_s204-augustus-gene-0.2&CDS=1-3420	YFL053W, YML070W
OG0000339	snap_masked-loc-_s204-processed-gene-0.56-mRNA-1_1&gene=snap_masked-loc-_s204-processed-gene-0.56&CDS=1-618, snap_masked-loc-_s400-processed-gene-1.77-mRNA-1_1&gene=snap_masked-loc-_s400-processed-gene-1.77&CDS=1-618	YNR018W
OG0000340	snap_masked-loc-_s204-processed-gene-0.72-mRNA-1_1&gene=snap_masked-loc-_s204-processed-gene-0.72&CDS=1-1263, snap_masked-loc-_s9-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s9-processed-gene-0.6&CDS=1-1284	YDL131W
OG0000341	snap_masked-loc-_s204-processed-gene-0.31-mRNA-1_1&gene=snap_masked-loc-_s204-processed-gene-0.31&CDS=1-996, snap_masked-loc-_s696-processed-gene-0.145-mRNA-1_1&gene=snap_masked-loc-_s696-processed-gene-0.145&CDS=1-984	YOR246C
OG0000342	maker-loc-_s222-snap-gene-0.3-mRNA-1_1&gene=maker-loc-_s222-snap-gene-0.3&CDS=1-2205, snap_masked-loc-_s81-processed-gene-0.28-mRNA-1_1&gene=snap_masked-loc-_s81-processed-gene-0.28&CDS=1-924	YGR086C
OG0000343	snap_masked-loc-_s222-processed-gene-0.67-mRNA-1_1&gene=snap_masked-loc-_s222-processed-gene-0.67&CDS=1-1287	YHR208W, YJR148W
OG0000344	snap_masked-loc-_s222-processed-gene-0.50-mRNA-1_1&gene=snap_masked-loc-_s222-processed-gene-0.50&CDS=1-258, snap_masked-loc-_s244-processed-gene-4.45-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-4.45&CDS=1-2712	YHR172W
OG0000345	genemark-loc-_s222-processed-gene-0.18-mRNA-1_1&gene=genemark-loc-_s222-processed-gene-0.18&CDS=1-906, snap_masked-loc-_s368-processed-gene-0.121-mRNA-1_1&gene=snap_masked-loc-_s368-processed-gene-0.121&CDS=1-966	YGR060W
OG0000346	augustus_masked-loc-_s224-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-loc-_s224-processed-gene-0.104&CDS=1-3291	YKL132C, YMR113W
OG0000347	snap_masked-loc-_s224-processed-gene-0.58-mRNA-1_1&gene=snap_masked-loc-_s224-processed-gene-0.58&CDS=1-2457	YDR069C, YER144C
OG0000348	augustus_masked-loc-_s93-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-loc-_s93-processed-gene-0.31&CDS=1-2862, snap_masked-loc-_s224-processed-gene-0.89-mRNA-1_1&gene=snap_masked-loc-_s224-processed-gene-0.89&CDS=1-2349	YPR003C
OG0000349	snap_masked-loc-_s224-processed-gene-0.68-mRNA-1_1&gene=snap_masked-loc-_s224-processed-gene-0.68&CDS=1-1827, snap_masked-loc-_s49-processed-gene-2.232-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.232&CDS=1-1596	YLR248W
OG0000350	snap_masked-loc-_s224-processed-gene-0.97-mRNA-1_1&gene=snap_masked-loc-_s224-processed-gene-0.97&CDS=1-1197	YBR066C, YDR043C
OG0000351	augustus_masked-loc-_s224-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-loc-_s224-processed-gene-0.138&CDS=1-198, maker-loc-_s416-augustus-gene-0.5-mRNA-1_1&gene=maker-loc-_s416-augustus-gene-0.5&CDS=1-1716	YLR051C
OG0000352	maker-loc-_s228-snap-gene-0.34-mRNA-1_1&gene=maker-loc-_s228-snap-gene-0.34&CDS=1-585	YLR287C-A, YOR182C
OG0000353	augustus_masked-loc-_s230-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-loc-_s230-processed-gene-0.48&CDS=1-1620, genemark-loc-_s445-processed-gene-1.121-mRNA-1_1&gene=genemark-loc-_s445-processed-gene-1.121&CDS=1-1827	YGR123C
OG0000354	snap_masked-loc-_s232-processed-gene-0.81-mRNA-1_1&gene=snap_masked-loc-_s232-processed-gene-0.81&CDS=1-966	YJL133W, YKR052C
OG0000355	snap_masked-loc-_s232-processed-gene-0.69-mRNA-1_1&gene=snap_masked-loc-_s232-processed-gene-0.69&CDS=1-2943	YGL049C, YGR162W
OG0000356	snap_masked-loc-_s232-processed-gene-1.36-mRNA-1_1&gene=snap_masked-loc-_s232-processed-gene-1.36&CDS=1-4119	YCR073C, YNR031C
OG0000357	maker-loc-_s232-snap-gene-1.69-mRNA-1_1&gene=maker-loc-_s232-snap-gene-1.69&CDS=1-2439, snap_masked-loc-_s309-processed-gene-0.29-mRNA-1_1&gene=snap_masked-loc-_s309-processed-gene-0.29&CDS=1-2826	YOR270C
OG0000358	snap_masked-loc-_s234-processed-gene-0.10-mRNA-1_1&gene=snap_masked-loc-_s234-processed-gene-0.10&CDS=1-516	YGR085C, YPR102C
OG0000359	augustus_masked-loc-_s238-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-loc-_s238-processed-gene-0.29&CDS=1-1311, snap_masked-loc-_s632-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s632-processed-gene-0.8&CDS=1-3078	YDR430C
OG0000360	snap_masked-loc-_s24-processed-gene-0.51-mRNA-1_1&gene=snap_masked-loc-_s24-processed-gene-0.51&CDS=1-1737	YER054C, YIL045W
OG0000361	snap_masked-loc-_s24-processed-gene-0.59-mRNA-1_1&gene=snap_masked-loc-_s24-processed-gene-0.59&CDS=1-414	YER057C, YIL051C
OG0000362	snap_masked-loc-_s241-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_s241-processed-gene-0.2&CDS=1-315	YGR209C, YLR043C
OG0000363	snap_masked-loc-_s241-processed-gene-0.27-mRNA-1_1&gene=snap_masked-loc-_s241-processed-gene-0.27&CDS=1-318	YHR141C, YNL162W
OG0000364	snap_masked-loc-_s244-processed-gene-0.63-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-0.63&CDS=1-768	YDR066C, YER139C
OG0000365	augustus_masked-loc-_s244-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-loc-_s244-processed-gene-0.134&CDS=1-3153	YML100W, YMR261C
OG0000366	snap_masked-loc-_s244-processed-gene-0.96-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-0.96&CDS=1-1662, snap_masked-loc-_s379-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s379-processed-gene-0.17&CDS=1-1779	YDL174C
OG0000367	snap_masked-loc-_s244-processed-gene-0.70-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-0.70&CDS=1-357	YFL034C-A, YLR061W
OG0000368	snap_masked-loc-_s244-processed-gene-0.102-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-0.102&CDS=1-1020	YAL034C, YOR338W
OG0000369	genemark-loc-_s244-processed-gene-1.108-mRNA-1_1&gene=genemark-loc-_s244-processed-gene-1.108&CDS=1-6393, snap_masked-loc-_s649-processed-gene-0.15-mRNA-1_1&gene=snap_masked-loc-_s649-processed-gene-0.15&CDS=1-5655	YGR032W
OG0000370	genemark-loc-_s244-processed-gene-1.113-mRNA-1_1&gene=genemark-loc-_s244-processed-gene-1.113&CDS=1-2496	YFR015C, YLR258W
OG0000371	snap_masked-loc-_s244-processed-gene-1.12-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-1.12&CDS=1-1782	YHR117W, YNL121C
OG0000372	snap_masked-loc-_s244-processed-gene-1.14-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-1.14&CDS=1-1185	YHR123W, YNL130C
OG0000373	snap_masked-loc-_s244-processed-gene-1.43-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-1.43&CDS=1-3894	YDR409W, YOR156C
OG0000374	genemark-loc-_s244-processed-gene-1.133-mRNA-1_1&gene=genemark-loc-_s244-processed-gene-1.133&CDS=1-2727	YMR237W, YOR299W
OG0000375	snap_masked-loc-_s244-processed-gene-2.129-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-2.129&CDS=1-588	YDR453C, YML028W
OG0000376	snap_masked-loc-_s244-processed-gene-2.110-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-2.110&CDS=1-678	YDR185C, YLR168C
OG0000377	snap_masked-loc-_s244-processed-gene-2.131-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-2.131&CDS=1-1314, snap_masked-loc-_s602-processed-gene-0.99-mRNA-1_1&gene=snap_masked-loc-_s602-processed-gene-0.99&CDS=1-1404	YDR182W
OG0000378	maker-loc-_s244-snap-gene-2.5-mRNA-1_1&gene=maker-loc-_s244-snap-gene-2.5&CDS=1-1746	YDR358W, YHR108W
OG0000379	genemark-loc-_s244-processed-gene-2.49-mRNA-1_1&gene=genemark-loc-_s244-processed-gene-2.49&CDS=1-390, maker-loc-_s556-snap-gene-0.12-mRNA-1_1&gene=maker-loc-_s556-snap-gene-0.12&CDS=1-390	YJL190C
OG0000380	snap_masked-loc-_s244-processed-gene-3.82-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-3.82&CDS=1-1347, snap_masked-loc-_s522-processed-gene-0.23-mRNA-1_1&gene=snap_masked-loc-_s522-processed-gene-0.23&CDS=1-1377	YBR028C
OG0000381	snap_masked-loc-_s244-processed-gene-3.108-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-3.108&CDS=1-2622, snap_masked-loc-_s361-processed-gene-0.66-mRNA-1_1&gene=snap_masked-loc-_s361-processed-gene-0.66&CDS=1-2730	YLR241W
OG0000382	snap_masked-loc-_s244-processed-gene-3.97-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-3.97&CDS=1-369	YHR132W-A, YNL157W
OG0000383	snap_masked-loc-_s244-processed-gene-3.114-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-3.114&CDS=1-858	YHR133C, YNL156C
OG0000384	augustus_masked-loc-_s505-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-loc-_s505-processed-gene-0.7&CDS=1-393, snap_masked-loc-_s244-processed-gene-4.41-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-4.41&CDS=1-1629	YHR168W
OG0000385	snap_masked-loc-_s244-processed-gene-4.21-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-4.21&CDS=1-2838, snap_masked-loc-_s698-processed-gene-0.35-mRNA-1_1&gene=snap_masked-loc-_s698-processed-gene-0.35&CDS=1-2964	YGR204W
OG0000386	genemark-loc-_s244-processed-gene-4.146-mRNA-1_1&gene=genemark-loc-_s244-processed-gene-4.146&CDS=1-1617	YGR248W, YHR163W
OG0000387	snap_masked-loc-_s244-processed-gene-4.52-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-4.52&CDS=1-390	YBL003C, YDR225W
OG0000388	snap_masked-loc-_s244-processed-gene-4.30-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-4.30&CDS=1-390	YBL002W, YDR224C
OG0000389	snap_masked-loc-_s244-processed-gene-4.31-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-4.31&CDS=1-600, snap_masked-loc-_s523-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s523-processed-gene-0.6&CDS=1-393	YKL142W
OG0000390	maker-loc-_s244-snap-gene-4.121-mRNA-1_1&gene=maker-loc-_s244-snap-gene-4.121&CDS=1-981, snap_masked-loc-_s562-processed-gene-0.61-mRNA-1_1&gene=snap_masked-loc-_s562-processed-gene-0.61&CDS=1-201	YFR032C
OG0000391	snap_masked-loc-_s250-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s250-processed-gene-0.8&CDS=1-291, snap_masked-loc-_s510-processed-gene-0.31-mRNA-1_1&gene=snap_masked-loc-_s510-processed-gene-0.31&CDS=1-1884	YMR240C
OG0000392	snap_masked-loc-_s250-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_s250-processed-gene-0.2&CDS=1-207, snap_masked-loc-_s679-processed-gene-0.21-mRNA-1_1&gene=snap_masked-loc-_s679-processed-gene-0.21&CDS=1-2499	YAL011W
OG0000393	snap_masked-loc-_s27-processed-gene-0.10-mRNA-1_1&gene=snap_masked-loc-_s27-processed-gene-0.10&CDS=1-3612	YAL017W, YOL045W
OG0000394	snap_masked-loc-_s271-processed-gene-0.18-mRNA-1_1&gene=snap_masked-loc-_s271-processed-gene-0.18&CDS=1-1977	YDR146C, YLR131C
OG0000395	snap_masked-loc-_s271-processed-gene-0.16-mRNA-1_1&gene=snap_masked-loc-_s271-processed-gene-0.16&CDS=1-801	YLR270W, YOR173W
OG0000396	snap_masked-loc-_s274-processed-gene-0.12-mRNA-1_1&gene=snap_masked-loc-_s274-processed-gene-0.12&CDS=1-3192	YBL106C, YPR032W
OG0000397	snap_masked-loc-_s274-processed-gene-0.25-mRNA-1_1&gene=snap_masked-loc-_s274-processed-gene-0.25&CDS=1-4038	YGR070W, YLR371W
OG0000398	snap_masked-loc-_s277-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s277-processed-gene-0.8&CDS=1-1539	YJR054W, YML047C
OG0000399	genemark-loc-_s624-processed-gene-0.1-mRNA-1_1&gene=genemark-loc-_s624-processed-gene-0.1&CDS=1-2097, snap_masked-loc-_s277-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s277-processed-gene-0.9&CDS=1-2103	YLL029W
OG0000400	augustus_masked-loc-_s28-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-loc-_s28-processed-gene-0.42&CDS=1-1578	YKL133C, YMR115W
OG0000401	snap_masked-loc-_s281-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s281-processed-gene-0.17&CDS=1-246	YHR021C, YKL156W
OG0000402	snap_masked-loc-_s281-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s281-processed-gene-0.6&CDS=1-2187, snap_masked-loc-_s657-processed-gene-0.67-mRNA-1_1&gene=snap_masked-loc-_s657-processed-gene-0.67&CDS=1-2841	YDL095W
OG0000403	snap_masked-loc-_s281-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s281-processed-gene-0.11&CDS=1-1155	YDR312W, YHR066W
OG0000404	augustus_masked-loc-_s403-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-loc-_s403-processed-gene-1.82&CDS=1-2259, snap_masked-loc-_s281-processed-gene-0.12-mRNA-1_1&gene=snap_masked-loc-_s281-processed-gene-0.12&CDS=1-267	YLR352W
OG0000405	maker-loc-_s285-augustus-gene-0.0-mRNA-1_1&gene=maker-loc-_s285-augustus-gene-0.0&CDS=1-1908, snap_masked-loc-_s682-processed-gene-1.38-mRNA-1_1&gene=snap_masked-loc-_s682-processed-gene-1.38&CDS=1-1509	YBR006W
OG0000406	snap_masked-loc-_s285-processed-gene-0.156-mRNA-1_1&gene=snap_masked-loc-_s285-processed-gene-0.156&CDS=1-2172	YJR059W, YKL198C
OG0000407	snap_masked-loc-_s285-processed-gene-0.133-mRNA-1_1&gene=snap_masked-loc-_s285-processed-gene-0.133&CDS=1-3279	YCR067C, YNR026C
OG0000408	augustus_masked-loc-_s287-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-loc-_s287-processed-gene-0.12&CDS=1-360	YER056C-A, YIL052C
OG0000409	genemark-loc-_s294-processed-gene-0.36-mRNA-1_1&gene=genemark-loc-_s294-processed-gene-0.36&CDS=1-5295	YOR233W, YPL141C
OG0000410	snap_masked-loc-_s298-processed-gene-0.55-mRNA-1_1&gene=snap_masked-loc-_s298-processed-gene-0.55&CDS=1-1587, snap_masked-loc-_s478-processed-gene-0.26-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.26&CDS=1-1617	YMR221C
OG0000411	snap_masked-loc-_s298-processed-gene-0.72-mRNA-1_1&gene=snap_masked-loc-_s298-processed-gene-0.72&CDS=1-408, snap_masked-loc-_s355-processed-gene-0.4-mRNA-1_1&gene=snap_masked-loc-_s355-processed-gene-0.4&CDS=1-4428	YBR097W
OG0000412	snap_masked-loc-_s299-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s299-processed-gene-0.6&CDS=1-768, snap_masked-loc-_s700-processed-gene-0.0-mRNA-1_1&gene=snap_masked-loc-_s700-processed-gene-0.0&CDS=1-768	YLR441C
OG0000413	snap_masked-loc-_s30-processed-gene-0.27-mRNA-1_1&gene=snap_masked-loc-_s30-processed-gene-0.27&CDS=1-1818	YNL299W, YOL115W
OG0000414	snap_masked-loc-_s301-processed-gene-0.73-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.73&CDS=1-336	YOR234C, YPL143W
OG0000415	snap_masked-loc-_s301-processed-gene-0.74-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.74&CDS=1-1263	YOR237W, YPL145C
OG0000416	snap_masked-loc-_s301-processed-gene-0.57-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.57&CDS=1-1452	YGR177C, YOR377W
OG0000417	snap_masked-loc-_s301-processed-gene-0.82-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.82&CDS=1-1410, snap_masked-loc-_s7-processed-gene-0.46-mRNA-1_1&gene=snap_masked-loc-_s7-processed-gene-0.46&CDS=1-1533	YGR019W
OG0000418	snap_masked-loc-_s301-processed-gene-0.88-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.88&CDS=1-2112, snap_masked-loc-_s345-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s345-processed-gene-0.17&CDS=1-1290	YOR049C
OG0000419	snap_masked-loc-_s301-processed-gene-0.89-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.89&CDS=1-1983	YER059W, YIL050W
OG0000420	maker-loc-_s308-snap-gene-0.6-mRNA-1_1&gene=maker-loc-_s308-snap-gene-0.6&CDS=1-561, maker-loc-_s49-augustus-gene-1.167-mRNA-1_1&gene=maker-loc-_s49-augustus-gene-1.167&CDS=1-1776	YNR022C
OG0000421	augustus_masked-loc-_s522-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-loc-_s522-processed-gene-0.35&CDS=1-300, snap_masked-loc-_s309-processed-gene-0.36-mRNA-1_1&gene=snap_masked-loc-_s309-processed-gene-0.36&CDS=1-2577	YOR032C
OG0000422	augustus_masked-loc-_s314-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-loc-_s314-processed-gene-0.50&CDS=1-726	YGR027C, YLR333C
OG0000423	genemark-loc-_s314-processed-gene-0.29-mRNA-1_1&gene=genemark-loc-_s314-processed-gene-0.29&CDS=1-1920	YHR131C, YNL144C
OG0000424	snap_masked-loc-_s314-processed-gene-0.126-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.126&CDS=1-3927	YLL016W, YLR310C
OG0000425	snap_masked-loc-_s314-processed-gene-0.128-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.128&CDS=1-4506	YEL022W, YJR031C
OG0000426	snap_masked-loc-_s314-processed-gene-0.133-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.133&CDS=1-408, snap_masked-loc-_s376-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s376-processed-gene-0.17&CDS=1-1248	YBR042C
OG0000427	snap_masked-loc-_s314-processed-gene-0.111-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.111&CDS=1-1806	YDL224C, YNL197C
OG0000428	maker-loc-_s315-snap-gene-0.0-mRNA-1_1&gene=maker-loc-_s315-snap-gene-0.0&CDS=1-390	YHL001W, YKL006W
OG0000429	augustus_masked-loc-_s594-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-loc-_s594-processed-gene-0.9&CDS=1-618, snap_masked-loc-_s316-processed-gene-0.19-mRNA-1_1&gene=snap_masked-loc-_s316-processed-gene-0.19&CDS=1-1878	YHL032C
OG0000430	genemark-loc-_s318-processed-gene-0.8-mRNA-1_1&gene=genemark-loc-_s318-processed-gene-0.8&CDS=1-1659	YKL127W, YMR105C
OG0000431	maker-loc-_s324-snap-gene-0.55-mRNA-1_1&gene=maker-loc-_s324-snap-gene-0.55&CDS=1-1965	YGR241C, YHR161C
OG0000432	snap_masked-loc-_s324-processed-gene-0.64-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.64&CDS=1-927, snap_masked-loc-_s409-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s409-processed-gene-0.17&CDS=1-924	YDL236W
OG0000433	snap_masked-loc-_s324-processed-gene-0.65-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.65&CDS=1-2472, snap_masked-loc-_s325-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s325-processed-gene-0.17&CDS=1-597	YGL141W
OG0000434	genemark-loc-_s49-processed-gene-1.43-mRNA-1_1&gene=genemark-loc-_s49-processed-gene-1.43&CDS=1-3999, maker-loc-_s325-snap-gene-0.7-mRNA-1_1&gene=maker-loc-_s325-snap-gene-0.7&CDS=1-1761	YPR072W
OG0000435	snap_masked-loc-_s328-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s328-processed-gene-0.11&CDS=1-2670	YKL121W, YMR102C
OG0000436	snap_masked-loc-_s329-processed-gene-0.10-mRNA-1_1&gene=snap_masked-loc-_s329-processed-gene-0.10&CDS=1-717	YDR259C, YOR028C
OG0000437	augustus_masked-loc-_s33-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-loc-_s33-processed-gene-0.69&CDS=1-471, snap_masked-loc-_s88-processed-gene-0.61-mRNA-1_1&gene=snap_masked-loc-_s88-processed-gene-0.61&CDS=1-2250	YOR112W
OG0000438	augustus_masked-loc-_s33-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-loc-_s33-processed-gene-0.72&CDS=1-699, snap_masked-loc-_s450-processed-gene-0.24-mRNA-1_1&gene=snap_masked-loc-_s450-processed-gene-0.24&CDS=1-2385	YNR006W
OG0000439	snap_masked-loc-_s33-processed-gene-0.42-mRNA-1_1&gene=snap_masked-loc-_s33-processed-gene-0.42&CDS=1-360	YGR243W, YHR162W
OG0000440	snap_masked-loc-_s330-processed-gene-0.31-mRNA-1_1&gene=snap_masked-loc-_s330-processed-gene-0.31&CDS=1-996	YCR073W-A, YNR034W
OG0000441	maker-loc-_s330-snap-gene-0.0-mRNA-1_1&gene=maker-loc-_s330-snap-gene-0.0&CDS=1-2103	YEL039C, YJR048W
OG0000442	snap_masked-loc-_s331-processed-gene-0.122-mRNA-1_1&gene=snap_masked-loc-_s331-processed-gene-0.122&CDS=1-969	YDL175C, YIL079C
OG0000443	snap_masked-loc-_s334-processed-gene-0.32-mRNA-1_1&gene=snap_masked-loc-_s334-processed-gene-0.32&CDS=1-1737	YBL054W, YER088C
OG0000444	snap_masked-loc-_s334-processed-gene-0.35-mRNA-1_1&gene=snap_masked-loc-_s334-processed-gene-0.35&CDS=1-408, snap_masked-loc-_s400-processed-gene-1.126-mRNA-1_1&gene=snap_masked-loc-_s400-processed-gene-1.126&CDS=1-639	YGR167W
OG0000445	genemark-loc-_s337-processed-gene-0.16-mRNA-1_1&gene=genemark-loc-_s337-processed-gene-0.16&CDS=1-1617	YHL017W, YKL039W
OG0000446	snap_masked-loc-_s342-processed-gene-0.85-mRNA-1_1&gene=snap_masked-loc-_s342-processed-gene-0.85&CDS=1-1626	YNL293W, YOL112W
OG0000447	snap_masked-loc-_s342-processed-gene-0.88-mRNA-1_1&gene=snap_masked-loc-_s342-processed-gene-0.88&CDS=1-1038	YEL006W, YIL006W
OG0000448	snap_masked-loc-_s342-processed-gene-0.128-mRNA-1_1&gene=snap_masked-loc-_s342-processed-gene-0.128&CDS=1-600, snap_masked-loc-_s388-processed-gene-0.53-mRNA-1_1&gene=snap_masked-loc-_s388-processed-gene-0.53&CDS=1-594	YDR032C
OG0000449	augustus_masked-loc-_s342-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-loc-_s342-processed-gene-0.50&CDS=1-1815	YLR307W, YLR308W
OG0000450	snap_masked-loc-_s342-processed-gene-0.132-mRNA-1_1&gene=snap_masked-loc-_s342-processed-gene-0.132&CDS=1-2436	YFL004W, YPL019C
OG0000451	augustus_masked-loc-_s83-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-loc-_s83-processed-gene-0.21&CDS=1-570, snap_masked-loc-_s342-processed-gene-0.146-mRNA-1_1&gene=snap_masked-loc-_s342-processed-gene-0.146&CDS=1-2619	YFL047W
OG0000452	snap_masked-loc-_s342-processed-gene-0.109-mRNA-1_1&gene=snap_masked-loc-_s342-processed-gene-0.109&CDS=1-2373	YMR119W, YNL008C
OG0000453	snap_masked-loc-_s345-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s345-processed-gene-0.8&CDS=1-1797	YGR092W, YPR111W
OG0000454	snap_masked-loc-_s351-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s351-processed-gene-0.8&CDS=1-255	YDR500C, YLR185W
OG0000455	snap_masked-loc-_s361-processed-gene-0.48-mRNA-1_1&gene=snap_masked-loc-_s361-processed-gene-0.48&CDS=1-3246, snap_masked-loc-_s79-processed-gene-0.18-mRNA-1_1&gene=snap_masked-loc-_s79-processed-gene-0.18&CDS=1-606	YLR240W
OG0000456	maker-loc-_s368-snap-gene-0.40-mRNA-1_1&gene=maker-loc-_s368-snap-gene-0.40&CDS=1-2037, snap_masked-loc-_s368-processed-gene-0.89-mRNA-1_1&gene=snap_masked-loc-_s368-processed-gene-0.89&CDS=1-1011	YJR019C
OG0000457	genemark-loc-_s368-processed-gene-0.32-mRNA-1_1&gene=genemark-loc-_s368-processed-gene-0.32&CDS=1-3123	YFR010W, YMR110C
