	Lachancea_cidri	Saccharomyces_cerevisiae
OG0000354	snap_masked-LACI0A-processed-gene-2.30-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.30&CDS=1-2877	YLL003W
OG0000355	maker-LACI0A-snap-gene-2.87-mRNA-1_1&gene=maker-LACI0A-snap-gene-2.87&CDS=1-645	YJL001W
OG0000356	snap_masked-LACI0A-processed-gene-2.65-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.65&CDS=1-2613	YLR001C
OG0000357	augustus_masked-LACI0A-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-LACI0A-processed-gene-2.116&CDS=1-2403	YJR001W
OG0000358	snap_masked-LACI0A-processed-gene-2.35-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.35&CDS=1-1776	YJR002W
OG0000359	snap_masked-LACI0A-processed-gene-2.66-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.66&CDS=1-1968	YLR002C
OG0000360	snap_masked-LACI0A-processed-gene-2.67-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.67&CDS=1-675	YEL072W
OG0000361	snap_masked-LACI0A-processed-gene-2.68-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.68&CDS=1-1545	YJR003C
OG0000362	maker-LACI0A-snap-gene-2.90-mRNA-1_1&gene=maker-LACI0A-snap-gene-2.90&CDS=1-3492	YNR055C
OG0000363	snap_masked-LACI0A-processed-gene-2.71-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.71&CDS=1-1416	YLR005W
OG0000364	snap_masked-LACI0A-processed-gene-2.37-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.37&CDS=1-1548	YLR004C
OG0000365	snap_masked-LACI0A-processed-gene-2.38-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.38&CDS=1-852	YLR003C
OG0000366	maker-LACI0A-augustus-gene-2.240-mRNA-1_1&gene=maker-LACI0A-augustus-gene-2.240&CDS=1-3933	YJR005W
OG0000367	augustus_masked-LACI0A-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-LACI0A-processed-gene-2.121&CDS=1-831	YLR007W
OG0000368	snap_masked-LACI0A-processed-gene-2.75-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.75&CDS=1-471	YLR008C
OG0000369	augustus_masked-LACI0A-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-LACI0A-processed-gene-2.122&CDS=1-582	YLR009W
OG0000370	snap_masked-LACI0A-processed-gene-2.76-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.76&CDS=1-549	YOR357C
OG0000371	snap_masked-LACI0A-processed-gene-2.79-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.79&CDS=1-2460	YLR014C
OG0000372	snap_masked-LACI0A-processed-gene-2.41-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.41&CDS=1-1422	YLR015W
OG0000373	snap_masked-LACI0B-processed-gene-0.68-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.68&CDS=1-1050	YMR315W
OG0000374	snap_masked-LACI0B-processed-gene-0.69-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.69&CDS=1-2496	YML099C
OG0000375	snap_masked-LACI0B-processed-gene-0.47-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.47&CDS=1-459	YML098W
OG0000376	augustus_masked-LACI0B-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-0.25&CDS=1-2901	YML130C
OG0000377	snap_masked-LACI0B-processed-gene-0.48-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.48&CDS=1-1539	YML096W
OG0000378	snap_masked-LACI0B-processed-gene-0.72-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.72&CDS=1-603	YML095C
OG0000379	maker-LACI0B-snap-gene-0.35-mRNA-1_1&gene=maker-LACI0B-snap-gene-0.35&CDS=1-462	YML094W
OG0000380	snap_masked-LACI0B-processed-gene-0.50-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.50&CDS=1-2598	YML093W
OG0000381	augustus_masked-LACI0B-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-0.27&CDS=1-1170	YML092C
OG0000382	genemark-LACI0B-processed-gene-0.119-mRNA-1_1&gene=genemark-LACI0B-processed-gene-0.119&CDS=1-1998	YML128C
OG0000383	snap_masked-LACI0B-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.52&CDS=1-1740	YML127W
OG0000384	snap_masked-LACI0B-processed-gene-0.76-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.76&CDS=1-3540	YML091C
OG0000385	snap_masked-LACI0B-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.77&CDS=1-1392	YML126C
OG0000386	maker-LACI0B-augustus-gene-0.87-mRNA-1_1&gene=maker-LACI0B-augustus-gene-0.87&CDS=1-5730	YAR042W
OG0000387	maker-LACI0B-snap-gene-0.36-mRNA-1_1&gene=maker-LACI0B-snap-gene-0.36&CDS=1-2034	YAR018C
OG0000388	snap_masked-LACI0B-processed-gene-0.80-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.80&CDS=1-912	YAR015W
OG0000389	snap_masked-LACI0B-processed-gene-0.56-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.56&CDS=1-1686	YAR014C
OG0000390	augustus_masked-LACI0B-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-0.14&CDS=1-4245	YBR017C
OG0000391	snap_masked-LACI0B-processed-gene-0.81-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.81&CDS=1-657	YDL018C
OG0000392	snap_masked-LACI0B-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.59&CDS=1-1413	YDL017W
OG0000393	snap_masked-LACI0B-processed-gene-0.60-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.60&CDS=1-993	YDL014W
OG0000394	augustus_masked-LACI0B-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-0.17&CDS=1-2784	YDL013W
OG0000395	snap_masked-LACI0B-processed-gene-0.82-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.82&CDS=1-324	YDL012C
OG0000396	snap_masked-LACI0B-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.63&CDS=1-1335	YBR138C
OG0000397	snap_masked-LACI0B-processed-gene-1.50-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.50&CDS=1-540	YBR137W
OG0000398	snap_masked-LACI0B-processed-gene-1.51-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.51&CDS=1-3735	YOL075C
OG0000399	snap_masked-LACI0B-processed-gene-1.46-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.46&CDS=1-576	YGR078C
OG0000400	augustus_masked-LACI0B-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-1.8&CDS=1-822	YOL073C
OG0000401	snap_masked-LACI0B-processed-gene-1.47-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.47&CDS=1-1761	YGR077C
OG0000402	augustus_masked-LACI0B-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-1.5&CDS=1-1044	YBR034C
OG0000403	snap_masked-LACI0B-processed-gene-1.75-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.75&CDS=1-1608	YBR030W
OG0000404	augustus_masked-LACI0B-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-1.11&CDS=1-1155	YKR038C
OG0000405	snap_masked-LACI0B-processed-gene-1.53-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.53&CDS=1-816	YKR037C
OG0000406	snap_masked-LACI0B-processed-gene-1.54-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.54&CDS=1-2184	YJL112W
OG0000407	snap_masked-LACI0B-processed-gene-1.55-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.55&CDS=1-1647	YJL111W
OG0000408	snap_masked-LACI0B-processed-gene-1.78-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.78&CDS=1-609	YKR035W-A
OG0000409	snap_masked-LACI0B-processed-gene-1.56-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.56&CDS=1-4764	YKR031C
OG0000410	snap_masked-LACI0B-processed-gene-1.80-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.80&CDS=1-732	YKR030W
OG0000411	snap_masked-LACI0B-processed-gene-1.81-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.81&CDS=1-5295	YJL109C
OG0000412	snap_masked-LACI0B-processed-gene-1.82-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.82&CDS=1-2886	YJL108C
OG0000413	genemark-LACI0B-processed-gene-1.110-mRNA-1_1&gene=genemark-LACI0B-processed-gene-1.110&CDS=1-1905	YJL106W
OG0000414	augustus_masked-LACI0B-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-1.19&CDS=1-2541	YKR029C
OG0000415	snap_masked-LACI0B-processed-gene-1.63-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.63&CDS=1-1533	YKR023W
OG0000416	snap_masked-LACI0B-processed-gene-1.84-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.84&CDS=1-1455	YJL103C
OG0000417	snap_masked-LACI0B-processed-gene-1.85-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.85&CDS=1-2151	YKR024C
OG0000418	snap_masked-LACI0B-processed-gene-1.64-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.64&CDS=1-732	YKR025W
OG0000419	augustus_masked-LACI0B-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-1.40&CDS=1-918	YKR026C
OG0000420	augustus_masked-LACI0B-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-1.22&CDS=1-2388	YJL102W
OG0000421	snap_masked-LACI0B-processed-gene-1.86-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.86&CDS=1-1962	YJL101C
OG0000422	augustus_masked-LACI0B-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-1.23&CDS=1-3693	YJL100W
OG0000423	snap_masked-LACI0B-processed-gene-1.68-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.68&CDS=1-3066	YKR028W
OG0000424	snap_masked-LACI0B-processed-gene-1.69-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.69&CDS=1-663	YJL097W
OG0000425	snap_masked-LACI0B-processed-gene-1.70-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.70&CDS=1-504	YJL096W
OG0000426	genemark-LACI0B-processed-gene-1.122-mRNA-1_1&gene=genemark-LACI0B-processed-gene-1.122&CDS=1-4416	YJL095W
OG0000427	snap_masked-LACI0B-processed-gene-1.87-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.87&CDS=1-1869	YJL093C
OG0000428	augustus_masked-LACI0B-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-1.28&CDS=1-1695	YMR137C
OG0000429	snap_masked-LACI0B-processed-gene-1.72-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.72&CDS=1-1158	YMR135C
OG0000430	snap_masked-LACI0B-processed-gene-1.93-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.93&CDS=1-717	YMR134W
OG0000431	snap_masked-LACI0B-processed-gene-1.94-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.94&CDS=1-1452	YMR133W
OG0000432	augustus_masked-LACI0B-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-2.8&CDS=1-2079	YMR131C
OG0000433	maker-LACI0B-snap-gene-2.1-mRNA-1_1&gene=maker-LACI0B-snap-gene-2.1&CDS=1-3066	YLR039C
OG0000434	snap_masked-LACI0B-processed-gene-2.60-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.60&CDS=1-246	YLR038C
OG0000435	snap_masked-LACI0B-processed-gene-2.61-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.61&CDS=1-2652	YPR194C
OG0000436	maker-LACI0B-snap-gene-2.5-mRNA-1_1&gene=maker-LACI0B-snap-gene-2.5&CDS=1-912	YMR130W
OG0000437	snap_masked-LACI0B-processed-gene-2.90-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.90&CDS=1-3831	YMR129W
OG0000438	snap_masked-LACI0B-processed-gene-2.62-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.62&CDS=1-1407	YLR034C
OG0000439	augustus_masked-LACI0B-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-2.38&CDS=1-5157	YMR128W
OG0000440	snap_masked-LACI0B-processed-gene-2.63-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.63&CDS=1-936	YMR127C
OG0000441	snap_masked-LACI0B-processed-gene-2.93-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.93&CDS=1-3381	YLR032W
OG0000442	snap_masked-LACI0B-processed-gene-2.64-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.64&CDS=1-1119	YMR126C
OG0000443	maker-LACI0B-snap-gene-2.7-mRNA-1_1&gene=maker-LACI0B-snap-gene-2.7&CDS=1-2586	YMR125W
OG0000444	snap_masked-LACI0B-processed-gene-2.95-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.95&CDS=1-2931	YMR124W
OG0000445	snap_masked-LACI0B-processed-gene-2.96-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.96&CDS=1-381	YMR123W
OG0000446	snap_masked-LACI0B-processed-gene-2.67-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.67&CDS=1-1773	YMR120C
OG0000447	snap_masked-LACI0B-processed-gene-2.98-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.98&CDS=1-1974	YMR119W
OG0000448	snap_masked-LACI0B-processed-gene-2.68-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.68&CDS=1-1260	YLR027C
OG0000449	augustus_masked-LACI0B-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-2.19&CDS=1-912	YLR026C
OG0000450	snap_masked-LACI0B-processed-gene-2.100-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.100&CDS=1-669	YLR025W
OG0000451	snap_masked-LACI0B-processed-gene-2.71-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.71&CDS=1-504	YKL141W
OG0000452	snap_masked-LACI0B-processed-gene-2.72-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.72&CDS=1-1365	YKL140W
OG0000453	augustus_masked-LACI0B-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-2.23&CDS=1-1353	YKL139W
OG0000454	snap_masked-LACI0B-processed-gene-2.74-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.74&CDS=1-582	YMR117C
OG0000455	snap_masked-LACI0B-processed-gene-2.101-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.101&CDS=1-393	YKL138C
OG0000456	snap_masked-LACI0B-processed-gene-2.75-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.75&CDS=1-321	YKL137W
OG0000457	snap_masked-LACI0B-processed-gene-2.102-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.102&CDS=1-2100	YKL135C
OG0000458	maker-LACI0B-snap-gene-2.2-mRNA-1_1&gene=maker-LACI0B-snap-gene-2.2&CDS=1-960	YMR116C
OG0000459	augustus_masked-LACI0B-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-2.27&CDS=1-3240	YMR108W
OG0000460	snap_masked-LACI0B-processed-gene-2.79-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.79&CDS=1-3702	YMR109W
OG0000461	augustus_masked-LACI0B-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-2.48&CDS=1-1572	YMR110C
OG0000462	snap_masked-LACI0B-processed-gene-2.80-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.80&CDS=1-702	YKL130C
OG0000463	snap_masked-LACI0B-processed-gene-2.103-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.103&CDS=1-1143	YMR111C
OG0000464	snap_masked-LACI0B-processed-gene-2.104-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.104&CDS=1-330	YMR112C
OG0000465	snap_masked-LACI0B-processed-gene-2.81-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.81&CDS=1-1269	YMR113W
OG0000466	snap_masked-LACI0B-processed-gene-2.105-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.105&CDS=1-996	YMR114C
OG0000467	genemark-LACI0B-processed-gene-2.140-mRNA-1_1&gene=genemark-LACI0B-processed-gene-2.140&CDS=1-1368	YMR115W
OG0000468	snap_masked-LACI0B-processed-gene-2.83-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.83&CDS=1-2319	YKL134C
OG0000469	snap_masked-LACI0B-processed-gene-2.84-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.84&CDS=1-2058	YBR019C
OG0000470	augustus_masked-LACI0B-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-2.34&CDS=1-2211	YDL007W
OG0000471	snap_masked-LACI0B-processed-gene-2.107-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.107&CDS=1-864	YDL005C
OG0000472	snap_masked-LACI0B-processed-gene-2.87-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.87&CDS=1-474	YDL004W
OG0000473	augustus_masked-LACI0B-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-3.108&CDS=1-9138	YBL004W
OG0000474	snap_masked-LACI0B-processed-gene-3.3-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.3&CDS=1-627	YDL002C
OG0000475	snap_masked-LACI0B-processed-gene-3.2-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.2&CDS=1-1218	YDL001W
OG0000476	maker-LACI0B-snap-gene-3.152-mRNA-1_1&gene=maker-LACI0B-snap-gene-3.152&CDS=1-312	YBL001C
OG0000477	snap_masked-LACI0B-processed-gene-3.31-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.31&CDS=1-2232	YDR001C
OG0000478	snap_masked-LACI0B-processed-gene-3.5-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.5&CDS=1-594	YDR002W
OG0000479	snap_masked-LACI0B-processed-gene-3.32-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.32&CDS=1-849	YBR002C
OG0000480	snap_masked-LACI0B-processed-gene-3.6-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.6&CDS=1-1407	YBR003W
OG0000481	snap_masked-LACI0B-processed-gene-3.9-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.9&CDS=1-861	YBR011C
OG0000482	snap_masked-LACI0B-processed-gene-3.33-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.33&CDS=1-666	YDR007W
OG0000483	snap_masked-LACI0B-processed-gene-3.12-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.12&CDS=1-2457	YDR006C
OG0000484	snap_masked-LACI0B-processed-gene-3.13-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.13&CDS=1-1929	YBR007C
OG0000485	snap_masked-LACI0B-processed-gene-3.14-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.14&CDS=1-1170	YDR005C
OG0000486	maker-LACI0B-augustus-gene-3.107-mRNA-1_1&gene=maker-LACI0B-augustus-gene-3.107&CDS=1-3441	YBR006W
OG0000487	genemark-LACI0B-processed-gene-3.91-mRNA-1_1&gene=genemark-LACI0B-processed-gene-3.91&CDS=1-408	YDL008W
OG0000488	snap_masked-LACI0B-processed-gene-3.39-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.39&CDS=1-618	YDL010W
OG0000489	augustus_masked-LACI0B-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-3.141&CDS=1-2391	YOL076W
OG0000490	snap_masked-LACI0B-processed-gene-3.17-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.17&CDS=1-876	YOL077C
OG0000491	snap_masked-LACI0B-processed-gene-3.42-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.42&CDS=1-204	YOL077W-A
OG0000492	snap_masked-LACI0B-processed-gene-3.43-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.43&CDS=1-3228	YOL078W
OG0000493	snap_masked-LACI0B-processed-gene-3.19-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.19&CDS=1-807	YOL080C
OG0000494	genemark-LACI0B-processed-gene-3.97-mRNA-1_1&gene=genemark-LACI0B-processed-gene-3.97&CDS=1-1014	YBR141C
OG0000495	snap_masked-LACI0B-processed-gene-3.20-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.20&CDS=1-2298	YBR142W
OG0000496	snap_masked-LACI0B-processed-gene-3.46-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.46&CDS=1-1308	YBR143C
OG0000497	snap_masked-LACI0B-processed-gene-3.48-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.48&CDS=1-2889	YOL084W
OG0000498	snap_masked-LACI0B-processed-gene-3.22-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.22&CDS=1-837	YBR146W
OG0000499	snap_masked-LACI0B-processed-gene-3.50-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.50&CDS=1-339	YOL086W-A
OG0000500	snap_masked-LACI0B-processed-gene-3.23-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.23&CDS=1-2841	YOL087C
OG0000501	snap_masked-LACI0B-processed-gene-3.24-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.24&CDS=1-645	YBR154C
OG0000502	snap_masked-LACI0B-processed-gene-3.51-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.51&CDS=1-747	YBR153W
OG0000503	snap_masked-LACI0B-processed-gene-3.27-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.27&CDS=1-984	YLR271W
OG0000504	genemark-LACI0B-processed-gene-3.82-mRNA-1_1&gene=genemark-LACI0B-processed-gene-3.82&CDS=1-810	YOR174W
OG0000505	snap_masked-LACI0B-processed-gene-4.2-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.2&CDS=1-1830	YOR175C
OG0000506	snap_masked-LACI0B-processed-gene-4.0-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.0&CDS=1-1143	YOR176W
OG0000507	snap_masked-LACI0B-processed-gene-4.3-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.3&CDS=1-3423	YLR272C
OG0000508	augustus_masked-LACI0B-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-4.71&CDS=1-1953	YOR178C
OG0000509	maker-LACI0B-snap-gene-4.118-mRNA-1_1&gene=maker-LACI0B-snap-gene-4.118&CDS=1-2643	YLR274W
OG0000510	maker-LACI0B-augustus-gene-4.186-mRNA-1_1&gene=maker-LACI0B-augustus-gene-4.186&CDS=1-4005	YLR277C
OG0000511	snap_masked-LACI0B-processed-gene-4.36-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.36&CDS=1-3243	YLR278C
OG0000512	augustus_masked-LACI0B-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-4.95&CDS=1-471	YLR281C
OG0000513	snap_masked-LACI0B-processed-gene-4.6-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.6&CDS=1-867	YLR283W
OG0000514	snap_masked-LACI0B-processed-gene-4.38-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.38&CDS=1-822	YLR284C
OG0000515	snap_masked-LACI0B-processed-gene-4.7-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.7&CDS=1-813	YLR285W
OG0000516	snap_masked-LACI0B-processed-gene-4.39-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.39&CDS=1-1914	YLR286C
OG0000517	snap_masked-LACI0B-processed-gene-4.8-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.8&CDS=1-1833	YOR181W
OG0000518	snap_masked-LACI0B-processed-gene-4.40-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.40&CDS=1-1176	YLR287C
OG0000519	snap_masked-LACI0B-processed-gene-4.9-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.9&CDS=1-1182	YOR184W
OG0000520	snap_masked-LACI0B-processed-gene-4.42-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.42&CDS=1-1314	YLR288C
OG0000521	snap_masked-LACI0B-processed-gene-4.10-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.10&CDS=1-1923	YLR289W
OG0000522	snap_masked-LACI0B-processed-gene-4.43-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.43&CDS=1-807	YLR290C
OG0000523	snap_masked-LACI0B-processed-gene-4.44-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.44&CDS=1-1092	YLR291C
OG0000524	snap_masked-LACI0B-processed-gene-4.45-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.45&CDS=1-573	YLR292C
OG0000525	snap_masked-LACI0B-processed-gene-4.46-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.46&CDS=1-642	YLR293C
OG0000526	snap_masked-LACI0B-processed-gene-4.48-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.48&CDS=1-336	YLR295C
OG0000527	maker-LACI0B-snap-gene-4.119-mRNA-1_1&gene=maker-LACI0B-snap-gene-4.119&CDS=1-3195	YOR187W
OG0000528	genemark-LACI0B-processed-gene-4.136-mRNA-1_1&gene=genemark-LACI0B-processed-gene-4.136&CDS=1-3645	YOR188W
OG0000529	snap_masked-LACI0B-processed-gene-4.16-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.16&CDS=1-429	YOR189W
OG0000530	snap_masked-LACI0B-processed-gene-4.17-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.17&CDS=1-1320	YLR300W
OG0000531	maker-LACI0B-augustus-gene-4.185-mRNA-1_1&gene=maker-LACI0B-augustus-gene-4.185&CDS=1-4911	YOR191W
OG0000532	snap_masked-LACI0B-processed-gene-4.21-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.21&CDS=1-405	YGL054C
OG0000533	augustus_masked-LACI0B-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-4.104&CDS=1-1038	YBR211C
OG0000534	snap_masked-LACI0B-processed-gene-4.22-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.22&CDS=1-1533	YBR212W
OG0000535	snap_masked-LACI0B-processed-gene-4.23-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.23&CDS=1-957	YBR213W
OG0000536	snap_masked-LACI0B-processed-gene-4.51-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.51&CDS=1-1458	YGL055W
