	Saccharomyces_cerevisiae	yHAB164_Kazachstania_aerobia
OG0001052	YDR204W	genemark-scf7180000020227-processed-gene-1.89-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.89&CDS=1-1026
OG0001053	YDR205W	genemark-scf7180000020227-processed-gene-1.88-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.88&CDS=1-2211
OG0001054	YDR207C	augustus_masked-scf7180000020227-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.17&CDS=1-3300
OG0001055	YDR208W	augustus_masked-scf7180000020227-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.37&CDS=1-2073
OG0001056	YDR211W	augustus_masked-scf7180000020227-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.35&CDS=1-2193
OG0001057	YDR212W	genemark-scf7180000020227-processed-gene-1.83-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.83&CDS=1-1677
OG0001058	YDR216W	genemark-scf7180000020227-processed-gene-1.81-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.81&CDS=1-3867
OG0001059	YDR217C	augustus_masked-scf7180000020227-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.16&CDS=1-3609
OG0001060	YDR221W	augustus_masked-scf7180000020227-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.30&CDS=1-2019
OG0001061	YDR226W	genemark-scf7180000020227-processed-gene-1.77-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.77&CDS=1-666
OG0001062	YDR227W	augustus_masked-scf7180000020227-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.26&CDS=1-4251
OG0001063	YDR228C	genemark-scf7180000020227-processed-gene-1.60-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.60&CDS=1-1995
OG0001064	YDR229W	snap_masked-scf7180000020227-processed-gene-1.119-mRNA-1_1&gene=snap_masked-scf7180000020227-processed-gene-1.119&CDS=1-1500
OG0001065	YDR231C	genemark-scf7180000020227-processed-gene-1.58-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.58&CDS=1-627
OG0001066	YDR232W	genemark-scf7180000020227-processed-gene-1.74-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.74&CDS=1-1605
OG0001067	YDR233C	genemark-scf7180000020227-processed-gene-1.57-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.57&CDS=1-813
OG0001068	YDR234W	maker-scf7180000020227-augustus-gene-1.44-mRNA-1_1&gene=maker-scf7180000020227-augustus-gene-1.44&CDS=1-2082
OG0001069	YDR235W	genemark-scf7180000020227-processed-gene-1.72-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.72&CDS=1-1662
OG0001070	YDR236C	snap_masked-scf7180000020227-processed-gene-1.98-mRNA-1_1&gene=snap_masked-scf7180000020227-processed-gene-1.98&CDS=1-615
OG0001071	YDR237W	genemark-scf7180000020227-processed-gene-1.71-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.71&CDS=1-909
OG0001072	YDR238C	genemark-scf7180000020227-processed-gene-1.55-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.55&CDS=1-2925
OG0001073	YDR239C	augustus_masked-scf7180000020227-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.5&CDS=1-2613
OG0001074	YDR240C	augustus_masked-scf7180000020227-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-1.4&CDS=1-1404
OG0001075	YDR244W	genemark-scf7180000020227-processed-gene-1.54-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-1.54&CDS=1-1866
OG0001076	YDR245W	genemark-scf7180000020227-processed-gene-0.87-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.87&CDS=1-1131
OG0001077	YDR246W	genemark-scf7180000020227-processed-gene-0.86-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.86&CDS=1-753
OG0001078	YDR248C	genemark-scf7180000020227-processed-gene-0.65-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.65&CDS=1-567
OG0001079	YDR249C	augustus_masked-scf7180000020227-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-0.20&CDS=1-1812
OG0001080	YDR253C	genemark-scf7180000020227-processed-gene-0.63-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.63&CDS=1-624
OG0001081	YDR254W	augustus_masked-scf7180000020227-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-0.38&CDS=1-1140
OG0001082	YDR255C	genemark-scf7180000020227-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.62&CDS=1-1311
OG0001083	YDR256C	genemark-scf7180000020227-processed-gene-0.61-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.61&CDS=1-1539
OG0001084	YDR257C	genemark-scf7180000020120-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.8&CDS=1-1524
OG0001085	YDR258C	genemark-scf7180000020120-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.7&CDS=1-2247
OG0001086	YDR260C	snap_masked-scf7180000020120-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scf7180000020120-processed-gene-0.45&CDS=1-564
OG0001087	YDR261C	genemark-scf7180000020163-processed-gene-1.74-mRNA-1_1&gene=genemark-scf7180000020163-processed-gene-1.74&CDS=1-1728
OG0001088	YDR264C	genemark-scf7180000020120-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.4&CDS=1-2319
OG0001089	YDR265W	genemark-scf7180000020120-processed-gene-0.27-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.27&CDS=1-975
OG0001090	YDR266C	maker-scf7180000020163-augustus-gene-1.60-mRNA-1_1&gene=maker-scf7180000020163-augustus-gene-1.60&CDS=1-1875
OG0001091	YDR267C	genemark-scf7180000020120-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.3&CDS=1-1041
OG0001092	YDR268W	genemark-scf7180000020120-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.26&CDS=1-1080
OG0001093	YDR270W	genemark-scf7180000020120-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.25&CDS=1-2790
OG0001094	YDR272W	genemark-scf7180000020163-processed-gene-1.98-mRNA-1_1&gene=genemark-scf7180000020163-processed-gene-1.98&CDS=1-819
OG0001095	YDR279W	snap_masked-scf7180000020140-processed-gene-0.50-mRNA-1_1&gene=snap_masked-scf7180000020140-processed-gene-0.50&CDS=1-1008
OG0001096	YDR280W	genemark-scf7180000020178-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.40&CDS=1-921
OG0001097	YDR284C	genemark-scf7180000020140-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000020140-processed-gene-0.31&CDS=1-903
OG0001098	YDR285W	snap_masked-scf7180000020140-processed-gene-0.64-mRNA-1_1&gene=snap_masked-scf7180000020140-processed-gene-0.64&CDS=1-2616
OG0001099	YDR286C	genemark-scf7180000020140-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000020140-processed-gene-0.30&CDS=1-363
OG0001100	YDR287W	genemark-scf7180000020140-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000020140-processed-gene-0.43&CDS=1-885
OG0001101	YDR288W	genemark-scf7180000020140-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000020140-processed-gene-0.42&CDS=1-909
OG0001102	YDR289C	augustus_masked-scf7180000020178-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000020178-processed-gene-0.89&CDS=1-1170
OG0001103	YDR291W	genemark-scf7180000020178-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.47&CDS=1-3192
OG0001104	YDR292C	genemark-scf7180000020178-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.59&CDS=1-1839
OG0001105	YDR293C	genemark-scf7180000020210-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.54&CDS=1-4008
OG0001106	YDR294C	augustus_masked-scf7180000020210-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000020210-processed-gene-0.97&CDS=1-1719
OG0001107	YDR295C	snap_masked-scf7180000020210-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000020210-processed-gene-0.17&CDS=1-2298
OG0001108	YDR296W	genemark-scf7180000020210-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.40&CDS=1-582
OG0001109	YDR297W	genemark-scf7180000020178-processed-gene-0.45-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.45&CDS=1-1029
OG0001110	YDR298C	genemark-scf7180000020210-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.57&CDS=1-390
OG0001111	YDR299W	genemark-scf7180000020210-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.41&CDS=1-1644
OG0001112	YDR300C	genemark-scf7180000020210-processed-gene-0.58-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.58&CDS=1-1278
OG0001113	YDR301W	maker-scf7180000020210-snap-gene-0.75-mRNA-1_1&gene=maker-scf7180000020210-snap-gene-0.75&CDS=1-4122
OG0001114	YDR302W	genemark-scf7180000020210-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.43&CDS=1-654
OG0001115	YDR303C	genemark-scf7180000020210-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.59&CDS=1-2559
OG0001116	YDR304C	genemark-scf7180000020178-processed-gene-0.56-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.56&CDS=1-648
OG0001117	YDR306C	genemark-scf7180000020178-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.57&CDS=1-1863
OG0001118	YDR307W	snap_masked-scf7180000020192-processed-gene-0.178-mRNA-1_1&gene=snap_masked-scf7180000020192-processed-gene-0.178&CDS=1-1974
OG0001119	YDR308C	genemark-scf7180000020192-processed-gene-0.83-mRNA-1_1&gene=genemark-scf7180000020192-processed-gene-0.83&CDS=1-597
OG0001120	YDR309C	snap_masked-scf7180000020210-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000020210-processed-gene-0.21&CDS=1-1182
OG0001121	YDR310C	augustus_masked-scf7180000020155-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000020155-processed-gene-0.24&CDS=1-3081
OG0001122	YDR311W	genemark-scf7180000020210-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-0.46&CDS=1-1839
OG0001123	YDR314C	augustus_masked-scf7180000020155-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000020155-processed-gene-0.25&CDS=1-2040
OG0001124	YDR315C	snap_masked-scf7180000020155-processed-gene-0.65-mRNA-1_1&gene=snap_masked-scf7180000020155-processed-gene-0.65&CDS=1-183
OG0001125	YDR316W	genemark-scf7180000020155-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000020155-processed-gene-0.94&CDS=1-1290
OG0001126	YDR318W	genemark-scf7180000020219-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.5&CDS=1-1290
OG0001127	YDR320C	augustus_masked-scf7180000020219-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.117&CDS=1-2091
OG0001128	YDR321W	augustus_masked-scf7180000020219-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.96&CDS=1-1080
OG0001129	YDR322W	genemark-scf7180000020219-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.8&CDS=1-1083
OG0001130	YDR324C	genemark-scf7180000020219-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.30&CDS=1-4278
OG0001131	YDR325W	genemark-scf7180000020219-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.9&CDS=1-3108
OG0001132	YDR328C	augustus_masked-scf7180000020219-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.121&CDS=1-561
OG0001133	YDR329C	augustus_masked-scf7180000020219-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.122&CDS=1-1146
OG0001134	YDR330W	genemark-scf7180000020219-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.10&CDS=1-1545
OG0001135	YDR331W	augustus_masked-scf7180000020219-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.100&CDS=1-1236
OG0001136	YDR332W	genemark-scf7180000020219-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.12&CDS=1-2154
OG0001137	YDR333C	genemark-scf7180000020219-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.33&CDS=1-2163
OG0001138	YDR334W	augustus_masked-scf7180000020219-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.104&CDS=1-4515
OG0001139	YDR335W	genemark-scf7180000020210-processed-gene-1.6-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.6&CDS=1-3633
OG0001140	YDR336W	augustus_masked-scf7180000020219-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-scf7180000020219-processed-gene-0.105&CDS=1-990
OG0001141	YDR337W	genemark-scf7180000020219-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.16&CDS=1-867
OG0001142	YDR338C	genemark-scf7180000020219-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.34&CDS=1-2181
OG0001143	YDR339C	genemark-scf7180000020219-processed-gene-0.35-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.35&CDS=1-567
OG0001144	YDR341C	genemark-scf7180000020219-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000020219-processed-gene-0.36&CDS=1-1821
OG0001145	YDR346C	genemark-scf7180000020217-processed-gene-0.45-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.45&CDS=1-1401
OG0001146	YDR347W	genemark-scf7180000020217-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.9&CDS=1-975
OG0001147	YDR349C	genemark-scf7180000020217-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.47&CDS=1-1842
OG0001148	YDR350C	augustus_masked-scf7180000020217-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.173&CDS=1-2151
OG0001149	YDR354W	genemark-scf7180000020217-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.15&CDS=1-1182
OG0001150	YDR356W	snap_masked-scf7180000020217-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scf7180000020217-processed-gene-0.78&CDS=1-3048
OG0001151	YDR357C	genemark-scf7180000020217-processed-gene-0.49-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.49&CDS=1-357
OG0001152	YDR359C	genemark-scf7180000020217-processed-gene-0.50-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.50&CDS=1-3510
OG0001153	YDR361C	genemark-scf7180000020217-processed-gene-0.51-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.51&CDS=1-855
OG0001154	YDR362C	genemark-scf7180000020217-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.52&CDS=1-2259
OG0001155	YDR363W	genemark-scf7180000020217-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.19&CDS=1-1368
OG0001156	YDR363W-A	augustus_masked-scf7180000020217-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.146&CDS=1-249
OG0001157	YDR364C	genemark-scf7180000020217-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.53&CDS=1-1374
OG0001158	YDR365C	genemark-scf7180000020217-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.54&CDS=1-1893
OG0001159	YDR367W	genemark-scf7180000020217-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.22&CDS=1-603
OG0001160	YDR369C	augustus_masked-scf7180000020217-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.181&CDS=1-2496
OG0001161	YDR370C	augustus_masked-scf7180000020217-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.182&CDS=1-1110
OG0001162	YDR371W	genemark-scf7180000020217-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.25&CDS=1-1368
OG0001163	YDR372C	genemark-scf7180000020210-processed-gene-1.33-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.33&CDS=1-1038
OG0001164	YDR374C	genemark-scf7180000020217-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.57&CDS=1-1101
OG0001165	YDR375C	genemark-scf7180000020210-processed-gene-1.36-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.36&CDS=1-1449
OG0001166	YDR376W	augustus_masked-scf7180000020217-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.153&CDS=1-1398
OG0001167	YDR378C	augustus_masked-scf7180000020217-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.184&CDS=1-249
OG0001168	YDR379C-A	augustus_masked-scf7180000020217-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.185&CDS=1-234
OG0001169	YDR380W	augustus_masked-scf7180000020217-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.155&CDS=1-1905
OG0001170	YDR381C-A	augustus_masked-scf7180000020217-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.186&CDS=1-384
OG0001171	YDR381W	maker-scf7180000020217-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000020217-augustus-gene-0.1&CDS=1-738
OG0001172	YDR382W	genemark-scf7180000020217-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.32&CDS=1-330
OG0001173	YDR383C	augustus_masked-scf7180000020217-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-scf7180000020217-processed-gene-0.188&CDS=1-741
OG0001174	YDR384C	genemark-scf7180000020217-processed-gene-0.61-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.61&CDS=1-804
OG0001175	YDR386W	genemark-scf7180000020217-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000020217-processed-gene-0.34&CDS=1-1821
OG0001176	YDR387C	genemark-scf7180000020207-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.31&CDS=1-1671
OG0001177	YDR388W	augustus_masked-scf7180000020207-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000020207-processed-gene-0.42&CDS=1-1455
OG0001178	YDR389W	snap_masked-scf7180000020207-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000020207-processed-gene-0.6&CDS=1-1956
OG0001179	YDR390C	genemark-scf7180000020207-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.32&CDS=1-1866
OG0001180	YDR391C	genemark-scf7180000020230-processed-gene-0.160-mRNA-1_1&gene=genemark-scf7180000020230-processed-gene-0.160&CDS=1-870
OG0001181	YDR392W	genemark-scf7180000020184-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000020184-processed-gene-0.7&CDS=1-1062
OG0001182	YDR393W	augustus_masked-scf7180000020207-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000020207-processed-gene-0.51&CDS=1-1266
OG0001183	YDR394W	genemark-scf7180000020207-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.29&CDS=1-1299
OG0001184	YDR395W	genemark-scf7180000020207-processed-gene-0.28-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.28&CDS=1-2820
OG0001185	YDR397C	genemark-scf7180000020207-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.19&CDS=1-459
OG0001186	YDR398W	genemark-scf7180000020224-processed-gene-0.86-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.86&CDS=1-1920
OG0001187	YDR399W	genemark-scf7180000020207-processed-gene-0.27-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.27&CDS=1-657
OG0001188	YDR400W	genemark-scf7180000020207-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.26&CDS=1-1080
OG0001189	YDR402C	snap_masked-scf7180000020207-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000020207-processed-gene-0.1&CDS=1-1509
OG0001190	YDR403W	genemark-scf7180000020207-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.25&CDS=1-1617
OG0001191	YDR404C	genemark-scf7180000020207-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.17&CDS=1-513
OG0001192	YDR405W	genemark-scf7180000020207-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.24&CDS=1-675
OG0001193	YDR407C	augustus_masked-scf7180000020213-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-0.24&CDS=1-3888
OG0001194	YDR408C	genemark-scf7180000020213-processed-gene-0.114-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.114&CDS=1-639
OG0001195	YDR410C	genemark-scf7180000020213-processed-gene-0.115-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.115&CDS=1-762
OG0001196	YDR411C	snap_masked-scf7180000020213-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scf7180000020213-processed-gene-0.71&CDS=1-1002
OG0001197	YDR412W	genemark-scf7180000020213-processed-gene-0.90-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.90&CDS=1-723
OG0001198	YDR415C	augustus_masked-scf7180000020213-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-0.28&CDS=1-2067
OG0001199	YDR416W	augustus_masked-scf7180000020213-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-0.3&CDS=1-2574
OG0001200	YDR419W	genemark-scf7180000020213-processed-gene-0.93-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.93&CDS=1-1977
OG0001201	YDR420W	snap_masked-scf7180000020231-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scf7180000020231-processed-gene-0.48&CDS=1-4182
OG0001202	YDR421W	genemark-scf7180000020231-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000020231-processed-gene-0.94&CDS=1-2958
OG0001203	YDR422C	genemark-scf7180000020231-processed-gene-0.118-mRNA-1_1&gene=genemark-scf7180000020231-processed-gene-0.118&CDS=1-1878
OG0001204	YDR423C	augustus_masked-scf7180000020231-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000020231-processed-gene-0.32&CDS=1-1485
OG0001205	YDR424C	augustus_masked-scf7180000020231-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000020231-processed-gene-0.33&CDS=1-270
OG0001206	YDR425W	genemark-scf7180000020224-processed-gene-0.98-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.98&CDS=1-2151
OG0001207	YDR427W	genemark-scf7180000020231-processed-gene-0.96-mRNA-1_1&gene=genemark-scf7180000020231-processed-gene-0.96&CDS=1-1233
OG0001208	YDR429C	genemark-scf7180000020224-processed-gene-0.135-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.135&CDS=1-831
OG0001209	YDR430C	maker-scf7180000020118-augustus-gene-0.17-mRNA-1_1&gene=maker-scf7180000020118-augustus-gene-0.17&CDS=1-4893
OG0001210	YDR432W	genemark-scf7180000020231-processed-gene-0.97-mRNA-1_1&gene=genemark-scf7180000020231-processed-gene-0.97&CDS=1-1416
OG0001211	YDR434W	genemark-scf7180000020231-processed-gene-0.98-mRNA-1_1&gene=genemark-scf7180000020231-processed-gene-0.98&CDS=1-1557
OG0001212	YDR435C	genemark-scf7180000020231-processed-gene-0.120-mRNA-1_1&gene=genemark-scf7180000020231-processed-gene-0.120&CDS=1-969
OG0001213	YDR437W	snap_masked-scf7180000020231-processed-gene-0.56-mRNA-1_1&gene=snap_masked-scf7180000020231-processed-gene-0.56&CDS=1-486
OG0001214	YDR439W	augustus_masked-scf7180000020231-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000020231-processed-gene-0.16&CDS=1-1098
OG0001215	YDR440W	augustus_masked-scf7180000020231-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000020231-processed-gene-0.17&CDS=1-2223
OG0001216	YDR443C	genemark-scf7180000020231-processed-gene-0.121-mRNA-1_1&gene=genemark-scf7180000020231-processed-gene-0.121&CDS=1-4413
OG0001217	YDR444W	genemark-scf7180000020231-processed-gene-0.105-mRNA-1_1&gene=genemark-scf7180000020231-processed-gene-0.105&CDS=1-1911
OG0001218	YDR446W	snap_masked-scf7180000020163-processed-gene-1.58-mRNA-1_1&gene=snap_masked-scf7180000020163-processed-gene-1.58&CDS=1-954
OG0001219	YDR448W	genemark-scf7180000020082-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000020082-processed-gene-0.21&CDS=1-1326
OG0001220	YDR449C	genemark-scf7180000020082-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000020082-processed-gene-0.9&CDS=1-1347
OG0001221	YDR452W	genemark-scf7180000020082-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000020082-processed-gene-0.19&CDS=1-1803
OG0001222	YDR454C	genemark-scf7180000020082-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000020082-processed-gene-0.7&CDS=1-555
OG0001223	YDR456W	genemark-scf7180000020082-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000020082-processed-gene-0.18&CDS=1-2016
OG0001224	YDR457W	maker-scf7180000020082-snap-gene-0.22-mRNA-1_1&gene=maker-scf7180000020082-snap-gene-0.22&CDS=1-9789
OG0001225	YDR459C	snap_masked-scf7180000020082-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000020082-processed-gene-0.30&CDS=1-1155
OG0001226	YDR460W	genemark-scf7180000020082-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000020082-processed-gene-0.16&CDS=1-978
OG0001227	YDR462W	genemark-scf7180000020082-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000020082-processed-gene-0.15&CDS=1-459
OG0001228	YDR463W	genemark-scf7180000020120-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.16&CDS=1-1278
