	Kluyveromyces_marxianus	Saccharomyces_cerevisiae
OG0001046	snap_masked-BBIL01000004.1-processed-gene-3.90-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-3.90&CDS=1-966	YIL119C
OG0001047	genemark-BBIL01000004.1-processed-gene-3.135-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-3.135&CDS=1-681	YDR226W
OG0001048	augustus_masked-BBIL01000004.1-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-3.17&CDS=1-2154	YLR219W
OG0001049	snap_masked-BBIL01000004.1-processed-gene-3.67-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-3.67&CDS=1-3369	YDR104C
OG0001050	augustus_masked-BBIL01000004.1-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-3.41&CDS=1-2289	YDR103W
OG0001051	genemark-BBIL01000004.1-processed-gene-3.138-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-3.138&CDS=1-1239	YER178W
OG0001052	genemark-BBIL01000004.1-processed-gene-3.118-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-3.118&CDS=1-1713	YDR101C
OG0001053	genemark-BBIL01000004.1-processed-gene-3.119-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-3.119&CDS=1-987	YER179W
OG0001054	genemark-BBIL01000004.1-processed-gene-3.139-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-3.139&CDS=1-1407	YDR105C
OG0001055	snap_masked-BBIL01000004.1-processed-gene-3.97-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-3.97&CDS=1-201	YER180C-A
OG0001056	genemark-BBIL01000004.1-processed-gene-4.91-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.91&CDS=1-2817	YBR073W
OG0001057	genemark-BBIL01000004.1-processed-gene-4.93-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.93&CDS=1-1896	YDR049W
OG0001058	genemark-BBIL01000004.1-processed-gene-4.94-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.94&CDS=1-1107	YDR047W
OG0001059	genemark-BBIL01000004.1-processed-gene-4.92-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.92&CDS=1-2763	YBR074W
OG0001060	genemark-BBIL01000004.1-processed-gene-4.117-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.117&CDS=1-1959	YDR052C
OG0001061	genemark-BBIL01000004.1-processed-gene-4.118-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.118&CDS=1-417	YBR077C
OG0001062	augustus_masked-BBIL01000004.1-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-4.10&CDS=1-1794	YDR137W
OG0001063	genemark-BBIL01000004.1-processed-gene-4.119-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.119&CDS=1-1710	YLR114C
OG0001064	augustus_masked-BBIL01000004.1-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-4.11&CDS=1-2226	YDR138W
OG0001065	genemark-BBIL01000004.1-processed-gene-4.99-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.99&CDS=1-1332	YPL146C
OG0001066	genemark-BBIL01000004.1-processed-gene-4.120-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.120&CDS=1-2532	YPL147W
OG0001067	snap_masked-BBIL01000004.1-processed-gene-4.58-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-4.58&CDS=1-528	YPL148C
OG0001068	genemark-BBIL01000004.1-processed-gene-4.103-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.103&CDS=1-1647	YOR239W
OG0001069	genemark-BBIL01000004.1-processed-gene-4.121-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.121&CDS=1-813	YPL149W
OG0001070	genemark-BBIL01000004.1-processed-gene-4.122-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.122&CDS=1-2541	YPL150W
OG0001071	augustus_masked-BBIL01000004.1-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-4.17&CDS=1-1491	YOR241W
OG0001072	genemark-BBIL01000004.1-processed-gene-4.123-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.123&CDS=1-1137	YOR242C
OG0001073	genemark-BBIL01000004.1-processed-gene-4.124-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.124&CDS=1-2028	YOR243C
OG0001074	genemark-BBIL01000004.1-processed-gene-4.106-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.106&CDS=1-1281	YPL151C
OG0001075	genemark-BBIL01000004.1-processed-gene-4.125-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.125&CDS=1-1089	YPL152W
OG0001076	genemark-BBIL01000004.1-processed-gene-4.126-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.126&CDS=1-1260	YOR245C
OG0001077	genemark-BBIL01000004.1-processed-gene-4.108-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.108&CDS=1-2421	YPL153C
OG0001078	genemark-BBIL01000004.1-processed-gene-4.127-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.127&CDS=1-876	YDR489W
OG0001079	augustus_masked-BBIL01000004.1-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-4.21&CDS=1-1704	YDR488C
OG0001080	genemark-BBIL01000004.1-processed-gene-4.110-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.110&CDS=1-1068	YPL015C
OG0001081	genemark-BBIL01000004.1-processed-gene-4.111-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.111&CDS=1-2517	YFL003C
OG0001082	genemark-BBIL01000004.1-processed-gene-4.129-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.129&CDS=1-1665	YPL020C
OG0001083	genemark-BBIL01000004.1-processed-gene-4.112-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.112&CDS=1-2373	YKR099W
OG0001084	snap_masked-BBIL01000004.1-processed-gene-4.86-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-4.86&CDS=1-219	YIL156W-B
OG0001085	genemark-BBIL01000004.1-processed-gene-4.113-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.113&CDS=1-540	YIL157C
OG0001086	snap_masked-BBIL01000004.1-processed-gene-4.87-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-4.87&CDS=1-1074	YKR100C
OG0001087	genemark-BBIL01000004.1-processed-gene-4.114-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.114&CDS=1-1242	YIL160C
OG0001088	augustus_masked-BBIL01000004.1-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-4.45&CDS=1-594	YIL161W
OG0001089	genemark-BBIL01000004.1-processed-gene-5.48-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.48&CDS=1-1350	YGL196W
OG0001090	genemark-BBIL01000004.1-processed-gene-5.49-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.49&CDS=1-1641	YGL116W
OG0001091	genemark-BBIL01000004.1-processed-gene-5.50-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.50&CDS=1-987	YGL115W
OG0001092	genemark-BBIL01000004.1-processed-gene-5.51-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.51&CDS=1-2253	YGL114W
OG0001093	genemark-BBIL01000004.1-processed-gene-5.53-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.53&CDS=1-945	YBR231C
OG0001094	genemark-BBIL01000004.1-processed-gene-5.52-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.52&CDS=1-1245	YBR233W
OG0001095	augustus_masked-BBIL01000004.1-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-5.103&CDS=1-1887	YGL113W
OG0001096	genemark-BBIL01000004.1-processed-gene-5.77-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.77&CDS=1-1560	YGL112C
OG0001097	augustus_masked-BBIL01000004.1-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-5.104&CDS=1-246	YBR233W-A
OG0001098	genemark-BBIL01000004.1-processed-gene-5.78-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.78&CDS=1-1119	YBR234C
OG0001099	genemark-BBIL01000004.1-processed-gene-5.55-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.55&CDS=1-1296	YGL111W
OG0001100	genemark-BBIL01000004.1-processed-gene-5.79-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.79&CDS=1-1929	YGL110C
OG0001101	genemark-BBIL01000004.1-processed-gene-5.56-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.56&CDS=1-3276	YBR235W
OG0001102	genemark-BBIL01000004.1-processed-gene-5.80-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.80&CDS=1-1260	YBR236C
OG0001103	genemark-BBIL01000004.1-processed-gene-5.57-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.57&CDS=1-2451	YBR237W
OG0001104	genemark-BBIL01000004.1-processed-gene-5.81-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.81&CDS=1-312	YGL108C
OG0001105	genemark-BBIL01000004.1-processed-gene-5.82-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.82&CDS=1-2046	YBR238C
OG0001106	genemark-BBIL01000004.1-processed-gene-5.58-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.58&CDS=1-426	YGL106W
OG0001107	genemark-BBIL01000004.1-processed-gene-5.83-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.83&CDS=1-1500	YBR239C
OG0001108	genemark-BBIL01000004.1-processed-gene-5.59-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.59&CDS=1-1134	YGL105W
OG0001109	snap_masked-BBIL01000004.1-processed-gene-5.37-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-5.37&CDS=1-1104	YBR240C
OG0001110	genemark-BBIL01000004.1-processed-gene-5.60-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.60&CDS=1-450	YCR083W
OG0001111	augustus_masked-BBIL01000004.1-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-5.111&CDS=1-816	YNR040W
OG0001112	genemark-BBIL01000004.1-processed-gene-5.85-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.85&CDS=1-1122	YNR041C
OG0001113	genemark-BBIL01000004.1-processed-gene-5.62-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.62&CDS=1-1191	YNR043W
OG0001114	genemark-BBIL01000004.1-processed-gene-5.86-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.86&CDS=1-2085	YCR084C
OG0001115	genemark-BBIL01000004.1-processed-gene-5.63-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.63&CDS=1-528	YCR086W
OG0001116	genemark-BBIL01000004.1-processed-gene-5.87-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.87&CDS=1-459	YCR087C-A
OG0001117	genemark-BBIL01000004.1-processed-gene-5.64-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.64&CDS=1-1851	YCR088W
OG0001118	genemark-BBIL01000004.1-processed-gene-5.88-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.88&CDS=1-558	YCR090C
OG0001119	genemark-BBIL01000004.1-processed-gene-5.65-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.65&CDS=1-1293	YML038C
OG0001120	snap_masked-BBIL01000004.1-processed-gene-5.19-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-5.19&CDS=1-3138	YGL201C
OG0001121	genemark-BBIL01000004.1-processed-gene-5.67-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.67&CDS=1-2709	YPR160W
OG0001122	genemark-BBIL01000004.1-processed-gene-5.89-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.89&CDS=1-1491	YGL202W
OG0001123	genemark-BBIL01000004.1-processed-gene-5.69-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.69&CDS=1-1893	YGL203C
OG0001124	genemark-BBIL01000004.1-processed-gene-5.91-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.91&CDS=1-822	YER026C
OG0001125	genemark-BBIL01000004.1-processed-gene-5.92-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.92&CDS=1-2205	YGL205W
OG0001126	genemark-BBIL01000004.1-processed-gene-5.70-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.70&CDS=1-4962	YGL206C
OG0001127	genemark-BBIL01000004.1-processed-gene-5.93-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.93&CDS=1-3093	YGL207W
OG0001128	genemark-BBIL01000004.1-processed-gene-5.72-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.72&CDS=1-1590	YGL122C
OG0001129	genemark-BBIL01000004.1-processed-gene-5.94-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.94&CDS=1-771	YGL123W
OG0001130	augustus_masked-BBIL01000004.1-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-5.124&CDS=1-519	YBR230C
OG0001131	snap_masked-BBIL01000004.1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-5.27&CDS=1-1638	YGL124C
OG0001132	genemark-BBIL01000004.1-processed-gene-5.75-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.75&CDS=1-2544	YBR229C
OG0001133	augustus_masked-BBIL01000004.1-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-5.146&CDS=1-861	YBR228W
OG0001134	genemark-BBIL01000004.1-processed-gene-5.76-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-5.76&CDS=1-1503	YBR227C
OG0001135	augustus_masked-BBIL01000004.1-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-6.98&CDS=1-1860	YBR225W
OG0001136	genemark-BBIL01000004.1-processed-gene-6.53-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.53&CDS=1-1845	YGL125W
OG0001137	augustus_masked-BBIL01000004.1-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-6.95&CDS=1-1203	YBR223C
OG0001138	genemark-BBIL01000004.1-processed-gene-6.50-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.50&CDS=1-1059	YBR221C
OG0001139	genemark-BBIL01000004.1-processed-gene-6.51-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.51&CDS=1-1551	YBR220C
OG0001140	augustus_masked-BBIL01000004.1-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-6.122&CDS=1-1002	YGL126W
OG0001141	genemark-BBIL01000004.1-processed-gene-6.80-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.80&CDS=1-1722	YLR259C
OG0001142	genemark-BBIL01000004.1-processed-gene-6.81-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.81&CDS=1-1638	YIL166C
OG0001143	genemark-BBIL01000004.1-processed-gene-6.82-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.82&CDS=1-786	YGL044C
OG0001144	augustus_masked-BBIL01000004.1-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-6.102&CDS=1-1152	YGL043W
OG0001145	genemark-BBIL01000004.1-processed-gene-6.83-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.83&CDS=1-1479	YGR155W
OG0001146	genemark-BBIL01000004.1-processed-gene-6.58-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.58&CDS=1-666	YMR077C
OG0001147	genemark-BBIL01000004.1-processed-gene-6.84-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.84&CDS=1-1029	YGL040C
OG0001148	augustus_masked-BBIL01000004.1-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-6.105&CDS=1-381	YER137C
OG0001149	snap_masked-BBIL01000004.1-processed-gene-6.36-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-6.36&CDS=1-285	YBL026W
OG0001150	snap_masked-BBIL01000004.1-processed-gene-6.37-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-6.37&CDS=1-1335	YER136W
OG0001151	augustus_masked-BBIL01000004.1-processed-gene-6.106-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-6.106&CDS=1-1266	YGL185C
OG0001152	genemark-BBIL01000004.1-processed-gene-6.86-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.86&CDS=1-1356	YGL194C
OG0001153	maker-BBIL01000004.1-snap-gene-6.0-mRNA-1_1&gene=maker-BBIL01000004.1-snap-gene-6.0&CDS=1-2013	YGL192W
OG0001154	genemark-BBIL01000004.1-processed-gene-6.87-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.87&CDS=1-1356	YGL190C
OG0001155	genemark-BBIL01000004.1-processed-gene-6.88-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.88&CDS=1-4788	YFL033C
OG0001156	genemark-BBIL01000004.1-processed-gene-6.65-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.65&CDS=1-867	YLR059C
OG0001157	genemark-BBIL01000004.1-processed-gene-6.66-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.66&CDS=1-909	YFL031W
OG0001158	genemark-BBIL01000004.1-processed-gene-6.67-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.67&CDS=1-1110	YFL030W
OG0001159	snap_masked-BBIL01000004.1-processed-gene-6.42-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-6.42&CDS=1-2094	YLR057W
OG0001160	snap_masked-BBIL01000004.1-processed-gene-6.43-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-6.43&CDS=1-2064	YLR056W
OG0001161	genemark-BBIL01000004.1-processed-gene-6.90-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.90&CDS=1-843	YFL028C
OG0001162	genemark-BBIL01000004.1-processed-gene-6.69-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.69&CDS=1-1914	YLR055C
OG0001163	augustus_masked-BBIL01000004.1-processed-gene-6.135-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-6.135&CDS=1-1203	YFL027C
OG0001164	genemark-BBIL01000004.1-processed-gene-6.70-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.70&CDS=1-306	YMR244C-A
OG0001165	genemark-BBIL01000004.1-processed-gene-6.92-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.92&CDS=1-1062	YMR244W
OG0001166	genemark-BBIL01000004.1-processed-gene-6.71-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.71&CDS=1-1326	YMR243C
OG0001167	augustus_masked-BBIL01000004.1-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-6.137&CDS=1-1053	YOR315W
OG0001168	genemark-BBIL01000004.1-processed-gene-6.73-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.73&CDS=1-1053	YOR313C
OG0001169	genemark-BBIL01000004.1-processed-gene-6.75-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.75&CDS=1-843	YOR311C
OG0001170	genemark-BBIL01000004.1-processed-gene-6.76-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.76&CDS=1-1539	YOR310C
OG0001171	snap_masked-BBIL01000004.1-processed-gene-6.28-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-6.28&CDS=1-1641	YOR308C
OG0001172	genemark-BBIL01000004.1-processed-gene-6.78-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.78&CDS=1-1329	YOR307C
OG0001173	genemark-BBIL01000004.1-processed-gene-6.94-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-6.94&CDS=1-924	YMR241W
OG0001174	genemark-BBIL01000004.1-processed-gene-7.52-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.52&CDS=1-1470	YOR306C
OG0001175	genemark-BBIL01000004.1-processed-gene-7.55-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.55&CDS=1-705	YOR305W
OG0001176	snap_masked-BBIL01000004.1-processed-gene-7.100-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-7.100&CDS=1-207	YOR304C-A
OG0001177	snap_masked-BBIL01000004.1-processed-gene-7.101-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-7.101&CDS=1-1461	YMR240C
OG0001178	snap_masked-BBIL01000004.1-processed-gene-7.102-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-7.102&CDS=1-2520	YDL040C
OG0001179	genemark-BBIL01000004.1-processed-gene-7.56-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.56&CDS=1-1116	YBR018C
OG0001180	genemark-BBIL01000004.1-processed-gene-7.73-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.73&CDS=1-2073	YBR019C
OG0001181	genemark-BBIL01000004.1-processed-gene-7.58-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.58&CDS=1-426	YPR100W
OG0001182	genemark-BBIL01000004.1-processed-gene-7.75-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.75&CDS=1-1839	YGR083C
OG0001183	snap_masked-BBIL01000004.1-processed-gene-7.123-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-7.123&CDS=1-954	YGR084C
OG0001184	genemark-BBIL01000004.1-processed-gene-7.60-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.60&CDS=1-852	YPR103W
OG0001185	genemark-BBIL01000004.1-processed-gene-7.78-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.78&CDS=1-2619	YPR104C
OG0001186	snap_masked-BBIL01000004.1-processed-gene-7.126-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-7.126&CDS=1-2340	YPR105C
OG0001187	genemark-BBIL01000004.1-processed-gene-7.80-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.80&CDS=1-924	YGR086C
OG0001188	genemark-BBIL01000004.1-processed-gene-7.81-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.81&CDS=1-630	YPR107C
OG0001189	genemark-BBIL01000004.1-processed-gene-7.82-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.82&CDS=1-516	YAL008W
OG0001190	genemark-BBIL01000004.1-processed-gene-7.83-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.83&CDS=1-2016	YOR014W
OG0001191	genemark-BBIL01000004.1-processed-gene-7.84-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.84&CDS=1-864	YAL009W
OG0001192	snap_masked-BBIL01000004.1-processed-gene-7.108-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-7.108&CDS=1-1395	YAL010C
OG0001193	maker-BBIL01000004.1-snap-gene-7.51-mRNA-1_1&gene=maker-BBIL01000004.1-snap-gene-7.51&CDS=1-2193	YAL011W
OG0001194	genemark-BBIL01000004.1-processed-gene-7.62-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.62&CDS=1-3336	YOL034W
OG0001195	maker-BBIL01000004.1-augustus-gene-7.49-mRNA-1_1&gene=maker-BBIL01000004.1-augustus-gene-7.49&CDS=1-2157	YOL033W
OG0001196	genemark-BBIL01000004.1-processed-gene-7.86-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.86&CDS=1-1248	YOL031C
OG0001197	genemark-BBIL01000004.1-processed-gene-7.87-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.87&CDS=1-1170	YAL012W
OG0001198	genemark-BBIL01000004.1-processed-gene-7.88-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.88&CDS=1-321	YOL039W
OG0001199	genemark-BBIL01000004.1-processed-gene-7.65-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.65&CDS=1-426	YOL040C
OG0001200	genemark-BBIL01000004.1-processed-gene-7.89-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.89&CDS=1-1878	YAL013W
OG0001201	genemark-BBIL01000004.1-processed-gene-7.66-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.66&CDS=1-1344	YOL041C
OG0001202	genemark-BBIL01000004.1-processed-gene-7.67-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.67&CDS=1-777	YAL014C
OG0001203	genemark-BBIL01000004.1-processed-gene-7.91-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.91&CDS=1-1113	YOL042W
OG0001204	genemark-BBIL01000004.1-processed-gene-7.68-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.68&CDS=1-1098	YOL043C
OG0001205	genemark-BBIL01000004.1-processed-gene-7.92-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.92&CDS=1-1842	YAL016W
OG0001206	genemark-BBIL01000004.1-processed-gene-7.94-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.94&CDS=1-3618	YOL045W
OG0001207	snap_masked-BBIL01000004.1-processed-gene-7.116-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-7.116&CDS=1-927	YAL018C
OG0001208	maker-BBIL01000004.1-snap-gene-7.50-mRNA-1_1&gene=maker-BBIL01000004.1-snap-gene-7.50&CDS=1-3144	YOL051W
OG0001209	genemark-BBIL01000004.1-processed-gene-7.72-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.72&CDS=1-1461	YOL049W
OG0001210	genemark-BBIL01000004.1-processed-gene-7.96-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.96&CDS=1-3087	YAL019W
OG0001211	genemark-BBIL01000004.1-processed-gene-7.97-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.97&CDS=1-2919	YOR048C
OG0001212	genemark-BBIL01000004.1-processed-gene-7.98-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-7.98&CDS=1-2925	YDR270W
OG0001213	snap_masked-BBIL01000004.1-processed-gene-7.119-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-7.119&CDS=1-201	YDL085C-A
OG0001214	genemark-BBIL01000004.1-processed-gene-8.61-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.61&CDS=1-1041	YMR146C
OG0001215	genemark-BBIL01000004.1-processed-gene-8.62-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.62&CDS=1-810	YDL086W
