	Saccharomyces_cerevisiae	yHMPu5000035252_Yamadazyma_nakazawae
OG0000126	YGR100W, YLR454W	genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-4.111-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-4.111&CDS=1-10581, genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-6.47-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-6.47&CDS=1-7902
OG0000127	YGR154C, YKR076W, YMR251W	genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.221-mRNA-1_1&gene=genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.221&CDS=1-1677
OG0000128	YGR184C, YLR024C	genemark-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.20&CDS=1-5802, genemark-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.63&CDS=1-5373
OG0000129	YGR212W	augustus_masked-NODE_33_length_116640_cov_12.8815_ID_10954-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_33_length_116640_cov_12.8815_ID_10954-processed-gene-0.11&CDS=1-1383, augustus_masked-NODE_33_length_116640_cov_12.8815_ID_10954-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_33_length_116640_cov_12.8815_ID_10954-processed-gene-0.12&CDS=1-1377, genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-6.63-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-6.63&CDS=1-1410
OG0000130	YGR240C, YMR205C	maker-NODE_14_length_236535_cov_13.2068_ID_11582-augustus-gene-1.3-mRNA-1_1&gene=maker-NODE_14_length_236535_cov_13.2068_ID_11582-augustus-gene-1.3&CDS=1-3768, snap_masked-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-2.34&CDS=1-2841
OG0000131	YGR263C, YJR002W	genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-6.55-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-6.55&CDS=1-1185, maker-NODE_5_length_413661_cov_12.9644_ID_12948-augustus-gene-0.88-mRNA-1_1&gene=maker-NODE_5_length_413661_cov_12.9644_ID_12948-augustus-gene-0.88&CDS=1-2847
OG0000132	YHL007C, YNL298W	genemark-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-1.64&CDS=1-3549, genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-3.21-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-3.21&CDS=1-2289
OG0000133	YHL009C, YOL029C	genemark-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-1.60-mRNA-1_1&gene=genemark-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-1.60&CDS=1-870, genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-1.145-mRNA-1_1&gene=genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-1.145&CDS=1-1758
OG0000134	YHL019C, YPL259C	genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-0.134-mRNA-1_1&gene=genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-0.134&CDS=1-1335, genemark-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.162-mRNA-1_1&gene=genemark-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.162&CDS=1-1851
OG0000135	YHL033C, YLL045C	genemark-NODE_57_length_37385_cov_12.5173_ID_12090-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_57_length_37385_cov_12.5173_ID_12090-processed-gene-0.10&CDS=1-789, genemark-NODE_62_length_24893_cov_12.8675_ID_11218-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_62_length_24893_cov_12.8675_ID_11218-processed-gene-0.6&CDS=1-969
OG0000136	YHR023W, YMR109W	genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.18-mRNA-1_1&gene=genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.18&CDS=1-5649, genemark-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-1.71&CDS=1-3750
OG0000137	YHR028C, YOR219C	genemark-NODE_19_length_213459_cov_13.3265_ID_7339-processed-gene-1.159-mRNA-1_1&gene=genemark-NODE_19_length_213459_cov_13.3265_ID_7339-processed-gene-1.159&CDS=1-2730, genemark-NODE_40_length_82457_cov_12.7413_ID_6993-processed-gene-0.141-mRNA-1_1&gene=genemark-NODE_40_length_82457_cov_12.7413_ID_6993-processed-gene-0.141&CDS=1-2490
OG0000138	YHR031C, YML061C	augustus_masked-NODE_32_length_120119_cov_12.2487_ID_7593-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_32_length_120119_cov_12.2487_ID_7593-processed-gene-0.4&CDS=1-5163, genemark-NODE_10_length_282863_cov_12.4527_ID_7779-processed-gene-1.10-mRNA-1_1&gene=genemark-NODE_10_length_282863_cov_12.4527_ID_7779-processed-gene-1.10&CDS=1-1896
OG0000139	YHR179W, YPL171C	genemark-NODE_19_length_213459_cov_13.3265_ID_7339-processed-gene-1.122-mRNA-1_1&gene=genemark-NODE_19_length_213459_cov_13.3265_ID_7339-processed-gene-1.122&CDS=1-1203, genemark-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-1.48-mRNA-1_1&gene=genemark-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-1.48&CDS=1-1233
OG0000140	YIL107C, YOL136C	augustus_masked-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-0.82&CDS=1-855, snap_masked-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-1.147-mRNA-1_1&gene=snap_masked-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-1.147&CDS=1-2721
OG0000141	YJL095W, YLR362W	genemark-NODE_59_length_34424_cov_15.0861_ID_9882-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_59_length_34424_cov_15.0861_ID_9882-processed-gene-0.50&CDS=1-2388, genemark-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-1.110-mRNA-1_1&gene=genemark-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-1.110&CDS=1-4569
OG0000142	YJL130C, YJR109C	genemark-NODE_12_length_263429_cov_13.7089_ID_15300-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_12_length_263429_cov_13.7089_ID_15300-processed-gene-0.104&CDS=1-3486, genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-2.146-mRNA-1_1&gene=genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-2.146&CDS=1-6594
OG0000143	YJL163C	snap_masked-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-1.39&CDS=1-1524, snap_masked-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-1.40&CDS=1-1590, snap_masked-NODE_83_length_8704_cov_10.775_ID_23857-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_83_length_8704_cov_10.775_ID_23857-processed-gene-0.2&CDS=1-1968
OG0000144	YJL172W, YOL153C	genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-0.97&CDS=1-1698, genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-1.127-mRNA-1_1&gene=genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-1.127&CDS=1-1707
OG0000145	YJL200C, YLR304C	genemark-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-1.5-mRNA-1_1&gene=genemark-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-1.5&CDS=1-2334, genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-0.114&CDS=1-2418
OG0000146	YJR004C	augustus_masked-NODE_22_length_173645_cov_13.0178_ID_11547-processed-gene-0.251-mRNA-1_1&gene=augustus_masked-NODE_22_length_173645_cov_13.0178_ID_11547-processed-gene-0.251&CDS=1-990, augustus_masked-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-0.16&CDS=1-1305, genemark-NODE_80_length_9684_cov_16.6716_ID_13009-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_80_length_9684_cov_16.6716_ID_13009-processed-gene-0.7&CDS=1-1266
OG0000147	YJR119C, YMR176W	genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-1.156-mRNA-1_1&gene=genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-1.156&CDS=1-2259, snap_masked-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-0.98&CDS=1-4815
OG0000148	YJR152W	genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.32-mRNA-1_1&gene=genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.32&CDS=1-1584, genemark-NODE_63_length_23996_cov_12.8763_ID_12148-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_63_length_23996_cov_12.8763_ID_12148-processed-gene-0.35&CDS=1-1587, genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-1.44-mRNA-1_1&gene=genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-1.44&CDS=1-1524
OG0000149	YKL188C, YPL147W	genemark-NODE_15_length_229255_cov_12.734_ID_17634-processed-gene-1.181-mRNA-1_1&gene=genemark-NODE_15_length_229255_cov_12.734_ID_17634-processed-gene-1.181&CDS=1-2199, genemark-NODE_43_length_70399_cov_12.9179_ID_10329-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_43_length_70399_cov_12.9179_ID_10329-processed-gene-0.35&CDS=1-2364
OG0000150	YKL215C	genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.63-mRNA-1_1&gene=genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.63&CDS=1-3921, genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-3.104-mRNA-1_1&gene=genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-3.104&CDS=1-3933, genemark-NODE_50_length_57818_cov_13.3995_ID_17835-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_50_length_57818_cov_13.3995_ID_17835-processed-gene-0.42&CDS=1-3933
OG0000151	YKL222C, YLR266C, YOR162C, YOR172W	
OG0000152	YKR042W, YNL066W	genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-0.12&CDS=1-1158, genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-1.113-mRNA-1_1&gene=genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-1.113&CDS=1-1164
OG0000153	YKR088C, YOR307C	augustus_masked-NODE_12_length_263429_cov_13.7089_ID_15300-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NODE_12_length_263429_cov_13.7089_ID_15300-processed-gene-1.120&CDS=1-2166, genemark-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.80&CDS=1-1059
OG0000154	YLL057C	genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-1.57-mRNA-1_1&gene=genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-1.57&CDS=1-1149, genemark-NODE_14_length_236535_cov_13.2068_ID_11582-processed-gene-1.206-mRNA-1_1&gene=genemark-NODE_14_length_236535_cov_13.2068_ID_11582-processed-gene-1.206&CDS=1-1155, genemark-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-2.98-mRNA-1_1&gene=genemark-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-2.98&CDS=1-1158
OG0000155	YLL062C, YMR321C, YPL273W	augustus_masked-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-2.147&CDS=1-1755
OG0000156	YLR098C, YOR337W	genemark-NODE_60_length_25990_cov_12.5682_ID_10083-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_60_length_25990_cov_12.5682_ID_10083-processed-gene-0.25&CDS=1-1932, snap_masked-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.10&CDS=1-2127
OG0000157	YLR152C, YNL095C, YOR092W	maker-NODE_25_length_161012_cov_12.2977_ID_5900-augustus-gene-0.229-mRNA-1_1&gene=maker-NODE_25_length_161012_cov_12.2977_ID_5900-augustus-gene-0.229&CDS=1-2322
OG0000158	YLR188W, YOL057W	genemark-NODE_32_length_120119_cov_12.2487_ID_7593-processed-gene-0.138-mRNA-1_1&gene=genemark-NODE_32_length_120119_cov_12.2487_ID_7593-processed-gene-0.138&CDS=1-4350, maker-NODE_17_length_225366_cov_13.4869_ID_18054-augustus-gene-1.200-mRNA-1_1&gene=maker-NODE_17_length_225366_cov_13.4869_ID_18054-augustus-gene-1.200&CDS=1-2526
OG0000159	YLR389C, YPR122W	genemark-NODE_50_length_57818_cov_13.3995_ID_17835-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_50_length_57818_cov_13.3995_ID_17835-processed-gene-0.46&CDS=1-3060, genemark-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-0.14&CDS=1-3204
OG0000160	YML054C	genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.58-mRNA-1_1&gene=genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.58&CDS=1-1629, genemark-NODE_38_length_84095_cov_12.2823_ID_6850-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_38_length_84095_cov_12.2823_ID_6850-processed-gene-0.91&CDS=1-1587, genemark-NODE_43_length_70399_cov_12.9179_ID_10329-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_43_length_70399_cov_12.9179_ID_10329-processed-gene-0.24&CDS=1-1683
OG0000161	YML076C, YPL170W	genemark-NODE_24_length_164848_cov_13.2072_ID_10893-processed-gene-0.235-mRNA-1_1&gene=genemark-NODE_24_length_164848_cov_13.2072_ID_10893-processed-gene-0.235&CDS=1-438, maker-NODE_5_length_413661_cov_12.9644_ID_12948-augustus-gene-1.95-mRNA-1_1&gene=maker-NODE_5_length_413661_cov_12.9644_ID_12948-augustus-gene-1.95&CDS=1-3273
OG0000162	YMR266W, YOL084W	augustus_masked-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-0.112&CDS=1-8247, snap_masked-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-1.53&CDS=1-2673
OG0000163	YNL104C, YOR108W	genemark-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-1.120-mRNA-1_1&gene=genemark-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-1.120&CDS=1-1722, maker-NODE_15_length_229255_cov_12.734_ID_17634-augustus-gene-0.97-mRNA-1_1&gene=maker-NODE_15_length_229255_cov_12.734_ID_17634-augustus-gene-0.97&CDS=1-2337
OG0000164	YNL148C, YPL174C	genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-5.123-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-5.123&CDS=1-741, genemark-NODE_24_length_164848_cov_13.2072_ID_10893-processed-gene-0.192-mRNA-1_1&gene=genemark-NODE_24_length_164848_cov_13.2072_ID_10893-processed-gene-0.192&CDS=1-2499
OG0000165	YNL183C, YOR267C	genemark-NODE_36_length_90081_cov_12.4905_ID_12360-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_36_length_90081_cov_12.4905_ID_12360-processed-gene-0.9&CDS=1-2295, snap_masked-NODE_39_length_83989_cov_12.3709_ID_11766-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_39_length_83989_cov_12.3709_ID_11766-processed-gene-0.61&CDS=1-2076
OG0000166	YNL274C, YPL113C	genemark-NODE_40_length_82457_cov_12.7413_ID_6993-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_40_length_82457_cov_12.7413_ID_6993-processed-gene-0.117&CDS=1-1014, genemark-NODE_53_length_47227_cov_12.0601_ID_8136-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_53_length_47227_cov_12.0601_ID_8136-processed-gene-0.39&CDS=1-1092
OG0000167	YNL322C, YOL139C	augustus_masked-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-0.53&CDS=1-1002, genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-2.132-mRNA-1_1&gene=genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-2.132&CDS=1-393
OG0000168	YOL055C, YPL258C, YPR121W	maker-NODE_24_length_164848_cov_13.2072_ID_10893-augustus-gene-0.93-mRNA-1_1&gene=maker-NODE_24_length_164848_cov_13.2072_ID_10893-augustus-gene-0.93&CDS=1-5976
OG0000169	YOR008C, YPL260W	augustus_masked-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-1.82&CDS=1-2658, genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-0.98&CDS=1-1146
OG0000170	YOR059C, YOR201C	genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-1.162-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-1.162&CDS=1-2562, genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-2.186-mRNA-1_1&gene=genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-2.186&CDS=1-1653
OG0000171	YOR348C, YPL265W	genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-4.23-mRNA-1_1&gene=genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-4.23&CDS=1-1722, maker-NODE_28_length_142737_cov_12.6932_ID_10016-augustus-gene-0.86-mRNA-1_1&gene=maker-NODE_28_length_142737_cov_12.6932_ID_10016-augustus-gene-0.86&CDS=1-3996
OG0000172	YOR389W, YPL277C, YPL278C	genemark-NODE_31_length_134740_cov_13.8432_ID_7969-processed-gene-0.152-mRNA-1_1&gene=genemark-NODE_31_length_134740_cov_13.8432_ID_7969-processed-gene-0.152&CDS=1-1770
OG0000173	YPL074W, YPR173C	augustus_masked-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-0.84&CDS=1-5895, genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-5.118-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-5.118&CDS=1-1299
OG0000174	YPL248C	genemark-NODE_29_length_142623_cov_13.8222_ID_10748-processed-gene-0.151-mRNA-1_1&gene=genemark-NODE_29_length_142623_cov_13.8222_ID_10748-processed-gene-0.151&CDS=1-2130, snap_masked-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.185-mRNA-1_1&gene=snap_masked-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.185&CDS=1-2025, snap_masked-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-4.55-mRNA-1_1&gene=snap_masked-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-4.55&CDS=1-2175
OG0000175	Q0045, Q0065, Q0070	augustus_masked-NODE_90_length_6222_cov_1010.57_ID_16774-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_90_length_6222_cov_1010.57_ID_16774-processed-gene-0.0&CDS=1-684
OG0000176	YAL017W, YOL045W	augustus_masked-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-6.180-mRNA-1_1&gene=augustus_masked-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-6.180&CDS=1-3801
OG0000177	YAL040C	genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.17-mRNA-1_1&gene=genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.17&CDS=1-1344, genemark-NODE_22_length_173645_cov_13.0178_ID_11547-processed-gene-0.168-mRNA-1_1&gene=genemark-NODE_22_length_173645_cov_13.0178_ID_11547-processed-gene-0.168&CDS=1-1191
OG0000178	YAL049C	genemark-NODE_23_length_167091_cov_13.5911_ID_21877-processed-gene-0.222-mRNA-1_1&gene=genemark-NODE_23_length_167091_cov_13.5911_ID_21877-processed-gene-0.222&CDS=1-711, genemark-NODE_38_length_84095_cov_12.2823_ID_6850-processed-gene-0.130-mRNA-1_1&gene=genemark-NODE_38_length_84095_cov_12.2823_ID_6850-processed-gene-0.130&CDS=1-711
OG0000179	YAL054C	augustus_masked-NODE_46_length_62667_cov_13.8039_ID_13199-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_46_length_62667_cov_13.8039_ID_13199-processed-gene-0.44&CDS=1-3687, maker-NODE_3_length_599222_cov_12.9438_ID_5790-augustus-gene-2.51-mRNA-1_1&gene=maker-NODE_3_length_599222_cov_12.9438_ID_5790-augustus-gene-2.51&CDS=1-2394
OG0000180	YBL002W, YDR224C	genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.63-mRNA-1_1&gene=genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.63&CDS=1-387
OG0000181	YBL003C, YDR225W	genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.35-mRNA-1_1&gene=genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.35&CDS=1-390
OG0000182	YBL011W	genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-2.110-mRNA-1_1&gene=genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-2.110&CDS=1-1932, maker-NODE_24_length_164848_cov_13.2072_ID_10893-augustus-gene-0.89-mRNA-1_1&gene=maker-NODE_24_length_164848_cov_13.2072_ID_10893-augustus-gene-0.89&CDS=1-2706
OG0000183	YBL027W, YBR084C-A	genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-0.58&CDS=1-564
OG0000184	YBL056W, YER089C	genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-5.127-mRNA-1_1&gene=genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-5.127&CDS=1-1566
OG0000185	YBL064C	genemark-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-0.37&CDS=1-672, genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.223-mRNA-1_1&gene=genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.223&CDS=1-732
OG0000186	YBL068W, YER099C	genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-1.12-mRNA-1_1&gene=genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-1.12&CDS=1-969
OG0000187	YBL072C, YER102W	genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-2.16-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-2.16&CDS=1-597
OG0000188	YBL087C, YER117W	genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-0.99&CDS=1-399
OG0000189	YBL101C, YPR030W	genemark-NODE_24_length_164848_cov_13.2072_ID_10893-processed-gene-0.259-mRNA-1_1&gene=genemark-NODE_24_length_164848_cov_13.2072_ID_10893-processed-gene-0.259&CDS=1-3540
OG0000190	YBL106C, YPR032W	genemark-NODE_12_length_263429_cov_13.7089_ID_15300-processed-gene-1.240-mRNA-1_1&gene=genemark-NODE_12_length_263429_cov_13.7089_ID_15300-processed-gene-1.240&CDS=1-3189
OG0000191	YBR001C, YDR001C	genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-3.58-mRNA-1_1&gene=genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-3.58&CDS=1-2499
OG0000192	YBR005W, YDR003W	genemark-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-1.147-mRNA-1_1&gene=genemark-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-1.147&CDS=1-678
OG0000193	YBR006W	augustus_masked-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-0.77&CDS=1-1518, genemark-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-2.24-mRNA-1_1&gene=genemark-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-2.24&CDS=1-1473
OG0000194	YBR008C	genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-2.34-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-2.34&CDS=1-1635, snap_masked-NODE_38_length_84095_cov_12.2823_ID_6850-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_38_length_84095_cov_12.2823_ID_6850-processed-gene-0.15&CDS=1-1287
OG0000195	YBR014C, YDL010W	genemark-NODE_52_length_49647_cov_12.8703_ID_8038-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_52_length_49647_cov_12.8703_ID_8038-processed-gene-0.21&CDS=1-621
