	Metschnikowia_bicuspidata	Saccharomyces_cerevisiae
OG0000682	genemark-scaffold_1-processed-gene-16.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.82&CDS=1-1077	YKR087C
OG0000683	genemark-scaffold_1-processed-gene-16.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.83&CDS=1-702	YOR077W
OG0000684	genemark-scaffold_1-processed-gene-16.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.98&CDS=1-2049	YKR099W
OG0000685	maker-scaffold_1-snap-gene-16.3-mRNA-1_1&gene=maker-scaffold_1-snap-gene-16.3&CDS=1-2856	YKR080W
OG0000686	genemark-scaffold_1-processed-gene-16.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.101&CDS=1-1647	YHR064C
OG0000687	genemark-scaffold_1-processed-gene-16.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.85&CDS=1-1191	YGL111W
OG0000688	genemark-scaffold_1-processed-gene-16.102-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.102&CDS=1-1110	YGL100W
OG0000689	genemark-scaffold_1-processed-gene-16.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.86&CDS=1-1476	YBR243C
OG0000690	genemark-scaffold_1-processed-gene-16.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.87&CDS=1-4944	YOR341W
OG0000691	genemark-scaffold_1-processed-gene-16.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.103&CDS=1-462	YAL008W
OG0000692	genemark-scaffold_1-processed-gene-16.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.104&CDS=1-402	YIL098C
OG0000693	augustus_masked-scaffold_1-processed-gene-16.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.18&CDS=1-1080	YNL037C
OG0000694	genemark-scaffold_1-processed-gene-16.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.90&CDS=1-1281	YNL220W
OG0000695	snap_masked-scaffold_1-processed-gene-16.53-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.53&CDS=1-1770	YNL219C
OG0000696	genemark-scaffold_1-processed-gene-16.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.105&CDS=1-459	YDL235C
OG0000697	genemark-scaffold_1-processed-gene-16.106-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.106&CDS=1-1038	YDL236W
OG0000698	genemark-scaffold_1-processed-gene-16.108-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.108&CDS=1-3045	YAL035W
OG0000699	genemark-scaffold_1-processed-gene-16.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.92&CDS=1-1101	YAL036C
OG0000700	genemark-scaffold_1-processed-gene-17.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.65&CDS=1-3252	YMR308C
OG0000701	genemark-scaffold_1-processed-gene-17.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.66&CDS=1-2253	YLR319C
OG0000702	snap_masked-scaffold_1-processed-gene-17.47-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.47&CDS=1-3531	YLR318W
OG0000703	genemark-scaffold_1-processed-gene-17.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.67&CDS=1-984	YLR316C
OG0000704	genemark-scaffold_1-processed-gene-17.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.68&CDS=1-1092	YLR321C
OG0000705	genemark-scaffold_1-processed-gene-17.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.69&CDS=1-2790	YNL325C
OG0000706	genemark-scaffold_1-processed-gene-17.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.81&CDS=1-1263	YLR224W
OG0000707	genemark-scaffold_1-processed-gene-17.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.70&CDS=1-663	YKL117W
OG0000708	genemark-scaffold_1-processed-gene-17.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.71&CDS=1-1497	YHL004W
OG0000709	genemark-scaffold_1-processed-gene-17.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.72&CDS=1-1491	YHL002W
OG0000710	genemark-scaffold_1-processed-gene-17.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.84&CDS=1-798	YKL007W
OG0000711	genemark-scaffold_1-processed-gene-17.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.85&CDS=1-4851	YKL010C
OG0000712	genemark-scaffold_1-processed-gene-17.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.73&CDS=1-1509	YGR260W
OG0000713	augustus_masked-scaffold_1-processed-gene-17.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.21&CDS=1-1107	YBL016W
OG0000714	genemark-scaffold_1-processed-gene-17.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.74&CDS=1-1029	YLR100W
OG0000715	maker-scaffold_1-snap-gene-17.30-mRNA-1_1&gene=maker-scaffold_1-snap-gene-17.30&CDS=1-4434	YDR128W
OG0000716	genemark-scaffold_1-processed-gene-17.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.76&CDS=1-1248	YER019W
OG0000717	snap_masked-scaffold_1-processed-gene-17.43-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.43&CDS=1-327	YLR104W
OG0000718	maker-scaffold_1-snap-gene-17.29-mRNA-1_1&gene=maker-scaffold_1-snap-gene-17.29&CDS=1-1524	YLR149C
OG0000719	genemark-scaffold_1-processed-gene-17.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.78&CDS=1-2172	YLR103C
OG0000720	snap_masked-scaffold_1-processed-gene-18.32-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.32&CDS=1-1290	YDR323C
OG0000721	snap_masked-scaffold_1-processed-gene-18.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.33&CDS=1-273	YDR322C-A
OG0000722	snap_masked-scaffold_1-processed-gene-18.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.34&CDS=1-1113	YHR076W
OG0000723	genemark-scaffold_1-processed-gene-18.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.84&CDS=1-3015	YHR077C
OG0000724	genemark-scaffold_1-processed-gene-18.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.85&CDS=1-1080	YDR322W
OG0000725	genemark-scaffold_1-processed-gene-18.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.73&CDS=1-441	YHR051W
OG0000726	augustus_masked-scaffold_1-processed-gene-18.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.6&CDS=1-1668	YOR035C
OG0000727	genemark-scaffold_1-processed-gene-18.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.90&CDS=1-2967	YHR098C
OG0000728	genemark-scaffold_1-processed-gene-18.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.77&CDS=1-2418	YDR258C
OG0000729	snap_masked-scaffold_1-processed-gene-18.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.52&CDS=1-4242	YIR006C
OG0000730	genemark-scaffold_1-processed-gene-18.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.93&CDS=1-2301	YML035C
OG0000731	snap_masked-scaffold_1-processed-gene-18.40-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.40&CDS=1-951	YPL111W
OG0000732	genemark-scaffold_1-processed-gene-18.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.79&CDS=1-3831	YPL110C
OG0000733	genemark-scaffold_1-processed-gene-18.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.80&CDS=1-1449	YPR040W
OG0000734	genemark-scaffold_1-processed-gene-18.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.81&CDS=1-783	YJR101W
OG0000735	genemark-scaffold_1-processed-gene-18.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.82&CDS=1-930	YJR088C
OG0000736	genemark-scaffold_1-processed-gene-18.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.95&CDS=1-1725	YBL039C
OG0000737	genemark-scaffold_1-processed-gene-18.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.96&CDS=1-570	YJR102C
OG0000738	maker-scaffold_1-snap-gene-19.68-mRNA-1_1&gene=maker-scaffold_1-snap-gene-19.68&CDS=1-2733	YJR084W
OG0000739	genemark-scaffold_1-processed-gene-19.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.36&CDS=1-1191	YPR041W
OG0000740	genemark-scaffold_1-processed-gene-19.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.37&CDS=1-960	YJR093C
OG0000741	maker-scaffold_1-snap-gene-19.69-mRNA-1_1&gene=maker-scaffold_1-snap-gene-19.69&CDS=1-5148	YJR092W
OG0000742	genemark-scaffold_1-processed-gene-19.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.40&CDS=1-1413	YDL103C
OG0000743	genemark-scaffold_1-processed-gene-19.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.41&CDS=1-1884	YHL032C
OG0000744	genemark-scaffold_1-processed-gene-19.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.43&CDS=1-741	YKL152C
OG0000745	genemark-scaffold_1-processed-gene-19.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.44&CDS=1-2430	YJL041W
OG0000746	genemark-scaffold_1-processed-gene-19.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.45&CDS=1-1131	YGL040C
OG0000747	genemark-scaffold_1-processed-gene-19.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.59&CDS=1-663	YMR077C
OG0000748	genemark-scaffold_1-processed-gene-19.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.46&CDS=1-1668	YGL116W
OG0000749	genemark-scaffold_1-processed-gene-19.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.47&CDS=1-1128	YLR113W
OG0000750	genemark-scaffold_1-processed-gene-19.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.60&CDS=1-960	YBL033C
OG0000751	augustus_masked-scaffold_1-processed-gene-19.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.85&CDS=1-627	YKL041W
OG0000752	genemark-scaffold_1-processed-gene-19.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.62&CDS=1-684	YBL038W
OG0000753	maker-scaffold_1-augustus-gene-19.104-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-19.104&CDS=1-3153	YPR047W
OG0000754	genemark-scaffold_1-processed-gene-19.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.64&CDS=1-1422	YMR023C
OG0000755	genemark-scaffold_1-processed-gene-19.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.67&CDS=1-363	YJL104W
OG0000756	genemark-scaffold_1-processed-gene-19.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.56&CDS=1-1932	YBR030W
OG0000757	snap_masked-scaffold_1-processed-gene-20.40-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.40&CDS=1-1866	YKR017C
OG0000758	genemark-scaffold_1-processed-gene-20.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.83&CDS=1-957	YKR030W
OG0000759	genemark-scaffold_1-processed-gene-20.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.86&CDS=1-1098	YNL036W
OG0000760	genemark-scaffold_1-processed-gene-20.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.103&CDS=1-669	YJL055W
OG0000761	genemark-scaffold_1-processed-gene-20.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.104&CDS=1-420	YJR044C
OG0000762	genemark-scaffold_1-processed-gene-20.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.105&CDS=1-1008	YJL066C
OG0000763	genemark-scaffold_1-processed-gene-20.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.88&CDS=1-1686	YOL033W
OG0000764	snap_masked-scaffold_1-processed-gene-20.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.67&CDS=1-3072	YOL034W
OG0000765	augustus_masked-scaffold_1-processed-gene-20.7-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.7&CDS=1-426	YGL106W
OG0000766	maker-scaffold_1-snap-gene-20.39-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.39&CDS=1-2367	YNL001W
OG0000767	genemark-scaffold_1-processed-gene-20.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.92&CDS=1-1839	YBR239C
OG0000768	snap_masked-scaffold_1-processed-gene-20.51-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.51&CDS=1-1467	YBR241C
OG0000769	snap_masked-scaffold_1-processed-gene-20.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.52&CDS=1-447	YGL103W
OG0000770	maker-scaffold_1-snap-gene-20.38-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.38&CDS=1-534	YGR029W
OG0000771	snap_masked-scaffold_1-processed-gene-20.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.55&CDS=1-2946	YJL187C
OG0000772	snap_masked-scaffold_1-processed-gene-20.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.74&CDS=1-3771	YER008C
OG0000773	snap_masked-scaffold_1-processed-gene-20.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.75&CDS=1-600	YBR171W
OG0000774	snap_masked-scaffold_1-processed-gene-20.77-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.77&CDS=1-735	YPL051W
OG0000775	genemark-scaffold_1-processed-gene-20.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.99&CDS=1-1395	YER081W
OG0000776	genemark-scaffold_1-processed-gene-20.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-20.100&CDS=1-2886	YIL075C
OG0000777	augustus_masked-scaffold_1-processed-gene-21.0-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.0&CDS=1-4431	YER014W
OG0000778	snap_masked-scaffold_1-processed-gene-21.41-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.41&CDS=1-207	YIR009W
OG0000779	genemark-scaffold_1-processed-gene-21.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.78&CDS=1-1122	YGL143C
OG0000780	genemark-scaffold_1-processed-gene-21.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.76&CDS=1-315	YDL110C
OG0000781	genemark-scaffold_1-processed-gene-21.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.79&CDS=1-1392	YDR316W
OG0000782	genemark-scaffold_1-processed-gene-21.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.77&CDS=1-1275	YDL097C
OG0000783	augustus_masked-scaffold_1-processed-gene-21.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.5&CDS=1-2379	YDL116W
OG0000784	genemark-scaffold_1-processed-gene-21.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.81&CDS=1-1980	YDL113C
OG0000785	maker-scaffold_1-snap-gene-21.33-mRNA-1_1&gene=maker-scaffold_1-snap-gene-21.33&CDS=1-4278	YDL112W
OG0000786	genemark-scaffold_1-processed-gene-21.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.95&CDS=1-867	YDL111C
OG0000787	genemark-scaffold_1-processed-gene-21.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.86&CDS=1-330	YMR155W
OG0000788	augustus_masked-scaffold_1-processed-gene-21.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.24&CDS=1-2616	YBR179C
OG0000789	snap_masked-scaffold_1-processed-gene-21.50-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.50&CDS=1-645	YIR032C
OG0000790	genemark-scaffold_1-processed-gene-21.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.97&CDS=1-834	YFR043C
OG0000791	genemark-scaffold_1-processed-gene-21.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.87&CDS=1-2580	YGL233W
OG0000792	genemark-scaffold_1-processed-gene-21.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.88&CDS=1-888	YMR314W
OG0000793	genemark-scaffold_1-processed-gene-21.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.89&CDS=1-858	YGL232W
OG0000794	snap_masked-scaffold_1-processed-gene-21.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.64&CDS=1-522	YGL231C
OG0000795	snap_masked-scaffold_1-processed-gene-21.57-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.57&CDS=1-1149	YPL138C
OG0000796	snap_masked-scaffold_1-processed-gene-21.65-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.65&CDS=1-1407	YDR403W
OG0000797	maker-scaffold_1-snap-gene-21.34-mRNA-1_1&gene=maker-scaffold_1-snap-gene-21.34&CDS=1-3672	YDR060W
OG0000798	augustus_masked-scaffold_1-processed-gene-21.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.29&CDS=1-4713	YBL104C
OG0000799	snap_masked-scaffold_1-processed-gene-21.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.60&CDS=1-4680	YFL036W
OG0000800	snap_masked-scaffold_1-processed-gene-21.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.69&CDS=1-573	YFL034C-B
OG0000801	snap_masked-scaffold_1-processed-gene-21.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.70&CDS=1-1833	YNL169C
OG0000802	snap_masked-scaffold_1-processed-gene-21.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.71&CDS=1-3492	YNL172W
OG0000803	genemark-scaffold_1-processed-gene-21.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.105&CDS=1-1281	YOR187W
OG0000804	augustus_masked-scaffold_1-processed-gene-22.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.67&CDS=1-3147	YBR155W
OG0000805	genemark-scaffold_1-processed-gene-22.2-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.2&CDS=1-1608	YLR299W
OG0000806	genemark-scaffold_1-processed-gene-22.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.15&CDS=1-1434	YOR188W
OG0000807	snap_masked-scaffold_1-processed-gene-22.50-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.50&CDS=1-1968	YNL167C
OG0000808	genemark-scaffold_1-processed-gene-22.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.17&CDS=1-1950	YJR131W
OG0000809	snap_masked-scaffold_1-processed-gene-22.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.37&CDS=1-2445	YML076C
OG0000810	genemark-scaffold_1-processed-gene-22.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.19&CDS=1-1602	YER052C
OG0000811	genemark-scaffold_1-processed-gene-22.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.7&CDS=1-1830	YER049W
OG0000812	genemark-scaffold_1-processed-gene-22.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.8&CDS=1-849	YIL043C
OG0000813	genemark-scaffold_1-processed-gene-22.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.20&CDS=1-2400	YLL013C
OG0000814	augustus_masked-scaffold_1-processed-gene-22.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.75&CDS=1-1041	YGR222W
OG0000815	augustus_masked-scaffold_1-processed-gene-22.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.83&CDS=1-1071	YGR223C
OG0000816	genemark-scaffold_1-processed-gene-22.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.21&CDS=1-2052	YKL022C
OG0000817	genemark-scaffold_1-processed-gene-22.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.12&CDS=1-1194	YKL021C
OG0000818	genemark-scaffold_1-processed-gene-22.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.22&CDS=1-1119	YIR034C
OG0000819	genemark-scaffold_1-processed-gene-22.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.23&CDS=1-1980	YGR194C
OG0000820	snap_masked-scaffold_1-processed-gene-22.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.64&CDS=1-4533	YPR184W
OG0000821	maker-scaffold_1-snap-gene-22.91-mRNA-1_1&gene=maker-scaffold_1-snap-gene-22.91&CDS=1-4695	YNL139C
OG0000822	genemark-scaffold_1-processed-gene-23.2-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.2&CDS=1-453	YDR397C
OG0000823	maker-scaffold_1-snap-gene-23.72-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.72&CDS=1-3801	YDR395W
OG0000824	genemark-scaffold_1-processed-gene-23.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.5&CDS=1-1068	YGR048W
OG0000825	genemark-scaffold_1-processed-gene-23.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.15&CDS=1-651	YDR399W
OG0000826	augustus_masked-scaffold_1-processed-gene-23.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.83&CDS=1-3939	YKL073W
OG0000827	augustus_masked-scaffold_1-processed-gene-23.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.93&CDS=1-945	YMR055C
OG0000828	genemark-scaffold_1-processed-gene-23.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.7&CDS=1-864	YCL031C
OG0000829	genemark-scaffold_1-processed-gene-23.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.8&CDS=1-849	YMR289W
OG0000830	genemark-scaffold_1-processed-gene-23.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.16&CDS=1-906	YGR208W
OG0000831	genemark-scaffold_1-processed-gene-23.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.18&CDS=1-1380	YJL025W
OG0000832	maker-scaffold_1-snap-gene-23.73-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.73&CDS=1-1935	YOR374W
OG0000833	snap_masked-scaffold_1-processed-gene-23.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.62&CDS=1-2094	YDR017C
OG0000834	genemark-scaffold_1-processed-gene-23.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.10&CDS=1-2901	YDL031W
OG0000835	genemark-scaffold_1-processed-gene-23.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.20&CDS=1-1644	YOL123W
OG0000836	genemark-scaffold_1-processed-gene-23.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.21&CDS=1-1047	YDL100C
OG0000837	genemark-scaffold_1-processed-gene-23.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.12&CDS=1-1560	YPL003W
OG0000838	genemark-scaffold_1-processed-gene-23.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.23&CDS=1-1821	YFL002C
OG0000839	genemark-scaffold_1-processed-gene-23.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.13&CDS=1-1311	YFL001W
OG0000840	genemark-scaffold_1-processed-gene-23.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.14&CDS=1-1965	YDL057W
OG0000841	genemark-scaffold_1-processed-gene-23.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.24&CDS=1-435	YHR191C
OG0000842	genemark-scaffold_1-processed-gene-24.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.78&CDS=1-531	YHR193C
OG0000843	genemark-scaffold_1-processed-gene-24.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.79&CDS=1-2799	YLR115W
OG0000844	genemark-scaffold_1-processed-gene-24.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.95&CDS=1-2100	YLR002C
OG0000845	snap_masked-scaffold_1-processed-gene-24.41-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.41&CDS=1-1572	YMR015C
OG0000846	genemark-scaffold_1-processed-gene-24.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.96&CDS=1-1521	YHR183W
OG0000847	genemark-scaffold_1-processed-gene-24.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.82&CDS=1-1581	YJR010W
OG0000848	genemark-scaffold_1-processed-gene-24.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.83&CDS=1-1185	YKL124W
OG0000849	genemark-scaffold_1-processed-gene-24.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.85&CDS=1-525	YER134C
OG0000850	genemark-scaffold_1-processed-gene-24.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.98&CDS=1-7761	YBL004W
OG0000851	genemark-scaffold_1-processed-gene-24.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.88&CDS=1-1221	YDL001W
OG0000852	snap_masked-scaffold_1-processed-gene-24.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.64&CDS=1-2031	YDR208W
OG0000853	genemark-scaffold_1-processed-gene-24.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.91&CDS=1-912	YBR151W
OG0000854	genemark-scaffold_1-processed-gene-24.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.92&CDS=1-318	YDR286C
OG0000855	genemark-scaffold_1-processed-gene-25.65-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.65&CDS=1-3006	YIL125W
OG0000856	snap_masked-scaffold_1-processed-gene-25.31-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.31&CDS=1-540	YKR065C
OG0000857	maker-scaffold_1-snap-gene-25.0-mRNA-1_1&gene=maker-scaffold_1-snap-gene-25.0&CDS=1-960	YNL316C
OG0000858	genemark-scaffold_1-processed-gene-25.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.82&CDS=1-405	YOL133W
OG0000859	genemark-scaffold_1-processed-gene-25.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.70&CDS=1-696	YOL135C
OG0000860	genemark-scaffold_1-processed-gene-25.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.83&CDS=1-2205	YKL135C
OG0000861	genemark-scaffold_1-processed-gene-25.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.84&CDS=1-561	YJR074W
OG0000862	augustus_masked-scaffold_1-processed-gene-25.9-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.9&CDS=1-1182	YJR075W
OG0000863	genemark-scaffold_1-processed-gene-25.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.72&CDS=1-1335	YNR050C
OG0000864	genemark-scaffold_1-processed-gene-25.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.85&CDS=1-1500	YMR211W
OG0000865	genemark-scaffold_1-processed-gene-25.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.73&CDS=1-1077	YMR214W
