	Dekkera_bruxellensis	Saccharomyces_cerevisiae
OG0000649	genemark-scaffold_1-processed-gene-9.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.41&CDS=1-1650	YPR186C
OG0000650	genemark-scaffold_1-processed-gene-9.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.42&CDS=1-687	YGR129W
OG0000651	genemark-scaffold_1-processed-gene-9.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.43&CDS=1-4491	YGR116W
OG0000652	genemark-scaffold_1-processed-gene-9.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.44&CDS=1-1401	YIL039W
OG0000653	genemark-scaffold_1-processed-gene-9.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.45&CDS=1-2397	YER047C
OG0000654	genemark-scaffold_1-processed-gene-9.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.66&CDS=1-1407	YER048C
OG0000655	genemark-scaffold_1-processed-gene-9.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.67&CDS=1-906	YBR146W
OG0000656	genemark-scaffold_1-processed-gene-9.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.68&CDS=1-504	YOL086W-A
OG0000657	genemark-scaffold_1-processed-gene-9.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.69&CDS=1-2499	YOL078W
OG0000658	augustus_masked-scaffold_1-processed-gene-9.4-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.4&CDS=1-210	YOL077W-A
OG0000659	genemark-scaffold_1-processed-gene-9.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.70&CDS=1-882	YOL077C
OG0000660	genemark-scaffold_1-processed-gene-9.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.49&CDS=1-4881	YOR341W
OG0000661	genemark-scaffold_1-processed-gene-9.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.72&CDS=1-990	YGL091C
OG0000662	genemark-scaffold_1-processed-gene-9.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.52&CDS=1-483	YIR037W
OG0000663	genemark-scaffold_1-processed-gene-9.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.73&CDS=1-1098	YBL033C
OG0000664	genemark-scaffold_1-processed-gene-9.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.74&CDS=1-1038	YBR246W
OG0000665	augustus_masked-scaffold_1-processed-gene-9.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.13&CDS=1-435	YGL106W
OG0000666	genemark-scaffold_1-processed-gene-9.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.75&CDS=1-2007	YBR239C
OG0000667	maker-scaffold_1-snap-gene-9.86-mRNA-1_1&gene=maker-scaffold_1-snap-gene-9.86&CDS=1-2262	YNL001W
OG0000668	snap_masked-scaffold_1-processed-gene-9.111-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.111&CDS=1-441	YGL103W
OG0000669	genemark-scaffold_1-processed-gene-9.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.77&CDS=1-1350	YBR243C
OG0000670	genemark-scaffold_1-processed-gene-9.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.60&CDS=1-1983	YGL110C
OG0000671	genemark-scaffold_1-processed-gene-9.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.78&CDS=1-1230	YGL111W
OG0000672	maker-scaffold_1-augustus-gene-9.136-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-9.136&CDS=1-1110	YJR112W
OG0000673	genemark-scaffold_1-processed-gene-9.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.79&CDS=1-969	YGL100W
OG0000674	genemark-scaffold_1-processed-gene-9.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.62&CDS=1-2721	YBR073W
OG0000675	genemark-scaffold_1-processed-gene-9.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.82&CDS=1-1875	YDR049W
OG0000676	maker-scaffold_1-snap-gene-9.89-mRNA-1_1&gene=maker-scaffold_1-snap-gene-9.89&CDS=1-1152	YCR016W
OG0000677	maker-scaffold_1-snap-gene-9.90-mRNA-1_1&gene=maker-scaffold_1-snap-gene-9.90&CDS=1-2277	YOR322C
OG0000678	genemark-scaffold_1-processed-gene-10.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.76&CDS=1-843	YIL043C
OG0000679	genemark-scaffold_1-processed-gene-10.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.79&CDS=1-1695	YER052C
OG0000680	genemark-scaffold_1-processed-gene-10.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.95&CDS=1-804	YPL065W
OG0000681	genemark-scaffold_1-processed-gene-10.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.97&CDS=1-2859	YNL049C
OG0000682	genemark-scaffold_1-processed-gene-10.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.80&CDS=1-324	YER048W-A
OG0000683	genemark-scaffold_1-processed-gene-10.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.98&CDS=1-1458	YHR137W
OG0000684	genemark-scaffold_1-processed-gene-10.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.100&CDS=1-3513	YFR031C
OG0000685	genemark-scaffold_1-processed-gene-10.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.101&CDS=1-375	YGL080W
OG0000686	genemark-scaffold_1-processed-gene-10.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.87&CDS=1-1773	YDR244W
OG0000687	genemark-scaffold_1-processed-gene-10.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.88&CDS=1-1020	YDR245W
OG0000688	genemark-scaffold_1-processed-gene-10.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.89&CDS=1-3570	YPL016W
OG0000689	genemark-scaffold_1-processed-gene-10.102-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.102&CDS=1-3069	YPL022W
OG0000690	genemark-scaffold_1-processed-gene-10.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.90&CDS=1-1959	YPL023C
OG0000691	genemark-scaffold_1-processed-gene-10.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.91&CDS=1-1164	YNL084C
OG0000692	genemark-scaffold_1-processed-gene-10.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.105&CDS=1-3255	YIL128W
OG0000693	maker-scaffold_1-augustus-gene-10.40-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-10.40&CDS=1-1929	YPR165W
OG0000694	genemark-scaffold_1-processed-gene-10.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.109&CDS=1-1374	YNL040W
OG0000695	maker-scaffold_1-augustus-gene-10.39-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-10.39&CDS=1-2424	YAR002W
OG0000696	genemark-scaffold_1-processed-gene-10.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.94&CDS=1-2085	YDR333C
OG0000697	genemark-scaffold_1-processed-gene-11.1-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.1&CDS=1-1371	YJR019C
OG0000698	genemark-scaffold_1-processed-gene-11.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.0&CDS=1-2157	YKL213C
OG0000699	genemark-scaffold_1-processed-gene-11.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.3&CDS=1-873	YKL024C
OG0000700	genemark-scaffold_1-processed-gene-11.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.26&CDS=1-1335	YBL045C
OG0000701	genemark-scaffold_1-processed-gene-11.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.4&CDS=1-369	YPR166C
OG0000702	genemark-scaffold_1-processed-gene-11.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.6&CDS=1-1527	YPL003W
OG0000703	genemark-scaffold_1-processed-gene-11.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.7&CDS=1-2178	YHR072W
OG0000704	augustus_masked-scaffold_1-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.59&CDS=1-1116	YDR202C
OG0000705	genemark-scaffold_1-processed-gene-11.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.11&CDS=1-4812	YDR180W
OG0000706	genemark-scaffold_1-processed-gene-11.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.31&CDS=1-2634	YLR166C
OG0000707	genemark-scaffold_1-processed-gene-11.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.13&CDS=1-1587	YHR045W
OG0000708	genemark-scaffold_1-processed-gene-11.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.14&CDS=1-8589	YIL129C
OG0000709	genemark-scaffold_1-processed-gene-11.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.15&CDS=1-906	YML004C
OG0000710	augustus_masked-scaffold_1-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.61&CDS=1-489	YCL033C
OG0000711	genemark-scaffold_1-processed-gene-11.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.34&CDS=1-2508	YOR165W
OG0000712	snap_masked-scaffold_1-processed-gene-11.89-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.89&CDS=1-1002	YOR164C
OG0000713	genemark-scaffold_1-processed-gene-11.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.35&CDS=1-708	YOR163W
OG0000714	maker-scaffold_1-snap-gene-11.68-mRNA-1_1&gene=maker-scaffold_1-snap-gene-11.68&CDS=1-2535	YLR290C
OG0000715	genemark-scaffold_1-processed-gene-11.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.37&CDS=1-1170	YNR041C
OG0000716	genemark-scaffold_1-processed-gene-12.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.75&CDS=1-2394	YKL188C
OG0000717	genemark-scaffold_1-processed-gene-12.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.76&CDS=1-411	YOL026C
OG0000718	genemark-scaffold_1-processed-gene-12.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.73&CDS=1-1920	YGL252C
OG0000719	genemark-scaffold_1-processed-gene-12.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.74&CDS=1-1272	YGR285C
OG0000720	genemark-scaffold_1-processed-gene-12.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.79&CDS=1-858	YOR194C
OG0000721	genemark-scaffold_1-processed-gene-12.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.80&CDS=1-2649	YOR195W
OG0000722	augustus_masked-scaffold_1-processed-gene-12.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.54&CDS=1-2832	YJL128C
OG0000723	genemark-scaffold_1-processed-gene-12.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.83&CDS=1-1227	YOR196C
OG0000724	genemark-scaffold_1-processed-gene-12.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.90&CDS=1-1506	YOR198C
OG0000725	genemark-scaffold_1-processed-gene-12.91-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.91&CDS=1-861	YGL161C
OG0000726	genemark-scaffold_1-processed-gene-12.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.84&CDS=1-2919	YGR014W
OG0000727	genemark-scaffold_1-processed-gene-12.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.85&CDS=1-1119	YMR152W
OG0000728	genemark-scaffold_1-processed-gene-12.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.93&CDS=1-2457	YJL094C
OG0000729	genemark-scaffold_1-processed-gene-12.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.86&CDS=1-441	YOR224C
OG0000730	genemark-scaffold_1-processed-gene-12.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.97&CDS=1-864	YOR223W
OG0000731	genemark-scaffold_1-processed-gene-12.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.99&CDS=1-390	YLR363W-A
OG0000732	snap_masked-scaffold_1-processed-gene-12.26-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.26&CDS=1-918	YDR531W
OG0000733	snap_masked-scaffold_1-processed-gene-12.27-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.27&CDS=1-807	YGR262C
OG0000734	snap_masked-scaffold_1-processed-gene-12.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.28&CDS=1-1662	YDL029W
OG0000735	genemark-scaffold_1-processed-gene-12.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.101&CDS=1-2004	YDL028C
OG0000736	genemark-scaffold_1-processed-gene-12.102-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.102&CDS=1-933	YER118C
OG0000737	genemark-scaffold_1-processed-gene-12.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.89&CDS=1-2121	YDL215C
OG0000738	genemark-scaffold_1-processed-gene-12.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.103&CDS=1-2904	YNL238W
OG0000739	genemark-scaffold_1-processed-gene-12.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.104&CDS=1-1338	YNL239W
OG0000740	genemark-scaffold_1-processed-gene-12.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.105&CDS=1-1737	YDL225W
OG0000741	genemark-scaffold_1-processed-gene-13.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.4&CDS=1-732	YNL200C
OG0000742	snap_masked-scaffold_1-processed-gene-13.87-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.87&CDS=1-1410	YFL037W
OG0000743	genemark-scaffold_1-processed-gene-13.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.9&CDS=1-3132	YLR039C
OG0000744	genemark-scaffold_1-processed-gene-13.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.27&CDS=1-1512	YMR131C
OG0000745	genemark-scaffold_1-processed-gene-13.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.11&CDS=1-3552	YGR112W
OG0000746	genemark-scaffold_1-processed-gene-13.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.12&CDS=1-648	YGR113W
OG0000747	genemark-scaffold_1-processed-gene-13.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.28&CDS=1-861	YER026C
OG0000748	genemark-scaffold_1-processed-gene-13.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.29&CDS=1-1263	YLR027C
OG0000749	maker-scaffold_1-snap-gene-13.124-mRNA-1_1&gene=maker-scaffold_1-snap-gene-13.124&CDS=1-1506	YDR527W
OG0000750	genemark-scaffold_1-processed-gene-13.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.30&CDS=1-3918	YNL250W
OG0000751	maker-scaffold_1-snap-gene-13.125-mRNA-1_1&gene=maker-scaffold_1-snap-gene-13.125&CDS=1-1974	YNL247W
OG0000752	genemark-scaffold_1-processed-gene-13.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.31&CDS=1-963	YKL094W
OG0000753	genemark-scaffold_1-processed-gene-13.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.32&CDS=1-1977	YLR116W
OG0000754	maker-scaffold_1-augustus-gene-13.2-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-13.2&CDS=1-3678	YPL260W
OG0000755	genemark-scaffold_1-processed-gene-13.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.35&CDS=1-1653	YDL178W
OG0000756	genemark-scaffold_1-processed-gene-13.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.21&CDS=1-1782	YOR070C
OG0000757	genemark-scaffold_1-processed-gene-13.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.23&CDS=1-1425	YER019W
OG0000758	genemark-scaffold_1-processed-gene-13.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.24&CDS=1-3696	YLR189C
OG0000759	snap_masked-scaffold_1-processed-gene-13.103-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.103&CDS=1-1500	YNL276C
OG0000760	genemark-scaffold_1-processed-gene-13.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.38&CDS=1-1725	YNL277W
OG0000761	genemark-scaffold_1-processed-gene-13.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.41&CDS=1-684	YER170W
OG0000762	genemark-scaffold_1-processed-gene-14.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.9&CDS=1-834	YPL157W
OG0000763	genemark-scaffold_1-processed-gene-14.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.6&CDS=1-1473	YJL025W
OG0000764	genemark-scaffold_1-processed-gene-14.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.10&CDS=1-2205	YOR275C
OG0000765	genemark-scaffold_1-processed-gene-14.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.13&CDS=1-1287	YEL036C
OG0000766	snap_masked-scaffold_1-processed-gene-14.106-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.106&CDS=1-3324	YEL043W
OG0000767	snap_masked-scaffold_1-processed-gene-14.107-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.107&CDS=1-1137	YEL046C
OG0000768	genemark-scaffold_1-processed-gene-14.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.34&CDS=1-2646	YLL034C
OG0000769	augustus_masked-scaffold_1-processed-gene-14.73-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.73&CDS=1-273	YLR038C
OG0000770	genemark-scaffold_1-processed-gene-14.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.16&CDS=1-2292	YLL035W
OG0000771	genemark-scaffold_1-processed-gene-14.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.18&CDS=1-1038	YGL040C
OG0000772	genemark-scaffold_1-processed-gene-14.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.39&CDS=1-651	YMR077C
OG0000773	genemark-scaffold_1-processed-gene-14.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.20&CDS=1-879	YMR269W
OG0000774	snap_masked-scaffold_1-processed-gene-14.98-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.98&CDS=1-4965	YML103C
OG0000775	genemark-scaffold_1-processed-gene-14.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.24&CDS=1-2337	YGL022W
OG0000776	genemark-scaffold_1-processed-gene-14.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.27&CDS=1-1845	YHL032C
OG0000777	genemark-scaffold_1-processed-gene-14.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.28&CDS=1-483	YFL014W
OG0000778	genemark-scaffold_1-processed-gene-14.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.29&CDS=1-1032	YOR311C
OG0000779	genemark-scaffold_1-processed-gene-15.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.48&CDS=1-1725	YBL039C
OG0000780	genemark-scaffold_1-processed-gene-15.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.49&CDS=1-642	YJR102C
OG0000781	genemark-scaffold_1-processed-gene-15.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.50&CDS=1-759	YJR101W
OG0000782	genemark-scaffold_1-processed-gene-15.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.45&CDS=1-1053	YJR100C
OG0000783	genemark-scaffold_1-processed-gene-15.51-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.51&CDS=1-462	YJR104C
OG0000784	augustus_masked-scaffold_1-processed-gene-15.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.6&CDS=1-1521	YBL040C
OG0000785	genemark-scaffold_1-processed-gene-15.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.52&CDS=1-729	YBL041W
OG0000786	genemark-scaffold_1-processed-gene-15.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.66&CDS=1-2316	YDR205W
OG0000787	genemark-scaffold_1-processed-gene-15.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.67&CDS=1-1326	YER152C
OG0000788	maker-scaffold_1-snap-gene-15.94-mRNA-1_1&gene=maker-scaffold_1-snap-gene-15.94&CDS=1-1551	YDL113C
OG0000789	augustus_masked-scaffold_1-processed-gene-15.16-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.16&CDS=1-1242	YDR182W
OG0000790	snap_masked-scaffold_1-processed-gene-15.111-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.111&CDS=1-2910	YJL204C
OG0000791	genemark-scaffold_1-processed-gene-15.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.75&CDS=1-753	YPR037C
OG0000792	genemark-scaffold_1-processed-gene-15.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.59&CDS=1-1236	YPR040W
OG0000793	genemark-scaffold_1-processed-gene-15.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.60&CDS=1-1476	YDR376W
OG0000794	genemark-scaffold_1-processed-gene-15.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.76&CDS=1-297	YDR377W
OG0000795	snap_masked-scaffold_1-processed-gene-15.116-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.116&CDS=1-264	YNL211C
OG0000796	genemark-scaffold_1-processed-gene-15.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.77&CDS=1-2376	YNL212W
OG0000797	genemark-scaffold_1-processed-gene-15.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.62&CDS=1-726	YNL213C
OG0000798	augustus_masked-scaffold_1-processed-gene-15.37-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.37&CDS=1-5250	YGL151W
OG0000799	genemark-scaffold_1-processed-gene-15.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.83&CDS=1-483	YDR512C
OG0000800	genemark-scaffold_1-processed-gene-15.84-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.84&CDS=1-831	YDL052C
OG0000801	genemark-scaffold_1-processed-gene-15.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.85&CDS=1-363	YNL081C
OG0000802	genemark-scaffold_1-processed-gene-15.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.86&CDS=1-1143	YNL080C
OG0000803	genemark-scaffold_1-processed-gene-16.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.6&CDS=1-2799	YIL137C
OG0000804	augustus_masked-scaffold_1-processed-gene-16.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.62&CDS=1-273	YDR510W
OG0000805	augustus_masked-scaffold_1-processed-gene-16.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.63&CDS=1-1815	YMR265C
OG0000806	genemark-scaffold_1-processed-gene-16.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.27&CDS=1-735	YBR261C
OG0000807	genemark-scaffold_1-processed-gene-16.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.12&CDS=1-1500	YBR283C
OG0000808	genemark-scaffold_1-processed-gene-16.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.13&CDS=1-2256	YBR080C
OG0000809	genemark-scaffold_1-processed-gene-16.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.14&CDS=1-1194	YGL048C
OG0000810	genemark-scaffold_1-processed-gene-16.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.30&CDS=1-918	YJL053W
OG0000811	genemark-scaffold_1-processed-gene-16.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.31&CDS=1-666	YDR226W
OG0000812	genemark-scaffold_1-processed-gene-16.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.33&CDS=1-1572	YBL015W
OG0000813	augustus_masked-scaffold_1-processed-gene-16.52-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.52&CDS=1-4404	YMR190C
OG0000814	genemark-scaffold_1-processed-gene-16.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.16&CDS=1-2367	YGL234W
OG0000815	genemark-scaffold_1-processed-gene-16.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.18&CDS=1-1776	YIL001W
OG0000816	snap_masked-scaffold_1-processed-gene-16.91-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.91&CDS=1-315	YIL008W
OG0000817	genemark-scaffold_1-processed-gene-16.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.38&CDS=1-663	YIL007C
OG0000818	genemark-scaffold_1-processed-gene-16.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.20&CDS=1-762	YEL001C
OG0000819	genemark-scaffold_1-processed-gene-16.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.21&CDS=1-747	YKL152C
OG0000820	snap_masked-scaffold_1-processed-gene-16.95-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.95&CDS=1-237	YGR105W
OG0000821	snap_masked-scaffold_1-processed-gene-16.113-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.113&CDS=1-270	YJL166W
OG0000822	genemark-scaffold_1-processed-gene-16.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.23&CDS=1-1674	YNR030W
OG0000823	genemark-scaffold_1-processed-gene-17.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.47&CDS=1-1878	YJL041W
OG0000824	genemark-scaffold_1-processed-gene-17.66-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.66&CDS=1-2292	YFR038W
OG0000825	genemark-scaffold_1-processed-gene-17.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.49&CDS=1-1824	YFR037C
OG0000826	genemark-scaffold_1-processed-gene-17.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.50&CDS=1-1290	YLR191W
OG0000827	genemark-scaffold_1-processed-gene-17.51-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.51&CDS=1-891	YIL084C
OG0000828	genemark-scaffold_1-processed-gene-17.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.52&CDS=1-768	YOL032W
OG0000829	augustus_masked-scaffold_1-processed-gene-17.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.25&CDS=1-2577	YOL033W
OG0000830	genemark-scaffold_1-processed-gene-17.53-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.53&CDS=1-1929	YAL048C
OG0000831	genemark-scaffold_1-processed-gene-17.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.54&CDS=1-933	YMR274C
OG0000832	genemark-scaffold_1-processed-gene-17.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.55&CDS=1-1062	YHR025W
OG0000833	genemark-scaffold_1-processed-gene-17.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.70&CDS=1-585	YHR026W
