	Lachancea_meyersii	Saccharomyces_cerevisiae
OG0000669	snap_masked-LAME0B-processed-gene-3.36-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-3.36&CDS=1-582	YFR008W
OG0000670	augustus_masked-LAME0B-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.111&CDS=1-2028	YPR007C
OG0000671	augustus_masked-LAME0B-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.135&CDS=1-1044	YFR007W
OG0000672	genemark-LAME0B-processed-gene-3.59-mRNA-1_1&gene=genemark-LAME0B-processed-gene-3.59&CDS=1-1047	YPR004C
OG0000673	snap_masked-LAME0B-processed-gene-3.10-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-3.10&CDS=1-2220	YPR003C
OG0000674	snap_masked-LAME0B-processed-gene-3.11-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-3.11&CDS=1-1347	YDL007W
OG0000675	augustus_masked-LAME0B-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.113&CDS=1-882	YDL006W
OG0000676	augustus_masked-LAME0B-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.136&CDS=1-894	YDL005C
OG0000677	augustus_masked-LAME0B-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.114&CDS=1-474	YDL004W
OG0000678	augustus_masked-LAME0B-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.115&CDS=1-1755	YDL003W
OG0000679	augustus_masked-LAME0B-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.116&CDS=1-7449	YBL004W
OG0000680	augustus_masked-LAME0B-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.137&CDS=1-609	YDL002C
OG0000681	augustus_masked-LAME0B-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.117&CDS=1-1227	YDL001W
OG0000682	augustus_masked-LAME0B-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.139&CDS=1-312	YBL001C
OG0000683	augustus_masked-LAME0B-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.119&CDS=1-621	YDR002W
OG0000684	augustus_masked-LAME0B-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.141&CDS=1-855	YBR002C
OG0000685	augustus_masked-LAME0B-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.120&CDS=1-1407	YBR003W
OG0000686	augustus_masked-LAME0B-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.142&CDS=1-1290	YBR004C
OG0000687	augustus_masked-LAME0B-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.122&CDS=1-861	YBR011C
OG0000688	augustus_masked-LAME0B-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.143&CDS=1-669	YDR007W
OG0000689	maker-LAME0B-augustus-gene-3.150-mRNA-1_1&gene=maker-LAME0B-augustus-gene-3.150&CDS=1-1896	YNL316C
OG0000690	augustus_masked-LAME0B-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.145&CDS=1-375	YOL133W
OG0000691	augustus_masked-LAME0B-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.125&CDS=1-663	YOL135C
OG0000692	augustus_masked-LAME0B-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.126&CDS=1-1218	YOL136C
OG0000693	augustus_masked-LAME0B-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.146&CDS=1-1353	YNL317W
OG0000694	augustus_masked-LAME0B-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.147&CDS=1-1377	YOL137W
OG0000695	augustus_masked-LAME0B-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.127&CDS=1-798	YGL085W
OG0000696	augustus_masked-LAME0B-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.148&CDS=1-1758	YGL084C
OG0000697	augustus_masked-LAME0B-processed-gene-3.128-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.128&CDS=1-2394	YGL083W
OG0000698	augustus_masked-LAME0B-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.129&CDS=1-2337	YPL190C
OG0000699	genemark-LAME0B-processed-gene-3.79-mRNA-1_1&gene=genemark-LAME0B-processed-gene-3.79&CDS=1-1119	YGL082W
OG0000700	snap_masked-LAME0B-processed-gene-3.31-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-3.31&CDS=1-1221	YGL081W
OG0000701	augustus_masked-LAME0B-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.149&CDS=1-1122	YPL193W
OG0000702	augustus_masked-LAME0B-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.131&CDS=1-384	YGL080W
OG0000703	augustus_masked-LAME0B-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.43&CDS=1-4278	YPL195W
OG0000704	snap_masked-LAME0B-processed-gene-4.86-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-4.86&CDS=1-570	YGL079W
OG0000705	augustus_masked-LAME0B-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.44&CDS=1-777	YPL196W
OG0000706	augustus_masked-LAME0B-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.46&CDS=1-1581	YGL078C
OG0000707	augustus_masked-LAME0B-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.47&CDS=1-1620	YGL077C
OG0000708	augustus_masked-LAME0B-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.48&CDS=1-774	YPL199C
OG0000709	augustus_masked-LAME0B-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.68&CDS=1-1170	YGL075C
OG0000710	snap_masked-LAME0B-processed-gene-4.95-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-4.95&CDS=1-1071	YPL201C
OG0000711	snap_masked-LAME0B-processed-gene-4.96-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-4.96&CDS=1-1566	YGL071W
OG0000712	genemark-LAME0B-processed-gene-4.27-mRNA-1_1&gene=genemark-LAME0B-processed-gene-4.27&CDS=1-366	YGL070C
OG0000713	augustus_masked-LAME0B-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.52&CDS=1-513	YGL068W
OG0000714	augustus_masked-LAME0B-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.53&CDS=1-1089	YGL067W
OG0000715	augustus_masked-LAME0B-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.54&CDS=1-960	YPL206C
OG0000716	augustus_masked-LAME0B-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.55&CDS=1-1776	YGL066W
OG0000717	augustus_masked-LAME0B-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.70&CDS=1-1536	YGL065C
OG0000718	augustus_masked-LAME0B-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.71&CDS=1-2361	YPL207W
OG0000719	snap_masked-LAME0B-processed-gene-4.118-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-4.118&CDS=1-1761	YPL208W
OG0000720	augustus_masked-LAME0B-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.57&CDS=1-1155	YPL209C
OG0000721	augustus_masked-LAME0B-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.73&CDS=1-1659	YGL064C
OG0000722	snap_masked-LAME0B-processed-gene-4.103-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-4.103&CDS=1-1803	YPL210C
OG0000723	augustus_masked-LAME0B-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.74&CDS=1-543	YPL211W
OG0000724	augustus_masked-LAME0B-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.59&CDS=1-1635	YPL212C
OG0000725	augustus_masked-LAME0B-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.60&CDS=1-1317	YGL129C
OG0000726	augustus_masked-LAME0B-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.75&CDS=1-1410	YGL130W
OG0000727	augustus_masked-LAME0B-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.61&CDS=1-4476	YGL131C
OG0000728	augustus_masked-LAME0B-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.76&CDS=1-714	YPL213W
OG0000729	augustus_masked-LAME0B-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.62&CDS=1-1614	YPL214C
OG0000730	snap_masked-LAME0B-processed-gene-4.123-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-4.123&CDS=1-1011	YPL215W
OG0000731	snap_masked-LAME0B-processed-gene-4.124-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-4.124&CDS=1-3246	YGL133W
OG0000732	augustus_masked-LAME0B-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.63&CDS=1-3516	YPL217C
OG0000733	augustus_masked-LAME0B-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.78&CDS=1-564	YPL218W
OG0000734	augustus_masked-LAME0B-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.64&CDS=1-915	YGL136C
OG0000735	genemark-LAME0B-processed-gene-4.40-mRNA-1_1&gene=genemark-LAME0B-processed-gene-4.40&CDS=1-2577	YGL137W
OG0000736	augustus_masked-LAME0B-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.65&CDS=1-885	YGL138C
OG0000737	augustus_masked-LAME0B-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.97&CDS=1-1980	YMR172W
OG0000738	snap_masked-LAME0B-processed-gene-5.54-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-5.54&CDS=1-4536	YMR176W
OG0000739	snap_masked-LAME0B-processed-gene-5.55-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-5.55&CDS=1-1503	YMR177W
OG0000740	augustus_masked-LAME0B-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.124&CDS=1-438	YPL225W
OG0000741	augustus_masked-LAME0B-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.103&CDS=1-837	YMR178W
OG0000742	augustus_masked-LAME0B-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.104&CDS=1-2031	YMR179W
OG0000743	augustus_masked-LAME0B-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.105&CDS=1-996	YPL227C
OG0000744	augustus_masked-LAME0B-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.126&CDS=1-1515	YPL228W
OG0000745	augustus_masked-LAME0B-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.127&CDS=1-435	YMR181C
OG0000746	augustus_masked-LAME0B-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.130&CDS=1-645	YPL233W
OG0000747	augustus_masked-LAME0B-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.106&CDS=1-465	YPL234C
OG0000748	augustus_masked-LAME0B-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.131&CDS=1-1410	YPL235W
OG0000749	augustus_masked-LAME0B-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.107&CDS=1-1035	YPL236C
OG0000750	augustus_masked-LAME0B-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.108&CDS=1-531	YMR184W
OG0000751	augustus_masked-LAME0B-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.132&CDS=1-879	YPL237W
OG0000752	augustus_masked-LAME0B-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.133&CDS=1-591	YPL239W
OG0000753	augustus_masked-LAME0B-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.109&CDS=1-2961	YMR185W
OG0000754	augustus_masked-LAME0B-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.112&CDS=1-4557	YPL242C
OG0000755	augustus_masked-LAME0B-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.135&CDS=1-1788	YPL243W
OG0000756	augustus_masked-LAME0B-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.113&CDS=1-1002	YPL244C
OG0000757	genemark-LAME0B-processed-gene-5.17-mRNA-1_1&gene=genemark-LAME0B-processed-gene-5.17&CDS=1-933	YPL246C
OG0000758	augustus_masked-LAME0B-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.136&CDS=1-687	YMR188C
OG0000759	augustus_masked-LAME0B-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.115&CDS=1-1368	YPL247C
OG0000760	augustus_masked-LAME0B-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.116&CDS=1-3057	YMR189W
OG0000761	augustus_masked-LAME0B-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.117&CDS=1-1776	YAL067C
OG0000762	augustus_masked-LAME0B-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.137&CDS=1-4236	YMR190C
OG0000763	augustus_masked-LAME0B-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.118&CDS=1-1971	YPL248C
OG0000764	augustus_masked-LAME0B-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.119&CDS=1-1119	YMR191W
OG0000765	augustus_masked-LAME0B-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.120&CDS=1-3231	YPL249C
OG0000766	augustus_masked-LAME0B-processed-gene-5.138-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.138&CDS=1-228	YMR194C-B
OG0000767	augustus_masked-LAME0B-processed-gene-5.139-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-5.139&CDS=1-261	YDL181W
OG0000768	augustus_masked-LAME0B-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.98&CDS=1-2475	YDL132W
OG0000769	augustus_masked-LAME0B-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.99&CDS=1-1488	YDL133W
OG0000770	augustus_masked-LAME0B-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.96&CDS=1-927	YDL183C
OG0000771	augustus_masked-LAME0B-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.119&CDS=1-858	YDL186W
OG0000772	augustus_masked-LAME0B-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.101&CDS=1-1086	YDL134C
OG0000773	augustus_masked-LAME0B-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.102&CDS=1-600	YDL135C
OG0000774	augustus_masked-LAME0B-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.121&CDS=1-870	YDL189W
OG0000775	augustus_masked-LAME0B-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.103&CDS=1-2847	YDL190C
OG0000776	augustus_masked-LAME0B-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.124&CDS=1-1050	YDL193W
OG0000777	augustus_masked-LAME0B-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.126&CDS=1-3882	YDL195W
OG0000778	maker-LAME0B-snap-gene-6.46-mRNA-1_1&gene=maker-LAME0B-snap-gene-6.46&CDS=1-858	YLR218C
OG0000779	augustus_masked-LAME0B-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.105&CDS=1-1110	YLR216C
OG0000780	augustus_masked-LAME0B-processed-gene-6.106-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.106&CDS=1-4878	YDL140C
OG0000781	augustus_masked-LAME0B-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.127&CDS=1-2046	YDL141W
OG0000782	genemark-LAME0B-processed-gene-6.61-mRNA-1_1&gene=genemark-LAME0B-processed-gene-6.61&CDS=1-621	YDL142C
OG0000783	augustus_masked-LAME0B-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.128&CDS=1-1584	YDL143W
OG0000784	augustus_masked-LAME0B-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.108&CDS=1-1107	YLR215C
OG0000785	maker-LAME0B-snap-gene-6.49-mRNA-1_1&gene=maker-LAME0B-snap-gene-6.49&CDS=1-4110	YLR214W
OG0000786	augustus_masked-LAME0B-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.109&CDS=1-1092	YDL144C
OG0000787	maker-LAME0B-augustus-gene-6.138-mRNA-1_1&gene=maker-LAME0B-augustus-gene-6.138&CDS=1-4992	YDL145C
OG0000788	augustus_masked-LAME0B-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.111&CDS=1-1410	YLR212C
OG0000789	augustus_masked-LAME0B-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.130&CDS=1-1461	YDL146W
OG0000790	snap_masked-LAME0B-processed-gene-6.16-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-6.16&CDS=1-576	YLR211C
OG0000791	augustus_masked-LAME0B-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.131&CDS=1-1323	YDL147W
OG0000792	augustus_masked-LAME0B-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.113&CDS=1-2469	YDL148C
OG0000793	augustus_masked-LAME0B-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.132&CDS=1-2793	YDL149W
OG0000794	augustus_masked-LAME0B-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.133&CDS=1-1338	YDL150W
OG0000795	augustus_masked-LAME0B-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.114&CDS=1-1794	YDL153C
OG0000796	augustus_masked-LAME0B-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.134&CDS=1-1260	YDL155W
OG0000797	genemark-LAME0B-processed-gene-6.71-mRNA-1_1&gene=genemark-LAME0B-processed-gene-6.71&CDS=1-738	YDR391C
OG0000798	augustus_masked-LAME0B-processed-gene-6.135-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.135&CDS=1-1524	YDL156W
OG0000799	augustus_masked-LAME0B-processed-gene-6.116-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.116&CDS=1-351	YDL157C
OG0000800	augustus_masked-LAME0B-processed-gene-6.136-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.136&CDS=1-1323	YDL159W
OG0000801	augustus_masked-LAME0B-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.117&CDS=1-1593	YDL160C
OG0000802	augustus_masked-LAME0B-processed-gene-6.118-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.118&CDS=1-915	YLR209C
OG0000803	augustus_masked-LAME0B-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-6.137&CDS=1-882	YLR208W
OG0000804	augustus_masked-LAME0B-processed-gene-7.125-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.125&CDS=1-2247	YLR207W
OG0000805	snap_masked-LAME0B-processed-gene-7.1-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-7.1&CDS=1-258	YDL160C-A
OG0000806	augustus_masked-LAME0B-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.124&CDS=1-2097	YDL164C
OG0000807	augustus_masked-LAME0B-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.127&CDS=1-924	YLR205C
OG0000808	augustus_masked-LAME0B-processed-gene-7.128-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.128&CDS=1-1266	YLR203C
OG0000809	augustus_masked-LAME0B-processed-gene-7.151-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.151&CDS=1-570	YDL165W
OG0000810	augustus_masked-LAME0B-processed-gene-7.129-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.129&CDS=1-645	YDL166C
OG0000811	augustus_masked-LAME0B-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.130&CDS=1-1626	YDL167C
OG0000812	augustus_masked-LAME0B-processed-gene-7.152-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.152&CDS=1-1143	YDL168W
OG0000813	augustus_masked-LAME0B-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.131&CDS=1-777	YLR201C
OG0000814	augustus_masked-LAME0B-processed-gene-7.153-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.153&CDS=1-348	YLR200W
OG0000815	augustus_masked-LAME0B-processed-gene-7.132-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.132&CDS=1-807	YLR199C
OG0000816	augustus_masked-LAME0B-processed-gene-7.154-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.154&CDS=1-1524	YLR197W
OG0000817	genemark-LAME0B-processed-gene-7.80-mRNA-1_1&gene=genemark-LAME0B-processed-gene-7.80&CDS=1-453	YDL169C
OG0000818	augustus_masked-LAME0B-processed-gene-7.155-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.155&CDS=1-1716	YLR196W
OG0000819	augustus_masked-LAME0B-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.134&CDS=1-1347	YLR195C
OG0000820	augustus_masked-LAME0B-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.135&CDS=1-519	YLR193C
OG0000821	genemark-LAME0B-processed-gene-7.106-mRNA-1_1&gene=genemark-LAME0B-processed-gene-7.106&CDS=1-1851	YDL170W
OG0000822	genemark-LAME0B-processed-gene-7.107-mRNA-1_1&gene=genemark-LAME0B-processed-gene-7.107&CDS=1-645	YGR247W
OG0000823	augustus_masked-LAME0B-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.136&CDS=1-1716	YGR246C
OG0000824	augustus_masked-LAME0B-processed-gene-7.137-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.137&CDS=1-2193	YGR245C
OG0000825	augustus_masked-LAME0B-processed-gene-7.138-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.138&CDS=1-1251	YGR244C
OG0000826	augustus_masked-LAME0B-processed-gene-7.159-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.159&CDS=1-765	YHR163W
OG0000827	augustus_masked-LAME0B-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.139&CDS=1-1062	YGR249W
OG0000828	augustus_masked-LAME0B-processed-gene-7.160-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.160&CDS=1-2544	YGR250C
OG0000829	snap_masked-LAME0B-processed-gene-7.41-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-7.41&CDS=1-4890	YHR164C
OG0000830	maker-LAME0B-augustus-gene-7.66-mRNA-1_1&gene=maker-LAME0B-augustus-gene-7.66&CDS=1-9201	YHR165C
OG0000831	augustus_masked-LAME0B-processed-gene-7.140-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.140&CDS=1-780	YHR167W
OG0000832	augustus_masked-LAME0B-processed-gene-7.141-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.141&CDS=1-2901	YHR169W
OG0000833	augustus_masked-LAME0B-processed-gene-7.142-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.142&CDS=1-588	YGR251W
OG0000834	augustus_masked-LAME0B-processed-gene-7.143-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.143&CDS=1-1536	YHR170W
OG0000835	augustus_masked-LAME0B-processed-gene-7.144-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.144&CDS=1-1890	YHR171W
OG0000836	augustus_masked-LAME0B-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.145&CDS=1-1284	YGR252W
OG0000837	augustus_masked-LAME0B-processed-gene-7.163-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.163&CDS=1-783	YGR253C
OG0000838	augustus_masked-LAME0B-processed-gene-7.164-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.164&CDS=1-2826	YNL236W
OG0000839	augustus_masked-LAME0B-processed-gene-7.165-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.165&CDS=1-1332	YNL237W
OG0000840	augustus_masked-LAME0B-processed-gene-7.166-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.166&CDS=1-2361	YNL238W
OG0000841	augustus_masked-LAME0B-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.146&CDS=1-1389	YNL240C
OG0000842	augustus_masked-LAME0B-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.147&CDS=1-1524	YNL241C
OG0000843	augustus_masked-LAME0B-processed-gene-7.167-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.167&CDS=1-3147	YDL240W
OG0000844	snap_masked-LAME0B-processed-gene-7.50-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-7.50&CDS=1-4695	YNL242W
OG0000845	augustus_masked-LAME0C-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-0.18&CDS=1-966	YIL164C
OG0000846	genemark-LAME0C-processed-gene-0.39-mRNA-1_1&gene=genemark-LAME0C-processed-gene-0.39&CDS=1-942	YKL216W
OG0000847	augustus_masked-LAME0C-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-0.20&CDS=1-3834	YKL215C
