	Saccharomyces_cerevisiae	yHMPu5000034967_Candida_freyschussii
OG0000661	YBR096W	genemark-flattened_line_38-processed-gene-0.156-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.156&CDS=1-648
OG0000662	YBR097W	genemark-flattened_line_34-processed-gene-0.224-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.224&CDS=1-4404
OG0000663	YBR098W	genemark-flattened_line_12-processed-gene-2.93-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.93&CDS=1-1917
OG0000664	YBR101C	genemark-flattened_line_12-processed-gene-2.114-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.114&CDS=1-843
OG0000665	YBR102C	genemark-flattened_line_12-processed-gene-2.95-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.95&CDS=1-2082
OG0000666	YBR103W	genemark-flattened_line_12-processed-gene-2.117-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.117&CDS=1-1557
OG0000667	YBR105C	genemark-flattened_line_10-processed-gene-2.138-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.138&CDS=1-837
OG0000668	YBR106W	genemark-flattened_line_4-processed-gene-2.137-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.137&CDS=1-567
OG0000669	YBR109C	genemark-flattened_line_4-processed-gene-4.105-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.105&CDS=1-441
OG0000670	YBR110W	genemark-flattened_line_4-processed-gene-4.81-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.81&CDS=1-1167
OG0000671	YBR111C	augustus_masked-flattened_line_4-processed-gene-4.178-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.178&CDS=1-681
OG0000672	YBR111W-A	genemark-flattened_line_4-processed-gene-4.87-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.87&CDS=1-285
OG0000673	YBR112C	snap_masked-flattened_line_4-processed-gene-4.50-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-4.50&CDS=1-2196
OG0000674	YBR114W	genemark-flattened_line_0-processed-gene-11.55-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.55&CDS=1-2529
OG0000675	YBR115C	genemark-flattened_line_0-processed-gene-10.31-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.31&CDS=1-4158
OG0000676	YBR120C	genemark-flattened_line_18-processed-gene-1.127-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.127&CDS=1-426
OG0000677	YBR121C	genemark-flattened_line_18-processed-gene-1.126-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.126&CDS=1-1968
OG0000678	YBR122C	genemark-flattened_line_18-processed-gene-1.121-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.121&CDS=1-555
OG0000679	YBR123C	genemark-flattened_line_18-processed-gene-1.120-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.120&CDS=1-1494
OG0000680	YBR125C	genemark-flattened_line_26-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.93&CDS=1-1071
OG0000681	YBR126C	genemark-flattened_line_18-processed-gene-1.144-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.144&CDS=1-1413
OG0000682	YBR127C	genemark-flattened_line_26-processed-gene-1.96-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.96&CDS=1-1530
OG0000683	YBR129C	genemark-flattened_line_26-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.109&CDS=1-933
OG0000684	YBR133C	genemark-flattened_line_12-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.33&CDS=1-1950
OG0000685	YBR135W	genemark-flattened_line_12-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.18&CDS=1-288
OG0000686	YBR136W	genemark-flattened_line_12-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.19&CDS=1-6801
OG0000687	YBR137W	genemark-flattened_line_4-processed-gene-1.148-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.148&CDS=1-471
OG0000688	YBR138C	genemark-flattened_line_18-processed-gene-3.203-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.203&CDS=1-1254
OG0000689	YBR142W	genemark-flattened_line_2-processed-gene-4.160-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.160&CDS=1-2127
OG0000690	YBR143C	genemark-flattened_line_2-processed-gene-4.157-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.157&CDS=1-1305
OG0000691	YBR146W	genemark-flattened_line_8-processed-gene-5.37-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.37&CDS=1-837
OG0000692	YBR151W	genemark-flattened_line_68-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.43&CDS=1-873
OG0000693	YBR153W	genemark-flattened_line_8-processed-gene-5.35-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.35&CDS=1-741
OG0000694	YBR154C	snap_masked-flattened_line_8-processed-gene-5.284-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-5.284&CDS=1-645
OG0000695	YBR155W	genemark-flattened_line_0-processed-gene-7.175-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.175&CDS=1-1158
OG0000696	YBR156C	genemark-flattened_line_0-processed-gene-7.149-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.149&CDS=1-2691
OG0000697	YBR158W	genemark-flattened_line_18-processed-gene-3.201-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.201&CDS=1-1602
OG0000698	YBR160W	maker-flattened_line_22-augustus-gene-1.310-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-1.310&CDS=1-1962
OG0000699	YBR162C	genemark-flattened_line_0-processed-gene-1.106-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.106&CDS=1-1401
OG0000700	YBR162W-A	augustus_masked-flattened_line_0-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.14&CDS=1-1260
OG0000701	YBR163W	genemark-flattened_line_16-processed-gene-3.219-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.219&CDS=1-1572
OG0000702	YBR164C	genemark-flattened_line_8-processed-gene-5.88-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.88&CDS=1-549
OG0000703	YBR166C	genemark-flattened_line_8-processed-gene-5.89-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.89&CDS=1-1311
OG0000704	YBR171W	genemark-flattened_line_2-processed-gene-5.75-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.75&CDS=1-603
OG0000705	YBR173C	genemark-flattened_line_2-processed-gene-5.99-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.99&CDS=1-438
OG0000706	YBR179C	genemark-flattened_line_2-processed-gene-5.77-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.77&CDS=1-2493
OG0000707	YBR180W	genemark-flattened_line_26-processed-gene-1.98-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.98&CDS=1-1509
OG0000708	YBR182C	genemark-flattened_line_0-processed-gene-11.65-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.65&CDS=1-1497
OG0000709	YBR185C	genemark-flattened_line_0-processed-gene-11.87-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.87&CDS=1-897
OG0000710	YBR186W	maker-flattened_line_8-augustus-gene-2.111-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-2.111&CDS=1-2910
OG0000711	YBR187W	genemark-flattened_line_8-processed-gene-2.30-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.30&CDS=1-1011
OG0000712	YBR189W	augustus_masked-flattened_line_8-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.0&CDS=1-570
OG0000713	YBR192W	genemark-flattened_line_8-processed-gene-3.75-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.75&CDS=1-1062
OG0000714	YBR193C	genemark-flattened_line_8-processed-gene-3.79-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.79&CDS=1-573
OG0000715	YBR196C	genemark-flattened_line_8-processed-gene-3.106-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.106&CDS=1-1659
OG0000716	YBR198C	genemark-flattened_line_8-processed-gene-3.108-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.108&CDS=1-2169
OG0000717	YBR199W	genemark-flattened_line_10-processed-gene-5.149-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.149&CDS=1-1380
OG0000718	YBR200W	genemark-flattened_line_0-processed-gene-3.104-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.104&CDS=1-1599
OG0000719	YBR201W	genemark-flattened_line_0-processed-gene-2.152-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.152&CDS=1-687
OG0000720	YBR202W	genemark-flattened_line_0-processed-gene-7.128-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.128&CDS=1-2421
OG0000721	YBR203W	genemark-flattened_line_16-processed-gene-3.226-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.226&CDS=1-1575
OG0000722	YBR208C	genemark-flattened_line_8-processed-gene-5.41-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.41&CDS=1-5493
OG0000723	YBR211C	genemark-flattened_line_68-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.44&CDS=1-951
OG0000724	YBR213W	genemark-flattened_line_0-processed-gene-3.91-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.91&CDS=1-780
OG0000725	YBR215W	genemark-flattened_line_8-processed-gene-5.75-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.75&CDS=1-1509
OG0000726	YBR217W	genemark-flattened_line_4-processed-gene-1.143-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.143&CDS=1-570
OG0000727	YBR218C	genemark-flattened_line_20-processed-gene-2.34-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.34&CDS=1-3546
OG0000728	YBR220C	snap_masked-flattened_line_0-processed-gene-12.68-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.68&CDS=1-1605
OG0000729	YBR221C	genemark-flattened_line_0-processed-gene-12.111-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-12.111&CDS=1-1134
OG0000730	YBR222C	genemark-flattened_line_0-processed-gene-12.157-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-12.157&CDS=1-1605
OG0000731	YBR223C	genemark-flattened_line_0-processed-gene-10.48-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.48&CDS=1-1629
OG0000732	YBR227C	augustus_masked-flattened_line_22-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.111&CDS=1-5715
OG0000733	YBR229C	genemark-flattened_line_14-processed-gene-1.185-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.185&CDS=1-2724
OG0000734	YBR231C	genemark-flattened_line_44-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.38&CDS=1-891
OG0000735	YBR234C	genemark-flattened_line_14-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.70&CDS=1-1095
OG0000736	YBR235W	genemark-flattened_line_0-processed-gene-2.145-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.145&CDS=1-3402
OG0000737	YBR236C	genemark-flattened_line_0-processed-gene-2.120-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.120&CDS=1-1449
OG0000738	YBR237W	augustus_masked-flattened_line_0-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.45&CDS=1-2448
OG0000739	YBR241C	genemark-flattened_line_20-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.67&CDS=1-1422
OG0000740	YBR243C	genemark-flattened_line_20-processed-gene-1.94-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.94&CDS=1-1344
OG0000741	YBR246W	snap_masked-flattened_line_20-processed-gene-1.6-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.6&CDS=1-1056
OG0000742	YBR247C	snap_masked-flattened_line_4-processed-gene-2.52-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.52&CDS=1-1389
OG0000743	YBR248C	maker-flattened_line_4-snap-gene-2.172-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.172&CDS=1-2760
OG0000744	YBR251W	maker-flattened_line_2-snap-gene-8.12-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-8.12&CDS=1-2211
OG0000745	YBR254C	genemark-flattened_line_0-processed-gene-7.143-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.143&CDS=1-423
OG0000746	YBR255C-A	genemark-flattened_line_6-processed-gene-1.6-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.6&CDS=1-357
OG0000747	YBR255W	genemark-flattened_line_0-processed-gene-7.172-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.172&CDS=1-1554
OG0000748	YBR256C	snap_masked-flattened_line_0-processed-gene-11.152-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.152&CDS=1-678
OG0000749	YBR257W	genemark-flattened_line_46-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.106&CDS=1-792
OG0000750	YBR258C	genemark-flattened_line_22-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.17&CDS=1-417
OG0000751	YBR260C	snap_masked-flattened_line_48-processed-gene-0.163-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.163&CDS=1-1944
OG0000752	YBR261C	genemark-flattened_line_6-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.47&CDS=1-681
OG0000753	YBR265W	genemark-flattened_line_14-processed-gene-2.78-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.78&CDS=1-903
OG0000754	YBR267W	snap_masked-flattened_line_22-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.53&CDS=1-1188
OG0000755	YBR268W	genemark-flattened_line_22-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.10&CDS=1-360
OG0000756	YBR269C	genemark-flattened_line_22-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.34&CDS=1-390
OG0000757	YBR271W	genemark-flattened_line_22-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.0&CDS=1-1134
OG0000758	YBR272C	genemark-flattened_line_48-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.10&CDS=1-1389
OG0000759	YBR274W	genemark-flattened_line_48-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.42&CDS=1-1575
OG0000760	YBR275C	augustus_masked-flattened_line_2-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.146&CDS=1-4428
OG0000761	YBR276C	genemark-flattened_line_2-processed-gene-3.100-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.100&CDS=1-2877
OG0000762	YBR279W	genemark-flattened_line_22-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.7&CDS=1-1155
OG0000763	YBR280C	snap_masked-flattened_line_12-processed-gene-4.86-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-4.86&CDS=1-1518
OG0000764	YBR281C	augustus_masked-flattened_line_12-processed-gene-4.295-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.295&CDS=1-3381
OG0000765	YBR282W	genemark-flattened_line_2-processed-gene-3.99-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.99&CDS=1-438
OG0000766	YBR283C	genemark-flattened_line_6-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.68&CDS=1-1449
OG0000767	YBR286W	genemark-flattened_line_22-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.18&CDS=1-1554
OG0000768	YBR287W	genemark-flattened_line_6-processed-gene-4.144-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.144&CDS=1-1374
OG0000769	YBR288C	genemark-flattened_line_10-processed-gene-1.91-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.91&CDS=1-1470
OG0000770	YBR289W	genemark-flattened_line_22-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.109&CDS=1-1620
OG0000771	YBR290W	genemark-flattened_line_22-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.110&CDS=1-1059
OG0000772	YBR291C	genemark-flattened_line_22-processed-gene-1.155-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.155&CDS=1-885
OG0000773	YBR296C	genemark-flattened_line_20-processed-gene-3.204-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.204&CDS=1-1749
OG0000774	YCL001W	genemark-flattened_line_30-processed-gene-0.193-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.193&CDS=1-549
OG0000775	YCL002C	maker-flattened_line_30-snap-gene-0.226-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.226&CDS=1-708
OG0000776	YCL004W	genemark-flattened_line_30-processed-gene-0.194-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.194&CDS=1-1461
OG0000777	YCL005W-A	genemark-flattened_line_20-processed-gene-3.269-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.269&CDS=1-216
OG0000778	YCL008C	genemark-flattened_line_20-processed-gene-3.235-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.235&CDS=1-1254
OG0000779	YCL009C	genemark-flattened_line_28-processed-gene-0.179-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.179&CDS=1-882
OG0000780	YCL010C	genemark-flattened_line_30-processed-gene-0.141-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.141&CDS=1-702
OG0000781	YCL012C	genemark-flattened_line_30-processed-gene-0.143-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.143&CDS=1-372
OG0000782	YCL014W	genemark-flattened_line_30-processed-gene-0.196-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.196&CDS=1-3591
OG0000783	YCL016C	genemark-flattened_line_30-processed-gene-0.144-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.144&CDS=1-1050
OG0000784	YCL017C	genemark-flattened_line_30-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.146&CDS=1-1401
OG0000785	YCL018W	genemark-flattened_line_30-processed-gene-0.147-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.147&CDS=1-1089
OG0000786	YCL027W	genemark-flattened_line_10-processed-gene-1.119-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.119&CDS=1-1335
OG0000787	YCL029C	genemark-flattened_line_24-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.55&CDS=1-2496
OG0000788	YCL030C	genemark-flattened_line_24-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.54&CDS=1-2523
OG0000789	YCL031C	genemark-flattened_line_79-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_79-processed-gene-0.10&CDS=1-861
OG0000790	YCL033C	snap_masked-flattened_line_24-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.1&CDS=1-414
OG0000791	YCL034W	genemark-flattened_line_24-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.53&CDS=1-1050
OG0000792	YCL038C	genemark-flattened_line_69-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.33&CDS=1-1635
OG0000793	YCL039W	genemark-flattened_line_69-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.27&CDS=1-1587
OG0000794	YCL043C	genemark-flattened_line_24-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.39&CDS=1-1509
OG0000795	YCL044C	genemark-flattened_line_22-processed-gene-1.145-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.145&CDS=1-771
OG0000796	YCL045C	genemark-flattened_line_22-processed-gene-1.146-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.146&CDS=1-2610
OG0000797	YCL047C	genemark-flattened_line_12-processed-gene-1.78-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.78&CDS=1-822
OG0000798	YCL052C	genemark-flattened_line_12-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.79&CDS=1-1350
OG0000799	YCL054W	genemark-flattened_line_12-processed-gene-1.100-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.100&CDS=1-2463
OG0000800	YCL055W	genemark-flattened_line_12-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.101&CDS=1-1296
OG0000801	YCL057C-A	snap_masked-flattened_line_66-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.13&CDS=1-249
OG0000802	YCL057W	genemark-flattened_line_66-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.31&CDS=1-2079
OG0000803	YCL059C	genemark-flattened_line_10-processed-gene-1.118-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.118&CDS=1-1092
OG0000804	YCL061C	genemark-flattened_line_10-processed-gene-1.116-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.116&CDS=1-3711
OG0000805	YCR002C	genemark-flattened_line_40-processed-gene-0.164-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.164&CDS=1-1008
OG0000806	YCR003W	genemark-flattened_line_40-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.120&CDS=1-546
OG0000807	YCR008W	genemark-flattened_line_2-processed-gene-3.88-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.88&CDS=1-1716
OG0000808	YCR009C	genemark-flattened_line_2-processed-gene-3.89-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.89&CDS=1-792
OG0000809	YCR011C	genemark-flattened_line_42-processed-gene-0.183-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.183&CDS=1-2841
OG0000810	YCR012W	genemark-flattened_line_0-processed-gene-9.124-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.124&CDS=1-1245
OG0000811	YCR014C	augustus_masked-flattened_line_0-processed-gene-9.94-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.94&CDS=1-1446
OG0000812	YCR015C	genemark-flattened_line_0-processed-gene-9.120-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.120&CDS=1-813
OG0000813	YCR016W	genemark-flattened_line_0-processed-gene-9.117-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.117&CDS=1-1056
OG0000814	YCR017C	genemark-flattened_line_0-processed-gene-9.148-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.148&CDS=1-2796
OG0000815	YCR019W	snap_masked-flattened_line_2-processed-gene-2.140-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.140&CDS=1-1047
OG0000816	YCR020C	snap_masked-flattened_line_56-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.49&CDS=1-642
OG0000817	YCR020C-A	augustus_masked-flattened_line_6-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.14&CDS=1-759
OG0000818	YCR024C	genemark-flattened_line_20-processed-gene-1.112-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.112&CDS=1-1440
OG0000819	YCR028C	genemark-flattened_line_4-processed-gene-5.40-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.40&CDS=1-1518
OG0000820	YCR028C-A	genemark-flattened_line_6-processed-gene-5.19-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.19&CDS=1-399
OG0000821	YCR030C	genemark-flattened_line_6-processed-gene-5.67-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.67&CDS=1-2607
OG0000822	YCR032W	genemark-flattened_line_6-processed-gene-5.13-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.13&CDS=1-7116
OG0000823	YCR033W	genemark-flattened_line_18-processed-gene-3.236-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.236&CDS=1-3228
OG0000824	YCR035C	genemark-flattened_line_18-processed-gene-3.235-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.235&CDS=1-1146
OG0000825	YCR036W	genemark-flattened_line_18-processed-gene-3.200-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.200&CDS=1-1020
OG0000826	YCR042C	augustus_masked-flattened_line_10-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.13&CDS=1-3975
OG0000827	YCR044C	genemark-flattened_line_48-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.27&CDS=1-972
OG0000828	YCR046C	genemark-flattened_line_69-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.39&CDS=1-510
OG0000829	YCR047C	genemark-flattened_line_69-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.40&CDS=1-804
OG0000830	YCR051W	snap_masked-flattened_line_69-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_69-processed-gene-0.54&CDS=1-606
OG0000831	YCR053W	genemark-flattened_line_14-processed-gene-2.85-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.85&CDS=1-1524
OG0000832	YCR054C	snap_masked-flattened_line_14-processed-gene-2.160-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.160&CDS=1-1443
OG0000833	YCR057C	genemark-flattened_line_14-processed-gene-2.109-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.109&CDS=1-2733
OG0000834	YCR059C	genemark-flattened_line_14-processed-gene-2.110-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.110&CDS=1-777
OG0000835	YCR060W	genemark-flattened_line_14-processed-gene-2.87-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.87&CDS=1-984
OG0000836	YCR063W	genemark-flattened_line_14-processed-gene-2.89-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.89&CDS=1-453
OG0000837	YCR065W	genemark-flattened_line_14-processed-gene-2.112-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.112&CDS=1-2004
OG0000838	YCR066W	snap_masked-flattened_line_14-processed-gene-2.167-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.167&CDS=1-1068
OG0000839	YCR068W	augustus_masked-flattened_line_42-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.15&CDS=1-3096
OG0000840	YCR071C	snap_masked-flattened_line_0-processed-gene-8.75-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.75&CDS=1-372
