	Botrytis_cinerea	Saccharomyces_cerevisiae
OG0000391	XP_001559318.1	YGL135W, YPL220W
OG0000392	XP_001559332.1, XP_024547540.1	YDL006W
OG0000393	XP_001559333.2	YHR115C, YNL116W
OG0000394	XP_001559367.2	YBR244W, YIR037W
OG0000395	XP_001559459.1	YGR027C, YLR333C
OG0000396	XP_001559648.1	YGR214W, YLR048W
OG0000397	XP_001559774.1	YDR178W, YLR164W
OG0000398	XP_001559848.2, XP_024549135.1	YLR352W
OG0000399	XP_001559872.1	YCL064C, YIL167W
OG0000400	XP_001559880.1, XP_024548757.1	YFL013C
OG0000401	XP_001559959.2	YLR450W, YML075C
OG0000402	XP_001560050.1	YBL087C, YER117W
OG0000403	XP_001560106.2, XP_024548672.1	YOR367W
OG0000404	XP_001560156.1	YBR048W, YDR025W
OG0000405	XP_001560384.1	YBR024W, YBR037C
OG0000406	XP_001560457.2, XP_024551396.1	YEL023C
OG0000407	XP_001560543.1, XP_024546990.1	YMR088C
OG0000408	XP_001560565.1	YNL302C, YOL121C
OG0000409	XP_001560648.2	YBR161W, YPL057C
OG0000410	XP_001560711.1, XP_024552407.1	YKL070W
OG0000411	XP_001560762.2	YDL161W, YLR206W
OG0000412	XP_001560910.1	YKL081W, YPL048W
OG0000413	XP_001560993.2	YKR089C, YOR081C
OG0000414	XP_001561078.1	YGR283C, YMR310C
OG0000415	XP_001561151.1, XP_024546444.1	YGR186W
OG0000416	XP_001561181.1, XP_024546429.1	YMR099C
OG0000417	XP_001561238.2, XP_024546407.1	YNL320W
OG0000418	XP_001561298.1, XP_024546370.1	YLR293C
OG0000419	XP_001561319.1	YGR121C, YPR138C
OG0000420	XP_001561381.1	YJL138C, YKR059W
OG0000421	XP_024545929.1, XP_024545930.1	YKL182W
OG0000422	XP_024545983.1, XP_024545984.1	YBL063W
OG0000423	XP_024546000.1, XP_024546001.1	YKL015W
OG0000424	XP_024546055.1, XP_024546056.1	YAR015W
OG0000425	XP_024546059.1, XP_024546060.1	YBL019W
OG0000426	XP_024546062.1, XP_024546063.1	YNL272C
OG0000427	XP_024546088.1, XP_024546089.1	YER177W
OG0000428	XP_024546092.1, XP_024546093.1	YHR086W
OG0000429	XP_024546145.1, XP_024546146.1	YGL156W
OG0000430	XP_024546160.1	YNL087W, YOR086C
OG0000431	XP_024546183.1, XP_024546184.1	YBR023C
OG0000432	XP_024546203.1, XP_024546204.1	YPL150W
OG0000433	XP_024546233.1, XP_024546234.1	YMR033W
OG0000434	XP_024546239.1, XP_024546240.1	YDR097C
OG0000435	XP_024546317.1, XP_024546318.1	YBR170C
OG0000436	XP_024546321.1, XP_024546322.1	YHR175W
OG0000437	XP_024546353.1	YNL106C, YOR109W
OG0000438	XP_024546368.1	YDR451C, YML027W
OG0000439	XP_024546389.1, XP_024546390.1	YGR254W
OG0000440	XP_024546394.1, XP_024546395.1	YBL008W
OG0000441	XP_024546402.1	YLR264W, YOR167C
OG0000442	XP_024546477.1	YNL299W, YOL115W
OG0000443	XP_024546479.1, XP_024546480.1	YJL104W
OG0000444	XP_024546501.1, XP_024546502.1	YOL058W
OG0000445	XP_024546574.1, XP_024546575.1	YBR186W
OG0000446	XP_024546576.1	YML100W, YMR261C
OG0000447	XP_024546581.1	YER059W, YIL050W
OG0000448	XP_024546651.1, XP_024546652.1	YAL038W
OG0000449	XP_024546735.1, XP_024546736.1	YFR018C
OG0000450	XP_024546792.1, XP_024546793.1	YJR119C
OG0000451	XP_024546861.1, XP_024546862.1	YJR141W
OG0000452	XP_024546953.1, XP_024546954.1	YAR035W
OG0000453	XP_024546980.1, XP_024546981.1	YDR109C
OG0000454	XP_024547041.1	YLL012W, YLR020C
OG0000455	XP_024547042.1, XP_024547043.1	YNL329C
OG0000456	XP_024547065.1	YBR031W, YDR012W
OG0000457	XP_024547135.1, XP_024547136.1	YNR008W
OG0000458	XP_024547163.1	YBR049C, YDR026C
OG0000459	XP_024547195.1	YER131W, YGL189C
OG0000460	XP_024547223.1	YJR130C, YML082W
OG0000461	XP_024547232.1	YIL105C, YNL047C
OG0000462	XP_024547236.1, XP_024547237.1	YMR129W
OG0000463	XP_024547299.1	YDR146C, YLR131C
OG0000464	XP_024547348.1, XP_024547349.1	YKR017C
OG0000465	XP_024547365.1, XP_024547366.1	YHR206W
OG0000466	XP_024547405.1	YDR358W, YHR108W
OG0000467	XP_024547451.1, XP_024553944.1	YKR064W
OG0000468	XP_024547579.1, XP_024547580.1	YGR063C
OG0000469	XP_024547586.1, XP_024547587.1	YCR065W
OG0000470	XP_024547620.1, XP_024547621.1	YOR274W
OG0000471	XP_024547630.1, XP_024547631.1	YBR261C
OG0000472	XP_024547658.1, XP_024547659.1	YNL063W
OG0000473	XP_024547753.1, XP_024547754.1	YER008C
OG0000474	XP_024547795.1	YDR272W, YOR040W
OG0000475	XP_024547835.1, XP_024547836.1	YOR358W
OG0000476	XP_024547848.1, XP_024551012.1	YBR096W
OG0000477	XP_024547864.1	YLR178C, YLR179C
OG0000478	XP_024547888.1	YDL083C, YMR143W
OG0000479	XP_024547903.1	YJL190C, YLR367W
OG0000480	XP_024547928.1	YFL050C, YOL130W
OG0000481	XP_024548012.1, XP_024548013.1	YNL128W
OG0000482	XP_024548096.1, XP_024548097.1	YMR113W
OG0000483	XP_024548138.1	YCR048W, YNR019W
OG0000484	XP_024548145.1, XP_024548146.1	YGL136C
OG0000485	XP_024548160.1	YGR008C, YLR327C
OG0000486	XP_024548170.1	YHR146W, YNL173C
OG0000487	XP_024548176.1, XP_024548177.1	YBL020W
OG0000488	XP_024548208.1, XP_024548209.1	YDL190C
OG0000489	XP_024548297.1, XP_024548298.1	YDR089W
OG0000490	XP_024548322.1, XP_024548323.1	YCR036W
OG0000491	XP_024548367.1	YDL081C, YDL130W
OG0000492	XP_024548431.1	YBL072C, YER102W
OG0000493	XP_024548561.1, XP_024548562.1	YMR109W
OG0000494	XP_024548596.1	YHL039W, YPL208W
OG0000495	XP_024548635.1	YMR242C, YOR312C
OG0000496	XP_024548703.1, XP_024548704.1	YGL084C
OG0000497	XP_024548709.1, XP_024553956.1	YLR451W
OG0000498	XP_024548717.1, XP_024548718.1	YDR051C
OG0000499	XP_024548745.1, XP_024553513.1	YKL051W
OG0000500	XP_024548760.1, XP_024548761.1	YMR208W
OG0000501	XP_024548786.1	YJL098W, YKR028W
OG0000502	XP_024548821.1, XP_024548822.1	YOL004W
OG0000503	XP_024548847.1, XP_024548848.1	YDR057W
OG0000504	XP_024548899.1, XP_024548900.1	YOR339C
OG0000505	XP_024548901.1	YDL075W, YLR406C
OG0000506	XP_024548934.1, XP_024548935.1	YOR134W
OG0000507	XP_024548967.1	YKL072W, YMR053C
OG0000508	XP_024549021.1	YJL136C, YKR057W
OG0000509	XP_024549165.1	YHR123W, YNL130C
OG0000510	XP_024549189.1	YMR222C, YOR280C
OG0000511	XP_024549206.1, XP_024549207.1	YHR186C
OG0000512	XP_024549208.1	YGR238C, YHR158C
OG0000513	XP_024549217.1, XP_024549218.1	YDR381W
OG0000514	XP_024549228.1	YPR169W-A, YPR170W-B
OG0000515	XP_024549280.1, XP_024549281.1	YNL277W
OG0000516	XP_024549302.1, XP_024549303.1	YLR239C
OG0000517	XP_024549362.1, XP_024549363.1	YLR410W
OG0000518	XP_024549414.1, XP_024549415.1	YGL124C
OG0000519	XP_024549446.1, XP_024549447.1	YMR123W
OG0000520	XP_024549542.1	YDR107C, YLR083C
OG0000521	XP_024549613.1	YMR182C, YPL230W
OG0000522	XP_024549620.1	YIL148W, YKR094C
OG0000523	XP_024549621.1, XP_024549622.1	YJL025W
OG0000524	XP_024549633.1, XP_024549634.1	YBR169C
OG0000525	XP_024549661.1	YDR385W, YOR133W
OG0000526	XP_024549662.1, XP_024549663.1	YKR051W
OG0000527	XP_024549689.1, XP_024549690.1	YBL051C
OG0000528	XP_024549778.1	YMR243C, YOR316C
OG0000529	XP_024549790.1, XP_024549791.1	YMR078C
OG0000530	XP_024549858.1, XP_024549859.1	YLR452C
OG0000531	XP_024549874.1, XP_024549875.1	YCL038C
OG0000532	XP_024549881.1, XP_024549882.1	YOL016C
OG0000533	XP_024549905.1, XP_024549906.1	YER031C
OG0000534	XP_024549909.1, XP_024549910.1	YLL050C
OG0000535	XP_024549979.1, XP_024549980.1	YNL267W
OG0000536	XP_024549999.1, XP_024550000.1	YFL016C
OG0000537	XP_024550031.1, XP_024550032.1	YDL133W
OG0000538	XP_024550034.1	YGR143W, YPR159W
OG0000539	XP_024550125.1, XP_024550126.1	YMR004W
OG0000540	XP_024550184.1, XP_024550185.1	YOR212W
OG0000541	XP_024550228.1	YLR098C, YOR337W
OG0000542	XP_024550231.1, XP_024550232.1	YBR111C
OG0000543	XP_024550316.1, XP_024550317.1	YKL140W
OG0000544	XP_024550327.1	YAL034C, YOR338W
OG0000545	XP_024550329.1	YDL224C, YNL197C
OG0000546	XP_024550344.1, XP_024550345.1	YOR032C
OG0000547	XP_024550349.1, XP_024550350.1	YML025C
OG0000548	XP_024550365.1, XP_024550366.1	YKL027W
OG0000549	XP_024550381.1	YHL003C, YKL008C
OG0000550	XP_024550382.1, XP_024550383.1	YAR014C
OG0000551	XP_024550459.1, XP_024550460.1	YDR421W
OG0000552	XP_024550469.1, XP_024550470.1	YOR191W
OG0000553	XP_024550477.1	YCR026C, YEL016C
OG0000554	XP_024550485.1, XP_024550486.1	YPL181W
OG0000555	XP_024550584.1, XP_024550585.1	YIL072W
OG0000556	XP_024550586.1	YER066W, YFL009W
OG0000557	XP_024550591.1	YIL149C, YKR095W
OG0000558	XP_024550601.1, XP_024550602.1	YOR258W
OG0000559	XP_024550647.1	YCR094W, YNR048W
OG0000560	XP_024550739.1, XP_024550740.1	YLR118C
OG0000561	XP_024550800.1, XP_024550801.1	YIL106W
OG0000562	XP_024550836.1	YCL024W, YDR507C
OG0000563	XP_024550858.1	YHL001W, YKL006W
OG0000564	XP_024550888.1	YGR243W, YHR162W
OG0000565	XP_024550903.1	YDR348C, YHR097C
OG0000566	XP_024550906.1	YCL040W, YDR516C
OG0000567	XP_024550952.1, XP_024550953.1	YJL187C
OG0000568	XP_024550984.1	YLR287C-A, YOR182C
OG0000569	XP_024550987.1, XP_024550988.1	YNL263C
OG0000570	XP_024551094.1	YDR252W, YPL037C
OG0000571	XP_024551097.1, XP_024551098.1	YML086C
OG0000572	XP_024551099.1, XP_024551100.1	YBR137W
OG0000573	XP_024551124.1	YDR147W, YLR133W
OG0000574	XP_024551159.1	YCR073W-A, YNR034W
OG0000575	XP_024551178.1	YHR155W, YNL257C
OG0000576	XP_024551198.1, XP_024551199.1	YDR124W
OG0000577	XP_024551290.1	YJL137C, YKR058W
OG0000578	XP_024551343.1	YIL113W, YNL053W
OG0000579	XP_024551351.1, XP_024551352.1	YML049C
OG0000580	XP_024551399.1, XP_024551400.1	YKR002W
OG0000581	XP_024551490.1, XP_024551491.1	YHR084W
OG0000582	XP_024551502.1	YCL036W, YDR514C
OG0000583	XP_024551518.1, XP_024551519.1	YHL027W
OG0000584	XP_024551530.1, XP_024551531.1	YPR079W
OG0000585	XP_024551560.1, XP_024551561.1	YDR316W
OG0000586	XP_024551601.1, XP_024551602.1	YHR164C
OG0000587	XP_024551733.1	YDR312W, YHR066W
OG0000588	XP_024551768.1	YCR073C, YNR031C
OG0000589	XP_024551783.1, XP_024551784.1	YER164W
OG0000590	XP_024551905.1	YGL147C, YNL067W
OG0000591	XP_024551922.1	YMR237W, YOR299W
OG0000592	XP_024551931.1	YJL082W, YKR018C
OG0000593	XP_024551978.1, XP_024551979.1	YCR077C
OG0000594	XP_024551980.1	YGR197C, YJR015W
OG0000595	XP_024551997.1	YBR172C, YPL105C
OG0000596	XP_024552009.1	YEL066W, YPR193C
OG0000597	XP_024552043.1, XP_024552044.1	YJL020C
OG0000598	XP_024552046.1	YKR076W, YMR251W
OG0000599	XP_024552056.1, XP_024552057.1	YJR138W
OG0000600	XP_024552147.1	YMR119W, YNL008C
OG0000601	XP_024552150.1	YEL022W, YJR031C
OG0000602	XP_024552171.1, XP_024552172.1	YIL129C
OG0000603	XP_024552235.1, XP_024552236.1	YGR261C
OG0000604	XP_024552260.1	YLR270W, YOR173W
OG0000605	XP_024552274.1, XP_024552275.1	YNR063W
OG0000606	XP_024552328.1, XP_024552329.1	YER134C
OG0000607	XP_024552444.1	YJR094W-A, YPR043W
OG0000608	XP_024552459.1, XP_024552460.1	YNL083W
OG0000609	XP_024552511.1	YJL134W, YKR053C
OG0000610	XP_024552527.1, XP_024552528.1	YER080W
OG0000611	XP_024552557.1	YFR022W, YOR018W
OG0000612	XP_024552578.1, XP_024552579.1	YML007W
OG0000613	XP_024552649.1, XP_024552650.1	YDL020C
OG0000614	XP_024552653.1	YBR140C, YOL081W
OG0000615	XP_024552729.1, XP_024552730.1	YCL010C
OG0000616	XP_024552782.1, XP_024552783.1	YHR012W
OG0000617	XP_024552866.1	YGR038W, YLR350W
OG0000618	XP_024552889.1, XP_024552890.1	YGR233C
OG0000619	XP_024552927.1	YBL085W, YER114C
OG0000620	XP_024552986.1, XP_024552987.1	YPL237W
OG0000621	XP_024552989.1	YGR131W, YPR149W
OG0000622	XP_024553024.1	YIR013C, YLR013W
OG0000623	XP_024553028.1, XP_024553029.1	YKL069W
OG0000624	XP_024553046.1	YJL042W, YOR227W
OG0000625	XP_024553051.1, XP_024553052.1	YCL008C
OG0000626	XP_024553078.1	YDR505C, YLR177W
OG0000627	XP_024553082.1, XP_024553083.1	YKL167C
OG0000628	XP_024553106.1, XP_024553107.1	YPR023C
OG0000629	XP_024553121.1, XP_024553122.1	YNL279W
OG0000630	XP_024553243.1, XP_024553244.1	YIL128W
OG0000631	XP_024553279.1, XP_024553280.1	YEL011W
OG0000632	XP_024553314.1, XP_024553315.1	YJL005W
OG0000633	XP_024553320.1	YBR147W, YOL092W
OG0000634	XP_024553449.1	YBR242W, YGL101W
OG0000635	XP_024553461.1, XP_024553462.1	YGR159C
OG0000636	XP_024553536.1, XP_024553537.1	YHR124W
OG0000637	XP_024553539.1, XP_024553540.1	YGR046W
OG0000638	XP_024553543.1, XP_024553544.1	YBR018C
OG0000639	XP_024553574.1, XP_024553575.1	YBR281C
OG0000640	XP_024553611.1	YJR054W, YML047C
OG0000641	XP_024553658.1, XP_024553659.1	YDR289C
OG0000642	XP_024553699.1, XP_024553700.1	YKL033W
OG0000643	XP_024553714.1, XP_024553715.1	YPR141C
OG0000644	XP_024553895.1, XP_024553896.1	YOR236W
OG0000645	XP_024553923.1, XP_024553924.1	YPR095C
OG0000646	XP_024553941.1, XP_024553942.1	YGR021W
OG0000647	XP_024553975.1, XP_024553976.1	YOR319W
OG0000648	XP_024553978.1, XP_024553979.1	YMR139W
OG0000649	XP_024553980.1, XP_024553981.1	YLR345W
OG0000650	XP_024554029.1, XP_024554030.1	YNL271C
OG0000651	XP_024554051.1, XP_024554052.1	YPL085W
OG0000652	XP_001545066.1	YNL147W
OG0000653	XP_001545155.2	YIL039W
OG0000654	XP_001545158.2	YJR113C
OG0000655	XP_001545175.1	YKL088W
OG0000656	XP_001545212.1	YBR167C
OG0000657	XP_001545239.2	YCL057W
OG0000658	XP_001545252.2	YJR070C
OG0000659	XP_001545267.1	YGR181W
OG0000660	XP_001545282.2	YBR112C
OG0000661	XP_001545301.2	YGR202C
OG0000662	XP_001545305.1	YER072W
OG0000663	XP_001545365.1	YDR427W
OG0000664	XP_001545374.1	YLR011W
OG0000665	XP_001545413.1	YER025W
OG0000666	XP_001545414.1	YFL046W
OG0000667	XP_001545425.1	YIL043C
OG0000668	XP_001545454.2	YGL110C
OG0000669	XP_001545455.1	YHL015W
OG0000670	XP_001545469.2	YMR284W
OG0000671	XP_001545490.2	YNL221C
OG0000672	XP_001545547.1	YGL100W
OG0000673	XP_001545556.1	YGR244C
OG0000674	XP_001545578.1	YDL208W
OG0000675	XP_001545579.1	YJL166W
OG0000676	XP_001545580.1	YGR132C
OG0000677	XP_001545584.1	YNL022C
OG0000678	XP_001545585.2	YLR009W
OG0000679	XP_001545600.1	YML030W
OG0000680	XP_001545640.2	YDR300C
OG0000681	XP_001545642.2	YPL209C
OG0000682	XP_001545643.1	YPR040W
OG0000683	XP_001545671.1	YER122C
OG0000684	XP_001545681.1	YDR538W
OG0000685	XP_001545692.1	YLR229C
OG0000686	XP_001545705.1	YDR435C
OG0000687	XP_001545706.2	YMR244W
OG0000688	XP_001545709.1	YCL059C
OG0000689	XP_001545710.2	YKR034W
OG0000690	XP_001545716.1	YOR211C
OG0000691	XP_001545720.2	YCR075C
OG0000692	XP_001545752.1	YGR231C
OG0000693	XP_001545753.1	YGL044C
OG0000694	XP_001545754.2	YOR128C
OG0000695	XP_001545761.1	YML092C
OG0000696	XP_001545772.1	YLR245C
OG0000697	XP_001545784.1	YNL212W
OG0000698	XP_001545785.1	YMR188C
OG0000699	XP_001545811.1	YOR223W
OG0000700	XP_001545837.2	YPL226W
OG0000701	XP_001545846.2	YKR009C
OG0000702	XP_001545849.1	YGR205W
OG0000703	XP_001545851.2	YOR317W
OG0000704	XP_001545853.1	YLR137W
OG0000705	XP_001545864.2	YDR158W
OG0000706	XP_001545865.1	YMR002W
OG0000707	XP_001545869.1	YDR204W
OG0000708	XP_001545872.1	YDR086C
OG0000709	XP_001545882.1	YDL213C
OG0000710	XP_001545900.1	YPL151C
OG0000711	XP_001545901.2	YML065W
OG0000712	XP_001545904.1	YML094W
OG0000713	XP_001545917.2	YFL036W
OG0000714	XP_001545950.2	YGL028C
OG0000715	XP_001545951.1	YJR101W
OG0000716	XP_001545954.1	YDL212W
OG0000717	XP_001545969.1	YLR150W
OG0000718	XP_001545985.1	YHR082C
OG0000719	XP_001546000.1	YAL020C
OG0000720	XP_001546002.1	YPR067W
OG0000721	XP_001546024.1	YPR143W
OG0000722	XP_001546025.2	YPL252C
OG0000723	XP_001546026.2	YDR470C
OG0000724	XP_001546057.1	YGL066W
OG0000725	XP_001546059.2	YBR289W
OG0000726	XP_001546060.2	YDR101C
OG0000727	XP_001546108.1	YLL026W
OG0000728	XP_001546132.1	YOR004W
OG0000729	XP_001546164.1	YDL195W
OG0000730	XP_001546171.1	YOR163W
OG0000731	XP_001546172.1	YJL124C
OG0000732	XP_001546179.1	YKL040C
OG0000733	XP_001546193.2	YKL059C
OG0000734	XP_001546206.1	YDR448W
OG0000735	XP_001546253.1	YHL013C
OG0000736	XP_001546273.1	YPL218W
OG0000737	XP_001546275.1	YGR006W
OG0000738	XP_001546303.1	YPR020W
OG0000739	XP_001546309.1	YPR189W
OG0000740	XP_001546315.2	YKL004W
OG0000741	XP_001546317.1	YDR449C
OG0000742	XP_001546325.2	YPL190C
OG0000743	XP_001546333.1	YKL082C
OG0000744	XP_001546341.1	YDL098C
OG0000745	XP_001546373.1	YLR330W
OG0000746	XP_001546376.1	YOR181W
OG0000747	XP_001546379.2	YPL022W
OG0000748	XP_001546386.1	YLR430W
OG0000749	XP_001546403.1	YBL071W-A
OG0000750	XP_001546404.1	YDL120W
OG0000751	XP_001546406.1	YPL160W
OG0000752	XP_001546414.2	YPL091W
OG0000753	XP_001546415.1	YKL011C
OG0000754	XP_001546425.1	YPR063C
OG0000755	XP_001546427.1	YNL244C
OG0000756	XP_001546430.1	YHL024W
OG0000757	XP_001546435.1	YGL191W
OG0000758	XP_001546440.1	YPR091C
OG0000759	XP_001546441.1	YPL167C
OG0000760	XP_001546442.1	YDR088C
OG0000761	XP_001546443.1	YBR189W
OG0000762	XP_001546448.2	YJL203W
OG0000763	XP_001546470.1	YNR050C
OG0000764	XP_001546484.1	YNL136W
OG0000765	XP_001546533.2	YJR078W
OG0000766	XP_001546555.2	YIL076W
OG0000767	XP_001546586.1	YJR074W
OG0000768	XP_001546590.1	YNR032W
OG0000769	XP_001546600.1	YDR100W
OG0000770	XP_001546620.1	YBR008C
OG0000771	XP_001546630.1	YOR117W
OG0000772	XP_001546636.1	YLR295C
OG0000773	XP_001546645.1	YPR073C
OG0000774	XP_001546646.1	YDR189W
OG0000775	XP_001546687.1	YNR043W
OG0000776	XP_001546692.1	YIR026C
OG0000777	XP_001546710.1	YBL015W
OG0000778	XP_001546799.1	YJL072C
OG0000779	XP_001546815.1	YCL018W
OG0000780	XP_001546822.1	YJL168C
OG0000781	XP_001546847.1	YPR025C
OG0000782	XP_001546871.2	YNR055C
OG0000783	XP_001546880.1	YBR160W
OG0000784	XP_001546881.1	YDR236C
OG0000785	XP_001546882.1	YBR239C
OG0000786	XP_001546884.1	YHR048W
OG0000787	XP_001546894.1	YDR299W
OG0000788	XP_001546896.2	YKR097W
OG0000789	XP_001546907.1	YDR172W
OG0000790	XP_001546912.1	YGL083W
OG0000791	XP_001546921.2	YOR356W
OG0000792	XP_001546938.1	YGL019W
OG0000793	XP_001546942.1	YLR220W
OG0000794	XP_001546950.2	YGR002C
OG0000795	XP_001546976.1	YDR116C
OG0000796	XP_001546997.2	YJL074C
OG0000797	XP_001546999.2	YLR276C
OG0000798	XP_001547006.1	YCR059C
OG0000799	XP_001547036.1	YLR387C
OG0000800	XP_001547045.2	YCR054C
OG0000801	XP_001547053.1	YGL048C
OG0000802	XP_001547079.1	YIL067C
OG0000803	XP_001547084.2	YLL002W
OG0000804	XP_001547085.1	YLR312W-A
OG0000805	XP_001547107.1	YEL032W
OG0000806	XP_001547110.2	YMR024W
OG0000807	XP_001547113.1	YNL137C
OG0000808	XP_001547116.2	YJL085W
OG0000809	XP_001547199.1	YNL071W
OG0000810	XP_001547201.2	YBR213W
OG0000811	XP_001547234.1	YMR166C
OG0000812	XP_001547236.2	YDL238C
OG0000813	XP_001547239.1	YJR007W
OG0000814	XP_001547274.1	YLR015W
OG0000815	XP_001547323.1	YDR068W
OG0000816	XP_001547324.2	YLR435W
OG0000817	XP_001547339.1	YHR168W
OG0000818	XP_001547361.1	YDR331W
OG0000819	XP_001547369.1	YER127W
OG0000820	XP_001547389.2	YDR282C
OG0000821	XP_001547398.2	YLR077W
OG0000822	XP_001547403.1	YMR307W
OG0000823	XP_001547436.2	YIL004C
OG0000824	XP_001547443.1	YDR171W
OG0000825	XP_001547449.1	YFL005W
OG0000826	XP_001547454.1	YOR028C
OG0000827	XP_001547459.1	YKL196C
OG0000828	XP_001547460.1	YGR271W
OG0000829	XP_001547476.1	YGR175C
OG0000830	XP_001547478.1	YGR060W
OG0000831	XP_001547491.2	YPL184C
OG0000832	XP_001547493.1	YHR019C
OG0000833	XP_001547510.1	YGL130W
OG0000834	XP_001547514.1	YNR017W
OG0000835	XP_001547564.1	YDL056W
OG0000836	XP_001547579.1	YER003C
OG0000837	XP_001547585.1	YDL029W
OG0000838	XP_001547586.2	YIR030C
OG0000839	XP_001547592.2	YBR081C
OG0000840	XP_001547595.1	YDR527W
OG0000841	XP_001547598.2	YBR215W
OG0000842	XP_001547601.1	YBR290W
OG0000843	XP_001547604.2	YIL070C
OG0000844	XP_001547614.1	YNL049C
OG0000845	XP_001547624.2	YCR071C
OG0000846	XP_001547632.1	YGL220W
OG0000847	XP_001547645.1	YMR235C
OG0000848	XP_001547656.1	YIL003W
OG0000849	XP_001547677.1	YAL049C
OG0000850	XP_001547681.1	YHR002W
OG0000851	XP_001547687.1	YER152C
OG0000852	XP_001547691.2	YER013W
OG0000853	XP_001547701.1	YOR244W
OG0000854	XP_001547702.1	YOL080C
OG0000855	XP_001547714.1	YGL201C
OG0000856	XP_001547723.2	YGL009C
OG0000857	XP_001547729.1	YDL183C
OG0000858	XP_001547747.1	YER136W
OG0000859	XP_001547748.1	YLR439W
OG0000860	XP_001547756.1	YHR172W
OG0000861	XP_001547757.1	YGR253C
OG0000862	XP_001547762.1	YGL055W
OG0000863	XP_001547777.1	YDR237W
OG0000864	XP_001547795.2	YDL200C
OG0000865	XP_001547796.1	YKL216W
OG0000866	XP_001547803.1	YOR375C
OG0000867	XP_001547805.1	YJR096W
OG0000868	XP_001547811.2	YFR010W
OG0000869	XP_001547812.1	YKL013C
OG0000870	XP_001547830.1	YDL219W
OG0000871	XP_001547832.1	YMR093W
OG0000872	XP_001547838.1	YNL177C
OG0000873	XP_001547840.1	YER065C
OG0000874	XP_001547852.2	YOR125C
OG0000875	XP_001547853.2	YKR031C
OG0000876	XP_001547863.2	YDR302W
OG0000877	XP_001547892.1	YPL131W
OG0000878	XP_001547913.1	YDR234W
OG0000879	XP_001547926.1	YKR090W
OG0000880	XP_001547942.1	YDL240W
OG0000881	XP_001547946.1	YKL207W
OG0000882	XP_001547950.1	YHR028C
OG0000883	XP_001547953.2	YOR348C
OG0000884	XP_001547962.1	YGR096W
OG0000885	XP_001547987.2	YEL020C
OG0000886	XP_001547998.1	YMR308C
OG0000887	XP_001548004.2	YBL080C
OG0000888	XP_001548040.1	YLR203C
OG0000889	XP_001548049.1	YPL244C
OG0000890	XP_001548061.2	YOL102C
OG0000891	XP_001548073.1	YDR232W
OG0000892	XP_001548085.1	YJL091C
OG0000893	XP_001548108.2	YDL174C
OG0000894	XP_001548118.1	YHR005C-A
OG0000895	XP_001548121.1	YDR255C
OG0000896	XP_001548140.1	YOR323C
OG0000897	XP_001548146.1	YGL040C
OG0000898	XP_001548164.1	YMR193W
OG0000899	XP_001548185.1	YDR490C
OG0000900	XP_001548195.1	YBL076C
OG0000901	XP_001548219.2	YDR127W
OG0000902	XP_001548231.1	YDR176W
OG0000903	XP_001548242.2	YKL194C
OG0000904	XP_001548304.2	YIR022W
OG0000905	XP_001548318.2	YHR037W
OG0000906	XP_001548320.1	YDR363W-A
OG0000907	XP_001548321.1	YCR012W
OG0000908	XP_001548329.1	YJR140C
OG0000909	XP_001548342.1	YKL157W
OG0000910	XP_001548350.1	YLL041C
OG0000911	XP_001548355.1	YCR072C
OG0000912	XP_001548376.1	YER100W
OG0000913	XP_001548387.1	YGR103W
OG0000914	XP_001548398.1	YOR288C
OG0000915	XP_001548399.1	YGR195W
OG0000916	XP_001548411.1	YML056C
OG0000917	XP_001548435.2	YKL029C
OG0000918	XP_001548442.2	YOR386W
OG0000919	XP_001548448.2	YLR050C
OG0000920	XP_001548487.1	YMR227C
OG0000921	XP_001548507.1	YGL106W
OG0000922	XP_001548518.1	YDL095W
OG0000923	XP_001548521.2	YPL183W-A
OG0000924	XP_001548523.1	YMR069W
OG0000925	XP_001548531.1	YLR195C
OG0000926	XP_001548556.1	YJL041W
OG0000927	XP_001548578.1	YPL262W
OG0000928	XP_001548581.1	YNL126W
OG0000929	XP_001548586.1	YGL011C
OG0000930	XP_001548587.1	YCR016W
OG0000931	XP_001548593.2	YMR092C
OG0000932	XP_001548600.1	YPR175W
OG0000933	XP_001548614.2	YMR165C
OG0000934	XP_001548628.2	YKL162C
OG0000935	XP_001548629.1	YGR012W
OG0000936	XP_001548634.1	YPR112C
OG0000937	XP_001548645.1	YJL123C
OG0000938	XP_001548669.1	YBR276C
OG0000939	XP_001548672.1	YNL003C
OG0000940	XP_001548678.2	YOL141W
OG0000941	XP_001548680.1	YPL020C
OG0000942	XP_001548712.1	YJL026W
OG0000943	XP_001548717.2	YJR122W
OG0000944	XP_001548749.1	YNL239W
OG0000945	XP_001548769.1	YLL063C
OG0000946	XP_001548796.1	YFL033C
OG0000947	XP_001548808.1	YJL140W
OG0000948	XP_001548810.1	YHR200W
OG0000949	XP_001548812.1	YJR014W
OG0000950	XP_001548837.1	YNL153C
OG0000951	XP_001548863.1	YNR038W
OG0000952	XP_001548883.1	YKL073W
OG0000953	XP_001548894.2	YDR341C
OG0000954	XP_001548918.1	YNL084C
OG0000955	XP_001548924.1	YMR117C
OG0000956	XP_001548925.1	YIL065C
OG0000957	XP_001548930.2	YOR305W
OG0000958	XP_001548937.1	YGL097W
OG0000959	XP_001548947.1	YBR155W
