	Brettanomyces_anomalus	Saccharomyces_cerevisiae
OG0000390	maker-LCTY01000011.1-augustus-gene-3.136-mRNA-1_1&gene=maker-LCTY01000011.1-augustus-gene-3.136&CDS=1-2433	YBR172C, YPL105C
OG0000391	augustus_masked-LCTY01000012.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-0.23&CDS=1-2793	YKL050C, YMR031C
OG0000392	maker-LCTY01000012.1-augustus-gene-0.67-mRNA-1_1&gene=maker-LCTY01000012.1-augustus-gene-0.67&CDS=1-450	YGR243W, YHR162W
OG0000393	maker-LCTY01000012.1-augustus-gene-0.69-mRNA-1_1&gene=maker-LCTY01000012.1-augustus-gene-0.69&CDS=1-396	YHL001W, YKL006W
OG0000394	augustus_masked-LCTY01000012.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-1.75&CDS=1-3168	YDR263C, YOR033C
OG0000395	augustus_masked-LCTY01000012.1-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-1.96&CDS=1-3321, snap_masked-LCTY01000013.1-processed-gene-1.95-mRNA-1_1&gene=snap_masked-LCTY01000013.1-processed-gene-1.95&CDS=1-180	YDR217C
OG0000396	augustus_masked-LCTY01000012.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-1.82&CDS=1-2088	YBR216C, YGL060W
OG0000397	genemark-LCTY01000012.1-processed-gene-1.25-mRNA-1_1&gene=genemark-LCTY01000012.1-processed-gene-1.25&CDS=1-1992	YIL131C, YNL068C
OG0000398	genemark-LCTY01000012.1-processed-gene-2.26-mRNA-1_1&gene=genemark-LCTY01000012.1-processed-gene-2.26&CDS=1-2673	YDR379W, YOR127W
OG0000399	snap_masked-LCTY01000012.1-processed-gene-2.224-mRNA-1_1&gene=snap_masked-LCTY01000012.1-processed-gene-2.224&CDS=1-528	YMR242C, YOR312C
OG0000400	maker-LCTY01000012.1-snap-gene-2.17-mRNA-1_1&gene=maker-LCTY01000012.1-snap-gene-2.17&CDS=1-3510	YDR385W, YOR133W
OG0000401	augustus_masked-LCTY01000012.1-processed-gene-2.157-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.157&CDS=1-2382	YDR251W, YPL032C
OG0000402	augustus_masked-LCTY01000012.1-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.121&CDS=1-1575	YGR009C, YMR017W
OG0000403	maker-LCTY01000012.1-snap-gene-2.14-mRNA-1_1&gene=maker-LCTY01000012.1-snap-gene-2.14&CDS=1-1221	YCR073W-A, YNR034W
OG0000404	snap_masked-LCTY01000012.1-processed-gene-2.218-mRNA-1_1&gene=snap_masked-LCTY01000012.1-processed-gene-2.218&CDS=1-1341	YAL062W, YOR375C
OG0000405	augustus_masked-LCTY01000012.1-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.137&CDS=1-1263	YOR237W, YPL145C
OG0000406	augustus_masked-LCTY01000012.1-processed-gene-2.171-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.171&CDS=1-1269	YLR300W, YOR190W
OG0000407	augustus_masked-LCTY01000013.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-LCTY01000013.1-processed-gene-0.88&CDS=1-1314	YCL036W, YDR514C
OG0000408	augustus_masked-LCTY01000013.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-LCTY01000013.1-processed-gene-0.73&CDS=1-2604	YBR001C, YDR001C
OG0000409	augustus_masked-LCTY01000013.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-LCTY01000013.1-processed-gene-0.93&CDS=1-3117	YKL068W, YMR047C
OG0000410	maker-LCTY01000013.1-snap-gene-1.8-mRNA-1_1&gene=maker-LCTY01000013.1-snap-gene-1.8&CDS=1-4953	YCR073C, YNR031C
OG0000411	maker-LCTY01000013.1-augustus-gene-1.3-mRNA-1_1&gene=maker-LCTY01000013.1-augustus-gene-1.3&CDS=1-2403	YAL056W, YOR371C
OG0000412	maker-LCTY01000013.1-snap-gene-1.13-mRNA-1_1&gene=maker-LCTY01000013.1-snap-gene-1.13&CDS=1-2343	YGL139W, YPL221W
OG0000413	maker-LCTY01000013.1-snap-gene-1.9-mRNA-1_1&gene=maker-LCTY01000013.1-snap-gene-1.9&CDS=1-1875, maker-LCTY01000014.1-snap-gene-2.14-mRNA-1_1&gene=maker-LCTY01000014.1-snap-gene-2.14&CDS=1-5181	YDR270W
OG0000414	augustus_masked-LCTY01000013.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-LCTY01000013.1-processed-gene-1.62&CDS=1-1869	YDR107C, YLR083C
OG0000415	augustus_masked-LCTY01000013.1-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-LCTY01000013.1-processed-gene-2.76&CDS=1-2286	YFR023W, YHR015W
OG0000416	snap_masked-LCTY01000013.1-processed-gene-2.9-mRNA-1_1&gene=snap_masked-LCTY01000013.1-processed-gene-2.9&CDS=1-1992	YHR115C, YNL116W
OG0000417	augustus_masked-LCTY01000014.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-0.37&CDS=1-5595	YIL149C, YKR095W
OG0000418	augustus_masked-LCTY01000014.1-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-1.48&CDS=1-306	YHR021C, YKL156W
OG0000419	augustus_masked-LCTY01000014.1-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-1.50&CDS=1-2082	YIL105C, YNL047C
OG0000420	augustus_masked-LCTY01000014.1-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-2.110&CDS=1-1248, genemark-LCTY01000021.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LCTY01000021.1-processed-gene-0.3&CDS=1-408	YJR125C
OG0000421	augustus_masked-LCTY01000015.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LCTY01000015.1-processed-gene-0.37&CDS=1-2283	YDR505C, YLR177W
OG0000422	augustus_masked-LCTY01000015.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-LCTY01000015.1-processed-gene-0.48&CDS=1-1467	YBL056W, YER089C
OG0000423	maker-LCTY01000015.1-snap-gene-0.111-mRNA-1_1&gene=maker-LCTY01000015.1-snap-gene-0.111&CDS=1-1935	YOR227W, YPL137C
OG0000424	augustus_masked-LCTY01000015.1-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-LCTY01000015.1-processed-gene-1.97&CDS=1-1296, snap_masked-LCTY01000021.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LCTY01000021.1-processed-gene-0.8&CDS=1-588	YPL146C
OG0000425	augustus_masked-LCTY01000015.1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-LCTY01000015.1-processed-gene-1.81&CDS=1-435	YGR118W, YPR132W
OG0000426	augustus_masked-LCTY01000015.1-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-LCTY01000015.1-processed-gene-1.115&CDS=1-615, augustus_masked-LCTY01000018.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-LCTY01000018.1-processed-gene-0.74&CDS=1-606	YBR072W
OG0000427	augustus_masked-LCTY01000016.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-0.81&CDS=1-1305	YCL048W, YDR522C
OG0000428	augustus_masked-LCTY01000016.1-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.136&CDS=1-426	YCR031C, YJL191W
OG0000429	augustus_masked-LCTY01000016.1-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.166&CDS=1-537	YLR456W, YPR172W
OG0000430	augustus_masked-LCTY01000016.1-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.142&CDS=1-2856	YGR010W, YLR328W
OG0000431	augustus_masked-LCTY01000017.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-LCTY01000017.1-processed-gene-0.87&CDS=1-1566	YBR020W, YDR009W
OG0000432	augustus_masked-LCTY01000018.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-LCTY01000018.1-processed-gene-0.63&CDS=1-708	YGR136W, YPR154W
OG0000433	augustus_masked-LCTY01000020.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-LCTY01000020.1-processed-gene-0.48&CDS=1-2415	YDR490C, YOL100W
OG0000434	augustus_masked-LCTY01000020.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-LCTY01000020.1-processed-gene-0.49&CDS=1-1440	YER027C, YGL208W
OG0000435		YOL055C, YPL258C, YPR121W
OG0000436	augustus_masked-LCTY01000016.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-0.94&CDS=1-1296, snap_masked-LCTY01000001.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-0.84&CDS=1-1395	
OG0000437	augustus_masked-LCTY01000001.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.51&CDS=1-3513	YFR031C
OG0000438	augustus_masked-LCTY01000001.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.37&CDS=1-1719	YPL194W
OG0000439	augustus_masked-LCTY01000001.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.52&CDS=1-375	YGL080W
OG0000440	snap_masked-LCTY01000001.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-0.72&CDS=1-1020	YDR245W
OG0000441	snap_masked-LCTY01000001.1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-0.73&CDS=1-3549	YPL016W
OG0000442	augustus_masked-LCTY01000001.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.53&CDS=1-3123	YPL022W
OG0000443	augustus_masked-LCTY01000001.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.40&CDS=1-1956	YPL023C
OG0000444	augustus_masked-LCTY01000001.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.41&CDS=1-1152	YNL084C
OG0000445	augustus_masked-LCTY01000001.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.56&CDS=1-3255	YIL128W
OG0000446	maker-LCTY01000001.1-snap-gene-0.2-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-0.2&CDS=1-1878	YPR165W
OG0000447	augustus_masked-LCTY01000001.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.42&CDS=1-1371	YBR138C
OG0000448	augustus_masked-LCTY01000001.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.60&CDS=1-1425	YNL040W
OG0000449	augustus_masked-LCTY01000001.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.43&CDS=1-1851	YAR002W
OG0000450	augustus_masked-LCTY01000001.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.44&CDS=1-2103	YDR333C
OG0000451	augustus_masked-LCTY01000001.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.62&CDS=1-1371	YJR019C
OG0000452	augustus_masked-LCTY01000001.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.45&CDS=1-2160	YKL213C
OG0000453	augustus_masked-LCTY01000001.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.64&CDS=1-873	YKL024C
OG0000454	augustus_masked-LCTY01000001.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.65&CDS=1-1335	YBL045C
OG0000455	augustus_masked-LCTY01000001.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.46&CDS=1-369	YPR166C
OG0000456	maker-LCTY01000001.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-0.0&CDS=1-3642	YHR072W
OG0000457	augustus_masked-LCTY01000001.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-0.67&CDS=1-1152	YBL010C
OG0000458	augustus_masked-LCTY01000001.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.60&CDS=1-1116	YDR202C
OG0000459	augustus_masked-LCTY01000001.1-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.42&CDS=1-4824	YDR180W
OG0000460	augustus_masked-LCTY01000001.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.61&CDS=1-2634	YLR166C
OG0000461	augustus_masked-LCTY01000001.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.62&CDS=1-1458	YDR182W
OG0000462	augustus_masked-LCTY01000001.1-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.44&CDS=1-1587	YHR045W
OG0000463	snap_masked-LCTY01000001.1-processed-gene-1.7-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-1.7&CDS=1-8538	YIL129C
OG0000464	augustus_masked-LCTY01000001.1-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.46&CDS=1-906	YML004C
OG0000465	augustus_masked-LCTY01000001.1-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.63&CDS=1-420	YCL033C
OG0000466	augustus_masked-LCTY01000001.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.64&CDS=1-2487	YOR165W
OG0000467	maker-LCTY01000001.1-augustus-gene-1.109-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-1.109&CDS=1-1002	YOR164C
OG0000468	augustus_masked-LCTY01000001.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.65&CDS=1-708	YOR163W
OG0000469	maker-LCTY01000001.1-snap-gene-1.115-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-1.115&CDS=1-2664	YLR290C
OG0000470	snap_masked-LCTY01000001.1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-1.29&CDS=1-1170	YNR041C
OG0000471	snap_masked-LCTY01000001.1-processed-gene-1.31-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-1.31&CDS=1-2157	YKL188C
OG0000472	maker-LCTY01000001.1-augustus-gene-1.113-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-1.113&CDS=1-408	YOL026C
OG0000473	genemark-LCTY01000001.1-processed-gene-1.89-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-1.89&CDS=1-1590	YGL252C
OG0000474	augustus_masked-LCTY01000001.1-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.55&CDS=1-1272	YGR285C
OG0000475	augustus_masked-LCTY01000001.1-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.72&CDS=1-867	YOR194C
OG0000476	augustus_masked-LCTY01000001.1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.56&CDS=1-2628	YOR195W
OG0000477	augustus_masked-LCTY01000001.1-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.58&CDS=1-2265	YJL128C
OG0000478	augustus_masked-LCTY01000001.1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.59&CDS=1-1266	YOR196C
OG0000479	augustus_masked-LCTY01000001.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-1.73&CDS=1-1482	YOR198C
OG0000480	augustus_masked-LCTY01000001.1-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.42&CDS=1-861	YGL161C
OG0000481	augustus_masked-LCTY01000001.1-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.40&CDS=1-2739	YGR014W
OG0000482	augustus_masked-LCTY01000001.1-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.41&CDS=1-1122	YMR152W
OG0000483	maker-LCTY01000001.1-snap-gene-2.1-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-2.1&CDS=1-2436	YJL094C
OG0000484	augustus_masked-LCTY01000001.1-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.56&CDS=1-2796	YOR219C
OG0000485	augustus_masked-LCTY01000001.1-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.45&CDS=1-441	YOR224C
OG0000486	genemark-LCTY01000001.1-processed-gene-2.27-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-2.27&CDS=1-870	YOR223W
OG0000487	genemark-LCTY01000001.1-processed-gene-2.29-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-2.29&CDS=1-411	YLR363W-A
OG0000488	maker-LCTY01000001.1-snap-gene-2.0-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-2.0&CDS=1-1857	YDR531W
OG0000489	genemark-LCTY01000001.1-processed-gene-2.17-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-2.17&CDS=1-1950	YDL029W
OG0000490	augustus_masked-LCTY01000001.1-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.62&CDS=1-2367	YDL028C
OG0000491	augustus_masked-LCTY01000001.1-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.63&CDS=1-909	YER118C
OG0000492	augustus_masked-LCTY01000001.1-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.50&CDS=1-3093	YDL215C
OG0000493	maker-LCTY01000001.1-augustus-gene-2.6-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-2.6&CDS=1-2397	YNL238W
OG0000494	augustus_masked-LCTY01000001.1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.65&CDS=1-1338	YNL239W
OG0000495	augustus_masked-LCTY01000001.1-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.66&CDS=1-1722	YDL225W
OG0000496	augustus_masked-LCTY01000001.1-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.51&CDS=1-735	YNL200C
OG0000497	snap_masked-LCTY01000001.1-processed-gene-2.106-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-2.106&CDS=1-525	YNL197C
OG0000498	augustus_masked-LCTY01000001.1-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.53&CDS=1-3501	YFL037W
OG0000499	augustus_masked-LCTY01000001.1-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-2.70&CDS=1-1521	YMR131C
OG0000500	augustus_masked-LCTY01000001.1-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.1&CDS=1-2760	YBR055C
OG0000501	augustus_masked-LCTY01000001.1-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.2&CDS=1-1872	YGR112W
OG0000502	augustus_masked-LCTY01000001.1-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.4&CDS=1-864	YER026C
OG0000503	augustus_masked-LCTY01000001.1-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.5&CDS=1-1263	YLR027C
OG0000504	maker-LCTY01000001.1-snap-gene-3.81-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-3.81&CDS=1-1380	YDR527W
OG0000505	augustus_masked-LCTY01000001.1-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.6&CDS=1-3921	YNL250W
OG0000506	genemark-LCTY01000001.1-processed-gene-3.92-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-3.92&CDS=1-2319	YNL247W
OG0000507	augustus_masked-LCTY01000001.1-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.25&CDS=1-963	YKL094W
OG0000508	augustus_masked-LCTY01000001.1-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.26&CDS=1-1995	YLR116W
OG0000509	maker-LCTY01000001.1-augustus-gene-3.80-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-3.80&CDS=1-3792	YPL260W
OG0000510	augustus_masked-LCTY01000001.1-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.29&CDS=1-1725	YDL178W
OG0000511	augustus_masked-LCTY01000001.1-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.14&CDS=1-1791	YOR070C
OG0000512	augustus_masked-LCTY01000001.1-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.16&CDS=1-1425	YER019W
OG0000513	augustus_masked-LCTY01000001.1-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.17&CDS=1-3675	YLR189C
OG0000514	genemark-LCTY01000001.1-processed-gene-3.117-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-3.117&CDS=1-1569	YNL277W
OG0000515	snap_masked-LCTY01000001.1-processed-gene-3.71-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-3.71&CDS=1-2079	YLR188W
OG0000516	augustus_masked-LCTY01000001.1-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.35&CDS=1-684	YER170W
OG0000517	augustus_masked-LCTY01000001.1-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.36&CDS=1-861	YPL157W
OG0000518	augustus_masked-LCTY01000001.1-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.19&CDS=1-1476	YJL025W
OG0000519	augustus_masked-LCTY01000001.1-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.37&CDS=1-2196	YOR275C
OG0000520	augustus_masked-LCTY01000001.1-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-3.38&CDS=1-2754	YMR266W
OG0000521	snap_masked-LCTY01000001.1-processed-gene-3.59-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-3.59&CDS=1-1107	YEL036C
OG0000522	augustus_masked-LCTY01000001.1-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.49&CDS=1-3339	YEL043W
OG0000523	maker-LCTY01000001.1-snap-gene-4.140-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-4.140&CDS=1-1389	YEL046C
OG0000524	augustus_masked-LCTY01000001.1-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.74&CDS=1-2568	YLL034C
OG0000525	augustus_masked-LCTY01000001.1-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.78&CDS=1-279	YLR038C
OG0000526	augustus_masked-LCTY01000001.1-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.54&CDS=1-2316	YLL035W
OG0000527	augustus_masked-LCTY01000001.1-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.55&CDS=1-1038	YGL040C
OG0000528	augustus_masked-LCTY01000001.1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.79&CDS=1-774	YMR077C
OG0000529	augustus_masked-LCTY01000001.1-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.57&CDS=1-855	YMR269W
OG0000530	augustus_masked-LCTY01000001.1-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.60&CDS=1-4977	YML103C
OG0000531	snap_masked-LCTY01000001.1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-4.15&CDS=1-2124	YBL011W
OG0000532	augustus_masked-LCTY01000001.1-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.62&CDS=1-2235	YGL022W
OG0000533	augustus_masked-LCTY01000001.1-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.82&CDS=1-216	YJL205C
OG0000534	augustus_masked-LCTY01000001.1-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.65&CDS=1-1845	YHL032C
OG0000535	augustus_masked-LCTY01000001.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.67&CDS=1-1035	YOR311C
OG0000536	genemark-LCTY01000001.1-processed-gene-4.128-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-4.128&CDS=1-1683	YBL039C
OG0000537	augustus_masked-LCTY01000001.1-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.84&CDS=1-708	YJR102C
OG0000538	genemark-LCTY01000001.1-processed-gene-4.130-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-4.130&CDS=1-714	YJR101W
OG0000539	augustus_masked-LCTY01000001.1-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.69&CDS=1-1017	YJR100C
OG0000540	augustus_masked-LCTY01000001.1-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.86&CDS=1-462	YJR104C
OG0000541	augustus_masked-LCTY01000001.1-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.71&CDS=1-636	YBL040C
OG0000542	maker-LCTY01000001.1-augustus-gene-4.146-mRNA-1_1&gene=maker-LCTY01000001.1-augustus-gene-4.146&CDS=1-729	YBL041W
OG0000543	augustus_masked-LCTY01000001.1-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.88&CDS=1-2286	YDR205W
OG0000544	augustus_masked-LCTY01000001.1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-4.89&CDS=1-1332	YER152C
OG0000545	maker-LCTY01000001.1-snap-gene-4.139-mRNA-1_1&gene=maker-LCTY01000001.1-snap-gene-4.139&CDS=1-966	YMR234W
OG0000546	snap_masked-LCTY01000001.1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-4.48&CDS=1-2217	YLL019C
