	Saccharomyces_cerevisiae	yHMPu5000035673_Candida_orba
OG0000387	YHL021C	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.203-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.203&CDS=1-4731, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-1.164&CDS=1-1143
OG0000388	YHR028C	augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.148&CDS=1-2484, augustus_masked-NODE_56_length_30191_cov_165.813_ID_7253-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_56_length_30191_cov_165.813_ID_7253-processed-gene-0.24&CDS=1-5364
OG0000389	YHR043C, YHR044C	augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.125&CDS=1-702
OG0000390	YHR104W	augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.98&CDS=1-957, augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.20&CDS=1-963
OG0000391	YHR115C, YNL116W	augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.111&CDS=1-1353
OG0000392	YHR117W, YNL121C	augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.183&CDS=1-1845
OG0000393	YHR123W, YNL130C	augustus_masked-NODE_44_length_60991_cov_88.2388_ID_5719-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_44_length_60991_cov_88.2388_ID_5719-processed-gene-0.30&CDS=1-3348
OG0000394	YHR132C	augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.119&CDS=1-1467, maker-NODE_55_length_32560_cov_97.3046_ID_6993-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_55_length_32560_cov_97.3046_ID_6993-snap-gene-0.0&CDS=1-585
OG0000395	YHR132W-A, YNL157W	augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.95&CDS=1-342
OG0000396	YHR133C, YNL156C	augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.94&CDS=1-690
OG0000397	YHR135C	augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-0.31&CDS=1-1512, augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.213&CDS=1-1218
OG0000398	YHR155W, YNL257C	augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.60&CDS=1-3630
OG0000399	YHR179W, YPL171C	snap_masked-NODE_39_length_72524_cov_94.9443_ID_5361-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_39_length_72524_cov_94.9443_ID_5361-processed-gene-0.33&CDS=1-1245
OG0000400	YHR198C	augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.72&CDS=1-819, augustus_masked-NODE_74_length_6105_cov_90.4454_ID_8422-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_74_length_6105_cov_90.4454_ID_8422-processed-gene-0.2&CDS=1-819
OG0000401	YIL026C	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-4.69&CDS=1-3135, snap_masked-NODE_233_length_429_cov_1.8024_ID_10273-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_233_length_429_cov_1.8024_ID_10273-processed-gene-0.1&CDS=1-258
OG0000402	YIL041W	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-5.25&CDS=1-951, snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.141-mRNA-1_1&gene=snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.141&CDS=1-969
OG0000403	YIL085C, YNL029C	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-3.71&CDS=1-1449
OG0000404	YIL095W	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-3.13&CDS=1-2433, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-1.134&CDS=1-4371
OG0000405	YIL105C, YNL047C	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-2.140&CDS=1-2019
OG0000406	YIL111W, YNL052W	maker-NODE_2_length_988990_cov_98.9605_ID_6788-augustus-gene-2.55-mRNA-1_1&gene=maker-NODE_2_length_988990_cov_98.9605_ID_6788-augustus-gene-2.55&CDS=1-1137
OG0000407	YIL117C, YNL058C	snap_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.79&CDS=1-753
OG0000408	YIL120W, YIL121W	snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.33&CDS=1-1566
OG0000409	YIL130W	augustus_masked-NODE_28_length_96598_cov_100.004_ID_8157-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_28_length_96598_cov_100.004_ID_8157-processed-gene-0.99&CDS=1-2727, maker-NODE_2_length_988990_cov_98.9605_ID_6788-augustus-gene-7.100-mRNA-1_1&gene=maker-NODE_2_length_988990_cov_98.9605_ID_6788-augustus-gene-7.100&CDS=1-2496
OG0000410	YIL151C, YKR096W	augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.130&CDS=1-3021
OG0000411	YIR006C	augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.211&CDS=1-3288, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.43&CDS=1-4182
OG0000412	YIR013C, YLR013W	genemark-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.229-mRNA-1_1&gene=genemark-NODE_17_length_197840_cov_118.389_ID_6131-processed-gene-0.229&CDS=1-1560
OG0000413	YIR033W, YKL020C	snap_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.7&CDS=1-3144
OG0000414	YJL079C, YKR013W	maker-NODE_42_length_67509_cov_97.0814_ID_15312-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_42_length_67509_cov_97.0814_ID_15312-snap-gene-0.2&CDS=1-1473
OG0000415	YJL082W, YKR018C	augustus_masked-NODE_42_length_67509_cov_97.0814_ID_15312-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_42_length_67509_cov_97.0814_ID_15312-processed-gene-0.26&CDS=1-2238
OG0000416	YJL127C	augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.135&CDS=1-663, augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-NODE_24_length_122096_cov_96.048_ID_6063-processed-gene-0.136&CDS=1-1692
OG0000417	YJL133W, YKR052C	augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.108&CDS=1-1017
OG0000418	YJL134W, YKR053C	augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.132&CDS=1-2295
OG0000419	YJL177W, YKL180W	augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_15_length_223829_cov_100.186_ID_4289-processed-gene-0.55&CDS=1-552
OG0000420	YJL190C, YLR367W	augustus_masked-NODE_33_length_85342_cov_99.4067_ID_5149-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_33_length_85342_cov_99.4067_ID_5149-processed-gene-0.62&CDS=1-390
OG0000421	YJR040W	augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NODE_13_length_260485_cov_100.905_ID_4035-processed-gene-1.65&CDS=1-2013, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.143&CDS=1-2265
OG0000422	YJR045C	augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-1.139&CDS=1-1908, maker-NODE_5_length_542709_cov_97.2032_ID_3829-augustus-gene-4.198-mRNA-1_1&gene=maker-NODE_5_length_542709_cov_97.2032_ID_3829-augustus-gene-4.198&CDS=1-1938
OG0000423	YJR059W, YKL198C	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-7.93&CDS=1-2247
OG0000424	YJR091C, YPR042C	augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-3.29&CDS=1-3042
OG0000425	YJR094W-A, YPR043W	augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-3.14&CDS=1-291
OG0000426	YKL043W	augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.58&CDS=1-1497, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.5&CDS=1-1539
OG0000427	YKL046C	augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.9&CDS=1-1353, augustus_masked-NODE_31_length_89179_cov_143.237_ID_5261-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_31_length_89179_cov_143.237_ID_5261-processed-gene-0.20&CDS=1-1341
OG0000428	YKL050C, YMR031C	augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.136&CDS=1-2115
OG0000429	YKL071W	augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-2.79&CDS=1-756, maker-NODE_8_length_374696_cov_108.641_ID_4549-snap-gene-2.270-mRNA-1_1&gene=maker-NODE_8_length_374696_cov_108.641_ID_4549-snap-gene-2.270&CDS=1-1497
OG0000430	YKL072W, YMR053C	augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.127&CDS=1-2163
OG0000431	YKL121W, YMR102C	augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.15&CDS=1-2091
OG0000432	YKL127W, YMR105C	augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.122&CDS=1-1683
OG0000433	YKL140W	augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.173&CDS=1-1395, maker-NODE_7_length_434895_cov_99.951_ID_2823-augustus-gene-3.4-mRNA-1_1&gene=maker-NODE_7_length_434895_cov_99.951_ID_2823-augustus-gene-3.4&CDS=1-3099
OG0000434	YKL141W, YMR118C	augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-3.38&CDS=1-513
OG0000435	YKL215C	maker-NODE_10_length_310917_cov_107.48_ID_4357-augustus-gene-2.100-mRNA-1_1&gene=maker-NODE_10_length_310917_cov_107.48_ID_4357-augustus-gene-2.100&CDS=1-5733, snap_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.39&CDS=1-3804
OG0000436	YKL216W	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-8.294-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-8.294&CDS=1-1251, augustus_masked-NODE_400_length_373_cov_0.92446_ID_10822-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_400_length_373_cov_0.92446_ID_10822-processed-gene-0.0&CDS=1-192
OG0000437	YKL221W	augustus_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-0.65&CDS=1-1428, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-3.103&CDS=1-1374
OG0000438	YKR076W, YMR251W	maker-NODE_43_length_63378_cov_101.02_ID_5761-augustus-gene-0.103-mRNA-1_1&gene=maker-NODE_43_length_63378_cov_101.02_ID_5761-augustus-gene-0.103&CDS=1-1023
OG0000439	YKR089C, YOR081C	snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-4.36-mRNA-1_1&gene=snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-4.36&CDS=1-2604
OG0000440	YKR091W, YOR083W	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-10.1-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-10.1&CDS=1-1146
OG0000441	YLL012W, YLR020C	augustus_masked-NODE_37_length_74221_cov_107.007_ID_6329-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_37_length_74221_cov_107.007_ID_6329-processed-gene-0.60&CDS=1-1332
OG0000442	YLL028W	augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.81&CDS=1-1692, snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-3.155-mRNA-1_1&gene=snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-3.155&CDS=1-1749
OG0000443	YLL057C	augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.163&CDS=1-1182, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.57&CDS=1-1095
OG0000444	YLR004C	augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.212-mRNA-1_1&gene=augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.212&CDS=1-1452, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-1.91&CDS=1-1539
OG0000445	YLR029C, YMR121C	snap_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-1.70-mRNA-1_1&gene=snap_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-1.70&CDS=1-558
OG0000446	YLR031W, YMR124W	snap_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-1.27&CDS=1-3612
OG0000447	YLR148W	augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-0.93&CDS=1-2820, augustus_masked-NODE_55_length_32560_cov_97.3046_ID_6993-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_55_length_32560_cov_97.3046_ID_6993-processed-gene-0.50&CDS=1-399
OG0000448	YLR241W	augustus_masked-NODE_16_length_201853_cov_92.9379_ID_3181-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_16_length_201853_cov_92.9379_ID_3181-processed-gene-0.56&CDS=1-2610, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.107&CDS=1-2502
OG0000449	YLR248W	augustus_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-1.287-mRNA-1_1&gene=augustus_masked-NODE_12_length_290256_cov_93.4947_ID_2939-processed-gene-1.287&CDS=1-1494, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.10&CDS=1-2352
OG0000450	YLR264W, YOR167C	maker-NODE_13_length_260485_cov_100.905_ID_4035-augustus-gene-1.4-mRNA-1_1&gene=maker-NODE_13_length_260485_cov_100.905_ID_4035-augustus-gene-1.4&CDS=1-201
OG0000451	YLR270W, YOR173W	augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-2.26&CDS=1-981
OG0000452	YLR284C, YOR180C	augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.38&CDS=1-819
OG0000453	YLR287C-A, YOR182C	maker-NODE_13_length_260485_cov_100.905_ID_4035-augustus-gene-1.7-mRNA-1_1&gene=maker-NODE_13_length_260485_cov_100.905_ID_4035-augustus-gene-1.7&CDS=1-750
OG0000454	YLR300W, YOR190W	augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-0.91&CDS=1-1272
OG0000455	YLR368W	augustus_masked-NODE_14_length_242154_cov_107.613_ID_3890-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_14_length_242154_cov_107.613_ID_3890-processed-gene-0.65&CDS=1-1410, augustus_masked-NODE_36_length_74520_cov_107.726_ID_6622-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_36_length_74520_cov_107.726_ID_6622-processed-gene-0.12&CDS=1-1674
OG0000456	YLR432W, YML056C	augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.90&CDS=1-1566
OG0000457	YLR441C	augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.35&CDS=1-765, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-6.39&CDS=1-765
OG0000458	YLR446W	augustus_masked-NODE_436_length_361_cov_0.781955_ID_10892-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_436_length_361_cov_0.781955_ID_10892-processed-gene-0.0&CDS=1-360, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-2.14&CDS=1-1302
OG0000459	YLR450W, YML075C	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-3.28&CDS=1-3039
OG0000460	YLR456W, YPR172W	augustus_masked-NODE_50_length_44351_cov_106.676_ID_6230-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_50_length_44351_cov_106.676_ID_6230-processed-gene-0.20&CDS=1-555
OG0000461	YML073C	augustus_masked-NODE_41_length_70290_cov_99.0572_ID_6750-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_41_length_70290_cov_99.0572_ID_6750-processed-gene-0.56&CDS=1-534, maker-NODE_3_length_795162_cov_96.8679_ID_4511-augustus-gene-3.96-mRNA-1_1&gene=maker-NODE_3_length_795162_cov_96.8679_ID_4511-augustus-gene-3.96&CDS=1-528
OG0000462	YML100W, YMR261C	augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-3.22&CDS=1-3015
OG0000463	YML106W, YMR271C	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-1.146&CDS=1-666
OG0000464	YML109W, YMR273C	snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-1.11-mRNA-1_1&gene=snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-1.11&CDS=1-2478
OG0000465	YML114C	augustus_masked-NODE_353_length_387_cov_1.03082_ID_10684-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_353_length_387_cov_1.03082_ID_10684-processed-gene-0.2&CDS=1-384, snap_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-4.2-mRNA-1_1&gene=snap_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-4.2&CDS=1-1608
OG0000466	YML116W, YMR279C	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.79&CDS=1-1446
OG0000467	YMR019W	augustus_masked-NODE_16_length_201853_cov_92.9379_ID_3181-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_16_length_201853_cov_92.9379_ID_3181-processed-gene-0.74&CDS=1-1887, snap_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-2.122-mRNA-1_1&gene=snap_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-2.122&CDS=1-2214
OG0000468	YMR023C	augustus_masked-NODE_46_length_56858_cov_116.839_ID_13019-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_46_length_56858_cov_116.839_ID_13019-processed-gene-0.2&CDS=1-585, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-3.20&CDS=1-1410
OG0000469	YMR183C, YPL232W	augustus_masked-NODE_48_length_54476_cov_123.556_ID_10356-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_48_length_54476_cov_123.556_ID_10356-processed-gene-0.65&CDS=1-885
OG0000470	YMR194W, YPL249C-A	maker-NODE_27_length_98002_cov_109.544_ID_4797-augustus-gene-0.65-mRNA-1_1&gene=maker-NODE_27_length_98002_cov_109.544_ID_4797-augustus-gene-0.65&CDS=1-300
OG0000471	YMR199W, YPL256C	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-2.54&CDS=1-1263
OG0000472	YMR202W	augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-5.11&CDS=1-663, genemark-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-5.59-mRNA-1_1&gene=genemark-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-5.59&CDS=1-663
