	Saccharomyces_cerevisiae	Schizosaccharomyces_pombe
OG0000360	YLR450W, YML075C	SPCC162.09c_pep
OG0000361	YLR456W, YPR172W	SPAC1952.08c_pep
OG0000362	YML032C	SPAC30D11.10_pep, SPBC119.14_pep
OG0000363	YML106W, YMR271C	SPBC725.15_pep
OG0000364	YML109W, YMR273C	SPAC31F12.01_pep
OG0000365	YML118W, YMR285C	SPBC9B6.11c_pep
OG0000366	YMR027W	SPAC806.04c_pep, SPCC1393.13_pep
OG0000367	YMR042W, YMR043W	SPAC11E3.06_pep
OG0000368	YMR073C	SPAC1F12.10c_pep, SPCC330.03c_pep
OG0000369	YMR075W	SPAC16C9.05_pep, SPAC2F7.07c_pep
OG0000370	YMR139W	SPAC1687.15_pep, SPBC8D2.01_pep
OG0000371	YMR152W	SPBC16A3.02c_pep, SPBC1773.06c_pep
OG0000372	YMR169C, YMR170C	SPAC922.07c_pep
OG0000373	YMR177W, YPL224C	SPCC1020.03_pep
OG0000374	YMR182C, YPL230W	SPAC144.02_pep
OG0000375	YMR183C, YPL232W	SPCC825.03c_pep
OG0000376	YMR192W, YPL249C	SPAC26F1.09_pep
OG0000377	YMR222C, YOR280C	SPCC1223.08c_pep
OG0000378	YMR233W, YOR295W	SPCC285.17_pep
OG0000379	YMR237W, YOR299W	SPBC31F10.16_pep
OG0000380	YMR243C, YOR316C	SPAC23C11.14_pep
OG0000381	YMR304W	SPBC713.02c_pep, SPCC188.08c_pep
OG0000382	YMR315W	SPAC26H5.09c_pep, SPBC115.03_pep
OG0000383	YNL096C, YOR096W	SPAC18G6.14c_pep
OG0000384	YNL104C, YOR108W	SPBC3E7.16c_pep
OG0000385	YNL106C, YOR109W	SPBC2G2.02_pep
OG0000386	YNL189W	SPBC1604.08c_pep, SPCC962.03c_pep
OG0000387	YNL229C	SPCC191.09c_pep, SPCC965.07c_pep
OG0000388	YNL231C, YNL264C	SPCC23B6.04c_pep
OG0000389	YNL293W, YOL112W	SPCC4G3.09c_pep
OG0000390	YNL299W, YOL115W	SPAC12G12.13c_pep
OG0000391	YOL040C	SPAC1071.07c_pep, SPCC1393.03_pep
OG0000392	YOL127W	SPBC106.18_pep, SPBC4F6.04_pep
OG0000393	YOL139C	SPAC16E8.15_pep, SPBC1709.18_pep
OG0000394	YOR043W	SPAC20H4.08_pep, SPBP4H10.16c_pep
OG0000395	YOR063W	SPAC17A5.03_pep, SPAPB8E5.06c_pep
OG0000396	YOR093C	SPAC22F3.04_pep, SPAC56F8.02_pep
OG0000397	YOR191W	SPAC17A2.12_pep, SPBC23E6.02_pep
OG0000398	YOR226C, YPL135W	SPAC227.13c_pep
OG0000399	YOR231W, YPL140C	SPBC543.07_pep
OG0000400	YOR233W, YPL141C	SPAC110.01_pep
OG0000401	YOR256C, YPL176C	SPBC354.09c_pep
OG0000402	YOR285W, YOR286W	SPAC4H3.07c_pep
OG0000403	YOR322C	SPAC1F12.05_pep, SPBC18H10.20c_pep
OG0000404	YOR369C	SPBC1685.02c_pep, SPCC962.04_pep
OG0000405	YPL088W	SPAC750.01_pep, SPAC977.14c_pep
OG0000406	YPL111W	SPAC3H1.07_pep, SPBP26C9.02c_pep
OG0000407	YPL131W	SPAC3H5.12c_pep, SPBC11C11.09c_pep
OG0000408	YPL132W	SPAC1420.04c_pep, SPAC19B12.13_pep
OG0000409	YPR013C, YPR015C	SPAC25B8.19c_pep
OG0000410	YPR022C	SPAC1039.05c_pep, SPBC1198.04c_pep
OG0000411	YPR065W	SPBC1711.02_pep, SPBC23G7.09_pep
OG0000412	YPR095C	SPAC19A8.01c_pep, SPAC26F1.01_pep
OG0000413	YPR165W	SPAC1F7.04_pep, SPAC20H4.11c_pep
OG0000414	YPR169W-A, YPR170W-B	SPAC2F3.18c_pep
OG0000415	Q0050, Q0055	SPMIT.06_pep
OG0000416	YAL001C	SPBC336.07_pep
OG0000417	YAL003W	SPCC1450.04_pep
OG0000418	YAL009W	SPBC902.03_pep
OG0000419	YAL010C	SPAC17H9.17c_pep
OG0000420	YAL016W	SPAP8A3.09c_pep
OG0000421	YAL020C	SPAC10F6.04_pep
OG0000422	YAL021C	SPCC31H12.08c_pep
OG0000423	YAL025C	SPAC222.06_pep
OG0000424	YAL026C	SPBC887.12_pep
OG0000425	YAL032C	SPCC188.11_pep
OG0000426	YAL033W	SPCC830.09c_pep
OG0000427	YAL034W-A	SPBC409.04c_pep
OG0000428	YAL035W	SPAC56F8.03_pep
OG0000429	YAL036C	SPAC9.07c_pep
OG0000430	YAL038W	SPAC4H3.10c_pep
OG0000431	YAL039C	SPBC26H8.12_pep
OG0000432	YAL041W	SPAC16E8.09_pep
OG0000433	YAL042W	SPAC24B11.08c_pep
OG0000434	YAL043C	SPAC1071.01c_pep
OG0000435	YAL044C	SPBP19A11.01_pep
OG0000436	YAL044W-A	SPBC16E9.06c_pep
OG0000437	YAL046C	SPCC4B3.11c_pep
OG0000438	YAL048C	SPCC320.04c_pep
OG0000439	YAL058W	SPAC3C7.11c_pep
OG0000440	YAR003W	SPAC23H3.05c_pep
OG0000441	YAR007C	SPBC660.13c_pep
OG0000442	YAR008W	SPBC19C7.07c_pep
OG0000443	YAR014C	SPBC1706.01_pep
OG0000444	YAR015W	SPBC409.10_pep
OG0000445	YAR018C	SPAC19E9.02_pep
OG0000446	YBL004W	SPBC56F2.04_pep
OG0000447	YBL007C	SPAC16E8.01_pep
OG0000448	YBL011W	SPBC1718.04_pep
OG0000449	YBL013W	SPAC1805.09c_pep
OG0000450	YBL015W	SPAC1952.09c_pep
OG0000451	YBL019W	SPBC3D6.10_pep
OG0000452	YBL020W	SPBC887.19_pep
OG0000453	YBL021C	SPAC23C11.08_pep
OG0000454	YBL022C	SPAC22F3.06c_pep
OG0000455	YBL023C	SPBC4.04c_pep
OG0000456	YBL026W	SPCC1620.01c_pep
OG0000457	YBL028C	SPBC32H8.05_pep
OG0000458	YBL033C	SPAP27G11.09c_pep
OG0000459	YBL034C	SPAC3G9.12_pep
OG0000460	YBL035C	SPCC553.09c_pep
OG0000461	YBL036C	SPAC644.09_pep
OG0000462	YBL037W	SPBC691.03c_pep
OG0000463	YBL038W	SPBC1105.03c_pep
OG0000464	YBL039C	SPAC10F6.03c_pep
OG0000465	YBL040C	SPBP8B7.22_pep
OG0000466	YBL041W	SPAC22F8.06_pep
OG0000467	YBL047C	SPBC800.10c_pep
OG0000468	YBL049W	SPAPJ691.02_pep
OG0000469	YBL050W	SPAC959.02_pep
OG0000470	YBL055C	SPBC17A3.08_pep
OG0000471	YBL057C	SPAC19A8.14_pep
OG0000472	YBL058W	SPAC343.09_pep
OG0000473	YBL060W	SPAC11E3.11c_pep
OG0000474	YBL063W	SPAC25G10.07c_pep
OG0000475	YBL071W-A	SPAC8F11.02c_pep
OG0000476	YBL076C	SPBC8D2.06_pep
OG0000477	YBL078C	SPBP8B7.24c_pep
OG0000478	YBL080C	SPAC343.13_pep
OG0000479	YBL082C	SPAC7D4.06c_pep
OG0000480	YBL084C	SPAC17C9.01c_pep
OG0000481	YBL086C	SPCC1494.08c_pep
OG0000482	YBL088C	SPCC23B6.03c_pep
OG0000483	YBL090W	SPBC839.09c_pep
OG0000484	YBL091C	SPBC14C8.03_pep
OG0000485	YBL093C	SPCC1450.05c_pep
OG0000486	YBL095W	SPAPB2B4.06_pep
OG0000487	YBL097W	SPCC306.03c_pep
OG0000488	YBL099W	SPAC14C4.14_pep
OG0000489	YBL102W	SPAC1527.02_pep
OG0000490	YBL104C	SPAC12G12.01c_pep
OG0000491	YBL105C	SPBC12D12.04c_pep
OG0000492	YBR002C	SPAC4D7.04c_pep
OG0000493	YBR003W	SPBPJ4664.01_pep
OG0000494	YBR004C	SPAC18B11.05_pep
OG0000495	YBR006W	SPAC1002.12c_pep
OG0000496	YBR011C	SPAC23C11.05_pep
OG0000497	YBR017C	SPAC2F3.06c_pep
OG0000498	YBR018C	SPBPB2B2.10c_pep
OG0000499	YBR019C	SPBPB2B2.12c_pep
OG0000500	YBR025C	SPAC27E2.03c_pep
OG0000501	YBR026C	SPAC26F1.04c_pep
OG0000502	YBR028C	SPCC4G3.08_pep
OG0000503	YBR029C	SPBC13A2.03_pep
OG0000504	YBR034C	SPAC890.07c_pep
OG0000505	YBR035C	SPAC1093.02_pep
OG0000506	YBR038W	SPAC13G6.12c_pep
OG0000507	YBR039W	SPBC1734.13_pep
OG0000508	YBR046C	SPCC1442.16c_pep
OG0000509	YBR055C	SPBC6B1.07_pep
OG0000510	YBR056W	SPBC2D10.05_pep
OG0000511	YBR058C	SPBC6B1.06c_pep
OG0000512	YBR060C	SPBC685.09_pep
OG0000513	YBR061C	SPAC4F10.03c_pep
OG0000514	YBR062C	SPBC2A9.04c_pep
OG0000515	YBR065C	SPCC550.02c_pep
OG0000516	YBR070C	SPAC5D6.06c_pep
OG0000517	YBR074W	SPCC1919.12c_pep
OG0000518	YBR079C	SPBC17D11.05_pep
OG0000519	YBR080C	SPAC1834.11c_pep
OG0000520	YBR081C	SPBC25H2.11c_pep
OG0000521	YBR082C	SPBC119.02_pep
OG0000522	YBR085W	SPBC530.10c_pep
OG0000523	YBR086C	SPBC691.05c_pep
OG0000524	YBR087W	SPBC83.14c_pep
OG0000525	YBR088C	SPBC16D10.09_pep
OG0000526	YBR094W	SPAC12B10.04_pep
OG0000527	YBR097W	SPBC119.07_pep
OG0000528	YBR101C	SPBC3B9.01_pep
OG0000529	YBR106W	SPBC16H5.04_pep
OG0000530	YBR109C	SPAC3A12.14_pep
OG0000531	YBR110W	SPAC23C4.14_pep
OG0000532	YBR111C	SPBP35G2.12_pep
OG0000533	YBR111W-A	SPBC6B1.12c_pep
OG0000534	YBR112C	SPBC23E6.09_pep
OG0000535	YBR114W	SPCC330.01c_pep
OG0000536	YBR115C	SPAP7G5.04c_pep
OG0000537	YBR121C	SPAC3F10.03_pep
OG0000538	YBR123C	SPAC6F12.11c_pep
OG0000539	YBR126C	SPAC328.03_pep
OG0000540	YBR127C	SPAC637.05c_pep
OG0000541	YBR133C	SPBC16H5.11c_pep
OG0000542	YBR135W	SPBC1734.14c_pep
OG0000543	YBR136W	SPBC216.05_pep
OG0000544	YBR137W	SPBP4H10.12_pep
OG0000545	YBR139W	SPAC19G12.10c_pep
OG0000546	YBR141C	SPAC630.10_pep
OG0000547	YBR142W	SPBC4F6.07c_pep
OG0000548	YBR143C	SPAC1834.01_pep
OG0000549	YBR146W	SPAC29A4.03c_pep
OG0000550	YBR153W	SPBC21C3.10c_pep
OG0000551	YBR154C	SPAC23C4.15_pep
OG0000552	YBR155W	SPAC17A2.04c_pep
OG0000553	YBR156C	SPBC336.15_pep
OG0000554	YBR159W	SPAC4G9.15_pep
OG0000555	YBR160W	SPBC11B10.09_pep
OG0000556	YBR162C	SPBP23A10.11c_pep
OG0000557	YBR166C	SPCC1494.04c_pep
OG0000558	YBR168W	SPCC550.09_pep
OG0000559	YBR170C	SPBC1711.10c_pep
OG0000560	YBR171W	SPBC409.21_pep
OG0000561	YBR173C	SPCC14G10.03c_pep
OG0000562	YBR175W	SPBC1289.11_pep
OG0000563	YBR176W	SPAC5H10.09c_pep
OG0000564	YBR179C	SPBC1706.03_pep
OG0000565	YBR192W	SPAC688.09_pep
OG0000566	YBR193C	SPBC21.04_pep
OG0000567	YBR196C	SPBC1604.05_pep
OG0000568	YBR200W	SPAC22H10.07_pep
OG0000569	YBR202W	SPBC25D12.03c_pep
OG0000570	YBR213W	SPAC4D7.06c_pep
OG0000571	YBR215W	SPBC947.08c_pep
OG0000572	YBR217W	SPAC1783.06c_pep
OG0000573	YBR220C	SPBC21B10.09_pep
OG0000574	YBR221C	SPBC30D10.13c_pep
OG0000575	YBR222C	SPCC1827.03c_pep
OG0000576	YBR223C	SPCP31B10.05_pep
OG0000577	YBR228W	SPAP27G11.15_pep
OG0000578	YBR229C	SPAC1002.03c_pep
OG0000579	YBR231C	SPCC576.13_pep
OG0000580	YBR233W	SPCC757.09c_pep
OG0000581	YBR233W-A	SPAC14C4.16_pep
OG0000582	YBR234C	SPBC14C8.06_pep
OG0000583	YBR235W	SPBC18H10.16_pep
OG0000584	YBR236C	SPCC330.10_pep
OG0000585	YBR237W	SPCC10H11.01_pep
OG0000586	YBR243C	SPBC15D4.04_pep
OG0000587	YBR246W	SPCC18.15_pep
OG0000588	YBR247C	SPBC13G1.09_pep
OG0000589	YBR248C	SPBC418.01c_pep
OG0000590	YBR249C	SPAC24H6.10c_pep
OG0000591	YBR251W	SPAC4G9.17c_pep
OG0000592	YBR252W	SPAC644.05c_pep
OG0000593	YBR254C	SPBC11G11.04_pep
OG0000594	YBR256C	SPCC1450.13c_pep
OG0000595	YBR257W	SPBC1703.01c_pep
OG0000596	YBR260C	SPBC23G7.08c_pep
OG0000597	YBR261C	SPAC16E8.14c_pep
OG0000598	YBR265W	SPCC1450.15_pep
OG0000599	YBR267W	SPCC550.15c_pep
OG0000600	YBR268W	SPCC645.09_pep
OG0000601	YBR269C	SPBC26H8.16_pep
OG0000602	YBR271W	SPCC338.11c_pep
OG0000603	YBR274W	SPCC1259.13_pep
OG0000604	YBR279W	SPAC664.03_pep
OG0000605	YBR280C	SPBC3H7.06c_pep
OG0000606	YBR282W	SPAC3A12.19_pep
OG0000607	YBR287W	SPAC5D6.04_pep
OG0000608	YBR289W	SPAC2F7.08c_pep
OG0000609	YBR290W	SPAC328.07c_pep
OG0000610	YBR291C	SPAC19G12.05_pep
OG0000611	YBR293W	SPBC460.03_pep
OG0000612	YCL001W	SPAC22E12.05c_pep
OG0000613	YCL004W	SPBP18G5.02_pep
OG0000614	YCL005W-A	SPBC1685.16_pep
OG0000615	YCL009C	SPBC14C8.04_pep
OG0000616	YCL010C	SPBC1921.07c_pep
OG0000617	YCL012C	SPAC1687.07_pep
OG0000618	YCL016C	SPAC31A2.15c_pep
OG0000619	YCL017C	SPBC21D10.11c_pep
OG0000620	YCL018W	SPBC1A4.02c_pep
OG0000621	YCL030C	SPBC1711.13_pep
OG0000622	YCL031C	SPBC776.17_pep
OG0000623	YCL033C	SPBC216.04c_pep
OG0000624	YCL034W	SPBC31F10.07_pep
OG0000625	YCL038C	SPAC2G11.13_pep
OG0000626	YCL039W	SPAC343.04c_pep
OG0000627	YCL043C	SPAC1F5.02_pep
OG0000628	YCL045C	SPAC25H1.07_pep
OG0000629	YCL047C	SPAC694.03_pep
OG0000630	YCL054W	SPAC1687.11_pep
OG0000631	YCL057C-A	SPAPJ691.03_pep
OG0000632	YCL059C	SPBC25B2.05_pep
OG0000633	YCL061C	SPAC694.06c_pep
OG0000634	YCR002C	SPAC821.06_pep
OG0000635	YCR003W	SPBC1604.13c_pep
OG0000636	YCR008W	SPAC29A4.16_pep
OG0000637	YCR009C	SPBC725.09c_pep
OG0000638	YCR012W	SPBC14F5.04c_pep
OG0000639	YCR017C	SPAC589.12_pep
OG0000640	YCR019W	SPAC16C9.01c_pep
OG0000641	YCR024C	SPBC1198.10c_pep
OG0000642	YCR027C	SPBC428.16c_pep
OG0000643	YCR028C	SPBC2G2.01c_pep
OG0000644	YCR028C-A	SPAC2F3.04c_pep
OG0000645	YCR032W	SPBC28E12.06c_pep
OG0000646	YCR033W	SPAC22E12.19_pep
OG0000647	YCR034W	SPAC1B2.03c_pep
OG0000648	YCR036W	SPBC16G5.02c_pep
OG0000649	YCR042C	SPAC3A12.05c_pep
OG0000650	YCR044C	SPAC823.07_pep
OG0000651	YCR046C	SPAC343.02_pep
OG0000652	YCR047C	SPAC26A3.06_pep
OG0000653	YCR051W	SPCP1E11.10_pep
OG0000654	YCR053W	SPAC9E9.06c_pep
OG0000655	YCR054C	SPCC584.14_pep
OG0000656	YCR057C	SPBC713.04c_pep
OG0000657	YCR059C	SPAC27E2.02_pep
OG0000658	YCR061W	SPBC3B8.06_pep
OG0000659	YCR063W	SPBC24C6.11_pep
OG0000660	YCR066W	SPBC1734.06_pep
OG0000661	YCR068W	SPAC23C4.16c_pep
OG0000662	YCR071C	SPAC3H8.03_pep
OG0000663	YCR072C	SPCC18.05c_pep
OG0000664	YCR077C	SPBC19G7.10c_pep
OG0000665	YCR081W	SPAC688.08_pep
OG0000666	YCR087C-A	SPBC215.06c_pep
OG0000667	YCR088W	SPAPJ760.02c_pep
OG0000668	YCR090C	SPBC2D10.03c_pep
OG0000669	YCR092C	SPAC8F11.03_pep
OG0000670	YCR093W	SPAC20G8.06_pep
OG0000671	YCR098C	SPBC1271.09_pep
OG0000672	YDL001W	SPCC16C4.01_pep
OG0000673	YDL003W	SPCC338.17c_pep
OG0000674	YDL004W	SPBC13E7.04_pep
OG0000675	YDL007W	SPBC4.07c_pep
OG0000676	YDL008W	SPAC343.03_pep
OG0000677	YDL014W	SPBC2D10.10c_pep
OG0000678	YDL015C	SPBC646.07c_pep
OG0000679	YDL020C	SPBC1105.14_pep
OG0000680	YDL028C	SPBC106.01_pep
OG0000681	YDL029W	SPAC11H11.06_pep
OG0000682	YDL030W	SPBC36.09_pep
OG0000683	YDL031W	SPAC31A2.07c_pep
OG0000684	YDL033C	SPAC23H4.04_pep
OG0000685	YDL035C	SPCC1753.02c_pep
OG0000686	YDL036C	SPAC18B11.02c_pep
OG0000687	YDL040C	SPCC338.07c_pep
OG0000688	YDL045C	SPCC1235.04c_pep
OG0000689	YDL046W	SPAPB8E5.04c_pep
OG0000690	YDL047W	SPCC1739.12_pep
OG0000691	YDL051W	SPAC57A10.10c_pep
OG0000692	YDL052C	SPAC1851.02_pep
OG0000693	YDL055C	SPCC1906.01_pep
OG0000694	YDL058W	SPAC29E6.03c_pep
OG0000695	YDL060W	SPAC23H4.15_pep
OG0000696	YDL063C	SPBC1703.03c_pep
OG0000697	YDL064W	SPAC30D11.13_pep
OG0000698	YDL065C	SPAC17C9.14_pep
OG0000699	YDL066W	SPAC6G10.08_pep
OG0000700	YDL067C	SPCC1259.05c_pep
OG0000701	YDL072C	SPAC9E9.04_pep
OG0000702	YDL074C	SPCC970.10c_pep
OG0000703	YDL076C	SPCC1259.07_pep
OG0000704	YDL077C	SPAC23H4.14_pep
OG0000705	YDL084W	SPAC17G6.14c_pep
OG0000706	YDL087C	SPCC16A11.13_pep
OG0000707	YDL090C	SPAC17G6.04c_pep
OG0000708	YDL091C	SPCC285.11_pep
OG0000709	YDL097C	SPAC23G3.11_pep
OG0000710	YDL098C	SPAC22F3.11c_pep
OG0000711	YDL100C	SPAC1142.06_pep
OG0000712	YDL102W	SPBC336.04_pep
OG0000713	YDL103C	SPBC1289.08_pep
OG0000714	YDL104C	SPCC1259.10_pep
OG0000715	YDL105W	SPBC20F10.04c_pep
OG0000716	YDL108W	SPBC19F8.07_pep
OG0000717	YDL111C	SPBC16G5.10_pep
OG0000718	YDL116W	SPBC428.01c_pep
OG0000719	YDL117W	SPAC9G1.06c_pep
OG0000720	YDL119C	SPAC823.10c_pep
OG0000721	YDL120W	SPCC1183.03c_pep
OG0000722	YDL124W	SPAC19G12.09_pep
OG0000723	YDL125C	SPCC1442.14c_pep
OG0000724	YDL126C	SPAC1565.08_pep
OG0000725	YDL128W	SPCC1795.02c_pep
OG0000726	YDL131W	SPBC1105.02c_pep
OG0000727	YDL132W	SPAC17G6.12_pep
OG0000728	YDL134C	SPBC16H5.07c_pep
OG0000729	YDL135C	SPAC6F12.06_pep
OG0000730	YDL137W	SPBC4F6.18c_pep
OG0000731	YDL140C	SPBC28F2.12_pep
OG0000732	YDL141W	SPBC30D10.07c_pep
OG0000733	YDL143W	SPBC106.06_pep
OG0000734	YDL145C	SPBPJ4664.04_pep
OG0000735	YDL146W	SPBC24C6.10c_pep
OG0000736	YDL148C	SPBC3F6.04c_pep
OG0000737	YDL149W	SPBC15D4.07c_pep
OG0000738	YDL150W	SPCC18.07_pep
OG0000739	YDL153C	SPBC3B8.09_pep
OG0000740	YDL160C	SPBC776.09_pep
OG0000741	YDL164C	SPAC20G8.01_pep
OG0000742	YDL165W	SPCC4G3.15c_pep
OG0000743	YDL166C	SPCC830.11c_pep
OG0000744	YDL167C	SPAC17H9.04c_pep
OG0000745	YDL168W	SPCC13B11.04c_pep
OG0000746	YDL170W	SPCC965.10_pep
OG0000747	YDL171C	SPAPB1E7.07_pep
OG0000748	YDL178W	SPBC713.03_pep
OG0000749	YDL183C	SPAC23H3.12c_pep
OG0000750	YDL185W	SPAC343.05_pep
OG0000751	YDL190C	SPAC20H4.10_pep
OG0000752	YDL193W	SPBC2A9.06c_pep
OG0000753	YDL195W	SPBC8D2.20c_pep
OG0000754	YDL198C	SPCC1682.09c_pep
OG0000755	YDL200C	SPAC1250.04c_pep
OG0000756	YDL201W	SPCPB16A4.04c_pep
OG0000757	YDL205C	SPAC24B11.13_pep
OG0000758	YDL206W	SPAC3A12.06c_pep
OG0000759	YDL207W	SPBC31E1.05_pep
OG0000760	YDL208W	SPAC1782.10c_pep
OG0000761	YDL209C	SPAC3A12.11c_pep
OG0000762	YDL212W	SPBC409.20c_pep
OG0000763	YDL213C	SPBC365.04c_pep
OG0000764	YDL215C	SPCC132.04c_pep
OG0000765	YDL216C	SPAC1687.13c_pep
OG0000766	YDL217C	SPBC25H2.04c_pep
OG0000767	YDL219W	SPAC8C9.05_pep
OG0000768	YDL226C	SPCC622.14_pep
OG0000769	YDL230W	SPAC26F1.10c_pep
OG0000770	YDL234C	SPAC630.05_pep
OG0000771	YDL235C	SPBC725.02_pep
OG0000772	YDL236W	SPBC15D4.15_pep
OG0000773	YDL238C	SPCC1672.03c_pep
OG0000774	YDL240W	SPBC3F6.05_pep
OG0000775	YDR001C	SPBC660.07_pep
OG0000776	YDR002W	SPBC1773.07c_pep
OG0000777	YDR004W	SPAC20H4.07_pep
OG0000778	YDR005C	SPAC31G5.12c_pep
OG0000779	YDR013W	SPBP23A10.09_pep
OG0000780	YDR017C	SPCC970.08_pep
OG0000781	YDR019C	SPAC31G5.14_pep
OG0000782	YDR021W	SPAC1F5.10_pep
OG0000783	YDR023W	SPAC29A4.15_pep
OG0000784	YDR027C	SPAC2F3.10_pep
OG0000785	YDR028C	SPAC227.15_pep
OG0000786	YDR030C	SPBC577.09_pep
OG0000787	YDR032C	SPAC3C7.14c_pep
OG0000788	YDR036C	SPBC2D10.09_pep
OG0000789	YDR037W	SPBC17G9.03c_pep
OG0000790	YDR041W	SPBC211.01_pep
OG0000791	YDR044W	SPAC222.11_pep
OG0000792	YDR045C	SPAC22A12.05_pep
OG0000793	YDR047W	SPCC4B3.05c_pep
OG0000794	YDR049W	SPCC1827.04_pep
OG0000795	YDR050C	SPCC24B10.21_pep
OG0000796	YDR060W	SPAC4F10.09c_pep
OG0000797	YDR061W	SPAC323.04_pep
OG0000798	YDR062W	SPAC21E11.08_pep
OG0000799	YDR063W	SPAC17H9.11_pep
OG0000800	YDR064W	SPAC6F6.07c_pep
OG0000801	YDR068W	SPAC22A12.14c_pep
OG0000802	YDR071C	SPAC9.02c_pep
OG0000803	YDR074W	SPAC19G12.15c_pep
OG0000804	YDR079C-A	SPBC32F12.15_pep
OG0000805	YDR080W	SPAP27G11.05c_pep
OG0000806	YDR083W	SPAC56F8.09_pep
OG0000807	YDR084C	SPBC2A9.05c_pep
OG0000808	YDR086C	SPAC4G8.02c_pep
OG0000809	YDR087C	SPBC9B6.07_pep
OG0000810	YDR088C	SPBC365.05c_pep
OG0000811	YDR090C	SPAC2E12.03c_pep
OG0000812	YDR091C	SPBC14F5.06_pep
OG0000813	YDR092W	SPAC11E3.04c_pep
OG0000814	YDR097C	SPCC285.16c_pep
OG0000815	YDR100W	SPAC6F12.04_pep
OG0000816	YDR104C	SPAC26H5.11_pep
OG0000817	YDR105C	SPAPB1A10.07c_pep
OG0000818	YDR106W	SPBC56F2.03_pep
OG0000819	YDR115W	SPBC21C3.04c_pep
OG0000820	YDR116C	SPAC1610.02c_pep
OG0000821	YDR120C	SPBC25D12.05_pep
OG0000822	YDR126W	SPBC13G1.07_pep
OG0000823	YDR127W	SPAC1834.02_pep
OG0000824	YDR128W	SPAC11E3.05_pep
OG0000825	YDR129C	SPBC1778.06c_pep
OG0000826	YDR139C	SPBC12D12.08c_pep
OG0000827	YDR140W	SPAC323.05c_pep
OG0000828	YDR141C	SPAPB21F2.02_pep
OG0000829	YDR142C	SPAC17D4.01_pep
OG0000830	YDR145W	SPAC15A10.02_pep
OG0000831	YDR148C	SPBC776.15c_pep
OG0000832	YDR152W	SPCC1393.09c_pep
OG0000833	YDR155C	SPBC28F2.03_pep
OG0000834	YDR158W	SPCC1827.06c_pep
OG0000835	YDR161W	SPBC16D10.01c_pep
OG0000836	YDR162C	SPCC24B10.13_pep
OG0000837	YDR164C	SPCC584.05_pep
OG0000838	YDR165W	SPCC18.13_pep
OG0000839	YDR167W	SPBC21H7.02_pep
OG0000840	YDR168W	SPBC9B6.10_pep
OG0000841	YDR169C	SPBC1652.01_pep
OG0000842	YDR170C	SPAC30.01c_pep
OG0000843	YDR172W	SPCC584.04_pep
OG0000844	YDR173C	SPAC607.04_pep
OG0000845	YDR175C	SPAC2F7.15_pep
OG0000846	YDR176W	SPBC28F2.10c_pep
OG0000847	YDR177W	SPBC2D10.20_pep
OG0000848	YDR180W	SPAC31A2.05c_pep
OG0000849	YDR182W	SPAC630.12_pep
OG0000850	YDR183W	SPAC2F3.12c_pep
OG0000851	YDR188W	SPBC646.11_pep
OG0000852	YDR189W	SPCC74.01_pep
OG0000853	YDR190C	SPAPB8E5.09_pep
OG0000854	YDR191W	SPAC1783.04c_pep
OG0000855	YDR196C	SPCC14G10.01_pep
OG0000856	YDR198C	SPCC1223.04c_pep
OG0000857	YDR204W	SPAC1687.12c_pep
OG0000858	YDR205W	SPAC17D4.03c_pep
OG0000859	YDR208W	SPAC19G12.14_pep
OG0000860	YDR211W	SPAC8C9.15c_pep
OG0000861	YDR212W	SPBC12D12.03_pep
OG0000862	YDR214W	SPBC1711.08_pep
OG0000863	YDR221W	SPCC825.02_pep
OG0000864	YDR226W	SPAC4G9.03_pep
OG0000865	YDR228C	SPAC4G9.04c_pep
OG0000866	YDR232W	SPAC2F3.09_pep
OG0000867	YDR234W	SPAC343.16_pep
OG0000868	YDR236C	SPCC18.16c_pep
OG0000869	YDR237W	SPBC2F12.02c_pep
OG0000870	YDR238C	SPBC146.14c_pep
OG0000871	YDR242W	SPBPB8B6.03_pep
OG0000872	YDR243C	SPCC63.11_pep
OG0000873	YDR244W	SPBC725.07_pep
OG0000874	YDR245W	SPAC637.06_pep
OG0000875	YDR246W	SPBC3B9.12_pep
OG0000876	YDR248C	SPAC4G9.12_pep
OG0000877	YDR254W	SPBP22H7.09c_pep
OG0000878	YDR255C	SPBC29A3.03c_pep
OG0000879	YDR256C	SPCC757.07c_pep
OG0000880	YDR257C	SPAC688.14_pep
OG0000881	YDR258C	SPBC4F6.17c_pep
OG0000882	YDR265W	SPBC17A3.10_pep
OG0000883	YDR266C	SPCC1223.01_pep
OG0000884	YDR268W	SPAC3G9.13c_pep
OG0000885	YDR270W	SPBC29A3.01_pep
OG0000886	YDR276C	SPBC713.11c_pep
OG0000887	YDR280W	SPCC757.08_pep
OG0000888	YDR283C	SPBC36B7.09_pep
OG0000889	YDR284C	SPBC409.18_pep
OG0000890	YDR289C	SPBC337.03_pep
OG0000891	YDR291W	SPAC23A1.19c_pep
OG0000892	YDR292C	SPBC3B9.03_pep
OG0000893	YDR293C	SPCC16C4.09_pep
OG0000894	YDR297W	SPBC887.15c_pep
OG0000895	YDR298C	SPCC1840.06_pep
OG0000896	YDR299W	SPAC664.08c_pep
OG0000897	YDR300C	SPAC17H9.13c_pep
OG0000898	YDR301W	SPBC1709.08_pep
OG0000899	YDR305C	SPCC4G3.02_pep
OG0000900	YDR306C	SPAC6F6.02c_pep
