	Debaryomyces_hansenii	Saccharomyces_cerevisiae
OG0000368	augustus_masked-Deha2F-processed-gene-17.120-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-17.120&CDS=1-3120	YBL085W, YER114C
OG0000369	maker-Deha2F-augustus-gene-18.1-mRNA-1_1&gene=maker-Deha2F-augustus-gene-18.1&CDS=1-711	YLR287C-A, YOR182C
OG0000370	augustus_masked-Deha2F-processed-gene-18.44-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-18.44&CDS=1-936	YLR270W, YOR173W
OG0000371	augustus_masked-Deha2F-processed-gene-18.28-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-18.28&CDS=1-1344	YDR451C, YML027W
OG0000372	augustus_masked-Deha2F-processed-gene-18.51-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-18.51&CDS=1-435	YDR450W, YML026C
OG0000373	augustus_masked-Deha2F-processed-gene-18.29-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-18.29&CDS=1-693, augustus_masked-Deha2G-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.46&CDS=1-999	YNL234W
OG0000374	augustus_masked-Deha2F-processed-gene-19.58-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-19.58&CDS=1-1527	YLR273C, YOR178C
OG0000375	augustus_masked-Deha2F-processed-gene-19.96-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-19.96&CDS=1-1815	YGL071W, YPL202C
OG0000376	maker-Deha2F-snap-gene-20.165-mRNA-1_1&gene=maker-Deha2F-snap-gene-20.165&CDS=1-2433	YFR013W, YOL017W
OG0000377	augustus_masked-Deha2F-processed-gene-20.65-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.65&CDS=1-3564	YCR048W, YNR019W
OG0000378	snap_masked-Deha2F-processed-gene-22.16-mRNA-1_1&gene=snap_masked-Deha2F-processed-gene-22.16&CDS=1-696, snap_masked-Deha2F-processed-gene-22.17-mRNA-1_1&gene=snap_masked-Deha2F-processed-gene-22.17&CDS=1-255	YCR020C
OG0000379	genemark-Deha2G-processed-gene-0.121-mRNA-1_1&gene=genemark-Deha2G-processed-gene-0.121&CDS=1-390	YHR132W-A, YNL157W
OG0000380	augustus_masked-Deha2G-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.39&CDS=1-1044	YHR133C, YNL156C
OG0000381	snap_masked-Deha2G-processed-gene-1.56-mRNA-1_1&gene=snap_masked-Deha2G-processed-gene-1.56&CDS=1-4890	YJL076W, YKR010C
OG0000382	augustus_masked-Deha2G-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.110&CDS=1-2400	YGL139W, YPL221W
OG0000383	augustus_masked-Deha2G-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.118&CDS=1-1575	YGR121C, YPR138C
OG0000384	augustus_masked-Deha2G-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.12&CDS=1-516	YMR242C, YOR312C
OG0000385	augustus_masked-Deha2G-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.13&CDS=1-810, augustus_masked-Deha2G-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.14&CDS=1-810	YMR226C
OG0000386	augustus_masked-Deha2G-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.42&CDS=1-360	YMR230W, YOR293W
OG0000387	augustus_masked-Deha2G-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.83&CDS=1-309	YGR209C, YLR043C
OG0000388	genemark-Deha2G-processed-gene-4.138-mRNA-1_1&gene=genemark-Deha2G-processed-gene-4.138&CDS=1-3225	YBL106C, YPR032W
OG0000389	augustus_masked-Deha2G-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.22&CDS=1-4140	YGR070W, YLR371W
OG0000390	augustus_masked-Deha2G-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-5.53&CDS=1-2526	YDR385W, YOR133W
OG0000391	augustus_masked-Deha2G-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-6.4&CDS=1-297	YER146W, YJR022W
OG0000392	augustus_masked-Deha2G-processed-gene-6.47-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-6.47&CDS=1-3420	YDR409W, YOR156C
OG0000393	maker-Deha2G-augustus-gene-6.120-mRNA-1_1&gene=maker-Deha2G-augustus-gene-6.120&CDS=1-2196	YMR237W, YOR299W
OG0000394	augustus_masked-Deha2G-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-7.75&CDS=1-2739	YKL072W, YMR053C
OG0000395	maker-Deha2G-augustus-gene-7.145-mRNA-1_1&gene=maker-Deha2G-augustus-gene-7.145&CDS=1-3312	YBR021W, YIR028W
OG0000396	augustus_masked-Deha2G-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-7.71&CDS=1-312	YCL035C, YDR513W
OG0000397	maker-Deha2G-augustus-gene-8.54-mRNA-1_1&gene=maker-Deha2G-augustus-gene-8.54&CDS=1-408	YDR471W, YHR010W
OG0000398	genemark-Deha2G-processed-gene-8.135-mRNA-1_1&gene=genemark-Deha2G-processed-gene-8.135&CDS=1-8007	YBR140C, YOL081W
OG0000399	augustus_masked-Deha2G-processed-gene-8.73-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-8.73&CDS=1-1149	YDR453C, YML028W
OG0000400	augustus_masked-Deha2G-processed-gene-10.59-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-10.59&CDS=1-1905	YDR389W, YOR134W
OG0000401	augustus_masked-Deha2G-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-10.83&CDS=1-2970	YDR206W, YLR233C
OG0000402	augustus_masked-Deha2G-processed-gene-10.67-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-10.67&CDS=1-765	YDR099W, YER177W
OG0000403	snap_masked-Deha2G-processed-gene-11.142-mRNA-1_1&gene=snap_masked-Deha2G-processed-gene-11.142&CDS=1-567	YBL027W, YBR084C-A
OG0000404	augustus_masked-Deha2G-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-11.79&CDS=1-1956	YDR213W, YLR228C
OG0000405	augustus_masked-Deha2G-processed-gene-11.102-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-11.102&CDS=1-897	YDL127W, YDL179W
OG0000406	augustus_masked-Deha2G-processed-gene-12.121-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-12.121&CDS=1-411	YDR447C, YML024W
OG0000407	snap_masked-Deha2G-processed-gene-12.96-mRNA-1_1&gene=snap_masked-Deha2G-processed-gene-12.96&CDS=1-411	YCR031C, YJL191W
OG0000408	augustus_masked-Deha2G-processed-gene-14.2-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-14.2&CDS=1-1245	YDL088C, YMR153W
OG0000409	augustus_masked-Deha2G-processed-gene-15.12-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-15.12&CDS=1-1416, augustus_masked-Deha2G-processed-gene-17.20-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-17.20&CDS=1-1212	YGR189C
OG0000410	augustus_masked-Deha2G-processed-gene-16.6-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-16.6&CDS=1-378	YER057C, YIL051C
OG0000411	augustus_masked-Deha2G-processed-gene-16.28-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-16.28&CDS=1-840	YMR222C, YOR280C
OG0000412	augustus_masked-Deha2G-processed-gene-16.29-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-16.29&CDS=1-849	YER037W, YGL224C
OG0000413	augustus_masked-Deha2G-processed-gene-17.4-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-17.4&CDS=1-2421	YDL109C, YGL144C
OG0000414	augustus_masked-Deha2G-processed-gene-17.39-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-17.39&CDS=1-2061	YGR241C, YHR161C
OG0000415	augustus_masked-Deha2G-processed-gene-18.70-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-18.70&CDS=1-1506	YMR169C, YMR170C
OG0000416	genemark-Deha2G-processed-gene-19.173-mRNA-1_1&gene=genemark-Deha2G-processed-gene-19.173&CDS=1-1527	YGR248W, YHR163W
OG0000417	augustus_masked-Deha2G-processed-gene-19.47-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-19.47&CDS=1-3975	YOR227W, YPL137C
OG0000418	augustus_masked-Deha2G-processed-gene-19.13-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-19.13&CDS=1-537	YOR226C, YPL135W
OG0000419	genemark-Deha2G-processed-gene-19.193-mRNA-1_1&gene=genemark-Deha2G-processed-gene-19.193&CDS=1-3252	YJR091C, YPR042C
OG0000420	augustus_masked-Deha2G-processed-gene-19.24-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-19.24&CDS=1-708	YJR094W-A, YPR043W
OG0000421	augustus_masked-Deha2G-processed-gene-19.33-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-19.33&CDS=1-1203, augustus_masked-Deha2G-processed-gene-19.62-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-19.62&CDS=1-1209	YGR234W
OG0000422	augustus_masked-Deha2A-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-0.79&CDS=1-1665	YOR386W
OG0000423	augustus_masked-Deha2A-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-0.86&CDS=1-1884	YJR002W
OG0000424	augustus_masked-Deha2A-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-0.63&CDS=1-756	YGL136C
OG0000425	maker-Deha2A-augustus-gene-0.90-mRNA-1_1&gene=maker-Deha2A-augustus-gene-0.90&CDS=1-1971	YKL125W
OG0000426	augustus_masked-Deha2A-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.95&CDS=1-2823	YDR028C
OG0000427	augustus_masked-Deha2A-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.96&CDS=1-954	YPL162C
OG0000428	snap_masked-Deha2A-processed-gene-1.52-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-1.52&CDS=1-180	YLL009C
OG0000429	augustus_masked-Deha2A-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.97&CDS=1-3327	YDR027C
OG0000430	augustus_masked-Deha2A-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.123&CDS=1-1218	YPR118W
OG0000431	augustus_masked-Deha2A-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.124&CDS=1-1350	YMR026C
OG0000432	augustus_masked-Deha2A-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.102&CDS=1-1356	YIL033C
OG0000433	augustus_masked-Deha2A-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.103&CDS=1-432	YER044C
OG0000434	augustus_masked-Deha2A-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.105&CDS=1-2148	YHR074W
OG0000435	augustus_masked-Deha2A-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.129&CDS=1-1170	YHR075C
OG0000436	augustus_masked-Deha2A-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.106&CDS=1-963	YJL035C
OG0000437	augustus_masked-Deha2A-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.107&CDS=1-1542	YLR005W
OG0000438	augustus_masked-Deha2A-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.130&CDS=1-2901	YML010W
OG0000439	augustus_masked-Deha2A-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.108&CDS=1-558	YML022W
OG0000440	augustus_masked-Deha2A-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.131&CDS=1-273	YDR424C
OG0000441	augustus_masked-Deha2A-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.110&CDS=1-5322	YDR443C
OG0000442	augustus_masked-Deha2A-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.113&CDS=1-2655	YHR154W
OG0000443	augustus_masked-Deha2A-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.115&CDS=1-1344	YKL046C
OG0000444	augustus_masked-Deha2A-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.116&CDS=1-1746	YJL036W
OG0000445	augustus_masked-Deha2A-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.133&CDS=1-1215	YDR427W
OG0000446	augustus_masked-Deha2A-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.119&CDS=1-1875	YDR425W
OG0000447	augustus_masked-Deha2A-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.121&CDS=1-2460	YPL008W
OG0000448	augustus_masked-Deha2A-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.137&CDS=1-2868	YFR002W
OG0000449	augustus_masked-Deha2A-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.2&CDS=1-1800	YOL115W
OG0000450	augustus_masked-Deha2A-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.3&CDS=1-2202	YJL057C
OG0000451	augustus_masked-Deha2A-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.6&CDS=1-621	YOL114C
OG0000452	augustus_masked-Deha2A-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.0&CDS=1-579	YOL149W
OG0000453	augustus_masked-Deha2A-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.1&CDS=1-2478	YOL148C
OG0000454	augustus_masked-Deha2A-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.35&CDS=1-924	YBR037C
OG0000455	augustus_masked-Deha2A-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.36&CDS=1-576	YBR106W
OG0000456	augustus_masked-Deha2A-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.10&CDS=1-501	YMR022W
OG0000457	augustus_masked-Deha2A-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.11&CDS=1-1467	YMR020W
OG0000458	augustus_masked-Deha2A-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.12&CDS=1-432	YPL225W
OG0000459	snap_masked-Deha2A-processed-gene-2.60-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-2.60&CDS=1-2190	YMR029C
OG0000460	augustus_masked-Deha2A-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.16&CDS=1-3948	YKL215C
OG0000461	augustus_masked-Deha2A-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.18&CDS=1-3414	YPL226W
OG0000462	maker-Deha2A-augustus-gene-2.97-mRNA-1_1&gene=maker-Deha2A-augustus-gene-2.97&CDS=1-750	YML092C
OG0000463	augustus_masked-Deha2A-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.20&CDS=1-2676	YML093W
OG0000464	augustus_masked-Deha2A-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.42&CDS=1-1671	YML086C
OG0000465	augustus_masked-Deha2A-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.21&CDS=1-1344	YML126C
OG0000466	augustus_masked-Deha2A-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.22&CDS=1-2556	YML128C
OG0000467	maker-Deha2A-augustus-gene-2.99-mRNA-1_1&gene=maker-Deha2A-augustus-gene-2.99&CDS=1-1347	YML085C
OG0000468	augustus_masked-Deha2A-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.24&CDS=1-912	YML125C
OG0000469	augustus_masked-Deha2A-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.25&CDS=1-1056	YPR127W
OG0000470	augustus_masked-Deha2A-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.43&CDS=1-3969	YMR012W
OG0000471	augustus_masked-Deha2A-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.27&CDS=1-1899	YML088W
OG0000472	augustus_masked-Deha2A-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.28&CDS=1-3873	YML091C
OG0000473	augustus_masked-Deha2A-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.45&CDS=1-1188	YBR025C
OG0000474	augustus_masked-Deha2A-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.30&CDS=1-330	YBR268W
OG0000475	augustus_masked-Deha2A-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.47&CDS=1-2505	YPR089W
OG0000476	augustus_masked-Deha2A-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.31&CDS=1-867	YPR079W
OG0000477	augustus_masked-Deha2A-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.46&CDS=1-2823	YNL287W
OG0000478	augustus_masked-Deha2A-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.32&CDS=1-249	YPL183W-A
OG0000479	maker-Deha2A-augustus-gene-3.42-mRNA-1_1&gene=maker-Deha2A-augustus-gene-3.42&CDS=1-3372	YGL094C
OG0000480	augustus_masked-Deha2A-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.44&CDS=1-1581	YGL078C
OG0000481	augustus_masked-Deha2A-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.45&CDS=1-1683	YML130C
OG0000482	augustus_masked-Deha2A-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.65&CDS=1-2853	YML099C
OG0000483	augustus_masked-Deha2A-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.66&CDS=1-2163	YDR034C
OG0000484	augustus_masked-Deha2A-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.67&CDS=1-1917	YGL073W
OG0000485	augustus_masked-Deha2A-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.52&CDS=1-2856	YOR335C
OG0000486	augustus_masked-Deha2A-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.69&CDS=1-4431	YDR011W
OG0000487	augustus_masked-Deha2A-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.70&CDS=1-1335	YOL001W
OG0000488	augustus_masked-Deha2A-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.71&CDS=1-2328	YOR001W
OG0000489	augustus_masked-Deha2A-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.56&CDS=1-1152	YBR267W
OG0000490	augustus_masked-Deha2A-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.72&CDS=1-2631	YJL062W
OG0000491	augustus_masked-Deha2A-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.60&CDS=1-1770	YBR248C
OG0000492	augustus_masked-Deha2A-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.61&CDS=1-2802	YPL268W
OG0000493	augustus_masked-Deha2A-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.62&CDS=1-1353	YBR247C
OG0000494	augustus_masked-Deha2A-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.75&CDS=1-936	YNL288W
OG0000495	augustus_masked-Deha2A-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.76&CDS=1-1494	YGL097W
OG0000496	augustus_masked-Deha2A-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.77&CDS=1-3036	YBR038W
OG0000497	augustus_masked-Deha2A-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.63&CDS=1-2469	YJL072C
OG0000498	augustus_masked-Deha2A-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.78&CDS=1-1104	YBR249C
OG0000499	genemark-Deha2A-processed-gene-4.0-mRNA-1_1&gene=genemark-Deha2A-processed-gene-4.0&CDS=1-1242	YJL059W
OG0000500	augustus_masked-Deha2A-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.56&CDS=1-1302	YJL060W
OG0000501	maker-Deha2A-augustus-gene-4.54-mRNA-1_1&gene=maker-Deha2A-augustus-gene-4.54&CDS=1-1635	YBR269C
OG0000502	augustus_masked-Deha2A-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.57&CDS=1-1167	YNL286W
OG0000503	augustus_masked-Deha2A-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.61&CDS=1-1161	YGL213C
OG0000504	augustus_masked-Deha2A-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.63&CDS=1-2832	YLR382C
OG0000505	genemark-Deha2A-processed-gene-4.36-mRNA-1_1&gene=genemark-Deha2A-processed-gene-4.36&CDS=1-2358	YGR150C
OG0000506	genemark-Deha2A-processed-gene-4.10-mRNA-1_1&gene=genemark-Deha2A-processed-gene-4.10&CDS=1-4758	YOR093C
OG0000507	augustus_masked-Deha2A-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.65&CDS=1-1632	YLR380W
OG0000508	augustus_masked-Deha2A-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.66&CDS=1-1155	YPL181W
OG0000509	genemark-Deha2A-processed-gene-4.37-mRNA-1_1&gene=genemark-Deha2A-processed-gene-4.37&CDS=1-1809	YGL095C
OG0000510	augustus_masked-Deha2A-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.85&CDS=1-4350	YLR389C
OG0000511	augustus_masked-Deha2A-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.68&CDS=1-678	YLR390W-A
OG0000512	augustus_masked-Deha2A-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.69&CDS=1-1485	YDL238C
OG0000513	augustus_masked-Deha2A-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.70&CDS=1-3330	YLR383W
OG0000514	augustus_masked-Deha2A-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.71&CDS=1-1122	YER154W
OG0000515	augustus_masked-Deha2A-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.87&CDS=1-5367	YER155C
OG0000516	augustus_masked-Deha2A-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.88&CDS=1-666	YNL107W
OG0000517	snap_masked-Deha2A-processed-gene-4.119-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-4.119&CDS=1-183	YNL070W
OG0000518	snap_masked-Deha2A-processed-gene-4.120-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-4.120&CDS=1-966	YIL134W
OG0000519	snap_masked-Deha2A-processed-gene-4.121-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-4.121&CDS=1-2499	YNL071W
OG0000520	augustus_masked-Deha2A-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.79&CDS=1-1167	YJR149W
OG0000521	augustus_masked-Deha2A-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.91&CDS=1-750	YBR261C
OG0000522	augustus_masked-Deha2A-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.80&CDS=1-528	YOL146W
OG0000523	augustus_masked-Deha2A-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.92&CDS=1-3432	YOL145C
OG0000524	augustus_masked-Deha2A-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.93&CDS=1-3288	YGL093W
OG0000525	augustus_masked-Deha2A-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-4.81&CDS=1-675	YOL147C
OG0000526	maker-Deha2A-snap-gene-5.115-mRNA-1_1&gene=maker-Deha2A-snap-gene-5.115&CDS=1-2034	YOL144W
OG0000527	augustus_masked-Deha2A-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.59&CDS=1-1443	YBL082C
OG0000528	maker-Deha2A-snap-gene-5.120-mRNA-1_1&gene=maker-Deha2A-snap-gene-5.120&CDS=1-1830	YER109C
OG0000529	augustus_masked-Deha2A-processed-gene-5.63-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.63&CDS=1-1110	YER107C
OG0000530	augustus_masked-Deha2A-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.64&CDS=1-1230	YBL074C
OG0000531	augustus_masked-Deha2A-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.92&CDS=1-1401	YJL046W
OG0000532	augustus_masked-Deha2A-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.67&CDS=1-864	YBR257W
OG0000533	augustus_masked-Deha2A-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.94&CDS=1-969	YNR003C
OG0000534	augustus_masked-Deha2A-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.71&CDS=1-3102	YPL183C
OG0000535	augustus_masked-Deha2A-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.95&CDS=1-3246	YBL076C
OG0000536	maker-Deha2A-augustus-gene-5.111-mRNA-1_1&gene=maker-Deha2A-augustus-gene-5.111&CDS=1-6372	YCR042C
OG0000537	augustus_masked-Deha2A-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.73&CDS=1-2439	YML097C
OG0000538	augustus_masked-Deha2A-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.74&CDS=1-1518	YDR168W
