	Nakaseomyces_nivariensis	Saccharomyces_cerevisiae
OG0000290	snap_masked-CANI0S09-processed-gene-1.70-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-1.70&CDS=1-633	YBR005W, YDR003W
OG0000291	snap_masked-CANI0S09-processed-gene-1.89-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-1.89&CDS=1-414	YHL001W, YKL006W
OG0000292	snap_masked-CANI0S09-processed-gene-2.6-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-2.6&CDS=1-2718	YBR294W, YLR092W
OG0000293	augustus_masked-CANI0S19-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-4.28&CDS=1-1635, snap_masked-CANI0S09-processed-gene-2.30-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-2.30&CDS=1-1491	YFR037C
OG0000294	augustus_masked-CANI0S09-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-2.92&CDS=1-1287	YER059W, YIL050W
OG0000295	snap_masked-CANI0S09-processed-gene-2.20-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-2.20&CDS=1-351	YER056C-A, YIL052C
OG0000296	maker-CANI0S09-snap-gene-2.57-mRNA-1_1&gene=maker-CANI0S09-snap-gene-2.57&CDS=1-1587	YLR432W, YML056C
OG0000297	maker-CANI0S09-snap-gene-2.59-mRNA-1_1&gene=maker-CANI0S09-snap-gene-2.59&CDS=1-300	YMR194W, YPL249C-A
OG0000298	augustus_masked-CANI0S09-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-4.116&CDS=1-1200, augustus_masked-CANI0S20-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-3.68&CDS=1-2088	YDR263C
OG0000299	augustus_masked-CANI0S09-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-4.124&CDS=1-999, snap_masked-CANI0S09-processed-gene-7.121-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.121&CDS=1-999	YBR046C
OG0000300	maker-CANI0S09-snap-gene-4.46-mRNA-1_1&gene=maker-CANI0S09-snap-gene-4.46&CDS=1-552	YJL177W, YKL180W
OG0000301	snap_masked-CANI0S09-processed-gene-5.127-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.127&CDS=1-498	YGL089C, YPL187W
OG0000302	maker-CANI0S09-augustus-gene-5.146-mRNA-1_1&gene=maker-CANI0S09-augustus-gene-5.146&CDS=1-2280	YBR214W, YGL056C
OG0000303	augustus_masked-CANI0S09-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-5.92&CDS=1-408	YDR471W, YHR010W
OG0000304	snap_masked-CANI0S09-processed-gene-5.124-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.124&CDS=1-1389, snap_masked-CANI0S15-processed-gene-3.85-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-3.85&CDS=1-1620	YOR306C
OG0000305	augustus_masked-CANI0S20-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-4.72&CDS=1-1866, snap_masked-CANI0S09-processed-gene-6.105-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.105&CDS=1-1227	YDR463W
OG0000306	snap_masked-CANI0S09-processed-gene-6.91-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.91&CDS=1-522	YGR085C, YPR102C
OG0000307	snap_masked-CANI0S09-processed-gene-6.112-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.112&CDS=1-1755, snap_masked-CANI0S16-processed-gene-0.16-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-0.16&CDS=1-1725	YKR072C
OG0000308	snap_masked-CANI0S09-processed-gene-7.87-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.87&CDS=1-3639, snap_masked-CANI0S17-processed-gene-4.126-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-4.126&CDS=1-3828	YKR096W
OG0000309	snap_masked-CANI0S09-processed-gene-8.127-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.127&CDS=1-2214, snap_masked-CANI0S19-processed-gene-2.53-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-2.53&CDS=1-1938	YAR035W
OG0000310	maker-CANI0S19-snap-gene-2.160-mRNA-1_1&gene=maker-CANI0S19-snap-gene-2.160&CDS=1-3639, snap_masked-CANI0S09-processed-gene-8.128-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.128&CDS=1-3540	YAR042W
OG0000311	snap_masked-CANI0S09-processed-gene-8.138-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.138&CDS=1-1512, snap_masked-CANI0S19-processed-gene-2.44-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-2.44&CDS=1-1542	YOL068C
OG0000312	augustus_masked-CANI0S18-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-CANI0S18-processed-gene-7.126&CDS=1-1278, snap_masked-CANI0S15-processed-gene-0.103-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.103&CDS=1-1326	YFL048C
OG0000313	augustus_masked-CANI0S15-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-0.23&CDS=1-2097, snap_masked-CANI0S18-processed-gene-7.208-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-7.208&CDS=1-2115	YFL042C
OG0000314	snap_masked-CANI0S15-processed-gene-1.87-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-1.87&CDS=1-1446, snap_masked-CANI0S28-processed-gene-6.17-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-6.17&CDS=1-1416	YFR006W
OG0000315	augustus_masked-CANI0S28-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-CANI0S28-processed-gene-5.29&CDS=1-6249, maker-CANI0S15-augustus-gene-1.122-mRNA-1_1&gene=maker-CANI0S15-augustus-gene-1.122&CDS=1-10065	YFL007W
OG0000316	snap_masked-CANI0S15-processed-gene-1.116-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-1.116&CDS=1-1533, snap_masked-CANI0S20-processed-gene-5.120-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-5.120&CDS=1-1500	YJR049C
OG0000317	snap_masked-CANI0S15-processed-gene-3.12-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-3.12&CDS=1-1332	YDR312W, YHR066W
OG0000318	snap_masked-CANI0S15-processed-gene-3.65-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-3.65&CDS=1-1506	YMR169C, YMR170C
OG0000319	augustus_masked-CANI0S15-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-3.118&CDS=1-4875	YDL109C, YGL144C
OG0000320	augustus_masked-CANI0S15-processed-gene-3.181-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-3.181&CDS=1-2364	YBL009W, YGL021W
OG0000321	snap_masked-CANI0S16-processed-gene-0.11-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-0.11&CDS=1-1299	YDR277C, YOR047C
OG0000322	snap_masked-CANI0S16-processed-gene-1.9-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-1.9&CDS=1-1692	YLR433C, YML057W
OG0000323	snap_masked-CANI0S16-processed-gene-2.0-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-2.0&CDS=1-4722, snap_masked-CANI0S20-processed-gene-5.94-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-5.94&CDS=1-4680	YER166W
OG0000324	maker-CANI0S16-snap-gene-2.39-mRNA-1_1&gene=maker-CANI0S16-snap-gene-2.39&CDS=1-1908, snap_masked-CANI0S19-processed-gene-1.122-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-1.122&CDS=1-2058	YOL148C
OG0000325	snap_masked-CANI0S16-processed-gene-2.33-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-2.33&CDS=1-2409, snap_masked-CANI0S19-processed-gene-1.123-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-1.123&CDS=1-2409	YOL145C
OG0000326	augustus_masked-CANI0S16-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-CANI0S16-processed-gene-2.59&CDS=1-1608, snap_masked-CANI0S19-processed-gene-1.103-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-1.103&CDS=1-1605	YOL144W
OG0000327	snap_masked-CANI0S16-processed-gene-3.7-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-3.7&CDS=1-2727	YCR106W, YLL054C
OG0000328	snap_masked-CANI0S16-processed-gene-4.50-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-4.50&CDS=1-480, snap_masked-CANI0S17-processed-gene-6.123-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-6.123&CDS=1-597	YNL079C
OG0000329	augustus_masked-CANI0S16-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-CANI0S16-processed-gene-4.109&CDS=1-774	YHR203C, YJR145C
OG0000330	snap_masked-CANI0S17-processed-gene-0.87-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-0.87&CDS=1-4248, snap_masked-CANI0S17-processed-gene-4.122-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-4.122&CDS=1-4302	YLR256W
OG0000331	snap_masked-CANI0S17-processed-gene-2.103-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-2.103&CDS=1-2436, snap_masked-CANI0S20-processed-gene-3.40-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-3.40&CDS=1-1557	YMR136W
OG0000332	snap_masked-CANI0S17-processed-gene-2.133-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-2.133&CDS=1-597	YDL082W, YMR142C
OG0000333	snap_masked-CANI0S17-processed-gene-2.123-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-2.123&CDS=1-1224	YGR010W, YLR328W
OG0000334	snap_masked-CANI0S17-processed-gene-2.125-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-2.125&CDS=1-1746, snap_masked-CANI0S28-processed-gene-3.31-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-3.31&CDS=1-1752	YGR055W
OG0000335	snap_masked-CANI0S17-processed-gene-3.91-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-3.91&CDS=1-2904, snap_masked-CANI0S18-processed-gene-6.121-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-6.121&CDS=1-3270	YOL100W
OG0000336	snap_masked-CANI0S17-processed-gene-5.11-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-5.11&CDS=1-1338	YML085C, YML124C
OG0000337	snap_masked-CANI0S17-processed-gene-7.113-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-7.113&CDS=1-585	YBR189W, YPL081W
OG0000338	augustus_masked-CANI0S17-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-CANI0S17-processed-gene-9.130&CDS=1-405	YDR447C, YML024W
OG0000339	snap_masked-CANI0S18-processed-gene-0.6-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-0.6&CDS=1-1458, snap_masked-CANI0S25-processed-gene-4.77-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-4.77&CDS=1-1458	YGL253W
OG0000340	snap_masked-CANI0S18-processed-gene-0.30-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-0.30&CDS=1-594	YBL072C, YER102W
OG0000341	snap_masked-CANI0S18-processed-gene-0.14-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-0.14&CDS=1-1374, snap_masked-CANI0S19-processed-gene-6.38-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-6.38&CDS=1-1371	YBL056W
OG0000342	augustus_masked-CANI0S19-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-6.74&CDS=1-1770, snap_masked-CANI0S18-processed-gene-0.15-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-0.15&CDS=1-1647	YBL054W
OG0000343	snap_masked-CANI0S18-processed-gene-2.90-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-2.90&CDS=1-2076, snap_masked-CANI0S28-processed-gene-4.2-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-4.2&CDS=1-2211	YLR413W
OG0000344	snap_masked-CANI0S18-processed-gene-2.98-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-2.98&CDS=1-654	YGR136W, YPR154W
OG0000345	snap_masked-CANI0S18-processed-gene-3.18-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-3.18&CDS=1-1611, snap_masked-CANI0S28-processed-gene-4.20-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-4.20&CDS=1-1626	YLR403W
OG0000346	snap_masked-CANI0S18-processed-gene-4.21-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-4.21&CDS=1-2760	YJL083W, YKR019C
OG0000347	snap_masked-CANI0S18-processed-gene-6.122-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-6.122&CDS=1-1740	YDR497C, YOL103W
OG0000348	snap_masked-CANI0S18-processed-gene-6.115-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-6.115&CDS=1-2463	YDR409W, YOR156C
OG0000349	augustus_masked-CANI0S18-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-CANI0S18-processed-gene-7.91&CDS=1-2412	YOR162C, YOR172W
OG0000350	snap_masked-CANI0S18-processed-gene-7.183-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-7.183&CDS=1-435	YGR118W, YPR132W
OG0000351	snap_masked-CANI0S18-processed-gene-7.194-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-7.194&CDS=1-1350, snap_masked-CANI0S25-processed-gene-1.133-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-1.133&CDS=1-1296	YOL016C
OG0000352	genemark-CANI0S18-processed-gene-7.37-mRNA-1_1&gene=genemark-CANI0S18-processed-gene-7.37&CDS=1-5511	YFL024C, YFL025C
OG0000353	snap_masked-CANI0S19-processed-gene-0.33-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-0.33&CDS=1-2082, snap_masked-CANI0S25-processed-gene-1.139-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-1.139&CDS=1-1962	YPL106C
OG0000354	augustus_masked-CANI0S19-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-1.36&CDS=1-2064	YDR107C, YLR083C
OG0000355	snap_masked-CANI0S19-processed-gene-1.118-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-1.118&CDS=1-1938, snap_masked-CANI0S22-processed-gene-2.29-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-2.29&CDS=1-2037	YHR149C
OG0000356	snap_masked-CANI0S19-processed-gene-2.26-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-2.26&CDS=1-753	YGR214W, YLR048W
OG0000357	augustus_masked-CANI0S19-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-2.83&CDS=1-4005, snap_masked-CANI0S25-processed-gene-3.9-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-3.9&CDS=1-2832	YBR084W
OG0000358	snap_masked-CANI0S19-processed-gene-2.24-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-2.24&CDS=1-951	YDL021W, YOL056W
OG0000359	augustus_masked-CANI0S19-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-3.67&CDS=1-357	YER131W, YGL189C
OG0000360	snap_masked-CANI0S19-processed-gene-4.109-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-4.109&CDS=1-762	YFR031C-A, YIL018W
OG0000361	maker-CANI0S20-snap-gene-1.95-mRNA-1_1&gene=maker-CANI0S20-snap-gene-1.95&CDS=1-2868, snap_masked-CANI0S19-processed-gene-5.13-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-5.13&CDS=1-2439	YDL126C
OG0000362	snap_masked-CANI0S19-processed-gene-5.15-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-5.15&CDS=1-1083	YDL134C, YDL188C
OG0000363	augustus_masked-CANI0S19-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-5.84&CDS=1-2163, snap_masked-CANI0S20-processed-gene-1.114-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.114&CDS=1-2610	YDL138W
OG0000364	snap_masked-CANI0S19-processed-gene-6.7-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-6.7&CDS=1-1434, snap_masked-CANI0S20-processed-gene-1.112-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.112&CDS=1-1266	YLR210W
OG0000365	snap_masked-CANI0S19-processed-gene-7.25-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-7.25&CDS=1-675	YBR014C, YDL010W
OG0000366	snap_masked-CANI0S19-processed-gene-7.30-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-7.30&CDS=1-1188	YJL138C, YKR059W
OG0000367	snap_masked-CANI0S19-processed-gene-7.15-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-7.15&CDS=1-3783, snap_masked-CANI0S22-processed-gene-2.17-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-2.17&CDS=1-3942	YNL257C
OG0000368	augustus_masked-CANI0S19-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-8.40&CDS=1-315	YMR230W, YOR293W
OG0000369	snap_masked-CANI0S19-processed-gene-8.102-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.102&CDS=1-525	YMR242C, YOR312C
OG0000370	maker-CANI0S19-snap-gene-9.163-mRNA-1_1&gene=maker-CANI0S19-snap-gene-9.163&CDS=1-2343, snap_masked-CANI0S22-processed-gene-4.14-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-4.14&CDS=1-1938	YCR084C
OG0000371	augustus_masked-CANI0S28-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-CANI0S28-processed-gene-2.79&CDS=1-1920, snap_masked-CANI0S20-processed-gene-0.84-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.84&CDS=1-1722	YNL225C
OG0000372	snap_masked-CANI0S20-processed-gene-0.81-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.81&CDS=1-318	YHR141C, YNL162W
OG0000373	snap_masked-CANI0S20-processed-gene-1.104-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.104&CDS=1-2067	YHR131C, YNL144C
OG0000374	snap_masked-CANI0S20-processed-gene-1.116-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.116&CDS=1-543	YDL137W, YDL192W
OG0000375	genemark-CANI0S20-processed-gene-1.19-mRNA-1_1&gene=genemark-CANI0S20-processed-gene-1.19&CDS=1-372	YDL136W, YDL191W
OG0000376	snap_masked-CANI0S20-processed-gene-2.119-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.119&CDS=1-600	YIL133C, YNL069C
OG0000377	snap_masked-CANI0S20-processed-gene-3.11-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-3.11&CDS=1-642	YLR293C, YOR185C
OG0000378	snap_masked-CANI0S20-processed-gene-3.36-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-3.36&CDS=1-420	YDL083C, YMR143W
OG0000379	augustus_masked-CANI0S20-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-3.88&CDS=1-867	YDR272W, YOR040W
OG0000380	snap_masked-CANI0S20-processed-gene-4.123-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-4.123&CDS=1-984, snap_masked-CANI0S20-processed-gene-6.137-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-6.137&CDS=1-957	YDR051C
OG0000381	snap_masked-CANI0S20-processed-gene-5.114-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-5.114&CDS=1-726	YDR098C, YER174C
OG0000382	snap_masked-CANI0S20-processed-gene-5.103-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-5.103&CDS=1-327	YEL039C, YJR048W
OG0000383	snap_masked-CANI0S20-processed-gene-6.128-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-6.128&CDS=1-3141, snap_masked-CANI0S20-processed-gene-7.255-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-7.255&CDS=1-3237	YJR091C
OG0000384	augustus_masked-CANI0S20-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-6.12&CDS=1-288	YJR094W-A, YPR043W
OG0000385	snap_masked-CANI0S20-processed-gene-6.131-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-6.131&CDS=1-279	YBR089C-A, YPR052C
OG0000386	snap_masked-CANI0S20-processed-gene-6.119-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-6.119&CDS=1-1311	YBR078W, YDR055W
OG0000387	snap_masked-CANI0S20-processed-gene-6.140-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-6.140&CDS=1-2442, snap_masked-CANI0S25-processed-gene-3.23-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-3.23&CDS=1-2274	YBR080C
OG0000388	snap_masked-CANI0S20-processed-gene-7.277-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-7.277&CDS=1-1722	YGR124W, YPR145W
OG0000389	augustus_masked-CANI0S20-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-7.90&CDS=1-864, augustus_masked-CANI0S28-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-CANI0S28-processed-gene-1.95&CDS=1-1113	YMR043W
OG0000390	snap_masked-CANI0S20-processed-gene-7.240-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-7.240&CDS=1-2121	YMR186W, YPL240C
OG0000391	snap_masked-CANI0S22-processed-gene-1.139-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-1.139&CDS=1-1302, snap_masked-CANI0S25-processed-gene-2.120-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-2.120&CDS=1-1314	YPL145C
OG0000392	snap_masked-CANI0S22-processed-gene-1.141-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-1.141&CDS=1-2526	YDR385W, YOR133W
OG0000393	snap_masked-CANI0S22-processed-gene-1.154-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-1.154&CDS=1-1947, snap_masked-CANI0S28-processed-gene-2.90-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-2.90&CDS=1-1626	YGR197C
OG0000394	augustus_masked-CANI0S22-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-CANI0S22-processed-gene-3.55&CDS=1-3291, snap_masked-CANI0S22-processed-gene-3.13-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-3.13&CDS=1-1926	YNL125C
OG0000395	snap_masked-CANI0S25-processed-gene-0.38-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-0.38&CDS=1-1995, snap_masked-CANI0S28-processed-gene-4.27-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-4.27&CDS=1-2565	YIR016W
OG0000396	augustus_masked-CANI0S25-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-CANI0S25-processed-gene-1.30&CDS=1-573	YBL027W, YBR084C-A
OG0000397	snap_masked-CANI0S25-processed-gene-1.132-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-1.132&CDS=1-612	YLR029C, YMR121C
OG0000398	snap_masked-CANI0S25-processed-gene-2.138-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-2.138&CDS=1-333	YOR234C, YPL143W
OG0000399	augustus_masked-CANI0S28-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-CANI0S28-processed-gene-2.43&CDS=1-729	YGL076C, YPL198W
OG0000400	augustus_masked-CANI0S28-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-CANI0S28-processed-gene-3.82&CDS=1-1800, augustus_masked-CANI0S28-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-CANI0S28-processed-gene-3.83&CDS=1-1857	YGR065C
OG0000401	snap_masked-CANI0S28-processed-gene-3.21-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-3.21&CDS=1-1308	YMR182C, YPL230W
OG0000402	snap_masked-CANI0S28-processed-gene-4.8-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-4.8&CDS=1-339	YDL075W, YLR406C
OG0000403	snap_masked-CANI0S28-processed-gene-6.19-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-6.19&CDS=1-1044	YGL162W, YPR009W
OG0000404	snap_masked-CANI0S29-processed-gene-0.28-mRNA-1_1&gene=snap_masked-CANI0S29-processed-gene-0.28&CDS=1-1896	YGR138C, YPR156C
OG0000405	snap_masked-CANI0S02-processed-gene-0.18-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.18&CDS=1-384	YDR529C
OG0000406	snap_masked-CANI0S02-processed-gene-0.19-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.19&CDS=1-1095	YPR191W
OG0000407	snap_masked-CANI0S02-processed-gene-0.1-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.1&CDS=1-1992	YPR190C
OG0000408	snap_masked-CANI0S02-processed-gene-0.20-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.20&CDS=1-4227	YPR189W
OG0000409	snap_masked-CANI0S02-processed-gene-0.2-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.2&CDS=1-474	YPR188C
OG0000410	snap_masked-CANI0S02-processed-gene-0.21-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.21&CDS=1-474	YPR187W
OG0000411	augustus_masked-CANI0S02-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-0.47&CDS=1-1155	YPR186C
OG0000412	snap_masked-CANI0S02-processed-gene-0.22-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.22&CDS=1-2016	YPR185W
OG0000413	snap_masked-CANI0S02-processed-gene-0.23-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.23&CDS=1-4587	YPR184W
OG0000414	snap_masked-CANI0S02-processed-gene-0.24-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.24&CDS=1-795	YPR183W
OG0000415	maker-CANI0S02-snap-gene-0.43-mRNA-1_1&gene=maker-CANI0S02-snap-gene-0.43&CDS=1-243	YPR182W
OG0000416	snap_masked-CANI0S02-processed-gene-0.26-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.26&CDS=1-1002	YPR180W
OG0000417	snap_masked-CANI0S02-processed-gene-0.5-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.5&CDS=1-1929	YPR179C
OG0000418	snap_masked-CANI0S02-processed-gene-0.27-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.27&CDS=1-1383	YPR178W
OG0000419	snap_masked-CANI0S02-processed-gene-0.6-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.6&CDS=1-963	YPR176C
OG0000420	snap_masked-CANI0S02-processed-gene-0.28-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-0.28&CDS=1-2136	YPR175W
