	Candida_intermedia	Saccharomyces_cerevisiae
OG0000352	-processed-gene-14.2-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-14.2&CDS=1-4323	YBL079W, YER105C
OG0000353	-processed-gene-14.10-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-14.10&CDS=1-591	YER067W, YIL057C
OG0000354	-processed-gene-14.38-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-14.38&CDS=1-2874	YJL084C, YKR021W
OG0000355	-processed-gene-15.29-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-15.29&CDS=1-1662, -processed-gene-9.55-mRNA-1_1&gene=augustus_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-9.55&CDS=1-2982	YOL152W
OG0000356	-processed-gene-15.33-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-15.33&CDS=1-1431	YCL011C, YNL004W
OG0000357	-processed-gene-16.122-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-16.122&CDS=1-876	YBR183W, YPL087W
OG0000358	-processed-gene-16.42-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-16.42&CDS=1-351, -processed-gene-20.59-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-20.59&CDS=1-342	YKL192C
OG0000359	-augustus-gene-17.3-mRNA-1_1&gene=maker-gi|1002316280|dbj|BCGD01000003.1|-augustus-gene-17.3&CDS=1-3762	YLR028C, YMR120C
OG0000360	-processed-gene-17.41-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-17.41&CDS=1-612	YLR029C, YMR121C
OG0000361	-processed-gene-17.49-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-17.49&CDS=1-1926	YDR263C, YOR033C
OG0000362	-snap-gene-18.150-mRNA-1_1&gene=maker-gi|1002316280|dbj|BCGD01000003.1|-snap-gene-18.150&CDS=1-2691	YIL085C, YNL029C
OG0000363	-processed-gene-18.36-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-18.36&CDS=1-1200	YIL135C, YNL074C
OG0000364	-augustus-gene-7.1-mRNA-1_1&gene=maker-gi|1002316282|dbj|BCGD01000001.1|-augustus-gene-7.1&CDS=1-2295, -processed-gene-18.45-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-18.45&CDS=1-1326	YIL088C
OG0000365	-processed-gene-18.136-mRNA-1_1&gene=snap_masked-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-18.136&CDS=1-1452	YHR146W, YNL173C
OG0000366	-processed-gene-19.125-mRNA-1_1&gene=genemark-gi|1002316280|dbj|BCGD01000003.1|-processed-gene-19.125&CDS=1-1257	YBR177C, YPL095C
OG0000367	-augustus-gene-0.100-mRNA-1_1&gene=maker-gi|1002316281|dbj|BCGD01000002.1|-augustus-gene-0.100&CDS=1-2994	YFR053C, YGL253W
OG0000368	-snap-gene-1.45-mRNA-1_1&gene=maker-gi|1002316281|dbj|BCGD01000002.1|-snap-gene-1.45&CDS=1-318	YHR141C, YNL162W
OG0000369	-processed-gene-2.52-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-2.52&CDS=1-3063	YDR206W, YLR233C
OG0000370	-processed-gene-2.2-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-2.2&CDS=1-1395	YCL037C, YDR515W
OG0000371	-processed-gene-2.21-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-2.21&CDS=1-468	YGL031C, YGR148C
OG0000372	-processed-gene-2.27-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-2.27&CDS=1-2025	YDR475C, YOR019W
OG0000373	-processed-gene-16.126-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-16.126&CDS=1-1527, -processed-gene-2.11-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-2.11&CDS=1-1425	YDL238C
OG0000374	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-2.14&CDS=1-1446	YFL048C, YLR080W
OG0000375	-processed-gene-2.42-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-2.42&CDS=1-660	YGL096W, YPL177C
OG0000376	-processed-gene-3.77-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-3.77&CDS=1-1272	YDL048C, YLR375W
OG0000377	-processed-gene-3.79-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-3.79&CDS=1-4257	YGR070W, YLR371W
OG0000378	-processed-gene-4.112-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-4.112&CDS=1-4359	YCL068C, YCR038C
OG0000379	-processed-gene-20.61-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-20.61&CDS=1-2124, -snap-gene-5.5-mRNA-1_1&gene=maker-gi|1002316281|dbj|BCGD01000002.1|-snap-gene-5.5&CDS=1-4188	YGL205W
OG0000380	-processed-gene-5.26-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-5.26&CDS=1-3636	YML109W, YMR273C
OG0000381	-processed-gene-5.98-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-5.98&CDS=1-657	YML106W, YMR271C
OG0000382	-processed-gene-5.113-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-5.113&CDS=1-2277	YER066W, YFL009W
OG0000383	-processed-gene-5.102-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-5.102&CDS=1-768	YCR010C, YNR002C
OG0000384	-processed-gene-6.72-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-6.72&CDS=1-894	YLR270W, YOR173W
OG0000385	-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-6.32&CDS=1-8805	YAR042W, YDL019C
OG0000386	-processed-gene-7.8-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-7.8&CDS=1-315	YGR027C, YLR333C
OG0000387	-processed-gene-7.26-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-7.26&CDS=1-2043	YHR131C, YNL144C
OG0000388	-processed-gene-7.23-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-7.23&CDS=1-1764	YDL224C, YNL197C
OG0000389	-processed-gene-8.2-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-8.2&CDS=1-435	YGR118W, YPR132W
OG0000390	-processed-gene-8.33-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-8.33&CDS=1-1215	YDR312W, YHR066W
OG0000391	-processed-gene-8.63-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-8.63&CDS=1-246	YHR021C, YKL156W
OG0000392	-processed-gene-10.49-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-10.49&CDS=1-1752, -snap-gene-8.153-mRNA-1_1&gene=maker-gi|1002316281|dbj|BCGD01000002.1|-snap-gene-8.153&CDS=1-3291	YIL166C
OG0000393	-processed-gene-9.62-mRNA-1_1&gene=augustus_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-9.62&CDS=1-2967	YCR026C, YEL016C
OG0000394	-processed-gene-9.40-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-9.40&CDS=1-2157	YIL095W, YNL020C
OG0000395	-processed-gene-10.69-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-10.69&CDS=1-708	YBR181C, YPL090C
OG0000396	-processed-gene-10.120-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-10.120&CDS=1-2538	YBR001C, YDR001C
OG0000397	-processed-gene-10.104-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-10.104&CDS=1-1647	YER064C, YIL056W
OG0000398	-processed-gene-10.125-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-10.125&CDS=1-843	YDR272W, YOR040W
OG0000399	-processed-gene-11.34-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-11.34&CDS=1-3432	YJL105W, YKR029C
OG0000400	-processed-gene-11.119-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-11.119&CDS=1-2649	YJL082W, YKR018C
OG0000401	-processed-gene-11.37-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-11.37&CDS=1-1068	YBR031W, YDR012W
OG0000402	-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-11.67&CDS=1-7632	YLL016W, YLR310C
OG0000403	-processed-gene-11.48-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-11.48&CDS=1-1761	YLR273C, YOR178C
OG0000404	-processed-gene-12.0-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-12.0&CDS=1-201	YLR264W, YOR167C
OG0000405	-processed-gene-12.11-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-12.11&CDS=1-435	YDR450W, YML026C
OG0000406	-processed-gene-12.43-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-12.43&CDS=1-1230	YLR300W, YOR190W
OG0000407	-processed-gene-12.44-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-12.44&CDS=1-594	YDL082W, YMR142C
OG0000408	-processed-gene-12.23-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-12.23&CDS=1-426	YDL083C, YMR143W
OG0000409	-processed-gene-13.31-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-13.31&CDS=1-1758	YJR130C, YML082W
OG0000410	-processed-gene-13.18-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-13.18&CDS=1-1311	YGR141W, YPR157W
OG0000411	-processed-gene-14.42-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-14.42&CDS=1-366	YMR230W, YOR293W
OG0000412	-processed-gene-14.44-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-14.44&CDS=1-1425	YDL161W, YLR206W
OG0000413	-processed-gene-14.27-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-14.27&CDS=1-1686	YHL017W, YKL039W
OG0000414	-processed-gene-12.33-mRNA-1_1&gene=augustus_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-12.33&CDS=1-2142, -processed-gene-15.7-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-15.7&CDS=1-1776	YKR093W
OG0000415	-processed-gene-15.16-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-15.16&CDS=1-1005	YCR073W-A, YNR034W
OG0000416	-snap-gene-15.45-mRNA-1_1&gene=maker-gi|1002316281|dbj|BCGD01000002.1|-snap-gene-15.45&CDS=1-1971	YEL039C, YJR048W
OG0000417	-processed-gene-16.60-mRNA-1_1&gene=augustus_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-16.60&CDS=1-3855	YCL024W, YDR507C
OG0000418	-processed-gene-16.36-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-16.36&CDS=1-261	YDR500C, YLR185W
OG0000419	-processed-gene-16.103-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-16.103&CDS=1-1671	YDR501W, YLR183C
OG0000420	-processed-gene-16.106-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-16.106&CDS=1-2067	YDR505C, YLR177W
OG0000421	-processed-gene-17.29-mRNA-1_1&gene=snap_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-17.29&CDS=1-1281	YMR177W, YPL224C
OG0000422	-processed-gene-17.128-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-17.128&CDS=1-1650	YDR497C, YOL103W
OG0000423	-processed-gene-18.39-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-18.39&CDS=1-564	YNL096C, YOR096W
OG0000424	-processed-gene-18.26-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-18.26&CDS=1-1839	YDL229W, YNL209W
OG0000425	-processed-gene-18.49-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-18.49&CDS=1-192	YDL061C, YLR388W
OG0000426	-processed-gene-19.48-mRNA-1_1&gene=augustus_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-19.48&CDS=1-348	YFL034C-A, YLR061W
OG0000427	-processed-gene-19.56-mRNA-1_1&gene=augustus_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-19.56&CDS=1-3153	YML100W, YMR261C
OG0000428	-processed-gene-19.34-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-19.34&CDS=1-774	YDR066C, YER139C
OG0000429	-processed-gene-19.18-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-19.18&CDS=1-1170	YCL048W, YDR522C
OG0000430	-processed-gene-19.23-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-19.23&CDS=1-2307	YDR264C, YOR034C
OG0000431	-processed-gene-20.177-mRNA-1_1&gene=augustus_masked-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-20.177&CDS=1-5391	YIL149C, YKR095W
OG0000432	-processed-gene-20.15-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-20.15&CDS=1-3777	YIL151C, YKR096W
OG0000433	-processed-gene-20.19-mRNA-1_1&gene=genemark-gi|1002316281|dbj|BCGD01000002.1|-processed-gene-20.19&CDS=1-357	YDL136W, YDL191W
OG0000434	-processed-gene-0.22-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-0.22&CDS=1-1287	YDR247W, YPL026C
OG0000435	-processed-gene-1.44-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-1.44&CDS=1-552	YJL177W, YKL180W
OG0000436	-processed-gene-1.113-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-1.113&CDS=1-2256	YGR056W, YLR357W
OG0000437	-processed-gene-2.98-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-2.98&CDS=1-3777	YDR122W, YLR096W
OG0000438	-processed-gene-2.115-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-2.115&CDS=1-2328	YGL139W, YPL221W
OG0000439	-processed-gene-2.103-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-2.103&CDS=1-1083	YDL246C, YJR159W
OG0000440	-processed-gene-2.122-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-2.122&CDS=1-1440	YGR121C, YPR138C
OG0000441	-processed-gene-3.3-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-3.3&CDS=1-495	YDR418W, YEL054C
OG0000442	-processed-gene-3.33-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-3.33&CDS=1-792	YGR214W, YLR048W
OG0000443	-processed-gene-3.85-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-3.85&CDS=1-1689, -processed-gene-3.86-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-3.86&CDS=1-1800	YJL163C
OG0000444	-processed-gene-3.35-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-3.35&CDS=1-933	YGL162W, YPR009W
OG0000445	-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-3.74&CDS=1-2535	YBR172C, YPL105C
OG0000446	-processed-gene-4.46-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-4.46&CDS=1-717	YHR043C, YHR044C
OG0000447	-processed-gene-4.10-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-4.10&CDS=1-984	YKR076W, YMR251W
OG0000448	-processed-gene-4.57-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-4.57&CDS=1-2937	YKL072W, YMR053C
OG0000449	-processed-gene-4.17-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-4.17&CDS=1-2478	YIL105C, YNL047C
OG0000450	-processed-gene-4.38-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-4.38&CDS=1-405	YBL087C, YER117W
OG0000451	-processed-gene-4.39-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-4.39&CDS=1-1197	YNL283C, YOL105C
OG0000452	-processed-gene-4.68-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-4.68&CDS=1-3567	YGL133W, YPL216W
OG0000453	-processed-gene-5.53-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-5.53&CDS=1-660	YER031C, YGL210W
OG0000454	-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-5.38&CDS=1-1434	YGR177C, YOR377W
OG0000455	-processed-gene-5.64-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-5.64&CDS=1-2013	YER054C, YIL045W
OG0000456	-processed-gene-6.101-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-6.101&CDS=1-414	YER057C, YIL051C
OG0000457	-processed-gene-6.102-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-6.102&CDS=1-351	YER056C-A, YIL052C
OG0000458	-processed-gene-6.32-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-6.32&CDS=1-1935	YER059W, YIL050W
OG0000459	-processed-gene-7.48-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-7.48&CDS=1-3558	YJR127C, YML081W
OG0000460	-snap-gene-8.112-mRNA-1_1&gene=maker-gi|1002316282|dbj|BCGD01000001.1|-snap-gene-8.112&CDS=1-408	YDR471W, YHR010W
OG0000461	-processed-gene-8.32-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-8.32&CDS=1-7875	YBR140C, YOL081W
OG0000462	-processed-gene-9.103-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-9.103&CDS=1-2163	YDL138W, YDL194W
OG0000463	-processed-gene-9.105-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-9.105&CDS=1-507	YGR131W, YPR149W
OG0000464	-snap-gene-9.124-mRNA-1_1&gene=maker-gi|1002316282|dbj|BCGD01000001.1|-snap-gene-9.124&CDS=1-3936	YGR143W, YPR159W
OG0000465	-processed-gene-10.85-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-10.85&CDS=1-816	YDL127W, YDL179W
OG0000466	-processed-gene-10.9-mRNA-1_1&gene=augustus_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-10.9&CDS=1-411	YDR447C, YML024W
OG0000467	-processed-gene-10.114-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-10.114&CDS=1-945	YGR136W, YPR154W
OG0000468	-processed-gene-13.105-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-13.105&CDS=1-1215	YHL003C, YKL008C
OG0000469	-processed-gene-14.104-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-14.104&CDS=1-2712	YIL156W, YKR098C
OG0000470	-processed-gene-15.58-mRNA-1_1&gene=snap_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-15.58&CDS=1-1284	YDR300C, YHR033W
OG0000471	-processed-gene-15.27-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-15.27&CDS=1-747	YMR233W, YOR295W
OG0000472	-processed-gene-16.10-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-16.10&CDS=1-822	YDL049C, YJL174W
OG0000473	-processed-gene-17.68-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-17.68&CDS=1-456	YEL066W, YPR193C
OG0000474	-processed-gene-17.70-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-17.70&CDS=1-1500	YHR115C, YNL116W
OG0000475	-processed-gene-17.59-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-17.59&CDS=1-1413	YBL056W, YER089C
OG0000476	-processed-gene-17.90-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-17.90&CDS=1-2481	YOR256C, YPL176C
OG0000477	-processed-gene-18.20-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-18.20&CDS=1-4371	YER132C, YGL197W
OG0000478	-processed-gene-19.85-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-19.85&CDS=1-927	YDR151C, YLR136C
OG0000479	-processed-gene-19.78-mRNA-1_1&gene=augustus_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-19.78&CDS=1-1578	YBR214W, YGL056C
OG0000480	-processed-gene-20.84-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-20.84&CDS=1-339	YDL075W, YLR406C
OG0000481	-processed-gene-20.137-mRNA-1_1&gene=augustus_masked-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-20.137&CDS=1-2676	YNL095C, YOR092W
OG0000482	-processed-gene-21.125-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-21.125&CDS=1-723	YDR098C, YER174C
OG0000483	-processed-gene-22.175-mRNA-1_1&gene=genemark-gi|1002316282|dbj|BCGD01000001.1|-processed-gene-22.175&CDS=1-1929	YJL083W, YKR019C
OG0000484	-snap-gene-22.138-mRNA-1_1&gene=maker-gi|1002316282|dbj|BCGD01000001.1|-snap-gene-22.138&CDS=1-2505	YNL301C, YOL120C
OG0000485	-processed-gene-0.30-mRNA-1_1&gene=genemark-gi|1002316273|dbj|BCGD01000010.1|-processed-gene-0.30&CDS=1-885	YOL154W
OG0000486	-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.52&CDS=1-3135	YBR293W
OG0000487	-processed-gene-0.90-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.90&CDS=1-1038	YNL231C
OG0000488	-processed-gene-0.105-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.105&CDS=1-945	YNL232W
OG0000489	-processed-gene-0.106-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.106&CDS=1-3855	YNL233W
OG0000490	-processed-gene-0.107-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.107&CDS=1-1014	YNL234W
OG0000491	-processed-gene-0.92-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.92&CDS=1-747	YGL123W
OG0000492	-processed-gene-0.111-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.111&CDS=1-1599	YGL122C
OG0000493	-processed-gene-0.93-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.93&CDS=1-1578	YIL142W
OG0000494	-processed-gene-0.112-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.112&CDS=1-1668	YLL018C
OG0000495	-processed-gene-0.113-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-0.113&CDS=1-1470	YOL049W
OG0000496	-augustus-gene-1.43-mRNA-1_1&gene=maker-gi|1002316275|dbj|BCGD01000008.1|-augustus-gene-1.43&CDS=1-1719	YKR074W
OG0000497	-processed-gene-1.5-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.5&CDS=1-831	YNL284C
OG0000498	-processed-gene-1.21-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.21&CDS=1-2196	YHR072W
OG0000499	-augustus-gene-1.42-mRNA-1_1&gene=maker-gi|1002316275|dbj|BCGD01000008.1|-augustus-gene-1.42&CDS=1-4287	YGR090W
OG0000500	-processed-gene-1.8-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.8&CDS=1-999	YPR110C
OG0000501	-processed-gene-1.22-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.22&CDS=1-636	YDL018C
OG0000502	-processed-gene-1.23-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.23&CDS=1-951	YGR165W
OG0000503	-processed-gene-1.9-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.9&CDS=1-1701	YDL017W
OG0000504	-processed-gene-1.69-mRNA-1_1&gene=snap_masked-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.69&CDS=1-240	YDR525W-A
OG0000505	-processed-gene-1.13-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.13&CDS=1-312	YHR087W
OG0000506	-processed-gene-1.28-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.28&CDS=1-1959	YOR356W
OG0000507	-processed-gene-1.31-mRNA-1_1&gene=genemark-gi|1002316275|dbj|BCGD01000008.1|-processed-gene-1.31&CDS=1-2421	YAL041W
