	Hanseniaspora_vinae	Saccharomyces_cerevisiae
OG0000838	augustus_masked-JFAV02000107.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-JFAV02000107.1-processed-gene-0.39&CDS=1-3030	YAL035W
OG0000839	augustus_masked-JFAV02000107.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000107.1-processed-gene-0.27&CDS=1-1104	YAL036C
OG0000840	augustus_masked-JFAV02000107.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-JFAV02000107.1-processed-gene-0.40&CDS=1-924	YOR342C
OG0000841	augustus_masked-JFAV02000107.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-JFAV02000107.1-processed-gene-0.41&CDS=1-2016	YOR344C
OG0000842	augustus_masked-JFAV02000107.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000107.1-processed-gene-0.28&CDS=1-3039	YOR346W
OG0000843	augustus_masked-JFAV02000107.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-JFAV02000107.1-processed-gene-0.42&CDS=1-1512	YAL038W
OG0000844	augustus_masked-JFAV02000107.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-JFAV02000107.1-processed-gene-0.30&CDS=1-1878	YJR052W
OG0000845	snap_masked-JFAV02000107.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-JFAV02000107.1-processed-gene-0.21&CDS=1-1839	YML046W
OG0000846	snap_masked-JFAV02000107.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-JFAV02000107.1-processed-gene-0.9&CDS=1-2157	YJR053W
OG0000847	augustus_masked-JFAV02000108.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.21&CDS=1-609	YDR013W
OG0000848	augustus_masked-JFAV02000108.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.22&CDS=1-1047	YBR034C
OG0000849	augustus_masked-JFAV02000108.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.23&CDS=1-1653	YBR030W
OG0000850	augustus_masked-JFAV02000108.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.24&CDS=1-1326	YBL045C
OG0000851	augustus_masked-JFAV02000108.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.32&CDS=1-1143	YBL046W
OG0000852	augustus_masked-JFAV02000108.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.25&CDS=1-846	YJR113C
OG0000853	augustus_masked-JFAV02000108.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.26&CDS=1-3879	YBL047C
OG0000854	augustus_masked-JFAV02000108.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.33&CDS=1-672	YJR112W
OG0000855	augustus_masked-JFAV02000108.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.27&CDS=1-780	YJR111C
OG0000856	augustus_masked-JFAV02000108.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.34&CDS=1-2088	YJR110W
OG0000857	augustus_masked-JFAV02000108.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.35&CDS=1-882	YJR096W
OG0000858	augustus_masked-JFAV02000109.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.76&CDS=1-1083	YKL060C
OG0000859	snap_masked-JFAV02000109.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-JFAV02000109.1-processed-gene-0.3&CDS=1-1230	YMR026C
OG0000860	augustus_masked-JFAV02000109.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.92&CDS=1-1152	YMR024W
OG0000861	augustus_masked-JFAV02000109.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.78&CDS=1-1488	YMR023C
OG0000862	snap_masked-JFAV02000109.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-JFAV02000109.1-processed-gene-0.5&CDS=1-1302	YKL047W
OG0000863	augustus_masked-JFAV02000109.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.94&CDS=1-504	YMR022W
OG0000864	genemark-JFAV02000109.1-processed-gene-0.43-mRNA-1_1&gene=genemark-JFAV02000109.1-processed-gene-0.43&CDS=1-1623	YMR021C
OG0000865	maker-JFAV02000109.1-augustus-gene-0.74-mRNA-1_1&gene=maker-JFAV02000109.1-augustus-gene-0.74&CDS=1-3015	YMR020W
OG0000866	augustus_masked-JFAV02000109.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.96&CDS=1-552	YLR370C
OG0000867	maker-JFAV02000109.1-augustus-gene-0.73-mRNA-1_1&gene=maker-JFAV02000109.1-augustus-gene-0.73&CDS=1-4623	YLR371W
OG0000868	augustus_masked-JFAV02000109.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.82&CDS=1-978	YLR372W
OG0000869	augustus_masked-JFAV02000109.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.97&CDS=1-1509	YKL045W
OG0000870	augustus_masked-JFAV02000109.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.99&CDS=1-351	YHL015W
OG0000871	augustus_masked-JFAV02000109.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.84&CDS=1-1575	YKL039W
OG0000872	augustus_masked-JFAV02000109.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.85&CDS=1-780	YKL040C
OG0000873	augustus_masked-JFAV02000109.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.100&CDS=1-333	YHL018W
OG0000874	augustus_masked-JFAV02000109.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.86&CDS=1-1689	YHL019C
OG0000875	snap_masked-JFAV02000109.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-JFAV02000109.1-processed-gene-0.12&CDS=1-990	YJL006C
OG0000876	augustus_masked-JFAV02000109.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.89&CDS=1-1695	YHL020C
OG0000877	augustus_masked-JFAV02000109.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.103&CDS=1-726	YKL041W
OG0000878	snap_masked-JFAV02000109.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-JFAV02000109.1-processed-gene-0.14&CDS=1-3819	YMR012W
OG0000879	augustus_masked-JFAV02000109.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.104&CDS=1-1608	YMR013C
OG0000880	augustus_masked-JFAV02000109.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.91&CDS=1-1485	YMR014W
OG0000881	augustus_masked-JFAV02000109.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.105&CDS=1-1605	YMR015C
OG0000882	augustus_masked-JFAV02000109.1-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.107&CDS=1-3021	YKL043W
OG0000883	augustus_masked-JFAV02000111.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.77&CDS=1-846	YJL174W
OG0000884	augustus_masked-JFAV02000111.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.95&CDS=1-990	YDL051W
OG0000885	augustus_masked-JFAV02000111.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.96&CDS=1-972	YDL052C
OG0000886	augustus_masked-JFAV02000111.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.80&CDS=1-1515	YDL054C
OG0000887	augustus_masked-JFAV02000111.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.81&CDS=1-4212	YLR378C
OG0000888	augustus_masked-JFAV02000111.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.98&CDS=1-1359	YLR380W
OG0000889	augustus_masked-JFAV02000111.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.82&CDS=1-1983	YDL057W
OG0000890	augustus_masked-JFAV02000111.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.83&CDS=1-3099	YDL056W
OG0000891	augustus_masked-JFAV02000111.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.84&CDS=1-1083	YDL055C
OG0000892	augustus_masked-JFAV02000111.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.85&CDS=1-3438	YLR383W
OG0000893	augustus_masked-JFAV02000111.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.99&CDS=1-6243	YDL058W
OG0000894	augustus_masked-JFAV02000111.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.86&CDS=1-705	YDL059C
OG0000895	augustus_masked-JFAV02000111.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.100&CDS=1-4041	YLR384C
OG0000896	augustus_masked-JFAV02000111.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.87&CDS=1-2940	YLR386W
OG0000897	augustus_masked-JFAV02000111.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.103&CDS=1-3627	YDL060W
OG0000898	genemark-JFAV02000111.1-processed-gene-0.29-mRNA-1_1&gene=genemark-JFAV02000111.1-processed-gene-0.29&CDS=1-2967	YLR389C
OG0000899	augustus_masked-JFAV02000111.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.88&CDS=1-285	YLR390W
OG0000900	augustus_masked-JFAV02000111.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.89&CDS=1-1875	YDL063C
OG0000901	augustus_masked-JFAV02000111.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.105&CDS=1-471	YDL064W
OG0000902	augustus_masked-JFAV02000111.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.90&CDS=1-1101	YDL065C
OG0000903	augustus_masked-JFAV02000111.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.91&CDS=1-684	YLR390W-A
OG0000904	augustus_masked-JFAV02000111.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.92&CDS=1-888	YLR393W
OG0000905	augustus_masked-JFAV02000111.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.106&CDS=1-1275	YDL066W
OG0000906	genemark-JFAV02000111.1-processed-gene-0.17-mRNA-1_1&gene=genemark-JFAV02000111.1-processed-gene-0.17&CDS=1-1635	YDL067C
OG0000907	augustus_masked-JFAV02000111.1-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.107&CDS=1-225	YLR395C
OG0000908	augustus_masked-JFAV02000111.1-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.108&CDS=1-2217	YLR396C
OG0000909	augustus_masked-JFAV02000111.1-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.109&CDS=1-2292	YLR397C
OG0000910	augustus_masked-JFAV02000111.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-JFAV02000111.1-processed-gene-0.110&CDS=1-3882	YLR398C
OG0000911	augustus_masked-JFAV02000112.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000112.1-processed-gene-0.8&CDS=1-1665	YHR194W
OG0000912	augustus_masked-JFAV02000112.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-JFAV02000112.1-processed-gene-0.10&CDS=1-3153	YJR132W
OG0000913	augustus_masked-JFAV02000112.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-JFAV02000112.1-processed-gene-0.11&CDS=1-1596	YHR196W
OG0000914	augustus_masked-JFAV02000112.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000112.1-processed-gene-0.12&CDS=1-621	YJR133W
OG0000915	augustus_masked-JFAV02000112.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000112.1-processed-gene-0.14&CDS=1-2223	YJR134C
OG0000916	augustus_masked-JFAV02000112.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-JFAV02000112.1-processed-gene-0.13&CDS=1-303	YLL014W
OG0000917	augustus_masked-JFAV02000112.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000112.1-processed-gene-0.15&CDS=1-2826	YLL013C
OG0000918	augustus_masked-JFAV02000113.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.71&CDS=1-669	YHR089C
OG0000919	augustus_masked-JFAV02000113.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.83&CDS=1-909	YDR336W
OG0000920	augustus_masked-JFAV02000113.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.84&CDS=1-3876	YDR335W
OG0000921	augustus_masked-JFAV02000113.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.85&CDS=1-987	YHR088W
OG0000922	snap_masked-JFAV02000113.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-JFAV02000113.1-processed-gene-0.4&CDS=1-1089	YLR007W
OG0000923	augustus_masked-JFAV02000113.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.86&CDS=1-540	YLR008C
OG0000924	augustus_masked-JFAV02000113.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.73&CDS=1-588	YLR009W
OG0000925	augustus_masked-JFAV02000113.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.87&CDS=1-570	YIR015W
OG0000926	maker-JFAV02000113.1-augustus-gene-0.70-mRNA-1_1&gene=maker-JFAV02000113.1-augustus-gene-0.70&CDS=1-2196	YLR005W
OG0000927	augustus_masked-JFAV02000113.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.89&CDS=1-1776	YLR015W
OG0000928	maker-JFAV02000113.1-snap-gene-0.0-mRNA-1_1&gene=maker-JFAV02000113.1-snap-gene-0.0&CDS=1-3393	YLR014C
OG0000929	augustus_masked-JFAV02000113.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.90&CDS=1-687	YDR304C
OG0000930	augustus_masked-JFAV02000113.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.91&CDS=1-888	YHR058C
OG0000931	augustus_masked-JFAV02000113.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.77&CDS=1-405	YHR059W
OG0000932	augustus_masked-JFAV02000113.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.92&CDS=1-540	YDR305C
OG0000933	augustus_masked-JFAV02000113.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.93&CDS=1-1455	YDR306C
OG0000934	augustus_masked-JFAV02000113.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.95&CDS=1-549	YDR308C
OG0000935	augustus_masked-JFAV02000113.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.96&CDS=1-993	YHR062C
OG0000936	snap_masked-JFAV02000113.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-JFAV02000113.1-processed-gene-0.32&CDS=1-2961	YDR310C
OG0000937	augustus_masked-JFAV02000113.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.98&CDS=1-1176	YHR063C
OG0000938	augustus_masked-JFAV02000113.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.99&CDS=1-1701	YHR064C
OG0000939	augustus_masked-JFAV02000113.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.100&CDS=1-1518	YHR065C
OG0000940	augustus_masked-JFAV02000113.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.101&CDS=1-2970	YDR314C
OG0000941	snap_masked-JFAV02000113.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-JFAV02000113.1-processed-gene-0.13&CDS=1-960	YHR067W
OG0000942	augustus_masked-JFAV02000113.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-JFAV02000113.1-processed-gene-0.82&CDS=1-1224	YHR068W
OG0000943	augustus_masked-JFAV02000114.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-JFAV02000114.1-processed-gene-0.18&CDS=1-762	YGL033W
OG0000944	augustus_masked-JFAV02000114.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-JFAV02000114.1-processed-gene-0.23&CDS=1-783	YGR147C
OG0000945	augustus_masked-JFAV02000114.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-JFAV02000114.1-processed-gene-0.20&CDS=1-315	YGL030W
OG0000946	snap_masked-JFAV02000114.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-JFAV02000114.1-processed-gene-0.7&CDS=1-2562	YGL036W
OG0000947	augustus_masked-JFAV02000115.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.0&CDS=1-1464	YGL253W
OG0000948	maker-JFAV02000115.1-augustus-gene-0.30-mRNA-1_1&gene=maker-JFAV02000115.1-augustus-gene-0.30&CDS=1-2607	YGL252C
OG0000949	augustus_masked-JFAV02000115.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.10&CDS=1-3573	YGL251C
OG0000950	augustus_masked-JFAV02000115.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.1&CDS=1-753	YGL250W
OG0000951	augustus_masked-JFAV02000115.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.2&CDS=1-2037	YGL249W
OG0000952	augustus_masked-JFAV02000115.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.3&CDS=1-1587	YFR051C
OG0000953	augustus_masked-JFAV02000115.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.4&CDS=1-840	YFR050C
OG0000954	augustus_masked-JFAV02000115.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.5&CDS=1-1410	YGL248W
OG0000955	augustus_masked-JFAV02000115.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.11&CDS=1-405	YFR049W
OG0000956	augustus_masked-JFAV02000115.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.12&CDS=1-1284	YGL246C
OG0000957	augustus_masked-JFAV02000116.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-JFAV02000116.1-processed-gene-0.7&CDS=1-2166	YGL245W
OG0000958	augustus_masked-JFAV02000116.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-JFAV02000116.1-processed-gene-0.13&CDS=1-1893	YFR048W
OG0000959	augustus_masked-JFAV02000116.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000116.1-processed-gene-0.8&CDS=1-1755	YGL244W
OG0000960	augustus_masked-JFAV02000116.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-JFAV02000116.1-processed-gene-0.9&CDS=1-1164	YGL243W
OG0000961	augustus_masked-JFAV02000116.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000116.1-processed-gene-0.14&CDS=1-513	YGL242C
OG0000962	snap_masked-JFAV02000116.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-JFAV02000116.1-processed-gene-0.3&CDS=1-3135	YGL241W
OG0000963	augustus_masked-JFAV02000116.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-JFAV02000116.1-processed-gene-0.11&CDS=1-873	YGL240W
OG0000964	augustus_masked-JFAV02000117.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000117.1-processed-gene-0.5&CDS=1-333	YLR364W
OG0000965	augustus_masked-JFAV02000117.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000117.1-processed-gene-0.6&CDS=1-1848	YGR065C
OG0000966	augustus_masked-JFAV02000118.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.26&CDS=1-1500	YGR211W
OG0000967	augustus_masked-JFAV02000118.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.27&CDS=1-1569	YHR151C
OG0000968	augustus_masked-JFAV02000118.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.1&CDS=1-1536	YGR227W
OG0000969	augustus_masked-JFAV02000118.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.28&CDS=1-2169	YGR229C
OG0000970	augustus_masked-JFAV02000118.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.29&CDS=1-909	YGR231C
OG0000971	augustus_masked-JFAV02000118.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.2&CDS=1-798	YGR232W
OG0000972	augustus_masked-JFAV02000118.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.30&CDS=1-3468	YGR233C
OG0000973	snap_masked-JFAV02000118.1-processed-gene-0.97-mRNA-1_1&gene=snap_masked-JFAV02000118.1-processed-gene-0.97&CDS=1-3180	YGR237C
OG0000974	snap_masked-JFAV02000118.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-JFAV02000118.1-processed-gene-0.99&CDS=1-729	YGR235C
OG0000975	augustus_masked-JFAV02000118.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.36&CDS=1-1323	YGR244C
OG0000976	maker-JFAV02000118.1-augustus-gene-0.45-mRNA-1_1&gene=maker-JFAV02000118.1-augustus-gene-0.45&CDS=1-4176	YGR246C
OG0000977	augustus_masked-JFAV02000118.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.10&CDS=1-813	YGR247W
OG0000978	snap_masked-JFAV02000118.1-processed-gene-0.104-mRNA-1_1&gene=snap_masked-JFAV02000118.1-processed-gene-0.104&CDS=1-2355	YGR249W
OG0000979	snap_masked-JFAV02000118.1-processed-gene-0.131-mRNA-1_1&gene=snap_masked-JFAV02000118.1-processed-gene-0.131&CDS=1-2892	YGR250C
OG0000980	snap_masked-JFAV02000118.1-processed-gene-0.132-mRNA-1_1&gene=snap_masked-JFAV02000118.1-processed-gene-0.132&CDS=1-4740	YHR164C
OG0000981	maker-JFAV02000118.1-snap-gene-0.140-mRNA-1_1&gene=maker-JFAV02000118.1-snap-gene-0.140&CDS=1-9309	YHR165C
OG0000982	maker-JFAV02000118.1-augustus-gene-0.44-mRNA-1_1&gene=maker-JFAV02000118.1-augustus-gene-0.44&CDS=1-4299	YHR169W
OG0000983	snap_masked-JFAV02000118.1-processed-gene-0.108-mRNA-1_1&gene=snap_masked-JFAV02000118.1-processed-gene-0.108&CDS=1-3390	YHR170W
OG0000984	augustus_masked-JFAV02000118.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.16&CDS=1-1833	YGR252W
OG0000985	augustus_masked-JFAV02000118.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.41&CDS=1-777	YGR253C
OG0000986	snap_masked-JFAV02000118.1-processed-gene-0.110-mRNA-1_1&gene=snap_masked-JFAV02000118.1-processed-gene-0.110&CDS=1-2973	YHR172W
OG0000987	augustus_masked-JFAV02000118.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.19&CDS=1-531	YHR175W
OG0000988	augustus_masked-JFAV02000118.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.42&CDS=1-2565	YHR178W
OG0000989	augustus_masked-JFAV02000118.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.21&CDS=1-702	YHR181W
OG0000990	augustus_masked-JFAV02000118.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.24&CDS=1-1485	YHR183W
OG0000991	augustus_masked-JFAV02000118.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000118.1-processed-gene-0.25&CDS=1-1164	YGR257C
OG0000992	augustus_masked-JFAV02000119.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000119.1-processed-gene-0.4&CDS=1-291	YBR085C-A
OG0000993	augustus_masked-JFAV02000119.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000119.1-processed-gene-0.6&CDS=1-1071	YBL033C
OG0000994	snap_masked-JFAV02000119.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-JFAV02000119.1-processed-gene-0.1&CDS=1-1026	YBL032W
OG0000995	augustus_masked-JFAV02000120.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-JFAV02000120.1-processed-gene-0.32&CDS=1-903	YBL030C
OG0000996	snap_masked-JFAV02000120.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-JFAV02000120.1-processed-gene-0.20&CDS=1-291	YBL029C-A
OG0000997	augustus_masked-JFAV02000120.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000120.1-processed-gene-0.25&CDS=1-1794	YBL029W
OG0000998	augustus_masked-JFAV02000120.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-JFAV02000120.1-processed-gene-0.33&CDS=1-450	YBL028C
OG0000999	augustus_masked-JFAV02000120.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000120.1-processed-gene-0.27&CDS=1-939	YLR340W
