	Saccharomyces_cerevisiae	yHMPu5000034890_Ogataea_ramenticola
OG0000233	YBR001C, YDR001C	maker-NODE_17_length_294818_cov_144.65_ID_33-snap-gene-1.89-mRNA-1_1&gene=maker-NODE_17_length_294818_cov_144.65_ID_33-snap-gene-1.89&CDS=1-2673
OG0000234	YBR014C, YDL010W	augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.70&CDS=1-939
OG0000235	YBR024W, YBR037C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-3.14&CDS=1-5850
OG0000236	YBR031W, YDR012W	augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-2.159-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-2.159&CDS=1-1071
OG0000237	YBR033W, YKL038W	snap_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.206-mRNA-1_1&gene=snap_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.206&CDS=1-3273
OG0000238	YBR040W	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.68&CDS=1-903, genemark-NODE_185_length_449_cov_0.784483_ID_369-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_185_length_449_cov_0.784483_ID_369-processed-gene-0.1&CDS=1-300
OG0000239	YBR042C, YDR018C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.85&CDS=1-1158
OG0000240	YBR048W, YDR025W	augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.72&CDS=1-465
OG0000241	YBR078W, YDR055W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-5.118&CDS=1-1278
OG0000242	YBR084W	augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.75&CDS=1-2928, augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-1.16&CDS=1-1965
OG0000243	YBR104W, YPR058W	augustus_masked-NODE_30_length_122092_cov_95.1863_ID_59-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_30_length_122092_cov_95.1863_ID_59-processed-gene-0.108&CDS=1-912
OG0000244	YBR105C, YGR066C	augustus_masked-NODE_30_length_122092_cov_95.1863_ID_59-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NODE_30_length_122092_cov_95.1863_ID_59-processed-gene-0.133&CDS=1-1326
OG0000245	YBR118W, YPR080W	augustus_masked-NODE_102_length_1070_cov_226.951_ID_203-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_102_length_1070_cov_226.951_ID_203-processed-gene-0.0&CDS=1-1068
OG0000246	YBR135W	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-2.46&CDS=1-306, augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.79&CDS=1-297
OG0000247	YBR140C, YOL081W	augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-1.34&CDS=1-8730
OG0000248	YBR172C, YPL105C	snap_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.124-mRNA-1_1&gene=snap_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.124&CDS=1-2913
OG0000249	YBR175W, YMR146C	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-2.68&CDS=1-1035
OG0000250	YBR181C, YPL090C	augustus_masked-NODE_37_length_88767_cov_205.948_ID_73-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_37_length_88767_cov_205.948_ID_73-processed-gene-0.32&CDS=1-705
OG0000251	YBR189W, YPL081W	maker-NODE_40_length_46518_cov_262.413_ID_79-snap-gene-0.60-mRNA-1_1&gene=maker-NODE_40_length_46518_cov_262.413_ID_79-snap-gene-0.60&CDS=1-981
OG0000252	YBR214W, YGL056C	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.48&CDS=1-1458
OG0000253	YBR216C, YGL060W	augustus_masked-NODE_39_length_74043_cov_233.374_ID_77-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_39_length_74043_cov_233.374_ID_77-processed-gene-0.63&CDS=1-1998
OG0000254	YBR239C	augustus_masked-NODE_23_length_193568_cov_110.871_ID_45-processed-gene-0.220-mRNA-1_1&gene=augustus_masked-NODE_23_length_193568_cov_110.871_ID_45-processed-gene-0.220&CDS=1-1926, maker-NODE_16_length_354407_cov_122.497_ID_31-snap-gene-2.138-mRNA-1_1&gene=maker-NODE_16_length_354407_cov_122.497_ID_31-snap-gene-2.138&CDS=1-1227
OG0000255	YBR242W, YGL101W	genemark-NODE_23_length_193568_cov_110.871_ID_45-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_23_length_193568_cov_110.871_ID_45-processed-gene-0.22&CDS=1-681
OG0000256	YBR270C, YJL058C	augustus_masked-NODE_33_length_100635_cov_106.929_ID_65-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_33_length_100635_cov_106.929_ID_65-processed-gene-0.59&CDS=1-2079
OG0000257	YBR273C, YJL048C	snap_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-4.90-mRNA-1_1&gene=snap_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-4.90&CDS=1-2136
OG0000258	YBR294W, YLR092W	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-3.79&CDS=1-2541
OG0000259	YCL011C, YNL004W	snap_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-4.172-mRNA-1_1&gene=snap_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-4.172&CDS=1-1521
OG0000260	YCL035C, YDR513W	maker-NODE_15_length_375730_cov_128.345_ID_29-augustus-gene-0.75-mRNA-1_1&gene=maker-NODE_15_length_375730_cov_128.345_ID_29-augustus-gene-0.75&CDS=1-414
OG0000261	YCL036W, YDR514C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.95&CDS=1-1005
OG0000262	YCL040W, YDR516C	augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.76&CDS=1-1428
OG0000263	YCL048W, YDR522C	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-1.32&CDS=1-1401
OG0000264	YCL050C, YDR530C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-7.54&CDS=1-1047
OG0000265	YCL051W, YDR528W	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-7.53&CDS=1-2580
OG0000266	YCL068C, YCR038C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.73&CDS=1-5895
OG0000267	YCR026C, YEL016C	augustus_masked-NODE_37_length_88767_cov_205.948_ID_73-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_37_length_88767_cov_205.948_ID_73-processed-gene-0.17&CDS=1-2403
OG0000268	YCR031C, YJL191W	augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-1.106&CDS=1-426
OG0000269	YCR048W, YNR019W	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-1.21&CDS=1-1746
OG0000270	YCR052W, YNR023W	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-1.17&CDS=1-1644
OG0000271	YCR073C, YNR031C	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-1.41&CDS=1-4731
OG0000272	YCR073W-A, YNR034W	augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.183&CDS=1-1065
OG0000273	YCR091W, YNR047W	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-2.47&CDS=1-2832
OG0000274	YCR098C	augustus_masked-NODE_37_length_88767_cov_205.948_ID_73-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_37_length_88767_cov_205.948_ID_73-processed-gene-0.23&CDS=1-1467, augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-0.86&CDS=1-1428
OG0000275	YDL042C, YOL068C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-3.100&CDS=1-1881
OG0000276	YDL048C, YLR375W	augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-0.75&CDS=1-1686
OG0000277	YDL075W, YLR406C	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-0.84&CDS=1-345
OG0000278	YDL079C, YMR139W	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-3.64&CDS=1-1293
OG0000279	YDL082W, YMR142C	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-1.15&CDS=1-591
OG0000280	YDL083C, YMR143W	maker-NODE_5_length_615619_cov_117.552_ID_9-augustus-gene-1.2-mRNA-1_1&gene=maker-NODE_5_length_615619_cov_117.552_ID_9-augustus-gene-1.2&CDS=1-426
OG0000281	YDL088C, YMR153W	snap_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.27&CDS=1-1299
OG0000282	YDL109C, YGL144C	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-1.46&CDS=1-2928
OG0000283	YDL124W	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-3.10&CDS=1-915, maker-NODE_11_length_468069_cov_102.835_ID_21-augustus-gene-0.46-mRNA-1_1&gene=maker-NODE_11_length_468069_cov_102.835_ID_21-augustus-gene-0.46&CDS=1-957
OG0000284	YDL131W	augustus_masked-NODE_40_length_46518_cov_262.413_ID_79-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_40_length_46518_cov_262.413_ID_79-processed-gene-0.59&CDS=1-1230, snap_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.85-mRNA-1_1&gene=snap_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.85&CDS=1-1341
OG0000285	YDL136W, YDL191W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.43&CDS=1-360
OG0000286	YDL137W, YDL192W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.44&CDS=1-543
OG0000287	YDL138W, YDL194W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.46&CDS=1-2643
OG0000288	YDL161W, YLR206W	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-3.16&CDS=1-1425
OG0000289	YDL204W, YDR233C	maker-NODE_8_length_531287_cov_107.001_ID_15-augustus-gene-2.49-mRNA-1_1&gene=maker-NODE_8_length_531287_cov_107.001_ID_15-augustus-gene-2.49&CDS=1-858
OG0000290	YDL206W	augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-1.72&CDS=1-2415, genemark-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-0.103&CDS=1-2163
OG0000291	YDL222C, YNL194C	augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.3&CDS=1-1446
OG0000292	YDL224C, YNL197C	augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-1.179&CDS=1-2145
OG0000293	YDL229W, YNL209W	genemark-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-1.34-mRNA-1_1&gene=genemark-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-1.34&CDS=1-1839
OG0000294	YDL238C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-0.65&CDS=1-1491, augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.67&CDS=1-1440
OG0000295	YDL246C, YJR159W	augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-1.48&CDS=1-1068
OG0000296	YDR027C	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.92&CDS=1-3606, augustus_masked-NODE_196_length_442_cov_0.806452_ID_391-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_196_length_442_cov_0.806452_ID_391-processed-gene-0.0&CDS=1-360
OG0000297	YDR051C	augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.127&CDS=1-921, genemark-NODE_148_length_570_cov_0.780384_ID_295-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_148_length_570_cov_0.780384_ID_295-processed-gene-0.0&CDS=1-432
OG0000298	YDR054C	augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-3.166-mRNA-1_1&gene=augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-3.166&CDS=1-654, augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.144&CDS=1-711
OG0000299	YDR066C, YER139C	augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-2.123&CDS=1-633
OG0000300	YDR069C, YER144C	augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-3.37&CDS=1-2607
OG0000301	YDR085C, YER158C	augustus_masked-NODE_35_length_96598_cov_103.353_ID_69-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_35_length_96598_cov_103.353_ID_69-processed-gene-0.118&CDS=1-3579
OG0000302	YDR090C	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.180-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.180&CDS=1-861, augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.186&CDS=1-828
OG0000303	YDR098C, YER174C	augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-1.19&CDS=1-747
OG0000304	YDR099W, YER177W	maker-NODE_4_length_655877_cov_104.434_ID_7-snap-gene-1.53-mRNA-1_1&gene=maker-NODE_4_length_655877_cov_104.434_ID_7-snap-gene-1.53&CDS=1-1170
OG0000305	YDR107C, YLR083C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.105-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.105&CDS=1-1878
OG0000306	YDR122W, YLR096W	augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-0.16&CDS=1-4338
OG0000307	YDR132C, YLR108C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-1.39&CDS=1-1320
OG0000308	YDR151C, YLR136C	snap_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.167-mRNA-1_1&gene=snap_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.167&CDS=1-1215
OG0000309	YDR182W	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-1.23&CDS=1-1650, snap_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.50&CDS=1-1353
OG0000310	YDR185C, YLR168C	augustus_masked-NODE_31_length_108823_cov_110.344_ID_61-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_31_length_108823_cov_110.344_ID_61-processed-gene-0.125&CDS=1-711
OG0000311	YDR200C, YLR238W	augustus_masked-NODE_44_length_34901_cov_98.1484_ID_87-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_44_length_34901_cov_98.1484_ID_87-processed-gene-0.35&CDS=1-2166
OG0000312	YDR206W, YLR233C	augustus_masked-NODE_21_length_225364_cov_160.608_ID_41-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NODE_21_length_225364_cov_160.608_ID_41-processed-gene-1.128&CDS=1-3366
OG0000313	YDR213W, YLR228C	augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-2.139&CDS=1-2220
OG0000314	YDR247W, YPL026C	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-3.61&CDS=1-2301
OG0000315	YDR251W, YPL032C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-7.61&CDS=1-2799
OG0000316	YDR252W, YPL037C	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.119&CDS=1-1197
OG0000317	YDR253C, YPL038W	genemark-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.34&CDS=1-1251
OG0000318	YDR259C, YOR028C	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-0.53&CDS=1-930
OG0000319	YDR263C, YOR033C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-4.101&CDS=1-2079
OG0000320	YDR264C, YOR034C	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-4.73&CDS=1-2253
OG0000321	YDR272W, YOR040W	maker-NODE_1_length_936193_cov_107.414_ID_1-augustus-gene-2.141-mRNA-1_1&gene=maker-NODE_1_length_936193_cov_107.414_ID_1-augustus-gene-2.141&CDS=1-1593
OG0000322	YDR277C, YOR047C	maker-NODE_15_length_375730_cov_128.345_ID_29-snap-gene-2.4-mRNA-1_1&gene=maker-NODE_15_length_375730_cov_128.345_ID_29-snap-gene-2.4&CDS=1-1209
OG0000323	YDR300C, YHR033W	maker-NODE_9_length_520025_cov_100.229_ID_17-augustus-gene-2.101-mRNA-1_1&gene=maker-NODE_9_length_520025_cov_100.229_ID_17-augustus-gene-2.101&CDS=1-1755
OG0000324	YDR312W, YHR066W	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-3.62&CDS=1-1305
OG0000325	YDR348C, YHR097C	maker-NODE_4_length_655877_cov_104.434_ID_7-augustus-gene-1.45-mRNA-1_1&gene=maker-NODE_4_length_655877_cov_104.434_ID_7-augustus-gene-1.45&CDS=1-1587
OG0000326	YDR351W, YHR103W	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.168-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.168&CDS=1-2208
OG0000327	YDR353W, YHR106W	maker-NODE_17_length_294818_cov_144.65_ID_33-augustus-gene-1.82-mRNA-1_1&gene=maker-NODE_17_length_294818_cov_144.65_ID_33-augustus-gene-1.82&CDS=1-1551
OG0000328	YDR358W, YHR108W	augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-1.33&CDS=1-1770
OG0000329	YDR379W, YOR127W	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.23&CDS=1-3621
OG0000330	YDR382W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-3.129&CDS=1-348, augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-0.49&CDS=1-327
OG0000331	YDR389W, YOR134W	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.47&CDS=1-2382
OG0000332	YDR409W, YOR156C	snap_masked-NODE_21_length_225364_cov_160.608_ID_41-processed-gene-1.94-mRNA-1_1&gene=snap_masked-NODE_21_length_225364_cov_160.608_ID_41-processed-gene-1.94&CDS=1-6669
OG0000333	YDR418W, YEL054C	augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.56&CDS=1-492
OG0000334	YDR447C, YML024W	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.194-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.194&CDS=1-402
OG0000335	YDR450W, YML026C	maker-NODE_14_length_419374_cov_107.414_ID_27-augustus-gene-2.44-mRNA-1_1&gene=maker-NODE_14_length_419374_cov_107.414_ID_27-augustus-gene-2.44&CDS=1-450
OG0000336	YDR451C, YML027W	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-2.68&CDS=1-1830
OG0000337	YDR453C, YML028W	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-1.38&CDS=1-594
OG0000338	YDR458C, YML034W	snap_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.99&CDS=1-2757
