	Candida_parapsilosis	Saccharomyces_cerevisiae
OG0000740	augustus_masked-Contig005569-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-6.120&CDS=1-2814	YLR115W
OG0000741	snap_masked-Contig005569-processed-gene-6.59-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.59&CDS=1-549	YHR193C
OG0000742	snap_masked-Contig005569-processed-gene-6.61-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.61&CDS=1-2538	YDL056W
OG0000743	snap_masked-Contig005569-processed-gene-6.81-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.81&CDS=1-3003	YIL125W
OG0000744	snap_masked-Contig005569-processed-gene-6.82-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.82&CDS=1-534	YKR065C
OG0000745	maker-Contig005569-augustus-gene-6.42-mRNA-1_1&gene=maker-Contig005569-augustus-gene-6.42&CDS=1-909	YNL316C
OG0000746	maker-Contig005569-snap-gene-6.49-mRNA-1_1&gene=maker-Contig005569-snap-gene-6.49&CDS=1-336	YOL133W
OG0000747	snap_masked-Contig005569-processed-gene-6.70-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.70&CDS=1-720	YOL135C
OG0000748	snap_masked-Contig005569-processed-gene-6.84-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.84&CDS=1-2256	YKL135C
OG0000749	snap_masked-Contig005569-processed-gene-6.71-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.71&CDS=1-183	YMR256C
OG0000750	augustus_masked-Contig005569-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-6.128&CDS=1-1266	YOL054W
OG0000751	maker-Contig005569-augustus-gene-6.45-mRNA-1_1&gene=maker-Contig005569-augustus-gene-6.45&CDS=1-1746	YPL196W
OG0000752	snap_masked-Contig005569-processed-gene-6.89-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.89&CDS=1-1596	YBR223C
OG0000753	snap_masked-Contig005569-processed-gene-6.73-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.73&CDS=1-2181	YIL108W
OG0000754	snap_masked-Contig005569-processed-gene-6.74-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.74&CDS=1-3153	YPL195W
OG0000755	snap_masked-Contig005569-processed-gene-6.91-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.91&CDS=1-873	YDL052C
OG0000756	snap_masked-Contig005569-processed-gene-6.92-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.92&CDS=1-1659	YNL308C
OG0000757	snap_masked-Contig005569-processed-gene-6.93-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.93&CDS=1-2853	YOR349W
OG0000758	snap_masked-Contig005569-processed-gene-6.75-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.75&CDS=1-285	YMR286W
OG0000759	snap_masked-Contig005569-processed-gene-7.107-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.107&CDS=1-1812	YHL036W
OG0000760	maker-Contig005569-snap-gene-7.51-mRNA-1_1&gene=maker-Contig005569-snap-gene-7.51&CDS=1-432	YFR033C
OG0000761	snap_masked-Contig005569-processed-gene-7.92-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.92&CDS=1-903	YLR208W
OG0000762	snap_masked-Contig005569-processed-gene-7.117-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.117&CDS=1-918	YLR209C
OG0000763	snap_masked-Contig005569-processed-gene-7.118-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.118&CDS=1-1386	YJR122W
OG0000764	snap_masked-Contig005569-processed-gene-7.120-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.120&CDS=1-402	YOL012C
OG0000765	snap_masked-Contig005569-processed-gene-7.121-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.121&CDS=1-2103	YEL062W
OG0000766	snap_masked-Contig005569-processed-gene-7.126-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.126&CDS=1-1515	YPL254W
OG0000767	snap_masked-Contig005569-processed-gene-7.103-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.103&CDS=1-3156	YMR196W
OG0000768	maker-Contig005569-snap-gene-7.48-mRNA-1_1&gene=maker-Contig005569-snap-gene-7.48&CDS=1-1164	YPL252C
OG0000769	snap_masked-Contig005569-processed-gene-7.127-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.127&CDS=1-528	YML077W
OG0000770	snap_masked-Contig005569-processed-gene-7.128-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.128&CDS=1-972	YDR044W
OG0000771	maker-Contig005569-augustus-gene-7.4-mRNA-1_1&gene=maker-Contig005569-augustus-gene-7.4&CDS=1-5109	YOR336W
OG0000772	snap_masked-Contig005569-processed-gene-7.131-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.131&CDS=1-1533	YPL214C
OG0000773	snap_masked-Contig005569-processed-gene-8.46-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.46&CDS=1-489	YAL033W
OG0000774	augustus_masked-Contig005569-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-8.3&CDS=1-2961	YGR047C
OG0000775	snap_masked-Contig005569-processed-gene-8.50-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.50&CDS=1-3843	YMR076C
OG0000776	snap_masked-Contig005569-processed-gene-8.72-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.72&CDS=1-1518	YDL207W
OG0000777	augustus_masked-Contig005569-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-8.7&CDS=1-1074	YDR237W
OG0000778	augustus_masked-Contig005569-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-8.28&CDS=1-564	YNL090W
OG0000779	snap_masked-Contig005569-processed-gene-8.76-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.76&CDS=1-3900	YNL091W
OG0000780	snap_masked-Contig005569-processed-gene-8.77-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.77&CDS=1-2028	YOR087W
OG0000781	snap_masked-Contig005569-processed-gene-8.55-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.55&CDS=1-1050	YDL144C
OG0000782	genemark-Contig005569-processed-gene-8.126-mRNA-1_1&gene=genemark-Contig005569-processed-gene-8.126&CDS=1-1968	YJL100W
OG0000783	augustus_masked-Contig005569-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-8.32&CDS=1-1161	YEL029C
OG0000784	snap_masked-Contig005569-processed-gene-8.57-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.57&CDS=1-1251	YFL031W
OG0000785	snap_masked-Contig005569-processed-gene-8.59-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.59&CDS=1-2118	YPL106C
OG0000786	maker-Contig005569-snap-gene-8.91-mRNA-1_1&gene=maker-Contig005569-snap-gene-8.91&CDS=1-2190	YMR216C
OG0000787	snap_masked-Contig005569-processed-gene-8.61-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.61&CDS=1-1020	YNR035C
OG0000788	snap_masked-Contig005569-processed-gene-8.82-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.82&CDS=1-561	YNR036C
OG0000789	augustus_masked-Contig005569-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-8.17&CDS=1-234	YHR001W-A
OG0000790	snap_masked-Contig005569-processed-gene-8.64-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.64&CDS=1-726	YBR258C
OG0000791	snap_masked-Contig005569-processed-gene-8.84-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.84&CDS=1-2124	YBR260C
OG0000792	snap_masked-Contig005569-processed-gene-8.67-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.67&CDS=1-5862	YPL082C
OG0000793	snap_masked-Contig005569-processed-gene-8.68-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.68&CDS=1-1146	YBR192W
OG0000794	snap_masked-Contig005569-processed-gene-8.69-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.69&CDS=1-681	YBR193C
OG0000795	snap_masked-Contig005569-processed-gene-8.86-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.86&CDS=1-1008	YBR187W
OG0000796	genemark-Contig005569-processed-gene-8.136-mRNA-1_1&gene=genemark-Contig005569-processed-gene-8.136&CDS=1-1134	YBR186W
OG0000797	snap_masked-Contig005569-processed-gene-8.88-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.88&CDS=1-1050	YJL167W
OG0000798	snap_masked-Contig005569-processed-gene-8.89-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.89&CDS=1-1257	YKL172W
OG0000799	augustus_masked-Contig005569-processed-gene-9.95-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-9.95&CDS=1-3018	YJL176C
OG0000800	augustus_masked-Contig005569-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-9.96&CDS=1-1719	YGL250W
OG0000801	snap_masked-Contig005569-processed-gene-9.53-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.53&CDS=1-2850	YKL173W
OG0000802	snap_masked-Contig005569-processed-gene-9.54-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.54&CDS=1-624	YJL140W
OG0000803	snap_masked-Contig005569-processed-gene-9.55-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.55&CDS=1-2295	YJL141C
OG0000804	snap_masked-Contig005569-processed-gene-9.56-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.56&CDS=1-462	YJL143W
OG0000805	maker-Contig005569-snap-gene-9.48-mRNA-1_1&gene=maker-Contig005569-snap-gene-9.48&CDS=1-1935	YKL174C
OG0000806	snap_masked-Contig005569-processed-gene-9.73-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.73&CDS=1-936	YNL229C
OG0000807	snap_masked-Contig005569-processed-gene-9.58-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.58&CDS=1-888	YLR126C
OG0000808	snap_masked-Contig005569-processed-gene-9.75-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.75&CDS=1-396	YPL170W
OG0000809	augustus_masked-Contig005569-processed-gene-9.103-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-9.103&CDS=1-906	YIL061C
OG0000810	snap_masked-Contig005569-processed-gene-9.59-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.59&CDS=1-1074	YIL063C
OG0000811	augustus_masked-Contig005569-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-9.122&CDS=1-696	YIL064W
OG0000812	snap_masked-Contig005569-processed-gene-9.60-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.60&CDS=1-1227	YBR195C
OG0000813	maker-Contig005569-snap-gene-9.49-mRNA-1_1&gene=maker-Contig005569-snap-gene-9.49&CDS=1-702	YPL078C
OG0000814	snap_masked-Contig005569-processed-gene-9.61-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.61&CDS=1-3378	YGL251C
OG0000815	snap_masked-Contig005569-processed-gene-9.81-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.81&CDS=1-915	YJR142W
OG0000816	snap_masked-Contig005569-processed-gene-9.63-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.63&CDS=1-3165	YDL215C
OG0000817	augustus_masked-Contig005569-processed-gene-9.109-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-9.109&CDS=1-1050	YBR246W
OG0000818	maker-Contig005569-augustus-gene-9.3-mRNA-1_1&gene=maker-Contig005569-augustus-gene-9.3&CDS=1-3603	YBR243C
OG0000819	genemark-Contig005569-processed-gene-9.19-mRNA-1_1&gene=genemark-Contig005569-processed-gene-9.19&CDS=1-954	YGL100W
OG0000820	snap_masked-Contig005569-processed-gene-9.84-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.84&CDS=1-1272	YGL111W
OG0000821	snap_masked-Contig005569-processed-gene-9.85-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.85&CDS=1-906	YGR096W
OG0000822	snap_masked-Contig005569-processed-gene-9.86-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.86&CDS=1-3702	YEL031W
OG0000823	augustus_masked-Contig005569-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-9.113&CDS=1-939	YGR086C
OG0000824	snap_masked-Contig005569-processed-gene-9.68-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.68&CDS=1-1131	YGR080W
OG0000825	snap_masked-Contig005569-processed-gene-9.69-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.69&CDS=1-357	YPR094W
OG0000826	augustus_masked-Contig005569-processed-gene-9.136-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-9.136&CDS=1-4029	YPR103W
OG0000827	snap_masked-Contig005569-processed-gene-9.71-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-9.71&CDS=1-4272	YAL024C
OG0000828	augustus_masked-Contig005569-processed-gene-10.123-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-10.123&CDS=1-4869	YGR094W
OG0000829	snap_masked-Contig005569-processed-gene-10.1-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.1&CDS=1-657	YGR095C
OG0000830	maker-Contig005569-snap-gene-10.113-mRNA-1_1&gene=maker-Contig005569-snap-gene-10.113&CDS=1-3729	YOR014W
OG0000831	snap_masked-Contig005569-processed-gene-10.11-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.11&CDS=1-519	YOR367W
OG0000832	snap_masked-Contig005569-processed-gene-10.12-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.12&CDS=1-954	YAL025C
OG0000833	snap_masked-Contig005569-processed-gene-10.19-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.19&CDS=1-642	YLR293C
OG0000834	snap_masked-Contig005569-processed-gene-10.37-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.37&CDS=1-465	YLR298C
OG0000835	snap_masked-Contig005569-processed-gene-10.20-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.20&CDS=1-330	YLR295C
OG0000836	augustus_masked-Contig005569-processed-gene-10.150-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-10.150&CDS=1-531	YLR281C
OG0000837	snap_masked-Contig005569-processed-gene-10.22-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.22&CDS=1-2181	YLR274W
OG0000838	maker-Contig005569-augustus-gene-10.111-mRNA-1_1&gene=maker-Contig005569-augustus-gene-10.111&CDS=1-2607	YLR277C
OG0000839	genemark-Contig005569-processed-gene-10.77-mRNA-1_1&gene=genemark-Contig005569-processed-gene-10.77&CDS=1-3882	YLR289W
OG0000840	snap_masked-Contig005569-processed-gene-10.41-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.41&CDS=1-1710	YER086W
OG0000841	snap_masked-Contig005569-processed-gene-10.26-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.26&CDS=1-4326	YJR137C
OG0000842	snap_masked-Contig005569-processed-gene-10.27-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.27&CDS=1-855	YHR200W
OG0000843	snap_masked-Contig005569-processed-gene-10.43-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.43&CDS=1-894	YMR048W
OG0000844	augustus_masked-Contig005569-processed-gene-10.143-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-10.143&CDS=1-1056	YJR141W
OG0000845	snap_masked-Contig005569-processed-gene-10.44-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.44&CDS=1-1185	YHR201C
OG0000846	snap_masked-Contig005569-processed-gene-10.45-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.45&CDS=1-2301	YJR143C
OG0000847	maker-Contig005569-augustus-gene-10.112-mRNA-1_1&gene=maker-Contig005569-augustus-gene-10.112&CDS=1-4353	YOL061W
OG0000848	augustus_masked-Contig005569-processed-gene-10.144-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-10.144&CDS=1-987	YJL117W
OG0000849	augustus_masked-Contig005569-processed-gene-10.156-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-10.156&CDS=1-1521	YBR120C
OG0000850	snap_masked-Contig005569-processed-gene-10.31-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.31&CDS=1-732	YKR043C
OG0000851	snap_masked-Contig005569-processed-gene-10.52-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-10.52&CDS=1-1005	YDR400W
OG0000852	snap_masked-Contig005569-processed-gene-11.54-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.54&CDS=1-1626	YPR144C
OG0000853	snap_masked-Contig005569-processed-gene-11.55-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.55&CDS=1-2631	YEL032W
OG0000854	snap_masked-Contig005569-processed-gene-11.56-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.56&CDS=1-1200	YPL157W
OG0000855	snap_masked-Contig005569-processed-gene-11.59-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.59&CDS=1-555	YMR059W
OG0000856	snap_masked-Contig005569-processed-gene-11.60-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.60&CDS=1-1257	YNL234W
OG0000857	augustus_masked-Contig005569-processed-gene-11.103-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-11.103&CDS=1-4716	YNL233W
OG0000858	augustus_masked-Contig005569-processed-gene-11.104-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-11.104&CDS=1-963	YNL232W
OG0000859	augustus_masked-Contig005569-processed-gene-11.120-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-11.120&CDS=1-1167	YNL231C
OG0000860	snap_masked-Contig005569-processed-gene-11.80-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.80&CDS=1-1470	YMR210W
OG0000861	snap_masked-Contig005569-processed-gene-11.62-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.62&CDS=1-1281	YPL154C
OG0000862	augustus_masked-Contig005569-processed-gene-11.123-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-11.123&CDS=1-837	YER050C
OG0000863	snap_masked-Contig005569-processed-gene-11.64-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.64&CDS=1-942	YDL047W
OG0000864	snap_masked-Contig005569-processed-gene-11.84-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.84&CDS=1-2244	YPL043W
OG0000865	augustus_masked-Contig005569-processed-gene-11.108-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-11.108&CDS=1-1161	YDR254W
OG0000866	snap_masked-Contig005569-processed-gene-11.85-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.85&CDS=1-2799	YPL045W
OG0000867	snap_masked-Contig005569-processed-gene-11.65-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.65&CDS=1-297	YPL046C
OG0000868	augustus_masked-Contig005569-processed-gene-11.110-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-11.110&CDS=1-4356	YPL030W
OG0000869	snap_masked-Contig005569-processed-gene-11.86-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.86&CDS=1-1635	YER065C
OG0000870	snap_masked-Contig005569-processed-gene-11.69-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.69&CDS=1-3960	YLR425W
OG0000871	augustus_masked-Contig005569-processed-gene-11.128-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-11.128&CDS=1-2592	YKL157W
OG0000872	maker-Contig005569-augustus-gene-11.52-mRNA-1_1&gene=maker-Contig005569-augustus-gene-11.52&CDS=1-2073	YKL024C
OG0000873	maker-Contig005569-snap-gene-11.6-mRNA-1_1&gene=maker-Contig005569-snap-gene-11.6&CDS=1-1641	YBL099W
OG0000874	snap_masked-Contig005569-processed-gene-11.71-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.71&CDS=1-804	YEL072W
OG0000875	snap_masked-Contig005569-processed-gene-11.92-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.92&CDS=1-1938	YBR204C
OG0000876	snap_masked-Contig005569-processed-gene-11.73-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.73&CDS=1-3489	YIL048W
OG0000877	snap_masked-Contig005569-processed-gene-11.94-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.94&CDS=1-1044	YPL088W
OG0000878	snap_masked-Contig005569-processed-gene-11.75-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.75&CDS=1-591	YLR221C
OG0000879	augustus_masked-Contig005569-processed-gene-11.118-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-11.118&CDS=1-1782	YPR007C
OG0000880	snap_masked-Contig005569-processed-gene-12.0-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.0&CDS=1-2823	YIL047C
OG0000881	maker-Contig005569-augustus-gene-12.87-mRNA-1_1&gene=maker-Contig005569-augustus-gene-12.87&CDS=1-6687	YBR208C
OG0000882	snap_masked-Contig005569-processed-gene-12.27-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.27&CDS=1-1215	YLR056W
OG0000883	snap_masked-Contig005569-processed-gene-12.28-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.28&CDS=1-2706	YGL083W
OG0000884	snap_masked-Contig005569-processed-gene-12.29-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.29&CDS=1-648	YPL178W
OG0000885	augustus_masked-Contig005569-processed-gene-12.94-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-12.94&CDS=1-2814	YNL287W
OG0000886	augustus_masked-Contig005569-processed-gene-12.117-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-12.117&CDS=1-900	YPR079W
OG0000887	augustus_masked-Contig005569-processed-gene-12.95-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-12.95&CDS=1-2520	YPR089W
OG0000888	snap_masked-Contig005569-processed-gene-12.31-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.31&CDS=1-342	YBR268W
OG0000889	snap_masked-Contig005569-processed-gene-12.8-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.8&CDS=1-1188	YBR025C
OG0000890	augustus_masked-Contig005569-processed-gene-12.119-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-12.119&CDS=1-1839	YLR205C
OG0000891	snap_masked-Contig005569-processed-gene-12.16-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.16&CDS=1-945	YBR176W
OG0000892	snap_masked-Contig005569-processed-gene-12.17-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.17&CDS=1-963	YML004C
OG0000893	snap_masked-Contig005569-processed-gene-12.19-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.19&CDS=1-2253	YFR009W
OG0000894	snap_masked-Contig005569-processed-gene-12.20-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.20&CDS=1-1482	YPL103C
OG0000895	snap_masked-Contig005569-processed-gene-12.35-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.35&CDS=1-315	YPL098C
OG0000896	maker-Contig005569-snap-gene-12.40-mRNA-1_1&gene=maker-Contig005569-snap-gene-12.40&CDS=1-456	YFR011C
OG0000897	maker-Contig005569-augustus-gene-12.88-mRNA-1_1&gene=maker-Contig005569-augustus-gene-12.88&CDS=1-2778	YFR010W
OG0000898	snap_masked-Contig005569-processed-gene-12.38-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.38&CDS=1-1347	YFL037W
OG0000899	genemark-Contig005569-processed-gene-12.69-mRNA-1_1&gene=genemark-Contig005569-processed-gene-12.69&CDS=1-1731	YLR026C
OG0000900	snap_masked-Contig005569-processed-gene-13.47-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.47&CDS=1-3876	YFL036W
OG0000901	snap_masked-Contig005569-processed-gene-13.48-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.48&CDS=1-963	YFL034C-B
OG0000902	augustus_masked-Contig005569-processed-gene-13.2-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-13.2&CDS=1-1938	YNL169C
OG0000903	snap_masked-Contig005569-processed-gene-13.50-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.50&CDS=1-4386	YNL172W
OG0000904	snap_masked-Contig005569-processed-gene-13.73-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.73&CDS=1-330	YDL081C
OG0000905	snap_masked-Contig005569-processed-gene-13.54-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.54&CDS=1-1638	YHR194W
OG0000906	maker-Contig005569-snap-gene-13.94-mRNA-1_1&gene=maker-Contig005569-snap-gene-13.94&CDS=1-1893	YKL194C
OG0000907	snap_masked-Contig005569-processed-gene-13.76-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.76&CDS=1-1104	YLR418C
OG0000908	snap_masked-Contig005569-processed-gene-13.59-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.59&CDS=1-600	YKL196C
OG0000909	augustus_masked-Contig005569-processed-gene-13.32-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-13.32&CDS=1-1578	YOR359W
OG0000910	snap_masked-Contig005569-processed-gene-13.60-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.60&CDS=1-2013	YBR019C
OG0000911	augustus_masked-Contig005569-processed-gene-13.15-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-13.15&CDS=1-489	YDR246W
OG0000912	augustus_masked-Contig005569-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-13.16&CDS=1-2166	YBR018C
OG0000913	genemark-Contig005569-processed-gene-13.135-mRNA-1_1&gene=genemark-Contig005569-processed-gene-13.135&CDS=1-636	YPL149W
OG0000914	snap_masked-Contig005569-processed-gene-13.81-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.81&CDS=1-747	YNL200C
OG0000915	snap_masked-Contig005569-processed-gene-13.64-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.64&CDS=1-1854	YDL225W
OG0000916	snap_masked-Contig005569-processed-gene-13.65-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.65&CDS=1-2625	YLR347C
OG0000917	augustus_masked-Contig005569-processed-gene-13.20-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-13.20&CDS=1-702	YGR036C
OG0000918	snap_masked-Contig005569-processed-gene-13.82-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.82&CDS=1-1083	YDL226C
OG0000919	snap_masked-Contig005569-processed-gene-13.83-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.83&CDS=1-870	YNL202W
OG0000920	augustus_masked-Contig005569-processed-gene-13.40-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-13.40&CDS=1-3813	YNL201C
OG0000921	snap_masked-Contig005569-processed-gene-13.66-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.66&CDS=1-354	YJL179W
