	Saccharomyces_cerevisiae	yHAB158_Kazachstania_viticola
OG0000590	YBR074W	augustus_masked-scf7180000050330-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000050330-processed-gene-0.12&CDS=1-2799
OG0000591	YBR076W	augustus_masked-scf7180000050372-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.58&CDS=1-861
OG0000592	YBR077C	augustus_masked-scf7180000050372-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.89&CDS=1-474
OG0000593	YBR079C	maker-scf7180000050372-snap-gene-0.174-mRNA-1_1&gene=maker-scf7180000050372-snap-gene-0.174&CDS=1-2967
OG0000594	YBR080C	augustus_masked-scf7180000050372-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.91&CDS=1-6123
OG0000595	YBR083W	augustus_masked-scf7180000050203-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000050203-processed-gene-0.13&CDS=1-1413
OG0000596	YBR085C-A	augustus_masked-scf7180000050372-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.95&CDS=1-252
OG0000597	YBR087W	augustus_masked-scf7180000050203-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000050203-processed-gene-0.18&CDS=1-1068
OG0000598	YBR088C	augustus_masked-scf7180000050372-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.98&CDS=1-774
OG0000599	YBR094W	augustus_masked-scf7180000050372-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.67&CDS=1-2259
OG0000600	YBR095C	augustus_masked-scf7180000050372-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.100&CDS=1-1077
OG0000601	YBR096W	augustus_masked-scf7180000050372-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.68&CDS=1-690
OG0000602	YBR097W	augustus_masked-scf7180000050372-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.69&CDS=1-4332
OG0000603	YBR098W	augustus_masked-scf7180000050372-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.70&CDS=1-2076
OG0000604	YBR101C	augustus_masked-scf7180000050372-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.101&CDS=1-873
OG0000605	YBR102C	augustus_masked-scf7180000050372-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.102&CDS=1-2400
OG0000606	YBR103W	augustus_masked-scf7180000050372-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scf7180000050372-processed-gene-0.71&CDS=1-1680
OG0000607	YBR105C	augustus_masked-scf7180000050334-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-scf7180000050334-processed-gene-0.138&CDS=1-972
OG0000608	YBR106W	augustus_masked-scf7180000050334-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-scf7180000050334-processed-gene-0.104&CDS=1-561
OG0000609	YBR107C	snap_masked-scf7180000050334-processed-gene-0.64-mRNA-1_1&gene=snap_masked-scf7180000050334-processed-gene-0.64&CDS=1-855
OG0000610	YBR108W	snap_masked-scf7180000050334-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000050334-processed-gene-0.28&CDS=1-2568
OG0000611	YBR109C	augustus_masked-scf7180000050334-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-scf7180000050334-processed-gene-0.140&CDS=1-441
OG0000612	YBR110W	genemark-scf7180000050334-processed-gene-0.201-mRNA-1_1&gene=genemark-scf7180000050334-processed-gene-0.201&CDS=1-1341
OG0000613	YBR111C	augustus_masked-scf7180000050148-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000050148-processed-gene-0.4&CDS=1-699
OG0000614	YBR111W-A	maker-scf7180000050148-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000050148-snap-gene-0.0&CDS=1-279
OG0000615	YBR112C	snap_masked-scf7180000050204-processed-gene-0.32-mRNA-1_1&gene=snap_masked-scf7180000050204-processed-gene-0.32&CDS=1-2481
OG0000616	YBR114W	augustus_masked-scf7180000050148-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000050148-processed-gene-0.2&CDS=1-2319
OG0000617	YBR115C	augustus_masked-scf7180000050148-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000050148-processed-gene-0.5&CDS=1-4155
OG0000618	YBR119W	augustus_masked-scf7180000050331-processed-gene-0.221-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.221&CDS=1-894
OG0000619	YBR120C	augustus_masked-scf7180000050331-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.186&CDS=1-471
OG0000620	YBR121C	augustus_masked-scf7180000050331-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.185&CDS=1-1977
OG0000621	YBR122C	augustus_masked-scf7180000050331-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.184&CDS=1-519
OG0000622	YBR123C	augustus_masked-scf7180000050331-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.183&CDS=1-1908
OG0000623	YBR125C	augustus_masked-scf7180000050331-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.182&CDS=1-1215
OG0000624	YBR126C	augustus_masked-scf7180000050331-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.181&CDS=1-1500
OG0000625	YBR127C	genemark-scf7180000050331-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000050331-processed-gene-0.26&CDS=1-1557
OG0000626	YBR130C	snap_masked-scf7180000050331-processed-gene-0.102-mRNA-1_1&gene=snap_masked-scf7180000050331-processed-gene-0.102&CDS=1-1143
OG0000627	YBR131W	augustus_masked-scf7180000050331-processed-gene-0.218-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.218&CDS=1-1989
OG0000628	YBR132C	augustus_masked-scf7180000050331-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.177&CDS=1-1746
OG0000629	YBR133C	augustus_masked-scf7180000050331-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.176&CDS=1-2643
OG0000630	YBR135W	augustus_masked-scf7180000050331-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.217&CDS=1-381
OG0000631	YBR136W	augustus_masked-scf7180000050331-processed-gene-0.216-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.216&CDS=1-7191
OG0000632	YBR137W	augustus_masked-scf7180000050297-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.36&CDS=1-513
OG0000633	YBR138C	snap_masked-scf7180000050297-processed-gene-0.47-mRNA-1_1&gene=snap_masked-scf7180000050297-processed-gene-0.47&CDS=1-1434
OG0000634	YBR139W	augustus_masked-scf7180000050297-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.35&CDS=1-1482
OG0000635	YBR141C	augustus_masked-scf7180000050297-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.27&CDS=1-996
OG0000636	YBR142W	augustus_masked-scf7180000050297-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.34&CDS=1-2256
OG0000637	YBR143C	augustus_masked-scf7180000050297-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.26&CDS=1-1341
OG0000638	YBR149W	augustus_masked-scf7180000050297-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.23&CDS=1-969
OG0000639	YBR151W	augustus_masked-scf7180000050297-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.24&CDS=1-966
OG0000640	YBR154C	augustus_masked-scf7180000050297-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.32&CDS=1-645
OG0000641	YBR155W	augustus_masked-scf7180000050384-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-scf7180000050384-processed-gene-0.128&CDS=1-1134
OG0000642	YBR156C	augustus_masked-scf7180000050384-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scf7180000050384-processed-gene-0.88&CDS=1-2319
OG0000643	YBR157C	augustus_masked-scf7180000050384-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scf7180000050384-processed-gene-0.87&CDS=1-672
OG0000644	YBR158W	augustus_masked-scf7180000050384-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-scf7180000050384-processed-gene-0.127&CDS=1-1623
OG0000645	YBR160W	maker-scf7180000050384-augustus-gene-0.145-mRNA-1_1&gene=maker-scf7180000050384-augustus-gene-0.145&CDS=1-1914
OG0000646	YBR162C	augustus_masked-scf7180000050384-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scf7180000050384-processed-gene-0.86&CDS=1-1380
OG0000647	YBR162W-A	augustus_masked-scf7180000050384-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-scf7180000050384-processed-gene-0.124&CDS=1-198
OG0000648	YBR163W	augustus_masked-scf7180000050384-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-scf7180000050384-processed-gene-0.123&CDS=1-1662
OG0000649	YBR165W	snap_masked-scf7180000050291-processed-gene-0.174-mRNA-1_1&gene=snap_masked-scf7180000050291-processed-gene-0.174&CDS=1-903
OG0000650	YBR166C	augustus_masked-scf7180000050291-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.141&CDS=1-1335
OG0000651	YBR167C	augustus_masked-scf7180000050291-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.142&CDS=1-420
OG0000652	YBR168W	snap_masked-scf7180000050291-processed-gene-0.175-mRNA-1_1&gene=snap_masked-scf7180000050291-processed-gene-0.175&CDS=1-1164
OG0000653	YBR171W	augustus_masked-scf7180000050291-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.108&CDS=1-672
OG0000654	YBR173C	augustus_masked-scf7180000050291-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.145&CDS=1-450
OG0000655	YBR175W	augustus_masked-scf7180000050291-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.109&CDS=1-981
OG0000656	YBR176W	augustus_masked-scf7180000050291-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.110&CDS=1-969
OG0000657	YBR177C	augustus_masked-scf7180000050291-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.147&CDS=1-1362
OG0000658	YBR179C	augustus_masked-scf7180000050291-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.148&CDS=1-2568
OG0000659	YBR182C	augustus_masked-scf7180000050291-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.150&CDS=1-1431
OG0000660	YBR185C	augustus_masked-scf7180000050291-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-scf7180000050291-processed-gene-0.151&CDS=1-828
OG0000661	YBR186W	augustus_masked-scf7180000050374-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-scf7180000050374-processed-gene-0.153&CDS=1-1563
OG0000662	YBR187W	augustus_masked-scf7180000050207-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.57&CDS=1-849
OG0000663	YBR192W	augustus_masked-scf7180000050207-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.55&CDS=1-1116
OG0000664	YBR193C	augustus_masked-scf7180000050207-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.47&CDS=1-666
OG0000665	YBR195C	augustus_masked-scf7180000050207-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.46&CDS=1-1242
OG0000666	YBR196C	augustus_masked-scf7180000050207-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.45&CDS=1-1659
OG0000667	YBR198C	augustus_masked-scf7180000050207-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.43&CDS=1-2454
OG0000668	YBR199W	augustus_masked-scf7180000050207-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.54&CDS=1-1449
OG0000669	YBR200W	augustus_masked-scf7180000050207-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.53&CDS=1-1818
OG0000670	YBR201W	genemark-scf7180000050207-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000050207-processed-gene-0.15&CDS=1-627
OG0000671	YBR202W	augustus_masked-scf7180000050207-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.52&CDS=1-2607
OG0000672	YBR203W	augustus_masked-scf7180000050207-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.51&CDS=1-2616
OG0000673	YBR204C	augustus_masked-scf7180000050207-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000050207-processed-gene-0.42&CDS=1-1086
OG0000674	YBR208C	augustus_masked-scf7180000050275-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000050275-processed-gene-0.15&CDS=1-5475
OG0000675	YBR211C	augustus_masked-scf7180000049352-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000049352-processed-gene-0.16&CDS=1-885
OG0000676	YBR214W	snap_masked-scf7180000049352-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000049352-processed-gene-0.8&CDS=1-1428
OG0000677	YBR215W	snap_masked-scf7180000049352-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000049352-processed-gene-0.7&CDS=1-1581
OG0000678	YBR216C	snap_masked-scf7180000049352-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000049352-processed-gene-0.4&CDS=1-2022
OG0000679	YBR217W	augustus_masked-scf7180000049352-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049352-processed-gene-0.18&CDS=1-561
OG0000680	YBR220C	augustus_masked-scf7180000049352-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000049352-processed-gene-0.14&CDS=1-1737
OG0000681	YBR222C	maker-scf7180000049352-snap-gene-0.22-mRNA-1_1&gene=maker-scf7180000049352-snap-gene-0.22&CDS=1-2727
OG0000682	YBR223C	augustus_masked-scf7180000049352-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000049352-processed-gene-0.12&CDS=1-1674
OG0000683	YBR227C	augustus_masked-scf7180000050196-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.74&CDS=1-1521
OG0000684	YBR228W	augustus_masked-scf7180000050196-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.52&CDS=1-903
OG0000685	YBR229C	augustus_masked-scf7180000050196-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.75&CDS=1-2901
OG0000686	YBR230C	snap_masked-scf7180000050196-processed-gene-0.125-mRNA-1_1&gene=snap_masked-scf7180000050196-processed-gene-0.125&CDS=1-450
OG0000687	YBR231C	augustus_masked-scf7180000050368-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000050368-processed-gene-0.59&CDS=1-858
OG0000688	YBR233W	augustus_masked-scf7180000050143-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.63&CDS=1-1332
OG0000689	YBR233W-A	augustus_masked-scf7180000050143-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.65&CDS=1-270
OG0000690	YBR234C	augustus_masked-scf7180000050143-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.87&CDS=1-1161
OG0000691	YBR235W	augustus_masked-scf7180000050196-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.53&CDS=1-4749
OG0000692	YBR236C	augustus_masked-scf7180000050196-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.77&CDS=1-1248
OG0000693	YBR237W	genemark-scf7180000050196-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000050196-processed-gene-0.4&CDS=1-2553
OG0000694	YBR238C	augustus_masked-scf7180000050196-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.78&CDS=1-2394
OG0000695	YBR239C	augustus_masked-scf7180000050196-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.79&CDS=1-1671
OG0000696	YBR240C	augustus_masked-scf7180000050196-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.80&CDS=1-1302
OG0000697	YBR241C	augustus_masked-scf7180000050196-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.81&CDS=1-1452
OG0000698	YBR242W	augustus_masked-scf7180000050196-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.57&CDS=1-666
OG0000699	YBR243C	augustus_masked-scf7180000050196-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.82&CDS=1-1176
OG0000700	YBR246W	augustus_masked-scf7180000050196-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.59&CDS=1-1158
OG0000701	YBR247C	augustus_masked-scf7180000050196-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.84&CDS=1-1425
OG0000702	YBR248C	augustus_masked-scf7180000050196-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.85&CDS=1-2745
OG0000703	YBR250W	augustus_masked-scf7180000050196-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.61&CDS=1-1494
OG0000704	YBR254C	augustus_masked-scf7180000050315-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000050315-processed-gene-0.51&CDS=1-534
OG0000705	YBR255C-A	maker-scf7180000050315-augustus-gene-0.2-mRNA-1_1&gene=maker-scf7180000050315-augustus-gene-0.2&CDS=1-372
OG0000706	YBR255W	augustus_masked-scf7180000050315-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000050315-processed-gene-0.57&CDS=1-2085
OG0000707	YBR256C	genemark-scf7180000050315-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000050315-processed-gene-0.7&CDS=1-717
OG0000708	YBR257W	augustus_masked-scf7180000050262-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000050262-processed-gene-0.33&CDS=1-843
OG0000709	YBR260C	augustus_masked-scf7180000050310-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000050310-processed-gene-0.3&CDS=1-2106
OG0000710	YBR261C	maker-scf7180000050310-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000050310-augustus-gene-0.0&CDS=1-1044
OG0000711	YBR268W	snap_masked-scf7180000050332-processed-gene-0.117-mRNA-1_1&gene=snap_masked-scf7180000050332-processed-gene-0.117&CDS=1-363
OG0000712	YBR269C	augustus_masked-scf7180000050332-processed-gene-0.232-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.232&CDS=1-399
OG0000713	YBR271W	augustus_masked-scf7180000050332-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.195&CDS=1-1224
OG0000714	YBR272C	snap_masked-scf7180000050332-processed-gene-0.159-mRNA-1_1&gene=snap_masked-scf7180000050332-processed-gene-0.159&CDS=1-1521
OG0000715	YBR273C	augustus_masked-scf7180000050262-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000050262-processed-gene-0.31&CDS=1-1293
OG0000716	YBR274W	augustus_masked-scf7180000050332-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.196&CDS=1-1644
OG0000717	YBR276C	augustus_masked-scf7180000050332-processed-gene-0.192-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.192&CDS=1-2808
OG0000718	YBR278W	augustus_masked-scf7180000050332-processed-gene-0.230-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.230&CDS=1-573
OG0000719	YBR279W	augustus_masked-scf7180000050332-processed-gene-0.229-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.229&CDS=1-1317
OG0000720	YBR280C	augustus_masked-scf7180000050332-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.191&CDS=1-1773
OG0000721	YBR281C	augustus_masked-scf7180000050332-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.190&CDS=1-2583
OG0000722	YBR282W	augustus_masked-scf7180000050332-processed-gene-0.228-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.228&CDS=1-435
OG0000723	YBR283C	augustus_masked-scf7180000050332-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.189&CDS=1-1473
OG0000724	YBR286W	augustus_masked-scf7180000050332-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.226&CDS=1-1632
OG0000725	YBR287W	augustus_masked-scf7180000050332-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-scf7180000050332-processed-gene-0.225&CDS=1-1293
OG0000726	YBR289W	snap_masked-scf7180000050232-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000050232-processed-gene-0.30&CDS=1-2025
OG0000727	YBR290W	augustus_masked-scf7180000050232-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000050232-processed-gene-0.12&CDS=1-972
OG0000728	YBR291C	augustus_masked-scf7180000050232-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000050232-processed-gene-0.6&CDS=1-894
OG0000729	YCL001W	augustus_masked-scf7180000050381-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-scf7180000050381-processed-gene-0.123&CDS=1-564
OG0000730	YCL002C	snap_masked-scf7180000050377-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000050377-processed-gene-0.11&CDS=1-426
OG0000731	YCL004W	augustus_masked-scf7180000050377-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000050377-processed-gene-0.20&CDS=1-1446
OG0000732	YCL008C	augustus_masked-scf7180000050377-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000050377-processed-gene-0.25&CDS=1-1113
OG0000733	YCL009C	augustus_masked-scf7180000050377-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000050377-processed-gene-0.24&CDS=1-900
OG0000734	YCL010C	augustus_masked-scf7180000050199-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000050199-processed-gene-0.34&CDS=1-807
OG0000735	YCL012C	augustus_masked-scf7180000050381-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-scf7180000050381-processed-gene-0.122&CDS=1-330
OG0000736	YCL014W	augustus_masked-scf7180000050199-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000050199-processed-gene-0.51&CDS=1-5049
OG0000737	YCL016C	genemark-scf7180000050199-processed-gene-0.73-mRNA-1_1&gene=genemark-scf7180000050199-processed-gene-0.73&CDS=1-1137
OG0000738	YCL017C	augustus_masked-scf7180000050199-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scf7180000050199-processed-gene-0.37&CDS=1-1506
OG0000739	YCL018W	augustus_masked-scf7180000050199-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000050199-processed-gene-0.52&CDS=1-1086
OG0000740	YCL019W, YCL020W	
OG0000741	YCL025C	augustus_masked-scf7180000050358-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.51&CDS=1-1983
OG0000742	YCL027W	augustus_masked-scf7180000050358-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.19&CDS=1-1512
OG0000743	YCL028W	augustus_masked-scf7180000050358-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.16&CDS=1-966
OG0000744	YCL029C	augustus_masked-scf7180000050358-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.48&CDS=1-1536
OG0000745	YCL030C	augustus_masked-scf7180000050358-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.47&CDS=1-2778
OG0000746	YCL031C	augustus_masked-scf7180000050358-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.46&CDS=1-957
OG0000747	YCL032W	augustus_masked-scf7180000050358-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.15&CDS=1-1014
OG0000748	YCL033C	augustus_masked-scf7180000050358-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.45&CDS=1-396
OG0000749	YCL034W	augustus_masked-scf7180000050358-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.14&CDS=1-1179
OG0000750	YCL037C	augustus_masked-scf7180000050358-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.44&CDS=1-1341
OG0000751	YCL038C	augustus_masked-scf7180000050358-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.43&CDS=1-1569
OG0000752	YCL039W	snap_masked-scf7180000050358-processed-gene-0.76-mRNA-1_1&gene=snap_masked-scf7180000050358-processed-gene-0.76&CDS=1-2964
OG0000753	YCL040W	augustus_masked-scf7180000050358-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.12&CDS=1-1488
OG0000754	YCL043C	augustus_masked-scf7180000050358-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.42&CDS=1-1593
OG0000755	YCL044C	augustus_masked-scf7180000050358-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.41&CDS=1-1095
OG0000756	YCL045C	augustus_masked-scf7180000050358-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.40&CDS=1-2319
OG0000757	YCL047C	augustus_masked-scf7180000050358-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.39&CDS=1-753
OG0000758	YCL051W	augustus_masked-scf7180000050358-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.9&CDS=1-960
OG0000759	YCL052C	augustus_masked-scf7180000050358-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.38&CDS=1-1251
