	Saccharomyces_cerevisiae	yHMPu5000026124_Ogataea_henricii
OG0000260	YGL076C, YPL198W	augustus_masked-flattened_line_20-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.78&CDS=1-729
OG0000261	YGL082W, YPL191C	augustus_masked-flattened_line_52-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.121&CDS=1-1284
OG0000262	YGL096W, YPL177C	augustus_masked-flattened_line_78-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.64&CDS=1-762
OG0000263	YGL122C	genemark-flattened_line_8-processed-gene-3.67-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.67&CDS=1-1905, maker-flattened_line_54-snap-gene-0.235-mRNA-1_1&gene=maker-flattened_line_54-snap-gene-0.235&CDS=1-3459
OG0000264	YGL135W, YPL220W	genemark-flattened_line_86-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.73&CDS=1-651
OG0000265	YGL139W, YPL221W	genemark-flattened_line_96-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.8&CDS=1-2526
OG0000266	YGL147C, YNL067W	genemark-flattened_line_44-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.101&CDS=1-573
OG0000267	YGL162W, YPR009W	genemark-flattened_line_8-processed-gene-4.30-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.30&CDS=1-1383
OG0000268	YGR009C, YMR017W	genemark-flattened_line_32-processed-gene-1.90-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.90&CDS=1-1467
OG0000269	YGR010W, YLR328W	maker-flattened_line_0-snap-gene-4.129-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-4.129&CDS=1-2820
OG0000270	YGR027C, YLR333C	genemark-flattened_line_18-processed-gene-2.76-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.76&CDS=1-324
OG0000271	YGR032W	genemark-flattened_line_26-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.11&CDS=1-5316, snap_masked-flattened_line_14-processed-gene-1.6-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.6&CDS=1-5658
OG0000272	YGR034W, YLR344W	augustus_masked-flattened_line_26-processed-gene-1.265-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.265&CDS=1-381
OG0000273	YGR038W, YLR350W	genemark-flattened_line_182-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_182-processed-gene-0.5&CDS=1-615
OG0000274	YGR043C, YLR354C	maker-flattened_line_64-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_64-snap-gene-0.3&CDS=1-1947
OG0000275	YGR056W, YLR357W	genemark-flattened_line_46-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.124&CDS=1-2610
OG0000276	YGR085C, YPR102C	genemark-flattened_line_10-processed-gene-3.111-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.111&CDS=1-528
OG0000277	YGR092W, YPR111W	maker-flattened_line_34-snap-gene-1.199-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-1.199&CDS=1-3336
OG0000278	YGR108W, YPR119W	genemark-flattened_line_82-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.106&CDS=1-1365
OG0000279	YGR118W, YPR132W	genemark-flattened_line_6-processed-gene-3.6-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.6&CDS=1-435
OG0000280	YGR121C, YPR138C	genemark-flattened_line_30-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.54&CDS=1-1476
OG0000281	YGR131W, YPR149W	genemark-flattened_line_8-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.125&CDS=1-507
OG0000282	YGR138C, YPR156C	genemark-flattened_line_52-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.50&CDS=1-1806
OG0000283	YGR141W, YPR157W	genemark-flattened_line_26-processed-gene-1.113-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.113&CDS=1-1224
OG0000284	YGR192C, YJR009C	genemark-flattened_line_34-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.100&CDS=1-1008
OG0000285	YGR197C, YJR015W	genemark-flattened_line_74-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.122&CDS=1-1476
OG0000286	YGR209C, YLR043C	genemark-flattened_line_14-processed-gene-2.126-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.126&CDS=1-309
OG0000287	YGR214W, YLR048W	maker-flattened_line_86-snap-gene-0.106-mRNA-1_1&gene=maker-flattened_line_86-snap-gene-0.106&CDS=1-792
OG0000288	YGR238C, YHR158C	genemark-flattened_line_70-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.15&CDS=1-3624
OG0000289	YGR241C, YHR161C	genemark-flattened_line_22-processed-gene-2.153-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.153&CDS=1-2100
OG0000290	YGR243W, YHR162W	maker-flattened_line_44-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.2&CDS=1-390
OG0000291	YGR248W, YHR163W	genemark-flattened_line_12-processed-gene-2.61-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.61&CDS=1-753
OG0000292	YGR260W	genemark-flattened_line_48-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.108&CDS=1-1446, snap_masked-flattened_line_56-processed-gene-0.165-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.165&CDS=1-1449
OG0000293	YGR281W	augustus_masked-flattened_line_46-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.39&CDS=1-6306, augustus_masked-flattened_line_90-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.82&CDS=1-5895
OG0000294	YHL001W, YKL006W	genemark-flattened_line_44-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.9&CDS=1-396
OG0000295	YHL003C, YKL008C	genemark-flattened_line_38-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.108&CDS=1-1263
OG0000296	YHL017W, YKL039W	genemark-flattened_line_2-processed-gene-4.31-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.31&CDS=1-1707
OG0000297	YHL036W	augustus_masked-flattened_line_104-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.50&CDS=1-1740, genemark-flattened_line_42-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.5&CDS=1-1602
OG0000298	YHR001W, YKR003W	genemark-flattened_line_2-processed-gene-5.135-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.135&CDS=1-1353
OG0000299	YHR021C, YKL156W	snap_masked-flattened_line_16-processed-gene-1.108-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.108&CDS=1-246
OG0000300	YHR043C, YHR044C	genemark-flattened_line_8-processed-gene-4.37-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.37&CDS=1-723
OG0000301	YHR115C, YNL116W	genemark-flattened_line_10-processed-gene-1.75-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.75&CDS=1-1404
OG0000302	YHR117W, YNL121C	genemark-flattened_line_8-processed-gene-3.70-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.70&CDS=1-1788
OG0000303	YHR123W, YNL130C	genemark-flattened_line_8-processed-gene-3.100-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.100&CDS=1-2040
OG0000304	YHR131C, YNL144C	snap_masked-flattened_line_0-processed-gene-1.110-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.110&CDS=1-1941
OG0000305	YHR132W-A, YNL157W	genemark-flattened_line_70-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.4&CDS=1-372
OG0000306	YHR133C, YNL156C	genemark-flattened_line_70-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.26&CDS=1-852
OG0000307	YHR141C, YNL162W	maker-flattened_line_0-snap-gene-1.1-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-1.1&CDS=1-2544
OG0000308	YHR203C, YJR145C	genemark-flattened_line_6-processed-gene-1.81-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.81&CDS=1-2637
OG0000309	YIL038C	genemark-flattened_line_16-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.17&CDS=1-1908, maker-flattened_line_58-augustus-gene-0.135-mRNA-1_1&gene=maker-flattened_line_58-augustus-gene-0.135&CDS=1-3522
OG0000310	YIL085C, YNL029C	snap_masked-flattened_line_26-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.90&CDS=1-1719
OG0000311	YIL105C, YNL047C	genemark-flattened_line_36-processed-gene-1.63-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.63&CDS=1-2037
OG0000312	YIL107C	genemark-flattened_line_106-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.20&CDS=1-2424, genemark-flattened_line_110-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.20&CDS=1-2136
OG0000313	YIL111W, YNL052W	genemark-flattened_line_36-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.97&CDS=1-453
OG0000314	YIL131C, YNL068C	genemark-flattened_line_4-processed-gene-3.30-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.30&CDS=1-3546
OG0000315	YIL149C, YKR095W	augustus_masked-flattened_line_2-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.65&CDS=1-5484
OG0000316	YIL156W, YKR098C	augustus_masked-flattened_line_72-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.0&CDS=1-2493
OG0000317	YIR013C, YLR013W	genemark-flattened_line_76-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.121&CDS=1-1179
OG0000318	YIR031C, YNL117W	genemark-flattened_line_44-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.16&CDS=1-1662
OG0000319	YIR033W, YKL020C	genemark-flattened_line_52-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.21&CDS=1-3273
OG0000320	YJL055W	genemark-flattened_line_26-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.7&CDS=1-687, genemark-flattened_line_48-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.124&CDS=1-675
OG0000321	YJL079C, YKR013W	genemark-flattened_line_8-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.52&CDS=1-972
OG0000322	YJL082W, YKR018C	genemark-flattened_line_12-processed-gene-2.16-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.16&CDS=1-2310
OG0000323	YJL094C	genemark-flattened_line_0-processed-gene-1.89-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.89&CDS=1-2259, genemark-flattened_line_12-processed-gene-3.83-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.83&CDS=1-2337
OG0000324	YJL098W, YKR028W	genemark-flattened_line_12-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.49&CDS=1-2994
OG0000325	YJL099W, YKR027W	genemark-flattened_line_12-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.48&CDS=1-2091
OG0000326	YJL105W, YKR029C	maker-flattened_line_26-snap-gene-1.324-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.324&CDS=1-2403
OG0000327	YJL108C	genemark-flattened_line_26-processed-gene-1.124-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.124&CDS=1-2427, genemark-flattened_line_34-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.94&CDS=1-3054
OG0000328	YJL110C, YKR034W	genemark-flattened_line_38-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.73&CDS=1-1515
OG0000329	YJL133W, YKR052C	genemark-flattened_line_40-processed-gene-1.108-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.108&CDS=1-1107
OG0000330	YJL134W, YKR053C	maker-flattened_line_12-snap-gene-1.149-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.149&CDS=1-2010
OG0000331	YJL137C, YKR058W	genemark-flattened_line_36-processed-gene-1.20-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.20&CDS=1-1542
OG0000332	YJL138C, YKR059W	maker-flattened_line_12-snap-gene-1.148-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.148&CDS=1-1494
OG0000333	YJL139C, YKR061W	augustus_masked-flattened_line_34-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.151&CDS=1-2043
OG0000334	YJL141C	maker-flattened_line_34-snap-gene-1.196-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-1.196&CDS=1-4296, snap_masked-flattened_line_84-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.103&CDS=1-1587
OG0000335	YJL177W, YKL180W	genemark-flattened_line_34-processed-gene-1.57-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.57&CDS=1-555
OG0000336	YJR054W, YML047C	augustus_masked-flattened_line_0-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.68&CDS=1-1299
OG0000337	YJR091C, YPR042C	genemark-flattened_line_10-processed-gene-2.106-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.106&CDS=1-3549
OG0000338	YJR094W-A, YPR043W	augustus_masked-flattened_line_10-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.69&CDS=1-282
OG0000339	YJR127C, YML081W	augustus_masked-flattened_line_196-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_196-processed-gene-0.1&CDS=1-3456
OG0000340	YJR130C, YML082W	genemark-flattened_line_60-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.50&CDS=1-1710
OG0000341	YJR131W	augustus_masked-flattened_line_60-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.26&CDS=1-3486, genemark-flattened_line_60-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.51&CDS=1-1482
OG0000342	YKL004W	genemark-flattened_line_24-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.103&CDS=1-1236, genemark-flattened_line_76-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.122&CDS=1-1206
OG0000343	YKL043W	genemark-flattened_line_16-processed-gene-2.153-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.153&CDS=1-1815, genemark-flattened_line_34-processed-gene-1.4-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.4&CDS=1-1458
OG0000344	YKL050C, YMR031C	maker-flattened_line_38-snap-gene-1.207-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-1.207&CDS=1-2700
OG0000345	YKL072W, YMR053C	genemark-flattened_line_14-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.93&CDS=1-2532
OG0000346	YKL091C, YMR079W	maker-flattened_line_6-augustus-gene-4.2-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-4.2&CDS=1-3987
OG0000347	YKL121W, YMR102C	augustus_masked-flattened_line_132-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.10&CDS=1-2388
OG0000348	YKL126W, YMR104C	genemark-flattened_line_40-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.108&CDS=1-2082
OG0000349	YKL133C, YMR115W	genemark-flattened_line_14-processed-gene-2.177-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.177&CDS=1-1413
OG0000350	YKL141W, YMR118C	genemark-flattened_line_60-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.81&CDS=1-522
OG0000351	YKL171W	augustus_masked-flattened_line_104-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.56&CDS=1-1386, genemark-flattened_line_170-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_170-processed-gene-0.3&CDS=1-720
OG0000352	YKR039W	genemark-flattened_line_6-processed-gene-4.112-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.112&CDS=1-1743, maker-flattened_line_60-snap-gene-0.108-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.108&CDS=1-3459
OG0000353	YKR075C, YOR062C	genemark-flattened_line_18-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.69&CDS=1-792
OG0000354	YKR076W, YMR251W	genemark-flattened_line_0-processed-gene-6.150-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.150&CDS=1-978
OG0000355	YKR089C, YOR081C	augustus_masked-flattened_line_30-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.119&CDS=1-3978
OG0000356	YKR091W, YOR083W	augustus_masked-flattened_line_28-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.6&CDS=1-1533
OG0000357	YKR093W	genemark-flattened_line_0-processed-gene-3.140-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.140&CDS=1-1743, genemark-flattened_line_16-processed-gene-2.104-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.104&CDS=1-1803
OG0000358	YLL012W, YLR020C	genemark-flattened_line_74-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.146&CDS=1-1308
OG0000359	YLL016W, YLR310C	genemark-flattened_line_20-processed-gene-2.157-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.157&CDS=1-3972
OG0000360	YLL024C	genemark-flattened_line_26-processed-gene-1.150-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.150&CDS=1-1926, genemark-flattened_line_6-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.115&CDS=1-1938
OG0000361	YLL055W	genemark-flattened_line_92-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.64&CDS=1-1590, maker-flattened_line_54-snap-gene-0.236-mRNA-1_1&gene=maker-flattened_line_54-snap-gene-0.236&CDS=1-1572
OG0000362	YLR031W, YMR124W	augustus_masked-flattened_line_14-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.118&CDS=1-4221
OG0000363	YLR094C	snap_masked-flattened_line_38-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.34&CDS=1-1266, snap_masked-flattened_line_40-processed-gene-1.146-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.146&CDS=1-1266
OG0000364	YLR098C, YOR337W	snap_masked-flattened_line_30-processed-gene-1.248-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.248&CDS=1-2187
OG0000365	YLR210W	genemark-flattened_line_22-processed-gene-1.99-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.99&CDS=1-1299, genemark-flattened_line_44-processed-gene-1.94-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.94&CDS=1-1341
OG0000366	YLR260W, YOR171C	genemark-flattened_line_26-processed-gene-1.201-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.201&CDS=1-1506
OG0000367	YLR264W, YOR167C	genemark-flattened_line_30-processed-gene-1.4-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.4&CDS=1-219
OG0000368	YLR270W, YOR173W	genemark-flattened_line_110-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.18&CDS=1-900
OG0000369	YLR284C, YOR180C	genemark-flattened_line_24-processed-gene-1.186-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.186&CDS=1-792
OG0000370	YLR287C-A, YOR182C	maker-flattened_line_30-snap-gene-1.190-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-1.190&CDS=1-1701
OG0000371	YLR300W, YOR190W	genemark-flattened_line_46-processed-gene-0.159-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.159&CDS=1-1272
OG0000372	YLR307W, YLR308W	genemark-flattened_line_26-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.26&CDS=1-972
OG0000373	YLR449W, YML074C	genemark-flattened_line_88-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.31&CDS=1-1341
OG0000374	YLR456W, YPR172W	genemark-flattened_line_0-processed-gene-4.84-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.84&CDS=1-549
OG0000375	YML038C	genemark-flattened_line_4-processed-gene-2.30-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.30&CDS=1-1908, genemark-flattened_line_4-processed-gene-2.8-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.8&CDS=1-1368
OG0000376	YML073C	genemark-flattened_line_72-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.107&CDS=1-531, genemark-flattened_line_88-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.30&CDS=1-525
OG0000377	YML100W, YMR261C	genemark-flattened_line_60-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.92&CDS=1-3183
OG0000378	YML106W, YMR271C	genemark-flattened_line_90-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.54&CDS=1-660
OG0000379	YML109W, YMR273C	genemark-flattened_line_2-processed-gene-4.2-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.2&CDS=1-2328
OG0000380	YMR008C, YOL011W	maker-flattened_line_4-augustus-gene-1.143-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-1.143&CDS=1-2265
OG0000381	YMR177W, YPL224C	augustus_masked-flattened_line_20-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.107&CDS=1-1296
OG0000382	YMR183C, YPL232W	genemark-flattened_line_50-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.13&CDS=1-876
OG0000383	YMR216C	genemark-flattened_line_28-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.59&CDS=1-2649, genemark-flattened_line_66-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.8&CDS=1-1890
OG0000384	YMR222C, YOR280C	genemark-flattened_line_12-processed-gene-2.54-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.54&CDS=1-756
OG0000385	YMR230W, YOR293W	genemark-flattened_line_22-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.89&CDS=1-357
OG0000386	YMR234W	genemark-flattened_line_38-processed-gene-1.119-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.119&CDS=1-813, snap_masked-flattened_line_92-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.15&CDS=1-552
OG0000387	YMR237W, YOR299W	maker-flattened_line_26-snap-gene-1.321-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.321&CDS=1-3336
OG0000388	YMR242C, YOR312C	snap_masked-flattened_line_4-processed-gene-3.105-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.105&CDS=1-492
OG0000389	YMR243C, YOR316C	augustus_masked-flattened_line_22-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.131&CDS=1-2739
OG0000390	YMR244W	genemark-flattened_line_22-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.93&CDS=1-912, genemark-flattened_line_6-processed-gene-4.120-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.120&CDS=1-912
OG0000391	YMR253C, YPL264C	genemark-flattened_line_32-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.119&CDS=1-1212
OG0000392	YNL020C	genemark-flattened_line_8-processed-gene-2.72-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.72&CDS=1-2688, snap_masked-flattened_line_46-processed-gene-0.261-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.261&CDS=1-2127
OG0000393	YNL027W	genemark-flattened_line_32-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.82&CDS=1-2079, snap_masked-flattened_line_6-processed-gene-1.99-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.99&CDS=1-1317
OG0000394	YNL054W	genemark-flattened_line_102-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.17&CDS=1-2685, genemark-flattened_line_66-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.40&CDS=1-1827
OG0000395	YNL095C, YOR092W	snap_masked-flattened_line_12-processed-gene-2.142-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.142&CDS=1-1683
OG0000396	YNL096C, YOR096W	genemark-flattened_line_4-processed-gene-3.33-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.33&CDS=1-567
OG0000397	YNL098C, YOR101W	genemark-flattened_line_42-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.39&CDS=1-807
OG0000398	YNL125C	genemark-flattened_line_0-processed-gene-5.90-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.90&CDS=1-1722, genemark-flattened_line_18-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.73&CDS=1-1884
OG0000399	YNL192W	genemark-flattened_line_16-processed-gene-2.120-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.120&CDS=1-3069, genemark-flattened_line_56-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.19&CDS=1-3180
OG0000400	YNL301C, YOL120C	maker-flattened_line_2-snap-gene-1.97-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-1.97&CDS=1-966
OG0000401	YNL322C	genemark-flattened_line_30-processed-gene-1.55-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.55&CDS=1-972, genemark-flattened_line_8-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.59&CDS=1-972
OG0000402	YNR063W	genemark-flattened_line_98-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.13&CDS=1-1878, maker-flattened_line_98-augustus-gene-0.64-mRNA-1_1&gene=maker-flattened_line_98-augustus-gene-0.64&CDS=1-8235
