	Saccharomyces_cerevisiae	yHMPu5000034886_Ogataea_trehalophila
OG0000357	YGR009C, YMR017W	genemark-NODE_17_length_257632_cov_12.7806_ID_33-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_17_length_257632_cov_12.7806_ID_33-processed-gene-0.48&CDS=1-1401
OG0000358	YGR010W, YLR328W	genemark-NODE_58_length_77449_cov_14.295_ID_115-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_58_length_77449_cov_14.295_ID_115-processed-gene-0.78&CDS=1-1416
OG0000359	YGR019W	genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.15&CDS=1-1416, genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-2.55-mRNA-1_1&gene=genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-2.55&CDS=1-1404
OG0000360	YGR023W, YLR332W	genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-1.60-mRNA-1_1&gene=genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-1.60&CDS=1-1566
OG0000361	YGR027C, YLR333C	genemark-NODE_47_length_94609_cov_23.3353_ID_93-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_47_length_94609_cov_23.3353_ID_93-processed-gene-0.64&CDS=1-324
OG0000362	YGR034W, YLR344W	genemark-NODE_33_length_168827_cov_13.3165_ID_65-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_33_length_168827_cov_13.3165_ID_65-processed-gene-0.115&CDS=1-381
OG0000363	YGR038W, YLR350W	genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.92&CDS=1-615
OG0000364	YGR056W, YLR357W	genemark-NODE_24_length_185531_cov_13.2868_ID_47-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_24_length_185531_cov_13.2868_ID_47-processed-gene-0.46&CDS=1-2793
OG0000365	YGR070W, YLR371W	genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-3.60-mRNA-1_1&gene=genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-3.60&CDS=1-4434
OG0000366	YGR085C, YPR102C	augustus_masked-NODE_57_length_77705_cov_13.3156_ID_113-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_57_length_77705_cov_13.3156_ID_113-processed-gene-0.25&CDS=1-516
OG0000367	YGR092W, YPR111W	maker-NODE_3_length_487415_cov_12.5697_ID_5-snap-gene-3.101-mRNA-1_1&gene=maker-NODE_3_length_487415_cov_12.5697_ID_5-snap-gene-3.101&CDS=1-3264
OG0000368	YGR108W, YPR119W	genemark-NODE_38_length_135383_cov_16.4375_ID_75-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_38_length_135383_cov_16.4375_ID_75-processed-gene-0.82&CDS=1-1362
OG0000369	YGR118W, YPR132W	genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-1.57-mRNA-1_1&gene=genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-1.57&CDS=1-435
OG0000370	YGR121C, YPR138C	genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.133&CDS=1-1440
OG0000371	YGR131W, YPR149W	genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-1.49-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-1.49&CDS=1-507
OG0000372	YGR136W, YPR154W	genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-1.45-mRNA-1_1&gene=genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-1.45&CDS=1-678
OG0000373	YGR138C, YPR156C	genemark-NODE_119_length_6530_cov_18.4779_ID_237-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_119_length_6530_cov_18.4779_ID_237-processed-gene-0.0&CDS=1-1893
OG0000374	YGR141W, YPR157W	genemark-NODE_17_length_257632_cov_12.7806_ID_33-processed-gene-1.76-mRNA-1_1&gene=genemark-NODE_17_length_257632_cov_12.7806_ID_33-processed-gene-1.76&CDS=1-1332
OG0000375	YGR192C, YJR009C	genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-0.96&CDS=1-999
OG0000376	YGR201C	genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.3&CDS=1-660, genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-0.41&CDS=1-651
OG0000377	YGR209C, YLR043C	genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-1.98-mRNA-1_1&gene=genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-1.98&CDS=1-483
OG0000378	YGR214W, YLR048W	genemark-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-1.133-mRNA-1_1&gene=genemark-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-1.133&CDS=1-792
OG0000379	YGR217W	augustus_masked-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-1.202-mRNA-1_1&gene=augustus_masked-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-1.202&CDS=1-5922, augustus_masked-NODE_41_length_110995_cov_15.2803_ID_81-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_41_length_110995_cov_15.2803_ID_81-processed-gene-0.102&CDS=1-6777
OG0000380	YGR221C, YHR149C	genemark-NODE_36_length_148855_cov_16.1715_ID_71-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_36_length_148855_cov_16.1715_ID_71-processed-gene-0.56&CDS=1-2184
OG0000381	YGR238C, YHR158C	genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.84&CDS=1-3747
OG0000382	YGR241C, YHR161C	genemark-NODE_57_length_77705_cov_13.3156_ID_113-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_57_length_77705_cov_13.3156_ID_113-processed-gene-0.33&CDS=1-2232
OG0000383	YGR243W, YHR162W	snap_masked-NODE_41_length_110995_cov_15.2803_ID_81-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_41_length_110995_cov_15.2803_ID_81-processed-gene-0.32&CDS=1-186
OG0000384	YGR248W, YHR163W	genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-0.84&CDS=1-747
OG0000385	YGR254W, YHR174W	genemark-NODE_20_length_238563_cov_12.5791_ID_39-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_20_length_238563_cov_12.5791_ID_39-processed-gene-0.75&CDS=1-1311
OG0000386	YHL001W, YKL006W	genemark-NODE_41_length_110995_cov_15.2803_ID_81-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_41_length_110995_cov_15.2803_ID_81-processed-gene-0.54&CDS=1-396
OG0000387	YHL003C, YKL008C	genemark-NODE_65_length_65706_cov_12.8829_ID_129-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_65_length_65706_cov_12.8829_ID_129-processed-gene-0.42&CDS=1-1245
OG0000388	YHL016C	genemark-NODE_56_length_78183_cov_12.81_ID_111-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_56_length_78183_cov_12.81_ID_111-processed-gene-0.80&CDS=1-1992, genemark-NODE_67_length_64695_cov_15.4663_ID_133-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_67_length_64695_cov_15.4663_ID_133-processed-gene-0.21&CDS=1-1980
OG0000389	YHL017W, YKL039W	genemark-NODE_97_length_22961_cov_18.77_ID_193-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_97_length_22961_cov_18.77_ID_193-processed-gene-0.12&CDS=1-1623
OG0000390	YHL036W	genemark-NODE_104_length_12653_cov_17.569_ID_207-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_104_length_12653_cov_17.569_ID_207-processed-gene-0.8&CDS=1-1599, genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-1.170-mRNA-1_1&gene=genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-1.170&CDS=1-1686
OG0000391	YHR001W, YKR003W	genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-0.57&CDS=1-1326
OG0000392	YHR021C, YKL156W	snap_masked-NODE_43_length_108954_cov_12.3396_ID_85-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_43_length_108954_cov_12.3396_ID_85-processed-gene-0.22&CDS=1-246
OG0000393	YHR043C, YHR044C	genemark-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-0.40&CDS=1-729
OG0000394	YHR115C, YNL116W	genemark-NODE_36_length_148855_cov_16.1715_ID_71-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_36_length_148855_cov_16.1715_ID_71-processed-gene-0.25&CDS=1-1830
OG0000395	YHR117W, YNL121C	genemark-NODE_12_length_299633_cov_12.6299_ID_23-processed-gene-1.102-mRNA-1_1&gene=genemark-NODE_12_length_299633_cov_12.6299_ID_23-processed-gene-1.102&CDS=1-1800
OG0000396	YHR123W, YNL130C	genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-2.111-mRNA-1_1&gene=genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-2.111&CDS=1-1179
OG0000397	YHR131C, YNL144C	genemark-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.179-mRNA-1_1&gene=genemark-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.179&CDS=1-2304
OG0000398	YHR132W-A, YNL157W	genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-0.44&CDS=1-369
OG0000399	YHR133C, YNL156C	genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-0.31&CDS=1-897
OG0000400	YHR135C	genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.80&CDS=1-1584, genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.96&CDS=1-1470
OG0000401	YHR141C, YNL162W	maker-NODE_31_length_174203_cov_12.9361_ID_61-snap-gene-0.69-mRNA-1_1&gene=maker-NODE_31_length_174203_cov_12.9361_ID_61-snap-gene-0.69&CDS=1-2580
OG0000402	YHR155W, YNL257C	genemark-NODE_89_length_38732_cov_25.7741_ID_177-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_89_length_38732_cov_25.7741_ID_177-processed-gene-0.3&CDS=1-3492
OG0000403	YHR179W, YPL171C	genemark-NODE_41_length_110995_cov_15.2803_ID_81-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_41_length_110995_cov_15.2803_ID_81-processed-gene-0.50&CDS=1-1230
OG0000404	YHR203C, YJR145C	genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.23&CDS=1-780
OG0000405	YIL085C, YNL029C	genemark-NODE_17_length_257632_cov_12.7806_ID_33-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_17_length_257632_cov_12.7806_ID_33-processed-gene-0.44&CDS=1-1839
OG0000406	YIL105C, YNL047C	genemark-NODE_40_length_112905_cov_13.4601_ID_79-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_40_length_112905_cov_13.4601_ID_79-processed-gene-0.32&CDS=1-2187
OG0000407	YIL107C	genemark-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-1.42-mRNA-1_1&gene=genemark-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-1.42&CDS=1-2655, snap_masked-NODE_55_length_82496_cov_27.738_ID_109-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_55_length_82496_cov_27.738_ID_109-processed-gene-0.23&CDS=1-2499
OG0000408	YIL111W, YNL052W	genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.100&CDS=1-453
OG0000409	YIL114C, YNL055C	genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.102&CDS=1-852
OG0000410	YIL121W, YNL065W	genemark-NODE_92_length_33506_cov_12.7465_ID_183-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_92_length_33506_cov_12.7465_ID_183-processed-gene-0.13&CDS=1-1635
OG0000411	YIL126W	genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-1.117-mRNA-1_1&gene=genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-1.117&CDS=1-3936, maker-NODE_25_length_183651_cov_12.6735_ID_49-snap-gene-0.145-mRNA-1_1&gene=maker-NODE_25_length_183651_cov_12.6735_ID_49-snap-gene-0.145&CDS=1-9042
OG0000412	YIL149C, YKR095W	snap_masked-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-0.81&CDS=1-5877
OG0000413	YIL151C, YKR096W	genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-1.136-mRNA-1_1&gene=genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-1.136&CDS=1-3951
OG0000414	YIL156W, YKR098C	genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-2.76-mRNA-1_1&gene=genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-2.76&CDS=1-3165
OG0000415	YIR031C, YNL117W	genemark-NODE_41_length_110995_cov_15.2803_ID_81-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_41_length_110995_cov_15.2803_ID_81-processed-gene-0.62&CDS=1-1668
OG0000416	YIR033W, YKL020C	genemark-NODE_87_length_42962_cov_12.9754_ID_173-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_87_length_42962_cov_12.9754_ID_173-processed-gene-0.25&CDS=1-3795
OG0000417	YJL076W, YKR010C	genemark-NODE_33_length_168827_cov_13.3165_ID_65-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_33_length_168827_cov_13.3165_ID_65-processed-gene-0.107&CDS=1-3453
OG0000418	YJL079C, YKR013W	genemark-NODE_6_length_344752_cov_12.4815_ID_11-processed-gene-2.194-mRNA-1_1&gene=genemark-NODE_6_length_344752_cov_12.4815_ID_11-processed-gene-2.194&CDS=1-987
OG0000419	YJL082W, YKR018C	genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-2.65-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-2.65&CDS=1-2334
OG0000420	YJL083W, YKR019C	snap_masked-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-2.147-mRNA-1_1&gene=snap_masked-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-2.147&CDS=1-2712
OG0000421	YJL084C, YKR021W	genemark-NODE_39_length_130376_cov_20.4769_ID_77-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_39_length_130376_cov_20.4769_ID_77-processed-gene-0.32&CDS=1-3282
OG0000422	YJL090C	augustus_masked-NODE_98_length_22020_cov_17.0627_ID_195-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_98_length_22020_cov_17.0627_ID_195-processed-gene-0.8&CDS=1-3822, genemark-NODE_84_length_45592_cov_19.2858_ID_167-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_84_length_45592_cov_19.2858_ID_167-processed-gene-0.47&CDS=1-2013
OG0000423	YJL105W, YKR029C	maker-NODE_86_length_43082_cov_12.4802_ID_171-snap-gene-0.18-mRNA-1_1&gene=maker-NODE_86_length_43082_cov_12.4802_ID_171-snap-gene-0.18&CDS=1-2142
OG0000424	YJL108C	genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-2.44-mRNA-1_1&gene=genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-2.44&CDS=1-2934, maker-NODE_1_length_559938_cov_12.5074_ID_1-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_1_length_559938_cov_12.5074_ID_1-snap-gene-0.0&CDS=1-6333
OG0000425	YJL133W, YKR052C	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.45-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.45&CDS=1-1137
OG0000426	YJL134W, YKR053C	maker-NODE_7_length_341278_cov_13.0664_ID_13-snap-gene-1.90-mRNA-1_1&gene=maker-NODE_7_length_341278_cov_13.0664_ID_13-snap-gene-1.90&CDS=1-2046
OG0000427	YJL137C, YKR058W	genemark-NODE_40_length_112905_cov_13.4601_ID_79-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_40_length_112905_cov_13.4601_ID_79-processed-gene-0.25&CDS=1-1677
OG0000428	YJL139C, YKR061W	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.34-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.34&CDS=1-1269
OG0000429	YJL172W, YOL153C	maker-NODE_51_length_87043_cov_13.5604_ID_101-snap-gene-0.86-mRNA-1_1&gene=maker-NODE_51_length_87043_cov_13.5604_ID_101-snap-gene-0.86&CDS=1-3270
OG0000430	YJL177W, YKL180W	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.31-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.31&CDS=1-555
OG0000431	YJL212C, YPR194C	genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-0.39&CDS=1-2376
OG0000432	YJR054W, YML047C	genemark-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.191-mRNA-1_1&gene=genemark-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.191&CDS=1-1428
OG0000433	YJR059W, YKL198C	maker-NODE_43_length_108954_cov_12.3396_ID_85-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_43_length_108954_cov_12.3396_ID_85-snap-gene-0.3&CDS=1-2301
OG0000434	YJR091C, YPR042C	genemark-NODE_68_length_63476_cov_12.7154_ID_135-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_68_length_63476_cov_12.7154_ID_135-processed-gene-0.59&CDS=1-3756
OG0000435	YJR094W-A, YPR043W	genemark-NODE_68_length_63476_cov_12.7154_ID_135-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_68_length_63476_cov_12.7154_ID_135-processed-gene-0.65&CDS=1-294
OG0000436	YJR107W	genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-2.84-mRNA-1_1&gene=genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-2.84&CDS=1-1119, maker-NODE_31_length_174203_cov_12.9361_ID_61-snap-gene-0.72-mRNA-1_1&gene=maker-NODE_31_length_174203_cov_12.9361_ID_61-snap-gene-0.72&CDS=1-1827
OG0000437	YJR126C	genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-3.120-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-3.120&CDS=1-2421, maker-NODE_9_length_318866_cov_12.6395_ID_17-snap-gene-1.83-mRNA-1_1&gene=maker-NODE_9_length_318866_cov_12.6395_ID_17-snap-gene-1.83&CDS=1-3015
OG0000438	YJR127C, YML081W	genemark-NODE_86_length_43082_cov_12.4802_ID_171-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_86_length_43082_cov_12.4802_ID_171-processed-gene-0.33&CDS=1-1377
OG0000439	YJR130C, YML082W	genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.16&CDS=1-1746
OG0000440	YJR152W	genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-1.41-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-1.41&CDS=1-1581, genemark-NODE_55_length_82496_cov_27.738_ID_109-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_55_length_82496_cov_27.738_ID_109-processed-gene-0.39&CDS=1-1548
OG0000441	YKL004W	genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-3.166-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-3.166&CDS=1-1242, genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-0.87&CDS=1-1239
OG0000442	YKL050C, YMR031C	augustus_masked-NODE_20_length_238563_cov_12.5791_ID_39-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_20_length_238563_cov_12.5791_ID_39-processed-gene-1.51&CDS=1-2826
OG0000443	YKL068W, YMR047C	genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-0.65&CDS=1-3237
OG0000444	YKL072W, YMR053C	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-1.91-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-1.91&CDS=1-2661
OG0000445	YKL094W	genemark-NODE_63_length_67103_cov_12.8034_ID_125-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_63_length_67103_cov_12.8034_ID_125-processed-gene-0.32&CDS=1-942, snap_masked-NODE_53_length_86924_cov_11.76_ID_105-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_53_length_86924_cov_11.76_ID_105-processed-gene-0.105&CDS=1-987
OG0000446	YKL121W, YMR102C	genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-1.153-mRNA-1_1&gene=genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-1.153&CDS=1-2934
OG0000447	YKL127W, YMR105C	genemark-NODE_57_length_77705_cov_13.3156_ID_113-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_57_length_77705_cov_13.3156_ID_113-processed-gene-0.51&CDS=1-1707
OG0000448	YKL140W	genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-0.92&CDS=1-1467, genemark-NODE_25_length_183651_cov_12.6735_ID_49-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_25_length_183651_cov_12.6735_ID_49-processed-gene-0.104&CDS=1-1485
OG0000449	YKL141W, YMR118C	genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.33&CDS=1-522
OG0000450	YKR039W	genemark-NODE_20_length_238563_cov_12.5791_ID_39-processed-gene-1.91-mRNA-1_1&gene=genemark-NODE_20_length_238563_cov_12.5791_ID_39-processed-gene-1.91&CDS=1-1803, maker-NODE_9_length_318866_cov_12.6395_ID_17-snap-gene-0.110-mRNA-1_1&gene=maker-NODE_9_length_318866_cov_12.6395_ID_17-snap-gene-0.110&CDS=1-3507
OG0000451	YKR076W, YMR251W	genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-0.76&CDS=1-963
OG0000452	YKR091W, YOR083W	snap_masked-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-0.122&CDS=1-1863
OG0000453	YKR093W	genemark-NODE_20_length_238563_cov_12.5791_ID_39-processed-gene-1.62-mRNA-1_1&gene=genemark-NODE_20_length_238563_cov_12.5791_ID_39-processed-gene-1.62&CDS=1-1839, genemark-NODE_25_length_183651_cov_12.6735_ID_49-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_25_length_183651_cov_12.6735_ID_49-processed-gene-0.86&CDS=1-1773
OG0000454	YLL012W, YLR020C	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-4.98-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-4.98&CDS=1-1341
OG0000455	YLL016W, YLR310C	genemark-NODE_53_length_86924_cov_11.76_ID_105-processed-gene-0.72-mRNA-1_1&gene=genemark-NODE_53_length_86924_cov_11.76_ID_105-processed-gene-0.72&CDS=1-4227
OG0000456	YLL029W	genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-1.29-mRNA-1_1&gene=genemark-NODE_18_length_248355_cov_19.3599_ID_35-processed-gene-1.29&CDS=1-2292, genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.132-mRNA-1_1&gene=genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.132&CDS=1-2346
OG0000457	YLL057C	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.36-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.36&CDS=1-1242, maker-NODE_79_length_50612_cov_13.6254_ID_157-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_79_length_50612_cov_13.6254_ID_157-snap-gene-0.0&CDS=1-2433
OG0000458	YLR094C	snap_masked-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-3.53-mRNA-1_1&gene=snap_masked-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-3.53&CDS=1-1287, snap_masked-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-0.64&CDS=1-1530
OG0000459	YLR109W	genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-0.33&CDS=1-579, genemark-NODE_6_length_344752_cov_12.4815_ID_11-processed-gene-2.148-mRNA-1_1&gene=genemark-NODE_6_length_344752_cov_12.4815_ID_11-processed-gene-2.148&CDS=1-498
OG0000460	YLR178C, YLR179C	snap_masked-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-1.43&CDS=1-720
