	Nakaseomyces_bracarensis	Saccharomyces_cerevisiae
OG0000524	snap_masked-CABR0S04-processed-gene-3.56-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.56&CDS=1-1836	YNL061W
OG0000525	snap_masked-CABR0S04-processed-gene-3.74-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.74&CDS=1-2262	YNL059C
OG0000526	snap_masked-CABR0S04-processed-gene-3.75-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.75&CDS=1-1155	YNL058C
OG0000527	snap_masked-CABR0S04-processed-gene-3.57-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.57&CDS=1-528	YNL056W
OG0000528	snap_masked-CABR0S04-processed-gene-3.58-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.58&CDS=1-2445	YNL068C
OG0000529	snap_masked-CABR0S04-processed-gene-3.76-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.76&CDS=1-1404	YNL071W
OG0000530	snap_masked-CABR0S04-processed-gene-3.77-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.77&CDS=1-912	YNL072W
OG0000531	snap_masked-CABR0S04-processed-gene-3.78-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.78&CDS=1-1626	YNL073W
OG0000532	genemark-CABR0S04-processed-gene-3.126-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-3.126&CDS=1-864	YNL075W
OG0000533	augustus_masked-CABR0S04-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-3.32&CDS=1-1968	YNL076W
OG0000534	snap_masked-CABR0S04-processed-gene-3.81-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.81&CDS=1-1428	YNL077W
OG0000535	maker-CABR0S04-augustus-gene-3.40-mRNA-1_1&gene=maker-CABR0S04-augustus-gene-3.40&CDS=1-1590	YGL100W
OG0000536	maker-CABR0S04-snap-gene-3.136-mRNA-1_1&gene=maker-CABR0S04-snap-gene-3.136&CDS=1-447	YGL103W
OG0000537	snap_masked-CABR0S04-processed-gene-3.86-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.86&CDS=1-1116	YGL105W
OG0000538	snap_masked-CABR0S04-processed-gene-3.87-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.87&CDS=1-423	YGL106W
OG0000539	snap_masked-CABR0S04-processed-gene-3.61-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.61&CDS=1-369	YGL108C
OG0000540	snap_masked-CABR0S04-processed-gene-3.62-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.62&CDS=1-1845	YGL110C
OG0000541	snap_masked-CABR0S04-processed-gene-4.102-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.102&CDS=1-1302	YGL111W
OG0000542	snap_masked-CABR0S04-processed-gene-4.103-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.103&CDS=1-2085	YGL113W
OG0000543	snap_masked-CABR0S04-processed-gene-4.104-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.104&CDS=1-2163	YGL114W
OG0000544	snap_masked-CABR0S04-processed-gene-4.105-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.105&CDS=1-969	YGL115W
OG0000545	snap_masked-CABR0S04-processed-gene-4.106-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.106&CDS=1-1815	YGL116W
OG0000546	genemark-CABR0S04-processed-gene-4.57-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-4.57&CDS=1-1611	YGL112C
OG0000547	snap_masked-CABR0S04-processed-gene-4.129-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.129&CDS=1-1617	YGL119W
OG0000548	snap_masked-CABR0S04-processed-gene-4.110-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.110&CDS=1-420	YGL121C
OG0000549	snap_masked-CABR0S04-processed-gene-4.111-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.111&CDS=1-1563	YGL122C
OG0000550	snap_masked-CABR0S04-processed-gene-4.130-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.130&CDS=1-771	YGL123W
OG0000551	genemark-CABR0S04-processed-gene-4.61-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-4.61&CDS=1-1749	YGL124C
OG0000552	genemark-CABR0S04-processed-gene-4.80-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-4.80&CDS=1-1797	YGL125W
OG0000553	snap_masked-CABR0S04-processed-gene-4.131-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.131&CDS=1-1455	YGL059W
OG0000554	genemark-CABR0S04-processed-gene-4.62-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-4.62&CDS=1-591	YGL061C
OG0000555	snap_masked-CABR0S04-processed-gene-4.134-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.134&CDS=1-366	YGL127C
OG0000556	snap_masked-CABR0S04-processed-gene-4.114-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.114&CDS=1-1122	YGL126W
OG0000557	snap_masked-CABR0S04-processed-gene-4.115-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.115&CDS=1-489	YGL058W
OG0000558	snap_masked-CABR0S04-processed-gene-4.116-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.116&CDS=1-1488	YGL055W
OG0000559	snap_masked-CABR0S04-processed-gene-4.136-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.136&CDS=1-408	YGL054C
OG0000560	snap_masked-CABR0S04-processed-gene-4.137-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.137&CDS=1-747	YLR301W
OG0000561	snap_masked-CABR0S04-processed-gene-4.139-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.139&CDS=1-1851	YLR299W
OG0000562	snap_masked-CABR0S04-processed-gene-4.118-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.118&CDS=1-561	YLR298C
OG0000563	snap_masked-CABR0S04-processed-gene-4.119-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.119&CDS=1-315	YLR295C
OG0000564	augustus_masked-CABR0S04-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-4.21&CDS=1-1314	YLR290C
OG0000565	augustus_masked-CABR0S04-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-4.41&CDS=1-1926	YLR289W
OG0000566	snap_masked-CABR0S04-processed-gene-4.123-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.123&CDS=1-564	YMR150C
OG0000567	augustus_masked-CABR0S04-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-4.42&CDS=1-1131	YMR149W
OG0000568	snap_masked-CABR0S04-processed-gene-4.124-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.124&CDS=1-1650	YMR145C
OG0000569	snap_masked-CABR0S04-processed-gene-4.144-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.144&CDS=1-915	YMR144W
OG0000570	snap_masked-CABR0S04-processed-gene-4.147-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.147&CDS=1-318	YDL081C
OG0000571	snap_masked-CABR0S04-processed-gene-4.148-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.148&CDS=1-1368	YMR140W
OG0000572	snap_masked-CABR0S04-processed-gene-4.149-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.149&CDS=1-597	YMR138W
OG0000573	augustus_masked-CABR0S04-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-4.24&CDS=1-2178	YMR137C
OG0000574	augustus_masked-CABR0S04-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-4.49&CDS=1-864	YDR272W
OG0000575	snap_masked-CABR0S04-processed-gene-4.152-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.152&CDS=1-774	YOR039W
OG0000576	snap_masked-CABR0S04-processed-gene-4.126-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.126&CDS=1-2991	YOR038C
OG0000577	augustus_masked-CABR0S04-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-4.51&CDS=1-1749	YOR036W
OG0000578	snap_masked-CABR0S04-processed-gene-4.127-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.127&CDS=1-2358	YOR035C
OG0000579	snap_masked-CABR0S04-processed-gene-5.0-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.0&CDS=1-1083	YOR032C
OG0000580	augustus_masked-CABR0S04-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.126&CDS=1-1692	YOR030W
OG0000581	augustus_masked-CABR0S04-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.127&CDS=1-735	YOR028C
OG0000582	snap_masked-CABR0S04-processed-gene-5.28-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.28&CDS=1-1731	YOR027W
OG0000583	snap_masked-CABR0S04-processed-gene-5.29-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.29&CDS=1-960	YOR026W
OG0000584	snap_masked-CABR0S04-processed-gene-5.30-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.30&CDS=1-1269	YOR025W
OG0000585	snap_masked-CABR0S04-processed-gene-5.31-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.31&CDS=1-318	YOR020C
OG0000586	snap_masked-CABR0S04-processed-gene-5.4-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.4&CDS=1-192	YOR020W-A
OG0000587	snap_masked-CABR0S04-processed-gene-5.32-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.32&CDS=1-639	YOR021C
OG0000588	snap_masked-CABR0S04-processed-gene-5.33-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.33&CDS=1-2184	YOR022C
OG0000589	augustus_masked-CABR0S04-processed-gene-5.157-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.157&CDS=1-1653	YOR023C
OG0000590	snap_masked-CABR0S04-processed-gene-5.5-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.5&CDS=1-690	YHR013C
OG0000591	snap_masked-CABR0S04-processed-gene-5.36-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.36&CDS=1-762	YHR012W
OG0000592	snap_masked-CABR0S04-processed-gene-5.37-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.37&CDS=1-1341	YHR011W
OG0000593	snap_masked-CABR0S04-processed-gene-5.6-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.6&CDS=1-1770	YHR009C
OG0000594	snap_masked-CABR0S04-processed-gene-5.7-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.7&CDS=1-708	YHR008C
OG0000595	snap_masked-CABR0S04-processed-gene-5.8-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.8&CDS=1-1599	YHR007C
OG0000596	maker-CABR0S04-snap-gene-5.65-mRNA-1_1&gene=maker-CABR0S04-snap-gene-5.65&CDS=1-1128	YML038C
OG0000597	augustus_masked-CABR0S04-processed-gene-5.163-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.163&CDS=1-1194	YML037C
OG0000598	genemark-CABR0S04-processed-gene-5.75-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.75&CDS=1-528	YML036W
OG0000599	snap_masked-CABR0S04-processed-gene-5.40-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.40&CDS=1-648	YBR072W
OG0000600	genemark-CABR0S04-processed-gene-5.76-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.76&CDS=1-720	YBR070C
OG0000601	genemark-CABR0S04-processed-gene-5.80-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.80&CDS=1-1101	YBR065C
OG0000602	maker-CABR0S04-snap-gene-5.66-mRNA-1_1&gene=maker-CABR0S04-snap-gene-5.66&CDS=1-1458	YDL106C
OG0000603	genemark-CABR0S04-processed-gene-5.81-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.81&CDS=1-1104	YDL105W
OG0000604	augustus_masked-CABR0S04-processed-gene-5.168-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.168&CDS=1-2352	YDL104C
OG0000605	snap_masked-CABR0S04-processed-gene-5.17-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.17&CDS=1-3519	YAL001C
OG0000606	snap_masked-CABR0S04-processed-gene-5.45-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.45&CDS=1-3753	YAL002W
OG0000607	snap_masked-CABR0S04-processed-gene-5.18-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.18&CDS=1-1905	YGL003C
OG0000608	augustus_masked-CABR0S04-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.143&CDS=1-1206	YGL004C
OG0000609	augustus_masked-CABR0S04-processed-gene-5.144-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.144&CDS=1-795	YGL005C
OG0000610	snap_masked-CABR0S04-processed-gene-5.49-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.49&CDS=1-3351	YGL006W
OG0000611	augustus_masked-CABR0S04-processed-gene-5.172-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.172&CDS=1-3192	YGL013C
OG0000612	genemark-CABR0S04-processed-gene-5.116-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.116&CDS=1-762	YGL011C
OG0000613	genemark-CABR0S04-processed-gene-5.117-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.117&CDS=1-846	YOR311C
OG0000614	augustus_masked-CABR0S04-processed-gene-5.148-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.148&CDS=1-804	YOR315W
OG0000615	genemark-CABR0S04-processed-gene-5.91-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.91&CDS=1-630	YOR319W
OG0000616	genemark-CABR0S04-processed-gene-5.119-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-5.119&CDS=1-1476	YOR320C
OG0000617	snap_masked-CABR0S04-processed-gene-5.55-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.55&CDS=1-1005	YOL053W
OG0000618	snap_masked-CABR0S04-processed-gene-5.56-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.56&CDS=1-1185	YOL054W
OG0000619	augustus_masked-CABR0S04-processed-gene-5.179-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.179&CDS=1-1074	YGR142W
OG0000620	snap_masked-CABR0S05-processed-gene-0.102-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.102&CDS=1-2217	YKL025C
OG0000621	snap_masked-CABR0S05-processed-gene-0.103-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.103&CDS=1-924	YKL024C
OG0000622	snap_masked-CABR0S05-processed-gene-0.104-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.104&CDS=1-2136	YKL022C
OG0000623	snap_masked-CABR0S05-processed-gene-0.86-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.86&CDS=1-1011	YKL019W
OG0000624	snap_masked-CABR0S05-processed-gene-0.105-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.105&CDS=1-246	YKL018C-A
OG0000625	snap_masked-CABR0S05-processed-gene-0.87-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.87&CDS=1-978	YKL018W
OG0000626	snap_masked-CABR0S05-processed-gene-0.106-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.106&CDS=1-2091	YKL017C
OG0000627	snap_masked-CABR0S05-processed-gene-0.107-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.107&CDS=1-528	YKL016C
OG0000628	snap_masked-CABR0S05-processed-gene-0.89-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.89&CDS=1-2409	YKL015W
OG0000629	snap_masked-CABR0S05-processed-gene-0.108-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.108&CDS=1-5034	YKL014C
OG0000630	snap_masked-CABR0S05-processed-gene-0.109-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.109&CDS=1-1338	YIR012W
OG0000631	genemark-CABR0S05-processed-gene-0.42-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-0.42&CDS=1-864	YIR011C
OG0000632	snap_masked-CABR0S05-processed-gene-0.110-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.110&CDS=1-1398	YIR010W
OG0000633	genemark-CABR0S05-processed-gene-0.43-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-0.43&CDS=1-2178	YIR007W
OG0000634	snap_masked-CABR0S05-processed-gene-0.111-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.111&CDS=1-1221	YIR008C
OG0000635	snap_masked-CABR0S05-processed-gene-0.91-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.91&CDS=1-339	YIR009W
OG0000636	snap_masked-CABR0S05-processed-gene-0.112-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.112&CDS=1-1053	YLR097C
OG0000637	snap_masked-CABR0S05-processed-gene-0.114-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.114&CDS=1-2601	YPR008W
OG0000638	augustus_masked-CABR0S05-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-0.7&CDS=1-1764	YPR007C
OG0000639	snap_masked-CABR0S05-processed-gene-0.93-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.93&CDS=1-1716	YPR006C
OG0000640	snap_masked-CABR0S05-processed-gene-0.94-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.94&CDS=1-852	YPR005C
OG0000641	snap_masked-CABR0S05-processed-gene-0.95-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.95&CDS=1-1005	YPR004C
OG0000642	snap_masked-CABR0S05-processed-gene-0.96-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.96&CDS=1-2190	YPR003C
OG0000643	snap_masked-CABR0S05-processed-gene-0.97-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.97&CDS=1-1341	YFR005C
OG0000644	genemark-CABR0S05-processed-gene-0.70-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-0.70&CDS=1-918	YFR004W
OG0000645	genemark-CABR0S05-processed-gene-0.72-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-0.72&CDS=1-1527	YPR002W
OG0000646	snap_masked-CABR0S05-processed-gene-0.117-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.117&CDS=1-1422	YPR001W
OG0000647	genemark-CABR0S05-processed-gene-0.74-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-0.74&CDS=1-1164	YPL001W
OG0000648	snap_masked-CABR0S05-processed-gene-0.98-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.98&CDS=1-714	YPL002C
OG0000649	snap_masked-CABR0S05-processed-gene-0.119-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.119&CDS=1-1311	YFL001W
OG0000650	snap_masked-CABR0S05-processed-gene-0.99-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.99&CDS=1-1851	YFL002C
OG0000651	snap_masked-CABR0S05-processed-gene-0.120-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.120&CDS=1-1317	YPL003W
OG0000652	snap_masked-CABR0S05-processed-gene-0.121-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.121&CDS=1-1857	YPL005W
OG0000653	snap_masked-CABR0S05-processed-gene-1.84-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.84&CDS=1-3537	YPL006W
OG0000654	snap_masked-CABR0S05-processed-gene-1.82-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.82&CDS=1-1761	YPL007C
OG0000655	genemark-CABR0S05-processed-gene-1.44-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.44&CDS=1-2502	YPL008W
OG0000656	genemark-CABR0S05-processed-gene-1.42-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.42&CDS=1-3051	YPL009C
OG0000657	snap_masked-CABR0S05-processed-gene-1.104-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.104&CDS=1-558	YPL010W
OG0000658	snap_masked-CABR0S05-processed-gene-1.85-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.85&CDS=1-2673	YOR211C
OG0000659	snap_masked-CABR0S05-processed-gene-1.105-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.105&CDS=1-210	YOR210W
OG0000660	snap_masked-CABR0S05-processed-gene-1.86-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.86&CDS=1-1290	YOR209C
OG0000661	snap_masked-CABR0S05-processed-gene-1.107-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.107&CDS=1-2043	YOR208W
OG0000662	genemark-CABR0S05-processed-gene-1.47-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.47&CDS=1-570	YOR215C
OG0000663	genemark-CABR0S05-processed-gene-1.49-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.49&CDS=1-675	YOR213C
OG0000664	genemark-CABR0S05-processed-gene-1.66-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.66&CDS=1-1254	YOR212W
OG0000665	snap_masked-CABR0S05-processed-gene-1.108-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.108&CDS=1-1401	YOR216C
OG0000666	snap_masked-CABR0S05-processed-gene-1.90-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.90&CDS=1-2661	YOR217W
OG0000667	augustus_masked-CABR0S05-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-1.28&CDS=1-2604	YOR219C
OG0000668	snap_masked-CABR0S05-processed-gene-1.91-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.91&CDS=1-2403	YFL009W
OG0000669	augustus_masked-CABR0S05-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-1.12&CDS=1-1680	YPL020C
OG0000670	snap_masked-CABR0S05-processed-gene-1.110-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.110&CDS=1-1113	YPL015C
OG0000671	snap_masked-CABR0S05-processed-gene-1.94-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.94&CDS=1-963	YPL014W
OG0000672	snap_masked-CABR0S05-processed-gene-1.111-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.111&CDS=1-363	YPL013C
OG0000673	snap_masked-CABR0S05-processed-gene-1.95-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.95&CDS=1-3642	YPL012W
OG0000674	snap_masked-CABR0S05-processed-gene-1.112-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.112&CDS=1-1212	YPL011C
OG0000675	snap_masked-CABR0S05-processed-gene-1.96-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.96&CDS=1-843	YML110C
OG0000676	snap_masked-CABR0S05-processed-gene-1.114-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.114&CDS=1-1011	YML112W
OG0000677	snap_masked-CABR0S05-processed-gene-1.115-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.115&CDS=1-672	YML113W
OG0000678	snap_masked-CABR0S05-processed-gene-1.97-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.97&CDS=1-1920	YML114C
OG0000679	genemark-CABR0S05-processed-gene-1.57-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.57&CDS=1-1542	YML115C
OG0000680	snap_masked-CABR0S05-processed-gene-1.117-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.117&CDS=1-3195	YML117W
OG0000681	snap_masked-CABR0S05-processed-gene-1.119-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.119&CDS=1-1122	YML119W
OG0000682	snap_masked-CABR0S05-processed-gene-1.99-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.99&CDS=1-1569	YML120C
OG0000683	genemark-CABR0S05-processed-gene-1.79-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.79&CDS=1-942	YML121W
OG0000684	snap_masked-CABR0S05-processed-gene-1.100-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.100&CDS=1-1761	YML123C
OG0000685	snap_masked-CABR0S05-processed-gene-1.101-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.101&CDS=1-1338	YML085C
OG0000686	snap_masked-CABR0S05-processed-gene-1.102-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.102&CDS=1-936	YML125C
OG0000687	snap_masked-CABR0S05-processed-gene-1.121-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.121&CDS=1-1842	YML127W
OG0000688	snap_masked-CABR0S05-processed-gene-1.103-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-1.103&CDS=1-1536	YML128C
OG0000689	snap_masked-CABR0S05-processed-gene-2.2-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.2&CDS=1-876	YDR233C
OG0000690	snap_masked-CABR0S05-processed-gene-2.5-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.5&CDS=1-1551	YDR232W
OG0000691	augustus_masked-CABR0S05-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-2.51&CDS=1-1407	YDR254W
OG0000692	snap_masked-CABR0S05-processed-gene-2.6-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.6&CDS=1-1284	YDR255C
OG0000693	maker-CABR0S05-snap-gene-2.141-mRNA-1_1&gene=maker-CABR0S05-snap-gene-2.141&CDS=1-846	YDR064W
OG0000694	snap_masked-CABR0S05-processed-gene-2.35-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.35&CDS=1-1698	YDR062W
OG0000695	snap_masked-CABR0S05-processed-gene-2.36-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.36&CDS=1-1665	YDR061W
OG0000696	augustus_masked-CABR0S05-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-CABR0S05-processed-gene-2.55&CDS=1-285	YBL026W
OG0000697	snap_masked-CABR0S05-processed-gene-2.8-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.8&CDS=1-1149	YDR065W
OG0000698	snap_masked-CABR0S05-processed-gene-2.38-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.38&CDS=1-657	YDR067C
OG0000699	genemark-CABR0S05-processed-gene-2.104-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-2.104&CDS=1-1113	YDR068W
OG0000700	snap_masked-CABR0S05-processed-gene-2.40-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.40&CDS=1-273	YDR070C
OG0000701	snap_masked-CABR0S05-processed-gene-2.41-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.41&CDS=1-576	YDR071C
