	Ogataea_parapolymorpha	Saccharomyces_cerevisiae
OG0000256	augustus_masked-NC_027860.1-processed-gene-14.70-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-14.70&CDS=1-747, genemark-NC_027861.1-processed-gene-11.121-mRNA-1_1&gene=genemark-NC_027861.1-processed-gene-11.121&CDS=1-2292	YLR126C
OG0000257	augustus_masked-NC_027861.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-0.2&CDS=1-1074, maker-NC_027866.1-augustus-gene-0.0-mRNA-1_1&gene=maker-NC_027866.1-augustus-gene-0.0&CDS=1-3615	YPL088W
OG0000258	augustus_masked-NC_027861.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-0.10&CDS=1-1260	YOR237W, YPL145C
OG0000259	snap_masked-NC_027861.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-0.77&CDS=1-4491	YCR073C, YNR031C
OG0000260	genemark-NC_027863.1-processed-gene-11.281-mRNA-1_1&gene=genemark-NC_027863.1-processed-gene-11.281&CDS=1-1329, snap_masked-NC_027861.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-0.83&CDS=1-1212	YPR125W
OG0000261	augustus_masked-NC_027861.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-1.82&CDS=1-3540, augustus_masked-NC_027861.1-processed-gene-11.32-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.32&CDS=1-1641	YOR348C
OG0000262	maker-NC_027861.1-augustus-gene-1.6-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-1.6&CDS=1-1881	YDL246C, YJR159W
OG0000263	augustus_masked-NC_027861.1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-1.108&CDS=1-4137	YCR073W-A, YNR034W
OG0000264	augustus_masked-NC_027861.1-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-1.118&CDS=1-3375	YGR010W, YLR328W
OG0000265	augustus_masked-NC_027861.1-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-1.96&CDS=1-534	YLR456W, YPR172W
OG0000266	augustus_masked-NC_027861.1-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-1.98&CDS=1-840, augustus_masked-NC_027862.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-0.72&CDS=1-864	YJR096W
OG0000267	augustus_masked-NC_027861.1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-1.120&CDS=1-4680	YCR031C, YJL191W
OG0000268	maker-NC_027861.1-snap-gene-2.187-mRNA-1_1&gene=maker-NC_027861.1-snap-gene-2.187&CDS=1-4149, maker-NC_027866.1-augustus-gene-4.1-mRNA-1_1&gene=maker-NC_027866.1-augustus-gene-4.1&CDS=1-3213	YOR296W
OG0000269	augustus_masked-NC_027861.1-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-2.112&CDS=1-7680, augustus_masked-NC_027862.1-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-8.89&CDS=1-4383	YOR290C
OG0000270	maker-NC_027861.1-augustus-gene-2.4-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-2.4&CDS=1-2490	YHR203C, YJR145C
OG0000271	augustus_masked-NC_027861.1-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-3.65&CDS=1-360	YER131W, YGL189C
OG0000272	snap_masked-NC_027861.1-processed-gene-4.70-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-4.70&CDS=1-273	YMR253C, YPL264C
OG0000273	maker-NC_027861.1-snap-gene-4.127-mRNA-1_1&gene=maker-NC_027861.1-snap-gene-4.127&CDS=1-3645	YGL133W, YPL216W
OG0000274	augustus_masked-NC_027861.1-processed-gene-4.156-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-4.156&CDS=1-1140	YBR042C, YDR018C
OG0000275	augustus_masked-NC_027861.1-processed-gene-11.7-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.7&CDS=1-2703, augustus_masked-NC_027861.1-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-5.129&CDS=1-1296	YER152C
OG0000276	genemark-NC_027861.1-processed-gene-5.28-mRNA-1_1&gene=genemark-NC_027861.1-processed-gene-5.28&CDS=1-2352	YOR256C, YPL176C
OG0000277	augustus_masked-NC_027861.1-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.68&CDS=1-1464	YDR200C, YLR238W
OG0000278	augustus_masked-NC_027861.1-processed-gene-12.151-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.151&CDS=1-2541, augustus_masked-NC_027861.1-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.102&CDS=1-2364	YLR241W
OG0000279	augustus_masked-NC_027861.1-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.71&CDS=1-2286	YDR206W, YLR233C
OG0000280	snap_masked-NC_027861.1-processed-gene-6.51-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-6.51&CDS=1-2454	YKL072W, YMR053C
OG0000281	augustus_masked-NC_027861.1-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.78&CDS=1-2607, augustus_masked-NC_027864.1-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-2.139&CDS=1-3678	YOR270C
OG0000282	augustus_masked-NC_027861.1-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.110&CDS=1-1674	YLL010C, YLR019W
OG0000283	augustus_masked-NC_027861.1-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.88&CDS=1-306	YGR209C, YLR043C
OG0000284	augustus_masked-NC_027861.1-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.82&CDS=1-6345	YGR092W, YPR111W
OG0000285	augustus_masked-NC_027861.1-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.92&CDS=1-555	YJL177W, YKL180W
OG0000286	maker-NC_027861.1-augustus-gene-7.3-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-7.3&CDS=1-2097	YJL139C, YKR061W
OG0000287	augustus_masked-NC_027866.1-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-7.77&CDS=1-741, maker-NC_027861.1-augustus-gene-8.8-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-8.8&CDS=1-1509	YDR090C
OG0000288	augustus_masked-NC_027861.1-processed-gene-8.125-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.125&CDS=1-1674	YJR130C, YML082W
OG0000289	augustus_masked-NC_027861.1-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.80&CDS=1-510	YKL141W, YMR118C
OG0000290	augustus_masked-NC_027861.1-processed-gene-9.102-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.102&CDS=1-3150	YLR450W, YML075C
OG0000291	augustus_masked-NC_027861.1-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.90&CDS=1-381	YGR034W, YLR344W
OG0000292	augustus_masked-NC_027861.1-processed-gene-9.110-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.110&CDS=1-1080	YBR205W, YOR099W
OG0000293	augustus_masked-NC_027861.1-processed-gene-9.92-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.92&CDS=1-1185	YGR141W, YPR157W
OG0000294	augustus_masked-NC_027861.1-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.118&CDS=1-1710	YIL085C, YNL029C
OG0000295	augustus_masked-NC_027861.1-processed-gene-10.61-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.61&CDS=1-1074, maker-NC_027864.1-snap-gene-10.1-mRNA-1_1&gene=maker-NC_027864.1-snap-gene-10.1&CDS=1-1320	YEL046C
OG0000296	augustus_masked-NC_027861.1-processed-gene-11.37-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.37&CDS=1-1299	YLL012W, YLR020C
OG0000297	augustus_masked-NC_027861.1-processed-gene-11.40-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.40&CDS=1-1794, augustus_masked-NC_027864.1-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-8.44&CDS=1-1449	YLR034C
OG0000298	augustus_masked-NC_027862.1-processed-gene-12.142-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-12.142&CDS=1-468, snap_masked-NC_027861.1-processed-gene-11.106-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-11.106&CDS=1-594	YIR001C
OG0000299	snap_masked-NC_027861.1-processed-gene-11.108-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-11.108&CDS=1-1902, snap_masked-NC_027864.1-processed-gene-9.23-mRNA-1_1&gene=snap_masked-NC_027864.1-processed-gene-9.23&CDS=1-2490	YPL248C
OG0000300	augustus_masked-NC_027861.1-processed-gene-11.23-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.23&CDS=1-1371	YGR279C, YMR305C
OG0000301	augustus_masked-NC_027866.1-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-7.105&CDS=1-372, snap_masked-NC_027861.1-processed-gene-12.95-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-12.95&CDS=1-405	YKL192C
OG0000302	maker-NC_027861.1-augustus-gene-12.168-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-12.168&CDS=1-3828	YMR186W, YPL240C
OG0000303	augustus_masked-NC_027863.1-processed-gene-7.172-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-7.172&CDS=1-1401, snap_masked-NC_027861.1-processed-gene-12.99-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-12.99&CDS=1-1323	YKL140W
OG0000304	augustus_masked-NC_027861.1-processed-gene-12.153-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.153&CDS=1-1665	YIR031C, YNL117W
OG0000305	maker-NC_027861.1-augustus-gene-12.164-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-12.164&CDS=1-936	YGR243W, YHR162W
OG0000306	augustus_masked-NC_027861.1-processed-gene-12.158-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.158&CDS=1-396	YHL001W, YKL006W
OG0000307	augustus_masked-NC_027861.1-processed-gene-13.149-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-13.149&CDS=1-1932, augustus_masked-NC_027862.1-processed-gene-10.159-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-10.159&CDS=1-1890	YMR058W
OG0000308	snap_masked-NC_027861.1-processed-gene-13.80-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-13.80&CDS=1-309	YBR009C, YNL030W
OG0000309	augustus_masked-NC_027861.1-processed-gene-13.164-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-13.164&CDS=1-3672	YDR251W, YPL032C
OG0000310	augustus_masked-NC_027861.1-processed-gene-14.11-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-14.11&CDS=1-1194	YHL003C, YKL008C
OG0000311	augustus_masked-NC_027862.1-processed-gene-10.166-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-10.166&CDS=1-2352, maker-NC_027861.1-snap-gene-14.74-mRNA-1_1&gene=maker-NC_027861.1-snap-gene-14.74&CDS=1-3576	YPR181C
OG0000312	augustus_masked-NC_027861.1-processed-gene-14.56-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-14.56&CDS=1-360, snap_masked-NC_027866.1-processed-gene-3.3-mRNA-1_1&gene=snap_masked-NC_027866.1-processed-gene-3.3&CDS=1-345	YNL111C
OG0000313	augustus_masked-NC_027862.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-0.68&CDS=1-1452, augustus_masked-NC_027862.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-0.94&CDS=1-1980	YCR023C
OG0000314	augustus_masked-NC_027862.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-0.80&CDS=1-321	YGR027C, YLR333C
OG0000315	augustus_masked-NC_027862.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-0.82&CDS=1-4956	YBR218C, YGL062W
OG0000316	augustus_masked-NC_027863.1-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-1.102&CDS=1-2415, snap_masked-NC_027862.1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NC_027862.1-processed-gene-1.85&CDS=1-3579	YEL061C
OG0000317	augustus_masked-NC_027862.1-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-1.178&CDS=1-597	YBL072C, YER102W
OG0000318	maker-NC_027862.1-snap-gene-2.3-mRNA-1_1&gene=maker-NC_027862.1-snap-gene-2.3&CDS=1-618	YGR136W, YPR154W
OG0000319	augustus_masked-NC_027862.1-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-2.54&CDS=1-2436	YBR001C, YDR001C
OG0000320	augustus_masked-NC_027862.1-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-2.30&CDS=1-1023	YDR277C, YOR047C
OG0000321	augustus_masked-NC_027862.1-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-2.34&CDS=1-2055, augustus_masked-NC_027862.1-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-3.21&CDS=1-1902	YMR216C
OG0000322	augustus_masked-NC_027862.1-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-2.41&CDS=1-1194	YKR091W, YOR083W
OG0000323	augustus_masked-NC_027862.1-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-2.68&CDS=1-654	YBR242W, YGL101W
OG0000324	maker-NC_027862.1-augustus-gene-2.2-mRNA-1_1&gene=maker-NC_027862.1-augustus-gene-2.2&CDS=1-1827	YBR241C, YGL104C
OG0000325	maker-NC_027862.1-snap-gene-3.98-mRNA-1_1&gene=maker-NC_027862.1-snap-gene-3.98&CDS=1-1677	YBR183W, YPL087W
OG0000326	augustus_masked-NC_027862.1-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-3.26&CDS=1-3666	YDR471W, YHR010W
OG0000327	augustus_masked-NC_027862.1-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-3.27&CDS=1-8241	YBR140C, YOL081W
OG0000328	snap_masked-NC_027862.1-processed-gene-4.30-mRNA-1_1&gene=snap_masked-NC_027862.1-processed-gene-4.30&CDS=1-804	YAL015C, YOL043C
OG0000329	augustus_masked-NC_027862.1-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-4.17&CDS=1-1494, snap_masked-NC_027862.1-processed-gene-4.38-mRNA-1_1&gene=snap_masked-NC_027862.1-processed-gene-4.38&CDS=1-2655	YNL243W
OG0000330	augustus_masked-NC_027862.1-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-4.8&CDS=1-570, maker-NC_027862.1-snap-gene-4.26-mRNA-1_1&gene=maker-NC_027862.1-snap-gene-4.26&CDS=1-1092	YCR097W
OG0000331	augustus_masked-NC_027862.1-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-4.19&CDS=1-2808	YGR238C, YHR158C
OG0000332	augustus_masked-NC_027862.1-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-4.20&CDS=1-1269	YDR151C, YLR136C
OG0000333	augustus_masked-NC_027862.1-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-5.114&CDS=1-4071	YFR022W, YOR018W
OG0000334	augustus_masked-NC_027862.1-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-5.99&CDS=1-876	YHR133C, YNL156C
OG0000335	augustus_masked-NC_027862.1-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-5.116&CDS=1-375	YHR132W-A, YNL157W
OG0000336	augustus_masked-NC_027862.1-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-5.110&CDS=1-1284	YJR054W, YML047C
OG0000337	augustus_masked-NC_027862.1-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-6.79&CDS=1-1704	YHR131C, YNL144C
OG0000338	maker-NC_027862.1-augustus-gene-6.4-mRNA-1_1&gene=maker-NC_027862.1-augustus-gene-6.4&CDS=1-3957	YCL040W, YDR516C
OG0000339	augustus_masked-NC_027862.1-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-7.36&CDS=1-315	YCL035C, YDR513W
OG0000340	augustus_masked-NC_027862.1-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-7.9&CDS=1-732	YEL007W, YHR177W
OG0000341	augustus_masked-NC_027862.1-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-7.17&CDS=1-4590, augustus_masked-NC_027865.1-processed-gene-7.94-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.94&CDS=1-5457	YDR135C
OG0000342	augustus_masked-NC_027862.1-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-7.48&CDS=1-1287	YMR230W, YOR293W
OG0000343	augustus_masked-NC_027862.1-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-8.74&CDS=1-1221, augustus_masked-NC_027863.1-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-6.7&CDS=1-1143	YLR210W
OG0000344	augustus_masked-NC_027862.1-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-8.100&CDS=1-3048	YGL049C, YGR162W
OG0000345	augustus_masked-NC_027862.1-processed-gene-9.69-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-9.69&CDS=1-2031	YGR221C, YHR149C
OG0000346	maker-NC_027862.1-augustus-gene-9.187-mRNA-1_1&gene=maker-NC_027862.1-augustus-gene-9.187&CDS=1-435	YDL083C, YMR143W
OG0000347	augustus_masked-NC_027862.1-processed-gene-9.78-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-9.78&CDS=1-591	YDL082W, YMR142C
OG0000348	augustus_masked-NC_027862.1-processed-gene-9.85-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-9.85&CDS=1-2442, augustus_masked-NC_027865.1-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.75&CDS=1-2727	YJL108C
OG0000349	augustus_masked-NC_027862.1-processed-gene-9.116-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-9.116&CDS=1-1032	YER045C, YIL036W
OG0000350	augustus_masked-NC_027862.1-processed-gene-10.154-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-10.154&CDS=1-513	YGR085C, YPR102C
OG0000351	augustus_masked-NC_027862.1-processed-gene-10.142-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-10.142&CDS=1-1101, augustus_masked-NC_027863.1-processed-gene-7.189-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-7.189&CDS=1-1098	YGL023C
OG0000352	augustus_masked-NC_027862.1-processed-gene-10.168-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-10.168&CDS=1-2691	YDR418W, YEL054C
OG0000353	augustus_masked-NC_027862.1-processed-gene-12.126-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-12.126&CDS=1-3306, genemark-NC_027862.1-processed-gene-11.9-mRNA-1_1&gene=genemark-NC_027862.1-processed-gene-11.9&CDS=1-5043	YNL271C
OG0000354	maker-NC_027862.1-snap-gene-11.61-mRNA-1_1&gene=maker-NC_027862.1-snap-gene-11.61&CDS=1-1296	YOR234C, YPL143W
OG0000355	augustus_masked-NC_027862.1-processed-gene-12.106-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-12.106&CDS=1-4083, maker-NC_027865.1-augustus-gene-5.10-mRNA-1_1&gene=maker-NC_027865.1-augustus-gene-5.10&CDS=1-6696	YGR281W
OG0000356	augustus_masked-NC_027862.1-processed-gene-12.139-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-12.139&CDS=1-1764, augustus_masked-NC_027866.1-processed-gene-4.203-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-4.203&CDS=1-1794	YDL206W
OG0000357	augustus_masked-NC_027862.1-processed-gene-12.115-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-12.115&CDS=1-660	YML106W, YMR271C
OG0000358	augustus_masked-NC_027862.1-processed-gene-12.159-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-12.159&CDS=1-1299	YBR177C, YPL095C
OG0000359	augustus_masked-NC_027862.1-processed-gene-12.129-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-12.129&CDS=1-804	YPR013C, YPR015C
OG0000360	augustus_masked-NC_027863.1-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-1.100&CDS=1-1773, augustus_masked-NC_027865.1-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.84&CDS=1-1650	YBR132C
OG0000361	genemark-NC_027863.1-processed-gene-1.176-mRNA-1_1&gene=genemark-NC_027863.1-processed-gene-1.176&CDS=1-1494	YBR214W, YGL056C
OG0000362	genemark-NC_027863.1-processed-gene-2.27-mRNA-1_1&gene=genemark-NC_027863.1-processed-gene-2.27&CDS=1-957	YHR021C, YKL156W
OG0000363	augustus_masked-NC_027863.1-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-2.115&CDS=1-1827, augustus_masked-NC_027865.1-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-0.146&CDS=1-1809	YFL053W
OG0000364	snap_masked-NC_027863.1-processed-gene-2.172-mRNA-1_1&gene=snap_masked-NC_027863.1-processed-gene-2.172&CDS=1-1110	YDR312W, YHR066W
OG0000365	augustus_masked-NC_027863.1-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-3.54&CDS=1-885	YBR014C, YDL010W
OG0000366	maker-NC_027863.1-augustus-gene-3.160-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-3.160&CDS=1-465	YBR048W, YDR025W
OG0000367	genemark-NC_027863.1-processed-gene-3.17-mRNA-1_1&gene=genemark-NC_027863.1-processed-gene-3.17&CDS=1-411	YEL034W, YJR047C
OG0000368	augustus_masked-NC_027863.1-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-3.73&CDS=1-1620	YHL017W, YKL039W
OG0000369	maker-NC_027863.1-snap-gene-4.133-mRNA-1_1&gene=maker-NC_027863.1-snap-gene-4.133&CDS=1-879	YDL175C, YIL079C
OG0000370	augustus_masked-NC_027863.1-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-4.61&CDS=1-1725	YBR270C, YJL058C
OG0000371	augustus_masked-NC_027863.1-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-5.66&CDS=1-14595	YDR111C, YLR089C
OG0000372	augustus_masked-NC_027863.1-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-5.75&CDS=1-2055, snap_masked-NC_027864.1-processed-gene-1.123-mRNA-1_1&gene=snap_masked-NC_027864.1-processed-gene-1.123&CDS=1-2202	YLL029W
OG0000373	augustus_masked-NC_027863.1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-5.101&CDS=1-1119	YNL108C, YOR110W
OG0000374	augustus_masked-NC_027863.1-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-5.83&CDS=1-2409	YDR069C, YER144C
OG0000375	augustus_masked-NC_027863.1-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-6.1&CDS=1-1053, augustus_masked-NC_027864.1-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-4.93&CDS=1-1662	YKR066C
OG0000376	maker-NC_027863.1-augustus-gene-6.167-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-6.167&CDS=1-471	YBL087C, YER117W
OG0000377	augustus_masked-NC_027863.1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-6.12&CDS=1-1626, snap_masked-NC_027865.1-processed-gene-4.122-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-4.122&CDS=1-1914	YDL138W
OG0000378	augustus_masked-NC_027863.1-processed-gene-10.61-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-10.61&CDS=1-630, augustus_masked-NC_027863.1-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-6.19&CDS=1-633	YGR201C
OG0000379	augustus_masked-NC_027863.1-processed-gene-7.182-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-7.182&CDS=1-1314, augustus_masked-NC_027866.1-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.71&CDS=1-1674	YML054C
OG0000380	maker-NC_027863.1-augustus-gene-7.206-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-7.206&CDS=1-3588	YDR409W, YOR156C
OG0000381	augustus_masked-NC_027863.1-processed-gene-7.173-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-7.173&CDS=1-3441	YPR169W-A, YPR170W-B
OG0000382	augustus_masked-NC_027863.1-processed-gene-11.197-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-11.197&CDS=1-1236, maker-NC_027863.1-augustus-gene-7.209-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-7.209&CDS=1-1899	YPR061C
OG0000383	augustus_masked-NC_027863.1-processed-gene-7.203-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-7.203&CDS=1-861	YBR104W, YPR058W
OG0000384	maker-NC_027863.1-augustus-gene-8.153-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-8.153&CDS=1-3090	YML100W, YMR261C
OG0000385	augustus_masked-NC_027863.1-processed-gene-9.88-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-9.88&CDS=1-1860	YDR107C, YLR083C
