	Saccharomyces_cerevisiae	Spathaspora_arborariae
OG0000181	YBR161W, YPL057C	genemark-KI547153.1-processed-gene-0.277-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.277&CDS=1-1293
OG0000182	YBR172C, YPL105C	genemark-KI547144.1-processed-gene-1.56-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-1.56&CDS=1-2619
OG0000183	YBR177C, YPL095C	genemark-KI547134.1-processed-gene-7.104-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-7.104&CDS=1-1284
OG0000184	YBR181C, YPL090C	augustus_masked-KI547145.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-KI547145.1-processed-gene-0.74&CDS=1-708
OG0000185	YBR191W, YPL079W	genemark-KI547155.1-processed-gene-0.203-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.203&CDS=1-480
OG0000186	YBR214W, YGL056C	genemark-KI547135.1-processed-gene-11.58-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-11.58&CDS=1-1749
OG0000187	YBR216C, YGL060W	genemark-KI547135.1-processed-gene-2.28-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-2.28&CDS=1-2025
OG0000188	YBR238C, YGL107C	genemark-KI547140.1-processed-gene-2.56-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-2.56&CDS=1-1908
OG0000189	YBR241C, YGL104C	augustus_masked-KI547137.1-processed-gene-4.153-mRNA-1_1&gene=augustus_masked-KI547137.1-processed-gene-4.153&CDS=1-3537
OG0000190	YBR244W, YIR037W	genemark-KI547138.1-processed-gene-1.64-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-1.64&CDS=1-486
OG0000191	YBR280C	genemark-KI547144.1-processed-gene-4.29-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-4.29&CDS=1-1215, maker-KI547138.1-augustus-gene-6.2-mRNA-1_1&gene=maker-KI547138.1-augustus-gene-6.2&CDS=1-2184
OG0000192	YCL011C, YNL004W	augustus_masked-KI547154.1-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-KI547154.1-processed-gene-0.122&CDS=1-1995
OG0000193	YCL035C, YDR513W	genemark-KI547134.1-processed-gene-12.169-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.169&CDS=1-354
OG0000194	YCL040W, YDR516C	genemark-KI547148.1-processed-gene-0.54-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-0.54&CDS=1-1428
OG0000195	YCL043C	augustus_masked-KI547149.1-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-KI547149.1-processed-gene-1.93&CDS=1-1635, genemark-KI547149.1-processed-gene-2.135-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.135&CDS=1-1689
OG0000196	YCL048W, YDR522C	genemark-KI547135.1-processed-gene-4.61-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-4.61&CDS=1-1266
OG0000197	YCL050C, YDR530C	genemark-KI547138.1-processed-gene-6.64-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.64&CDS=1-960
OG0000198	YCL051W, YDR528W	augustus_masked-KI547160.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-KI547160.1-processed-gene-0.21&CDS=1-1188
OG0000199	YCL068C, YCR038C	genemark-KI547148.1-processed-gene-3.103-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-3.103&CDS=1-4374
OG0000200	YCR009C	genemark-KI547154.1-processed-gene-0.231-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.231&CDS=1-798, genemark-KI547156.1-processed-gene-0.217-mRNA-1_1&gene=genemark-KI547156.1-processed-gene-0.217&CDS=1-786
OG0000201	YCR031C, YJL191W	snap_masked-KI547135.1-processed-gene-12.27-mRNA-1_1&gene=snap_masked-KI547135.1-processed-gene-12.27&CDS=1-408
OG0000202	YCR044C	genemark-KI547143.1-processed-gene-4.23-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-4.23&CDS=1-1119, genemark-KI547143.1-processed-gene-4.37-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-4.37&CDS=1-1020
OG0000203	YCR048W, YNR019W	genemark-KI547153.1-processed-gene-0.265-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.265&CDS=1-1740
OG0000204	YCR067C, YNR026C	genemark-KI547138.1-processed-gene-3.111-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-3.111&CDS=1-2541
OG0000205	YCR073C, YNR031C	genemark-KI547144.1-processed-gene-3.72-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-3.72&CDS=1-4320
OG0000206	YCR073W-A, YNR034W	genemark-KI547150.1-processed-gene-1.112-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-1.112&CDS=1-996
OG0000207	YCR102C, YLR460C, YNL134C	
OG0000208	YCR105W, YMR318C	genemark-KI547138.1-processed-gene-4.86-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-4.86&CDS=1-1101
OG0000209	YDL022W	genemark-KI547138.1-processed-gene-4.79-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-4.79&CDS=1-1122, genemark-KI547150.1-processed-gene-1.106-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-1.106&CDS=1-1182
OG0000210	YDL048C, YLR375W	genemark-KI547140.1-processed-gene-5.49-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.49&CDS=1-1158
OG0000211	YDL049C, YJL174W	genemark-KI547144.1-processed-gene-3.47-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-3.47&CDS=1-819
OG0000212	YDL075W, YLR406C	maker-KI547136.1-augustus-gene-2.149-mRNA-1_1&gene=maker-KI547136.1-augustus-gene-2.149&CDS=1-336
OG0000213	YDL081C	augustus_masked-KI547151.1-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-KI547151.1-processed-gene-1.34&CDS=1-321, genemark-KI547134.1-processed-gene-10.18-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-10.18&CDS=1-321
OG0000214	YDL082W, YMR142C	genemark-KI547134.1-processed-gene-10.35-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-10.35&CDS=1-606
OG0000215	YDL083C, YMR143W	augustus_masked-KI547134.1-processed-gene-10.60-mRNA-1_1&gene=augustus_masked-KI547134.1-processed-gene-10.60&CDS=1-426
OG0000216	YDL088C, YMR153W	genemark-KI547139.1-processed-gene-2.89-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-2.89&CDS=1-1278
OG0000217	YDL109C, YGL144C	augustus_masked-KI547146.1-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-KI547146.1-processed-gene-1.58&CDS=1-2199
OG0000218	YDL127W, YDL179W	genemark-KI547135.1-processed-gene-12.201-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.201&CDS=1-849
OG0000219	YDL131W	genemark-KI547134.1-processed-gene-5.72-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-5.72&CDS=1-1329, genemark-KI547136.1-processed-gene-2.130-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-2.130&CDS=1-1239
OG0000220	YDL136W, YDL191W	genemark-KI547141.1-processed-gene-0.21-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-0.21&CDS=1-360
OG0000221	YDL161W, YLR206W	genemark-KI547140.1-processed-gene-5.16-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.16&CDS=1-1554
OG0000222	YDL210W	genemark-KI547137.1-processed-gene-7.160-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-7.160&CDS=1-1662, genemark-KI547148.1-processed-gene-2.91-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-2.91&CDS=1-1671
OG0000223	YDL224C, YNL197C	genemark-KI547154.1-processed-gene-0.195-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.195&CDS=1-2064
OG0000224	YDL229W, YNL209W	genemark-KI547142.1-processed-gene-4.172-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.172&CDS=1-1839
OG0000225	YDR066C, YER139C	genemark-KI547138.1-processed-gene-2.57-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-2.57&CDS=1-792
OG0000226	YDR098C, YER174C	genemark-KI547139.1-processed-gene-5.55-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-5.55&CDS=1-717
OG0000227	YDR099W, YER177W	genemark-KI547134.1-processed-gene-7.94-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-7.94&CDS=1-774
OG0000228	YDR107C, YLR083C	snap_masked-KI547139.1-processed-gene-5.10-mRNA-1_1&gene=snap_masked-KI547139.1-processed-gene-5.10&CDS=1-3339
OG0000229	YDR122W, YLR096W	maker-KI547152.1-snap-gene-1.75-mRNA-1_1&gene=maker-KI547152.1-snap-gene-1.75&CDS=1-4119
OG0000230	YDR125C, YLR099C	genemark-KI547141.1-processed-gene-3.79-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-3.79&CDS=1-1491
OG0000231	YDR132C, YLR108C	genemark-KI547139.1-processed-gene-5.60-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-5.60&CDS=1-1290
OG0000232	YDR134C, YLR110C	genemark-KI547135.1-processed-gene-7.94-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.94&CDS=1-558
OG0000233	YDR143C	genemark-KI547142.1-processed-gene-3.66-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-3.66&CDS=1-1314, genemark-KI547158.1-processed-gene-0.93-mRNA-1_1&gene=genemark-KI547158.1-processed-gene-0.93&CDS=1-1566
OG0000234	YDR151C, YLR136C	genemark-KI547150.1-processed-gene-0.60-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-0.60&CDS=1-1125
OG0000235	YDR200C, YLR238W	genemark-KI547134.1-processed-gene-6.148-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-6.148&CDS=1-1761
OG0000236	YDR206W, YLR233C	genemark-KI547146.1-processed-gene-0.91-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-0.91&CDS=1-2541
OG0000237	YDR213W, YLR228C	genemark-KI547135.1-processed-gene-12.166-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.166&CDS=1-2151
OG0000238	YDR223W, YLR223C	genemark-KI547146.1-processed-gene-3.39-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-3.39&CDS=1-2373
OG0000239	YDR247W, YPL026C	genemark-KI547134.1-processed-gene-9.115-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-9.115&CDS=1-1566
OG0000240	YDR251W, YPL032C	augustus_masked-KI547135.1-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-5.37&CDS=1-2442
OG0000241	YDR252W, YPL037C	genemark-KI547135.1-processed-gene-5.54-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-5.54&CDS=1-471
OG0000242	YDR263C, YOR033C	genemark-KI547143.1-processed-gene-2.73-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-2.73&CDS=1-1731
OG0000243	YDR272W, YOR040W	augustus_masked-KI547150.1-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-KI547150.1-processed-gene-2.96&CDS=1-765
OG0000244	YDR300C, YHR033W	genemark-KI547142.1-processed-gene-0.78-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-0.78&CDS=1-1278
OG0000245	YDR312W, YHR066W	genemark-KI547142.1-processed-gene-2.81-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-2.81&CDS=1-1266
OG0000246	YDR348C, YHR097C	genemark-KI547141.1-processed-gene-1.61-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-1.61&CDS=1-1404
OG0000247	YDR351W, YHR103W	genemark-KI547144.1-processed-gene-1.78-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-1.78&CDS=1-2316
OG0000248	YDR379W, YOR127W	genemark-KI547145.1-processed-gene-1.67-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-1.67&CDS=1-3150
OG0000249	YDR382W	genemark-KI547141.1-processed-gene-5.85-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-5.85&CDS=1-333, genemark-KI547142.1-processed-gene-4.155-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.155&CDS=1-354
OG0000250	YDR385W, YOR133W	augustus_masked-KI547139.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-KI547139.1-processed-gene-0.97&CDS=1-2526
OG0000251	YDR389W, YOR134W	maker-KI547154.1-augustus-gene-0.96-mRNA-1_1&gene=maker-KI547154.1-augustus-gene-0.96&CDS=1-2928
OG0000252	YDR409W, YOR156C	genemark-KI547134.1-processed-gene-12.108-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.108&CDS=1-3855
OG0000253	YDR418W, YEL054C	genemark-KI547141.1-processed-gene-1.52-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-1.52&CDS=1-495
OG0000254	YDR447C, YML024W	genemark-KI547135.1-processed-gene-12.207-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.207&CDS=1-411
OG0000255	YDR450W, YML026C	maker-KI547159.1-augustus-gene-0.102-mRNA-1_1&gene=maker-KI547159.1-augustus-gene-0.102&CDS=1-435
OG0000256	YDR451C, YML027W	genemark-KI547159.1-processed-gene-0.62-mRNA-1_1&gene=genemark-KI547159.1-processed-gene-0.62&CDS=1-1155
OG0000257	YDR453C, YML028W	genemark-KI547140.1-processed-gene-3.39-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-3.39&CDS=1-588
OG0000258	YDR458C, YML034W	genemark-KI547138.1-processed-gene-6.33-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.33&CDS=1-2304
OG0000259	YDR497C, YOL103W	snap_masked-KI547136.1-processed-gene-6.128-mRNA-1_1&gene=snap_masked-KI547136.1-processed-gene-6.128&CDS=1-1680
OG0000260	YDR500C, YLR185W	genemark-KI547134.1-processed-gene-3.77-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.77&CDS=1-264
OG0000261	YDR501W, YLR183C	genemark-KI547134.1-processed-gene-3.59-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.59&CDS=1-1536
OG0000262	YDR505C, YLR177W	genemark-KI547134.1-processed-gene-3.61-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.61&CDS=1-2208
OG0000263	YEL006W, YIL006W	augustus_masked-KI547150.1-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-KI547150.1-processed-gene-2.110&CDS=1-3084
OG0000264	YEL007W, YHR177W	genemark-KI547135.1-processed-gene-8.38-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.38&CDS=1-1788
OG0000265	YEL009C	genemark-KI547147.1-processed-gene-3.8-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.8&CDS=1-894, genemark-KI547150.1-processed-gene-2.74-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-2.74&CDS=1-858
OG0000266	YEL022W, YJR031C	genemark-KI547158.1-processed-gene-0.91-mRNA-1_1&gene=genemark-KI547158.1-processed-gene-0.91&CDS=1-4581
OG0000267	YEL034W, YJR047C	genemark-KI547138.1-processed-gene-3.106-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-3.106&CDS=1-471
OG0000268	YEL039C, YJR048W	genemark-KI547150.1-processed-gene-1.116-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-1.116&CDS=1-330
OG0000269	YEL041W, YJR049C	snap_masked-KI547140.1-processed-gene-3.119-mRNA-1_1&gene=snap_masked-KI547140.1-processed-gene-3.119&CDS=1-1881
OG0000270	YEL046C	genemark-KI547135.1-processed-gene-7.105-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.105&CDS=1-1119, maker-KI547137.1-augustus-gene-7.73-mRNA-1_1&gene=maker-KI547137.1-augustus-gene-7.73&CDS=1-2040
OG0000271	YEL047C, YJR051W	genemark-KI547136.1-processed-gene-7.136-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.136&CDS=1-1476
OG0000272	YER004W	genemark-KI547135.1-processed-gene-8.40-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.40&CDS=1-690, genemark-KI547143.1-processed-gene-2.57-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-2.57&CDS=1-690
OG0000273	YER019C-A, YER087C-B	augustus_masked-KI547137.1-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-KI547137.1-processed-gene-1.36&CDS=1-279
OG0000274	YER037W, YGL224C	genemark-KI547146.1-processed-gene-2.65-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-2.65&CDS=1-849
OG0000275	YER039C, YGL225W	maker-KI547134.1-snap-gene-2.61-mRNA-1_1&gene=maker-KI547134.1-snap-gene-2.61&CDS=1-1296
OG0000276	YER045C, YIL036W	genemark-KI547134.1-processed-gene-12.140-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.140&CDS=1-1158
OG0000277	YER047C, YPL074W	augustus_masked-KI547142.1-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-KI547142.1-processed-gene-2.116&CDS=1-3273
OG0000278	YER056C-A, YIL052C	maker-KI547134.1-augustus-gene-1.49-mRNA-1_1&gene=maker-KI547134.1-augustus-gene-1.49&CDS=1-339
OG0000279	YER057C, YIL051C	augustus_masked-KI547134.1-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-KI547134.1-processed-gene-1.114&CDS=1-423
OG0000280	YER059W, YIL050W	snap_masked-KI547134.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-KI547134.1-processed-gene-1.11&CDS=1-2160
OG0000281	YER062C, YIL053W	genemark-KI547147.1-processed-gene-3.61-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.61&CDS=1-759
OG0000282	YER064C, YIL056W	genemark-KI547152.1-processed-gene-0.55-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-0.55&CDS=1-1920
OG0000283	YER066W, YFL009W	genemark-KI547137.1-processed-gene-1.87-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-1.87&CDS=1-2322
OG0000284	YER067W, YIL057C	genemark-KI547153.1-processed-gene-0.214-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.214&CDS=1-606
OG0000285	YER074W, YIL069C	genemark-KI547147.1-processed-gene-3.66-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.66&CDS=1-405
OG0000286	YER081W, YIL074C	augustus_masked-KI547135.1-processed-gene-9.119-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-9.119&CDS=1-4218
OG0000287	YER130C, YKL062W	genemark-KI547135.1-processed-gene-8.0-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.0&CDS=1-1806
OG0000288	YER131W, YGL189C	genemark-KI547136.1-processed-gene-4.10-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-4.10&CDS=1-357
OG0000289	YER132C, YGL197W	augustus_masked-KI547140.1-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-KI547140.1-processed-gene-1.115&CDS=1-4830
OG0000290	YER145C	genemark-KI547135.1-processed-gene-1.74-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-1.74&CDS=1-1152, genemark-KI547142.1-processed-gene-1.111-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-1.111&CDS=1-1140
OG0000291	YER175C	augustus_masked-KI547135.1-processed-gene-11.29-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-11.29&CDS=1-921, genemark-KI547139.1-processed-gene-6.14-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-6.14&CDS=1-912
OG0000292	YFL004W, YPL019C	augustus_masked-KI547137.1-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-KI547137.1-processed-gene-5.106&CDS=1-3927
OG0000293	YFL011W, YMR011W	genemark-KI547136.1-processed-gene-6.52-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-6.52&CDS=1-1623
OG0000294	YFL034C-A, YLR061W	genemark-KI547139.1-processed-gene-1.66-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-1.66&CDS=1-360
OG0000295	YFL048C, YLR080W	genemark-KI547148.1-processed-gene-0.56-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-0.56&CDS=1-1410
OG0000296	YFL053W, YML070W	snap_masked-KI547135.1-processed-gene-6.36-mRNA-1_1&gene=snap_masked-KI547135.1-processed-gene-6.36&CDS=1-3579
OG0000297	YFL059W, YNL333W	genemark-KI547134.1-processed-gene-8.95-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-8.95&CDS=1-888
OG0000298	YFL061W, YNL335W	genemark-KI547140.1-processed-gene-5.64-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.64&CDS=1-681
OG0000299	YFR013W, YOL017W	augustus_masked-KI547153.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-KI547153.1-processed-gene-0.78&CDS=1-1989
OG0000300	YGL031C, YGR148C	genemark-KI547139.1-processed-gene-2.55-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-2.55&CDS=1-465
OG0000301	YGL049C, YGR162W	genemark-KI547153.1-processed-gene-0.248-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.248&CDS=1-3189
OG0000302	YGL071W, YPL202C	genemark-KI547155.1-processed-gene-0.259-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.259&CDS=1-2145
OG0000303	YGL076C, YPL198W	maker-KI547139.1-snap-gene-6.153-mRNA-1_1&gene=maker-KI547139.1-snap-gene-6.153&CDS=1-723
OG0000304	YGL082W, YPL191C	genemark-KI547153.1-processed-gene-0.260-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.260&CDS=1-1248
OG0000305	YGL096W, YPL177C	genemark-KI547159.1-processed-gene-0.35-mRNA-1_1&gene=genemark-KI547159.1-processed-gene-0.35&CDS=1-816
OG0000306	YGL133W, YPL216W	augustus_masked-KI547138.1-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-KI547138.1-processed-gene-4.41&CDS=1-3513
OG0000307	YGL135W, YPL220W	genemark-KI547138.1-processed-gene-4.97-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-4.97&CDS=1-651
OG0000308	YGL139W, YPL221W	augustus_masked-KI547141.1-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-KI547141.1-processed-gene-2.41&CDS=1-2112
OG0000309	YGL147C, YNL067W	genemark-KI547147.1-processed-gene-0.89-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-0.89&CDS=1-573
OG0000310	YGL162W, YPR009W	snap_masked-KI547143.1-processed-gene-3.11-mRNA-1_1&gene=snap_masked-KI547143.1-processed-gene-3.11&CDS=1-1065
OG0000311	YGL185C	genemark-KI547136.1-processed-gene-4.7-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-4.7&CDS=1-1086, maker-KI547144.1-augustus-gene-3.76-mRNA-1_1&gene=maker-KI547144.1-augustus-gene-3.76&CDS=1-2211
OG0000312	YGL186C	genemark-KI547135.1-processed-gene-6.103-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.103&CDS=1-1656, genemark-KI547142.1-processed-gene-2.86-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-2.86&CDS=1-1593
OG0000313	YGL205W	genemark-KI547141.1-processed-gene-1.47-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-1.47&CDS=1-2169, genemark-KI547141.1-processed-gene-1.63-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-1.63&CDS=1-2127
OG0000314	YGL209W	genemark-KI547146.1-processed-gene-3.11-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-3.11&CDS=1-1365, genemark-KI547150.1-processed-gene-0.39-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-0.39&CDS=1-1500
OG0000315	YGR008C, YLR327C	augustus_masked-KI547156.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-KI547156.1-processed-gene-0.8&CDS=1-267
OG0000316	YGR010W, YLR328W	genemark-KI547152.1-processed-gene-0.68-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-0.68&CDS=1-1266
OG0000317	YGR027C, YLR333C	genemark-KI547157.1-processed-gene-0.92-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.92&CDS=1-828
OG0000318	YGR038W, YLR350W	genemark-KI547138.1-processed-gene-6.36-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.36&CDS=1-726
OG0000319	YGR056W, YLR357W	maker-KI547134.1-augustus-gene-8.145-mRNA-1_1&gene=maker-KI547134.1-augustus-gene-8.145&CDS=1-2421
OG0000320	YGR070W, YLR371W	genemark-KI547140.1-processed-gene-5.47-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.47&CDS=1-4263
OG0000321	YGR092W, YPR111W	genemark-KI547136.1-processed-gene-1.76-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-1.76&CDS=1-1956
OG0000322	YGR108W, YPR119W	snap_masked-KI547140.1-processed-gene-5.233-mRNA-1_1&gene=snap_masked-KI547140.1-processed-gene-5.233&CDS=1-3531
OG0000323	YGR118W, YPR132W	genemark-KI547145.1-processed-gene-0.3-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-0.3&CDS=1-435
OG0000324	YGR121C, YPR138C	genemark-KI547141.1-processed-gene-2.59-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-2.59&CDS=1-1623
OG0000325	YGR131W, YPR149W	genemark-KI547141.1-processed-gene-0.41-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-0.41&CDS=1-510
OG0000326	YGR134W	genemark-KI547136.1-processed-gene-7.132-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.132&CDS=1-1332, maker-KI547134.1-snap-gene-1.1-mRNA-1_1&gene=maker-KI547134.1-snap-gene-1.1&CDS=1-4065
OG0000327	YGR136W, YPR154W	genemark-KI547141.1-processed-gene-0.47-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-0.47&CDS=1-792
OG0000328	YGR138C, YPR156C	genemark-KI547135.1-processed-gene-7.103-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.103&CDS=1-1797
OG0000329	YGR141W, YPR157W	genemark-KI547144.1-processed-gene-2.67-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-2.67&CDS=1-1311
OG0000330	YGR209C, YLR043C	genemark-KI547142.1-processed-gene-1.109-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-1.109&CDS=1-309
OG0000331	YGR212W	genemark-KI547141.1-processed-gene-3.48-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-3.48&CDS=1-1455, genemark-KI547141.1-processed-gene-5.131-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-5.131&CDS=1-1389
OG0000332	YGR214W, YLR048W	maker-KI547141.1-augustus-gene-1.74-mRNA-1_1&gene=maker-KI547141.1-augustus-gene-1.74&CDS=1-783
OG0000333	YGR238C, YHR158C	genemark-KI547134.1-processed-gene-12.181-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.181&CDS=1-2865
OG0000334	YGR241C, YHR161C	genemark-KI547145.1-processed-gene-2.66-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-2.66&CDS=1-1986
OG0000335	YGR248W, YHR163W	genemark-KI547148.1-processed-gene-3.107-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-3.107&CDS=1-783
OG0000336	YHL001W, YKL006W	genemark-KI547135.1-processed-gene-5.43-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-5.43&CDS=1-399
OG0000337	YHL003C, YKL008C	maker-KI547137.1-augustus-gene-0.39-mRNA-1_1&gene=maker-KI547137.1-augustus-gene-0.39&CDS=1-2124
