	Saccharomyces_cerevisiae	yHMPu5000035699_Cyberlindnera_maclurae
OG0000116	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_31_length_112490_cov_60.3703_ID_27943-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-NODE_31_length_112490_cov_60.3703_ID_27943-processed-gene-0.179&CDS=1-1767
OG0000117	YDR178W, YLR164W	augustus_masked-NODE_53_length_67439_cov_91.3056_ID_43222-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_53_length_67439_cov_91.3056_ID_43222-processed-gene-0.47&CDS=1-498, snap_masked-NODE_6_length_239611_cov_64.8102_ID_39412-processed-gene-0.147-mRNA-1_1&gene=snap_masked-NODE_6_length_239611_cov_64.8102_ID_39412-processed-gene-0.147&CDS=1-561
OG0000118	YDR194C, YMR290C	augustus_masked-NODE_38_length_91994_cov_67.5308_ID_39591-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_38_length_91994_cov_67.5308_ID_39591-processed-gene-0.74&CDS=1-1923, augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.4&CDS=1-1737
OG0000119	YDR197W, YHR063C	augustus_masked-NODE_38_length_91994_cov_67.5308_ID_39591-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_38_length_91994_cov_67.5308_ID_39591-processed-gene-0.93&CDS=1-1086, augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.57&CDS=1-996
OG0000120	YDR216W, YML081W	augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.195&CDS=1-2724, augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-1.50&CDS=1-2958
OG0000121	YDR243C, YNL112W	augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.130&CDS=1-1656, augustus_masked-NODE_33_length_103591_cov_66.4129_ID_8840-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_33_length_103591_cov_66.4129_ID_8840-processed-gene-0.59&CDS=1-1881
OG0000122	YDR291W, YMR205C	augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.174&CDS=1-2883, maker-NODE_43_length_86267_cov_72.0167_ID_12156-augustus-gene-0.91-mRNA-1_1&gene=maker-NODE_43_length_86267_cov_72.0167_ID_12156-augustus-gene-0.91&CDS=1-6009
OG0000123	YDR295C, YPR179C	augustus_masked-NODE_20_length_141969_cov_73.9944_ID_36909-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_20_length_141969_cov_73.9944_ID_36909-processed-gene-0.99&CDS=1-1470, augustus_masked-NODE_82_length_40375_cov_61.7098_ID_30522-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_82_length_40375_cov_61.7098_ID_30522-processed-gene-0.9&CDS=1-1701
OG0000124	YDR368W, YOR120W	augustus_masked-NODE_74_length_44800_cov_83.2692_ID_38656-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_74_length_44800_cov_83.2692_ID_38656-processed-gene-0.19&CDS=1-918, augustus_masked-NODE_85_length_38187_cov_63.09_ID_42102-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_85_length_38187_cov_63.09_ID_42102-processed-gene-0.4&CDS=1-915
OG0000125	YDR387C, YDR497C	augustus_masked-NODE_41_length_88496_cov_62.8201_ID_21193-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_41_length_88496_cov_62.8201_ID_21193-processed-gene-0.73&CDS=1-1683, augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.42&CDS=1-1461
OG0000126	YDR395W, YJR132W	augustus_masked-NODE_35_length_98922_cov_66.4517_ID_8995-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_35_length_98922_cov_66.4517_ID_8995-processed-gene-0.99&CDS=1-2820, augustus_masked-NODE_47_length_78664_cov_63.9875_ID_29834-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_47_length_78664_cov_63.9875_ID_29834-processed-gene-0.48&CDS=1-3042
OG0000127	YDR398W, YHR196W	augustus_masked-NODE_47_length_78664_cov_63.9875_ID_29834-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_47_length_78664_cov_63.9875_ID_29834-processed-gene-0.49&CDS=1-1518, snap_masked-NODE_35_length_98922_cov_66.4517_ID_8995-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_35_length_98922_cov_66.4517_ID_8995-processed-gene-0.22&CDS=1-1941
OG0000128	YDR406W, YOR153W	augustus_masked-NODE_57_length_63987_cov_114.909_ID_11616-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_57_length_63987_cov_114.909_ID_11616-processed-gene-0.21&CDS=1-4482, augustus_masked-NODE_97_length_27623_cov_66.9979_ID_14496-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_97_length_27623_cov_66.9979_ID_14496-processed-gene-0.29&CDS=1-4491
OG0000129	YDR444W, YGL144C	augustus_masked-NODE_45_length_83476_cov_65.9512_ID_30017-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_45_length_83476_cov_65.9512_ID_30017-processed-gene-0.17&CDS=1-2055, snap_masked-NODE_51_length_72690_cov_65.5169_ID_40178-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_51_length_72690_cov_65.5169_ID_40178-processed-gene-0.34&CDS=1-2067
OG0000130	YDR463W, YHR006W	augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.42&CDS=1-1212, augustus_masked-NODE_3_length_267281_cov_69.2695_ID_38578-processed-gene-1.311-mRNA-1_1&gene=augustus_masked-NODE_3_length_267281_cov_69.2695_ID_38578-processed-gene-1.311&CDS=1-825
OG0000131	YDR471W, YHR010W	augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.12&CDS=1-408, augustus_masked-NODE_32_length_109656_cov_66.4324_ID_14317-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_32_length_109656_cov_66.4324_ID_14317-processed-gene-0.106&CDS=1-408
OG0000132	YDR505C, YLR177W	augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.166&CDS=1-1599, augustus_masked-NODE_34_length_101002_cov_73.3061_ID_41838-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_34_length_101002_cov_73.3061_ID_41838-processed-gene-0.115&CDS=1-1332
OG0000133	YEL028W	augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.218-mRNA-1_1&gene=augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.218&CDS=1-867, augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.219&CDS=1-516, snap_masked-NODE_48_length_77516_cov_135.219_ID_46182-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_48_length_77516_cov_135.219_ID_46182-processed-gene-0.85&CDS=1-519
OG0000134	YER017C, YMR089C	augustus_masked-NODE_20_length_141969_cov_73.9944_ID_36909-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-NODE_20_length_141969_cov_73.9944_ID_36909-processed-gene-0.129&CDS=1-2547, snap_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.137-mRNA-1_1&gene=snap_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.137&CDS=1-2217
OG0000135	YER048C, YIR004W	augustus_masked-NODE_37_length_94963_cov_100.632_ID_9415-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_37_length_94963_cov_100.632_ID_9415-processed-gene-0.4&CDS=1-1137, augustus_masked-NODE_93_length_30723_cov_59.9404_ID_13190-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_93_length_30723_cov_59.9404_ID_13190-processed-gene-0.45&CDS=1-1308
OG0000136	YER056C, YER060W, YER060W-A	augustus_masked-NODE_196_length_1521_cov_152.967_ID_46496-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_196_length_1521_cov_152.967_ID_46496-processed-gene-0.2&CDS=1-1518
OG0000137	YER065C, YPR006C	augustus_masked-NODE_119_length_13522_cov_59.0783_ID_15388-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_119_length_13522_cov_59.0783_ID_15388-processed-gene-0.20&CDS=1-1590, augustus_masked-NODE_81_length_40705_cov_83.2249_ID_39022-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_81_length_40705_cov_83.2249_ID_39022-processed-gene-0.15&CDS=1-1650
OG0000138	YER107C, YOR026W	augustus_masked-NODE_39_length_91062_cov_66.0146_ID_9270-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_39_length_91062_cov_66.0146_ID_9270-processed-gene-0.78&CDS=1-1074, augustus_masked-NODE_48_length_77516_cov_135.219_ID_46182-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_48_length_77516_cov_135.219_ID_46182-processed-gene-0.64&CDS=1-1020
OG0000139	YER109C, YMR164C	augustus_masked-NODE_39_length_91062_cov_66.0146_ID_9270-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_39_length_91062_cov_66.0146_ID_9270-processed-gene-0.76&CDS=1-1746, augustus_masked-NODE_85_length_38187_cov_63.09_ID_42102-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_85_length_38187_cov_63.09_ID_42102-processed-gene-0.9&CDS=1-1809
OG0000140	YER119C, YIL088C	augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.192-mRNA-1_1&gene=augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.192&CDS=1-1173, maker-NODE_1_length_419987_cov_60.6783_ID_36483-augustus-gene-3.91-mRNA-1_1&gene=maker-NODE_1_length_419987_cov_60.6783_ID_36483-augustus-gene-3.91&CDS=1-1434
OG0000141	YER130C, YMR037C	augustus_masked-NODE_68_length_50176_cov_65.6381_ID_41632-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_68_length_50176_cov_65.6381_ID_41632-processed-gene-0.9&CDS=1-1365, augustus_masked-NODE_7_length_239396_cov_61.0994_ID_40859-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NODE_7_length_239396_cov_61.0994_ID_40859-processed-gene-1.62&CDS=1-816
OG0000142	YER172C, YGR271W	augustus_masked-NODE_4_length_253480_cov_70.786_ID_43483-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NODE_4_length_253480_cov_70.786_ID_43483-processed-gene-1.138&CDS=1-6261, augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.15&CDS=1-5787
OG0000143	YER175C, YOR197W	maker-NODE_55_length_65494_cov_62.8636_ID_12480-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_55_length_65494_cov_62.8636_ID_12480-augustus-gene-0.3&CDS=1-2016, snap_masked-NODE_37_length_94963_cov_100.632_ID_9415-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_37_length_94963_cov_100.632_ID_9415-processed-gene-0.84&CDS=1-825
OG0000144	YFL041W, YMR058W	augustus_masked-NODE_34_length_101002_cov_73.3061_ID_41838-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_34_length_101002_cov_73.3061_ID_41838-processed-gene-0.116&CDS=1-1881, augustus_masked-NODE_72_length_45994_cov_87.5271_ID_42241-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_72_length_45994_cov_87.5271_ID_42241-processed-gene-0.11&CDS=1-1833
OG0000145	YFR021W, YGR068C	augustus_masked-NODE_133_length_8938_cov_65.6125_ID_16453-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_133_length_8938_cov_65.6125_ID_16453-processed-gene-0.0&CDS=1-1521, maker-NODE_82_length_40375_cov_61.7098_ID_30522-augustus-gene-0.48-mRNA-1_1&gene=maker-NODE_82_length_40375_cov_61.7098_ID_30522-augustus-gene-0.48&CDS=1-3546
OG0000146	YGL010W	augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.251-mRNA-1_1&gene=augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.251&CDS=1-1152, augustus_masked-NODE_14_length_174934_cov_63.5332_ID_33623-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_14_length_174934_cov_63.5332_ID_33623-processed-gene-0.40&CDS=1-1194, maker-NODE_10_length_191114_cov_61.6055_ID_41320-augustus-gene-0.9-mRNA-1_1&gene=maker-NODE_10_length_191114_cov_61.6055_ID_41320-augustus-gene-0.9&CDS=1-1722
OG0000147	YGL096W, YPL177C	augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.170&CDS=1-816, augustus_masked-NODE_61_length_59926_cov_64.2803_ID_40253-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_61_length_59926_cov_64.2803_ID_40253-processed-gene-0.13&CDS=1-702
OG0000148	YGL147C, YNL067W	augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.177&CDS=1-573, augustus_masked-NODE_3_length_267281_cov_69.2695_ID_38578-processed-gene-1.233-mRNA-1_1&gene=augustus_masked-NODE_3_length_267281_cov_69.2695_ID_38578-processed-gene-1.233&CDS=1-573
OG0000149	YGL160W, YLR047C	augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.25&CDS=1-1947, snap_masked-NODE_35_length_98922_cov_66.4517_ID_8995-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_35_length_98922_cov_66.4517_ID_8995-processed-gene-0.15&CDS=1-1476
OG0000150	YGL194C, YNL330C	augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-2.202-mRNA-1_1&gene=augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-2.202&CDS=1-1338, maker-NODE_10_length_191114_cov_61.6055_ID_41320-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_10_length_191114_cov_61.6055_ID_41320-augustus-gene-0.1&CDS=1-1308
OG0000151	YGL247W, YHR036W	augustus_masked-NODE_13_length_175540_cov_64.7961_ID_9675-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_13_length_175540_cov_64.7961_ID_9675-processed-gene-0.18&CDS=1-1452, augustus_masked-NODE_20_length_141969_cov_73.9944_ID_36909-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NODE_20_length_141969_cov_73.9944_ID_36909-processed-gene-0.121&CDS=1-1191
OG0000152	YGR086C, YPL004C	augustus_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.142&CDS=1-909, augustus_masked-NODE_47_length_78664_cov_63.9875_ID_29834-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_47_length_78664_cov_63.9875_ID_29834-processed-gene-0.55&CDS=1-915
OG0000153	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	
OG0000154	YGR154C, YKR076W, YMR251W	maker-NODE_162_length_2822_cov_186.176_ID_46512-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_162_length_2822_cov_186.176_ID_46512-augustus-gene-0.0&CDS=1-1917
OG0000155	YGR169C, YOL066C	augustus_masked-NODE_14_length_174934_cov_63.5332_ID_33623-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_14_length_174934_cov_63.5332_ID_33623-processed-gene-0.32&CDS=1-1632, augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.16&CDS=1-1020
OG0000156	YGR184C, YLR024C	augustus_masked-NODE_33_length_103591_cov_66.4129_ID_8840-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_33_length_103591_cov_66.4129_ID_8840-processed-gene-0.104&CDS=1-5586, augustus_masked-NODE_33_length_103591_cov_66.4129_ID_8840-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_33_length_103591_cov_66.4129_ID_8840-processed-gene-0.70&CDS=1-6063
OG0000157	YHL007C, YNL298W	augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.170&CDS=1-2286, augustus_masked-NODE_62_length_59695_cov_90.733_ID_11102-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_62_length_59695_cov_90.733_ID_11102-processed-gene-0.5&CDS=1-3078
OG0000158	YHL019C, YPL259C	augustus_masked-NODE_80_length_41130_cov_71.5706_ID_11982-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_80_length_41130_cov_71.5706_ID_11982-processed-gene-0.10&CDS=1-1281, augustus_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-1.153&CDS=1-1368
OG0000159	YHL033C, YLL045C	augustus_masked-NODE_21_length_140531_cov_64.6559_ID_42067-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-NODE_21_length_140531_cov_64.6559_ID_42067-processed-gene-0.155&CDS=1-780, genemark-NODE_6_length_239611_cov_64.8102_ID_39412-processed-gene-1.126-mRNA-1_1&gene=genemark-NODE_6_length_239611_cov_64.8102_ID_39412-processed-gene-1.126&CDS=1-783
OG0000160	YHL039W, YPL208W	augustus_masked-NODE_14_length_174934_cov_63.5332_ID_33623-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_14_length_174934_cov_63.5332_ID_33623-processed-gene-0.25&CDS=1-1740, augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.16&CDS=1-1671
OG0000161	YHR023W, YOR326W	maker-NODE_10_length_191114_cov_61.6055_ID_41320-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_10_length_191114_cov_61.6055_ID_41320-augustus-gene-0.4&CDS=1-5556, maker-NODE_41_length_88496_cov_62.8201_ID_21193-augustus-gene-0.95-mRNA-1_1&gene=maker-NODE_41_length_88496_cov_62.8201_ID_21193-augustus-gene-0.95&CDS=1-4665
OG0000162	YHR028C	augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.230-mRNA-1_1&gene=augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.230&CDS=1-2358, augustus_masked-NODE_41_length_88496_cov_62.8201_ID_21193-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_41_length_88496_cov_62.8201_ID_21193-processed-gene-0.82&CDS=1-2577, augustus_masked-NODE_41_length_88496_cov_62.8201_ID_21193-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_41_length_88496_cov_62.8201_ID_21193-processed-gene-0.83&CDS=1-2661
OG0000163	YHR031C, YML061C	augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.232-mRNA-1_1&gene=augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.232&CDS=1-2037, augustus_masked-NODE_31_length_112490_cov_60.3703_ID_27943-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-NODE_31_length_112490_cov_60.3703_ID_27943-processed-gene-0.189&CDS=1-2670
OG0000164	YHR133C, YNL156C	augustus_masked-NODE_100_length_27467_cov_63.1464_ID_13941-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_100_length_27467_cov_63.1464_ID_13941-processed-gene-0.17&CDS=1-849, maker-NODE_12_length_177927_cov_70.8392_ID_40101-augustus-gene-0.226-mRNA-1_1&gene=maker-NODE_12_length_177927_cov_70.8392_ID_40101-augustus-gene-0.226&CDS=1-1425
OG0000165	YHR146W, YPL186C	augustus_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.213&CDS=1-1059, augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.180&CDS=1-807
OG0000166	YHR216W, YLR432W, YML056C	maker-NODE_29_length_116936_cov_67.5382_ID_8641-augustus-gene-0.3-mRNA-1_1&gene=maker-NODE_29_length_116936_cov_67.5382_ID_8641-augustus-gene-0.3&CDS=1-1566
OG0000167	YIL002C, YOR109W	augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.125&CDS=1-3384, augustus_masked-NODE_6_length_239611_cov_64.8102_ID_39412-processed-gene-1.213-mRNA-1_1&gene=augustus_masked-NODE_6_length_239611_cov_64.8102_ID_39412-processed-gene-1.213&CDS=1-2643
OG0000168	YIL035C, YOR061W	augustus_masked-NODE_38_length_91994_cov_67.5308_ID_39591-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_38_length_91994_cov_67.5308_ID_39591-processed-gene-0.88&CDS=1-999, augustus_masked-NODE_44_length_84336_cov_59.026_ID_9961-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_44_length_84336_cov_59.026_ID_9961-processed-gene-0.91&CDS=1-993
OG0000169	YIL038C, YPR072W	augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.206&CDS=1-1851, snap_masked-NODE_38_length_91994_cov_67.5308_ID_39591-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_38_length_91994_cov_67.5308_ID_39591-processed-gene-0.33&CDS=1-1569
OG0000170	YIL078W, YKL194C	augustus_masked-NODE_47_length_78664_cov_63.9875_ID_29834-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_47_length_78664_cov_63.9875_ID_29834-processed-gene-0.69&CDS=1-1236, augustus_masked-NODE_8_length_226836_cov_62.4789_ID_46056-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-NODE_8_length_226836_cov_62.4789_ID_46056-processed-gene-0.147&CDS=1-2166
OG0000171	YIL107C, YOL136C	augustus_masked-NODE_111_length_18588_cov_84.7441_ID_25162-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_111_length_18588_cov_84.7441_ID_25162-processed-gene-0.7&CDS=1-1923, augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.165&CDS=1-1014
OG0000172	YIL126W, YOR290C	augustus_masked-NODE_27_length_126968_cov_70.5322_ID_38987-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_27_length_126968_cov_70.5322_ID_38987-processed-gene-0.102&CDS=1-3756, maker-NODE_99_length_27553_cov_124.585_ID_13715-augustus-gene-0.51-mRNA-1_1&gene=maker-NODE_99_length_27553_cov_124.585_ID_13715-augustus-gene-0.51&CDS=1-4419
OG0000173	YIL130W, YJL206C	augustus_masked-NODE_27_length_126968_cov_70.5322_ID_38987-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_27_length_126968_cov_70.5322_ID_38987-processed-gene-0.107&CDS=1-2358, augustus_masked-NODE_46_length_83228_cov_61.7361_ID_9326-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_46_length_83228_cov_61.7361_ID_9326-processed-gene-0.10&CDS=1-1863
OG0000174	YIL159W, YNL271C	augustus_masked-NODE_20_length_141969_cov_73.9944_ID_36909-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_20_length_141969_cov_73.9944_ID_36909-processed-gene-0.122&CDS=1-4875, augustus_masked-NODE_29_length_116936_cov_67.5382_ID_8641-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-NODE_29_length_116936_cov_67.5382_ID_8641-processed-gene-0.198&CDS=1-4245
OG0000175	YIR013C, YLR013W	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-3.242-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-3.242&CDS=1-918, snap_masked-NODE_52_length_69718_cov_81.6554_ID_40328-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_52_length_69718_cov_81.6554_ID_40328-processed-gene-0.0&CDS=1-822
OG0000176	YIR017C, YNL103W	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-0.74&CDS=1-1158, augustus_masked-NODE_42_length_86612_cov_83.6646_ID_14885-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_42_length_86612_cov_83.6646_ID_14885-processed-gene-0.113&CDS=1-495
OG0000177	YJL089W, YMR280C	augustus_masked-NODE_104_length_24762_cov_65.9696_ID_15482-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_104_length_24762_cov_65.9696_ID_15482-processed-gene-0.8&CDS=1-2331, augustus_masked-NODE_31_length_112490_cov_60.3703_ID_27943-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-NODE_31_length_112490_cov_60.3703_ID_27943-processed-gene-0.191&CDS=1-2769
OG0000178	YJL095W, YLR362W	augustus_masked-NODE_26_length_131444_cov_65.2876_ID_30945-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_26_length_131444_cov_65.2876_ID_30945-processed-gene-0.65&CDS=1-1770, augustus_masked-NODE_36_length_98479_cov_59.3202_ID_39518-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_36_length_98479_cov_59.3202_ID_39518-processed-gene-0.70&CDS=1-3681
