	Saccharomyces_cerevisiae	yHMPu5000034986_Candida_oregonensis
OG0000133	YGR189C	snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-0.132-mRNA-1_1&gene=snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-0.132&CDS=1-900, snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.91&CDS=1-1236, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.89&CDS=1-1479
OG0000134	YGR232W, YIL112W	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-8.229-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-8.229&CDS=1-681, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-7.30-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-7.30&CDS=1-3855
OG0000135	YGR240C, YMR205C	snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-0.131&CDS=1-2958, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.89-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.89&CDS=1-2823
OG0000136	YGR260W	snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.43&CDS=1-1506, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-11.32-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-11.32&CDS=1-1530, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-15.200-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-15.200&CDS=1-1548
OG0000137	YHL003C, YKL008C	augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-11.61&CDS=1-1227, augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-11.82&CDS=1-1218
OG0000138	YHL007C, YNL298W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.14-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.14&CDS=1-2112, snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.45-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.45&CDS=1-3021
OG0000139	YHL033C, YLL045C	snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.134-mRNA-1_1&gene=snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.134&CDS=1-783, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-0.125-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-0.125&CDS=1-780
OG0000140	YIL035C, YOR061W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-4.77-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-4.77&CDS=1-975, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.138-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.138&CDS=1-981
OG0000141	YIL043C, YML125C	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.98-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.98&CDS=1-912, snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-0.22&CDS=1-852
OG0000142	YIL095W, YNL020C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-0.109&CDS=1-2487, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-6.100-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-6.100&CDS=1-1908
OG0000143	YIL120W, YIL121W	genemark-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-14.92-mRNA-1_1&gene=genemark-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-14.92&CDS=1-1563, snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-1.50&CDS=1-1545
OG0000144	YIL126W, YOR290C	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.9-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.9&CDS=1-4542, snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.54-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.54&CDS=1-3786
OG0000145	YIR013C, YLR013W	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.101&CDS=1-738, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.23-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.23&CDS=1-291
OG0000146	YIR031C, YNL117W	augustus_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-1.137&CDS=1-1674, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.98-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.98&CDS=1-1653
OG0000147	YJL095W, YLR362W	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-6.93-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-6.93&CDS=1-4599, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-3.107-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-3.107&CDS=1-1983
OG0000148	YJL098W, YKR028W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-13.10-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-13.10&CDS=1-2724, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-6.92-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-6.92&CDS=1-2682
OG0000149	YJL124C, YJR022W	snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-0.12&CDS=1-282, snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-1.127-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-1.127&CDS=1-495
OG0000150	YJL155C, YOL136C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-3.65-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-3.65&CDS=1-858, snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.102-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.102&CDS=1-1362
OG0000151	YJR005W, YKL135C	snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.17&CDS=1-1998, snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.90-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.90&CDS=1-2169
OG0000152	YKL071W	maker-NODE_1_length_1660530_cov_44.6465_ID_1-snap-gene-12.131-mRNA-1_1&gene=maker-NODE_1_length_1660530_cov_44.6465_ID_1-snap-gene-12.131&CDS=1-7359, snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-2.131-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-2.131&CDS=1-744, snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-0.0&CDS=1-741
OG0000153	YKL215C	augustus_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.183-mRNA-1_1&gene=augustus_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.183&CDS=1-3948, augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.241-mRNA-1_1&gene=augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.241&CDS=1-3948, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-4.113-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-4.113&CDS=1-3897
OG0000154	YKR042W, YNL066W	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-1.121-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-1.121&CDS=1-987, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-15.158-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-15.158&CDS=1-1194
OG0000155	YLL060C	genemark-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.119-mRNA-1_1&gene=genemark-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.119&CDS=1-663, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-8.216-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-8.216&CDS=1-681, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.23-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.23&CDS=1-684
OG0000156	YLL062C, YMR321C, YPL273W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-6.115-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-6.115&CDS=1-978
OG0000157	YLR090W, YNL064C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-14.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-14.79&CDS=1-1218, snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.39&CDS=1-1281
OG0000158	YLR144C	augustus_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.178-mRNA-1_1&gene=augustus_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.178&CDS=1-2085, snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.10&CDS=1-3159, snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-6.122-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-6.122&CDS=1-2100
OG0000159	YLR237W, YOR071C, YOR192C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.25-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.25&CDS=1-1674
OG0000160	YLR454W, YPR117W	augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-14.29-mRNA-1_1&gene=augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-14.29&CDS=1-7488, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-3.34-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-3.34&CDS=1-8217
OG0000161	YLR455W, YMR044W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-14.53-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-14.53&CDS=1-1122, snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-1.79&CDS=1-1305
OG0000162	YML017W, YPR163C	augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-14.13-mRNA-1_1&gene=augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-14.13&CDS=1-1581, genemark-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-3.32-mRNA-1_1&gene=genemark-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-3.32&CDS=1-2013
OG0000163	YML054C	augustus_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.93-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.93&CDS=1-1605, snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-1.117-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-1.117&CDS=1-1635, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-6.93-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-6.93&CDS=1-1656
OG0000164	YML072C, YOR086C	augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.5&CDS=1-4749, snap_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.132-mRNA-1_1&gene=snap_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.132&CDS=1-3537
OG0000165	YML106W, YMR271C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.72-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.72&CDS=1-657, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.84&CDS=1-663
OG0000166	YMR020W, YMR022W	augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.244-mRNA-1_1&gene=augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.244&CDS=1-2130, maker-NODE_5_length_957844_cov_53.4892_ID_9-augustus-gene-2.151-mRNA-1_1&gene=maker-NODE_5_length_957844_cov_53.4892_ID_9-augustus-gene-2.151&CDS=1-1671
OG0000167	YMR226C	augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.237-mRNA-1_1&gene=augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.237&CDS=1-786, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.78&CDS=1-807, snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.52-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.52&CDS=1-804
OG0000168	YNL183C, YOR267C	snap_masked-NODE_18_length_51940_cov_46.4736_ID_35-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_18_length_51940_cov_46.4736_ID_35-processed-gene-0.12&CDS=1-2415, snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-5.121-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-5.121&CDS=1-1839
OG0000169	YOL055C, YPL258C, YPR121W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.73-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.73&CDS=1-1638
OG0000170	YOL119C	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.61-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.61&CDS=1-1431, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.85-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.85&CDS=1-1380, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.162-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.162&CDS=1-1266
OG0000171	YOR018W, YPL094C	augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-1.86&CDS=1-3228, maker-NODE_6_length_904599_cov_47.8862_ID_11-augustus-gene-7.1-mRNA-1_1&gene=maker-NODE_6_length_904599_cov_47.8862_ID_11-augustus-gene-7.1&CDS=1-2646
OG0000172	YOR389W, YPL277C, YPL278C	snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.146-mRNA-1_1&gene=snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.146&CDS=1-1761
OG0000173	YPL150W, YPL209C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-3.75-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-3.75&CDS=1-912, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-4.75-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-4.75&CDS=1-2538
OG0000174	YAL015C, YOL043C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-7.120-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-7.120&CDS=1-1239
OG0000175	YAL017W, YOL045W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.82-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.82&CDS=1-3429
OG0000176	YAL034C, YOR338W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-5.175-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-5.175&CDS=1-990
OG0000177	YAL040C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.82&CDS=1-1284, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-3.8-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-3.8&CDS=1-1257
OG0000178	YAL049C	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.107-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.107&CDS=1-747, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.76&CDS=1-729
OG0000179	YAL056W, YOR371C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.102-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.102&CDS=1-2763
OG0000180	YAR002C-A, YGL002W	genemark-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-7.25-mRNA-1_1&gene=genemark-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-7.25&CDS=1-660
OG0000181	YBL011W	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.74&CDS=1-2031, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.97-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.97&CDS=1-2322
OG0000182	YBL016W	augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-11.58&CDS=1-1095, snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.168-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.168&CDS=1-1062
OG0000183	YBL027W, YBR084C-A	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-1.102&CDS=1-549
OG0000184	YBL056W, YER089C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-1.39&CDS=1-1419
OG0000185	YBL067C, YER098W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.100&CDS=1-2169
OG0000186	YBL072C, YER102W	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.43&CDS=1-594
OG0000187	YBL079W, YER105C	snap_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.105&CDS=1-4326
OG0000188	YBL085W, YER114C	maker-NODE_1_length_1660530_cov_44.6465_ID_1-augustus-gene-15.3-mRNA-1_1&gene=maker-NODE_1_length_1660530_cov_44.6465_ID_1-augustus-gene-15.3&CDS=1-4326
OG0000189	YBL087C, YER117W	maker-NODE_1_length_1660530_cov_44.6465_ID_1-snap-gene-3.52-mRNA-1_1&gene=maker-NODE_1_length_1660530_cov_44.6465_ID_1-snap-gene-3.52&CDS=1-411
OG0000190	YBL102W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-8.59-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-8.59&CDS=1-618, snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-1.102&CDS=1-624
OG0000191	YBL106C, YPR032W	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-5.78-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-5.78&CDS=1-3168
OG0000192	YBR001C, YDR001C	maker-NODE_3_length_981849_cov_61.5484_ID_5-augustus-gene-7.3-mRNA-1_1&gene=maker-NODE_3_length_981849_cov_61.5484_ID_5-augustus-gene-7.3&CDS=1-3852
OG0000193	YBR005W, YDR003W	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-2.103-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-2.103&CDS=1-576
OG0000194	YBR014C, YDL010W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.100-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.100&CDS=1-636
OG0000195	YBR021W, YIR028W	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-6.102-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-6.102&CDS=1-1764
OG0000196	YBR026C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.49-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.49&CDS=1-1089, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-3.39&CDS=1-1113
OG0000197	YBR028C	augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.142-mRNA-1_1&gene=augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.142&CDS=1-1344, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-3.5-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-3.5&CDS=1-1335
OG0000198	YBR031W, YDR012W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.66-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.66&CDS=1-1068
OG0000199	YBR048W, YDR025W	augustus_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.58&CDS=1-465
OG0000200	YBR089C-A, YPR052C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.86-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.86&CDS=1-267
OG0000201	YBR104W, YPR058W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-4.55-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-4.55&CDS=1-894
OG0000202	YBR105C, YGR066C	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.94-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.94&CDS=1-915
OG0000203	YBR118W, YPR080W	augustus_masked-NODE_42_length_1124_cov_83.8984_ID_83-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_42_length_1124_cov_83.8984_ID_83-processed-gene-0.0&CDS=1-1113
OG0000204	YBR140C, YOL081W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.11-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.11&CDS=1-7890
OG0000205	YBR161W, YPL057C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.55-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.55&CDS=1-1008
