	Metschnikowia_borealis	Saccharomyces_cerevisiae
OG0000500	genemark-bor_s50-processed-gene-0.15-mRNA-1_1&gene=genemark-bor_s50-processed-gene-0.15&CDS=1-1269	YHR208W, YJR148W
OG0000501	augustus_masked-bor_s500-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-bor_s500-processed-gene-0.58&CDS=1-996	YCR073W-A, YNR034W
OG0000502	augustus_masked-bor_s500-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-bor_s500-processed-gene-0.79&CDS=1-1779	YEL039C, YJR048W
OG0000503	genemark-bor_s500-processed-gene-0.116-mRNA-1_1&gene=genemark-bor_s500-processed-gene-0.116&CDS=1-1011	YBR161W, YPL057C
OG0000504	augustus_masked-bor_s97-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.79&CDS=1-1674, snap_masked-bor_s502-processed-gene-0.1-mRNA-1_1&gene=snap_masked-bor_s502-processed-gene-0.1&CDS=1-474	YOR386W
OG0000505	augustus_masked-bor_s504-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s504-processed-gene-0.4&CDS=1-2016, augustus_masked-bor_s92-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s92-processed-gene-0.2&CDS=1-1758	YHR124W
OG0000506	augustus_masked-bor_s514-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s514-processed-gene-0.20&CDS=1-390, augustus_masked-bor_s568-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-1.54&CDS=1-1986	YEL062W
OG0000507	maker-bor_s516-augustus-gene-0.91-mRNA-1_1&gene=maker-bor_s516-augustus-gene-0.91&CDS=1-2268, snap_masked-bor_s602-processed-gene-0.24-mRNA-1_1&gene=snap_masked-bor_s602-processed-gene-0.24&CDS=1-603	YJL097W
OG0000508	augustus_masked-bor_s517-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bor_s517-processed-gene-0.27&CDS=1-417	YHL003C, YKL008C
OG0000509	augustus_masked-bor_s518-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s518-processed-gene-0.7&CDS=1-573, snap_masked-bor_s812-processed-gene-0.1-mRNA-1_1&gene=snap_masked-bor_s812-processed-gene-0.1&CDS=1-297	YLR066W
OG0000510	augustus_masked-bor_s52-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bor_s52-processed-gene-0.25&CDS=1-1074	YGR279C, YMR305C
OG0000511	genemark-bor_s787-processed-gene-0.20-mRNA-1_1&gene=genemark-bor_s787-processed-gene-0.20&CDS=1-1857, maker-bor_s53-augustus-gene-0.0-mRNA-1_1&gene=maker-bor_s53-augustus-gene-0.0&CDS=1-2601	YMR058W
OG0000512	augustus_masked-bor_s537-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s537-processed-gene-0.12&CDS=1-1521	YBR214W, YGL056C
OG0000513	genemark-bor_s538-processed-gene-0.11-mRNA-1_1&gene=genemark-bor_s538-processed-gene-0.11&CDS=1-546	YBR005W, YDR003W
OG0000514	augustus_masked-bor_s538-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bor_s538-processed-gene-0.24&CDS=1-1713, augustus_masked-bor_s561-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s561-processed-gene-0.0&CDS=1-1773	YNL104C
OG0000515	augustus_masked-bor_s539-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s539-processed-gene-0.20&CDS=1-1608	YKL133C, YMR115W
OG0000516	augustus_masked-bor_s635-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-bor_s635-processed-gene-0.60&CDS=1-1659, snap_masked-bor_s544-processed-gene-0.2-mRNA-1_1&gene=snap_masked-bor_s544-processed-gene-0.2&CDS=1-462	YCL043C
OG0000517	augustus_masked-bor_s545-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s545-processed-gene-0.9&CDS=1-1356, augustus_masked-bor_s97-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.125&CDS=1-927	YDL236W
OG0000518	augustus_masked-bor_s864-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bor_s864-processed-gene-0.35&CDS=1-777, snap_masked-bor_s55-processed-gene-0.69-mRNA-1_1&gene=snap_masked-bor_s55-processed-gene-0.69&CDS=1-330	YDR041W
OG0000519	maker-bor_s55-augustus-gene-0.59-mRNA-1_1&gene=maker-bor_s55-augustus-gene-0.59&CDS=1-1041	YMR194W, YPL249C-A
OG0000520	augustus_masked-bor_s55-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bor_s55-processed-gene-0.40&CDS=1-318	YHR141C, YNL162W
OG0000521	augustus_masked-bor_s550-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s550-processed-gene-0.6&CDS=1-249, augustus_masked-bor_s779-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.92&CDS=1-2199	YHR197W
OG0000522	augustus_masked-bor_s571-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.39&CDS=1-1128, snap_masked-bor_s56-processed-gene-0.26-mRNA-1_1&gene=snap_masked-bor_s56-processed-gene-0.26&CDS=1-300	YDR282C
OG0000523	genemark-bor_s571-processed-gene-0.153-mRNA-1_1&gene=genemark-bor_s571-processed-gene-0.153&CDS=1-2493, snap_masked-bor_s560-processed-gene-0.2-mRNA-1_1&gene=snap_masked-bor_s560-processed-gene-0.2&CDS=1-264	YFL013C
OG0000524	augustus_masked-bor_s560-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bor_s560-processed-gene-0.46&CDS=1-348, augustus_masked-bor_s620-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s620-processed-gene-0.0&CDS=1-1461	YDR402C
OG0000525	augustus_masked-bor_s561-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s561-processed-gene-0.1&CDS=1-600	YIL133C, YNL069C
OG0000526	augustus_masked-bor_s562-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s562-processed-gene-0.15&CDS=1-282	YGR008C, YLR327C
OG0000527	genemark-bor_s563-processed-gene-0.11-mRNA-1_1&gene=genemark-bor_s563-processed-gene-0.11&CDS=1-1566	YEL041W, YJR049C
OG0000528	augustus_masked-bor_s563-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-bor_s563-processed-gene-0.48&CDS=1-573, augustus_masked-bor_s93-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-bor_s93-processed-gene-0.102&CDS=1-2865	YIL107C
OG0000529	snap_masked-bor_s563-processed-gene-1.39-mRNA-1_1&gene=snap_masked-bor_s563-processed-gene-1.39&CDS=1-2646	YDR458C, YML034W
OG0000530	augustus_masked-bor_s563-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-bor_s563-processed-gene-1.5&CDS=1-3393, augustus_masked-bor_s759-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s759-processed-gene-0.1&CDS=1-315	YDR165W
OG0000531	augustus_masked-bor_s563-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-bor_s563-processed-gene-1.17&CDS=1-2577, augustus_masked-bor_s962-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-bor_s962-processed-gene-0.91&CDS=1-894	YOR032C
OG0000532	augustus_masked-bor_s563-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-bor_s563-processed-gene-1.32&CDS=1-2760, snap_masked-bor_s779-processed-gene-0.49-mRNA-1_1&gene=snap_masked-bor_s779-processed-gene-0.49&CDS=1-2400	YOR270C
OG0000533	augustus_masked-bor_s565-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s565-processed-gene-0.4&CDS=1-1086	YDL246C, YJR159W
OG0000534	augustus_masked-bor_s568-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-0.46&CDS=1-459	YGL031C, YGR148C
OG0000535	augustus_masked-bor_s568-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-0.83&CDS=1-978	YDL175C, YIL079C
OG0000536	augustus_masked-bor_s568-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-1.7&CDS=1-1707, augustus_masked-bor_s578-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bor_s578-processed-gene-0.25&CDS=1-1689	YNR055C
OG0000537	augustus_masked-bor_s568-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-1.16&CDS=1-1125	YMR253C, YPL264C
OG0000538	genemark-bor_s568-processed-gene-1.176-mRNA-1_1&gene=genemark-bor_s568-processed-gene-1.176&CDS=1-2814	YKR089C, YOR081C
OG0000539	augustus_masked-bor_s568-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-1.25&CDS=1-3300	YIR033W, YKL020C
OG0000540	augustus_masked-bor_s568-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-bor_s568-processed-gene-1.33&CDS=1-1425	YMR182C, YPL230W
OG0000541	augustus_masked-bor_s571-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.47&CDS=1-366, augustus_masked-bor_s657-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s657-processed-gene-0.5&CDS=1-234	YEL003W
OG0000542	augustus_masked-bor_s571-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.22&CDS=1-870	YBR183W, YPL087W
OG0000543	augustus_masked-bor_s571-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.55&CDS=1-924	YGL162W, YPR009W
OG0000544	augustus_masked-bor_s571-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.26&CDS=1-795	YGR214W, YLR048W
OG0000545	augustus_masked-bor_s571-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.60&CDS=1-2238, augustus_masked-bor_s717-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s717-processed-gene-0.14&CDS=1-510	YKL171W
OG0000546	augustus_masked-bor_s571-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.30&CDS=1-495	YDR418W, YEL054C
OG0000547	augustus_masked-bor_s571-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.36&CDS=1-1452, augustus_masked-bor_s586-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-bor_s586-processed-gene-0.88&CDS=1-1527	YKL103C
OG0000548	augustus_masked-bor_s571-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bor_s571-processed-gene-0.40&CDS=1-1437	YGR121C, YPR138C
OG0000549	augustus_masked-bor_s573-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bor_s573-processed-gene-0.45&CDS=1-1692, augustus_masked-bor_s777-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.116&CDS=1-1737	YKR093W
OG0000550	augustus_masked-bor_s575-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bor_s575-processed-gene-0.28&CDS=1-294, augustus_masked-bor_s823-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-bor_s823-processed-gene-0.63&CDS=1-2604	YBR055C
OG0000551	augustus_masked-bor_s960-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-bor_s960-processed-gene-0.73&CDS=1-1617, maker-bor_s575-augustus-gene-0.17-mRNA-1_1&gene=maker-bor_s575-augustus-gene-0.17&CDS=1-1839	YMR221C
OG0000552	augustus_masked-bor_s578-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bor_s578-processed-gene-0.23&CDS=1-426	YDL083C, YMR143W
OG0000553	augustus_masked-bor_s578-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bor_s578-processed-gene-0.19&CDS=1-591	YDL082W, YMR142C
OG0000554	augustus_masked-bor_s578-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s578-processed-gene-0.20&CDS=1-1233	YLR300W, YOR190W
OG0000555	augustus_masked-bor_s626-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bor_s626-processed-gene-0.19&CDS=1-1764, snap_masked-bor_s579-processed-gene-0.18-mRNA-1_1&gene=snap_masked-bor_s579-processed-gene-0.18&CDS=1-453	YOR348C
OG0000556	augustus_masked-bor_s581-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-bor_s581-processed-gene-0.67&CDS=1-606, snap_masked-bor_s82-processed-gene-0.12-mRNA-1_1&gene=snap_masked-bor_s82-processed-gene-0.12&CDS=1-225	YPR051W
OG0000557	augustus_masked-bor_s581-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bor_s581-processed-gene-0.49&CDS=1-267	YBR089C-A, YPR052C
OG0000558	genemark-bor_s581-processed-gene-0.91-mRNA-1_1&gene=genemark-bor_s581-processed-gene-0.91&CDS=1-516	YMR242C, YOR312C
OG0000559	genemark-bor_s583-processed-gene-0.171-mRNA-1_1&gene=genemark-bor_s583-processed-gene-0.171&CDS=1-591	YBL027W, YBR084C-A
OG0000560	augustus_masked-bor_s583-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bor_s583-processed-gene-0.19&CDS=1-3384, genemark-bor_s784-processed-gene-0.12-mRNA-1_1&gene=genemark-bor_s784-processed-gene-0.12&CDS=1-624	YCR033W
OG0000561	augustus_masked-bor_s583-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bor_s583-processed-gene-0.23&CDS=1-7608	YBR140C, YOL081W
OG0000562	augustus_masked-bor_s583-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bor_s583-processed-gene-0.24&CDS=1-3483, augustus_masked-bor_s663-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s663-processed-gene-0.2&CDS=1-2616	YDR490C
OG0000563	augustus_masked-bor_s583-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-bor_s583-processed-gene-0.57&CDS=1-1167, augustus_masked-bor_s7-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bor_s7-processed-gene-0.23&CDS=1-1239	YGR263C
OG0000564	augustus_masked-bor_s586-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-bor_s586-processed-gene-0.98&CDS=1-1533	YBR020W, YDR009W
OG0000565	augustus_masked-bor_s599-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s599-processed-gene-0.1&CDS=1-735, snap_masked-bor_s822-processed-gene-0.39-mRNA-1_1&gene=snap_masked-bor_s822-processed-gene-0.39&CDS=1-1176	YBL010C
OG0000566	augustus_masked-bor_s606-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s606-processed-gene-0.0&CDS=1-1710	YGR138C, YPR156C
OG0000567	augustus_masked-bor_s61-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-bor_s61-processed-gene-0.32&CDS=1-1068, augustus_masked-bor_s98-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bor_s98-processed-gene-0.21&CDS=1-3204	YPL022W
OG0000568	snap_masked-bor_s624-processed-gene-0.8-mRNA-1_1&gene=snap_masked-bor_s624-processed-gene-0.8&CDS=1-264	YJR094W-A, YPR043W
OG0000569	genemark-bor_s626-processed-gene-0.1-mRNA-1_1&gene=genemark-bor_s626-processed-gene-0.1&CDS=1-591	YBL072C, YER102W
OG0000570	augustus_masked-bor_s965-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bor_s965-processed-gene-0.36&CDS=1-1110, snap_masked-bor_s628-processed-gene-0.11-mRNA-1_1&gene=snap_masked-bor_s628-processed-gene-0.11&CDS=1-438	YJL053W
OG0000571	augustus_masked-bor_s630-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s630-processed-gene-0.3&CDS=1-2517	YDR351W, YHR103W
OG0000572	augustus_masked-bor_s634-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s634-processed-gene-0.16&CDS=1-1272, augustus_masked-bor_s754-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s754-processed-gene-0.4&CDS=1-273	YJL039C
OG0000573	augustus_masked-bor_s634-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bor_s634-processed-gene-0.19&CDS=1-3729	YIL151C, YKR096W
OG0000574	snap_masked-bor_s634-processed-gene-0.11-mRNA-1_1&gene=snap_masked-bor_s634-processed-gene-0.11&CDS=1-5352	YIL149C, YKR095W
OG0000575	augustus_masked-bor_s635-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-bor_s635-processed-gene-0.66&CDS=1-2178, augustus_masked-bor_s683-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s683-processed-gene-0.0&CDS=1-315	YGR128C
OG0000576	augustus_masked-bor_s635-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bor_s635-processed-gene-0.49&CDS=1-771	YDR099W, YER177W
OG0000577	augustus_masked-bor_s662-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bor_s662-processed-gene-0.21&CDS=1-561	YNL096C, YOR096W
OG0000578	augustus_masked-bor_s671-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-bor_s671-processed-gene-0.61&CDS=1-1008, augustus_masked-bor_s93-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-bor_s93-processed-gene-0.105&CDS=1-2004	YDL144C
OG0000579	augustus_masked-bor_s671-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bor_s671-processed-gene-0.62&CDS=1-2094, augustus_masked-bor_s706-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s706-processed-gene-0.0&CDS=1-705	YEL065W
OG0000580	augustus_masked-bor_s680-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s680-processed-gene-0.0&CDS=1-357	YER131W, YGL189C
OG0000581	augustus_masked-bor_s683-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s683-processed-gene-0.4&CDS=1-1659	YKL127W, YMR105C
OG0000582	augustus_masked-bor_s687-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bor_s687-processed-gene-0.37&CDS=1-573	YGL147C, YNL067W
OG0000583	augustus_masked-bor_s689-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s689-processed-gene-0.4&CDS=1-879	YMR183C, YPL232W
OG0000584	augustus_masked-bor_s69-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s69-processed-gene-0.4&CDS=1-1230	YGL082W, YPL191C
OG0000585	augustus_masked-bor_s782-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s782-processed-gene-0.5&CDS=1-2079, snap_masked-bor_s706-processed-gene-0.6-mRNA-1_1&gene=snap_masked-bor_s706-processed-gene-0.6&CDS=1-312	YDR295C
OG0000586	augustus_masked-bor_s721-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s721-processed-gene-0.2&CDS=1-1137, augustus_masked-bor_s721-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s721-processed-gene-0.4&CDS=1-1155	YLL057C
OG0000587	augustus_masked-bor_s730-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s730-processed-gene-0.3&CDS=1-1797	YGR092W, YPR111W
OG0000588	augustus_masked-bor_s734-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s734-processed-gene-0.2&CDS=1-951	YKL126W, YMR104C
OG0000589	augustus_masked-bor_s75-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s75-processed-gene-0.6&CDS=1-1509	YDL161W, YLR206W
OG0000590	augustus_masked-bor_s758-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s758-processed-gene-0.12&CDS=1-846, augustus_masked-bor_s916-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s916-processed-gene-0.0&CDS=1-351	YHR187W
OG0000591	augustus_masked-bor_s770-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s770-processed-gene-0.0&CDS=1-1590	YDR501W, YLR183C
OG0000592	augustus_masked-bor_s770-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s770-processed-gene-0.3&CDS=1-2244	YDR505C, YLR177W
OG0000593	augustus_masked-bor_s777-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.76&CDS=1-1272	YMR177W, YPL224C
OG0000594	augustus_masked-bor_s779-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.89&CDS=1-4119	YCR073C, YNR031C
OG0000595	augustus_masked-bor_s782-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bor_s782-processed-gene-0.11&CDS=1-729, genemark-bor_s782-processed-gene-0.16-mRNA-1_1&gene=genemark-bor_s782-processed-gene-0.16&CDS=1-753	YIR038C
OG0000596	snap_masked-bor_s784-processed-gene-0.52-mRNA-1_1&gene=snap_masked-bor_s784-processed-gene-0.52&CDS=1-288	YDL075W, YLR406C
OG0000597	augustus_masked-bor_s785-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s785-processed-gene-0.10&CDS=1-891	YHR198C, YHR199C
OG0000598	augustus_masked-bor_s787-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bor_s787-processed-gene-0.33&CDS=1-1089	YBL106C, YPR032W
OG0000599	augustus_masked-bor_s881-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s881-processed-gene-0.26&CDS=1-1971, genemark-bor_s794-processed-gene-0.3-mRNA-1_1&gene=genemark-bor_s794-processed-gene-0.3&CDS=1-201	YCR088W
OG0000600	augustus_masked-bor_s796-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.25&CDS=1-1887, augustus_masked-bor_s864-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-bor_s864-processed-gene-0.51&CDS=1-1662	YDL174C
OG0000601	augustus_masked-bor_s839-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-bor_s839-processed-gene-0.42&CDS=1-2247, snap_masked-bor_s796-processed-gene-0.71-mRNA-1_1&gene=snap_masked-bor_s796-processed-gene-0.71&CDS=1-201	YNL258C
OG0000602	augustus_masked-bor_s796-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.20&CDS=1-2427	YOR256C, YPL176C
OG0000603	augustus_masked-bor_s796-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.21&CDS=1-2943	YER132C, YGL197W
OG0000604	genemark-bor_s80-processed-gene-0.65-mRNA-1_1&gene=genemark-bor_s80-processed-gene-0.65&CDS=1-2037	YCR026C, YEL016C
OG0000605	augustus_masked-bor_s802-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-bor_s802-processed-gene-0.29&CDS=1-1497	YML118W, YMR285C
OG0000606	augustus_masked-bor_s804-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s804-processed-gene-0.3&CDS=1-321, augustus_masked-bor_s839-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bor_s839-processed-gene-0.21&CDS=1-1161	YBL086C
OG0000607	augustus_masked-bor_s81-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s81-processed-gene-0.4&CDS=1-4098	YGR070W, YLR371W
OG0000608	augustus_masked-bor_s822-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s822-processed-gene-0.4&CDS=1-591	YGL096W, YPL177C
OG0000609	augustus_masked-bor_s830-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s830-processed-gene-0.3&CDS=1-516	YLR456W, YPR172W
OG0000610	augustus_masked-bor_s836-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s836-processed-gene-0.9&CDS=1-255, augustus_masked-bor_s84-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s84-processed-gene-0.4&CDS=1-1224	YGR117C
OG0000611	augustus_masked-bor_s839-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bor_s839-processed-gene-0.33&CDS=1-2724	YMR237W, YOR299W
OG0000612	augustus_masked-bor_s839-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s839-processed-gene-0.12&CDS=1-3894	YDR409W, YOR156C
OG0000613	augustus_masked-bor_s839-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-bor_s839-processed-gene-0.47&CDS=1-2760	YHR117W, YNL121C
OG0000614	augustus_masked-bor_s839-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s839-processed-gene-0.26&CDS=1-1020	YAL034C, YOR338W
OG0000615	maker-bor_s843-augustus-gene-0.7-mRNA-1_1&gene=maker-bor_s843-augustus-gene-0.7&CDS=1-1344	YNL108C, YOR110W
OG0000616	augustus_masked-bor_s857-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s857-processed-gene-0.2&CDS=1-480	YBR191W, YPL079W
OG0000617	augustus_masked-bor_s863-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s863-processed-gene-0.4&CDS=1-1083, genemark-bor_s864-processed-gene-0.17-mRNA-1_1&gene=genemark-bor_s864-processed-gene-0.17&CDS=1-1827	YDR051C
OG0000618	augustus_masked-bor_s864-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-bor_s864-processed-gene-0.45&CDS=1-3153	YML100W, YMR261C
OG0000619	snap_masked-bor_s864-processed-gene-0.64-mRNA-1_1&gene=snap_masked-bor_s864-processed-gene-0.64&CDS=1-354	YFL034C-A, YLR061W
OG0000620	snap_masked-bor_s870-processed-gene-0.7-mRNA-1_1&gene=snap_masked-bor_s870-processed-gene-0.7&CDS=1-996	YBR273C, YJL048C
OG0000621	augustus_masked-bor_s881-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bor_s881-processed-gene-0.33&CDS=1-3078, augustus_masked-bor_s882-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s882-processed-gene-0.5&CDS=1-459	YPR026W
OG0000622	augustus_masked-bor_s881-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bor_s881-processed-gene-0.27&CDS=1-1179, augustus_masked-bor_s97-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-bor_s97-processed-gene-0.108&CDS=1-831	YGR189C
OG0000623	augustus_masked-bor_s888-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s888-processed-gene-0.4&CDS=1-435	YGR118W, YPR132W
OG0000624	augustus_masked-bor_s890-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-bor_s890-processed-gene-0.53&CDS=1-4131	YLR028C, YMR120C
OG0000625	genemark-bor_s893-processed-gene-0.12-mRNA-1_1&gene=genemark-bor_s893-processed-gene-0.12&CDS=1-852	YLR270W, YOR173W
OG0000626	augustus_masked-bor_s917-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s917-processed-gene-0.4&CDS=1-813	YMR222C, YOR280C
OG0000627	genemark-bor_s925-processed-gene-0.1-mRNA-1_1&gene=genemark-bor_s925-processed-gene-0.1&CDS=1-516	YGR085C, YPR102C
OG0000628	augustus_masked-bor_s93-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-bor_s93-processed-gene-0.113&CDS=1-2553	YBR172C, YPL105C
OG0000629	augustus_masked-bor_s93-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-bor_s93-processed-gene-0.92&CDS=1-990	YKR076W, YMR251W
OG0000630	augustus_masked-bor_s93-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-bor_s93-processed-gene-0.94&CDS=1-3036	YKL072W, YMR053C
