	Lachancea_mirantina	Saccharomyces_cerevisiae
OG0000433	snap_masked-LAMI0A-processed-gene-4.121-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-4.121&CDS=1-1413	YOR272W
OG0000434	genemark-LAMI0A-processed-gene-4.55-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.55&CDS=1-981	YOR271C
OG0000435	genemark-LAMI0A-processed-gene-4.75-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.75&CDS=1-1245	YMR208W
OG0000436	genemark-LAMI0A-processed-gene-4.57-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.57&CDS=1-1761	YOR267C
OG0000437	snap_masked-LAMI0A-processed-gene-4.123-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-4.123&CDS=1-1188	YOR266W
OG0000438	genemark-LAMI0A-processed-gene-4.77-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.77&CDS=1-321	YOR265W
OG0000439	genemark-LAMI0A-processed-gene-4.79-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.79&CDS=1-1041	YOR262W
OG0000440	genemark-LAMI0A-processed-gene-4.58-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.58&CDS=1-987	YOR261C
OG0000441	genemark-LAMI0A-processed-gene-4.59-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.59&CDS=1-2484	YKL015W
OG0000442	augustus_masked-LAMI0A-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-LAMI0A-processed-gene-4.32&CDS=1-5244	YKL014C
OG0000443	snap_masked-LAMI0A-processed-gene-4.108-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-4.108&CDS=1-942	YML107C
OG0000444	genemark-LAMI0A-processed-gene-4.81-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.81&CDS=1-1137	YMR272C
OG0000445	snap_masked-LAMI0A-processed-gene-4.109-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-4.109&CDS=1-1107	YKL011C
OG0000446	genemark-LAMI0A-processed-gene-4.83-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.83&CDS=1-726	YMR090W
OG0000447	genemark-LAMI0A-processed-gene-4.62-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.62&CDS=1-519	YIR022W
OG0000448	genemark-LAMI0A-processed-gene-4.84-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.84&CDS=1-1704	YKL012W
OG0000449	genemark-LAMI0A-processed-gene-4.63-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.63&CDS=1-513	YKL013C
OG0000450	genemark-LAMI0A-processed-gene-4.64-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.64&CDS=1-3006	YIR023W
OG0000451	snap_masked-LAMI0A-processed-gene-4.130-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-4.130&CDS=1-708	YIR024C
OG0000452	genemark-LAMI0A-processed-gene-4.65-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.65&CDS=1-672	YML106W
OG0000453	genemark-LAMI0A-processed-gene-4.86-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.86&CDS=1-777	YML105C
OG0000454	snap_masked-LAMI0A-processed-gene-4.114-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-4.114&CDS=1-1062	YMR270C
OG0000455	snap_masked-LAMI0A-processed-gene-4.132-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-4.132&CDS=1-3075	YML104C
OG0000456	genemark-LAMI0A-processed-gene-4.88-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.88&CDS=1-597	YMR269W
OG0000457	snap_masked-LAMI0A-processed-gene-4.115-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-4.115&CDS=1-1353	YMR268C
OG0000458	snap_masked-LAMI0A-processed-gene-4.134-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-4.134&CDS=1-4872	YML103C
OG0000459	genemark-LAMI0A-processed-gene-4.90-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.90&CDS=1-879	YMR267W
OG0000460	genemark-LAMI0A-processed-gene-4.91-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.91&CDS=1-2727	YMR266W
OG0000461	genemark-LAMI0A-processed-gene-4.68-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.68&CDS=1-1437	YML102W
OG0000462	genemark-LAMI0A-processed-gene-5.104-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.104&CDS=1-597	YMR264W
OG0000463	maker-LAMI0A-augustus-gene-5.0-mRNA-1_1&gene=maker-LAMI0A-augustus-gene-5.0&CDS=1-1575	YMR262W
OG0000464	genemark-LAMI0A-processed-gene-5.101-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.101&CDS=1-3348	YMR261C
OG0000465	genemark-LAMI0A-processed-gene-5.102-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.102&CDS=1-459	YMR260C
OG0000466	snap_masked-LAMI0A-processed-gene-5.13-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-5.13&CDS=1-4344	YMR259C
OG0000467	genemark-LAMI0A-processed-gene-5.131-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.131&CDS=1-4440	YLR247C
OG0000468	snap_masked-LAMI0A-processed-gene-5.17-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-5.17&CDS=1-1692	YLR248W
OG0000469	genemark-LAMI0A-processed-gene-5.109-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.109&CDS=1-3132	YNL014W
OG0000470	augustus_masked-LAMI0A-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-LAMI0A-processed-gene-5.65&CDS=1-1842	YNL012W
OG0000471	augustus_masked-LAMI0A-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-LAMI0A-processed-gene-5.66&CDS=1-636	YLR250W
OG0000472	genemark-LAMI0A-processed-gene-5.132-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.132&CDS=1-1479	YNL011C
OG0000473	genemark-LAMI0A-processed-gene-5.112-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.112&CDS=1-711	YNL010W
OG0000474	maker-LAMI0A-augustus-gene-5.1-mRNA-1_1&gene=maker-LAMI0A-augustus-gene-5.1&CDS=1-207	YCL005W-A
OG0000475	snap_masked-LAMI0A-processed-gene-5.23-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-5.23&CDS=1-1239	YCL008C
OG0000476	genemark-LAMI0A-processed-gene-5.114-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.114&CDS=1-1425	YLR175W
OG0000477	genemark-LAMI0A-processed-gene-5.133-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.133&CDS=1-1086	YNL007C
OG0000478	genemark-LAMI0A-processed-gene-5.115-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.115&CDS=1-909	YNL006W
OG0000479	genemark-LAMI0A-processed-gene-5.134-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.134&CDS=1-2133	YLR176C
OG0000480	genemark-LAMI0A-processed-gene-5.116-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.116&CDS=1-891	YNL002C
OG0000481	genemark-LAMI0A-processed-gene-5.117-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.117&CDS=1-1086	YCL018W
OG0000482	genemark-LAMI0A-processed-gene-5.135-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.135&CDS=1-1434	YCL017C
OG0000483	genemark-LAMI0A-processed-gene-5.118-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.118&CDS=1-828	YNL003C
OG0000484	genemark-LAMI0A-processed-gene-5.136-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.136&CDS=1-1083	YCL016C
OG0000485	genemark-LAMI0A-processed-gene-5.119-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.119&CDS=1-4545	YCL014W
OG0000486	augustus_masked-LAMI0A-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-LAMI0A-processed-gene-5.92&CDS=1-735	YCL010C
OG0000487	genemark-LAMI0A-processed-gene-5.120-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.120&CDS=1-1101	YNL005C
OG0000488	genemark-LAMI0A-processed-gene-5.138-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.138&CDS=1-903	YCL009C
OG0000489	genemark-LAMI0A-processed-gene-5.122-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.122&CDS=1-1467	YCL004W
OG0000490	genemark-LAMI0A-processed-gene-5.123-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.123&CDS=1-546	YCL001W
OG0000491	genemark-LAMI0A-processed-gene-5.124-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.124&CDS=1-1155	YNL001W
OG0000492	genemark-LAMI0A-processed-gene-5.139-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.139&CDS=1-993	YCR002C
OG0000493	augustus_masked-LAMI0A-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-LAMI0A-processed-gene-5.81&CDS=1-2199	YCR003W
OG0000494	genemark-LAMI0A-processed-gene-5.140-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.140&CDS=1-753	YCR004C
OG0000495	genemark-LAMI0A-processed-gene-5.141-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.141&CDS=1-1413	YNR001C
OG0000496	genemark-LAMI0A-processed-gene-5.127-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.127&CDS=1-1656	YCR008W
OG0000497	snap_masked-LAMI0A-processed-gene-5.54-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-5.54&CDS=1-795	YCR009C
OG0000498	genemark-LAMI0A-processed-gene-5.143-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.143&CDS=1-933	YNR003C
OG0000499	maker-LAMI0A-snap-gene-5.147-mRNA-1_1&gene=maker-LAMI0A-snap-gene-5.147&CDS=1-3141	YCR011C
OG0000500	genemark-LAMI0A-processed-gene-5.128-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.128&CDS=1-7917	YFR019W
OG0000501	genemark-LAMI0A-processed-gene-5.129-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-5.129&CDS=1-2271	YOR018W
OG0000502	augustus_masked-LAMI0A-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-LAMI0A-processed-gene-6.102&CDS=1-1239	YHR016C
OG0000503	snap_masked-LAMI0A-processed-gene-6.55-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-6.55&CDS=1-1026	YHR017W
OG0000504	maker-LAMI0A-augustus-gene-6.52-mRNA-1_1&gene=maker-LAMI0A-augustus-gene-6.52&CDS=1-3009	YHR018C
OG0000505	genemark-LAMI0A-processed-gene-6.5-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.5&CDS=1-2013	YHR020W
OG0000506	genemark-LAMI0A-processed-gene-6.31-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.31&CDS=1-999	YFR025C
OG0000507	genemark-LAMI0A-processed-gene-6.10-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.10&CDS=1-786	YFR027W
OG0000508	genemark-LAMI0A-processed-gene-6.32-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.32&CDS=1-1521	YFR028C
OG0000509	genemark-LAMI0A-processed-gene-6.12-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.12&CDS=1-1080	YOL018C
OG0000510	snap_masked-LAMI0A-processed-gene-6.86-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-6.86&CDS=1-1773	YOL019W
OG0000511	genemark-LAMI0A-processed-gene-6.13-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.13&CDS=1-459	YFR011C
OG0000512	genemark-LAMI0A-processed-gene-6.34-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.34&CDS=1-2937	YFR010W
OG0000513	genemark-LAMI0A-processed-gene-6.14-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.14&CDS=1-480	YIR017C
OG0000514	snap_masked-LAMI0A-processed-gene-6.89-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-6.89&CDS=1-2232	YOL036W
OG0000515	snap_masked-LAMI0A-processed-gene-6.90-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-6.90&CDS=1-762	YOL038W
OG0000516	augustus_masked-LAMI0A-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-LAMI0A-processed-gene-6.110&CDS=1-414	YOL026C
OG0000517	genemark-LAMI0A-processed-gene-6.37-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.37&CDS=1-450	YIR015W
OG0000518	genemark-LAMI0A-processed-gene-6.16-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.16&CDS=1-1683	YOL027C
OG0000519	genemark-LAMI0A-processed-gene-6.17-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.17&CDS=1-2205	YIR007W
OG0000520	genemark-LAMI0A-processed-gene-6.39-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.39&CDS=1-1320	YIR008C
OG0000521	genemark-LAMI0A-processed-gene-6.18-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.18&CDS=1-585	YER012W
OG0000522	genemark-LAMI0A-processed-gene-6.20-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.20&CDS=1-1623	YER014W
OG0000523	genemark-LAMI0A-processed-gene-6.21-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.21&CDS=1-369	YIR009W
OG0000524	genemark-LAMI0A-processed-gene-6.22-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.22&CDS=1-2283	YER015W
OG0000525	genemark-LAMI0A-processed-gene-6.23-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.23&CDS=1-954	YER016W
OG0000526	genemark-LAMI0A-processed-gene-6.41-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.41&CDS=1-897	YPR065W
OG0000527	maker-LAMI0A-snap-gene-6.0-mRNA-1_1&gene=maker-LAMI0A-snap-gene-6.0&CDS=1-3729	YBL098W
OG0000528	genemark-LAMI0A-processed-gene-6.27-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.27&CDS=1-2211	YPR024W
OG0000529	genemark-LAMI0A-processed-gene-6.42-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.42&CDS=1-999	YPR025C
OG0000530	genemark-LAMI0A-processed-gene-6.43-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.43&CDS=1-1644	YBL099W
OG0000531	genemark-LAMI0A-processed-gene-6.28-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.28&CDS=1-3399	YPR026W
OG0000532	genemark-LAMI0A-processed-gene-6.29-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.29&CDS=1-549	YPR028W
OG0000533	genemark-LAMI0A-processed-gene-6.44-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.44&CDS=1-2376	YPR029C
OG0000534	genemark-LAMI0A-processed-gene-6.30-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.30&CDS=1-2856	YBL101C
OG0000535	genemark-LAMI0A-processed-gene-6.45-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.45&CDS=1-633	YBL102W
OG0000536	genemark-LAMI0A-processed-gene-7.3-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.3&CDS=1-1248	YBL103C
OG0000537	genemark-LAMI0A-processed-gene-7.4-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.4&CDS=1-2202	YPR031W
OG0000538	genemark-LAMI0A-processed-gene-7.5-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.5&CDS=1-2889	YBL104C
OG0000539	maker-LAMI0A-snap-gene-7.2-mRNA-1_1&gene=maker-LAMI0A-snap-gene-7.2&CDS=1-999	YGR165W
OG0000540	snap_masked-LAMI0A-processed-gene-7.145-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.145&CDS=1-1902	YJL019W
OG0000541	snap_masked-LAMI0A-processed-gene-7.146-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.146&CDS=1-1518	YJL016W
OG0000542	genemark-LAMI0A-processed-gene-7.8-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.8&CDS=1-1602	YJL014W
OG0000543	genemark-LAMI0A-processed-gene-7.41-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.41&CDS=1-5205	YJL012C
OG0000544	genemark-LAMI0A-processed-gene-7.42-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.42&CDS=1-465	YJL011C
OG0000545	genemark-LAMI0A-processed-gene-7.43-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.43&CDS=1-1443	YGR189C
OG0000546	genemark-LAMI0A-processed-gene-7.12-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.12&CDS=1-906	YJR007W
OG0000547	genemark-LAMI0A-processed-gene-7.13-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.13&CDS=1-972	YJR008W
OG0000548	genemark-LAMI0A-processed-gene-7.14-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.14&CDS=1-1515	YJR010W
OG0000549	snap_masked-LAMI0A-processed-gene-7.186-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.186&CDS=1-1224	YGR193C
OG0000550	maker-LAMI0A-augustus-gene-7.78-mRNA-1_1&gene=maker-LAMI0A-augustus-gene-7.78&CDS=1-2067	YGR194C
OG0000551	snap_masked-LAMI0A-processed-gene-7.190-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.190&CDS=1-360	YJR012C
OG0000552	maker-LAMI0A-augustus-gene-7.74-mRNA-1_1&gene=maker-LAMI0A-augustus-gene-7.74&CDS=1-1947	YGR195W
OG0000553	snap_masked-LAMI0A-processed-gene-7.191-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.191&CDS=1-2250	YGR196C
OG0000554	genemark-LAMI0A-processed-gene-7.18-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.18&CDS=1-594	YJR014W
OG0000555	snap_masked-LAMI0A-processed-gene-7.156-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.156&CDS=1-2226	YGR198W
OG0000556	genemark-LAMI0A-processed-gene-7.50-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.50&CDS=1-2358	YGR200C
OG0000557	genemark-LAMI0A-processed-gene-7.51-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.51&CDS=1-1770	YJR016C
OG0000558	genemark-LAMI0A-processed-gene-7.52-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.52&CDS=1-1182	YGR202C
OG0000559	snap_masked-LAMI0A-processed-gene-7.158-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.158&CDS=1-435	YGR203W
OG0000560	genemark-LAMI0A-processed-gene-7.53-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.53&CDS=1-486	YJR017C
OG0000561	genemark-LAMI0A-processed-gene-7.24-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.24&CDS=1-858	YGR205W
OG0000562	snap_masked-LAMI0A-processed-gene-7.198-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.198&CDS=1-978	YJR021C
OG0000563	genemark-LAMI0A-processed-gene-7.25-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.25&CDS=1-348	YJR022W
OG0000564	maker-LAMI0A-augustus-gene-7.79-mRNA-1_1&gene=maker-LAMI0A-augustus-gene-7.79&CDS=1-1206	YJR024C
OG0000565	snap_masked-LAMI0A-processed-gene-7.164-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.164&CDS=1-294	YGR206W
OG0000566	genemark-LAMI0A-processed-gene-7.59-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.59&CDS=1-774	YGR207C
OG0000567	genemark-LAMI0A-processed-gene-7.26-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.26&CDS=1-927	YGR208W
OG0000568	snap_masked-LAMI0A-processed-gene-7.166-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.166&CDS=1-2583	YLR045C
OG0000569	genemark-LAMI0A-processed-gene-7.65-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.65&CDS=1-1233	YGR210C
OG0000570	genemark-LAMI0A-processed-gene-7.66-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.66&CDS=1-651	YJR073C
OG0000571	genemark-LAMI0A-processed-gene-7.29-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.29&CDS=1-3813	YKL209C
OG0000572	genemark-LAMI0A-processed-gene-7.67-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.67&CDS=1-3045	YKL210W
OG0000573	augustus_masked-LAMI0A-processed-gene-7.104-mRNA-1_1&gene=augustus_masked-LAMI0A-processed-gene-7.104&CDS=1-1593	YJR075W
OG0000574	genemark-LAMI0A-processed-gene-7.68-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.68&CDS=1-1197	YJR076C
OG0000575	genemark-LAMI0A-processed-gene-7.32-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.32&CDS=1-1458	YKL211C
OG0000576	genemark-LAMI0A-processed-gene-7.69-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.69&CDS=1-1878	YKL212W
OG0000577	genemark-LAMI0A-processed-gene-7.33-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.33&CDS=1-2118	YKL213C
OG0000578	genemark-LAMI0A-processed-gene-7.34-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.34&CDS=1-456	YKL214C
OG0000579	genemark-LAMI0A-processed-gene-7.70-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.70&CDS=1-924	YJR077C
OG0000580	genemark-LAMI0A-processed-gene-7.35-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.35&CDS=1-726	YKL070W
OG0000581	genemark-LAMI0A-processed-gene-7.38-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.38&CDS=1-744	YIR042C
OG0000582	snap_masked-LAMI0A-processed-gene-7.179-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-7.179&CDS=1-1752	YPL274W
OG0000583	snap_masked-LAMI0B-processed-gene-0.41-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-0.41&CDS=1-645	YIL161W
OG0000584	genemark-LAMI0B-processed-gene-0.98-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.98&CDS=1-1221	YIL160C
OG0000585	genemark-LAMI0B-processed-gene-0.82-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.82&CDS=1-960	YKR100C
OG0000586	genemark-LAMI0B-processed-gene-0.99-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.99&CDS=1-537	YIL157C
OG0000587	genemark-LAMI0B-processed-gene-0.100-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.100&CDS=1-2088	YKR099W
OG0000588	genemark-LAMI0B-processed-gene-0.83-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.83&CDS=1-2916	YIL156W
OG0000589	genemark-LAMI0B-processed-gene-0.101-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.101&CDS=1-1938	YIL155C
OG0000590	augustus_masked-LAMI0B-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-0.22&CDS=1-828	YNL166C
OG0000591	augustus_masked-LAMI0B-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-0.6&CDS=1-993	YNL165W
OG0000592	augustus_masked-LAMI0B-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LAMI0B-processed-gene-0.23&CDS=1-777	YHR143W
OG0000593	genemark-LAMI0B-processed-gene-0.104-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.104&CDS=1-816	YNL164C
OG0000594	genemark-LAMI0B-processed-gene-0.105-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.105&CDS=1-3258	YNL163C
OG0000595	genemark-LAMI0B-processed-gene-0.106-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.106&CDS=1-948	YHR142W
OG0000596	genemark-LAMI0B-processed-gene-0.87-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.87&CDS=1-2139	YNL161W
OG0000597	genemark-LAMI0B-processed-gene-0.107-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.107&CDS=1-675	YHR140W
OG0000598	genemark-LAMI0B-processed-gene-0.89-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.89&CDS=1-1494	YNL142W
OG0000599	maker-LAMI0B-snap-gene-0.37-mRNA-1_1&gene=maker-LAMI0B-snap-gene-0.37&CDS=1-387	YNL153C
OG0000600	genemark-LAMI0B-processed-gene-0.110-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.110&CDS=1-1578	YHR137W
OG0000601	genemark-LAMI0B-processed-gene-0.112-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.112&CDS=1-1068	YNL141W
OG0000602	genemark-LAMI0B-processed-gene-0.115-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.115&CDS=1-711	YHR134W
OG0000603	genemark-LAMI0B-processed-gene-0.92-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.92&CDS=1-786	YNL156C
OG0000604	genemark-LAMI0B-processed-gene-0.116-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.116&CDS=1-384	YHR132W-A
OG0000605	genemark-LAMI0B-processed-gene-0.93-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.93&CDS=1-1284	YHR132C
OG0000606	snap_masked-LAMI0B-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-0.77&CDS=1-570	YNL158W
OG0000607	snap_masked-LAMI0B-processed-gene-1.8-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-1.8&CDS=1-756	YNL159C
OG0000608	genemark-LAMI0B-processed-gene-1.112-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.112&CDS=1-2181	YHR131C
OG0000609	genemark-LAMI0B-processed-gene-1.116-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.116&CDS=1-678	YHR128W
OG0000610	snap_masked-LAMI0B-processed-gene-1.15-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-1.15&CDS=1-327	YNL147W
OG0000611	genemark-LAMI0B-processed-gene-1.114-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.114&CDS=1-762	YNL148C
OG0000612	genemark-LAMI0B-processed-gene-1.115-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.115&CDS=1-381	YNL149C
OG0000613	genemark-LAMI0B-processed-gene-1.118-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-1.118&CDS=1-699	YNL151C
OG0000614	snap_masked-LAMI0B-processed-gene-1.38-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-1.38&CDS=1-1092	YNL152W
OG0000615	snap_masked-LAMI0B-processed-gene-1.39-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-1.39&CDS=1-4851	YNL139C
OG0000616	snap_masked-LAMI0B-processed-gene-1.40-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-1.40&CDS=1-630	YHR127W
