	Lachancea_fermentati	Saccharomyces_cerevisiae
OG0000544	snap_masked-LAFE0A-processed-gene-6.190-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.190&CDS=1-1197	YJR075W
OG0000545	snap_masked-LAFE0A-processed-gene-6.232-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.232&CDS=1-1212	YJR076C
OG0000546	snap_masked-LAFE0A-processed-gene-6.191-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.191&CDS=1-1470	YKL211C
OG0000547	snap_masked-LAFE0A-processed-gene-6.233-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.233&CDS=1-1869	YKL212W
OG0000548	maker-LAFE0A-augustus-gene-6.81-mRNA-1_1&gene=maker-LAFE0A-augustus-gene-6.81&CDS=1-2553	YKL213C
OG0000549	snap_masked-LAFE0A-processed-gene-6.234-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.234&CDS=1-924	YJR077C
OG0000550	snap_masked-LAFE0B-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.67&CDS=1-1491	YNR058W
OG0000551	maker-LAFE0B-augustus-gene-0.40-mRNA-1_1&gene=maker-LAFE0B-augustus-gene-0.40&CDS=1-2337	YNR056C
OG0000552	augustus_masked-LAFE0B-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-0.84&CDS=1-1557	YFL049W
OG0000553	augustus_masked-LAFE0B-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-0.107&CDS=1-1302	YFL048C
OG0000554	snap_masked-LAFE0B-processed-gene-0.47-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.47&CDS=1-2100	YFL047W
OG0000555	augustus_masked-LAFE0B-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-0.109&CDS=1-738	YLR079W
OG0000556	augustus_masked-LAFE0B-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-0.86&CDS=1-717	YLR078C
OG0000557	snap_masked-LAFE0B-processed-gene-0.72-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.72&CDS=1-1758	YLR077W
OG0000558	augustus_masked-LAFE0B-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-0.87&CDS=1-633	YFL046W
OG0000559	snap_masked-LAFE0B-processed-gene-0.73-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.73&CDS=1-765	YFL045C
OG0000560	snap_masked-LAFE0B-processed-gene-0.74-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.74&CDS=1-660	YLR075W
OG0000561	snap_masked-LAFE0B-processed-gene-0.49-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.49&CDS=1-510	YLR074C
OG0000562	snap_masked-LAFE0B-processed-gene-0.75-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.75&CDS=1-855	YFL044C
OG0000563	snap_masked-LAFE0B-processed-gene-0.50-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.50&CDS=1-564	YLR073C
OG0000564	genemark-LAFE0B-processed-gene-0.35-mRNA-1_1&gene=genemark-LAFE0B-processed-gene-0.35&CDS=1-2601	YFL042C
OG0000565	snap_masked-LAFE0B-processed-gene-0.51-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.51&CDS=1-2838	YLR071C
OG0000566	augustus_masked-LAFE0B-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-0.92&CDS=1-3945	YLR069C
OG0000567	snap_masked-LAFE0B-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.77&CDS=1-438	YLR068W
OG0000568	snap_masked-LAFE0B-processed-gene-0.55-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.55&CDS=1-2820	YLR067C
OG0000569	snap_masked-LAFE0B-processed-gene-0.78-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.78&CDS=1-594	YLR066W
OG0000570	snap_masked-LAFE0B-processed-gene-1.6-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.6&CDS=1-612	YFL038C
OG0000571	snap_masked-LAFE0B-processed-gene-1.7-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.7&CDS=1-786	YLR064W
OG0000572	snap_masked-LAFE0B-processed-gene-1.3-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.3&CDS=1-1347	YFL037W
OG0000573	augustus_masked-LAFE0B-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-1.56&CDS=1-3879	YFL036W
OG0000574	maker-LAFE0B-snap-gene-1.160-mRNA-1_1&gene=maker-LAFE0B-snap-gene-1.160&CDS=1-819	YFL034C-B
OG0000575	snap_masked-LAFE0B-processed-gene-1.9-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.9&CDS=1-1002	YLR063W
OG0000576	maker-LAFE0B-snap-gene-1.161-mRNA-1_1&gene=maker-LAFE0B-snap-gene-1.161&CDS=1-357	YLR061W
OG0000577	snap_masked-LAFE0B-processed-gene-1.5-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.5&CDS=1-2988	YFL034W
OG0000578	maker-LAFE0B-augustus-gene-1.155-mRNA-1_1&gene=maker-LAFE0B-augustus-gene-1.155&CDS=1-6399	YLR060W
OG0000579	snap_masked-LAFE0B-processed-gene-1.11-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.11&CDS=1-876	YLR059C
OG0000580	snap_masked-LAFE0B-processed-gene-1.12-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.12&CDS=1-4365	YBL079W
OG0000581	snap_masked-LAFE0B-processed-gene-1.31-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.31&CDS=1-360	YBL078C
OG0000582	snap_masked-LAFE0B-processed-gene-1.33-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.33&CDS=1-3216	YBL076C
OG0000583	snap_masked-LAFE0B-processed-gene-1.13-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.13&CDS=1-246	YBL071W-A
OG0000584	snap_masked-LAFE0B-processed-gene-1.37-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.37&CDS=1-753	YER100W
OG0000585	snap_masked-LAFE0B-processed-gene-1.15-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.15&CDS=1-954	YER099C
OG0000586	snap_masked-LAFE0B-processed-gene-1.40-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.40&CDS=1-3087	YBL066C
OG0000587	snap_masked-LAFE0B-processed-gene-1.41-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.41&CDS=1-744	YBL064C
OG0000588	snap_masked-LAFE0B-processed-gene-1.42-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.42&CDS=1-1995	YBL061C
OG0000589	snap_masked-LAFE0B-processed-gene-1.43-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.43&CDS=1-1155	YER095W
OG0000590	snap_masked-LAFE0B-processed-gene-1.17-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.17&CDS=1-1869	YBL060W
OG0000591	maker-LAFE0B-snap-gene-1.158-mRNA-1_1&gene=maker-LAFE0B-snap-gene-1.158&CDS=1-615	YER094C
OG0000592	snap_masked-LAFE0B-processed-gene-1.44-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.44&CDS=1-321	YBL059C-A
OG0000593	maker-LAFE0B-snap-gene-1.159-mRNA-1_1&gene=maker-LAFE0B-snap-gene-1.159&CDS=1-456	YER093C-A
OG0000594	snap_masked-LAFE0B-processed-gene-1.20-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.20&CDS=1-3969	YER093C
OG0000595	snap_masked-LAFE0B-processed-gene-1.45-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.45&CDS=1-342	YER092W
OG0000596	snap_masked-LAFE0B-processed-gene-1.21-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.21&CDS=1-2304	YER091C
OG0000597	snap_masked-LAFE0B-processed-gene-1.22-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.22&CDS=1-1152	YBL058W
OG0000598	snap_masked-LAFE0B-processed-gene-1.46-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.46&CDS=1-633	YBL057C
OG0000599	snap_masked-LAFE0B-processed-gene-1.47-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.47&CDS=1-1515	YER090W
OG0000600	snap_masked-LAFE0B-processed-gene-1.23-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.23&CDS=1-1314	YBL056W
OG0000601	snap_masked-LAFE0B-processed-gene-1.48-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.48&CDS=1-1212	YBL055C
OG0000602	snap_masked-LAFE0B-processed-gene-1.24-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.24&CDS=1-1563	YER088C
OG0000603	snap_masked-LAFE0B-processed-gene-1.49-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.49&CDS=1-2250	YBL052C
OG0000604	snap_masked-LAFE0B-processed-gene-1.50-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.50&CDS=1-1080	YMR318C
OG0000605	snap_masked-LAFE0B-processed-gene-1.51-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.51&CDS=1-1548	YBL051C
OG0000606	snap_masked-LAFE0B-processed-gene-1.25-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.25&CDS=1-267	YER019C-A
OG0000607	snap_masked-LAFE0B-processed-gene-1.52-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.52&CDS=1-1704	YER087W
OG0000608	snap_masked-LAFE0B-processed-gene-1.53-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.53&CDS=1-1686	YER086W
OG0000609	snap_masked-LAFE0B-processed-gene-1.26-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.26&CDS=1-1278	YLR190W
OG0000610	snap_masked-LAFE0B-processed-gene-1.27-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.27&CDS=1-1161	YLR191W
OG0000611	snap_masked-LAFE0B-processed-gene-2.93-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.93&CDS=1-1695	YDL174C
OG0000612	snap_masked-LAFE0B-processed-gene-2.94-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.94&CDS=1-819	YLR192C
OG0000613	snap_masked-LAFE0B-processed-gene-2.92-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.92&CDS=1-468	YDL173W
OG0000614	snap_masked-LAFE0B-processed-gene-2.95-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.95&CDS=1-6423	YDL171C
OG0000615	snap_masked-LAFE0B-processed-gene-2.118-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.118&CDS=1-1347	YLR195C
OG0000616	snap_masked-LAFE0B-processed-gene-2.96-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.96&CDS=1-1677	YLR196W
OG0000617	snap_masked-LAFE0B-processed-gene-2.119-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.119&CDS=1-477	YDL169C
OG0000618	snap_masked-LAFE0B-processed-gene-2.97-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.97&CDS=1-1512	YLR197W
OG0000619	augustus_masked-LAFE0B-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-2.73&CDS=1-810	YLR199C
OG0000620	snap_masked-LAFE0B-processed-gene-2.98-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.98&CDS=1-345	YLR200W
OG0000621	snap_masked-LAFE0B-processed-gene-2.121-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.121&CDS=1-756	YLR201C
OG0000622	snap_masked-LAFE0B-processed-gene-2.99-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.99&CDS=1-1146	YDL168W
OG0000623	snap_masked-LAFE0B-processed-gene-2.122-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.122&CDS=1-1527	YDL167C
OG0000624	snap_masked-LAFE0B-processed-gene-2.123-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.123&CDS=1-636	YDL166C
OG0000625	snap_masked-LAFE0B-processed-gene-2.100-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.100&CDS=1-576	YDL165W
OG0000626	augustus_masked-LAFE0B-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-2.77&CDS=1-1266	YLR203C
OG0000627	snap_masked-LAFE0B-processed-gene-2.125-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.125&CDS=1-927	YLR205C
OG0000628	snap_masked-LAFE0B-processed-gene-2.126-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.126&CDS=1-2130	YDL164C
OG0000629	snap_masked-LAFE0B-processed-gene-2.102-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.102&CDS=1-1425	YDL161W
OG0000630	snap_masked-LAFE0B-processed-gene-2.127-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.127&CDS=1-258	YDL160C-A
OG0000631	snap_masked-LAFE0B-processed-gene-2.103-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.103&CDS=1-2400	YLR207W
OG0000632	snap_masked-LAFE0B-processed-gene-2.104-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.104&CDS=1-882	YLR208W
OG0000633	snap_masked-LAFE0B-processed-gene-2.129-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.129&CDS=1-915	YLR209C
OG0000634	snap_masked-LAFE0B-processed-gene-2.130-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.130&CDS=1-1494	YDL160C
OG0000635	snap_masked-LAFE0B-processed-gene-2.105-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.105&CDS=1-1368	YDL159W
OG0000636	snap_masked-LAFE0B-processed-gene-2.131-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.131&CDS=1-222	YDL157C
OG0000637	snap_masked-LAFE0B-processed-gene-2.106-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.106&CDS=1-1521	YDL156W
OG0000638	snap_masked-LAFE0B-processed-gene-2.132-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.132&CDS=1-738	YDR391C
OG0000639	snap_masked-LAFE0B-processed-gene-2.107-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.107&CDS=1-1344	YDL155W
OG0000640	snap_masked-LAFE0B-processed-gene-2.134-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.134&CDS=1-1785	YDL153C
OG0000641	snap_masked-LAFE0B-processed-gene-2.108-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.108&CDS=1-1224	YDL150W
OG0000642	augustus_masked-LAFE0B-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-2.62&CDS=1-2736	YDL149W
OG0000643	snap_masked-LAFE0B-processed-gene-2.135-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.135&CDS=1-2433	YDL148C
OG0000644	snap_masked-LAFE0B-processed-gene-2.110-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.110&CDS=1-1323	YDL147W
OG0000645	snap_masked-LAFE0B-processed-gene-2.136-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.136&CDS=1-648	YLR211C
OG0000646	snap_masked-LAFE0B-processed-gene-2.111-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.111&CDS=1-1443	YDL146W
OG0000647	augustus_masked-LAFE0B-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-2.89&CDS=1-6489	YDL145C
OG0000648	snap_masked-LAFE0B-processed-gene-2.140-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.140&CDS=1-1086	YDL144C
OG0000649	snap_masked-LAFE0B-processed-gene-2.112-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.112&CDS=1-2058	YLR214W
OG0000650	snap_masked-LAFE0B-processed-gene-2.141-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.141&CDS=1-1071	YLR215C
OG0000651	snap_masked-LAFE0B-processed-gene-2.113-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.113&CDS=1-1584	YDL143W
OG0000652	genemark-LAFE0B-processed-gene-2.45-mRNA-1_1&gene=genemark-LAFE0B-processed-gene-2.45&CDS=1-780	YDL142C
OG0000653	snap_masked-LAFE0B-processed-gene-2.115-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.115&CDS=1-2046	YDL141W
OG0000654	snap_masked-LAFE0B-processed-gene-3.2-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.2&CDS=1-5202	YDL140C
OG0000655	snap_masked-LAFE0B-processed-gene-3.3-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.3&CDS=1-1110	YLR216C
OG0000656	snap_masked-LAFE0B-processed-gene-3.4-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.4&CDS=1-642	YDL139C
OG0000657	snap_masked-LAFE0B-processed-gene-3.5-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.5&CDS=1-252	YLR218C
OG0000658	snap_masked-LAFE0B-processed-gene-3.0-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.0&CDS=1-3717	YDL195W
OG0000659	snap_masked-LAFE0B-processed-gene-3.6-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.6&CDS=1-1050	YDL193W
OG0000660	snap_masked-LAFE0B-processed-gene-3.34-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.34&CDS=1-2856	YDL190C
OG0000661	snap_masked-LAFE0B-processed-gene-3.10-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.10&CDS=1-1029	YDL189W
OG0000662	snap_masked-LAFE0B-processed-gene-3.35-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.35&CDS=1-600	YDL135C
OG0000663	snap_masked-LAFE0B-processed-gene-3.36-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.36&CDS=1-1071	YDL134C
OG0000664	snap_masked-LAFE0B-processed-gene-3.12-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.12&CDS=1-705	YDL186W
OG0000665	snap_masked-LAFE0B-processed-gene-3.13-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.13&CDS=1-1851	YDL185W
OG0000666	snap_masked-LAFE0B-processed-gene-3.37-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.37&CDS=1-933	YDL183C
OG0000667	snap_masked-LAFE0B-processed-gene-3.14-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.14&CDS=1-1362	YDL133W
OG0000668	snap_masked-LAFE0B-processed-gene-3.15-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.15&CDS=1-2400	YDL132W
OG0000669	snap_masked-LAFE0B-processed-gene-3.17-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.17&CDS=1-255	YDL181W
OG0000670	maker-LAFE0B-snap-gene-3.100-mRNA-1_1&gene=maker-LAFE0B-snap-gene-3.100&CDS=1-315	YDL130W
OG0000671	snap_masked-LAFE0B-processed-gene-3.19-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.19&CDS=1-1209	YDL180W
OG0000672	snap_masked-LAFE0B-processed-gene-3.20-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.20&CDS=1-1224	YDL128W
OG0000673	snap_masked-LAFE0B-processed-gene-3.21-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.21&CDS=1-942	YDL179W
OG0000674	maker-LAFE0B-snap-gene-3.103-mRNA-1_1&gene=maker-LAFE0B-snap-gene-3.103&CDS=1-2841	YDL126C
OG0000675	snap_masked-LAFE0B-processed-gene-3.23-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.23&CDS=1-936	YDL124W
OG0000676	snap_masked-LAFE0B-processed-gene-3.41-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.41&CDS=1-444	YDL177C
OG0000677	augustus_masked-LAFE0B-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-3.73&CDS=1-2064	YDL176W
OG0000678	snap_masked-LAFE0B-processed-gene-3.25-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.25&CDS=1-2184	YIL078W
OG0000679	snap_masked-LAFE0B-processed-gene-3.42-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.42&CDS=1-963	YIL077C
OG0000680	snap_masked-LAFE0B-processed-gene-3.26-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.26&CDS=1-870	YIL076W
OG0000681	augustus_masked-LAFE0B-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-3.76&CDS=1-888	YER083C
OG0000682	snap_masked-LAFE0B-processed-gene-3.28-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.28&CDS=1-1656	YER082C
OG0000683	snap_masked-LAFE0B-processed-gene-3.44-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.44&CDS=1-2820	YIL075C
OG0000684	snap_masked-LAFE0B-processed-gene-3.46-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.46&CDS=1-1863	YER080W
OG0000685	snap_masked-LAFE0B-processed-gene-3.47-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.47&CDS=1-654	YER079W
OG0000686	maker-LAFE0B-augustus-gene-3.108-mRNA-1_1&gene=maker-LAFE0B-augustus-gene-3.108&CDS=1-3321	YER078C
OG0000687	snap_masked-LAFE0B-processed-gene-3.48-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.48&CDS=1-1263	YIL071C
OG0000688	snap_masked-LAFE0B-processed-gene-3.31-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.31&CDS=1-1935	YER077C
OG0000689	snap_masked-LAFE0B-processed-gene-3.49-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.49&CDS=1-786	YIL070C
OG0000690	snap_masked-LAFE0B-processed-gene-3.32-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.32&CDS=1-2556	YER075C
OG0000691	genemark-LAFE0B-processed-gene-4.123-mRNA-1_1&gene=genemark-LAFE0B-processed-gene-4.123&CDS=1-2751	YIL068C
OG0000692	maker-LAFE0B-snap-gene-3.102-mRNA-1_1&gene=maker-LAFE0B-snap-gene-3.102&CDS=1-657	YIL068W-A
OG0000693	snap_masked-LAFE0B-processed-gene-4.55-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.55&CDS=1-2037	YIL067C
OG0000694	snap_masked-LAFE0B-processed-gene-4.56-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.56&CDS=1-2631	YER070W
OG0000695	snap_masked-LAFE0B-processed-gene-4.57-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.57&CDS=1-465	YIL065C
OG0000696	snap_masked-LAFE0B-processed-gene-4.52-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.52&CDS=1-696	YIL064W
OG0000697	augustus_masked-LAFE0B-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-4.6&CDS=1-1509	YIL062C
OG0000698	snap_masked-LAFE0B-processed-gene-4.60-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.60&CDS=1-2550	YER069W
OG0000699	maker-LAFE0B-snap-gene-4.116-mRNA-1_1&gene=maker-LAFE0B-snap-gene-4.116&CDS=1-2628	YER068W
OG0000700	snap_masked-LAFE0B-processed-gene-4.89-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.89&CDS=1-480	YIL057C
OG0000701	snap_masked-LAFE0B-processed-gene-4.64-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.64&CDS=1-1668	YER065C
OG0000702	maker-LAFE0B-snap-gene-4.113-mRNA-1_1&gene=maker-LAFE0B-snap-gene-4.113&CDS=1-1707	YIL056W
OG0000703	snap_masked-LAFE0B-processed-gene-4.90-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.90&CDS=1-1326	YIL055C
OG0000704	snap_masked-LAFE0B-processed-gene-4.91-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.91&CDS=1-453	YER063W
OG0000705	snap_masked-LAFE0B-processed-gene-4.67-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.67&CDS=1-1275	YER061C
OG0000706	snap_masked-LAFE0B-processed-gene-4.94-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.94&CDS=1-297	YER058W
OG0000707	snap_masked-LAFE0B-processed-gene-4.68-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.68&CDS=1-384	YIL051C
OG0000708	snap_masked-LAFE0B-processed-gene-4.70-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.70&CDS=1-3417	YIL048W
OG0000709	snap_masked-LAFE0B-processed-gene-4.95-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.95&CDS=1-2529	YIL047C
OG0000710	maker-LAFE0B-snap-gene-4.114-mRNA-1_1&gene=maker-LAFE0B-snap-gene-4.114&CDS=1-891	YER055C
OG0000711	snap_masked-LAFE0B-processed-gene-4.72-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.72&CDS=1-1767	YIL046W
OG0000712	augustus_masked-LAFE0B-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-4.19&CDS=1-939	YER053C
OG0000713	snap_masked-LAFE0B-processed-gene-4.96-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.96&CDS=1-837	YIL044C
OG0000714	augustus_masked-LAFE0B-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-4.20&CDS=1-612	YNL111C
OG0000715	snap_masked-LAFE0B-processed-gene-4.75-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.75&CDS=1-1569	YER052C
OG0000716	snap_masked-LAFE0B-processed-gene-4.97-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.97&CDS=1-855	YIL043C
OG0000717	snap_masked-LAFE0B-processed-gene-4.98-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.98&CDS=1-1395	YER051W
OG0000718	snap_masked-LAFE0B-processed-gene-4.76-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.76&CDS=1-513	YER050C
OG0000719	augustus_masked-LAFE0B-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-4.41&CDS=1-1275	YIL042C
OG0000720	snap_masked-LAFE0B-processed-gene-4.77-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-4.77&CDS=1-1044	YIL041W
OG0000721	genemark-LAFE0B-processed-gene-4.167-mRNA-1_1&gene=genemark-LAFE0B-processed-gene-4.167&CDS=1-2139	YER049W
