	Candida_tenuis	Saccharomyces_cerevisiae
OG0000160	snap_masked-scaffold_00021-processed-gene-16.12-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-16.12&CDS=1-1668, snap_masked-scaffold_00022-processed-gene-19.55-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-19.55&CDS=1-1773	YDR037W, YNL073W
OG0000161	snap_masked-scaffold_00021-processed-gene-16.37-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-16.37&CDS=1-807, snap_masked-scaffold_00022-processed-gene-12.99-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-12.99&CDS=1-801	YHL033C, YLL045C
OG0000162	snap_masked-scaffold_00021-processed-gene-17.22-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-17.22&CDS=1-888	YLL062C, YMR321C, YPL273W
OG0000163	snap_masked-scaffold_00021-processed-gene-18.61-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-18.61&CDS=1-1008, snap_masked-scaffold_00022-processed-gene-10.21-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-10.21&CDS=1-2535	YGR052W, YHR082C
OG0000164	maker-scaffold_00021-augustus-gene-19.0-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-19.0&CDS=1-6495, snap_masked-scaffold_00022-processed-gene-17.33-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-17.33&CDS=1-5604, snap_masked-scaffold_00022-processed-gene-2.51-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.51&CDS=1-5217	YGR032W
OG0000165	snap_masked-scaffold_00021-processed-gene-21.57-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-21.57&CDS=1-399	YDR276C, YDR525W-A, YJL151C
OG0000166	maker-scaffold_00021-augustus-gene-24.150-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-24.150&CDS=1-1608	YDL246C, YJR159W, YLR070C
OG0000167	snap_masked-scaffold_00022-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.45&CDS=1-1539	YER056C, YER060W, YER060W-A
OG0000168	augustus_masked-scaffold_00022-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-2.5&CDS=1-2295, snap_masked-scaffold_00022-processed-gene-16.15-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-16.15&CDS=1-1635	YHR002W, YHR124W
OG0000169	snap_masked-scaffold_00022-processed-gene-3.42-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.42&CDS=1-1731	YOL055C, YPL258C, YPR121W
OG0000170	augustus_masked-scaffold_00022-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.93&CDS=1-2385, augustus_masked-scaffold_00022-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.77&CDS=1-2496	YJR107W, YMR065W
OG0000171	maker-scaffold_00022-augustus-gene-12.11-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-12.11&CDS=1-1710	YGR154C, YKR076W, YMR251W
OG0000172	augustus_masked-scaffold_00004-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-0.65&CDS=1-6699, snap_masked-scaffold_00004-processed-gene-0.32-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.32&CDS=1-1713	YDL060W
OG0000173	snap_masked-scaffold_00004-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.3&CDS=1-1839	YDL229W, YNL209W
OG0000174	genemark-scaffold_00009-processed-gene-5.137-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-5.137&CDS=1-3567, snap_masked-scaffold_00004-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.24&CDS=1-2598	YDR490C
OG0000175	snap_masked-scaffold_00004-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.53&CDS=1-309	YGR209C, YLR043C
OG0000176	snap_masked-scaffold_00004-processed-gene-1.57-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.57&CDS=1-2010, snap_masked-scaffold_00022-processed-gene-19.28-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-19.28&CDS=1-1602	YDL174C
OG0000177	snap_masked-scaffold_00004-processed-gene-2.6-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-2.6&CDS=1-822	YDL222C, YNL194C
OG0000178	genemark-scaffold_00008-processed-gene-0.109-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-0.109&CDS=1-1176, snap_masked-scaffold_00004-processed-gene-2.37-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-2.37&CDS=1-1158	YOR084W
OG0000179	augustus_masked-scaffold_00004-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-2.91&CDS=1-3849	YDR409W, YOR156C
OG0000180	snap_masked-scaffold_00004-processed-gene-2.23-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-2.23&CDS=1-672	YBR105C, YGR066C
OG0000181	augustus_masked-scaffold_00004-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-2.102&CDS=1-3876	YAL017W, YOL045W
OG0000182	snap_masked-scaffold_00004-processed-gene-3.54-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-3.54&CDS=1-906, snap_masked-scaffold_00022-processed-gene-9.48-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-9.48&CDS=1-843	YER175C
OG0000183	snap_masked-scaffold_00004-processed-gene-3.50-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-3.50&CDS=1-1104	YAL015C, YOL043C
OG0000184	snap_masked-scaffold_00004-processed-gene-3.61-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-3.61&CDS=1-2028, snap_masked-scaffold_00022-processed-gene-4.38-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.38&CDS=1-2070	YPR074C
OG0000185	snap_masked-scaffold_00004-processed-gene-3.63-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-3.63&CDS=1-1428	YBR214W, YGL056C
OG0000186	snap_masked-scaffold_00004-processed-gene-3.86-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-3.86&CDS=1-1047	YGL082W, YPL191C
OG0000187	genemark-scaffold_00009-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-1.67&CDS=1-2883, snap_masked-scaffold_00004-processed-gene-4.0-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-4.0&CDS=1-2877	YJL098W
OG0000188	snap_masked-scaffold_00004-processed-gene-4.4-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-4.4&CDS=1-987	YCL064C, YIL167W
OG0000189	maker-scaffold_00004-augustus-gene-4.82-mRNA-1_1&gene=maker-scaffold_00004-augustus-gene-4.82&CDS=1-1398	YIL111W, YNL052W
OG0000190	augustus_masked-scaffold_00004-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-4.80&CDS=1-948	YDL175C, YIL079C
OG0000191	augustus_masked-scaffold_00004-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-5.10&CDS=1-2115	YCL011C, YNL004W
OG0000192	maker-scaffold_00004-snap-gene-5.104-mRNA-1_1&gene=maker-scaffold_00004-snap-gene-5.104&CDS=1-339	YDL075W, YLR406C
OG0000193	snap_masked-scaffold_00004-processed-gene-6.47-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-6.47&CDS=1-480	YBR191W, YPL079W
OG0000194	maker-scaffold_00004-snap-gene-7.165-mRNA-1_1&gene=maker-scaffold_00004-snap-gene-7.165&CDS=1-1425	YMR042W, YMR043W
OG0000195	maker-scaffold_00004-augustus-gene-7.181-mRNA-1_1&gene=maker-scaffold_00004-augustus-gene-7.181&CDS=1-354	YLR264W, YOR167C
OG0000196	snap_masked-scaffold_00004-processed-gene-7.16-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-7.16&CDS=1-2523, snap_masked-scaffold_00021-processed-gene-11.95-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-11.95&CDS=1-2562	YLR241W
OG0000197	genemark-scaffold_00018-processed-gene-4.109-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-4.109&CDS=1-1902, snap_masked-scaffold_00004-processed-gene-7.22-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-7.22&CDS=1-1887	YNL045W
OG0000198	snap_masked-scaffold_00004-processed-gene-7.24-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-7.24&CDS=1-390	YJL190C, YLR367W
OG0000199	maker-scaffold_00004-snap-gene-7.166-mRNA-1_1&gene=maker-scaffold_00004-snap-gene-7.166&CDS=1-405	YCR031C, YJL191W
OG0000200	snap_masked-scaffold_00004-processed-gene-7.69-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-7.69&CDS=1-1719	YDR200C, YLR238W
OG0000201	snap_masked-scaffold_00004-processed-gene-7.77-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-7.77&CDS=1-651	YDR185C, YLR168C
OG0000202	genemark-scaffold_00015-processed-gene-4.142-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.142&CDS=1-1626, maker-scaffold_00006-augustus-gene-0.7-mRNA-1_1&gene=maker-scaffold_00006-augustus-gene-0.7&CDS=1-3120	YBR293W
OG0000203	genemark-scaffold_00006-processed-gene-1.142-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-1.142&CDS=1-1404	YDR132C, YLR108C
OG0000204	genemark-scaffold_00006-processed-gene-1.144-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-1.144&CDS=1-1848	YDR107C, YLR083C
OG0000205	augustus_masked-scaffold_00006-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-1.44&CDS=1-6801	YEL022W, YJR031C
OG0000206	genemark-scaffold_00006-processed-gene-2.8-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-2.8&CDS=1-1596, genemark-scaffold_00006-processed-gene-6.116-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-6.116&CDS=1-1206	YDR143C
OG0000207	augustus_masked-scaffold_00006-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-2.132&CDS=1-5451	YHR117W, YNL121C
OG0000208	genemark-scaffold_00006-processed-gene-2.22-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-2.22&CDS=1-1761	YEL039C, YJR048W
OG0000209	genemark-scaffold_00006-processed-gene-2.27-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-2.27&CDS=1-945	YCR073W-A, YNR034W
OG0000210	augustus_masked-scaffold_00015-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-7.126&CDS=1-1695, genemark-scaffold_00006-processed-gene-3.76-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-3.76&CDS=1-537	YGL004C
OG0000211	genemark-scaffold_00006-processed-gene-4.61-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-4.61&CDS=1-1455, snap_masked-scaffold_00022-processed-gene-13.66-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-13.66&CDS=1-1458	YDR256C
OG0000212	genemark-scaffold_00006-processed-gene-4.69-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-4.69&CDS=1-1476	YMR199W, YPL256C
OG0000213	augustus_masked-scaffold_00006-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-4.127&CDS=1-6621	YLR450W, YML075C
OG0000214	genemark-scaffold_00006-processed-gene-4.82-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-4.82&CDS=1-693, snap_masked-scaffold_00006-processed-gene-4.51-mRNA-1_1&gene=snap_masked-scaffold_00006-processed-gene-4.51&CDS=1-579	YHR140W
OG0000215	maker-scaffold_00006-augustus-gene-4.6-mRNA-1_1&gene=maker-scaffold_00006-augustus-gene-4.6&CDS=1-1761	YHR132W-A, YNL157W
OG0000216	augustus_masked-scaffold_00006-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-4.141&CDS=1-1539	YHR133C, YNL156C
OG0000217	genemark-scaffold_00006-processed-gene-5.49-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-5.49&CDS=1-2184	YBR238C, YGL107C
OG0000218	augustus_masked-scaffold_00006-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-5.99&CDS=1-2973	YLR284C, YOR180C
OG0000219	genemark-scaffold_00006-processed-gene-5.77-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-5.77&CDS=1-399	YGR243W, YHR162W
OG0000220	genemark-scaffold_00006-processed-gene-5.84-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-5.84&CDS=1-1161, genemark-scaffold_00006-processed-gene-7.19-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-7.19&CDS=1-1179	YGR263C
OG0000221	genemark-scaffold_00006-processed-gene-6.102-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-6.102&CDS=1-678	YFL061W, YNL335W
OG0000222	augustus_masked-scaffold_00006-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-6.12&CDS=1-1338	YGR108W, YPR119W
OG0000223	genemark-scaffold_00006-processed-gene-6.125-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-6.125&CDS=1-1440	YDL161W, YLR206W
OG0000224	augustus_masked-scaffold_00006-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-6.15&CDS=1-3078, genemark-scaffold_00006-processed-gene-9.47-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-9.47&CDS=1-1350	YMR238W
OG0000225	genemark-scaffold_00006-processed-gene-6.109-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-6.109&CDS=1-1692	YHL017W, YKL039W
OG0000226	augustus_masked-scaffold_00006-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-7.109&CDS=1-2745	YGR038W, YLR350W
OG0000227	genemark-scaffold_00006-processed-gene-7.22-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-7.22&CDS=1-1416	YCL040W, YDR516C
OG0000228	augustus_masked-scaffold_00006-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-7.115&CDS=1-3177	YKL081W, YPL048W
OG0000229	augustus_masked-scaffold_00018-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-scaffold_00018-processed-gene-4.23&CDS=1-3702, genemark-scaffold_00006-processed-gene-8.57-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-8.57&CDS=1-2346	YER017C
OG0000230	genemark-scaffold_00006-processed-gene-8.59-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-8.59&CDS=1-1311	YMR177W, YPL224C
OG0000231	augustus_masked-scaffold_00009-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-9.75&CDS=1-684, snap_masked-scaffold_00006-processed-gene-9.79-mRNA-1_1&gene=snap_masked-scaffold_00006-processed-gene-9.79&CDS=1-906	YIL117C
OG0000232	augustus_masked-scaffold_00006-processed-gene-9.116-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-9.116&CDS=1-1788	YDR353W, YHR106W
OG0000233	genemark-scaffold_00006-processed-gene-9.44-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-9.44&CDS=1-2967	YKL072W, YMR053C
OG0000234	augustus_masked-scaffold_00006-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-10.118&CDS=1-4587, snap_masked-scaffold_00021-processed-gene-8.90-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-8.90&CDS=1-2523	YER070W
OG0000235	augustus_masked-scaffold_00021-processed-gene-18.9-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-18.9&CDS=1-1164, genemark-scaffold_00006-processed-gene-11.14-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-11.14&CDS=1-1107	YDL022W
OG0000236	genemark-scaffold_00006-processed-gene-11.19-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-11.19&CDS=1-1239	YDR312W, YHR066W
OG0000237	snap_masked-scaffold_00006-processed-gene-11.89-mRNA-1_1&gene=snap_masked-scaffold_00006-processed-gene-11.89&CDS=1-246	YHR021C, YKL156W
OG0000238	genemark-scaffold_00006-processed-gene-11.23-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-11.23&CDS=1-720, snap_masked-scaffold_00022-processed-gene-13.62-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-13.62&CDS=1-621	YGR235C
OG0000239	genemark-scaffold_00006-processed-gene-11.52-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-11.52&CDS=1-3219, snap_masked-scaffold_00022-processed-gene-5.46-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.46&CDS=1-1527	YJR152W
OG0000240	augustus_masked-scaffold_00015-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-5.20&CDS=1-4683, maker-scaffold_00006-snap-gene-11.148-mRNA-1_1&gene=maker-scaffold_00006-snap-gene-11.148&CDS=1-1959	YGL179C
OG0000241	genemark-scaffold_00006-processed-gene-11.42-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-11.42&CDS=1-2700, genemark-scaffold_00015-processed-gene-1.90-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.90&CDS=1-2574	YDL056W
OG0000242	augustus_masked-scaffold_00022-processed-gene-12.25-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-12.25&CDS=1-2766, genemark-scaffold_00006-processed-gene-11.65-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-11.65&CDS=1-1530	YBR006W
OG0000243	augustus_masked-scaffold_00008-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-scaffold_00008-processed-gene-1.122&CDS=1-3444, snap_masked-scaffold_00021-processed-gene-23.46-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-23.46&CDS=1-1308	YDL131W
OG0000244	genemark-scaffold_00008-processed-gene-2.18-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-2.18&CDS=1-1077	YDR451C, YML027W
OG0000245	genemark-scaffold_00008-processed-gene-2.19-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-2.19&CDS=1-684, genemark-scaffold_00008-processed-gene-2.20-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-2.20&CDS=1-696	YDR476C
OG0000246	snap_masked-scaffold_00008-processed-gene-2.75-mRNA-1_1&gene=snap_masked-scaffold_00008-processed-gene-2.75&CDS=1-1239	YHL003C, YKL008C
OG0000247	genemark-scaffold_00008-processed-gene-3.62-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-3.62&CDS=1-1602	YDR497C, YOL103W
OG0000248	maker-scaffold_00008-snap-gene-3.168-mRNA-1_1&gene=maker-scaffold_00008-snap-gene-3.168&CDS=1-4074, snap_masked-scaffold_00022-processed-gene-13.46-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-13.46&CDS=1-2193, snap_masked-scaffold_00022-processed-gene-9.31-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-9.31&CDS=1-2007	
OG0000249	genemark-scaffold_00008-processed-gene-3.77-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-3.77&CDS=1-864, maker-scaffold_00022-augustus-gene-20.197-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-20.197&CDS=1-1941	YNL202W
OG0000250	augustus_masked-scaffold_00008-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-scaffold_00008-processed-gene-4.46&CDS=1-1350	YDR501W, YLR183C
OG0000251	augustus_masked-scaffold_00008-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-scaffold_00008-processed-gene-4.16&CDS=1-243	YDR500C, YLR185W
OG0000252	genemark-scaffold_00008-processed-gene-4.128-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-4.128&CDS=1-4050	YCL024W, YDR507C
OG0000253	maker-scaffold_00021-snap-gene-18.80-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-18.80&CDS=1-4860, snap_masked-scaffold_00008-processed-gene-4.173-mRNA-1_1&gene=snap_masked-scaffold_00008-processed-gene-4.173&CDS=1-5316	YNL271C
OG0000254	maker-scaffold_00008-snap-gene-4.2-mRNA-1_1&gene=maker-scaffold_00008-snap-gene-4.2&CDS=1-1983, maker-scaffold_00021-snap-gene-22.101-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-22.101&CDS=1-2937	YFL040W
OG0000255	genemark-scaffold_00008-processed-gene-4.105-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-4.105&CDS=1-486	YGL031C, YGR148C
OG0000256	genemark-scaffold_00008-processed-gene-4.146-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-4.146&CDS=1-1056, snap_masked-scaffold_00021-processed-gene-13.67-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-13.67&CDS=1-930	YCR044C
OG0000257	genemark-scaffold_00008-processed-gene-4.120-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-4.120&CDS=1-1596, snap_masked-scaffold_00022-processed-gene-20.65-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-20.65&CDS=1-1635	YLL055W
OG0000258	maker-scaffold_00009-snap-gene-0.107-mRNA-1_1&gene=maker-scaffold_00009-snap-gene-0.107&CDS=1-1008	YBR189W, YPL081W
OG0000259	maker-scaffold_00009-augustus-gene-0.3-mRNA-1_1&gene=maker-scaffold_00009-augustus-gene-0.3&CDS=1-3933	YJL084C, YKR021W
OG0000260	augustus_masked-scaffold_00009-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-1.34&CDS=1-2949	YCR026C, YEL016C
OG0000261	genemark-scaffold_00009-processed-gene-1.91-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-1.91&CDS=1-2586	YJL099W, YKR027W
OG0000262	genemark-scaffold_00009-processed-gene-1.77-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-1.77&CDS=1-1722, genemark-scaffold_00018-processed-gene-2.74-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-2.74&CDS=1-1770	YNL104C
OG0000263	genemark-scaffold_00009-processed-gene-1.100-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-1.100&CDS=1-585	YBR005W, YDR003W
OG0000264	genemark-scaffold_00009-processed-gene-2.90-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-2.90&CDS=1-651	YGL135W, YPL220W
OG0000265	augustus_masked-scaffold_00009-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-3.36&CDS=1-2700	YJL076W, YKR010C
OG0000266	snap_masked-scaffold_00009-processed-gene-3.92-mRNA-1_1&gene=snap_masked-scaffold_00009-processed-gene-3.92&CDS=1-573	YGL147C, YNL067W
OG0000267	genemark-scaffold_00009-processed-gene-4.137-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-4.137&CDS=1-1326, maker-scaffold_00009-augustus-gene-4.164-mRNA-1_1&gene=maker-scaffold_00009-augustus-gene-4.164&CDS=1-4176	YOR049C
OG0000268	genemark-scaffold_00009-processed-gene-4.114-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-4.114&CDS=1-909, maker-scaffold_00021-snap-gene-12.79-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-12.79&CDS=1-2229	YGR086C
OG0000269	maker-scaffold_00009-augustus-gene-4.167-mRNA-1_1&gene=maker-scaffold_00009-augustus-gene-4.167&CDS=1-1098	YGR085C, YPR102C
OG0000270	genemark-scaffold_00009-processed-gene-4.160-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-4.160&CDS=1-597	YBL072C, YER102W
OG0000271	genemark-scaffold_00009-processed-gene-5.108-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-5.108&CDS=1-1125	YBR273C, YJL048C
OG0000272	snap_masked-scaffold_00009-processed-gene-5.93-mRNA-1_1&gene=snap_masked-scaffold_00009-processed-gene-5.93&CDS=1-8133	YBR140C, YOL081W
OG0000273	augustus_masked-scaffold_00021-processed-gene-23.5-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-23.5&CDS=1-1098, genemark-scaffold_00009-processed-gene-5.124-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-5.124&CDS=1-1107	YIR034C
OG0000274	genemark-scaffold_00009-processed-gene-6.141-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-6.141&CDS=1-1326	YGR141W, YPR157W
OG0000275	maker-scaffold_00009-augustus-gene-6.169-mRNA-1_1&gene=maker-scaffold_00009-augustus-gene-6.169&CDS=1-3084	YHR137W, YLR212C
OG0000276	genemark-scaffold_00009-processed-gene-6.154-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-6.154&CDS=1-525	YLR456W, YPR172W
OG0000277	genemark-scaffold_00009-processed-gene-6.158-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-6.158&CDS=1-396	YBR016W, YDL012C
OG0000278	genemark-scaffold_00009-processed-gene-7.108-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-7.108&CDS=1-786, maker-scaffold_00021-snap-gene-23.100-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-23.100&CDS=1-1644	YMR226C
OG0000279	augustus_masked-scaffold_00009-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-8.36&CDS=1-4920	YBR210W, YGL054C
OG0000280	genemark-scaffold_00009-processed-gene-8.72-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-8.72&CDS=1-909, snap_masked-scaffold_00021-processed-gene-16.19-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-16.19&CDS=1-888	YLR351C
OG0000281	genemark-scaffold_00009-processed-gene-8.79-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-8.79&CDS=1-894	YBR104W, YPR058W
OG0000282	augustus_masked-scaffold_00009-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-8.31&CDS=1-1770, snap_masked-scaffold_00021-processed-gene-2.84-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-2.84&CDS=1-1008	YBR046C
OG0000283	augustus_masked-scaffold_00009-processed-gene-9.0-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-9.0&CDS=1-4029, augustus_masked-scaffold_00021-processed-gene-22.73-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-22.73&CDS=1-1683	YOR348C
OG0000284	genemark-scaffold_00009-processed-gene-9.254-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.254&CDS=1-588	YER067W, YIL057C
OG0000285	genemark-scaffold_00009-processed-gene-9.255-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.255&CDS=1-3003, genemark-scaffold_00018-processed-gene-1.94-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-1.94&CDS=1-1506	YNL154C
