	Candida_albicans	Saccharomyces_cerevisiae
OG0000433	CR_00650W_A, CR_00660W_A	YCR045C
OG0000434	C1_09790C_A	YDL175C, YIL079C
OG0000435	CR_00350W_A	YGR010W, YLR328W
OG0000436	C1_10180C_B&Allele&of&C1_10180C_A	YBL101C, YPR030W
OG0000437	C7_01620C_A	YJR054W, YML047C
OG0000438	C2_07160W_A, C4_00990W_A	YOL122C
OG0000439	C4_01520C_A	YMR242C, YOR312C
OG0000440	C4_00590C_B&Allele&of&C4_00590C_A	YGR241C, YHR161C
OG0000441	CR_00560W_A	YBR001C, YDR001C
OG0000442	CR_07630C_A	YHR021C, YKL156W
OG0000443	C1_13880C_A	YJR127C, YML081W
OG0000444	CR_01680C_A	YER066W, YFL009W
OG0000445	C3_06620W_A	YAL017W, YOL045W
OG0000446	C4_06570C_A	YLR044C, YLR134W
OG0000447	C1_02330C_A	YGR034W, YLR344W
OG0000448	C3_02760C_A	YJL076W, YKR010C
OG0000449	C7_00080C_A	YDR389W, YOR134W
OG0000450	C7_03060C_A	YJL099W, YKR027W
OG0000451	C2_04940C_A	YDR497C, YOL103W
OG0000452	C1_04980C_B&Allele&of&C1_04980C_A	YMR177W, YPL224C
OG0000453	C5_03510C_A	YHR131C, YNL144C
OG0000454	C1_03020C_A	YDL082W, YMR142C
OG0000455	C6_03770C_A	YGR038W, YLR350W
OG0000456	C4_01700C_A	YBR089C-A, YPR052C
OG0000457	C3_01890C_A	YDR348C, YHR097C
OG0000458		YBL005W, YER184C, YGL013C
OG0000459		YBL068W-A, YBL069W, YER101C
OG0000460		YHL009W-B, YJL113W, YPL060C-A
OG0000461	C7_02860C_A	YIL030C
OG0000462	C3_05180W_A	YCR027C
OG0000463	C3_07440W_A	YDR050C
OG0000464	CR_04450C_A	YBR198C
OG0000465	C4_01370W_B&Allele&of&C4_01370W_A	YCL009C
OG0000466	C7_03770C_A	YNL107W
OG0000467	CR_10410C_A	YOR145C
OG0000468	C6_03170C_A	YBR008C
OG0000469	C6_03630W_A	YDR538W
OG0000470	C4_00810C_A	YDL104C
OG0000471	C5_00750C_A	YDL057W
OG0000472	C1_09850C_A	YPL260W
OG0000473	C1_02200C_A	YPL149W
OG0000474	C2_08600W_A	YML121W
OG0000475	C1_07240W_A	YDL235C
OG0000476	C6_00540W_A	YDR386W
OG0000477	C3_01400W_A	YNL084C
OG0000478	C5_01490C_A	YLR253W
OG0000479	C4_03410W_A	YNL177C
OG0000480	C1_02150W_A	YBR019C
OG0000481	CR_01960C_A	YOR334W
OG0000482	CR_10470C_A	YDR299W
OG0000483	C1_10330C_A	YLR085C
OG0000484	C1_08320W_A	YPR074C
OG0000485	C6_01290C_A	YBR043C
OG0000486	C1_10880W_A	YDR449C
OG0000487	C7_03120W_A	YJL054W
OG0000488	C7_02320W_A	YDR164C
OG0000489	C7_03780C_A	YJR149W
OG0000490	C1_14340C_A	YHL027W
OG0000491	C6_02090C_B&Allele&of&C6_02090C_A	YKR090W
OG0000492	C1_08870C_A	YPR169W
OG0000493	C2_00260C_A	YGR007W
OG0000494	C4_04120C_A	YDR311W
OG0000495	C6_01280W_A	YBR102C
OG0000496	C2_10250C_A	YJL168C
OG0000497	C2_02860W_A	YDR297W
OG0000498	C7_03330C_A	YBR263W
OG0000499	C6_02780C_A	YKL089W
OG0000500	CR_04750W_A	YLR363W-A
OG0000501	C2_02590W_A	YLR130C
OG0000502	C1_01600W_A	YDR405W
OG0000503	C1_09870W_A	YCR065W
OG0000504	C2_03310C_A	YMR077C
OG0000505	C4_06000W_A	YBR110W
OG0000506	C5_00240W_A	YHR206W
OG0000507	C3_04300C_A	YNL102W
OG0000508	CR_06690C_A	YGR247W
OG0000509	C2_01740C_A	YKL138C
OG0000510	C5_00280C_A	YJL208C
OG0000511	C4_02140C_A	YHR005C-A
OG0000512	CR_06950C_A	YNL259C
OG0000513	C1_12750C_A	YDR364C
OG0000514	CR_05980W_A	YOR124C
OG0000515	C1_01860W_A	YGL043W
OG0000516	C2_10590W_A	YPL248C
OG0000517	C7_04020C_A	YMR314W
OG0000518	C1_05500W_A	YKL155C
OG0000519	C6_01950C_A	YNL193W
OG0000520	C4_00970C_A	YLR106C
OG0000521	CR_02580W_A	YIL145C
OG0000522	C4_04170C_A	YIL140W
OG0000523	CR_00800C_A	YCR057C
OG0000524	CR_03220C_A	YNL223W
OG0000525	C2_08780W_A	YGL048C
OG0000526	C5_05140W_A	YHR063C
OG0000527	C2_05210W_A	YKR083C
OG0000528	CR_06490C_A	YLR259C
OG0000529	C4_03920W_A	YDL091C
OG0000530	C2_03150C_A	YIL067C
OG0000531	C1_08020W_A	YDR390C
OG0000532	C3_01680C_B&Allele&of&C3_01680C_A	YDL183C
OG0000533	C4_00420C_A	YCR030C
OG0000534	CR_09790W_A	YML086C
OG0000535	C7_03320C_A	YNL236W
OG0000536	C6_04280W_A	YDR177W
OG0000537	C1_07710C_A	YMR300C
OG0000538	C5_04490C_A	YPL111W
OG0000539	C1_12760W_A	YDR361C
OG0000540	C3_01700W_A	YDL132W
OG0000541	C1_09750W_A	YER083C
OG0000542	CR_02990C_A	YBL033C
OG0000543	CR_05580C_A	YPL121C
OG0000544	C2_03430W_A	YHR090C
OG0000545	CR_00060C_A	YHR031C
OG0000546	C4_06980W_A	YOL154W
OG0000547	CR_07620W_A	YLR027C
OG0000548	C2_10700C_A	YML112W
OG0000549	C7_01740C_A	YHL031C
OG0000550	C4_01770W_A	YBR088C
OG0000551	C1_09190C_A	YFL053W
OG0000552	C4_00430W_A	YNL142W
OG0000553	C3_05520C_A	YLL001W
OG0000554	C1_07830C_A	YFR027W
OG0000555	C7_02050C_A	YJL085W
OG0000556	C2_04240C_A	YKL189W
OG0000557	C2_09930W_A	YMR067C
OG0000558	C3_02290W_A	YDR282C
OG0000559	C1_03250C_A	YPL138C
OG0000560	C2_08820C_A	YHL022C
OG0000561	C1_02080W_A	YPL165C
OG0000562	C6_03440W_A	YGR150C
OG0000563	C7_00230W_A	YJR001W
OG0000564	C4_03730C_A	YHR070W
OG0000565	C4_05760W_A	YGL130W
OG0000566	C5_00950C_A	YHR207C
OG0000567	C1_03920C_A	YLR246W
OG0000568	CR_08330W_A	YOL032W
OG0000569	C1_03320C_A	YDR036C
OG0000570	C5_03860W_A	YJR069C
OG0000571	C2_09370C_A	YPR141C
OG0000572	CR_02170W_A	YNL277W
OG0000573	C3_06760W_A	YDR087C
OG0000574	C3_06090C_A	YGL038C
OG0000575	C7_04040C_A	YOR209C
OG0000576	C6_04250W_A	YLR038C
OG0000577	C5_04710W_A	YMR293C
OG0000578	CR_04650W_A	YOR265W
OG0000579	C6_02650C_A	YCR028C
OG0000580	C4_00940W_B&Allele&of&C4_00940W_A	YMR312W
OG0000581	C4_05190C_A	YEL015W
OG0000582	CR_02890C_A	YPR190C
OG0000583	C5_04770W_A	YER182W
OG0000584	C7_02950C_A	YDR052C
OG0000585	C5_04100W_A	YBR029C
OG0000586	CR_01140C_A	YLR100W
OG0000587	C5_01700W_A	YBR122C
OG0000588	CR_00980C_A	YKL088W
OG0000589	C3_07020W_A	YBR112C
OG0000590	CR_02720C_A	YNL151C
OG0000591	C5_05220W_A	YHR005C
OG0000592	C4_01550C_A	YOR303W
OG0000593	CR_03210C_A	YNL222W
OG0000594	C1_05270C_A	YDR296W
OG0000595	CR_06110C_A	YLR176C
OG0000596	CR_04290W_A	YBL021C
OG0000597	C7_00790W_A	YMR004W
OG0000598	CR_06150C_A	YLR359W
OG0000599	C7_00300W_A	YLR290C
OG0000600	C1_04560W_A	YDR255C
OG0000601	C1_01850C_A	YGL044C
OG0000602	CR_00590W_A	YGR233C
OG0000603	C4_06600W_A	YNL088W
OG0000604	C1_07950C_A	YDR412W
OG0000605	C6_04440C_A	YDR104C
OG0000606	CR_10500C_A	YNL320W
OG0000607	C3_01090W_A	YPL189C-A
OG0000608	C3_04870W_A	YGR225W
OG0000609	CR_07720C_A	YLR103C
OG0000610	CR_01000C_A	YIL147C
OG0000611	C2_02120W_A	YMR228W
OG0000612	C3_05760W_A	YIL083C
OG0000613	C6_03930W_A	YGL114W
OG0000614	C2_00930C_A	YKL041W
OG0000615	C2_00070C_A	YJR002W
OG0000616	C2_03280W_A	YJL041W
OG0000617	C6_00820W_A	YNL066W
OG0000618	C3_01730C_A	YEL040W
OG0000619	C7_01840W_A	YPL242C
OG0000620	C2_01670C_A	YGL022W
OG0000621	C4_04260C_A	YBR179C
OG0000622	C6_01920C_A	YDR228C
OG0000623	C4_00380W_A	YMR041C
OG0000624	C2_00790C_A	YOR311C
OG0000625	CR_06560C_A	YNL305C
OG0000626	C4_00740W_A	YBR167C
OG0000627	CR_08980C_A	YOR329C
OG0000628	CR_09590W_A	YLR201C
OG0000629	C4_06850C_A	YLR244C
OG0000630	C1_04190C_A	YFL025C
OG0000631	C1_09390W_A	YOR274W
OG0000632	C5_03070W_A	YJR123W
OG0000633	C7_03860W_A	YEL060C
OG0000634	C1_04710C_A	YLR221C
OG0000635	CR_01260W_A	YER113C
OG0000636	C4_00950C_A	YMR313C
OG0000637	C1_09640W_A	YNL220W
OG0000638	C2_06390C_A	YML056C
OG0000639	C7_03940C_A	YDL155W
OG0000640	CR_05830C_A	YER019W
OG0000641	C6_04340W_A	YBL082C
OG0000642	C1_06010W_A	YHR142W
OG0000643	C1_09290C_A	YER069W
OG0000644	C2_04220C_A	YPL129W
OG0000645	C1_01470W_A	YGL122C
OG0000646	C2_08670C_A	YMR093W
OG0000647	C7_01630W_A	YNL072W
OG0000648	C3_06370C_A	YER127W
OG0000649	C3_07750W_A	YHR196W
OG0000650	C3_07390C_A	YDR041W
OG0000651	C4_04650W_A	YOR077W
OG0000652	C2_05680W_A	YPR105C
OG0000653	C2_03940C_A	YHR205W
OG0000654	CR_04740C_A	YGR061C
OG0000655	C3_00370C_A	YOR078W
OG0000656	C4_05640C_A	YIL020C
OG0000657	CR_04660C_A	YKL035W
OG0000658	C2_01060C_A	YJR097W
OG0000659	C3_07670W_A	YDR090C
OG0000660	C3_06150W_A	YPR022C
OG0000661	C1_00180W_A	YIL133C
OG0000662	CR_08410W_A	YLR387C
OG0000663	CR_00670C_A	YOL125W
OG0000664	C4_03460C_A	YHL024W
OG0000665	C3_06210C_A	YMR100W
OG0000666	C1_10910C_A	YDR363W
OG0000667	C2_06520C_A	YGR096W
OG0000668	C6_02970C_B&Allele&of&C6_02970C_A	YPL112C
OG0000669	C3_02830W_A	YGR047C
OG0000670	C1_03210C_A	YHR107C
OG0000671	C5_01050C_A	YCR046C
OG0000672	CR_08520C_A	YLR390W
OG0000673	C1_00940W_A	YOL005C
OG0000674	C1_04230W_A	YLR421C
OG0000675	C1_00500C_A	YML004C
OG0000676	C2_03070C_A	YOR149C
OG0000677	C1_01950C_A	YLR065C
OG0000678	C4_02720C_A	YKL051W
OG0000679	C6_00550W_A	YOR158W
OG0000680	C1_00380C_A	YOL076W
OG0000681	C5_05450C_A	YBR057C
OG0000682	C1_00110W_A	YJL008C
OG0000683	C6_00900C_A	YGR053C
OG0000684	C1_11870W_A	YGR055W
OG0000685	C3_06990W_A	YNL326C
OG0000686	C5_01130W_A	YAL039C
OG0000687	C5_04620C_A	YGR062C
OG0000688	C4_04150C_A	YBR221C
OG0000689	C1_13060C_A	YLR069C
OG0000690	C1_08640W_A	YOL067C
OG0000691	CR_10250C_A	YDL168W
OG0000692	C6_01320W_A	YHR099W
OG0000693	C1_11040W_A	YFR032C-A
OG0000694	C2_05470W_A	YML110C
OG0000695	C7_02060W_A	YJL087C
OG0000696	C4_06010C_A	YPR068C
OG0000697	C5_03600W_A	YFL016C
OG0000698	C4_02800W_A	YDL150W
OG0000699	C4_05210W_A	YPR113W
OG0000700	CR_10680W_A	YDL140C
OG0000701	C7_00170W_A	YJR126C
OG0000702	C3_06830C_A	YLR419W
OG0000703	C1_00510W_A	YBR176W
OG0000704	C2_07070W_A	YBR046C
OG0000705	C7_04050W_A	YMR161W
OG0000706	C7_04190C_A	YJL069C
OG0000707	C1_05330C_A	YDR306C
OG0000708	C6_03380W_A	YBL032W
OG0000709	C3_00620C_A	YJR034W
OG0000710	C6_00500C_A	YPR066W
OG0000711	C5_03580C_A	YML102W
OG0000712	C6_03800C_A	YLR023C
OG0000713	C2_00840W_A	YPR048W
OG0000714	C3_04530C_A	YBR083W
OG0000715	C1_01150C_A	YOL141W
OG0000716	CR_08360C_A	YOL039W
OG0000717	C1_07910C_A	YMR024W
OG0000718	C4_07220C_A	YDR180W
OG0000719	C5_04750C_A	YMR290C
OG0000720	CR_06180W_A	YBR234C
OG0000721	C3_07170C_A	YOR370C
OG0000722	C1_08950W_A	YIL107C
OG0000723	C2_09670C_A	YIL003W
OG0000724	C2_00360C_A	YLL029W
OG0000725	C2_03180C_A	YDR457W
OG0000726	C5_04440C_A	YJR095W
OG0000727	C6_01340C_A	YHR100C
OG0000728	C2_03130W_A	YOR021C
OG0000729	CR_09740W_A	YHR065C
OG0000730	CR_02920C_A	YPR192W
OG0000731	C3_00810C_A	YKR009C
OG0000732	C4_03790W_A	YDL097C
OG0000733	CR_03750C_A	YDR235W
OG0000734	CR_03920C_A	YOR273C
OG0000735	CR_09510C_A	YGR207C
OG0000736	C4_06130W_A	YDR150W
OG0000737	C3_02220W_A	YML007W
OG0000738	C3_01850W_A	YDR347W
OG0000739	C3_07110W_A	YOR373W
OG0000740	C1_00460W_A	YPL098C
OG0000741	C1_01290C_A	YBR255W
OG0000742	C1_10850W_A	YDR446W
OG0000743	C1_10140C_A	YBR203W
OG0000744	C1_01090C_A	YGR215W
OG0000745	C7_02470C_A	YKL207W
OG0000746	C2_05590C_A	YLR126C
OG0000747	C1_07180W_A	YMR038C
OG0000748	C4_05820W_A	YER048W-A
OG0000749	C1_07140C_A	YNL163C
OG0000750	CR_00410W_A	YLL002W
OG0000751	C1_02250W_A	YGR036C
OG0000752	C2_10360C_A	YDL205C
OG0000753	CR_07420W_A	YDR148C
OG0000754	C7_01270C_A	YDL156W
OG0000755	C2_07630C_A	YHR087W
OG0000756	C1_04880C_A	YBR268W
OG0000757	C1_13690C_A	YOR327C
OG0000758	CR_09750C_A	YDR313C
OG0000759	C5_02760W_A	YOR039W
OG0000760	C3_02280C_A	YKL104C
OG0000761	C3_06040W_A	YPL054W
OG0000762	C1_01530C_A	YDR341C
OG0000763	C1_02020W_A	YER183C
OG0000764	C5_01280C_A	YOL069W
OG0000765	C2_07120W_A	YNL312W
OG0000766	C6_01550C_A	YOR330C
OG0000767	C1_05290W_A	YBR121C
OG0000768	C5_00660C_A	YHR007C
OG0000769	C1_14150C_A	YJL104W
OG0000770	C4_03280W_A	YDR335W
OG0000771	CR_03540W_A	YPR147C
OG0000772	C3_03650W_A	YOR056C
OG0000773	C1_03770W_A	YNL167C
OG0000774	C2_04350C_A	YPL029W
OG0000775	C4_04480C_A	YAL003W
OG0000776	CR_09520C_A	YLR045C
OG0000777	CR_08350W_A	YOL031C
OG0000778	C6_04030W_A	YGL065C
OG0000779	C1_00710C_A	YFL037W
OG0000780	C2_00960C_A	YER042W
OG0000781	C2_06360C_A	YAL025C
OG0000782	C1_00990C_A	YNL123W
OG0000783	C1_09510W_A	YOR272W
OG0000784	C3_06080W_A	YPL167C
OG0000785	C7_01810W_A	YPL235W
OG0000786	C2_05280C_A	YDR437W
OG0000787	C4_04840C_A	YFL055W
OG0000788	C2_07750W_A	YNL090W
OG0000789	C6_03230W_A	YJL088W
OG0000790	C7_03660C_A	YHR020W
OG0000791	C1_06600W_A	YPR129W
OG0000792	C2_09250W_A	YNL056W
OG0000793	C1_13410W_A	YLL018C-A
OG0000794	C1_05370C_A	YJL057C
OG0000795	C2_02030W_A	YDR035W
OG0000796	CR_08370W_A	YOL049W
OG0000797	CR_08500W_A	YDL063C
OG0000798	C5_04860C_A	YMR292W
OG0000799	CR_10800C_A	YNL321W
OG0000800	C3_07130W_A	YGL054C
OG0000801	C2_04340C_A	YDR248C
OG0000802	C1_01450W_A	YGL119W
OG0000803	C3_04080W_A	YFR033C
OG0000804	C1_06070W_A	YNR036C
OG0000805	C4_06650W_A	YOR069W
OG0000806	C2_04020C_A	YKL193C
OG0000807	C2_02510W_A	YHL011C
OG0000808	C2_10440C_A	YPL022W
OG0000809	C3_01190C_A	YDL001W
OG0000810	C3_02020W_B&Allele&of&C3_02020W_A	YPR112C
OG0000811	C5_00370W_A	YLL050C
OG0000812	C1_07380C_A	YHR082C
OG0000813	C2_06770W_B&Allele&of&C2_06770W_A	YGR080W
OG0000814	C1_02420C_A	YGR032W
OG0000815	C7_02110W_A	YMR075W
OG0000816	C4_04920W_A	YKR038C
OG0000817	C1_14400C_A	YPL164C
OG0000818	CR_02910W_A	YPR185W
OG0000819	CR_04310C_A	YBL025W
OG0000820	C1_12430W_A	YOL078W
OG0000821	C6_00740W_A	YBR041W
OG0000822	C4_01490W_A	YMR309C
OG0000823	C4_05170C_B&Allele&of&C4_05170C_A	YGL091C
OG0000824	C1_13910C_A	YDR061W
OG0000825	C6_01860C_A	YNL281W
OG0000826	C1_02920W_A	YLR418C
OG0000827	C3_07400W_A	YBR061C
OG0000828	CR_01180W_A	YKL007W
OG0000829	C1_01550W_A	YOR132W
OG0000830	C7_04310C_A	YHL021C
OG0000831	C1_12550C_A	YPR019W
OG0000832	C7_01720W_A	YPR037C
OG0000833	C1_08890C_A	YIR009W
OG0000834	C2_09160W_A	YDR280W
OG0000835	C1_05460W_A	YHR186C
OG0000836	C7_03240W_A	YCL039W
OG0000837	C1_02400C_B&Allele&of&C1_02400C_A	YJL183W
OG0000838	C6_01050W_A	YPL097W
OG0000839	C2_09720W_A	YDR172W
OG0000840	C2_01490C_A	YLR005W
OG0000841	C7_03630C_A	YEL020W-A
OG0000842	C6_02910W_A	YBR257W
OG0000843	C2_02270C_A	YMR158W
OG0000844	C1_00950C_A	YMR001C
OG0000845	C3_02950C_A	YGL125W
OG0000846	C1_06420C_A	YBR007C
OG0000847	C3_02570W_A	YIL108W
OG0000848	C5_01230C_A	YMR099C
OG0000849	C1_03680W_B&Allele&of&C1_03680W_A	YNR067C
OG0000850	C1_00930C_A	YOL004W
OG0000851	C3_03170W_A	YLR208W
OG0000852	CR_03960C_A	YGL124C
OG0000853	C1_00800C_A	YMR202W
OG0000854	C1_04860W_A	YPR089W
OG0000855	C4_07190W_A	YLR166C
OG0000856	CR_03600C_A	YPL010W
OG0000857	C5_02300C_A	YFR051C
OG0000858	C1_14460W_A	YFR004W
OG0000859	C6_02220W_A	YPL218W
OG0000860	C1_02500W_A	YFL046W
OG0000861	C3_02160C_A	YML017W
OG0000862	C6_01460C_A	YMR214W
OG0000863	CR_05650W_A	YGR246C
OG0000864	C7_02770W_A	YBR038W
OG0000865	C2_09380W_A	YPR143W
OG0000866	C7_02150C_A	YMR062C
OG0000867	C7_03130C_A	YOR236W
OG0000868	C2_06170C_A	YJR137C
OG0000869	C3_05530W_A	YJL002C
OG0000870	C5_00070W_A	YJR076C
OG0000871	C2_00580C_A	YLR034C
OG0000872	C1_09470C_A	YOR271C
OG0000873	C1_10360C_B&Allele&of&C1_10360C_A	YCR061W
OG0000874	C4_05070C_A	YOL140W
OG0000875	C2_10030C_A	YGR279C
OG0000876	C1_04550W_A	YPL046C
OG0000877	CR_08910C_A	YPR108W
OG0000878	C7_02490W_B&Allele&of&C7_02490W_A	YKL197C
OG0000879	C4_05960W_A	YGL221C
OG0000880	C6_04270W_A	YCR093W
OG0000881	C5_03310C_A	YNL289W
OG0000882	C7_03540C_A	YGR145W
OG0000883	C7_00150W_A	YJL121C
OG0000884	C4_01680W_A	YKL058W
OG0000885	C5_00110C_A	YIL078W
OG0000886	C4_06740C_A	YML013W
OG0000887	C4_02840C_A	YHR041C
OG0000888	C7_00870W_A	YDL238C
OG0000889	C3_00110C_A	YIL068C
OG0000890	C4_02860W_A	YMR311C
OG0000891	CR_06470W_A	YOL013C
OG0000892	C1_06770W_A	YNL181W
OG0000893	C3_02770C_A	YDR030C
OG0000894	C4_01470W_A	YLR097C
OG0000895	C4_05850C_A	YGR111W
OG0000896	C2_09910C_A	YDL232W
OG0000897	C7_03850W_A	YLR002C
OG0000898	C6_00950C_A	YOL006C
OG0000899	C1_02960C_A	YHR194W
OG0000900	C4_00240C_A	YER023W
OG0000901	CR_09370W_A	YPL226W
OG0000902	C1_02410C_A	YOL107W
OG0000903	C7_00720W_A	YGL244W
OG0000904	C2_00270C_A	YLR326W
OG0000905	CR_01410C_A	YNL035C
OG0000906	C2_02000W_A	YDR372C
OG0000907	C5_02290W_A	YGL248W
OG0000908	C1_04090C_A	YJL006C
OG0000909	C6_02500C_A	YDR019C
OG0000910	C4_00140C_A	YCL030C
OG0000911	C5_03290C_A	YDL045W-A
OG0000912	CR_04580W_A	YCR003W
OG0000913	C2_05050C_A	YOR320C
OG0000914	C3_01500C_A	YHR114W
OG0000915	C2_03250W_A	YIL088C
OG0000916	C1_01540W_A	YOR138C
OG0000917	C1_03740W_A	YML076C
OG0000918	CR_01310W_A	YBR039W
OG0000919	CR_05310W_A	YLR170C
OG0000920	C2_07190C_A	YGL068W
OG0000921	C3_00630W_A	YJR033C
OG0000922	C4_05180C_B&Allele&of&C4_05180C_A	YGL092W
OG0000923	C2_09590C_A	YER053C
OG0000924	C3_05580C_A	YKR039W
OG0000925	C1_01100W_A	YGR217W
OG0000926	C4_00150C_A	YDR244W
OG0000927	C2_01660C_A	YGL010W
OG0000928	C2_09580W_A	YIL044C
OG0000929	C3_02970C_A	YHR134W
OG0000930	C7_00410C_A	YCL014W
OG0000931	C6_02440C_A	YAL032C
OG0000932	C1_05060W_A	YBR267W
OG0000933	C2_04030C_A	YKL192C
OG0000934	C4_03780C_A	YDR316W
OG0000935	C1_05280W_A	YHR078W
OG0000936	C2_07740W_A	YNL091W
OG0000937	C4_00890W_A	YDR127W
OG0000938	C7_03610C_A	YOL098C
OG0000939	C1_10790W_A	YDL126C
OG0000940	C4_04230W_A	YLR004C
OG0000941	C7_01470C_A	YOR362C
OG0000942	C2_03200W_A	YDR473C
OG0000943	C3_03800W_A	YKR093W
OG0000944	CR_07040W_A	YJL127C
OG0000945	CR_05890C_A	YNL246W
OG0000946	C4_02120W_A	YGR284C
OG0000947	C4_04510W_A	YAL001C
OG0000948	C2_07380W_A	YJR045C
OG0000949	C3_06770W_A	YDR088C
OG0000950	C4_02050W_A	YGR187C
OG0000951	C6_03350C_B&Allele&of&C6_03350C_A	YJL081C
OG0000952	C4_06870W_A	YOR117W
OG0000953	C2_08500W_A	YER125W
OG0000954	C3_01510W_A	YNL094W
OG0000955	C1_04280C_A	YBR004C
OG0000956	C3_04780C_A	YML067C
OG0000957	C7_03810W_A	YNL243W
OG0000958	C3_04740C_A	YLR234W
OG0000959	CR_03200C_A	YNL221C
OG0000960	C1_04790W_A	YPL178W
OG0000961	CR_03160W_A	YGL050W
OG0000962	C1_13870W_A	YJR010W
OG0000963	C1_03640C_A	YBR278W
OG0000964	C6_02560W_A	YMR315W
OG0000965	C6_00390W_A	YHR011W
OG0000966	C4_00020W_A	YLR447C
OG0000967	C1_04690C_A	YPR007C
OG0000968	C4_00090W_A	YOL132W
OG0000969	CR_08340W_A	YAL012W
OG0000970	C2_01950C_B&Allele&of&C2_01950C_A	YBR158W
OG0000971	C3_07620C_A	YMR283C
OG0000972	C1_06800W_A	YGL246C
OG0000973	C2_10850C_A	YDR049W
OG0000974	C1_04500W_A	YER065C
OG0000975	C2_10220C_B&Allele&of&C2_10220C_A	YNL097C
OG0000976	C6_00590W_A	YOR307C
OG0000977	CR_09970W_A	YBR082C
OG0000978	C5_04700C_A	YGR264C
OG0000979	C2_05000C_A	YNL284C
OG0000980	C1_11480W_A	YML123C
OG0000981	CR_01800C_A	YPL015C
OG0000982	C4_07180W_A	YLR167W
OG0000983	CR_10750C_A	YCR087C-A
OG0000984	C4_02410C_A	YLR109W
OG0000985	C3_03470W_A	YBR006W
OG0000986	C1_03010W_A	YDL081C
OG0000987	CR_06090W_A	YNL006W
OG0000988	C4_07210W_A	YDR181C
OG0000989	CR_05100W_A	YJR089W
OG0000990	C5_04670W_A	YDR292C
OG0000991	C1_02840W_A	YOR360C
OG0000992	C2_02520W_A	YHL010C
OG0000993	C3_03760W_A	YOR245C
OG0000994	C4_05280W_A	YDL058W
OG0000995	C3_06490W_A	YJL218W
OG0000996	C7_03070C_A	YJL005W
OG0000997	C6_01750C_A	YNR027W
OG0000998	C5_05100C_A	YDL101C
OG0000999	C5_00250C_A	YLR412W
OG0001000	C5_01170W_A	YOL110W
OG0001001	C1_07230W_A	YDL236W
OG0001002	C2_06010W_A	YNL242W
OG0001003	C6_02980C_A	YDR531W
OG0001004	C4_02300W_A	YPL116W
OG0001005	C3_00780W_A	YGL194C
OG0001006	C7_00810W_A	YOR043W
OG0001007	C1_11330C_A	YDR510W
OG0001008	C5_02730C_A	YDR267C
OG0001009	C1_12160W_A	YNR049C
OG0001010	C2_06080C_A	YJR142W
OG0001011	C1_10840C_A	YHR009C
OG0001012	CR_01490C_A	YER019C-A
OG0001013	CR_09950C_A	YLR197W
OG0001014	CR_00200W_A	YKR097W
OG0001015	C1_09720W_A	YKL216W
OG0001016	C1_05910W_A	YMR140W
OG0001017	CR_04060C_A	YPL170W
OG0001018	C1_12520W_A	YDR108W
OG0001019	CR_10660W_A	YIL035C
OG0001020	C2_10260C_A	YOL016C
OG0001021	C2_10790C_A	YBR070C
OG0001022	C7_02640W_A	YHR117W
OG0001023	C2_06230W_A	YLR277C
OG0001024	CR_08840C_A	YJL126W
OG0001025	CR_10010C_A	YLR203C
OG0001026	C1_11050W_A	YFR032C
OG0001027	C1_10780C_A	YDL125C
OG0001028	C3_07950C_A	YDL055C
OG0001029	C2_00630C_A	YIR029W
OG0001030	C1_02360C_A	YLR343W
OG0001031	C2_04300C_A	YPL041C
OG0001032	C2_05450C_A	YNL328C
OG0001033	C7_01790C_A	YPL131W
OG0001034	CR_01920W_A	YNR058W
OG0001035	C5_03790W_A	YDR454C
OG0001036	C3_01530C_A	YIL129C
OG0001037	C5_02050W_A	YDR141C
OG0001038	C1_03350C_A	YDR091C
OG0001039	C3_07430W_A	YDR051C
OG0001040	C2_09610W_A	YIL006W
OG0001041	C2_09730C_A	YDR173C
OG0001042	C5_01640W_A	YHR024C
OG0001043	C1_06790C_A	YNL185C
OG0001044	C2_06910W_A	YML001W
OG0001045	CR_01320C_A	YGR125W
OG0001046	C2_05160C_A	YDR496C
OG0001047	CR_01910C_A	YNR057C
OG0001048	C6_01310W_A	YBR040W
OG0001049	C4_00180W_A	YLR443W
OG0001050	C1_07410C_A	YDR328C
OG0001051	C2_00100C_A	YJL171C
OG0001052	C3_07570C_A	YCR015C
OG0001053	C1_05100W_A	YOR238W
OG0001054	C4_01510W_A	YMR226C
OG0001055	C4_02880C_A	YLR022C
OG0001056	CR_04260W_A	YBL026W
OG0001057	C6_00210W_A	YER152C
OG0001058	C1_03600W_A	YMR149W
OG0001059	CR_09670C_A	YJL068C
OG0001060	C7_03180C_A	YPL127C
OG0001061	C5_00740W_A	YHR191C
OG0001062	CR_02030C_A	YNL022C
OG0001063	C6_04350C_A	YER109C
OG0001064	C5_01240W_A	YKL004W
OG0001065	C2_07660W_A	YMR076C
OG0001066	CR_06730W_A	YHR171W
OG0001067	CR_04240C_A	YNL132W
OG0001068	C2_02710C_A	YCL031C
OG0001069	C3_07050W_A	YBR111W-A
OG0001070	C1_08820C_A	YHR189W
OG0001071	C4_01250W_B&Allele&of&C4_01250W_A	YMR069W
OG0001072	C2_03550C_A	YHR077C
OG0001073	C6_04210C_A	YMR301C
OG0001074	C3_01320C_A	YIL099W
OG0001075	C3_07810C_A	YLR378C
