	Lachancea_waltii	Saccharomyces_cerevisiae
OG0000900	snap_masked-AADM01000037.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.12&CDS=1-1263	YGR223C
OG0000901	snap_masked-AADM01000037.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.39&CDS=1-795	YGR222W
OG0000902	snap_masked-AADM01000037.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.13&CDS=1-312	YHR121W
OG0000903	snap_masked-AADM01000037.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.14&CDS=1-2004	YHR149C
OG0000904	snap_masked-AADM01000037.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.40&CDS=1-549	YHR148W
OG0000905	snap_masked-AADM01000037.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.15&CDS=1-600	YHR147C
OG0000906	snap_masked-AADM01000037.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.16&CDS=1-804	YGR220C
OG0000907	snap_masked-AADM01000037.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.41&CDS=1-3252	YGR218W
OG0000908	augustus_masked-AADM01000037.1-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-AADM01000037.1-processed-gene-0.161&CDS=1-6021	YGR217W
OG0000909	augustus_masked-AADM01000037.1-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-AADM01000037.1-processed-gene-0.135&CDS=1-1803	YGR216C
OG0000910	snap_masked-AADM01000037.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.43&CDS=1-324	YGR215W
OG0000911	snap_masked-AADM01000037.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.17&CDS=1-2019	YLR047C
OG0000912	snap_masked-AADM01000037.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.18&CDS=1-1380	YGR212W
OG0000913	augustus_masked-AADM01000037.1-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-AADM01000037.1-processed-gene-0.164&CDS=1-1500	YGR211W
OG0000914	snap_masked-AADM01000037.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.19&CDS=1-618	YKL208W
OG0000915	genemark-AADM01000037.1-processed-gene-0.80-mRNA-1_1&gene=genemark-AADM01000037.1-processed-gene-0.80&CDS=1-771	YKL207W
OG0000916	snap_masked-AADM01000037.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.21&CDS=1-1272	YJR072C
OG0000917	snap_masked-AADM01000037.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.46&CDS=1-813	YKL206C
OG0000918	snap_masked-AADM01000037.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.22&CDS=1-966	YJR070C
OG0000919	snap_masked-AADM01000037.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.23&CDS=1-594	YJR069C
OG0000920	snap_masked-AADM01000037.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.24&CDS=1-3156	YKL205W
OG0000921	snap_masked-AADM01000037.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.25&CDS=1-1707	YKL204W
OG0000922	snap_masked-AADM01000037.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.47&CDS=1-1068	YJR068W
OG0000923	snap_masked-AADM01000037.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.26&CDS=1-426	YJR067C
OG0000924	snap_masked-AADM01000037.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.48&CDS=1-7407	YKL203C
OG0000925	snap_masked-AADM01000037.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.27&CDS=1-1335	YJR065C
OG0000926	snap_masked-AADM01000037.1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.49&CDS=1-1680	YJR064W
OG0000927	snap_masked-AADM01000037.1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.50&CDS=1-375	YJR063W
OG0000928	snap_masked-AADM01000037.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.29&CDS=1-1239	YJR062C
OG0000929	snap_masked-AADM01000037.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.52&CDS=1-792	YJR060W
OG0000930	augustus_masked-AADM01000037.1-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-AADM01000037.1-processed-gene-0.173&CDS=1-3054	YKL197C
OG0000931	snap_masked-AADM01000037.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.54&CDS=1-633	YJR057W
OG0000932	snap_masked-AADM01000037.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.30&CDS=1-414	YJR056C
OG0000933	snap_masked-AADM01000037.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.31&CDS=1-873	YML052W
OG0000934	snap_masked-AADM01000037.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.56&CDS=1-468	YJR055W
OG0000935	snap_masked-AADM01000037.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.32&CDS=1-990	YML050W
OG0000936	snap_masked-AADM01000037.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.57&CDS=1-3852	YML049C
OG0000937	snap_masked-AADM01000037.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.33&CDS=1-1149	YML048W
OG0000938	snap_masked-AADM01000037.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-AADM01000037.1-processed-gene-0.59&CDS=1-1599	YJR054W
OG0000939	snap_masked-AADM01000038.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000038.1-processed-gene-0.8&CDS=1-1617	YJR053W
OG0000940	snap_masked-AADM01000038.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000038.1-processed-gene-0.0&CDS=1-1887	YML046W
OG0000941	snap_masked-AADM01000038.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000038.1-processed-gene-0.9&CDS=1-1794	YJR052W
OG0000942	snap_masked-AADM01000038.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000038.1-processed-gene-0.1&CDS=1-1155	YEL046C
OG0000943	snap_masked-AADM01000038.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000038.1-processed-gene-0.2&CDS=1-1494	YEL047C
OG0000944	snap_masked-AADM01000038.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000038.1-processed-gene-0.3&CDS=1-432	YEL048C
OG0000945	snap_masked-AADM01000038.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000038.1-processed-gene-0.5&CDS=1-375	YEL044W
OG0000946	augustus_masked-AADM01000038.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-AADM01000038.1-processed-gene-0.32&CDS=1-2049	YEL043W
OG0000947	snap_masked-AADM01000038.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000038.1-processed-gene-0.12&CDS=1-798	YJR050W
OG0000948	snap_masked-AADM01000038.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000038.1-processed-gene-0.7&CDS=1-1551	YIL162W
OG0000949	snap_masked-AADM01000039.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000039.1-processed-gene-0.1&CDS=1-1545	YEL042W
OG0000950	snap_masked-AADM01000039.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000039.1-processed-gene-0.3&CDS=1-1407	YEL040W
OG0000951	snap_masked-AADM01000039.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000039.1-processed-gene-0.4&CDS=1-651	YEL038W
OG0000952	snap_masked-AADM01000039.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000039.1-processed-gene-0.10&CDS=1-1143	YEL037C
OG0000953	snap_masked-AADM01000039.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AADM01000039.1-processed-gene-0.11&CDS=1-1428	YEL036C
OG0000954	augustus_masked-AADM01000039.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-AADM01000039.1-processed-gene-0.33&CDS=1-1332	YGL254W
OG0000955	snap_masked-AADM01000039.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000039.1-processed-gene-0.12&CDS=1-747	YNR064C
OG0000956	snap_masked-AADM01000039.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000039.1-processed-gene-0.8&CDS=1-2835	YEL032W
OG0000957	snap_masked-AADM01000040.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000040.1-processed-gene-0.4&CDS=1-2226	YEL031W
OG0000958	snap_masked-AADM01000040.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000040.1-processed-gene-0.5&CDS=1-825	YJR046W
OG0000959	snap_masked-AADM01000041.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000041.1-processed-gene-0.9&CDS=1-1716	YMR284W
OG0000960	snap_masked-AADM01000041.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000041.1-processed-gene-0.15&CDS=1-1482	YMR285C
OG0000961	snap_masked-AADM01000041.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000041.1-processed-gene-0.10&CDS=1-252	YMR286W
OG0000962	snap_masked-AADM01000041.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AADM01000041.1-processed-gene-0.16&CDS=1-753	YML119W
OG0000963	snap_masked-AADM01000041.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000041.1-processed-gene-0.17&CDS=1-2808	YMR287C
OG0000964	augustus_masked-AADM01000041.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-AADM01000041.1-processed-gene-0.21&CDS=1-2865	YMR283C
OG0000965	snap_masked-AADM01000041.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000041.1-processed-gene-0.18&CDS=1-762	YMR281W
OG0000966	snap_masked-AADM01000041.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AADM01000041.1-processed-gene-0.13&CDS=1-3627	YMR280C
OG0000967	snap_masked-AADM01000042.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000042.1-processed-gene-0.0&CDS=1-2856	YML117W
OG0000968	snap_masked-AADM01000042.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000042.1-processed-gene-0.1&CDS=1-1539	YML116W
OG0000969	genemark-AADM01000042.1-processed-gene-0.8-mRNA-1_1&gene=genemark-AADM01000042.1-processed-gene-0.8&CDS=1-1443	YML115C
OG0000970	maker-AADM01000043.1-augustus-gene-0.0-mRNA-1_1&gene=maker-AADM01000043.1-augustus-gene-0.0&CDS=1-2775	YMR278W
OG0000971	snap_masked-AADM01000043.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000043.1-processed-gene-0.23&CDS=1-2229	YMR277W
OG0000972	snap_masked-AADM01000043.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000043.1-processed-gene-0.25&CDS=1-1137	YMR276W
OG0000973	augustus_masked-AADM01000043.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-AADM01000043.1-processed-gene-0.10&CDS=1-885	YML113W
OG0000974	augustus_masked-AADM01000043.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-AADM01000043.1-processed-gene-0.11&CDS=1-903	YML112W
OG0000975	augustus_masked-AADM01000043.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-AADM01000043.1-processed-gene-0.17&CDS=1-624	YML110C
OG0000976	snap_masked-AADM01000044.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.77&CDS=1-945	YMR274C
OG0000977	augustus_masked-AADM01000044.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-AADM01000044.1-processed-gene-0.41&CDS=1-2775	YML109W
OG0000978	snap_masked-AADM01000044.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.79&CDS=1-339	YML108W
OG0000979	snap_masked-AADM01000044.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.80&CDS=1-1134	YMR272C
OG0000980	augustus_masked-AADM01000044.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-AADM01000044.1-processed-gene-0.60&CDS=1-939	YML107C
OG0000981	snap_masked-AADM01000044.1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.81&CDS=1-672	YML106W
OG0000982	augustus_masked-AADM01000044.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-AADM01000044.1-processed-gene-0.61&CDS=1-765	YML105C
OG0000983	genemark-AADM01000044.1-processed-gene-0.5-mRNA-1_1&gene=genemark-AADM01000044.1-processed-gene-0.5&CDS=1-1143	YMR270C
OG0000984	augustus_masked-AADM01000044.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-AADM01000044.1-processed-gene-0.62&CDS=1-3438	YML104C
OG0000985	snap_masked-AADM01000044.1-processed-gene-0.105-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.105&CDS=1-672	YMR269W
OG0000986	snap_masked-AADM01000044.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.83&CDS=1-1329	YMR268C
OG0000987	augustus_masked-AADM01000044.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-AADM01000044.1-processed-gene-0.64&CDS=1-4857	YML103C
OG0000988	genemark-AADM01000044.1-processed-gene-0.30-mRNA-1_1&gene=genemark-AADM01000044.1-processed-gene-0.30&CDS=1-921	YMR267W
OG0000989	snap_masked-AADM01000044.1-processed-gene-0.108-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.108&CDS=1-2703	YMR266W
OG0000990	augustus_masked-AADM01000044.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-AADM01000044.1-processed-gene-0.48&CDS=1-1422	YMR265C
OG0000991	snap_masked-AADM01000044.1-processed-gene-0.85-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.85&CDS=1-1608	YML102W
OG0000992	augustus_masked-AADM01000044.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-AADM01000044.1-processed-gene-0.67&CDS=1-978	YMR264W
OG0000993	snap_masked-AADM01000044.1-processed-gene-0.111-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.111&CDS=1-933	YMR262W
OG0000994	snap_masked-AADM01000044.1-processed-gene-0.86-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.86&CDS=1-3357	YMR261C
OG0000995	snap_masked-AADM01000044.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.87&CDS=1-459	YMR260C
OG0000996	augustus_masked-AADM01000044.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-AADM01000044.1-processed-gene-0.52&CDS=1-4254	YMR259C
OG0000997	snap_masked-AADM01000044.1-processed-gene-0.89-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.89&CDS=1-1641	YMR258C
OG0000998	snap_masked-AADM01000044.1-processed-gene-0.90-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.90&CDS=1-2310	YMR257C
OG0000999	snap_masked-AADM01000044.1-processed-gene-0.91-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.91&CDS=1-900	YOL054W
OG0001000	snap_masked-AADM01000044.1-processed-gene-0.92-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.92&CDS=1-180	YMR256C
OG0001001	snap_masked-AADM01000044.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.93&CDS=1-963	YOL053W
OG0001002	snap_masked-AADM01000044.1-processed-gene-0.96-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.96&CDS=1-834	YDR054C
OG0001003	snap_masked-AADM01000044.1-processed-gene-0.97-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.97&CDS=1-468	YBR077C
OG0001004	snap_masked-AADM01000044.1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-AADM01000044.1-processed-gene-0.98&CDS=1-1728	YDR052C
OG0001005	snap_masked-AADM01000045.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.24&CDS=1-2046	YBR074W
OG0001006	snap_masked-AADM01000045.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.17&CDS=1-1104	YDR047W
OG0001007	snap_masked-AADM01000045.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.18&CDS=1-1854	YDR049W
OG0001008	snap_masked-AADM01000045.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.25&CDS=1-2700	YBR073W
OG0001009	augustus_masked-AADM01000045.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-AADM01000045.1-processed-gene-0.41&CDS=1-564	YBR071W
OG0001010	snap_masked-AADM01000045.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.19&CDS=1-714	YBR070C
OG0001011	snap_masked-AADM01000045.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.27&CDS=1-744	YDR050C
OG0001012	snap_masked-AADM01000045.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.28&CDS=1-930	YDR051C
OG0001013	augustus_masked-AADM01000045.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-AADM01000045.1-processed-gene-0.37&CDS=1-3579	YDR037W
OG0001014	snap_masked-AADM01000045.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.29&CDS=1-909	YBR061C
OG0001015	snap_masked-AADM01000045.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.23&CDS=1-606	YDR041W
OG0001016	snap_masked-AADM01000045.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.30&CDS=1-456	YBR062C
OG0001017	snap_masked-AADM01000045.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.31&CDS=1-1005	YBR065C
OG0001018	snap_masked-AADM01000045.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AADM01000045.1-processed-gene-0.32&CDS=1-1053	YPR034W
OG0001019	snap_masked-AADM01000046.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000046.1-processed-gene-0.0&CDS=1-306	YJR082C
OG0001020	snap_masked-AADM01000046.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000046.1-processed-gene-0.1&CDS=1-1209	YJR080C
OG0001021	snap_masked-AADM01000046.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000046.1-processed-gene-0.2&CDS=1-1527	YPR033C
OG0001022	maker-AADM01000046.1-augustus-gene-0.51-mRNA-1_1&gene=maker-AADM01000046.1-augustus-gene-0.51&CDS=1-1899	YJR078W
OG0001023	genemark-AADM01000046.1-processed-gene-0.43-mRNA-1_1&gene=genemark-AADM01000046.1-processed-gene-0.43&CDS=1-3045	YBL106C
OG0001024	maker-AADM01000046.1-augustus-gene-0.52-mRNA-1_1&gene=maker-AADM01000046.1-augustus-gene-0.52&CDS=1-4770	YBL104C
OG0001025	snap_masked-AADM01000046.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000046.1-processed-gene-0.4&CDS=1-633	YBL102W
OG0001026	snap_masked-AADM01000046.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000046.1-processed-gene-0.5&CDS=1-2412	YPR029C
OG0001027	snap_masked-AADM01000046.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000046.1-processed-gene-0.15&CDS=1-546	YPR028W
OG0001028	snap_masked-AADM01000046.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AADM01000046.1-processed-gene-0.16&CDS=1-3378	YPR026W
OG0001029	snap_masked-AADM01000046.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AADM01000046.1-processed-gene-0.6&CDS=1-1644	YBL099W
OG0001030	snap_masked-AADM01000046.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000046.1-processed-gene-0.7&CDS=1-1128	YPR025C
OG0001031	snap_masked-AADM01000046.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000046.1-processed-gene-0.17&CDS=1-780	YPR024W
OG0001032	snap_masked-AADM01000047.1-processed-gene-0.146-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.146&CDS=1-2304	YBL097W
OG0001033	snap_masked-AADM01000047.1-processed-gene-0.147-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.147&CDS=1-1386	YBL098W
OG0001034	snap_masked-AADM01000047.1-processed-gene-0.116-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.116&CDS=1-714	YBL095W
OG0001035	snap_masked-AADM01000047.1-processed-gene-0.117-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.117&CDS=1-1398	YER122C
OG0001036	snap_masked-AADM01000047.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.118&CDS=1-393	YBL092W
OG0001037	genemark-AADM01000047.1-processed-gene-0.85-mRNA-1_1&gene=genemark-AADM01000047.1-processed-gene-0.85&CDS=1-1845	YBL091C
OG0001038	augustus_masked-AADM01000047.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-AADM01000047.1-processed-gene-0.29&CDS=1-8814	YBL088C
OG0001039	snap_masked-AADM01000047.1-processed-gene-0.121-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.121&CDS=1-687	YER116C
OG0001040	snap_masked-AADM01000047.1-processed-gene-0.154-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.154&CDS=1-1281	YBL086C
OG0001041	snap_masked-AADM01000047.1-processed-gene-0.123-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.123&CDS=1-3042	YER114C
OG0001042	snap_masked-AADM01000047.1-processed-gene-0.155-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.155&CDS=1-1884	YBL084C
OG0001043	snap_masked-AADM01000047.1-processed-gene-0.124-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.124&CDS=1-2070	YER113C
OG0001044	snap_masked-AADM01000047.1-processed-gene-0.156-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.156&CDS=1-495	YER112W
OG0001045	snap_masked-AADM01000047.1-processed-gene-0.125-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.125&CDS=1-2766	YER111C
OG0001046	snap_masked-AADM01000047.1-processed-gene-0.126-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.126&CDS=1-3333	YER110C
OG0001047	maker-AADM01000047.1-snap-gene-0.177-mRNA-1_1&gene=maker-AADM01000047.1-snap-gene-0.177&CDS=1-1308	YBL082C
OG0001048	augustus_masked-AADM01000047.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-AADM01000047.1-processed-gene-0.11&CDS=1-2796	YER109C
OG0001049	snap_masked-AADM01000047.1-processed-gene-0.130-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.130&CDS=1-1101	YER107C
OG0001050	augustus_masked-AADM01000047.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-AADM01000047.1-processed-gene-0.13&CDS=1-1017	YBL081W
OG0001051	snap_masked-AADM01000047.1-processed-gene-0.157-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.157&CDS=1-1605	YBL080C
OG0001052	snap_masked-AADM01000047.1-processed-gene-0.132-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.132&CDS=1-4317	YBL079W
OG0001053	snap_masked-AADM01000047.1-processed-gene-0.159-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.159&CDS=1-357	YBL078C
OG0001054	augustus_masked-AADM01000047.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-AADM01000047.1-processed-gene-0.36&CDS=1-564	YER104W
OG0001055	snap_masked-AADM01000047.1-processed-gene-0.161-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.161&CDS=1-3216	YBL076C
OG0001056	snap_masked-AADM01000047.1-processed-gene-0.163-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.163&CDS=1-1083	YBL074C
OG0001057	snap_masked-AADM01000047.1-processed-gene-0.165-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.165&CDS=1-738	YER100W
OG0001058	snap_masked-AADM01000047.1-processed-gene-0.135-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.135&CDS=1-954	YER099C
OG0001059	snap_masked-AADM01000047.1-processed-gene-0.166-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.166&CDS=1-2133	YER098W
OG0001060	snap_masked-AADM01000047.1-processed-gene-0.167-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.167&CDS=1-3138	YBL066C
OG0001061	snap_masked-AADM01000047.1-processed-gene-0.168-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.168&CDS=1-747	YBL064C
OG0001062	snap_masked-AADM01000047.1-processed-gene-0.169-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.169&CDS=1-1938	YBL061C
OG0001063	snap_masked-AADM01000047.1-processed-gene-0.170-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.170&CDS=1-1146	YER095W
OG0001064	augustus_masked-AADM01000047.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-AADM01000047.1-processed-gene-0.17&CDS=1-2463	YER094C
OG0001065	snap_masked-AADM01000047.1-processed-gene-0.171-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.171&CDS=1-321	YBL059C-A
OG0001066	augustus_masked-AADM01000047.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-AADM01000047.1-processed-gene-0.18&CDS=1-4332	YER093C
OG0001067	snap_masked-AADM01000047.1-processed-gene-0.172-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.172&CDS=1-342	YER092W
OG0001068	snap_masked-AADM01000047.1-processed-gene-0.141-mRNA-1_1&gene=snap_masked-AADM01000047.1-processed-gene-0.141&CDS=1-2304	YER091C
