	Eremothecium_cymbalariae	Saccharomyces_cerevisiae
OG0000236	snap_masked-NC_016452.1-processed-gene-9.127-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-9.127&CDS=1-435	YGR118W, YPR132W
OG0000237	maker-NC_016452.1-augustus-gene-9.51-mRNA-1_1&gene=maker-NC_016452.1-augustus-gene-9.51&CDS=1-3192	YGR092W, YPR111W
OG0000238	snap_masked-NC_016452.1-processed-gene-10.64-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-10.64&CDS=1-1167	YEL006W, YIL006W
OG0000239	snap_masked-NC_016452.1-processed-gene-11.66-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-11.66&CDS=1-2796	YKL043W, YMR016C
OG0000240	genemark-NC_016452.1-processed-gene-12.21-mRNA-1_1&gene=genemark-NC_016452.1-processed-gene-12.21&CDS=1-3033	YBL106C, YPR032W
OG0000241	snap_masked-NC_016452.1-processed-gene-13.122-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-13.122&CDS=1-603	YBL072C, YER102W
OG0000242	snap_masked-NC_016452.1-processed-gene-13.103-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-13.103&CDS=1-1284	YBL069W, YER101C
OG0000243	snap_masked-NC_016452.1-processed-gene-13.124-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-13.124&CDS=1-2334	YBL067C, YER098W
OG0000244	snap_masked-NC_016452.1-processed-gene-13.112-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-13.112&CDS=1-1386	YBL056W, YER089C
OG0000245	snap_masked-NC_016452.1-processed-gene-13.113-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-13.113&CDS=1-1818	YBL054W, YER088C
OG0000246	snap_masked-NC_016452.1-processed-gene-14.81-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-14.81&CDS=1-1542	YDL161W, YLR206W
OG0000247	snap_masked-NC_016452.1-processed-gene-14.87-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-14.87&CDS=1-903	YHR043C, YHR044C
OG0000248	snap_masked-NC_016453.1-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-0.76&CDS=1-2514	YAL056W, YOR371C
OG0000249	snap_masked-NC_016453.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-0.84&CDS=1-2934	YAL051W, YOR363C
OG0000250	snap_masked-NC_016453.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-2.100&CDS=1-1311	YGR254W, YHR174W
OG0000251	snap_masked-NC_016453.1-processed-gene-3.91-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-3.91&CDS=1-468	YBR048W, YDR025W
OG0000252	snap_masked-NC_016453.1-processed-gene-4.124-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-4.124&CDS=1-1299	YJL137C, YKR058W
OG0000253	snap_masked-NC_016453.1-processed-gene-4.105-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-4.105&CDS=1-1200	YJL134W, YKR053C
OG0000254	snap_masked-NC_016453.1-processed-gene-6.111-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.111&CDS=1-2214	YBR001C, YDR001C
OG0000255	snap_masked-NC_016453.1-processed-gene-6.97-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.97&CDS=1-549	YBR005W, YDR003W
OG0000256	augustus_masked-NC_016453.1-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-NC_016453.1-processed-gene-6.80&CDS=1-9471	YBR140C, YOL081W
OG0000257	snap_masked-NC_016453.1-processed-gene-6.130-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.130&CDS=1-993	YGR192C, YJR009C
OG0000258	maker-NC_016453.1-augustus-gene-6.135-mRNA-1_1&gene=maker-NC_016453.1-augustus-gene-6.135&CDS=1-1839, snap_masked-NC_016455.1-processed-gene-8.35-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-8.35&CDS=1-1125	YMR083W
OG0000259	snap_masked-NC_016453.1-processed-gene-7.80-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-7.80&CDS=1-1617	YNL095C, YOR092W
OG0000260	augustus_masked-NC_016453.1-processed-gene-8.54-mRNA-1_1&gene=augustus_masked-NC_016453.1-processed-gene-8.54&CDS=1-1323	YIL135C, YNL074C
OG0000261	snap_masked-NC_016453.1-processed-gene-8.103-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-8.103&CDS=1-1809	YNL104C, YOR108W
OG0000262	maker-NC_016453.1-augustus-gene-8.45-mRNA-1_1&gene=maker-NC_016453.1-augustus-gene-8.45&CDS=1-1857	YNL108C, YOR110W
OG0000263	snap_masked-NC_016453.1-processed-gene-8.131-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-8.131&CDS=1-1665	YIR031C, YNL117W
OG0000264	augustus_masked-NC_016453.1-processed-gene-9.3-mRNA-1_1&gene=augustus_masked-NC_016453.1-processed-gene-9.3&CDS=1-2163	YKL072W, YMR053C
OG0000265	snap_masked-NC_016453.1-processed-gene-9.61-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-9.61&CDS=1-2823	YDR409W, YOR156C
OG0000266	snap_masked-NC_016453.1-processed-gene-9.67-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-9.67&CDS=1-495	YDR418W, YEL054C
OG0000267	snap_masked-NC_016453.1-processed-gene-10.95-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-10.95&CDS=1-1215	YDR277C, YOR047C
OG0000268	snap_masked-NC_016453.1-processed-gene-10.102-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-10.102&CDS=1-2460	YDR351W, YHR103W
OG0000269	snap_masked-NC_016453.1-processed-gene-11.86-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-11.86&CDS=1-4842	YDR093W, YER166W
OG0000270	snap_masked-NC_016453.1-processed-gene-11.88-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-11.88&CDS=1-408	YGR243W, YHR162W
OG0000271	snap_masked-NC_016453.1-processed-gene-11.90-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-11.90&CDS=1-819	YGR248W, YHR163W
OG0000272	snap_masked-NC_016453.1-processed-gene-12.98-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-12.98&CDS=1-2544	YDR475C, YOR019W
OG0000273	snap_masked-NC_016453.1-processed-gene-12.178-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-12.178&CDS=1-2193	YBR150C, YOL089C
OG0000274	snap_masked-NC_016454.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-0.15&CDS=1-1089	YBR031W, YDR012W
OG0000275	snap_masked-NC_016454.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-0.32&CDS=1-816	YOR390W, YPL279C
OG0000276	snap_masked-NC_016454.1-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.99&CDS=1-429	YDL083C, YMR143W
OG0000277	snap_masked-NC_016454.1-processed-gene-1.100-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.100&CDS=1-597	YDL082W, YMR142C
OG0000278	snap_masked-NC_016454.1-processed-gene-1.115-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.115&CDS=1-612	YLR029C, YMR121C
OG0000279	augustus_masked-NC_016454.1-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-2.112&CDS=1-1203	YGR023W, YLR332W
OG0000280	snap_masked-NC_016454.1-processed-gene-2.66-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.66&CDS=1-1161	YGL162W, YPR009W
OG0000281	snap_masked-NC_016454.1-processed-gene-2.91-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.91&CDS=1-729	YGR049W, YLR356W
OG0000282	snap_masked-NC_016454.1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.95&CDS=1-1479	YGR041W, YLR353W
OG0000283	snap_masked-NC_016454.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.100&CDS=1-381	YGR034W, YLR344W
OG0000284	snap_masked-NC_016454.1-processed-gene-3.13-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.13&CDS=1-651	YAR002C-A, YGL002W
OG0000285	snap_masked-NC_016454.1-processed-gene-4.5-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.5&CDS=1-357	YER131W, YGL189C
OG0000286	snap_masked-NC_016454.1-processed-gene-5.92-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.92&CDS=1-315	YMR230W, YOR293W
OG0000287	snap_masked-NC_016454.1-processed-gene-5.107-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.107&CDS=1-1290, snap_masked-NC_016454.1-processed-gene-6.67-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.67&CDS=1-1062	YJL060W
OG0000288	snap_masked-NC_016454.1-processed-gene-5.131-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.131&CDS=1-1455	YBR270C, YJL058C
OG0000289	snap_masked-NC_016454.1-processed-gene-7.128-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-7.128&CDS=1-2322	YHR131C, YNL144C
OG0000290	augustus_masked-NC_016454.1-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-7.86&CDS=1-318	YHR141C, YNL162W
OG0000291	snap_masked-NC_016454.1-processed-gene-8.21-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-8.21&CDS=1-3624	YHR146W, YNL173C
OG0000292	snap_masked-NC_016454.1-processed-gene-8.33-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-8.33&CDS=1-1305	YDL222C, YNL194C
OG0000293	snap_masked-NC_016454.1-processed-gene-8.82-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-8.82&CDS=1-1212, snap_masked-NC_016454.1-processed-gene-8.83-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-8.83&CDS=1-1218	YDL237W
OG0000294	maker-NC_016455.1-snap-gene-1.55-mRNA-1_1&gene=maker-NC_016455.1-snap-gene-1.55&CDS=1-993	YBR191W, YPL079W
OG0000295	genemark-NC_016455.1-processed-gene-1.32-mRNA-1_1&gene=genemark-NC_016455.1-processed-gene-1.32&CDS=1-960	YBR183W, YPL087W
OG0000296	snap_masked-NC_016455.1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-1.69&CDS=1-708	YBR181C, YPL090C
OG0000297	genemark-NC_016455.1-processed-gene-2.132-mRNA-1_1&gene=genemark-NC_016455.1-processed-gene-2.132&CDS=1-345	YBL087C, YER117W
OG0000298	snap_masked-NC_016455.1-processed-gene-3.9-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-3.9&CDS=1-288	YJR094W-A, YPR043W
OG0000299	augustus_masked-NC_016455.1-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-NC_016455.1-processed-gene-5.54&CDS=1-2829	YBL005W, YGL013C
OG0000300	snap_masked-NC_016455.1-processed-gene-7.38-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-7.38&CDS=1-1254	YGR010W, YLR328W
OG0000301	snap_masked-NC_016455.1-processed-gene-7.28-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-7.28&CDS=1-2823, snap_masked-NC_016455.1-processed-gene-8.56-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-8.56&CDS=1-2898	YBR084W
OG0000302	augustus_masked-NC_016455.1-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-NC_016455.1-processed-gene-8.131&CDS=1-2475	YKL105C, YMR086W
OG0000303	augustus_masked-NC_016455.1-processed-gene-8.181-mRNA-1_1&gene=augustus_masked-NC_016455.1-processed-gene-8.181&CDS=1-588	YBL027W, YBR084C-A
OG0000304	snap_masked-NC_016455.1-processed-gene-8.58-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-8.58&CDS=1-909	YBL030C, YBR085W
OG0000305	snap_masked-NC_016455.1-processed-gene-8.110-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-8.110&CDS=1-282	YBR089C-A, YPR052C
OG0000306	snap_masked-NC_016455.1-processed-gene-8.115-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-8.115&CDS=1-783	YHR203C, YJR145C
OG0000307	snap_masked-NC_016455.1-processed-gene-8.77-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-8.77&CDS=1-1176	YHR208W, YJR148W
OG0000308	snap_masked-NC_016456.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-0.61&CDS=1-1410	YER081W, YIL074C
OG0000309	snap_masked-NC_016456.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-0.71&CDS=1-942	YDL127W, YDL179W
OG0000310	snap_masked-NC_016456.1-processed-gene-1.80-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-1.80&CDS=1-369	YDL136W, YDL191W
OG0000311	augustus_masked-NC_016456.1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NC_016456.1-processed-gene-1.123&CDS=1-1050	YDL137W, YDL192W
OG0000312	maker-NC_016456.1-snap-gene-2.141-mRNA-1_1&gene=maker-NC_016456.1-snap-gene-2.141&CDS=1-546	YJL177W, YKL180W
OG0000313	augustus_masked-NC_016456.1-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-NC_016456.1-processed-gene-2.32&CDS=1-2646	YJL181W, YJR030C
OG0000314	snap_masked-NC_016456.1-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-2.68&CDS=1-390	YJL190C, YLR367W
OG0000315	snap_masked-NC_016456.1-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-2.88&CDS=1-414	YCR031C, YJL191W
OG0000316	augustus_masked-NC_016456.1-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-NC_016456.1-processed-gene-3.31&CDS=1-4290	YCL068C, YCR038C
OG0000317	snap_masked-NC_016456.1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-4.48&CDS=1-1800	YHR123W, YNL130C
OG0000318	snap_masked-NC_016456.1-processed-gene-4.69-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-4.69&CDS=1-273	YHR021C, YKL156W
OG0000319	augustus_masked-NC_016456.1-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-NC_016456.1-processed-gene-5.75&CDS=1-3006	YJL045W, YKL148C
OG0000320	augustus_masked-NC_016456.1-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-NC_016456.1-processed-gene-6.124&CDS=1-1368	YOR230W, YPL139C
OG0000321	maker-NC_016456.1-snap-gene-6.0-mRNA-1_1&gene=maker-NC_016456.1-snap-gene-6.0&CDS=1-4884	YOR231W, YPL140C
OG0000322	augustus_masked-NC_016456.1-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-NC_016456.1-processed-gene-6.145&CDS=1-312	YOR234C, YPL143W
OG0000323	snap_masked-NC_016456.1-processed-gene-7.35-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-7.35&CDS=1-768	YHL033C, YLL045C
OG0000324		YLR237W, YOR071C, YOR192C
OG0000325	snap_masked-NC_016449.1-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.110&CDS=1-1092	YCL064C
OG0000326	snap_masked-NC_016449.1-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.111&CDS=1-3354	YCL061C
OG0000327	snap_masked-NC_016449.1-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.112&CDS=1-1008	YCL059C
OG0000328	augustus_masked-NC_016449.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-0.49&CDS=1-303	YCL058W-A
OG0000329	snap_masked-NC_016449.1-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.113&CDS=1-246	YCL057C-A
OG0000330	snap_masked-NC_016449.1-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.89&CDS=1-2031	YCL057W
OG0000331	snap_masked-NC_016449.1-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.92&CDS=1-966	YCL055W
OG0000332	snap_masked-NC_016449.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.93&CDS=1-2469	YCL054W
OG0000333	augustus_masked-NC_016449.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-0.72&CDS=1-1272	YCL052C
OG0000334	augustus_masked-NC_016449.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-0.73&CDS=1-381	YDR529C
OG0000335	snap_masked-NC_016449.1-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.95&CDS=1-1065	YDR531W
OG0000336	snap_masked-NC_016449.1-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.121&CDS=1-1026	YDR532C
OG0000337	snap_masked-NC_016449.1-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.122&CDS=1-1284	YDR527W
OG0000338	snap_masked-NC_016449.1-processed-gene-0.123-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.123&CDS=1-774	YIR030C
OG0000339	snap_masked-NC_016449.1-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.97&CDS=1-2502	YDR524C
OG0000340	snap_masked-NC_016449.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.99&CDS=1-1563	YCL048W
OG0000341	snap_masked-NC_016449.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.100&CDS=1-2484	YDR520C
OG0000342	snap_masked-NC_016449.1-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.124&CDS=1-774	YCL047C
OG0000343	snap_masked-NC_016449.1-processed-gene-0.125-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.125&CDS=1-2202	YCL045C
OG0000344	snap_masked-NC_016449.1-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.126&CDS=1-1206	YCL044C
OG0000345	snap_masked-NC_016449.1-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.127&CDS=1-1542	YCL043C
OG0000346	snap_masked-NC_016449.1-processed-gene-0.128-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.128&CDS=1-1098	YDR517W
OG0000347	snap_masked-NC_016449.1-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.101&CDS=1-1482	YCL040W
OG0000348	augustus_masked-NC_016449.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-0.60&CDS=1-2181	YCL039W
OG0000349	snap_masked-NC_016449.1-processed-gene-0.129-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.129&CDS=1-1500	YCL038C
OG0000350	snap_masked-NC_016449.1-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.130&CDS=1-1458	YCL037C
OG0000351	snap_masked-NC_016449.1-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.105&CDS=1-996	YCL034W
OG0000352	snap_masked-NC_016449.1-processed-gene-0.132-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.132&CDS=1-390	YCL033C
OG0000353	snap_masked-NC_016449.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.106&CDS=1-258	YDR512C
OG0000354	snap_masked-NC_016449.1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-0.107&CDS=1-1131	YCL032W
OG0000355	snap_masked-NC_016449.1-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.40&CDS=1-870	YCL031C
OG0000356	augustus_masked-NC_016449.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-1.79&CDS=1-2751	YCL030C
OG0000357	snap_masked-NC_016449.1-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.43&CDS=1-1476	YCL029C
OG0000358	augustus_masked-NC_016449.1-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-1.76&CDS=1-549	YCL028W
OG0000359	augustus_masked-NC_016449.1-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-1.77&CDS=1-1398	YCL027W
OG0000360	snap_masked-NC_016449.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.46&CDS=1-294	YDR510W
OG0000361	maker-NC_016449.1-snap-gene-1.112-mRNA-1_1&gene=maker-NC_016449.1-snap-gene-1.112&CDS=1-2424	YLR177W
OG0000362	augustus_masked-NC_016449.1-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-1.98&CDS=1-621	YLR178C
OG0000363	snap_masked-NC_016449.1-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.50&CDS=1-1146	YDR502C
OG0000364	snap_masked-NC_016449.1-processed-gene-1.67-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.67&CDS=1-747	YLR181C
OG0000365	snap_masked-NC_016449.1-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.51&CDS=1-2487	YLR182W
OG0000366	snap_masked-NC_016449.1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.68&CDS=1-1617	YDR501W
OG0000367	snap_masked-NC_016449.1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.69&CDS=1-2103	YDR499W
OG0000368	snap_masked-NC_016449.1-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.53&CDS=1-759	YLR186W
OG0000369	snap_masked-NC_016449.1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.54&CDS=1-2046	YNL279W
OG0000370	snap_masked-NC_016449.1-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.55&CDS=1-3045	YLR187W
OG0000371	snap_masked-NC_016449.1-processed-gene-1.57-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.57&CDS=1-1434	YNL277W
OG0000372	maker-NC_016449.1-snap-gene-1.116-mRNA-1_1&gene=maker-NC_016449.1-snap-gene-1.116&CDS=1-3669	YLR189C
OG0000373	snap_masked-NC_016449.1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.71&CDS=1-1398	YER019W
OG0000374	augustus_masked-NC_016449.1-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-1.92&CDS=1-3357	YNL275W
OG0000375	augustus_masked-NC_016449.1-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-1.93&CDS=1-378	YCR043C
OG0000376	snap_masked-NC_016449.1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.62&CDS=1-4146	YCR042C
OG0000377	snap_masked-NC_016449.1-processed-gene-1.63-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.63&CDS=1-2388	YOR154W
OG0000378	snap_masked-NC_016449.1-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.64&CDS=1-3774	YNL273W
OG0000379	snap_masked-NC_016449.1-processed-gene-1.72-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.72&CDS=1-1485	YEL064C
OG0000380	augustus_masked-NC_016449.1-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-1.106&CDS=1-2262	YNL272C
OG0000381	snap_masked-NC_016449.1-processed-gene-1.74-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.74&CDS=1-6273	YNL271C
OG0000382	snap_masked-NC_016449.1-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.66&CDS=1-3000	YNL267W
OG0000383	snap_masked-NC_016449.1-processed-gene-2.82-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.82&CDS=1-1155	YGR046W
OG0000384	augustus_masked-NC_016449.1-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-2.47&CDS=1-852	YNL265C
OG0000385	maker-NC_016449.1-snap-gene-2.143-mRNA-1_1&gene=maker-NC_016449.1-snap-gene-2.143&CDS=1-3129	YGR047C
OG0000386	snap_masked-NC_016449.1-processed-gene-2.83-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.83&CDS=1-1047	YGR048W
OG0000387	snap_masked-NC_016449.1-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.88&CDS=1-3603	YGL140C
OG0000388	snap_masked-NC_016449.1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.118&CDS=1-888	YNL263C
OG0000389	snap_masked-NC_016449.1-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.89&CDS=1-6552	YNL262W
OG0000390	augustus_masked-NC_016449.1-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-2.53&CDS=1-1542	YNL261W
OG0000391	snap_masked-NC_016449.1-processed-gene-2.91-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.91&CDS=1-1119	YHR156C
OG0000392	genemark-NC_016449.1-processed-gene-2.33-mRNA-1_1&gene=genemark-NC_016449.1-processed-gene-2.33&CDS=1-522	YNL260C
OG0000393	snap_masked-NC_016449.1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.120&CDS=1-1239	YNL254C
OG0000394	augustus_masked-NC_016449.1-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-2.56&CDS=1-1233	YNL253W
OG0000395	maker-NC_016449.1-augustus-gene-2.136-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-2.136&CDS=1-2481	YNL251C
OG0000396	snap_masked-NC_016449.1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.95&CDS=1-3894	YNL250W
OG0000397	snap_masked-NC_016449.1-processed-gene-2.124-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.124&CDS=1-1233	YNL248C
OG0000398	snap_masked-NC_016449.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.100&CDS=1-1179	YJL203W
OG0000399	snap_masked-NC_016449.1-processed-gene-2.101-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-2.101&CDS=1-576	YNL255C
