	Metschnikowia_proteae	Saccharomyces_cerevisiae
OG0000401	snap_masked-proT_s70-processed-gene-1.159-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.159&CDS=1-516	YMR242C, YOR312C
OG0000402	snap_masked-proT_s70-processed-gene-1.167-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.167&CDS=1-267	YBR089C-A, YPR052C
OG0000403	snap_masked-proT_s70-processed-gene-1.136-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.136&CDS=1-4104	YCL024W, YDR507C
OG0000404	snap_masked-proT_s72-processed-gene-0.200-mRNA-1_1&gene=snap_masked-proT_s72-processed-gene-0.200&CDS=1-1344, snap_masked-proT_s97-processed-gene-1.89-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.89&CDS=1-1386	YBR028C
OG0000405	snap_masked-proT_s72-processed-gene-0.173-mRNA-1_1&gene=snap_masked-proT_s72-processed-gene-0.173&CDS=1-1167, snap_masked-proT_s96-processed-gene-0.35-mRNA-1_1&gene=snap_masked-proT_s96-processed-gene-0.35&CDS=1-1239	YGR263C
OG0000406	snap_masked-proT_s72-processed-gene-0.213-mRNA-1_1&gene=snap_masked-proT_s72-processed-gene-0.213&CDS=1-7599	YBR140C, YOL081W
OG0000407	augustus_masked-proT_s72-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-proT_s72-processed-gene-0.113&CDS=1-588	YBL027W, YBR084C-A
OG0000408	maker-proT_s96-snap-gene-1.2-mRNA-1_1&gene=maker-proT_s96-snap-gene-1.2&CDS=1-582	YLR287C-A, YOR182C
OG0000409	augustus_masked-proT_s96-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-proT_s96-processed-gene-1.20&CDS=1-2523	YKL132C, YMR113W
OG0000410	snap_masked-proT_s96-processed-gene-1.92-mRNA-1_1&gene=snap_masked-proT_s96-processed-gene-1.92&CDS=1-2139	YDR069C, YER144C
OG0000411	snap_masked-proT_s96-processed-gene-1.101-mRNA-1_1&gene=snap_masked-proT_s96-processed-gene-1.101&CDS=1-1818	YGL158W, YLR248W
OG0000412	snap_masked-proT_s96-processed-gene-1.137-mRNA-1_1&gene=snap_masked-proT_s96-processed-gene-1.137&CDS=1-1533	YJR054W, YML047C
OG0000413	snap_masked-proT_s97-processed-gene-0.132-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.132&CDS=1-588	YDR453C, YML028W
OG0000414	snap_masked-proT_s97-processed-gene-0.111-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.111&CDS=1-678	YDR185C, YLR168C
OG0000415	snap_masked-proT_s97-processed-gene-0.118-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.118&CDS=1-474	YDR178W, YLR164W
OG0000416	snap_masked-proT_s97-processed-gene-0.120-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.120&CDS=1-1530	YDR200C, YLR238W
OG0000417	snap_masked-proT_s97-processed-gene-1.105-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.105&CDS=1-369	YHR132W-A, YNL157W
OG0000418	snap_masked-proT_s97-processed-gene-1.144-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.144&CDS=1-858	YHR133C, YNL156C
OG0000419	genemark-proT_s97-processed-gene-1.212-mRNA-1_1&gene=genemark-proT_s97-processed-gene-1.212&CDS=1-3540	YNL087W, YOR086C
OG0000420	snap_masked-proT_s97-processed-gene-1.132-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.132&CDS=1-771	YGR248W, YHR163W
OG0000421	snap_masked-proT_s97-processed-gene-1.169-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.169&CDS=1-846	YIL114C, YNL055C
OG0000422	augustus_masked-proT_s97-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-proT_s97-processed-gene-1.84&CDS=1-1089	YBL003C, YDR225W
OG0000423	snap_masked-proT_s97-processed-gene-1.137-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.137&CDS=1-390	YBL002W, YDR224C
OG0000424	snap_masked-proT_C15475-processed-gene-0.3-mRNA-1_1&gene=snap_masked-proT_C15475-processed-gene-0.3&CDS=1-843	YPR103W
OG0000425	snap_masked-proT_C15847-processed-gene-0.10-mRNA-1_1&gene=snap_masked-proT_C15847-processed-gene-0.10&CDS=1-546	YOR163W
OG0000426	snap_masked-proT_C15847-processed-gene-0.8-mRNA-1_1&gene=snap_masked-proT_C15847-processed-gene-0.8&CDS=1-636	YLR250W
OG0000427	snap_masked-proT_C16329-processed-gene-0.57-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.57&CDS=1-933	YNR007C
OG0000428	snap_masked-proT_C16329-processed-gene-0.58-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.58&CDS=1-2148	YNR008W
OG0000429	snap_masked-proT_C16329-processed-gene-0.60-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.60&CDS=1-1977	YLR429W
OG0000430	genemark-proT_C16329-processed-gene-0.9-mRNA-1_1&gene=genemark-proT_C16329-processed-gene-0.9&CDS=1-4512	YPL242C
OG0000431	snap_masked-proT_C16329-processed-gene-0.67-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.67&CDS=1-696	YJR050W
OG0000432	genemark-proT_C16329-processed-gene-0.3-mRNA-1_1&gene=genemark-proT_C16329-processed-gene-0.3&CDS=1-480	YPL234C
OG0000433	genemark-proT_C16329-processed-gene-0.12-mRNA-1_1&gene=genemark-proT_C16329-processed-gene-0.12&CDS=1-1431	YPL235W
OG0000434	snap_masked-proT_C16329-processed-gene-0.72-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.72&CDS=1-1854	YDR380W
OG0000435	genemark-proT_C16329-processed-gene-0.16-mRNA-1_1&gene=genemark-proT_C16329-processed-gene-0.16&CDS=1-2829	YMR205C
OG0000436	snap_masked-proT_C16329-processed-gene-0.61-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.61&CDS=1-1149	YMR203W
OG0000437	augustus_masked-proT_C16329-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-proT_C16329-processed-gene-0.47&CDS=1-816	YPL246C
OG0000438	snap_masked-proT_C16329-processed-gene-0.62-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.62&CDS=1-1062	YPL236C
OG0000439	snap_masked-proT_C16329-processed-gene-0.78-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.78&CDS=1-807	YPL237W
OG0000440	snap_masked-proT_C16329-processed-gene-0.79-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.79&CDS=1-594	YPL239W
OG0000441	snap_masked-proT_C16329-processed-gene-0.64-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.64&CDS=1-3099	YMR185W
OG0000442	snap_masked-proT_C16329-processed-gene-0.80-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.80&CDS=1-2103	YMR186W
OG0000443	maker-proT_C16329-snap-gene-0.27-mRNA-1_1&gene=maker-proT_C16329-snap-gene-0.27&CDS=1-1062	YMR201C
OG0000444	snap_masked-proT_C16329-processed-gene-0.83-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.83&CDS=1-2337	YLR304C
OG0000445	snap_masked-proT_s1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.5&CDS=1-1164	YCR044C
OG0000446	snap_masked-proT_s1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.22&CDS=1-711	YPL002C
OG0000447	snap_masked-proT_s1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.6&CDS=1-1086	YMR152W
OG0000448	snap_masked-proT_s1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.24&CDS=1-897	YLR172C
OG0000449	snap_masked-proT_s1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.25&CDS=1-1128	YPL069C
OG0000450	snap_masked-proT_s1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.10&CDS=1-2250	YPL070W
OG0000451	snap_masked-proT_s1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.12&CDS=1-4272	YGR116W
OG0000452	snap_masked-proT_s1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.27&CDS=1-2757	YJL108C
OG0000453	snap_masked-proT_s1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.28&CDS=1-1299	YOL022C
OG0000454	augustus_masked-proT_s1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-proT_s1-processed-gene-0.61&CDS=1-3819	YOL023W
OG0000455	snap_masked-proT_s1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.31&CDS=1-711	YDR054C
OG0000456	snap_masked-proT_s1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.14&CDS=1-2808	YFR016C
OG0000457	snap_masked-proT_s1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.15&CDS=1-3609	YJL080C
OG0000458	snap_masked-proT_s1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.16&CDS=1-1620	YGR055W
OG0000459	snap_masked-proT_s1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.17&CDS=1-426	YPR100W
OG0000460	maker-proT_s1-snap-gene-0.65-mRNA-1_1&gene=maker-proT_s1-snap-gene-0.65&CDS=1-2229	YLL057C
OG0000461	snap_masked-proT_s1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.32&CDS=1-3948	YBL047C
OG0000462	genemark-proT_s1-processed-gene-0.86-mRNA-1_1&gene=genemark-proT_s1-processed-gene-0.86&CDS=1-603	YHR089C
OG0000463	augustus_masked-proT_s1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-proT_s1-processed-gene-0.64&CDS=1-1122	YDR336W
OG0000464	snap_masked-proT_s1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.36&CDS=1-5220	YKR031C
OG0000465	snap_masked-proT_s1-processed-gene-1.37-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.37&CDS=1-732	YHR181W
OG0000466	snap_masked-proT_s1-processed-gene-1.58-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.58&CDS=1-1410	YDL006W
OG0000467	snap_masked-proT_s1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.41&CDS=1-900	YKL094W
OG0000468	snap_masked-proT_s1-processed-gene-1.42-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.42&CDS=1-2097	YDR081C
OG0000469	snap_masked-proT_s1-processed-gene-1.59-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.59&CDS=1-294	YDR079W
OG0000470	snap_masked-proT_s1-processed-gene-1.43-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.43&CDS=1-654	YDR084C
OG0000471	augustus_masked-proT_s1-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-proT_s1-processed-gene-1.104&CDS=1-2940	YDR080W
OG0000472	maker-proT_s1-snap-gene-1.78-mRNA-1_1&gene=maker-proT_s1-snap-gene-1.78&CDS=1-1431	YDL101C
OG0000473	snap_masked-proT_s1-processed-gene-1.45-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.45&CDS=1-1578	YJL014W
OG0000474	snap_masked-proT_s1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.46&CDS=1-2721	YDL117W
OG0000475	snap_masked-proT_s1-processed-gene-1.48-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.48&CDS=1-2145	YJL012C
OG0000476	snap_masked-proT_s1-processed-gene-1.65-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.65&CDS=1-4767	YMR162C
OG0000477	snap_masked-proT_s1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.49&CDS=1-1770	YHR188C
OG0000478	snap_masked-proT_s1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.68&CDS=1-846	YHR187W
OG0000479	snap_masked-proT_s1-processed-gene-1.50-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.50&CDS=1-3129	YMR288W
OG0000480	maker-proT_s1-snap-gene-1.77-mRNA-1_1&gene=maker-proT_s1-snap-gene-1.77&CDS=1-3108	YGR258C
OG0000481	snap_masked-proT_s1-processed-gene-1.53-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.53&CDS=1-2256	YGR261C
OG0000482	snap_masked-proT_s1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.71&CDS=1-1191	YPL123C
OG0000483	snap_masked-proT_s1-processed-gene-1.72-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-1.72&CDS=1-1341	YER043C
OG0000484	snap_masked-proT_s1-processed-gene-2.59-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.59&CDS=1-1443	YFR044C
OG0000485	augustus_masked-proT_s1-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-proT_s1-processed-gene-2.128&CDS=1-1074	YOR288C
OG0000486	genemark-proT_s1-processed-gene-2.26-mRNA-1_1&gene=genemark-proT_s1-processed-gene-2.26&CDS=1-1026	YJR100C
OG0000487	snap_masked-proT_s1-processed-gene-2.82-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.82&CDS=1-930	YJR095W
OG0000488	snap_masked-proT_s1-processed-gene-2.83-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.83&CDS=1-1332	YNL237W
OG0000489	snap_masked-proT_s1-processed-gene-2.62-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.62&CDS=1-2553	YNL238W
OG0000490	snap_masked-proT_s1-processed-gene-2.63-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.63&CDS=1-1503	YNL241C
OG0000491	genemark-proT_s1-processed-gene-2.9-mRNA-1_1&gene=genemark-proT_s1-processed-gene-2.9&CDS=1-2781	YNL049C
OG0000492	augustus_masked-proT_s1-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-proT_s1-processed-gene-2.132&CDS=1-1287	YNL051W
OG0000493	genemark-proT_s1-processed-gene-2.12-mRNA-1_1&gene=genemark-proT_s1-processed-gene-2.12&CDS=1-978	YBL033C
OG0000494	snap_masked-proT_s1-processed-gene-2.91-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.91&CDS=1-1113	YLR113W
OG0000495	snap_masked-proT_s1-processed-gene-2.92-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.92&CDS=1-1809	YGL116W
OG0000496	snap_masked-proT_s1-processed-gene-2.69-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.69&CDS=1-666	YMR077C
OG0000497	snap_masked-proT_s1-processed-gene-2.93-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.93&CDS=1-1020	YGL040C
OG0000498	augustus_masked-proT_s1-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-proT_s1-processed-gene-2.142&CDS=1-2316	YKL152C
OG0000499	snap_masked-proT_s1-processed-gene-2.98-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.98&CDS=1-1878	YHL032C
OG0000500	snap_masked-proT_s1-processed-gene-2.99-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.99&CDS=1-1428	YDL103C
OG0000501	maker-proT_s1-snap-gene-2.154-mRNA-1_1&gene=maker-proT_s1-snap-gene-2.154&CDS=1-5493	YJR092W
OG0000502	snap_masked-proT_s1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.73&CDS=1-723	YJR093C
OG0000503	snap_masked-proT_s1-processed-gene-2.101-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.101&CDS=1-1191	YPR041W
OG0000504	snap_masked-proT_s1-processed-gene-2.102-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.102&CDS=1-1326	YJR084W
OG0000505	snap_masked-proT_s1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.75&CDS=1-2259	YJR090C
OG0000506	snap_masked-proT_s1-processed-gene-2.78-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.78&CDS=1-558	YJR102C
OG0000507	snap_masked-proT_s1-processed-gene-2.79-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.79&CDS=1-1725	YBL039C
OG0000508	snap_masked-proT_s1-processed-gene-2.104-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.104&CDS=1-933	YJR088C
OG0000509	snap_masked-proT_s104-processed-gene-0.2-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.2&CDS=1-3366	YMR287C
OG0000510	snap_masked-proT_s104-processed-gene-0.3-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.3&CDS=1-2571	YMR266W
OG0000511	snap_masked-proT_s104-processed-gene-0.5-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.5&CDS=1-4791	YML103C
OG0000512	snap_masked-proT_s104-processed-gene-0.8-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.8&CDS=1-1260	YMR208W
OG0000513	snap_masked-proT_s104-processed-gene-0.21-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.21&CDS=1-984	YOR271C
OG0000514	snap_masked-proT_s104-processed-gene-0.22-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.22&CDS=1-1587	YMR217W
OG0000515	snap_masked-proT_s104-processed-gene-0.10-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.10&CDS=1-1356	YOR272W
OG0000516	snap_masked-proT_s104-processed-gene-0.23-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.23&CDS=1-1404	YMR209C
OG0000517	snap_masked-proT_s104-processed-gene-0.11-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.11&CDS=1-855	YKL019W
OG0000518	snap_masked-proT_s104-processed-gene-0.25-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.25&CDS=1-1368	YMR210W
OG0000519	maker-proT_s106-augustus-gene-0.35-mRNA-1_1&gene=maker-proT_s106-augustus-gene-0.35&CDS=1-1770	YJL057C
OG0000520	maker-proT_s106-snap-gene-0.34-mRNA-1_1&gene=maker-proT_s106-snap-gene-0.34&CDS=1-1461	YBR283C
OG0000521	snap_masked-proT_s106-processed-gene-0.54-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.54&CDS=1-495	YOL143C
OG0000522	genemark-proT_s106-processed-gene-0.84-mRNA-1_1&gene=genemark-proT_s106-processed-gene-0.84&CDS=1-324	YKL084W
OG0000523	snap_masked-proT_s106-processed-gene-0.41-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.41&CDS=1-1323	YDL155W
OG0000524	snap_masked-proT_s106-processed-gene-0.42-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.42&CDS=1-759	YIL070C
OG0000525	snap_masked-proT_s106-processed-gene-0.57-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.57&CDS=1-2586	YPR112C
OG0000526	snap_masked-proT_s106-processed-gene-0.58-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.58&CDS=1-3882	YNL250W
OG0000527	snap_masked-proT_s106-processed-gene-0.60-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.60&CDS=1-2697	YOR113W
OG0000528	snap_masked-proT_s106-processed-gene-0.62-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.62&CDS=1-378	YNL113W
OG0000529	snap_masked-proT_s106-processed-gene-0.46-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.46&CDS=1-801	YGR158C
OG0000530	snap_masked-proT_s106-processed-gene-0.65-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.65&CDS=1-2580	YGR157W
OG0000531	snap_masked-proT_s106-processed-gene-0.47-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.47&CDS=1-4536	YNL297C
OG0000532	snap_masked-proT_s106-processed-gene-0.48-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-0.48&CDS=1-3405	YBR023C
OG0000533	snap_masked-proT_s106-processed-gene-1.37-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.37&CDS=1-2292	YLR069C
OG0000534	snap_masked-proT_s106-processed-gene-1.38-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.38&CDS=1-2271	YNL247W
OG0000535	snap_masked-proT_s106-processed-gene-1.39-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.39&CDS=1-570	YLR066W
OG0000536	augustus_masked-proT_s106-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-1.8&CDS=1-3564	YLR067C
OG0000537	snap_masked-proT_s106-processed-gene-1.42-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.42&CDS=1-1560	YJR152W
OG0000538	snap_masked-proT_s106-processed-gene-1.54-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.54&CDS=1-708	YGL161C
OG0000539	genemark-proT_s106-processed-gene-1.89-mRNA-1_1&gene=genemark-proT_s106-processed-gene-1.89&CDS=1-5616	YNL271C
OG0000540	snap_masked-proT_s106-processed-gene-1.59-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.59&CDS=1-2172	YNL272C
OG0000541	snap_masked-proT_s106-processed-gene-1.46-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.46&CDS=1-6348	YFL007W
OG0000542	snap_masked-proT_s106-processed-gene-1.61-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.61&CDS=1-3075	YJR132W
OG0000543	snap_masked-proT_s106-processed-gene-1.47-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.47&CDS=1-1827	YER036C
OG0000544	snap_masked-proT_s106-processed-gene-1.64-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.64&CDS=1-750	YOR126C
OG0000545	maker-proT_s106-snap-gene-1.2-mRNA-1_1&gene=maker-proT_s106-snap-gene-1.2&CDS=1-2835	YLR196W
OG0000546	snap_masked-proT_s106-processed-gene-1.49-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.49&CDS=1-1323	YLR195C
OG0000547	augustus_masked-proT_s106-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-1.17&CDS=1-1215	YLR097C
OG0000548	snap_masked-proT_s106-processed-gene-1.51-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.51&CDS=1-2493	YMR309C
OG0000549	snap_masked-proT_s106-processed-gene-1.52-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-1.52&CDS=1-1101	YGL211W
OG0000550	snap_masked-proT_s106-processed-gene-2.51-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.51&CDS=1-3159	YPR122W
OG0000551	maker-proT_s106-augustus-gene-2.46-mRNA-1_1&gene=maker-proT_s106-augustus-gene-2.46&CDS=1-3384	YPR179C
OG0000552	maker-proT_s106-snap-gene-2.98-mRNA-1_1&gene=maker-proT_s106-snap-gene-2.98&CDS=1-1032	YPR180W
OG0000553	snap_masked-proT_s106-processed-gene-2.56-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.56&CDS=1-2241	YPR181C
OG0000554	genemark-proT_s106-processed-gene-2.6-mRNA-1_1&gene=genemark-proT_s106-processed-gene-2.6&CDS=1-681	YGL018C
OG0000555	snap_masked-proT_s106-processed-gene-2.76-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.76&CDS=1-855	YGL019W
OG0000556	snap_masked-proT_s106-processed-gene-2.58-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.58&CDS=1-639	YGL020C
OG0000557	maker-proT_s106-snap-gene-2.100-mRNA-1_1&gene=maker-proT_s106-snap-gene-2.100&CDS=1-2940	YBL008W
OG0000558	maker-proT_s106-snap-gene-2.99-mRNA-1_1&gene=maker-proT_s106-snap-gene-2.99&CDS=1-1443	YGL202W
OG0000559	snap_masked-proT_s106-processed-gene-2.79-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.79&CDS=1-1473	YGL003C
OG0000560	snap_masked-proT_s106-processed-gene-2.60-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.60&CDS=1-1140	YOL018C
OG0000561	snap_masked-proT_s106-processed-gene-2.80-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.80&CDS=1-1587	YOL019W
OG0000562	genemark-proT_s106-processed-gene-2.29-mRNA-1_1&gene=genemark-proT_s106-processed-gene-2.29&CDS=1-6684	YFR019W
OG0000563	snap_masked-proT_s106-processed-gene-2.61-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.61&CDS=1-1005	YDR372C
OG0000564	augustus_masked-proT_s106-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-2.129&CDS=1-1026	YDR371W
OG0000565	snap_masked-proT_s106-processed-gene-2.62-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.62&CDS=1-2319	YBR058C
OG0000566	snap_masked-proT_s106-processed-gene-2.83-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.83&CDS=1-1812	YDR338C
OG0000567	snap_masked-proT_s106-processed-gene-2.85-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.85&CDS=1-882	YMR130W
OG0000568	augustus_masked-proT_s106-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-proT_s106-processed-gene-2.135&CDS=1-7683	YMR128W
OG0000569	snap_masked-proT_s106-processed-gene-2.90-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.90&CDS=1-675	YDR121W
OG0000570	snap_masked-proT_s106-processed-gene-2.66-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.66&CDS=1-4440	YLR032W
OG0000571	maker-proT_s106-snap-gene-2.96-mRNA-1_1&gene=maker-proT_s106-snap-gene-2.96&CDS=1-1569	YLR033W
OG0000572	snap_masked-proT_s106-processed-gene-2.91-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.91&CDS=1-1554	YLR034C
OG0000573	snap_masked-proT_s106-processed-gene-2.69-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.69&CDS=1-1689	YBR296C
OG0000574	genemark-proT_s106-processed-gene-2.19-mRNA-1_1&gene=genemark-proT_s106-processed-gene-2.19&CDS=1-867	YIL034C
OG0000575	genemark-proT_s106-processed-gene-2.41-mRNA-1_1&gene=genemark-proT_s106-processed-gene-2.41&CDS=1-636	YGR167W
OG0000576	snap_masked-proT_s106-processed-gene-2.93-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.93&CDS=1-2361	YGR200C
OG0000577	snap_masked-proT_s106-processed-gene-2.72-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.72&CDS=1-690	YHR041C
OG0000578	snap_masked-proT_s106-processed-gene-2.73-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-2.73&CDS=1-2271	YJL033W
OG0000579	genemark-proT_s106-processed-gene-2.43-mRNA-1_1&gene=genemark-proT_s106-processed-gene-2.43&CDS=1-1122	YDL150W
