	Saccharomyces_cerevisiae	yHMPu5000034669_Blastobotrys_raffinofermentans
OG0000395	YLR287C-A, YOR182C	maker-flattened_line_2-snap-gene-6.6-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-6.6&CDS=1-186
OG0000396	YLR300W, YOR190W	augustus_masked-flattened_line_10-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.96&CDS=1-1236
OG0000397	YLR337C	augustus_masked-flattened_line_4-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.93&CDS=1-1635, snap_masked-flattened_line_0-processed-gene-28.237-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-28.237&CDS=1-243
OG0000398	YLR450W, YML075C	augustus_masked-flattened_line_12-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.119&CDS=1-3111
OG0000399	YLR456W, YPR172W	augustus_masked-flattened_line_19-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.36&CDS=1-510
OG0000400	YML046W	augustus_masked-flattened_line_16-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.16&CDS=1-1398, augustus_masked-flattened_line_6-processed-gene-7.150-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-7.150&CDS=1-1563
OG0000401	YML100W, YMR261C	augustus_masked-flattened_line_0-processed-gene-27.140-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-27.140&CDS=1-2940
OG0000402	YML106W, YMR271C	augustus_masked-flattened_line_0-processed-gene-12.104-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.104&CDS=1-660
OG0000403	YML109W, YMR273C	augustus_masked-flattened_line_4-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.82&CDS=1-3129
OG0000404	YMR020W	augustus_masked-flattened_line_26-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.161&CDS=1-1317, augustus_masked-flattened_line_4-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.81&CDS=1-1341
OG0000405	YMR092C	augustus_masked-flattened_line_18-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.27&CDS=1-2823, maker-flattened_line_18-augustus-gene-0.5-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-0.5&CDS=1-2823
OG0000406	YMR093W	augustus_masked-flattened_line_18-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.76&CDS=1-1491, augustus_masked-flattened_line_18-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.28&CDS=1-1491
OG0000407	YMR105C	augustus_masked-flattened_line_18-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.79&CDS=1-1659, augustus_masked-flattened_line_18-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.25&CDS=1-1659
OG0000408	YMR106C	augustus_masked-flattened_line_18-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.62&CDS=1-2193, snap_masked-flattened_line_18-processed-gene-3.221-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.221&CDS=1-2193
OG0000409	YMR109W	maker-flattened_line_18-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-0.4&CDS=1-3774, maker-flattened_line_18-augustus-gene-3.156-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-3.156&CDS=1-3774
OG0000410	YMR110C	augustus_masked-flattened_line_0-processed-gene-13.35-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.35&CDS=1-1578, augustus_masked-flattened_line_19-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.119&CDS=1-1503
OG0000411	YMR119W, YNL008C	augustus_masked-flattened_line_0-processed-gene-28.158-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-28.158&CDS=1-2124
OG0000412	YMR155W	augustus_masked-flattened_line_0-processed-gene-16.120-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-16.120&CDS=1-1347, augustus_masked-flattened_line_16-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.151&CDS=1-1023
OG0000413	YMR169C, YMR170C	augustus_masked-flattened_line_6-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.32&CDS=1-1497
OG0000414	YMR178W	augustus_masked-flattened_line_23-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.60&CDS=1-822, augustus_masked-flattened_line_23-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.154&CDS=1-822
OG0000415	YMR182C, YPL230W	augustus_masked-flattened_line_0-processed-gene-28.148-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-28.148&CDS=1-1635
OG0000416	YMR183C, YPL232W	augustus_masked-flattened_line_19-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.22&CDS=1-963
OG0000417	YMR194W, YPL249C-A	augustus_masked-flattened_line_26-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.60&CDS=1-303
OG0000418	YMR202W	augustus_masked-flattened_line_21-processed-gene-2.200-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.200&CDS=1-654, augustus_masked-flattened_line_6-processed-gene-3.163-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.163&CDS=1-654
OG0000419	YMR222C, YOR280C	augustus_masked-flattened_line_0-processed-gene-22.84-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-22.84&CDS=1-771
OG0000420	YMR230W, YOR293W	augustus_masked-flattened_line_4-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.61&CDS=1-414
OG0000421	YMR237W, YOR299W	maker-flattened_line_2-augustus-gene-2.159-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-2.159&CDS=1-3717
OG0000422	YMR286W	augustus_masked-flattened_line_18-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.86&CDS=1-255, augustus_masked-flattened_line_18-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.18&CDS=1-255
OG0000423	YNL054W	augustus_masked-flattened_line_18-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.35&CDS=1-2076, augustus_masked-flattened_line_18-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.6&CDS=1-2076
OG0000424	YNL102W	maker-flattened_line_18-augustus-gene-2.47-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-2.47&CDS=1-4191, maker-flattened_line_18-augustus-gene-2.51-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-2.51&CDS=1-4191
OG0000425	YNL104C, YOR108W	augustus_masked-flattened_line_2-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.113&CDS=1-1710
OG0000426	YNL106C, YOR109W	augustus_masked-flattened_line_0-processed-gene-8.57-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.57&CDS=1-3246
OG0000427	YNL108C, YOR110W	maker-flattened_line_12-snap-gene-2.163-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-2.163&CDS=1-1245
OG0000428	YNL126W	augustus_masked-flattened_line_23-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.98&CDS=1-2298, augustus_masked-flattened_line_23-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.122&CDS=1-2298
OG0000429	YNL127W	augustus_masked-flattened_line_23-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.99&CDS=1-2373, augustus_masked-flattened_line_23-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.121&CDS=1-2373
OG0000430	YNL128W	augustus_masked-flattened_line_23-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.100&CDS=1-990, augustus_masked-flattened_line_23-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.120&CDS=1-990
OG0000431	YNL288W	augustus_masked-flattened_line_23-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.73&CDS=1-1134, augustus_masked-flattened_line_23-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.103&CDS=1-1134
OG0000432	YNL294C	augustus_masked-flattened_line_0-processed-gene-22.98-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-22.98&CDS=1-1572, genemark-flattened_line_12-processed-gene-3.146-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.146&CDS=1-1509
OG0000433	YNL298W, YOL113W	augustus_masked-flattened_line_0-processed-gene-17.73-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-17.73&CDS=1-2931
OG0000434	YNL301C, YOL120C	augustus_masked-flattened_line_12-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.126&CDS=1-558
OG0000435	YNL302C, YOL121C	augustus_masked-flattened_line_12-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.88&CDS=1-534
OG0000436	YOL032W	augustus_masked-flattened_line_23-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.67&CDS=1-618, augustus_masked-flattened_line_23-processed-gene-2.164-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.164&CDS=1-618
OG0000437	YOL051W	snap_masked-flattened_line_18-processed-gene-1.137-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.137&CDS=1-3777, snap_masked-flattened_line_18-processed-gene-2.26-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.26&CDS=1-3777
OG0000438	YOL119C, YOR306C	augustus_masked-flattened_line_4-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.72&CDS=1-1467
OG0000439	YOL137W	augustus_masked-flattened_line_0-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.68&CDS=1-1395, augustus_masked-flattened_line_2-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.24&CDS=1-1329
OG0000440	YOR036W	augustus_masked-flattened_line_18-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.110&CDS=1-771, augustus_masked-flattened_line_18-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.121&CDS=1-771
OG0000441	YOR046C	augustus_masked-flattened_line_23-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.84&CDS=1-1542, augustus_masked-flattened_line_23-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.136&CDS=1-1542
OG0000442	YOR049C	augustus_masked-flattened_line_19-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.138&CDS=1-996, augustus_masked-flattened_line_24-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.23&CDS=1-1011
OG0000443	YOR084W	snap_masked-flattened_line_0-processed-gene-13.166-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.166&CDS=1-1113, snap_masked-flattened_line_0-processed-gene-18.16-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.16&CDS=1-1107
OG0000444	YOR099W	augustus_masked-flattened_line_0-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.41&CDS=1-1263, augustus_masked-flattened_line_12-processed-gene-4.148-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.148&CDS=1-1185
OG0000445	YOR100C	augustus_masked-flattened_line_23-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.72&CDS=1-942, augustus_masked-flattened_line_23-processed-gene-2.159-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.159&CDS=1-942
OG0000446	YOR104W	augustus_masked-flattened_line_18-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.106&CDS=1-600, augustus_masked-flattened_line_18-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.142&CDS=1-600
OG0000447	YOR222W, YPL134C	maker-flattened_line_24-augustus-gene-0.48-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-0.48&CDS=1-3105
OG0000448	YOR227W, YPL137C	augustus_masked-flattened_line_24-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.94&CDS=1-3594
OG0000449	YOR234C, YPL143W	augustus_masked-flattened_line_0-processed-gene-12.93-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.93&CDS=1-321
OG0000450	YOR237W, YPL145C	augustus_masked-flattened_line_19-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-3.145&CDS=1-1200
OG0000451	YOR256C, YPL176C	augustus_masked-flattened_line_14-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.137&CDS=1-2601
OG0000452	YOR311C	augustus_masked-flattened_line_23-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.76&CDS=1-849, augustus_masked-flattened_line_23-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.144&CDS=1-849
OG0000453	YOR313C	augustus_masked-flattened_line_23-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.53&CDS=1-1134, augustus_masked-flattened_line_23-processed-gene-2.178-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.178&CDS=1-1134
OG0000454	YOR323C	augustus_masked-flattened_line_18-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.6&CDS=1-1323, augustus_masked-flattened_line_18-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.44&CDS=1-1323
OG0000455	YOR348C	augustus_masked-flattened_line_16-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.143&CDS=1-1671, augustus_masked-flattened_line_2-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-9.93&CDS=1-1695
OG0000456	YOR349W	augustus_masked-flattened_line_18-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.85&CDS=1-3027, snap_masked-flattened_line_18-processed-gene-3.178-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.178&CDS=1-3027
OG0000457	YOR389W, YPL277C	augustus_masked-flattened_line_26-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.121&CDS=1-1566
OG0000458	YPL146C	maker-flattened_line_0-snap-gene-2.107-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-2.107&CDS=1-4137, maker-flattened_line_38-augustus-gene-0.9-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.9&CDS=1-2904
OG0000459	YPL190C	augustus_masked-flattened_line_18-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.74&CDS=1-1875, augustus_masked-flattened_line_18-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.30&CDS=1-1875
OG0000460	YPL204W	augustus_masked-flattened_line_23-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.96&CDS=1-1209, augustus_masked-flattened_line_23-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.98&CDS=1-1209
OG0000461	YPL206C	genemark-flattened_line_23-processed-gene-1.121-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.121&CDS=1-945, genemark-flattened_line_23-processed-gene-2.17-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-2.17&CDS=1-945
OG0000462	YPL207W	augustus_masked-flattened_line_18-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.0&CDS=1-2091, augustus_masked-flattened_line_18-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.50&CDS=1-2091
OG0000463	YPL225W	augustus_masked-flattened_line_23-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.63&CDS=1-459, augustus_masked-flattened_line_23-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.117&CDS=1-459
OG0000464	YPL226W	augustus_masked-flattened_line_23-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.83&CDS=1-3390, augustus_masked-flattened_line_23-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.116&CDS=1-3390
OG0000465	YPL242C	augustus_masked-flattened_line_2-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.35&CDS=1-2352, augustus_masked-flattened_line_6-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.93&CDS=1-4545
OG0000466	YPL248C	augustus_masked-flattened_line_16-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.34&CDS=1-2007, maker-flattened_line_6-augustus-gene-3.57-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-3.57&CDS=1-1956
OG0000467	YPR013C, YPR015C	augustus_masked-flattened_line_12-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.6&CDS=1-1035
OG0000468	YPR029C	augustus_masked-flattened_line_23-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.90&CDS=1-2565, augustus_masked-flattened_line_23-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.109&CDS=1-2565
OG0000469	YPR063C	augustus_masked-flattened_line_23-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-1.89&CDS=1-315, augustus_masked-flattened_line_23-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-2.110&CDS=1-315
OG0000470	YPR127W	augustus_masked-flattened_line_18-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.26&CDS=1-996, augustus_masked-flattened_line_18-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.147&CDS=1-996
OG0000471	YPR159W	augustus_masked-flattened_line_19-processed-gene-3.165-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-3.165&CDS=1-2127, augustus_masked-flattened_line_28-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.152&CDS=1-2025
OG0000472	YPR169W-A, YPR170W-B	maker-flattened_line_38-augustus-gene-0.11-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.11&CDS=1-252
OG0000473	YPR194C	genemark-flattened_line_2-processed-gene-8.65-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.65&CDS=1-2553, snap_masked-flattened_line_38-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.26&CDS=1-2532
OG0000474	YAL001C	augustus_masked-flattened_line_0-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.78&CDS=1-4308
OG0000475	YAL002W	augustus_masked-flattened_line_0-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.80&CDS=1-4515
OG0000476	YAL003W	augustus_masked-flattened_line_0-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.97&CDS=1-660
OG0000477	YAL009W	snap_masked-flattened_line_14-processed-gene-2.130-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.130&CDS=1-804
OG0000478	YAL010C	augustus_masked-flattened_line_8-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.42&CDS=1-1071
OG0000479	YAL011W	augustus_masked-flattened_line_8-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.45&CDS=1-2592
OG0000480	YAL013W	augustus_masked-flattened_line_14-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.120&CDS=1-1356
OG0000481	YAL014C	augustus_masked-flattened_line_8-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.47&CDS=1-750
OG0000482	YAL022C	augustus_masked-flattened_line_10-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.134&CDS=1-1287
OG0000483	YAL023C	augustus_masked-flattened_line_8-processed-gene-5.164-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.164&CDS=1-2184
OG0000484	YAL032C	augustus_masked-flattened_line_4-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-7.49&CDS=1-1695
OG0000485	YAL033W	augustus_masked-flattened_line_6-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.59&CDS=1-447
OG0000486	YAL034W-A	augustus_masked-flattened_line_8-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.131&CDS=1-726
OG0000487	YAL035W	augustus_masked-flattened_line_16-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.96&CDS=1-3123
OG0000488	YAL036C	augustus_masked-flattened_line_16-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.73&CDS=1-1107
OG0000489	YAL038W	augustus_masked-flattened_line_4-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.146&CDS=1-1545
OG0000490	YAL039C	augustus_masked-flattened_line_16-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.170&CDS=1-1032
OG0000491	YAL041W	augustus_masked-flattened_line_16-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.53&CDS=1-2415
OG0000492	YAL042W	augustus_masked-flattened_line_16-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.52&CDS=1-1158
OG0000493	YAL043C	augustus_masked-flattened_line_30-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.97&CDS=1-2067
OG0000494	YAL044C	augustus_masked-flattened_line_0-processed-gene-20.91-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-20.91&CDS=1-534
OG0000495	YAL044W-A	snap_masked-flattened_line_12-processed-gene-2.40-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.40&CDS=1-300
OG0000496	YAL046C	augustus_masked-flattened_line_4-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.65&CDS=1-312
OG0000497	YAL048C	augustus_masked-flattened_line_0-processed-gene-22.66-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-22.66&CDS=1-1971
OG0000498	YAL049C	augustus_masked-flattened_line_0-processed-gene-28.182-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-28.182&CDS=1-735
OG0000499	YAL053W	augustus_masked-flattened_line_4-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.117&CDS=1-2346
OG0000500	YAL058W	augustus_masked-flattened_line_19-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.20&CDS=1-1722
OG0000501	YAL067C	augustus_masked-flattened_line_8-processed-gene-5.153-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.153&CDS=1-1629
OG0000502	YAR003W	augustus_masked-flattened_line_0-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.52&CDS=1-1206
OG0000503	YAR007C	augustus_masked-flattened_line_12-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.107&CDS=1-1728
OG0000504	YAR008W	augustus_masked-flattened_line_16-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.81&CDS=1-852
OG0000505	YAR014C	augustus_masked-flattened_line_28-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.132&CDS=1-3075
OG0000506	YAR015W	augustus_masked-flattened_line_10-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.157&CDS=1-903
OG0000507	YAR018C	augustus_masked-flattened_line_10-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.131&CDS=1-1704
OG0000508	YAR019C	augustus_masked-flattened_line_21-processed-gene-2.242-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.242&CDS=1-3345
OG0000509	YAR035W	augustus_masked-flattened_line_8-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.121&CDS=1-2325
OG0000510	YBL003C	augustus_masked-flattened_line_0-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.88&CDS=1-399
OG0000511	YBL004W	augustus_masked-flattened_line_4-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.88&CDS=1-7536
OG0000512	YBL007C	augustus_masked-flattened_line_0-processed-gene-18.145-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.145&CDS=1-3366
OG0000513	YBL013W	augustus_masked-flattened_line_0-processed-gene-16.123-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-16.123&CDS=1-1092
OG0000514	YBL015W	augustus_masked-flattened_line_0-processed-gene-27.143-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-27.143&CDS=1-1560
OG0000515	YBL016W	augustus_masked-flattened_line_0-processed-gene-28.160-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-28.160&CDS=1-1059
OG0000516	YBL020W	augustus_masked-flattened_line_4-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.56&CDS=1-2004
OG0000517	YBL021C	augustus_masked-flattened_line_2-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.80&CDS=1-522
OG0000518	YBL022C	augustus_masked-flattened_line_0-processed-gene-15.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-15.103&CDS=1-3342
OG0000519	YBL023C	augustus_masked-flattened_line_0-processed-gene-15.100-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-15.100&CDS=1-2433
OG0000520	YBL024W	augustus_masked-flattened_line_4-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.57&CDS=1-2070
