	Saccharomyces_cerevisiae	yHAB134_Kazachstania_turicensis
OG0000754	YBR268W	augustus_masked-scf7180000049493-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.105&CDS=1-360
OG0000755	YBR270C	augustus_masked-scf7180000049493-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.135&CDS=1-1950
OG0000756	YBR271W	augustus_masked-scf7180000049493-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.106&CDS=1-1260
OG0000757	YBR272C	augustus_masked-scf7180000049493-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.136&CDS=1-1512
OG0000758	YBR273C	snap_masked-scf7180000049586-processed-gene-2.4-mRNA-1_1&gene=snap_masked-scf7180000049586-processed-gene-2.4&CDS=1-792
OG0000759	YBR274W	augustus_masked-scf7180000049493-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.107&CDS=1-1752
OG0000760	YBR276C	augustus_masked-scf7180000049493-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.101&CDS=1-2601
OG0000761	YBR279W	augustus_masked-scf7180000049493-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.132&CDS=1-1272
OG0000762	YBR281C	snap_masked-scf7180000049493-processed-gene-1.29-mRNA-1_1&gene=snap_masked-scf7180000049493-processed-gene-1.29&CDS=1-4101
OG0000763	YBR282W	augustus_masked-scf7180000049493-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.131&CDS=1-438
OG0000764	YBR283C	augustus_masked-scf7180000049493-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.98&CDS=1-1470
OG0000765	YBR286W	augustus_masked-scf7180000049493-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.129&CDS=1-1668
OG0000766	YBR287W	augustus_masked-scf7180000049493-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-scf7180000049493-processed-gene-1.128&CDS=1-1299
OG0000767	YBR288C	snap_masked-scf7180000049432-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000049432-processed-gene-0.21&CDS=1-1578
OG0000768	YBR289W	augustus_masked-scf7180000049432-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000049432-processed-gene-0.16&CDS=1-2865
OG0000769	YBR290W	augustus_masked-scf7180000049432-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000049432-processed-gene-0.15&CDS=1-966
OG0000770	YBR291C	augustus_masked-scf7180000049432-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049432-processed-gene-0.11&CDS=1-897
OG0000771	YCL001W	augustus_masked-scf7180000049521-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000049521-processed-gene-0.12&CDS=1-564
OG0000772	YCL002C	snap_masked-scf7180000049327-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000049327-processed-gene-0.4&CDS=1-498
OG0000773	YCL004W	augustus_masked-scf7180000049327-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049327-processed-gene-0.8&CDS=1-1575
OG0000774	YCL008C	augustus_masked-scf7180000049329-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049329-processed-gene-0.1&CDS=1-1155
OG0000775	YCL009C	augustus_masked-scf7180000049329-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049329-processed-gene-0.2&CDS=1-912
OG0000776	YCL010C	augustus_masked-scf7180000049509-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000049509-processed-gene-0.22&CDS=1-828
OG0000777	YCL012C	augustus_masked-scf7180000049521-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049521-processed-gene-0.13&CDS=1-402
OG0000778	YCL014W	augustus_masked-scf7180000049509-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049509-processed-gene-0.18&CDS=1-5076
OG0000779	YCL016C	snap_masked-scf7180000049509-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000049509-processed-gene-0.9&CDS=1-1143
OG0000780	YCL017C	genemark-scf7180000049509-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000049509-processed-gene-0.31&CDS=1-1515
OG0000781	YCL018W	augustus_masked-scf7180000049509-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000049509-processed-gene-0.17&CDS=1-1092
OG0000782	YCL027W	augustus_masked-scf7180000049570-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000049570-processed-gene-0.16&CDS=1-1377
OG0000783	YCL029C	augustus_masked-scf7180000049497-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000049497-processed-gene-0.35&CDS=1-1254
OG0000784	YCL030C	augustus_masked-scf7180000049497-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000049497-processed-gene-0.36&CDS=1-2379
OG0000785	YCL031C	augustus_masked-scf7180000049497-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000049497-processed-gene-0.38&CDS=1-912
OG0000786	YCL032W	augustus_masked-scf7180000049497-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000049497-processed-gene-0.45&CDS=1-1152
OG0000787	YCL033C	augustus_masked-scf7180000049497-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000049497-processed-gene-0.39&CDS=1-402
OG0000788	YCL034W	maker-scf7180000049497-snap-gene-0.18-mRNA-1_1&gene=maker-scf7180000049497-snap-gene-0.18&CDS=1-966
OG0000789	YCL037C	maker-scf7180000049497-augustus-gene-0.49-mRNA-1_1&gene=maker-scf7180000049497-augustus-gene-0.49&CDS=1-1314
OG0000790	YCL038C	augustus_masked-scf7180000049497-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000049497-processed-gene-0.41&CDS=1-1563
OG0000791	YCL039W	augustus_masked-scf7180000049497-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000049497-processed-gene-0.48&CDS=1-501
OG0000792	YCL040W	genemark-scf7180000049437-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000049437-processed-gene-0.2&CDS=1-1461
OG0000793	YCL043C	augustus_masked-scf7180000049337-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049337-processed-gene-0.8&CDS=1-1593
OG0000794	YCL044C	snap_masked-scf7180000049337-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000049337-processed-gene-0.13&CDS=1-1362
OG0000795	YCL045C	snap_masked-scf7180000049337-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000049337-processed-gene-0.11&CDS=1-1563
OG0000796	YCL047C	augustus_masked-scf7180000049337-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000049337-processed-gene-0.6&CDS=1-828
OG0000797	YCL050C	augustus_masked-scf7180000049550-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000049550-processed-gene-0.4&CDS=1-954
OG0000798	YCL052C	snap_masked-scf7180000048632-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000048632-processed-gene-0.4&CDS=1-1344
OG0000799	YCL054W	augustus_masked-scf7180000048632-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000048632-processed-gene-0.1&CDS=1-2526
OG0000800	YCL064C	augustus_masked-scf7180000049531-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000049531-processed-gene-0.6&CDS=1-1095
OG0000801	YCL074W	augustus_masked-scf7180000049589-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049589-processed-gene-0.18&CDS=1-477
OG0000802	YCL075W	snap_masked-scf7180000049417-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000049417-processed-gene-0.3&CDS=1-297
OG0000803	YCR002C	augustus_masked-scf7180000049327-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049327-processed-gene-0.10&CDS=1-969
OG0000804	YCR003W	augustus_masked-scf7180000049335-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049335-processed-gene-0.3&CDS=1-438
OG0000805	YCR004C	augustus_masked-scf7180000049335-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049335-processed-gene-0.2&CDS=1-789
OG0000806	YCR008W	augustus_masked-scf7180000049552-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000049552-processed-gene-0.28&CDS=1-1890
OG0000807	YCR009C	augustus_masked-scf7180000049552-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000049552-processed-gene-0.15&CDS=1-795
OG0000808	YCR011C	snap_masked-scf7180000049525-processed-gene-0.50-mRNA-1_1&gene=snap_masked-scf7180000049525-processed-gene-0.50&CDS=1-4167
OG0000809	YCR014C	snap_masked-scf7180000049525-processed-gene-0.51-mRNA-1_1&gene=snap_masked-scf7180000049525-processed-gene-0.51&CDS=1-1476
OG0000810	YCR015C	augustus_masked-scf7180000049521-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049521-processed-gene-0.1&CDS=1-927
OG0000811	YCR016W	augustus_masked-scf7180000049521-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049521-processed-gene-0.9&CDS=1-843
OG0000812	YCR017C	snap_masked-scf7180000049525-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scf7180000049525-processed-gene-0.52&CDS=1-2850
OG0000813	YCR019W	augustus_masked-scf7180000049525-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-scf7180000049525-processed-gene-0.152&CDS=1-1032
OG0000814	YCR020C	snap_masked-scf7180000049525-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scf7180000049525-processed-gene-0.53&CDS=1-648
OG0000815	YCR020C-A	snap_masked-scf7180000049525-processed-gene-0.54-mRNA-1_1&gene=snap_masked-scf7180000049525-processed-gene-0.54&CDS=1-270
OG0000816	YCR020W-B	snap_masked-scf7180000049525-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000049525-processed-gene-0.17&CDS=1-189
OG0000817	YCR024C	augustus_masked-scf7180000049525-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-scf7180000049525-processed-gene-0.154&CDS=1-1443
OG0000818	YCR028C	snap_masked-scf7180000049574-processed-gene-0.113-mRNA-1_1&gene=snap_masked-scf7180000049574-processed-gene-0.113&CDS=1-1563
OG0000819	YCR031C	snap_masked-scf7180000049525-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scf7180000049525-processed-gene-0.42&CDS=1-405
OG0000820	YCR032W	snap_masked-scf7180000049586-processed-gene-1.97-mRNA-1_1&gene=snap_masked-scf7180000049586-processed-gene-1.97&CDS=1-5583
OG0000821	YCR033W	augustus_masked-scf7180000049586-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-1.24&CDS=1-4548
OG0000822	YCR034W	augustus_masked-scf7180000049586-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-1.23&CDS=1-1041
OG0000823	YCR035C	augustus_masked-scf7180000049586-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-1.10&CDS=1-1197
OG0000824	YCR036W	augustus_masked-scf7180000049586-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-1.22&CDS=1-1014
OG0000825	YCR042C	maker-scf7180000049570-augustus-gene-0.19-mRNA-1_1&gene=maker-scf7180000049570-augustus-gene-0.19&CDS=1-5277
OG0000826	YCR043C	augustus_masked-scf7180000049570-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049570-processed-gene-0.9&CDS=1-372
OG0000827	YCR044C	genemark-scf7180000049570-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000049570-processed-gene-0.32&CDS=1-1086
OG0000828	YCR045C	augustus_masked-scf7180000049585-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-4.22&CDS=1-1629
OG0000829	YCR046C	augustus_masked-scf7180000049585-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-4.23&CDS=1-522
OG0000830	YCR047C	augustus_masked-scf7180000049585-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-4.24&CDS=1-801
OG0000831	YCR053W	augustus_masked-scf7180000049585-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-4.12&CDS=1-1539
OG0000832	YCR057C	augustus_masked-scf7180000049585-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-4.25&CDS=1-4194
OG0000833	YCR059C	augustus_masked-scf7180000049585-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-4.26&CDS=1-801
OG0000834	YCR060W	augustus_masked-scf7180000049585-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-4.13&CDS=1-375
OG0000835	YCR061W	maker-scf7180000049431-augustus-gene-0.15-mRNA-1_1&gene=maker-scf7180000049431-augustus-gene-0.15&CDS=1-1611
OG0000836	YCR063W	genemark-scf7180000049562-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000049562-processed-gene-0.40&CDS=1-471
OG0000837	YCR065W	genemark-scf7180000049562-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000049562-processed-gene-0.41&CDS=1-1713
OG0000838	YCR066W	genemark-scf7180000049562-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000049562-processed-gene-0.42&CDS=1-1488
OG0000839	YCR068W	augustus_masked-scf7180000049562-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000049562-processed-gene-0.6&CDS=1-2250
OG0000840	YCR069W	augustus_masked-scf7180000049520-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000049520-processed-gene-0.21&CDS=1-993
OG0000841	YCR071C	augustus_masked-scf7180000049562-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000049562-processed-gene-0.21&CDS=1-417
OG0000842	YCR072C	augustus_masked-scf7180000049562-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000049562-processed-gene-0.24&CDS=1-1545
OG0000843	YCR075C	genemark-scf7180000049562-processed-gene-0.71-mRNA-1_1&gene=genemark-scf7180000049562-processed-gene-0.71&CDS=1-741
OG0000844	YCR075W-A	snap_masked-scf7180000049562-processed-gene-0.100-mRNA-1_1&gene=snap_masked-scf7180000049562-processed-gene-0.100&CDS=1-246
OG0000845	YCR076C	snap_masked-scf7180000049562-processed-gene-0.127-mRNA-1_1&gene=snap_masked-scf7180000049562-processed-gene-0.127&CDS=1-864
OG0000846	YCR077C	augustus_masked-scf7180000049562-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000049562-processed-gene-0.27&CDS=1-2622
OG0000847	YCR081W	genemark-scf7180000049562-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000049562-processed-gene-0.46&CDS=1-5793
OG0000848	YCR086W	augustus_masked-scf7180000049562-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049562-processed-gene-0.10&CDS=1-534
OG0000849	YCR087C-A	augustus_masked-scf7180000049562-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000049562-processed-gene-0.30&CDS=1-426
OG0000850	YCR088W	augustus_masked-scf7180000049585-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.30&CDS=1-1800
OG0000851	YCR090C	augustus_masked-scf7180000049585-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.16&CDS=1-546
OG0000852	YCR092C	augustus_masked-scf7180000049585-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.15&CDS=1-3279
OG0000853	YCR093W	maker-scf7180000049585-augustus-gene-3.2-mRNA-1_1&gene=maker-scf7180000049585-augustus-gene-3.2&CDS=1-6213
OG0000854	YCR094W	augustus_masked-scf7180000049585-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.26&CDS=1-1200
OG0000855	YCR095C	augustus_masked-scf7180000049585-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.14&CDS=1-1242
OG0000856	YCR097W	snap_masked-scf7180000049324-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049324-processed-gene-0.0&CDS=1-234
OG0000857	YCR098C	augustus_masked-scf7180000049466-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049466-processed-gene-0.9&CDS=1-1617
OG0000858	YDL001W	augustus_masked-scf7180000049582-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.11&CDS=1-1494
OG0000859	YDL002C	augustus_masked-scf7180000049582-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.14&CDS=1-1038
OG0000860	YDL004W	augustus_masked-scf7180000049590-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.96&CDS=1-489
OG0000861	YDL006W	augustus_masked-scf7180000049582-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.17&CDS=1-1062
OG0000862	YDL007W	augustus_masked-scf7180000049582-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.18&CDS=1-1314
OG0000863	YDL008W	augustus_masked-scf7180000049582-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.104&CDS=1-600
OG0000864	YDL010W	augustus_masked-scf7180000049582-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.103&CDS=1-810
OG0000865	YDL012C	snap_masked-scf7180000049582-processed-gene-1.20-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-1.20&CDS=1-357
OG0000866	YDL013W	augustus_masked-scf7180000049582-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.118&CDS=1-1953
OG0000867	YDL014W	genemark-scf7180000049582-processed-gene-2.129-mRNA-1_1&gene=genemark-scf7180000049582-processed-gene-2.129&CDS=1-927
OG0000868	YDL015C	augustus_masked-scf7180000049582-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.24&CDS=1-930
OG0000869	YDL017W	augustus_masked-scf7180000049582-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.58&CDS=1-1566
OG0000870	YDL018C	augustus_masked-scf7180000049582-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.25&CDS=1-678
OG0000871	YDL020C	snap_masked-scf7180000049582-processed-gene-2.188-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-2.188&CDS=1-1596
OG0000872	YDL028C	maker-scf7180000049582-snap-gene-2.165-mRNA-1_1&gene=maker-scf7180000049582-snap-gene-2.165&CDS=1-3702
OG0000873	YDL029W	snap_masked-scf7180000049514-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000049514-processed-gene-0.30&CDS=1-2229
OG0000874	YDL031W	augustus_masked-scf7180000049514-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-scf7180000049514-processed-gene-0.115&CDS=1-3096
OG0000875	YDL033C	augustus_masked-scf7180000049582-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.30&CDS=1-1278
OG0000876	YDL035C	genemark-scf7180000049582-processed-gene-2.99-mRNA-1_1&gene=genemark-scf7180000049582-processed-gene-2.99&CDS=1-2343
OG0000877	YDL037C	genemark-scf7180000049414-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000049414-processed-gene-0.4&CDS=1-1068
OG0000878	YDL040C	snap_masked-scf7180000049582-processed-gene-2.192-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-2.192&CDS=1-2481
OG0000879	YDL044C	snap_masked-scf7180000049582-processed-gene-2.198-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-2.198&CDS=1-1362
OG0000880	YDL045C	genemark-scf7180000049582-processed-gene-2.107-mRNA-1_1&gene=genemark-scf7180000049582-processed-gene-2.107&CDS=1-855
OG0000881	YDL045W-A	maker-scf7180000049582-augustus-gene-2.7-mRNA-1_1&gene=maker-scf7180000049582-augustus-gene-2.7&CDS=1-780
OG0000882	YDL047W	augustus_masked-scf7180000049582-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.65&CDS=1-933
OG0000883	YDL051W	augustus_masked-scf7180000049515-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-0.25&CDS=1-813
OG0000884	YDL052C	augustus_masked-scf7180000049515-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-0.13&CDS=1-873
OG0000885	YDL055C	augustus_masked-scf7180000049515-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-0.14&CDS=1-1083
OG0000886	YDL056W	augustus_masked-scf7180000049515-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-0.26&CDS=1-2385
OG0000887	YDL057W	augustus_masked-scf7180000049515-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-0.27&CDS=1-909
OG0000888	YDL058W	maker-scf7180000049515-snap-gene-0.60-mRNA-1_1&gene=maker-scf7180000049515-snap-gene-0.60&CDS=1-2694
OG0000889	YDL059C	augustus_masked-scf7180000049515-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-0.15&CDS=1-684
OG0000890	YDL060W	maker-scf7180000049557-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000049557-snap-gene-0.1&CDS=1-3600
OG0000891	YDL063C	augustus_masked-scf7180000049515-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.149&CDS=1-1797
OG0000892	YDL064W	augustus_masked-scf7180000049515-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.152&CDS=1-471
OG0000893	YDL065C	augustus_masked-scf7180000049515-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.150&CDS=1-951
OG0000894	YDL066W	augustus_masked-scf7180000049515-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.153&CDS=1-1275
OG0000895	YDL067C	snap_masked-scf7180000049515-processed-gene-1.3-mRNA-1_1&gene=snap_masked-scf7180000049515-processed-gene-1.3&CDS=1-312
OG0000896	YDL072C	snap_masked-scf7180000049515-processed-gene-1.7-mRNA-1_1&gene=snap_masked-scf7180000049515-processed-gene-1.7&CDS=1-522
OG0000897	YDL073W	augustus_masked-scf7180000049515-processed-gene-1.182-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.182&CDS=1-2541
OG0000898	YDL074C	augustus_masked-scf7180000049515-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.154&CDS=1-1992
OG0000899	YDL076C	augustus_masked-scf7180000049515-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.155&CDS=1-933
OG0000900	YDL077C	augustus_masked-scf7180000049515-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.156&CDS=1-2937
OG0000901	YDL078C	snap_masked-scf7180000049528-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000049528-processed-gene-0.1&CDS=1-1041
OG0000902	YDL080C	augustus_masked-scf7180000049528-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.46&CDS=1-1944
OG0000903	YDL081C	augustus_masked-scf7180000049528-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.47&CDS=1-324
OG0000904	YDL084W	augustus_masked-scf7180000049528-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.67&CDS=1-1326
OG0000905	YDL086W	snap_masked-scf7180000049528-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000049528-processed-gene-0.28&CDS=1-819
OG0000906	YDL087C	augustus_masked-scf7180000049528-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.51&CDS=1-723
OG0000907	YDL088C	augustus_masked-scf7180000049581-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-3.66&CDS=1-1731
OG0000908	YDL089W	snap_masked-scf7180000049528-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000049528-processed-gene-0.29&CDS=1-1131
OG0000909	YDL090C	augustus_masked-scf7180000049528-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.52&CDS=1-1254
OG0000910	YDL091C	augustus_masked-scf7180000049528-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.53&CDS=1-1338
OG0000911	YDL092W	augustus_masked-scf7180000049528-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.71&CDS=1-441
OG0000912	YDL097C	augustus_masked-scf7180000049528-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.54&CDS=1-1266
OG0000913	YDL098C	augustus_masked-scf7180000049528-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.55&CDS=1-537
OG0000914	YDL099W	augustus_masked-scf7180000049528-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.73&CDS=1-1086
OG0000915	YDL100C	augustus_masked-scf7180000049528-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.56&CDS=1-1059
OG0000916	YDL101C	augustus_masked-scf7180000049528-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.57&CDS=1-1557
OG0000917	YDL102W	augustus_masked-scf7180000049528-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.74&CDS=1-3327
OG0000918	YDL103C	augustus_masked-scf7180000049528-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.58&CDS=1-1428
OG0000919	YDL104C	augustus_masked-scf7180000049528-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.59&CDS=1-1185
OG0000920	YDL105W	augustus_masked-scf7180000049528-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.76&CDS=1-1188
OG0000921	YDL106C	augustus_masked-scf7180000049528-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.60&CDS=1-1731
OG0000922	YDL107W	augustus_masked-scf7180000049528-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.77&CDS=1-1080
OG0000923	YDL108W	augustus_masked-scf7180000049528-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000049528-processed-gene-0.78&CDS=1-924
OG0000924	YDL110C	genemark-scf7180000049528-processed-gene-0.101-mRNA-1_1&gene=genemark-scf7180000049528-processed-gene-0.101&CDS=1-423
