	Candida_carpophila	Saccharomyces_cerevisiae
OG0000401	-processed-gene-3.136-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-3.136&CDS=1-2448	YOR256C, YPL176C
OG0000402	-processed-gene-3.174-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-3.174&CDS=1-3309	YML100W, YMR261C
OG0000403	-processed-gene-4.58-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-4.58&CDS=1-3177	YML109W, YMR273C
OG0000404	-processed-gene-4.60-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-4.60&CDS=1-654	YML106W, YMR271C
OG0000405	-processed-gene-4.86-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-4.86&CDS=1-2055	YER066W, YFL009W
OG0000406	-processed-gene-4.95-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-4.95&CDS=1-3075	YLR031W, YMR124W
OG0000407	-processed-gene-5.47-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-5.47&CDS=1-819	YJL177W, YKL180W
OG0000408	-augustus-gene-5.163-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-augustus-gene-5.163&CDS=1-2283	YJL139C, YKR061W
OG0000409	-processed-gene-5.103-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-5.103&CDS=1-870	YDR253C, YPL038W
OG0000410	-processed-gene-13.165-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-13.165&CDS=1-1338, -processed-gene-6.144-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-6.144&CDS=1-1245	YHR135C
OG0000411	-processed-gene-6.145-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-6.145&CDS=1-603	YER067W, YIL057C
OG0000412	-processed-gene-14.99-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-14.99&CDS=1-2958, -processed-gene-6.147-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-6.147&CDS=1-2865	YNL192W
OG0000413	-processed-gene-7.162-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-7.162&CDS=1-465	YEL066W, YPR193C
OG0000414	-processed-gene-8.138-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-8.138&CDS=1-1545	YHR115C, YNL116W
OG0000415	-processed-gene-8.149-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-8.149&CDS=1-264	YER019C-A, YER087C-B
OG0000416	-processed-gene-8.72-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-8.72&CDS=1-2967	YBL056W, YER089C
OG0000417	-processed-gene-8.156-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-8.156&CDS=1-816	YDL049C, YJL174W
OG0000418	-processed-gene-8.40-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-8.40&CDS=1-252	YPR169W-A, YPR170W-B
OG0000419	-processed-gene-9.120-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-9.120&CDS=1-3261	YBL101C, YPR030W
OG0000420	-processed-gene-16.124-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-16.124&CDS=1-1374, -processed-gene-9.122-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-9.122&CDS=1-804	YKL190W
OG0000421	-processed-gene-9.125-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-9.125&CDS=1-1485	YLR260W, YOR171C
OG0000422	-processed-gene-10.59-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-10.59&CDS=1-549	YBR005W, YDR003W
OG0000423	-processed-gene-10.91-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-10.91&CDS=1-867	YJL158C, YJL160C
OG0000424	-processed-gene-10.129-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-10.129&CDS=1-1152	YPR013C, YPR015C
OG0000425	-augustus-gene-10.105-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-augustus-gene-10.105&CDS=1-1182	YGR131W, YPR149W
OG0000426	-processed-gene-11.13-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-11.13&CDS=1-1812	YDR252W, YPL037C
OG0000427	-processed-gene-11.92-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-11.92&CDS=1-2850	YDR251W, YPL032C
OG0000428	-processed-gene-12.40-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-12.40&CDS=1-4056	YLL016W, YLR310C
OG0000429	-processed-gene-12.146-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-12.146&CDS=1-5352	YEL022W, YJR031C
OG0000430	-processed-gene-13.112-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-13.112&CDS=1-1839	YDL229W, YNL209W
OG0000431	-processed-gene-13.154-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-13.154&CDS=1-984	YIL135C, YNL074C
OG0000432	-processed-gene-14.11-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-14.11&CDS=1-564	YNL096C, YOR096W
OG0000433	-processed-gene-16.88-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-16.88&CDS=1-849	YMR183C, YPL232W
OG0000434	-processed-gene-16.141-mRNA-1_1&gene=augustus_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-16.141&CDS=1-1116	YEL006W, YIL006W
OG0000435	-processed-gene-16.25-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-16.25&CDS=1-1161	YGR136W, YPR154W
OG0000436	-augustus-gene-18.3-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-augustus-gene-18.3&CDS=1-1566, -processed-gene-18.102-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-18.102&CDS=1-693	YJL218W
OG0000437	-processed-gene-18.36-mRNA-1_1&gene=snap_masked-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-18.36&CDS=1-4332	YER132C, YGL197W
OG0000438	-snap-gene-18.208-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-snap-gene-18.208&CDS=1-1104	YBR210W, YGL054C
OG0000439	-processed-gene-0.261-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.261&CDS=1-1080	YPL138C
OG0000440	-processed-gene-0.211-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.211&CDS=1-516	YGL231C
OG0000441	-processed-gene-0.265-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.265&CDS=1-858	YGL232W
OG0000442	-processed-gene-0.266-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.266&CDS=1-837	YMR314W
OG0000443	-processed-gene-0.267-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.267&CDS=1-2577	YGL233W
OG0000444	-processed-gene-0.215-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.215&CDS=1-813	YFR043C
OG0000445	-processed-gene-0.268-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.268&CDS=1-618	YIR032C
OG0000446	-processed-gene-0.216-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.216&CDS=1-2568	YBR179C
OG0000447	-processed-gene-0.217-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.217&CDS=1-351	YDL092W
OG0000448	-processed-gene-0.270-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.270&CDS=1-1116	YDL091C
OG0000449	-processed-gene-0.66-mRNA-1_1&gene=snap_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.66&CDS=1-1347	YDL090C
OG0000450	-processed-gene-0.218-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.218&CDS=1-1224	YDL089W
OG0000451	-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.125&CDS=1-852	YDL111C
OG0000452	-processed-gene-0.275-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.275&CDS=1-4239	YDL112W
OG0000453	-processed-gene-0.276-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.276&CDS=1-1671	YDL113C
OG0000454	-processed-gene-0.221-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.221&CDS=1-2304	YDL116W
OG0000455	-processed-gene-0.277-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.277&CDS=1-1245	YDL097C
OG0000456	-processed-gene-0.222-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.222&CDS=1-1386	YDR316W
OG0000457	-processed-gene-0.73-mRNA-1_1&gene=snap_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.73&CDS=1-288	YDL110C
OG0000458	-processed-gene-0.223-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.223&CDS=1-1263	YGL143C
OG0000459	-processed-gene-0.74-mRNA-1_1&gene=snap_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.74&CDS=1-990	YHR069C
OG0000460	-processed-gene-0.20-mRNA-1_1&gene=snap_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.20&CDS=1-1353	YHR070W
OG0000461	-processed-gene-0.233-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.233&CDS=1-2472	YHR073W
OG0000462	-processed-gene-0.290-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.290&CDS=1-1458	YGR260W
OG0000463	-processed-gene-0.236-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.236&CDS=1-2040	YHR042W
OG0000464	-processed-gene-0.291-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.291&CDS=1-1125	YDR315C
OG0000465	-processed-gene-0.87-mRNA-1_1&gene=snap_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.87&CDS=1-2424	YNL085W
OG0000466	-processed-gene-0.294-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.294&CDS=1-3672	YDR335W
OG0000467	-processed-gene-0.295-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.295&CDS=1-876	YHR088W
OG0000468	-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.141&CDS=1-780	YHR067W
OG0000469	-processed-gene-0.91-mRNA-1_1&gene=snap_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.91&CDS=1-462	YJR104C
OG0000470	-snap-gene-0.313-mRNA-1_1&gene=maker-gi|1002316121|dbj|BCGK01000009.1|-snap-gene-0.313&CDS=1-3486	YGL156W
OG0000471	-processed-gene-0.299-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.299&CDS=1-708	YDR302W
OG0000472	-processed-gene-0.300-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.300&CDS=1-3960	YDR301W
OG0000473	-processed-gene-0.242-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.242&CDS=1-636	YBL040C
OG0000474	-processed-gene-0.99-mRNA-1_1&gene=snap_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.99&CDS=1-726	YBL041W
OG0000475	-processed-gene-0.100-mRNA-1_1&gene=snap_masked-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.100&CDS=1-285	YGR181W
OG0000476	-processed-gene-0.244-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.244&CDS=1-570	YLR411W
OG0000477	-processed-gene-0.245-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.245&CDS=1-1617	YOR059C
OG0000478	-snap-gene-0.6-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-0.6&CDS=1-1701	YJR096W
OG0000479	-processed-gene-0.104-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.104&CDS=1-441	YDL235C
OG0000480	-augustus-gene-0.4-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-0.4&CDS=1-1272	YDL236W
OG0000481	-processed-gene-0.42-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.42&CDS=1-3003	YAL035W
OG0000482	-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.57&CDS=1-6183	YMR308C
OG0000483	-processed-gene-0.43-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.43&CDS=1-1227	YLR318W
OG0000484	-processed-gene-0.93-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.93&CDS=1-837	YLR316C
OG0000485	-processed-gene-0.94-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.94&CDS=1-1089	YLR321C
OG0000486	-augustus-gene-0.5-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-0.5&CDS=1-1218	YAL003W
OG0000487	-processed-gene-0.28-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.28&CDS=1-3441	YAL001C
OG0000488	-processed-gene-0.29-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.29&CDS=1-468	YGR280C
OG0000489	-processed-gene-0.112-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.112&CDS=1-1038	YGL001C
OG0000490	-processed-gene-0.47-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.47&CDS=1-1152	YAR002W
OG0000491	-processed-gene-0.114-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.114&CDS=1-1647	YGR002C
OG0000492	-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.3&CDS=1-3435	YOR239W
OG0000493	-processed-gene-1.103-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.103&CDS=1-1113	YBR018C
OG0000494	-processed-gene-1.54-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.54&CDS=1-534	YDR246W
OG0000495	-processed-gene-1.55-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.55&CDS=1-2073	YBR019C
OG0000496	-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.28&CDS=1-1560	YIL150C
OG0000497	-processed-gene-1.60-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.60&CDS=1-2451	YER157W
OG0000498	-processed-gene-1.127-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.127&CDS=1-207	YDR079C-A
OG0000499	-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.12&CDS=1-2886	YDR080W
OG0000500	-processed-gene-1.78-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.78&CDS=1-708	YDR084C
OG0000501	-processed-gene-1.62-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.62&CDS=1-306	YDR079W
OG0000502	-processed-gene-1.79-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.79&CDS=1-2091	YDR081C
OG0000503	-processed-gene-1.80-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.80&CDS=1-897	YKL094W
OG0000504	-processed-gene-1.63-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.63&CDS=1-1086	YDL006W
OG0000505	-processed-gene-1.83-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.83&CDS=1-648	YHR181W
OG0000506	-processed-gene-1.84-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.84&CDS=1-5202	YKR031C
OG0000507	-processed-gene-1.65-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.65&CDS=1-1080	YDR336W
OG0000508	-processed-gene-1.85-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.85&CDS=1-594	YHR089C
OG0000509	-processed-gene-1.66-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.66&CDS=1-3840	YBL047C
OG0000510	-augustus-gene-1.99-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-1.99&CDS=1-2310	YLL057C
OG0000511	-processed-gene-1.89-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.89&CDS=1-420	YPR100W
OG0000512	-processed-gene-1.90-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.90&CDS=1-1614	YGR055W
OG0000513	-processed-gene-1.67-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.67&CDS=1-1674	YOR386W
OG0000514	-processed-gene-1.91-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.91&CDS=1-3597	YJL080C
OG0000515	-processed-gene-1.92-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.92&CDS=1-2322	YFR016C
OG0000516	-processed-gene-1.68-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.68&CDS=1-720	YDR054C
OG0000517	-augustus-gene-1.96-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-1.96&CDS=1-3642	YOL023W
OG0000518	-processed-gene-1.71-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.71&CDS=1-1248	YOL022C
OG0000519	-processed-gene-1.121-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.121&CDS=1-4074	YJL108C
OG0000520	-processed-gene-1.94-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.94&CDS=1-4323	YGR116W
OG0000521	-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.47&CDS=1-549	YGR129W
OG0000522	-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-1.25&CDS=1-984	YOR075W
OG0000523	-snap-gene-2.171-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-2.171&CDS=1-1884	YKR084C
OG0000524	-processed-gene-2.85-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.85&CDS=1-1845	YPL222W
OG0000525	-snap-gene-2.169-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-2.169&CDS=1-3345	YOR378W
OG0000526	-processed-gene-2.59-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.59&CDS=1-900	YLR351C
OG0000527	-processed-gene-2.86-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.86&CDS=1-981	YGR031W
OG0000528	-processed-gene-2.87-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.87&CDS=1-843	YER118C
OG0000529	-snap-gene-2.172-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-2.172&CDS=1-762	YER120W
OG0000530	-processed-gene-2.90-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.90&CDS=1-1281	YBL091C
OG0000531	-processed-gene-2.63-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.63&CDS=1-1761	YNL048W
OG0000532	-processed-gene-2.64-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.64&CDS=1-2775	YGL137W
OG0000533	-processed-gene-2.93-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.93&CDS=1-1953	YGL099W
OG0000534	-processed-gene-2.94-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.94&CDS=1-570	YPL218W
OG0000535	-processed-gene-2.95-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.95&CDS=1-1416	YGL065C
OG0000536	-processed-gene-2.96-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.96&CDS=1-2139	YPL207W
OG0000537	-processed-gene-2.68-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.68&CDS=1-1269	YGL066W
OG0000538	-processed-gene-2.97-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.97&CDS=1-987	YPL209C
OG0000539	-processed-gene-2.70-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.70&CDS=1-1263	YPL204W
OG0000540	-processed-gene-2.98-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.98&CDS=1-1623	YPL212C
OG0000541	-processed-gene-2.71-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.71&CDS=1-543	YPL211W
OG0000542	-processed-gene-2.99-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.99&CDS=1-1482	YGL129C
OG0000543	-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.19&CDS=1-4902	YGL064C
OG0000544	-processed-gene-2.100-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.100&CDS=1-3402	YGL133W
OG0000545	-processed-gene-2.102-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.102&CDS=1-1023	YPR127W
OG0000546	-processed-gene-2.84-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.84&CDS=1-990	YPL215W
OG0000547	-processed-gene-2.105-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-2.105&CDS=1-1179	YDR019C
OG0000548	-processed-gene-3.101-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.101&CDS=1-8130	YBL088C
OG0000549	-snap-gene-3.159-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-3.159&CDS=1-1020	YOL003C
OG0000550	-processed-gene-3.47-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.47&CDS=1-744	YOR362C
OG0000551	-processed-gene-3.51-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.51&CDS=1-2148	YOR361C
OG0000552	-processed-gene-3.77-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.77&CDS=1-324	YAL046C
OG0000553	-processed-gene-3.52-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.52&CDS=1-2016	YAL048C
OG0000554	-processed-gene-3.53-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.53&CDS=1-591	YOR294W
OG0000555	-snap-gene-3.158-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-3.158&CDS=1-657	YMR233W
OG0000556	-processed-gene-3.55-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.55&CDS=1-3975	YOR296W
OG0000557	-snap-gene-3.160-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-snap-gene-3.160&CDS=1-4110	YOL004W
OG0000558	-processed-gene-3.56-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.56&CDS=1-363	YOL005C
OG0000559	-processed-gene-3.79-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.79&CDS=1-1938	YMR001C
OG0000560	-processed-gene-3.57-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.57&CDS=1-2262	YOL006C
OG0000561	-processed-gene-3.80-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.80&CDS=1-405	YMR002W
OG0000562	-processed-gene-3.62-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.62&CDS=1-1497	YKL035W
OG0000563	-processed-gene-3.63-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.63&CDS=1-507	YJR025C
OG0000564	-processed-gene-3.64-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.64&CDS=1-909	YOR223W
OG0000565	-processed-gene-3.84-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.84&CDS=1-870	YPR079W
OG0000566	-processed-gene-3.65-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-3.65&CDS=1-2358	YPR089W
