	Metschnikowia_drakensbergensis	Saccharomyces_cerevisiae
OG0000465	snap_masked-draA_s79-processed-gene-5.12-mRNA-1_1&gene=snap_masked-draA_s79-processed-gene-5.12&CDS=1-2535	YBR172C, YPL105C
OG0000466	augustus_masked-draA_s86-processed-gene-5.240-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.240&CDS=1-1008, maker-draA_s79-augustus-gene-5.142-mRNA-1_1&gene=maker-draA_s79-augustus-gene-5.142&CDS=1-2019	YDL144C
OG0000467	augustus_masked-draA_s79-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-6.31&CDS=1-612	YLR029C, YMR121C
OG0000468	augustus_masked-draA_s79-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-6.15&CDS=1-774	YDR066C, YER139C
OG0000469	snap_masked-draA_s79-processed-gene-6.103-mRNA-1_1&gene=snap_masked-draA_s79-processed-gene-6.103&CDS=1-3150	YML100W, YMR261C
OG0000470	augustus_masked-draA_s79-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-6.22&CDS=1-363	YFL034C-A, YLR061W
OG0000471	snap_masked-draA_s79-processed-gene-6.116-mRNA-1_1&gene=snap_masked-draA_s79-processed-gene-6.116&CDS=1-1020	YAL034C, YOR338W
OG0000472	augustus_masked-draA_s79-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-7.14&CDS=1-1782	YHR117W, YNL121C
OG0000473	snap_masked-draA_s79-processed-gene-7.145-mRNA-1_1&gene=snap_masked-draA_s79-processed-gene-7.145&CDS=1-1503	YDR409W, YOR156C
OG0000474	augustus_masked-draA_s79-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-7.27&CDS=1-2622	YMR237W, YOR299W
OG0000475	augustus_masked-draA_s79-processed-gene-8.152-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-8.152&CDS=1-588	YDR453C, YML028W
OG0000476	augustus_masked-draA_s79-processed-gene-8.137-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-8.137&CDS=1-678	YDR185C, YLR168C
OG0000477	augustus_masked-draA_s79-processed-gene-8.154-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-8.154&CDS=1-1347, augustus_masked-draA_s86-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-2.91&CDS=1-1398	YDR182W
OG0000478	augustus_masked-draA_s79-processed-gene-8.141-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-8.141&CDS=1-474	YDR178W, YLR164W
OG0000479	maker-draA_s79-augustus-gene-9.236-mRNA-1_1&gene=maker-draA_s79-augustus-gene-9.236&CDS=1-1977	YHR132W-A, YNL157W
OG0000480	augustus_masked-draA_s79-processed-gene-9.205-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-9.205&CDS=1-858	YHR133C, YNL156C
OG0000481	augustus_masked-draA_s79-processed-gene-9.183-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-9.183&CDS=1-2736, augustus_masked-draA_s86-processed-gene-5.221-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.221&CDS=1-2547	YHR028C
OG0000482	maker-draA_s79-augustus-gene-9.239-mRNA-1_1&gene=maker-draA_s79-augustus-gene-9.239&CDS=1-2013	YGR248W, YHR163W
OG0000483	augustus_masked-draA_s79-processed-gene-9.228-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-9.228&CDS=1-846	YIL114C, YNL055C
OG0000484	augustus_masked-draA_s79-processed-gene-9.231-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-9.231&CDS=1-390	YBL003C, YDR225W
OG0000485	augustus_masked-draA_s79-processed-gene-9.199-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-9.199&CDS=1-390	YBL002W, YDR224C
OG0000486	augustus_masked-draA_s82-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-draA_s82-processed-gene-0.85&CDS=1-1659	YKL127W, YMR105C
OG0000487	augustus_masked-draA_s90-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-draA_s90-processed-gene-0.2&CDS=1-924, maker-draA_s82-snap-gene-0.77-mRNA-1_1&gene=maker-draA_s82-snap-gene-0.77&CDS=1-2109	YGR086C
OG0000488	snap_masked-draA_s86-processed-gene-0.14-mRNA-1_1&gene=snap_masked-draA_s86-processed-gene-0.14&CDS=1-1947	YDR475C, YOR019W
OG0000489	augustus_masked-draA_s86-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-0.67&CDS=1-459	YGL031C, YGR148C
OG0000490	augustus_masked-draA_s86-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-1.137&CDS=1-975	YDL175C, YIL079C
OG0000491	augustus_masked-draA_s86-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-2.56&CDS=1-1125	YMR253C, YPL264C
OG0000492	augustus_masked-draA_s86-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-2.77&CDS=1-2817	YKR089C, YOR081C
OG0000493	augustus_masked-draA_s86-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-2.62&CDS=1-3297	YIR033W, YKL020C
OG0000494	genemark-draA_s86-processed-gene-2.116-mRNA-1_1&gene=genemark-draA_s86-processed-gene-2.116&CDS=1-1455	YMR182C, YPL230W
OG0000495	snap_masked-draA_s86-processed-gene-3.13-mRNA-1_1&gene=snap_masked-draA_s86-processed-gene-3.13&CDS=1-2151	YER066W, YFL009W
OG0000496	augustus_masked-draA_s86-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-3.76&CDS=1-654	YML106W, YMR271C
OG0000497	snap_masked-draA_s86-processed-gene-3.30-mRNA-1_1&gene=snap_masked-draA_s86-processed-gene-3.30&CDS=1-3066	YML109W, YMR273C
OG0000498	maker-draA_s86-augustus-gene-3.89-mRNA-1_1&gene=maker-draA_s86-augustus-gene-3.89&CDS=1-1254	YDR348C, YHR097C
OG0000499	maker-draA_s86-augustus-gene-5.249-mRNA-1_1&gene=maker-draA_s86-augustus-gene-5.249&CDS=1-5112	YOR204W, YPL119C
OG0000500	augustus_masked-draA_s88-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-draA_s88-processed-gene-0.1&CDS=1-1716	YDL224C, YNL197C
OG0000501	augustus_masked-draA_s9-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-0.105&CDS=1-1470	YDL161W, YLR206W
OG0000502	augustus_masked-draA_s9-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-0.95&CDS=1-1617	YHL017W, YKL039W
OG0000503	augustus_masked-draA_s9-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-1.89&CDS=1-996	YCR073W-A, YNR034W
OG0000504	augustus_masked-draA_s9-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-1.90&CDS=1-576, augustus_masked-draA_s98-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.114&CDS=1-1533	YDL003W
OG0000505	augustus_masked-draA_s9-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-1.107&CDS=1-330	YEL039C, YJR048W
OG0000506	augustus_masked-draA_s9-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-2.12&CDS=1-1011	YBR161W, YPL057C
OG0000507	augustus_masked-draA_s9-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-draA_s9-processed-gene-3.75&CDS=1-2709	YJL084C, YKR021W
OG0000508	augustus_masked-draA_s91-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-0.41&CDS=1-2001	YBR216C, YGL060W
OG0000509	augustus_masked-draA_s91-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-1.118&CDS=1-465	YBR048W, YDR025W
OG0000510	augustus_masked-draA_s91-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-1.140&CDS=1-639	YBR014C, YDL010W
OG0000511	augustus_masked-draA_s91-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-1.141&CDS=1-1653	YIR031C, YNL117W
OG0000512	snap_masked-draA_s91-processed-gene-1.64-mRNA-1_1&gene=snap_masked-draA_s91-processed-gene-1.64&CDS=1-1602	YDL042C, YOL068C
OG0000513	snap_masked-draA_s91-processed-gene-2.45-mRNA-1_1&gene=snap_masked-draA_s91-processed-gene-2.45&CDS=1-3183	YBL106C, YPR032W
OG0000514	augustus_masked-draA_s91-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-2.112&CDS=1-1059	YDL048C, YLR375W
OG0000515	augustus_masked-draA_s91-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-2.114&CDS=1-3933	YGR070W, YLR371W
OG0000516	maker-draA_s91-augustus-gene-3.175-mRNA-1_1&gene=maker-draA_s91-augustus-gene-3.175&CDS=1-1380	YNL108C, YOR110W
OG0000517	maker-draA_s98-augustus-gene-0.104-mRNA-1_1&gene=maker-draA_s98-augustus-gene-0.104&CDS=1-666	YCL036W, YDR514C
OG0000518	augustus_masked-draA_s98-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-0.143&CDS=1-591	YER067W, YIL057C
OG0000519	augustus_masked-draA_s98-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.70&CDS=1-4326	YBL079W, YER105C
OG0000520	augustus_masked-draA_s98-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.104&CDS=1-534	YOR226C, YPL135W
OG0000521	augustus_masked-draA_s98-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.81&CDS=1-2751	YDR251W, YPL032C
OG0000522	augustus_masked-draA_s98-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.117&CDS=1-1188	YOR390W, YPL279C
OG0000523	snap_masked-draA_s98-processed-gene-1.168-mRNA-1_1&gene=snap_masked-draA_s98-processed-gene-1.168&CDS=1-756	YER045C, YIL036W
OG0000524	augustus_masked-draA_s98-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.97&CDS=1-3387	YGR238C, YHR158C
OG0000525	augustus_masked-draA_s98-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.99&CDS=1-600	YIL133C, YNL069C
OG0000526	augustus_masked-draA_C10371-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-draA_C10371-processed-gene-0.16&CDS=1-1242	YMR208W
OG0000527	augustus_masked-draA_C10371-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-draA_C10371-processed-gene-0.20&CDS=1-984	YOR271C
OG0000528	augustus_masked-draA_C10371-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-draA_C10371-processed-gene-0.21&CDS=1-1587	YMR217W
OG0000529	augustus_masked-draA_C10371-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-draA_C10371-processed-gene-0.22&CDS=1-1428	YMR209C
OG0000530	augustus_masked-draA_C10371-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-draA_C10371-processed-gene-0.18&CDS=1-855	YKL019W
OG0000531	augustus_masked-draA_s100-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.7&CDS=1-3450	YDR325W
OG0000532	augustus_masked-draA_s100-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.8&CDS=1-1125	YML008C
OG0000533	maker-draA_s100-augustus-gene-0.4-mRNA-1_1&gene=maker-draA_s100-augustus-gene-0.4&CDS=1-3144	YDR324C
OG0000534	augustus_masked-draA_s100-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.12&CDS=1-447	YFL017C
OG0000535	augustus_masked-draA_s100-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.28&CDS=1-222	YFL017W-A
OG0000536	snap_masked-draA_s100-processed-gene-0.83-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-0.83&CDS=1-2169	YFL013C
OG0000537	snap_masked-draA_s100-processed-gene-0.61-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-0.61&CDS=1-1698	YJL163C
OG0000538	snap_masked-draA_s100-processed-gene-0.63-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-0.63&CDS=1-1845	YGR216C
OG0000539	augustus_masked-draA_s100-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.30&CDS=1-1155	YLR328W
OG0000540	augustus_masked-draA_s100-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.16&CDS=1-3324	YMR099C
OG0000541	augustus_masked-draA_s100-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.31&CDS=1-360	YKL003C
OG0000542	augustus_masked-draA_s100-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.17&CDS=1-2970	YOL090W
OG0000543	augustus_masked-draA_s100-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.34&CDS=1-738	YPR167C
OG0000544	snap_masked-draA_s100-processed-gene-0.70-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-0.70&CDS=1-669	YIL007C
OG0000545	augustus_masked-draA_s100-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.35&CDS=1-300	YIL008W
OG0000546	augustus_masked-draA_s100-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.20&CDS=1-366	YEL003W
OG0000547	augustus_masked-draA_s100-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.36&CDS=1-537	YMR009W
OG0000548	augustus_masked-draA_s100-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.21&CDS=1-1419	YNL317W
OG0000549	augustus_masked-draA_s100-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.37&CDS=1-882	YOL136C
OG0000550	augustus_masked-draA_s100-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.38&CDS=1-2070	YOR017W
OG0000551	augustus_masked-draA_s100-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.40&CDS=1-1389	YPL063W
OG0000552	augustus_masked-draA_s100-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.41&CDS=1-798	YER026C
OG0000553	snap_masked-draA_s100-processed-gene-0.99-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-0.99&CDS=1-1119	YKL080W
OG0000554	augustus_masked-draA_s100-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.24&CDS=1-1788	YPR028W
OG0000555	augustus_masked-draA_s100-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.44&CDS=1-2445	YPR029C
OG0000556	augustus_masked-draA_s100-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.25&CDS=1-807	YPL064C
OG0000557	augustus_masked-draA_s100-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-0.46&CDS=1-345	YPR166C
OG0000558	snap_masked-draA_s100-processed-gene-1.1-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-1.1&CDS=1-279	YOL108C
OG0000559	augustus_masked-draA_s100-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.52&CDS=1-4515	YOR093C
OG0000560	augustus_masked-draA_s100-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.54&CDS=1-1341	YML126C
OG0000561	maker-draA_s100-augustus-gene-1.49-mRNA-1_1&gene=maker-draA_s100-augustus-gene-1.49&CDS=1-1344	YML085C
OG0000562	augustus_masked-draA_s100-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.56&CDS=1-921	YML125C
OG0000563	augustus_masked-draA_s100-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.76&CDS=1-3909	YMR012W
OG0000564	augustus_masked-draA_s100-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.59&CDS=1-1914	YML088W
OG0000565	augustus_masked-draA_s100-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.61&CDS=1-2808	YNL287W
OG0000566	augustus_masked-draA_s100-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.78&CDS=1-849	YPR079W
OG0000567	augustus_masked-draA_s100-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.62&CDS=1-2448	YPR089W
OG0000568	augustus_masked-draA_s100-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.79&CDS=1-306	YBR268W
OG0000569	augustus_masked-draA_s100-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.80&CDS=1-249	YMR194C-B
OG0000570	augustus_masked-draA_s100-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.81&CDS=1-867	YLR283W
OG0000571	augustus_masked-draA_s100-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.64&CDS=1-2241	YOR112W
OG0000572	augustus_masked-draA_s100-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.82&CDS=1-2502	YIL130W
OG0000573	augustus_masked-draA_s100-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.65&CDS=1-1587	YNL240C
OG0000574	augustus_masked-draA_s100-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.66&CDS=1-1134	YJL131C
OG0000575	snap_masked-draA_s100-processed-gene-1.32-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-1.32&CDS=1-1623	YKR051W
OG0000576	augustus_masked-draA_s100-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.84&CDS=1-1887	YOL060C
OG0000577	augustus_masked-draA_s100-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.87&CDS=1-786	YIL093C
OG0000578	augustus_masked-draA_s100-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.69&CDS=1-516	YDL120W
OG0000579	maker-draA_s100-snap-gene-1.98-mRNA-1_1&gene=maker-draA_s100-snap-gene-1.98&CDS=1-1707	YLR337C
OG0000580	augustus_masked-draA_s100-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.89&CDS=1-1032	YBR246W
OG0000581	augustus_masked-draA_s100-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.90&CDS=1-3183	YDL215C
OG0000582	augustus_masked-draA_s100-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.91&CDS=1-1941	YGL110C
OG0000583	augustus_masked-draA_s100-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-1.92&CDS=1-3660	YMR218C
OG0000584	genemark-draA_s100-processed-gene-1.122-mRNA-1_1&gene=genemark-draA_s100-processed-gene-1.122&CDS=1-1110	YKL053C-A
OG0000585	snap_masked-draA_s100-processed-gene-1.46-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-1.46&CDS=1-1470	YDR376W
OG0000586	augustus_masked-draA_s100-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.9&CDS=1-2838	YLR386W
OG0000587	augustus_masked-draA_s100-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.11&CDS=1-3573	YDL060W
OG0000588	maker-draA_s100-augustus-gene-2.0-mRNA-1_1&gene=maker-draA_s100-augustus-gene-2.0&CDS=1-267	YLR390W
OG0000589	augustus_masked-draA_s100-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.12&CDS=1-1917	YDL063C
OG0000590	augustus_masked-draA_s100-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.25&CDS=1-2331	YJL156C
OG0000591	augustus_masked-draA_s100-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.26&CDS=1-474	YDL064W
OG0000592	augustus_masked-draA_s100-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.14&CDS=1-867	YDL065C
OG0000593	augustus_masked-draA_s100-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.27&CDS=1-2295	YLR397C
OG0000594	augustus_masked-draA_s100-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.28&CDS=1-3636	YLR398C
OG0000595	augustus_masked-draA_s100-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.29&CDS=1-1692	YOR090C
OG0000596	augustus_masked-draA_s100-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.30&CDS=1-354	YHL015W
OG0000597	augustus_masked-draA_s100-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.31&CDS=1-870	YLR393W
OG0000598	augustus_masked-draA_s100-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.16&CDS=1-2325	YNL118C
OG0000599	augustus_masked-draA_s100-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.17&CDS=1-1242	YNL207W
OG0000600	augustus_masked-draA_s100-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.34&CDS=1-1299	YDL230W
OG0000601	augustus_masked-draA_s100-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.37&CDS=1-1131	YNL092W
OG0000602	augustus_masked-draA_s100-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.39&CDS=1-2601	YNL082W
OG0000603	augustus_masked-draA_s100-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.40&CDS=1-1659	YNL083W
OG0000604	augustus_masked-draA_s100-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.41&CDS=1-3045	YGL140C
OG0000605	augustus_masked-draA_s100-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.42&CDS=1-1692	YGL119W
OG0000606	augustus_masked-draA_s100-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.43&CDS=1-759	YOR095C
OG0000607	augustus_masked-draA_s100-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.44&CDS=1-1809	YHR114W
OG0000608	augustus_masked-draA_s100-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.21&CDS=1-1956	YNL094W
OG0000609	augustus_masked-draA_s100-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.45&CDS=1-1059	YOR091W
OG0000610	augustus_masked-draA_s100-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.46&CDS=1-8232	YIL129C
OG0000611	augustus_masked-draA_s100-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.22&CDS=1-3177	YIL128W
OG0000612	augustus_masked-draA_s100-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.47&CDS=1-576	YIL127C
OG0000613	augustus_masked-draA_s100-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.24&CDS=1-732	YGL005C
OG0000614	augustus_masked-draA_s100-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-2.48&CDS=1-3363	YGL006W
OG0000615	augustus_masked-draA_s100-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.0&CDS=1-1176	YAL012W
OG0000616	augustus_masked-draA_s100-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.1&CDS=1-855	YOR065W
OG0000617	augustus_masked-draA_s100-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.6&CDS=1-372	YKL086W
OG0000618	augustus_masked-draA_s100-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.7&CDS=1-2103	YLR117C
OG0000619	augustus_masked-draA_s100-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.8&CDS=1-657	YDR140W
OG0000620	snap_masked-draA_s100-processed-gene-3.69-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-3.69&CDS=1-1575	YPR033C
OG0000621	augustus_masked-draA_s100-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.26&CDS=1-1350	YJR078W
OG0000622	augustus_masked-draA_s100-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.11&CDS=1-1563	YDR388W
OG0000623	augustus_masked-draA_s100-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.28&CDS=1-912	YNR064C
OG0000624	augustus_masked-draA_s100-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.31&CDS=1-1443	YLR359W
OG0000625	augustus_masked-draA_s100-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.32&CDS=1-339	YBR233W-A
OG0000626	augustus_masked-draA_s100-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.16&CDS=1-927	YGR026W
OG0000627	augustus_masked-draA_s100-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.33&CDS=1-3765	YBR235W
OG0000628	augustus_masked-draA_s100-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.35&CDS=1-1998	YOR322C
OG0000629	snap_masked-draA_s100-processed-gene-3.63-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-3.63&CDS=1-1209	YLR085C
OG0000630	augustus_masked-draA_s100-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.36&CDS=1-915	YMR281W
OG0000631	genemark-draA_s100-processed-gene-3.124-mRNA-1_1&gene=genemark-draA_s100-processed-gene-3.124&CDS=1-2958	YMR280C
OG0000632	augustus_masked-draA_s100-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.22&CDS=1-2334	YAL021C
OG0000633	augustus_masked-draA_s100-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.40&CDS=1-1062	YLR420W
OG0000634	augustus_masked-draA_s100-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-draA_s100-processed-gene-3.24&CDS=1-429	YPR082C
