	Cyberlindnera_jadinii	Saccharomyces_cerevisiae
OG0000175	genemark-scaffold_1-processed-gene-10.117-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.117&CDS=1-669	YKR075C, YOR062C
OG0000176	genemark-scaffold_1-processed-gene-11.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.49&CDS=1-840	YIL117C, YNL058C
OG0000177	genemark-scaffold_1-processed-gene-11.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.35&CDS=1-582, genemark-scaffold_39-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_39-processed-gene-0.12&CDS=1-1008	YNL274C
OG0000178	genemark-scaffold_1-processed-gene-11.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.36&CDS=1-879	YJL133W, YKR052C
OG0000179	augustus_masked-scaffold_1-processed-gene-12.96-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.96&CDS=1-1983	YDR247W, YPL026C
OG0000180	genemark-scaffold_1-processed-gene-12.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.35&CDS=1-1095, genemark-scaffold_1-processed-gene-12.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.36&CDS=1-1101	YML131W
OG0000181	genemark-scaffold_1-processed-gene-12.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.63&CDS=1-372, genemark-scaffold_3-processed-gene-10.181-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.181&CDS=1-462	YNL111C
OG0000182	maker-scaffold_1-augustus-gene-12.23-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-12.23&CDS=1-1884	YNL108C, YOR110W
OG0000183	genemark-scaffold_1-processed-gene-12.70-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.70&CDS=1-2532, genemark-scaffold_20-processed-gene-0.131-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.131&CDS=1-2232	YIL130W
OG0000184	genemark-scaffold_1-processed-gene-13.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.5&CDS=1-2370	YIL131C, YNL068C
OG0000185	maker-scaffold_1-snap-gene-13.49-mRNA-1_1&gene=maker-scaffold_1-snap-gene-13.49&CDS=1-1080	YIL133C, YNL069C
OG0000186	genemark-scaffold_22-processed-gene-0.34-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.34&CDS=1-735, maker-scaffold_1-snap-gene-13.51-mRNA-1_1&gene=maker-scaffold_1-snap-gene-13.51&CDS=1-1551	YIR038C
OG0000187	genemark-scaffold_1-processed-gene-13.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.43&CDS=1-360	YDL136W, YDL191W
OG0000188	maker-scaffold_1-snap-gene-13.54-mRNA-1_1&gene=maker-scaffold_1-snap-gene-13.54&CDS=1-807	YDL137W, YDL192W
OG0000189	genemark-scaffold_1-processed-gene-14.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.10&CDS=1-789	YGR214W, YLR048W
OG0000190	maker-scaffold_1-augustus-gene-15.143-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-15.143&CDS=1-2544	YDR441C, YML022W
OG0000191	genemark-scaffold_1-processed-gene-16.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.95&CDS=1-1335	YDR151C, YLR136C
OG0000192	genemark-scaffold_1-processed-gene-17.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.42&CDS=1-1515, genemark-scaffold_6-processed-gene-2.16-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.16&CDS=1-1515	YDR256C
OG0000193	genemark-scaffold_1-processed-gene-17.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.22&CDS=1-1227	YIL123W, YNL066W
OG0000194	genemark-scaffold_1-processed-gene-17.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.48&CDS=1-1287	YDR312W, YHR066W
OG0000195	snap_masked-scaffold_1-processed-gene-18.13-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.13&CDS=1-702	YHR043C, YHR044C
OG0000196	genemark-scaffold_1-processed-gene-18.143-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.143&CDS=1-1074, maker-scaffold_4-snap-gene-6.149-mRNA-1_1&gene=maker-scaffold_4-snap-gene-6.149&CDS=1-1056	YBR187W
OG0000197	genemark-scaffold_10-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.9&CDS=1-594	YLR456W, YPR172W
OG0000198	augustus_masked-scaffold_10-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.97&CDS=1-1113, augustus_masked-scaffold_10-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.99&CDS=1-1092	YEL046C
OG0000199	genemark-scaffold_10-processed-gene-1.126-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.126&CDS=1-441	YBR082C, YDR059C
OG0000200	augustus_masked-scaffold_10-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.98&CDS=1-591	YBL027W, YBR084C-A
OG0000201	maker-scaffold_10-snap-gene-2.56-mRNA-1_1&gene=maker-scaffold_10-snap-gene-2.56&CDS=1-465	YBR048W, YDR025W
OG0000202	genemark-scaffold_10-processed-gene-3.24-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.24&CDS=1-354, genemark-scaffold_26-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_26-processed-gene-0.105&CDS=1-399	YKL192C
OG0000203	genemark-scaffold_10-processed-gene-3.35-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.35&CDS=1-2130, genemark-scaffold_7-processed-gene-4.249-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.249&CDS=1-2058	YDL206W
OG0000204	augustus_masked-scaffold_13-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-3.85&CDS=1-8031, genemark-scaffold_10-processed-gene-3.71-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.71&CDS=1-1791	YNL125C
OG0000205	snap_masked-scaffold_10-processed-gene-3.145-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-3.145&CDS=1-246, snap_masked-scaffold_7-processed-gene-4.145-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.145&CDS=1-393	YBL029C-A
OG0000206	genemark-scaffold_11-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.11&CDS=1-1458	YEL047C, YJR051W
OG0000207	genemark-scaffold_11-processed-gene-1.122-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.122&CDS=1-1278	YCL011C, YNL004W
OG0000208	genemark-scaffold_11-processed-gene-1.153-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.153&CDS=1-1581, genemark-scaffold_4-processed-gene-6.42-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.42&CDS=1-1644	YKL217W
OG0000209	augustus_masked-scaffold_11-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-1.96&CDS=1-2913	YFL050C, YOL130W
OG0000210	genemark-scaffold_11-processed-gene-1.160-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.160&CDS=1-1623, snap_masked-scaffold_2-processed-gene-3.81-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.81&CDS=1-2088	YBR045C
OG0000211	genemark-scaffold_11-processed-gene-1.161-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.161&CDS=1-558	YNL301C, YOL120C
OG0000212	genemark-scaffold_11-processed-gene-1.134-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.134&CDS=1-435	YNL302C, YOL121C
OG0000213	genemark-scaffold_11-processed-gene-1.140-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.140&CDS=1-759	YGL076C, YPL198W
OG0000214	genemark-scaffold_11-processed-gene-2.86-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.86&CDS=1-957, maker-scaffold_4-augustus-gene-7.146-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-7.146&CDS=1-2304	YHR104W
OG0000215	genemark-scaffold_11-processed-gene-2.92-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.92&CDS=1-2418, genemark-scaffold_5-processed-gene-5.100-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.100&CDS=1-864	YKL128C
OG0000216	genemark-scaffold_11-processed-gene-2.95-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.95&CDS=1-2952, genemark-scaffold_5-processed-gene-1.32-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.32&CDS=1-1440	YGL179C
OG0000217	genemark-scaffold_11-processed-gene-2.118-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.118&CDS=1-762	YDR098C, YER174C
OG0000218	genemark-scaffold_11-processed-gene-3.149-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.149&CDS=1-531	YMR242C, YOR312C
OG0000219	genemark-scaffold_11-processed-gene-3.192-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.192&CDS=1-1266	YDL048C, YLR375W
OG0000220	genemark-scaffold_11-processed-gene-3.194-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.194&CDS=1-4317	YGR070W, YLR371W
OG0000221	augustus_masked-scaffold_2-processed-gene-10.69-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.69&CDS=1-2667, maker-scaffold_11-snap-gene-3.143-mRNA-1_1&gene=maker-scaffold_11-snap-gene-3.143&CDS=1-4770	YBR251W
OG0000222	genemark-scaffold_11-processed-gene-3.168-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.168&CDS=1-3027	YML100W, YMR261C
OG0000223	genemark-scaffold_12-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.0&CDS=1-477, genemark-scaffold_31-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_31-processed-gene-0.3&CDS=1-939	YKL094W
OG0000224	augustus_masked-scaffold_12-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-0.95&CDS=1-1836	YGR049W, YLR356W
OG0000225	genemark-scaffold_12-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.5&CDS=1-324	YGR027C, YLR333C
OG0000226	genemark-scaffold_12-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.9&CDS=1-1737	YCR067C, YNR026C
OG0000227	genemark-scaffold_12-processed-gene-1.12-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.12&CDS=1-318	YHR141C, YNL162W
OG0000228	genemark-scaffold_12-processed-gene-1.39-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.39&CDS=1-2295, maker-scaffold_21-augustus-gene-0.130-mRNA-1_1&gene=maker-scaffold_21-augustus-gene-0.130&CDS=1-3228	YGR199W
OG0000229	genemark-scaffold_12-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.26&CDS=1-1671, genemark-scaffold_4-processed-gene-3.39-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.39&CDS=1-1818	YBR132C
OG0000230	genemark-scaffold_12-processed-gene-1.29-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.29&CDS=1-768, genemark-scaffold_8-processed-gene-3.28-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.28&CDS=1-768	YLR441C
OG0000231	genemark-scaffold_12-processed-gene-2.101-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.101&CDS=1-3291	YIR033W, YKL020C
OG0000232	genemark-scaffold_12-processed-gene-3.130-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.130&CDS=1-954	YCL050C, YDR530C
OG0000233	genemark-scaffold_12-processed-gene-3.139-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.139&CDS=1-1182, genemark-scaffold_5-processed-gene-2.91-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.91&CDS=1-1362	YER145C
OG0000234	genemark-scaffold_12-processed-gene-3.169-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.169&CDS=1-1017, genemark-scaffold_2-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.25&CDS=1-990	YDL144C
OG0000235	genemark-scaffold_12-processed-gene-3.147-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.147&CDS=1-1593, genemark-scaffold_3-processed-gene-4.22-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.22&CDS=1-1584	YJR152W
OG0000236	snap_masked-scaffold_12-processed-gene-3.115-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-3.115&CDS=1-738, snap_masked-scaffold_3-processed-gene-0.58-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.58&CDS=1-738	YLL027W
OG0000237	genemark-scaffold_12-processed-gene-3.179-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.179&CDS=1-2196, genemark-scaffold_3-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.23&CDS=1-2196	YLL029W
OG0000238	genemark-scaffold_12-processed-gene-3.150-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.150&CDS=1-3714, genemark-scaffold_3-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.3&CDS=1-3714	YBL007C
OG0000239	genemark-scaffold_13-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.104&CDS=1-1644, genemark-scaffold_19-processed-gene-0.317-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.317&CDS=1-1644	YBR182C
OG0000240	genemark-scaffold_13-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.83&CDS=1-831, genemark-scaffold_19-processed-gene-0.265-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.265&CDS=1-831	YBR185C
OG0000241	genemark-scaffold_13-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.105&CDS=1-7215, genemark-scaffold_19-processed-gene-0.318-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.318&CDS=1-2787	YPL085W
OG0000242	genemark-scaffold_13-processed-gene-0.119-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.119&CDS=1-2751, genemark-scaffold_9-processed-gene-2.128-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.128&CDS=1-2637	YPR194C
OG0000243	genemark-scaffold_13-processed-gene-0.123-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.123&CDS=1-1728, genemark-scaffold_7-processed-gene-2.45-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.45&CDS=1-1173	YGL023C
OG0000244	augustus_masked-scaffold_13-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-1.107&CDS=1-1032, genemark-scaffold_13-processed-gene-1.40-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.40&CDS=1-588	YDL177C
OG0000245	augustus_masked-scaffold_13-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-1.108&CDS=1-2859	YBL101C, YPR030W
OG0000246	augustus_masked-scaffold_13-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-1.93&CDS=1-1719	YDR185C, YLR168C
OG0000247	genemark-scaffold_13-processed-gene-2.132-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.132&CDS=1-528, maker-scaffold_3-snap-gene-6.127-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.127&CDS=1-531	YML073C
OG0000248	augustus_masked-scaffold_13-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-2.65&CDS=1-1116	YDR132C, YLR108C
OG0000249	genemark-scaffold_13-processed-gene-2.129-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-2.129&CDS=1-624, genemark-scaffold_5-processed-gene-6.22-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.22&CDS=1-579	YIR001C
OG0000250	genemark-scaffold_14-processed-gene-0.17-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-0.17&CDS=1-816	YLR284C, YOR180C
OG0000251	genemark-scaffold_14-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-0.18&CDS=1-1620, genemark-scaffold_3-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.5&CDS=1-1173	YKL043W
OG0000252	genemark-scaffold_14-processed-gene-0.38-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-0.38&CDS=1-654	YER031C, YGL210W
OG0000253	genemark-scaffold_14-processed-gene-0.44-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-0.44&CDS=1-426	YCR031C, YJL191W
OG0000254	genemark-scaffold_14-processed-gene-0.45-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-0.45&CDS=1-390	YJL190C, YLR367W
OG0000255	genemark-scaffold_14-processed-gene-1.101-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-1.101&CDS=1-1371	YGR177C, YOR377W
OG0000256	genemark-scaffold_14-processed-gene-1.135-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-1.135&CDS=1-2862, genemark-scaffold_17-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.96&CDS=1-2820	YBR084W
OG0000257	genemark-scaffold_14-processed-gene-1.141-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-1.141&CDS=1-2172	YDR251W, YPL032C
OG0000258	genemark-scaffold_14-processed-gene-2.152-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.152&CDS=1-1038	YAL034C, YOR338W
OG0000259	genemark-scaffold_14-processed-gene-2.173-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.173&CDS=1-4107	YDR409W, YOR156C
OG0000260	genemark-scaffold_15-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.27&CDS=1-1029	YGL082W, YPL191C
OG0000261	snap_masked-scaffold_15-processed-gene-0.139-mRNA-1_1&gene=snap_masked-scaffold_15-processed-gene-0.139&CDS=1-1386	YLR098C, YOR337W
OG0000262	genemark-scaffold_15-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.21&CDS=1-1614	YBR294W, YLR092W
OG0000263	genemark-scaffold_15-processed-gene-0.48-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.48&CDS=1-2682	YDR069C, YER144C
OG0000264	genemark-scaffold_15-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.25&CDS=1-630, snap_masked-scaffold_48-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scaffold_48-processed-gene-0.0&CDS=1-216	YIL007C
OG0000265	genemark-scaffold_15-processed-gene-0.49-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.49&CDS=1-309, snap_masked-scaffold_48-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scaffold_48-processed-gene-0.1&CDS=1-333	YIL008W
OG0000266	maker-scaffold_15-snap-gene-1.277-mRNA-1_1&gene=maker-scaffold_15-snap-gene-1.277&CDS=1-1317	YFR053C, YGL253W
OG0000267	genemark-scaffold_15-processed-gene-1.48-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.48&CDS=1-603	YAL007C, YOR016C
OG0000268	genemark-scaffold_15-processed-gene-1.63-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.63&CDS=1-1710, genemark-scaffold_7-processed-gene-0.141-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.141&CDS=1-1728	YDL210W
OG0000269	snap_masked-scaffold_15-processed-gene-1.165-mRNA-1_1&gene=snap_masked-scaffold_15-processed-gene-1.165&CDS=1-1134	YGR121C, YPR138C
OG0000270	maker-scaffold_15-snap-gene-1.274-mRNA-1_1&gene=maker-scaffold_15-snap-gene-1.274&CDS=1-2322	YGR108W, YPR119W
OG0000271	genemark-scaffold_15-processed-gene-1.38-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.38&CDS=1-945, maker-scaffold_2-augustus-gene-4.152-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-4.152&CDS=1-1314	YJR080C
OG0000272	genemark-scaffold_16-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.104&CDS=1-1824	YGR138C, YPR156C
OG0000273	snap_masked-scaffold_16-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-0.25&CDS=1-762	YFR031C-A, YIL018W
OG0000274	genemark-scaffold_16-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.93&CDS=1-435	YGR118W, YPR132W
OG0000275	maker-scaffold_16-snap-gene-1.8-mRNA-1_1&gene=maker-scaffold_16-snap-gene-1.8&CDS=1-1998	YPR169W-A, YPR170W-B
OG0000276	maker-scaffold_16-snap-gene-1.4-mRNA-1_1&gene=maker-scaffold_16-snap-gene-1.4&CDS=1-3207, maker-scaffold_3-snap-gene-9.101-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.101&CDS=1-2595	YER053C
OG0000277	genemark-scaffold_5-processed-gene-5.102-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.102&CDS=1-1944, maker-scaffold_17-snap-gene-0.117-mRNA-1_1&gene=maker-scaffold_17-snap-gene-0.117&CDS=1-2760	YER103W
OG0000278	genemark-scaffold_17-processed-gene-1.38-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.38&CDS=1-750	YDR272W, YOR040W
OG0000279	genemark-scaffold_17-processed-gene-1.8-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.8&CDS=1-495	YDR418W, YEL054C
OG0000280	genemark-scaffold_17-processed-gene-1.51-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.51&CDS=1-1797	YDR351W, YHR103W
OG0000281	augustus_masked-scaffold_17-processed-gene-1.192-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-1.192&CDS=1-1122, snap_masked-scaffold_17-processed-gene-1.129-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.129&CDS=1-1290	YNR058W
OG0000282	genemark-scaffold_17-processed-gene-1.32-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.32&CDS=1-1353	YDL042C, YOL068C
OG0000283	genemark-scaffold_18-processed-gene-0.79-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.79&CDS=1-603, genemark-scaffold_5-processed-gene-6.37-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.37&CDS=1-603	YEL012W
OG0000284	genemark-scaffold_18-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.97&CDS=1-1785	YMR119W, YNL008C
OG0000285	genemark-scaffold_18-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.83&CDS=1-3213	YJL076W, YKR010C
OG0000286	genemark-scaffold_18-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.93&CDS=1-1482, genemark-scaffold_2-processed-gene-8.47-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.47&CDS=1-1251	YHR135C
OG0000287	genemark-scaffold_18-processed-gene-1.8-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.8&CDS=1-1335	YCL036W, YDR514C
OG0000288	genemark-scaffold_18-processed-gene-1.12-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.12&CDS=1-8052	YBR140C, YOL081W
OG0000289	genemark-scaffold_18-processed-gene-1.46-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.46&CDS=1-504	YGR131W, YPR149W
OG0000290	genemark-scaffold_18-processed-gene-1.47-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.47&CDS=1-798	YGR136W, YPR154W
OG0000291	genemark-scaffold_19-processed-gene-0.227-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.227&CDS=1-756, snap_masked-scaffold_37-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scaffold_37-processed-gene-0.6&CDS=1-756	YMR003W
OG0000292	genemark-scaffold_19-processed-gene-0.283-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.283&CDS=1-828, genemark-scaffold_37-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_37-processed-gene-0.15&CDS=1-828	YOL009C
OG0000293	genemark-scaffold_19-processed-gene-0.289-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.289&CDS=1-1056	YOR390W, YPL279C
OG0000294	genemark-scaffold_19-processed-gene-0.294-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.294&CDS=1-2265	YML109W, YMR273C
OG0000295	genemark-scaffold_19-processed-gene-0.247-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.247&CDS=1-639, genemark-scaffold_2-processed-gene-3.8-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.8&CDS=1-612	YKR014C
OG0000296	genemark-scaffold_19-processed-gene-0.312-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.312&CDS=1-867, genemark-scaffold_4-processed-gene-5.12-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.12&CDS=1-876	YLR351C
OG0000297	genemark-scaffold_2-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.33&CDS=1-1260	YLR300W, YOR190W
OG0000298	genemark-scaffold_2-processed-gene-1.5-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.5&CDS=1-1140, genemark-scaffold_2-processed-gene-2.30-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.30&CDS=1-1068	YGL067W
OG0000299	maker-scaffold_2-augustus-gene-1.40-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-1.40&CDS=1-1026	YMR194W, YPL249C-A
OG0000300	maker-scaffold_2-augustus-gene-2.5-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-2.5&CDS=1-891	YBR147W, YOL092W
OG0000301	genemark-scaffold_2-processed-gene-2.27-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.27&CDS=1-2232	YJL082W, YKR018C
OG0000302	genemark-scaffold_2-processed-gene-3.12-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.12&CDS=1-1560, maker-scaffold_3-snap-gene-5.58-mRNA-1_1&gene=maker-scaffold_3-snap-gene-5.58&CDS=1-2835	YHR176W
OG0000303	genemark-scaffold_2-processed-gene-3.13-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.13&CDS=1-2406	YMR237W, YOR299W
OG0000304	genemark-scaffold_2-processed-gene-3.39-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.39&CDS=1-594	YDR453C, YML028W
OG0000305	genemark-scaffold_2-processed-gene-3.51-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.51&CDS=1-3102	YKL068W, YMR047C
OG0000306	genemark-scaffold_2-processed-gene-3.28-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.28&CDS=1-918	YDL204W, YDR233C
OG0000307	genemark-scaffold_2-processed-gene-4.103-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.103&CDS=1-1374	YDR463W, YHR006W
OG0000308	genemark-scaffold_2-processed-gene-4.111-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.111&CDS=1-2181	YIL105C, YNL047C
