	Eremothecium_sinecaudum	Saccharomyces_cerevisiae
OG0000875	genemark-CP014242.1-processed-gene-16.164-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-16.164&CDS=1-1497	YHR097C
OG0000876	snap_masked-CP014242.1-processed-gene-16.104-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-16.104&CDS=1-2658	YHR098C
OG0000877	snap_masked-CP014242.1-processed-gene-16.105-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-16.105&CDS=1-1584	YDR349C
OG0000878	maker-CP014242.1-augustus-gene-16.2-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-16.2&CDS=1-1881	YJR007W
OG0000879	maker-CP014242.1-augustus-gene-16.3-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-16.3&CDS=1-2409	YJR010W
OG0000880	augustus_masked-CP014242.1-processed-gene-16.48-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-16.48&CDS=1-1230	YGR193C
OG0000881	augustus_masked-CP014242.1-processed-gene-16.49-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-16.49&CDS=1-1722	YGR194C
OG0000882	snap_masked-CP014242.1-processed-gene-16.108-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-16.108&CDS=1-273	YJR010C-A
OG0000883	snap_masked-CP014242.1-processed-gene-16.110-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-16.110&CDS=1-2397	YJR004C
OG0000884	snap_masked-CP014242.1-processed-gene-16.111-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-16.111&CDS=1-2757	YFR013W
OG0000885	augustus_masked-CP014242.1-processed-gene-17.58-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.58&CDS=1-639	YJL072C
OG0000886	augustus_masked-CP014242.1-processed-gene-17.56-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.56&CDS=1-1656	YJL071W
OG0000887	snap_masked-CP014242.1-processed-gene-17.108-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-17.108&CDS=1-2352	YJL070C
OG0000888	augustus_masked-CP014242.1-processed-gene-17.57-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.57&CDS=1-3039	YJL053W
OG0000889	augustus_masked-CP014242.1-processed-gene-17.86-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.86&CDS=1-1416	YBR272C
OG0000890	snap_masked-CP014242.1-processed-gene-17.111-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-17.111&CDS=1-1269	YJL049W
OG0000891	augustus_masked-CP014242.1-processed-gene-17.87-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.87&CDS=1-1197	YBR273C
OG0000892	augustus_masked-CP014242.1-processed-gene-17.63-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.63&CDS=1-1536	YBR274W
OG0000893	snap_masked-CP014242.1-processed-gene-17.138-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-17.138&CDS=1-5190	YBR275C
OG0000894	augustus_masked-CP014242.1-processed-gene-17.65-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.65&CDS=1-1941	YJL056C
OG0000895	snap_masked-CP014242.1-processed-gene-17.115-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-17.115&CDS=1-2940	YJL057C
OG0000896	maker-CP014242.1-snap-gene-17.102-mRNA-1_1&gene=maker-CP014242.1-snap-gene-17.102&CDS=1-2631	YJL060W
OG0000897	augustus_masked-CP014242.1-processed-gene-17.68-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.68&CDS=1-381	YBR269C
OG0000898	snap_masked-CP014242.1-processed-gene-17.142-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-17.142&CDS=1-1995	YJL061W
OG0000899	maker-CP014242.1-augustus-gene-17.54-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-17.54&CDS=1-2427	YJL062W
OG0000900	maker-CP014242.1-augustus-gene-17.55-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-17.55&CDS=1-2253	YBR267W
OG0000901	augustus_masked-CP014242.1-processed-gene-17.69-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.69&CDS=1-705	YJL063C
OG0000902	augustus_masked-CP014242.1-processed-gene-17.94-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.94&CDS=1-2409	YBR276C
OG0000903	augustus_masked-CP014242.1-processed-gene-17.71-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.71&CDS=1-615	YJL065C
OG0000904	snap_masked-CP014242.1-processed-gene-17.120-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-17.120&CDS=1-936	YJL066C
OG0000905	augustus_masked-CP014242.1-processed-gene-17.73-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.73&CDS=1-1218	YBR279W
OG0000906	augustus_masked-CP014242.1-processed-gene-17.74-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.74&CDS=1-894	YJL068C
OG0000907	augustus_masked-CP014242.1-processed-gene-17.95-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.95&CDS=1-1782	YBR280C
OG0000908	augustus_masked-CP014242.1-processed-gene-17.96-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.96&CDS=1-2613	YBR281C
OG0000909	augustus_masked-CP014242.1-processed-gene-17.75-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.75&CDS=1-1689	YJL069C
OG0000910	genemark-CP014242.1-processed-gene-17.22-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-17.22&CDS=1-432	YBR282W
OG0000911	snap_masked-CP014242.1-processed-gene-17.125-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-17.125&CDS=1-2301	YJL047C
OG0000912	genemark-CP014242.1-processed-gene-17.46-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-17.46&CDS=1-1983	YBR260C
OG0000913	genemark-CP014242.1-processed-gene-17.47-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-17.47&CDS=1-720	YBR261C
OG0000914	augustus_masked-CP014242.1-processed-gene-17.77-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.77&CDS=1-1470	YBR283C
OG0000915	snap_masked-CP014242.1-processed-gene-17.127-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-17.127&CDS=1-381	YBR258C
OG0000916	augustus_masked-CP014242.1-processed-gene-17.99-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.99&CDS=1-813	YBR257W
OG0000917	augustus_masked-CP014242.1-processed-gene-17.79-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.79&CDS=1-1218	YJL046W
OG0000918	augustus_masked-CP014242.1-processed-gene-17.82-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.82&CDS=1-1566	YBR286W
OG0000919	augustus_masked-CP014242.1-processed-gene-17.101-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.101&CDS=1-1842	YJL073W
OG0000920	augustus_masked-CP014242.1-processed-gene-17.83-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.83&CDS=1-1269	YBR287W
OG0000921	augustus_masked-CP014242.1-processed-gene-17.84-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-17.84&CDS=1-3690	YJL074C
OG0000922	snap_masked-CP014242.1-processed-gene-18.90-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-18.90&CDS=1-3615	YJL076W
OG0000923	snap_masked-CP014242.1-processed-gene-18.91-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-18.91&CDS=1-897	YKR011C
OG0000924	augustus_masked-CP014242.1-processed-gene-18.46-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.46&CDS=1-3600	YJL080C
OG0000925	augustus_masked-CP014242.1-processed-gene-18.64-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.64&CDS=1-615	YKR014C
OG0000926	augustus_masked-CP014242.1-processed-gene-18.49-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.49&CDS=1-1521	YKR016W
OG0000927	augustus_masked-CP014242.1-processed-gene-18.50-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.50&CDS=1-1446	YJL081C
OG0000928	augustus_masked-CP014242.1-processed-gene-18.65-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.65&CDS=1-1635	YKR017C
OG0000929	augustus_masked-CP014242.1-processed-gene-18.66-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.66&CDS=1-2175	YJL083W
OG0000930	snap_masked-CP014242.1-processed-gene-18.94-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-18.94&CDS=1-417	YKR020W
OG0000931	augustus_masked-CP014242.1-processed-gene-18.52-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.52&CDS=1-2319	YJL084C
OG0000932	augustus_masked-CP014242.1-processed-gene-18.67-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.67&CDS=1-1842	YJL085W
OG0000933	augustus_masked-CP014242.1-processed-gene-18.53-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.53&CDS=1-2472	YJL087C
OG0000934	augustus_masked-CP014242.1-processed-gene-18.68-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.68&CDS=1-957	YJL088W
OG0000935	genemark-CP014242.1-processed-gene-18.27-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-18.27&CDS=1-2472	YJL089W
OG0000936	snap_masked-CP014242.1-processed-gene-18.97-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-18.97&CDS=1-2172	YJL090C
OG0000937	augustus_masked-CP014242.1-processed-gene-18.55-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.55&CDS=1-1452	YJL091C
OG0000938	augustus_masked-CP014242.1-processed-gene-18.70-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.70&CDS=1-3303	YJL092W
OG0000939	augustus_masked-CP014242.1-processed-gene-18.71-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.71&CDS=1-4128	YJL095W
OG0000940	maker-CP014242.1-augustus-gene-18.43-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-18.43&CDS=1-1029	YJL096W
OG0000941	augustus_masked-CP014242.1-processed-gene-18.75-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.75&CDS=1-1641	YJL100W
OG0000942	augustus_masked-CP014242.1-processed-gene-18.56-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.56&CDS=1-1977	YJL101C
OG0000943	augustus_masked-CP014242.1-processed-gene-18.76-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.76&CDS=1-2394	YJL102W
OG0000944	augustus_masked-CP014242.1-processed-gene-18.57-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.57&CDS=1-912	YKR026C
OG0000945	augustus_masked-CP014242.1-processed-gene-18.77-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.77&CDS=1-780	YKR025W
OG0000946	augustus_masked-CP014242.1-processed-gene-18.58-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.58&CDS=1-2139	YKR024C
OG0000947	augustus_masked-CP014242.1-processed-gene-18.59-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.59&CDS=1-1380	YJL103C
OG0000948	snap_masked-CP014242.1-processed-gene-18.125-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-18.125&CDS=1-1524	YKR023W
OG0000949	augustus_masked-CP014242.1-processed-gene-18.79-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.79&CDS=1-402	YJL104W
OG0000950	augustus_masked-CP014242.1-processed-gene-18.80-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.80&CDS=1-2637	YKR029C
OG0000951	augustus_masked-CP014242.1-processed-gene-18.81-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.81&CDS=1-2406	YJL106W
OG0000952	augustus_masked-CP014242.1-processed-gene-18.61-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.61&CDS=1-2307	YJL108C
OG0000953	augustus_masked-CP014242.1-processed-gene-18.62-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.62&CDS=1-6024	YJL109C
OG0000954	maker-CP014242.1-augustus-gene-18.44-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-18.44&CDS=1-5187	YKR031C
OG0000955	genemark-CP014242.1-processed-gene-18.19-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-18.19&CDS=1-1452	YJL110C
OG0000956	genemark-CP014242.1-processed-gene-18.20-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-18.20&CDS=1-612	YKR035W-A
OG0000957	augustus_masked-CP014242.1-processed-gene-18.83-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-18.83&CDS=1-1644	YJL111W
OG0000958	augustus_masked-CP014242.1-processed-gene-19.103-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.103&CDS=1-342	YNL135C
OG0000959	augustus_masked-CP014242.1-processed-gene-19.108-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.108&CDS=1-876	YNL136W
OG0000960	augustus_masked-CP014242.1-processed-gene-19.104-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.104&CDS=1-1419	YNL137C
OG0000961	augustus_masked-CP014242.1-processed-gene-19.109-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.109&CDS=1-1599	YNL138W
OG0000962	augustus_masked-CP014242.1-processed-gene-19.105-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.105&CDS=1-699	YHR127W
OG0000963	augustus_masked-CP014242.1-processed-gene-19.110-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.110&CDS=1-240	YNL138W-A
OG0000964	augustus_masked-CP014242.1-processed-gene-19.106-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.106&CDS=1-5877	YNL139C
OG0000965	augustus_masked-CP014242.1-processed-gene-19.146-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.146&CDS=1-702	YNL151C
OG0000966	genemark-CP014242.1-processed-gene-19.226-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-19.226&CDS=1-345	YNL149C
OG0000967	augustus_masked-CP014242.1-processed-gene-19.111-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.111&CDS=1-357	YNL147W
OG0000968	augustus_masked-CP014242.1-processed-gene-19.112-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.112&CDS=1-648	YHR128W
OG0000969	augustus_masked-CP014242.1-processed-gene-19.148-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.148&CDS=1-1137	YHR129C
OG0000970	snap_masked-CP014242.1-processed-gene-19.58-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-19.58&CDS=1-780	YNL159C
OG0000971	snap_masked-CP014242.1-processed-gene-19.11-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-19.11&CDS=1-567	YNL158W
OG0000972	augustus_masked-CP014242.1-processed-gene-19.113-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.113&CDS=1-381	YHR132W-A
OG0000973	augustus_masked-CP014242.1-processed-gene-19.151-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.151&CDS=1-810	YNL156C
OG0000974	augustus_masked-CP014242.1-processed-gene-19.114-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.114&CDS=1-792	YHR134W
OG0000975	augustus_masked-CP014242.1-processed-gene-19.115-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.115&CDS=1-789	YNL155W
OG0000976	augustus_masked-CP014242.1-processed-gene-19.116-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.116&CDS=1-387	YNL153C
OG0000977	augustus_masked-CP014242.1-processed-gene-19.117-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.117&CDS=1-663	YHR140W
OG0000978	augustus_masked-CP014242.1-processed-gene-19.154-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.154&CDS=1-2238	YNL161W
OG0000979	snap_masked-CP014242.1-processed-gene-19.18-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-19.18&CDS=1-1029	YHR142W
OG0000980	snap_masked-CP014242.1-processed-gene-19.65-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-19.65&CDS=1-234	YNL162W-A
OG0000981	augustus_masked-CP014242.1-processed-gene-19.118-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.118&CDS=1-3318	YNL163C
OG0000982	augustus_masked-CP014242.1-processed-gene-19.119-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.119&CDS=1-1095	YNL164C
OG0000983	augustus_masked-CP014242.1-processed-gene-19.120-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.120&CDS=1-1152	YNL166C
OG0000984	snap_masked-CP014242.1-processed-gene-19.22-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-19.22&CDS=1-210	YHR143W-A
OG0000985	snap_masked-CP014242.1-processed-gene-19.23-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-19.23&CDS=1-1302	YNL167C
OG0000986	augustus_masked-CP014242.1-processed-gene-19.122-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.122&CDS=1-780	YNL168C
OG0000987	augustus_masked-CP014242.1-processed-gene-19.156-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.156&CDS=1-912	YHR144C
OG0000988	augustus_masked-CP014242.1-processed-gene-19.123-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.123&CDS=1-1506	YNL169C
OG0000989	augustus_masked-CP014242.1-processed-gene-19.157-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.157&CDS=1-5001	YNL172W
OG0000990	augustus_masked-CP014242.1-processed-gene-19.125-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.125&CDS=1-1173	YNL175C
OG0000991	genemark-CP014242.1-processed-gene-19.204-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-19.204&CDS=1-912	YNL177C
OG0000992	augustus_masked-CP014242.1-processed-gene-19.158-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.158&CDS=1-615	YDL212W
OG0000993	augustus_masked-CP014242.1-processed-gene-19.159-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.159&CDS=1-729	YNL178W
OG0000994	augustus_masked-CP014242.1-processed-gene-19.127-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.127&CDS=1-831	YNL180C
OG0000995	augustus_masked-CP014242.1-processed-gene-19.160-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.160&CDS=1-1176	YNL181W
OG0000996	augustus_masked-CP014242.1-processed-gene-19.128-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.128&CDS=1-1539	YNL182C
OG0000997	augustus_masked-CP014242.1-processed-gene-19.129-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.129&CDS=1-627	YDL213C
OG0000998	genemark-CP014242.1-processed-gene-19.209-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-19.209&CDS=1-447	YNL185C
OG0000999	augustus_masked-CP014242.1-processed-gene-19.161-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.161&CDS=1-2271	YNL186W
OG0001000	snap_masked-CP014242.1-processed-gene-19.35-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-19.35&CDS=1-1116	YDL216C
OG0001001	genemark-CP014242.1-processed-gene-19.244-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-19.244&CDS=1-1236	YNL187W
OG0001002	augustus_masked-CP014242.1-processed-gene-19.133-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.133&CDS=1-603	YDL217C
OG0001003	augustus_masked-CP014242.1-processed-gene-19.164-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.164&CDS=1-1641	YNL189W
OG0001004	augustus_masked-CP014242.1-processed-gene-19.167-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.167&CDS=1-1542	YNL193W
OG0001005	augustus_masked-CP014242.1-processed-gene-19.134-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.134&CDS=1-2511	YDL220C
OG0001006	augustus_masked-CP014242.1-processed-gene-19.168-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.168&CDS=1-2073	YNL216W
OG0001007	augustus_masked-CP014242.1-processed-gene-19.136-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.136&CDS=1-408	YDL235C
OG0001008	augustus_masked-CP014242.1-processed-gene-19.169-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.169&CDS=1-1665	YNL218W
OG0001009	augustus_masked-CP014242.1-processed-gene-19.170-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.170&CDS=1-963	YDL236W
OG0001010	augustus_masked-CP014242.1-processed-gene-19.137-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.137&CDS=1-1665	YNL219C
OG0001011	augustus_masked-CP014242.1-processed-gene-19.171-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.171&CDS=1-1302	YNL220W
OG0001012	augustus_masked-CP014242.1-processed-gene-19.138-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.138&CDS=1-2511	YNL221C
OG0001013	genemark-CP014242.1-processed-gene-19.254-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-19.254&CDS=1-1206	YDL237W
OG0001014	maker-CP014242.1-augustus-gene-19.102-mRNA-1_1&gene=maker-CP014242.1-augustus-gene-19.102&CDS=1-2025	YNL222W
OG0001015	genemark-CP014242.1-processed-gene-19.217-mRNA-1_1&gene=genemark-CP014242.1-processed-gene-19.217&CDS=1-2094	YNL224C
OG0001016	snap_masked-CP014242.1-processed-gene-19.44-mRNA-1_1&gene=snap_masked-CP014242.1-processed-gene-19.44&CDS=1-2601	YNL225C
OG0001017	augustus_masked-CP014242.1-processed-gene-19.140-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.140&CDS=1-1803	YNL227C
OG0001018	augustus_masked-CP014242.1-processed-gene-19.141-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.141&CDS=1-1077	YNL229C
OG0001019	augustus_masked-CP014242.1-processed-gene-19.142-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.142&CDS=1-987	YNL230C
OG0001020	augustus_masked-CP014242.1-processed-gene-19.173-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.173&CDS=1-3339	YNL232W
OG0001021	augustus_masked-CP014242.1-processed-gene-19.174-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.174&CDS=1-1206	YNL234W
OG0001022	augustus_masked-CP014242.1-processed-gene-19.175-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.175&CDS=1-2799	YNL236W
OG0001023	augustus_masked-CP014242.1-processed-gene-19.176-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.176&CDS=1-2301	YNL238W
OG0001024	augustus_masked-CP014242.1-processed-gene-19.177-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.177&CDS=1-1410	YNL239W
OG0001025	augustus_masked-CP014242.1-processed-gene-19.143-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.143&CDS=1-1383	YNL240C
OG0001026	augustus_masked-CP014242.1-processed-gene-19.144-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.144&CDS=1-1524	YNL241C
OG0001027	augustus_masked-CP014242.1-processed-gene-19.178-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.178&CDS=1-3123	YDL240W
OG0001028	augustus_masked-CP014242.1-processed-gene-19.179-mRNA-1_1&gene=augustus_masked-CP014242.1-processed-gene-19.179&CDS=1-4560	YNL242W
OG0001029	augustus_masked-CP014243.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.98&CDS=1-1371	YCL063W
OG0001030	augustus_masked-CP014243.1-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.119&CDS=1-3090	YCL061C
OG0001031	augustus_masked-CP014243.1-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.120&CDS=1-1014	YCL059C
OG0001032	augustus_masked-CP014243.1-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.121&CDS=1-246	YCL057C-A
OG0001033	augustus_masked-CP014243.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.100&CDS=1-2040	YCL057W
OG0001034	augustus_masked-CP014243.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.103&CDS=1-966	YCL055W
OG0001035	augustus_masked-CP014243.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.104&CDS=1-2490	YCL054W
OG0001036	augustus_masked-CP014243.1-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.124&CDS=1-1260	YCL052C
OG0001037	augustus_masked-CP014243.1-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.125&CDS=1-378	YDR529C
OG0001038	augustus_masked-CP014243.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.106&CDS=1-1062	YDR531W
OG0001039	augustus_masked-CP014243.1-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.127&CDS=1-1065	YDR532C
OG0001040	maker-CP014243.1-augustus-gene-0.135-mRNA-1_1&gene=maker-CP014243.1-augustus-gene-0.135&CDS=1-1512	YDR527W
OG0001041	snap_masked-CP014243.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-CP014243.1-processed-gene-0.58&CDS=1-2457	YDR524C
OG0001042	genemark-CP014243.1-processed-gene-0.14-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-0.14&CDS=1-1320	YDR523C
OG0001043	genemark-CP014243.1-processed-gene-0.15-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-0.15&CDS=1-1563	YDR522C
OG0001044	genemark-CP014243.1-processed-gene-0.16-mRNA-1_1&gene=genemark-CP014243.1-processed-gene-0.16&CDS=1-2346	YDR520C
OG0001045	augustus_masked-CP014243.1-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.129&CDS=1-2202	YCL045C
OG0001046	augustus_masked-CP014243.1-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.130&CDS=1-1203	YCL044C
OG0001047	augustus_masked-CP014243.1-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.131&CDS=1-2658	YCL043C
OG0001048	augustus_masked-CP014243.1-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.109&CDS=1-1479	YCL040W
OG0001049	augustus_masked-CP014243.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-CP014243.1-processed-gene-0.110&CDS=1-2169	YCL039W
