	Metschnikowia_kamakouana	Saccharomyces_cerevisiae
OG0000462	genemark-kam_s277-processed-gene-0.6-mRNA-1_1&gene=genemark-kam_s277-processed-gene-0.6&CDS=1-558	YNL301C, YOL120C
OG0000463	genemark-kam_s277-processed-gene-0.7-mRNA-1_1&gene=genemark-kam_s277-processed-gene-0.7&CDS=1-432	YNL302C, YOL121C
OG0000464	genemark-kam_s277-processed-gene-0.24-mRNA-1_1&gene=genemark-kam_s277-processed-gene-0.24&CDS=1-756	YIR035C, YIR036C
OG0000465	snap_masked-kam_s3-processed-gene-0.1-mRNA-1_1&gene=snap_masked-kam_s3-processed-gene-0.1&CDS=1-1791, snap_masked-kam_s73-processed-gene-0.7-mRNA-1_1&gene=snap_masked-kam_s73-processed-gene-0.7&CDS=1-2022	YHR124W
OG0000466	snap_masked-kam_s3-processed-gene-0.10-mRNA-1_1&gene=snap_masked-kam_s3-processed-gene-0.10&CDS=1-1659	YKL127W, YMR105C
OG0000467	snap_masked-kam_s3-processed-gene-1.52-mRNA-1_1&gene=snap_masked-kam_s3-processed-gene-1.52&CDS=1-246	YHR021C, YKL156W
OG0000468	snap_masked-kam_s3-processed-gene-1.23-mRNA-1_1&gene=snap_masked-kam_s3-processed-gene-1.23&CDS=1-1152	YDR312W, YHR066W
OG0000469	snap_masked-kam_s34-processed-gene-0.2-mRNA-1_1&gene=snap_masked-kam_s34-processed-gene-0.2&CDS=1-996	YCR073W-A, YNR034W
OG0000470	snap_masked-kam_s34-processed-gene-0.3-mRNA-1_1&gene=snap_masked-kam_s34-processed-gene-0.3&CDS=1-4758, snap_masked-kam_s4-processed-gene-1.116-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-1.116&CDS=1-4239	YGR281W
OG0000471	augustus_masked-kam_s34-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-kam_s34-processed-gene-0.25&CDS=1-1731	YEL039C, YJR048W
OG0000472	snap_masked-kam_s38-processed-gene-1.7-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-1.7&CDS=1-1269	YDR300C, YHR033W
OG0000473	snap_masked-kam_s38-processed-gene-1.36-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-1.36&CDS=1-1533	YFR012W, YOL019W
OG0000474	snap_masked-kam_s38-processed-gene-2.87-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-2.87&CDS=1-657	YER031C, YGL210W
OG0000475	snap_masked-kam_s38-processed-gene-3.92-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-3.92&CDS=1-3537	YGL133W, YPL216W
OG0000476	snap_masked-kam_s38-processed-gene-3.74-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-3.74&CDS=1-411	YBL087C, YER117W
OG0000477	snap_masked-kam_s38-processed-gene-3.99-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-3.99&CDS=1-2391	YIL105C, YNL047C
OG0000478	snap_masked-kam_s38-processed-gene-3.105-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-3.105&CDS=1-1893, snap_masked-kam_s38-processed-gene-3.106-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-3.106&CDS=1-2022	YPR159W
OG0000479	snap_masked-kam_s38-processed-gene-3.107-mRNA-1_1&gene=snap_masked-kam_s38-processed-gene-3.107&CDS=1-507	YGR131W, YPR149W
OG0000480	maker-kam_s39-augustus-gene-0.114-mRNA-1_1&gene=maker-kam_s39-augustus-gene-0.114&CDS=1-2247, snap_masked-kam_s66-processed-gene-0.78-mRNA-1_1&gene=snap_masked-kam_s66-processed-gene-0.78&CDS=1-600	YJL097W
OG0000481	maker-kam_s4-augustus-gene-0.0-mRNA-1_1&gene=maker-kam_s4-augustus-gene-0.0&CDS=1-2946	YBR021W, YIR028W
OG0000482	snap_masked-kam_s4-processed-gene-0.23-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-0.23&CDS=1-708	YBR181C, YPL090C
OG0000483	snap_masked-kam_s4-processed-gene-1.109-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-1.109&CDS=1-765	YDR272W, YOR040W
OG0000484	snap_masked-kam_s4-processed-gene-1.132-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-1.132&CDS=1-1926	YER064C, YIL056W
OG0000485	snap_masked-kam_s4-processed-gene-1.113-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-1.113&CDS=1-2097	YBR001C, YDR001C
OG0000486	snap_masked-kam_s4-processed-gene-1.141-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-1.141&CDS=1-3582	YJL105W, YKR029C
OG0000487	snap_masked-kam_s4-processed-gene-1.143-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-1.143&CDS=1-2583	YJL082W, YKR018C
OG0000488	snap_masked-kam_s4-processed-gene-1.145-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-1.145&CDS=1-1014	YBR031W, YDR012W
OG0000489	genemark-kam_s4-processed-gene-2.72-mRNA-1_1&gene=genemark-kam_s4-processed-gene-2.72&CDS=1-1824	YBR241C, YGL104C
OG0000490	snap_masked-kam_s4-processed-gene-2.42-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.42&CDS=1-447	YIL111W, YNL052W
OG0000491	snap_masked-kam_s4-processed-gene-2.26-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.26&CDS=1-1425	YLR260W, YOR171C
OG0000492	snap_masked-kam_s4-processed-gene-2.27-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.27&CDS=1-3231	YBL101C, YPR030W
OG0000493	augustus_masked-kam_s4-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-kam_s4-processed-gene-2.135&CDS=1-1182	YDL088C, YMR153W
OG0000494	maker-kam_s4-augustus-gene-4.97-mRNA-1_1&gene=maker-kam_s4-augustus-gene-4.97&CDS=1-4878	YLR450W, YML075C
OG0000495	snap_masked-kam_s4-processed-gene-4.109-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.109&CDS=1-1305	YGR141W, YPR157W
OG0000496	maker-kam_s4-augustus-gene-4.96-mRNA-1_1&gene=maker-kam_s4-augustus-gene-4.96&CDS=1-405	YER074W, YIL069C
OG0000497	genemark-kam_s4-processed-gene-5.39-mRNA-1_1&gene=genemark-kam_s4-processed-gene-5.39&CDS=1-369	YMR230W, YOR293W
OG0000498	snap_masked-kam_s4-processed-gene-5.165-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.165&CDS=1-1170	YMR243C, YOR316C
OG0000499	snap_masked-kam_s45-processed-gene-0.26-mRNA-1_1&gene=snap_masked-kam_s45-processed-gene-0.26&CDS=1-2115	YKL050C, YMR031C
OG0000500	genemark-kam_s47-processed-gene-0.41-mRNA-1_1&gene=genemark-kam_s47-processed-gene-0.41&CDS=1-336	YDL075W, YLR406C
OG0000501	maker-kam_s52-snap-gene-0.32-mRNA-1_1&gene=maker-kam_s52-snap-gene-0.32&CDS=1-288	YMR194W, YPL249C-A
OG0000502	genemark-kam_s58-processed-gene-0.29-mRNA-1_1&gene=genemark-kam_s58-processed-gene-0.29&CDS=1-777	YMR233W, YOR295W
OG0000503	snap_masked-kam_s59-processed-gene-0.112-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.112&CDS=1-723	YDR259C, YOR028C
OG0000504	genemark-kam_s59-processed-gene-0.97-mRNA-1_1&gene=genemark-kam_s59-processed-gene-0.97&CDS=1-735	YHL003C, YKL008C
OG0000505	snap_masked-kam_s6-processed-gene-0.26-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.26&CDS=1-2046	YGR241C, YHR161C
OG0000506	snap_masked-kam_s6-processed-gene-1.129-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-1.129&CDS=1-2328	YDL109C, YGL144C
OG0000507	snap_masked-kam_s6-processed-gene-2.25-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-2.25&CDS=1-894	YBR104W, YPR058W
OG0000508	maker-kam_s6-augustus-gene-2.61-mRNA-1_1&gene=maker-kam_s6-augustus-gene-2.61&CDS=1-2385	YCR048W, YNR019W
OG0000509	snap_masked-kam_s6-processed-gene-3.123-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-3.123&CDS=1-1086	YDL246C, YJR159W
OG0000510	snap_masked-kam_s6-processed-gene-3.146-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-3.146&CDS=1-1437	YGR121C, YPR138C
OG0000511	snap_masked-kam_s6-processed-gene-4.144-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-4.144&CDS=1-495	YDR418W, YEL054C
OG0000512	genemark-kam_s6-processed-gene-4.84-mRNA-1_1&gene=genemark-kam_s6-processed-gene-4.84&CDS=1-792	YGR214W, YLR048W
OG0000513	snap_masked-kam_s6-processed-gene-4.128-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-4.128&CDS=1-900	YGL162W, YPR009W
OG0000514	snap_masked-kam_s6-processed-gene-4.150-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-4.150&CDS=1-870	YBR183W, YPL087W
OG0000515	snap_masked-kam_s6-processed-gene-5.96-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-5.96&CDS=1-1257	YMR177W, YPL224C
OG0000516	snap_masked-kam_s6-processed-gene-6.21-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-6.21&CDS=1-561	YNL096C, YOR096W
OG0000517	snap_masked-kam_s6-processed-gene-7.63-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-7.63&CDS=1-1782	YDR497C, YOL103W
OG0000518	snap_masked-kam_s6-processed-gene-8.62-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-8.62&CDS=1-1812, snap_masked-kam_s6-processed-gene-8.63-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-8.63&CDS=1-1749	YCR023C
OG0000519	genemark-kam_s6-processed-gene-8.36-mRNA-1_1&gene=genemark-kam_s6-processed-gene-8.36&CDS=1-2094	YBR238C, YGL107C
OG0000520	genemark-kam_s6-processed-gene-8.49-mRNA-1_1&gene=genemark-kam_s6-processed-gene-8.49&CDS=1-3588	YAL017W, YOL045W
OG0000521	snap_masked-kam_s6-processed-gene-8.71-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-8.71&CDS=1-1257	YAL015C, YOL043C
OG0000522	snap_masked-kam_s6-processed-gene-8.73-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-8.73&CDS=1-969, snap_masked-kam_s62-processed-gene-1.17-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-1.17&CDS=1-930	YKL128C
OG0000523	snap_masked-kam_s6-processed-gene-9.87-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-9.87&CDS=1-279	YGR008C, YLR327C
OG0000524	snap_masked-kam_s62-processed-gene-0.85-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-0.85&CDS=1-591	YER067W, YIL057C
OG0000525	snap_masked-kam_s62-processed-gene-1.4-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-1.4&CDS=1-1281	YHR179W, YPL171C
OG0000526	snap_masked-kam_s62-processed-gene-1.27-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-1.27&CDS=1-4323	YBL079W, YER105C
OG0000527	augustus_masked-kam_s62-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-kam_s62-processed-gene-1.115&CDS=1-534	YOR226C, YPL135W
OG0000528	snap_masked-kam_s62-processed-gene-1.20-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-1.20&CDS=1-2706	YDR251W, YPL032C
OG0000529	snap_masked-kam_s62-processed-gene-2.105-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-2.105&CDS=1-1167	YOR390W, YPL279C
OG0000530	snap_masked-kam_s62-processed-gene-2.98-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-2.98&CDS=1-1041	YER045C, YIL036W
OG0000531	snap_masked-kam_s62-processed-gene-2.100-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-2.100&CDS=1-3399	YGR238C, YHR158C
OG0000532	snap_masked-kam_s62-processed-gene-2.102-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-2.102&CDS=1-600	YIL133C, YNL069C
OG0000533	snap_masked-kam_s62-processed-gene-3.29-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-3.29&CDS=1-426	YDR447C, YML024W
OG0000534	snap_masked-kam_s62-processed-gene-3.56-mRNA-1_1&gene=snap_masked-kam_s62-processed-gene-3.56&CDS=1-1413	YML118W, YMR285C
OG0000535	snap_masked-kam_s65-processed-gene-0.45-mRNA-1_1&gene=snap_masked-kam_s65-processed-gene-0.45&CDS=1-837	YDR151C, YLR136C
OG0000536	snap_masked-kam_s66-processed-gene-0.88-mRNA-1_1&gene=snap_masked-kam_s66-processed-gene-0.88&CDS=1-1959, snap_masked-kam_s77-processed-gene-0.108-mRNA-1_1&gene=snap_masked-kam_s77-processed-gene-0.108&CDS=1-1413	YNL027W
OG0000537	augustus_masked-kam_s68-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-kam_s68-processed-gene-0.56&CDS=1-507	YKL141W, YMR118C
OG0000538	snap_masked-kam_s7-processed-gene-0.3-mRNA-1_1&gene=snap_masked-kam_s7-processed-gene-0.3&CDS=1-975	YIL117C, YNL058C
OG0000539	genemark-kam_s7-processed-gene-1.5-mRNA-1_1&gene=genemark-kam_s7-processed-gene-1.5&CDS=1-459	YER057C, YIL051C
OG0000540	genemark-kam_s7-processed-gene-1.7-mRNA-1_1&gene=genemark-kam_s7-processed-gene-1.7&CDS=1-339	YER056C-A, YIL052C
OG0000541	snap_masked-kam_s7-processed-gene-1.116-mRNA-1_1&gene=snap_masked-kam_s7-processed-gene-1.116&CDS=1-1353	YAL062W, YOR375C
OG0000542	snap_masked-kam_s7-processed-gene-1.118-mRNA-1_1&gene=snap_masked-kam_s7-processed-gene-1.118&CDS=1-1995	YCR026C, YEL016C
OG0000543	snap_masked-kam_s74-processed-gene-0.17-mRNA-1_1&gene=snap_masked-kam_s74-processed-gene-0.17&CDS=1-255	YDR500C, YLR185W
OG0000544	snap_masked-kam_s74-processed-gene-0.4-mRNA-1_1&gene=snap_masked-kam_s74-processed-gene-0.4&CDS=1-1539	YDR501W, YLR183C
OG0000545	snap_masked-kam_s74-processed-gene-0.9-mRNA-1_1&gene=snap_masked-kam_s74-processed-gene-0.9&CDS=1-2202	YDR505C, YLR177W
OG0000546	snap_masked-kam_s74-processed-gene-1.93-mRNA-1_1&gene=snap_masked-kam_s74-processed-gene-1.93&CDS=1-498	YGR133W, YMR022W
OG0000547	snap_masked-kam_s74-processed-gene-1.88-mRNA-1_1&gene=snap_masked-kam_s74-processed-gene-1.88&CDS=1-1809	YNL299W, YOL115W
OG0000548	snap_masked-kam_s77-processed-gene-0.102-mRNA-1_1&gene=snap_masked-kam_s77-processed-gene-0.102&CDS=1-519	YLR456W, YPR172W
OG0000549	snap_masked-kam_s77-processed-gene-0.118-mRNA-1_1&gene=snap_masked-kam_s77-processed-gene-0.118&CDS=1-1938	YDR146C, YLR131C
OG0000550	snap_masked-kam_s77-processed-gene-0.98-mRNA-1_1&gene=snap_masked-kam_s77-processed-gene-0.98&CDS=1-843	YLR270W, YOR173W
OG0000551	snap_masked-kam_s85-processed-gene-1.2-mRNA-1_1&gene=snap_masked-kam_s85-processed-gene-1.2&CDS=1-357	YER131W, YGL189C
OG0000552	genemark-kam_s85-processed-gene-1.58-mRNA-1_1&gene=genemark-kam_s85-processed-gene-1.58&CDS=1-3507	YDR379W, YOR127W
OG0000553	maker-kam_s85-augustus-gene-1.49-mRNA-1_1&gene=maker-kam_s85-augustus-gene-1.49&CDS=1-2193	YIL156W, YKR098C
OG0000554	snap_masked-kam_s86-processed-gene-0.22-mRNA-1_1&gene=snap_masked-kam_s86-processed-gene-0.22&CDS=1-1275	YDR451C, YML027W
OG0000555		YAL051W, YLL054C, YOR363C
OG0000556	snap_masked-kam_C33418-processed-gene-0.9-mRNA-1_1&gene=snap_masked-kam_C33418-processed-gene-0.9&CDS=1-843	YPR103W
OG0000557	snap_masked-kam_C33418-processed-gene-0.12-mRNA-1_1&gene=snap_masked-kam_C33418-processed-gene-0.12&CDS=1-333	YPR094W
OG0000558	snap_masked-kam_C34164-processed-gene-0.10-mRNA-1_1&gene=snap_masked-kam_C34164-processed-gene-0.10&CDS=1-870	YHR071W
OG0000559	snap_masked-kam_C34164-processed-gene-0.14-mRNA-1_1&gene=snap_masked-kam_C34164-processed-gene-0.14&CDS=1-1203	YKR048C
OG0000560	snap_masked-kam_C34164-processed-gene-0.16-mRNA-1_1&gene=snap_masked-kam_C34164-processed-gene-0.16&CDS=1-975	YKL120W
OG0000561	snap_masked-kam_C34164-processed-gene-0.12-mRNA-1_1&gene=snap_masked-kam_C34164-processed-gene-0.12&CDS=1-2862	YFL024C
OG0000562	snap_masked-kam_s1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.73&CDS=1-711	YPL002C
OG0000563	snap_masked-kam_s1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.74&CDS=1-897	YLR172C
OG0000564	snap_masked-kam_s1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.75&CDS=1-1251	YPL069C
OG0000565	snap_masked-kam_s1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.63&CDS=1-4278	YGR116W
OG0000566	snap_masked-kam_s1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.77&CDS=1-2844	YJL108C
OG0000567	snap_masked-kam_s1-processed-gene-0.78-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.78&CDS=1-1281	YOL022C
OG0000568	augustus_masked-kam_s1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-kam_s1-processed-gene-0.24&CDS=1-3810	YOL023W
OG0000569	snap_masked-kam_s1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.81&CDS=1-711	YDR054C
OG0000570	snap_masked-kam_s1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.65&CDS=1-2970	YFR016C
OG0000571	snap_masked-kam_s1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.66&CDS=1-3669	YJL080C
OG0000572	snap_masked-kam_s1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-0.69&CDS=1-426	YPR100W
OG0000573	maker-kam_s1-augustus-gene-1.4-mRNA-1_1&gene=maker-kam_s1-augustus-gene-1.4&CDS=1-2280	YLL057C
OG0000574	snap_masked-kam_s1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.27&CDS=1-4086	YBL047C
OG0000575	snap_masked-kam_s1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.11&CDS=1-603	YHR089C
OG0000576	snap_masked-kam_s1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.28&CDS=1-1146	YDR336W
OG0000577	snap_masked-kam_s1-processed-gene-1.14-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.14&CDS=1-5412	YKR031C
OG0000578	snap_masked-kam_s1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.15&CDS=1-645	YHR181W
OG0000579	snap_masked-kam_s1-processed-gene-1.30-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.30&CDS=1-1323	YDL006W
OG0000580	snap_masked-kam_s1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.19&CDS=1-900	YKL094W
OG0000581	snap_masked-kam_s1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.20&CDS=1-2130	YDR081C
OG0000582	genemark-kam_s1-processed-gene-1.94-mRNA-1_1&gene=genemark-kam_s1-processed-gene-1.94&CDS=1-294	YDR079W
OG0000583	snap_masked-kam_s1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.22&CDS=1-723	YDR084C
OG0000584	snap_masked-kam_s1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.32&CDS=1-3213	YDR080W
OG0000585	genemark-kam_s1-processed-gene-1.96-mRNA-1_1&gene=genemark-kam_s1-processed-gene-1.96&CDS=1-3645	YDL101C
OG0000586	snap_masked-kam_s1-processed-gene-1.23-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.23&CDS=1-1578	YJL014W
OG0000587	snap_masked-kam_s1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.24&CDS=1-2787	YDL117W
OG0000588	snap_masked-kam_s1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.26&CDS=1-2145	YJL012C
OG0000589	snap_masked-kam_s1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.36&CDS=1-4845	YMR162C
OG0000590	snap_masked-kam_s1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.38&CDS=1-1725	YJL013C
OG0000591	snap_masked-kam_s1-processed-gene-2.98-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.98&CDS=1-1767	YHR188C
OG0000592	snap_masked-kam_s1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.100&CDS=1-846	YHR187W
OG0000593	snap_masked-kam_s1-processed-gene-2.99-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.99&CDS=1-3273	YMR288W
OG0000594	snap_masked-kam_s1-processed-gene-2.101-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.101&CDS=1-708	YHR185C
OG0000595	snap_masked-kam_s1-processed-gene-2.102-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.102&CDS=1-3294	YGR258C
OG0000596	snap_masked-kam_s1-processed-gene-2.103-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.103&CDS=1-2346	YGR261C
OG0000597	snap_masked-kam_s1-processed-gene-2.117-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.117&CDS=1-1200	YPL123C
OG0000598	snap_masked-kam_s1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.118&CDS=1-1341	YER043C
OG0000599	snap_masked-kam_s1-processed-gene-2.125-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.125&CDS=1-1443	YFR044C
OG0000600	snap_masked-kam_s1-processed-gene-2.126-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.126&CDS=1-879	YOR288C
OG0000601	snap_masked-kam_s1-processed-gene-2.129-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.129&CDS=1-1038	YJR100C
OG0000602	snap_masked-kam_s1-processed-gene-2.130-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.130&CDS=1-933	YJR095W
OG0000603	snap_masked-kam_s1-processed-gene-2.131-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.131&CDS=1-1365	YNL237W
OG0000604	snap_masked-kam_s1-processed-gene-2.108-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.108&CDS=1-2550	YNL238W
OG0000605	snap_masked-kam_s1-processed-gene-2.109-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.109&CDS=1-1506	YNL241C
OG0000606	snap_masked-kam_s1-processed-gene-2.110-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.110&CDS=1-2787	YNL049C
OG0000607	snap_masked-kam_s1-processed-gene-2.133-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.133&CDS=1-1266	YNL051W
OG0000608	snap_masked-kam_s1-processed-gene-2.112-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.112&CDS=1-978	YBL033C
OG0000609	snap_masked-kam_s1-processed-gene-2.144-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.144&CDS=1-1110	YLR113W
OG0000610	snap_masked-kam_s1-processed-gene-2.113-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.113&CDS=1-795	YMR077C
OG0000611	snap_masked-kam_s1-processed-gene-2.146-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.146&CDS=1-1017	YGL040C
OG0000612	snap_masked-kam_s1-processed-gene-2.149-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.149&CDS=1-2382	YJL041W
OG0000613	snap_masked-kam_s1-processed-gene-2.150-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.150&CDS=1-744	YKL152C
OG0000614	snap_masked-kam_s1-processed-gene-2.152-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.152&CDS=1-1878	YHL032C
OG0000615	snap_masked-kam_s1-processed-gene-2.153-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-2.153&CDS=1-1431	YDL103C
OG0000616	snap_masked-kam_s103-processed-gene-0.84-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.84&CDS=1-549	YJR074W
OG0000617	snap_masked-kam_s103-processed-gene-0.85-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.85&CDS=1-2136	YKL135C
OG0000618	snap_masked-kam_s103-processed-gene-0.107-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.107&CDS=1-741	YOL135C
OG0000619	snap_masked-kam_s103-processed-gene-0.86-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.86&CDS=1-342	YOL133W
OG0000620	maker-kam_s103-augustus-gene-0.133-mRNA-1_1&gene=maker-kam_s103-augustus-gene-0.133&CDS=1-882	YNL316C
OG0000621	snap_masked-kam_s103-processed-gene-0.109-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.109&CDS=1-462	YIL065C
OG0000622	snap_masked-kam_s103-processed-gene-0.87-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.87&CDS=1-522	YKR065C
OG0000623	snap_masked-kam_s103-processed-gene-0.88-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.88&CDS=1-2991	YIL125W
OG0000624	snap_masked-kam_s103-processed-gene-0.112-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.112&CDS=1-861	YIL124W
OG0000625	snap_masked-kam_s103-processed-gene-0.113-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.113&CDS=1-321	YDR286C
OG0000626	snap_masked-kam_s103-processed-gene-0.94-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.94&CDS=1-1860	YDR208W
OG0000627	genemark-kam_s103-processed-gene-0.70-mRNA-1_1&gene=genemark-kam_s103-processed-gene-0.70&CDS=1-1224	YDL001W
OG0000628	snap_masked-kam_s103-processed-gene-0.95-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.95&CDS=1-7542	YBL004W
OG0000629	snap_masked-kam_s103-processed-gene-0.118-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.118&CDS=1-681	YDL002C
OG0000630	snap_masked-kam_s103-processed-gene-0.120-mRNA-1_1&gene=snap_masked-kam_s103-processed-gene-0.120&CDS=1-525	YER134C
OG0000631	genemark-kam_s103-processed-gene-0.74-mRNA-1_1&gene=genemark-kam_s103-processed-gene-0.74&CDS=1-2475	YJR010W
OG0000632	augustus_masked-kam_s103-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-kam_s103-processed-gene-0.10&CDS=1-1476	YHR183W
