	Candida_orthopsilosis	Saccharomyces_cerevisiae
OG0000526	snap_masked-NC_018292.1-processed-gene-2.81-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-2.81&CDS=1-249	YLR099W-A
OG0000527	genemark-NC_018292.1-processed-gene-2.13-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.13&CDS=1-1635	YDR120C
OG0000528	augustus_masked-NC_018292.1-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-2.110&CDS=1-2361	YGR119C
OG0000529	genemark-NC_018292.1-processed-gene-2.36-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.36&CDS=1-930	YIL145C
OG0000530	genemark-NC_018292.1-processed-gene-2.20-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.20&CDS=1-1008	YKR092C
OG0000531	genemark-NC_018292.1-processed-gene-2.21-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.21&CDS=1-2544	YIL143C
OG0000532	genemark-NC_018292.1-processed-gene-2.38-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.38&CDS=1-2346	YNL126W
OG0000533	genemark-NC_018292.1-processed-gene-2.39-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.39&CDS=1-1755	YDR232W
OG0000534	genemark-NC_018292.1-processed-gene-2.22-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.22&CDS=1-1404	YPR065W
OG0000535	genemark-NC_018292.1-processed-gene-2.40-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.40&CDS=1-1071	YKR071C
OG0000536	snap_masked-NC_018292.1-processed-gene-2.71-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-2.71&CDS=1-2100	YIL144W
OG0000537	genemark-NC_018292.1-processed-gene-2.25-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.25&CDS=1-762	YNL148C
OG0000538	genemark-NC_018292.1-processed-gene-2.26-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.26&CDS=1-378	YNL149C
OG0000539	genemark-NC_018292.1-processed-gene-2.27-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.27&CDS=1-1587	YPR137W
OG0000540	genemark-NC_018292.1-processed-gene-2.43-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.43&CDS=1-723	YNL151C
OG0000541	genemark-NC_018292.1-processed-gene-2.28-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.28&CDS=1-1617	YNL152W
OG0000542	genemark-NC_018292.1-processed-gene-3.36-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.36&CDS=1-1101	YCL055W
OG0000543	snap_masked-NC_018292.1-processed-gene-3.2-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-3.2&CDS=1-2964	YLR188W
OG0000544	genemark-NC_018292.1-processed-gene-3.42-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.42&CDS=1-4818	YLR189C
OG0000545	genemark-NC_018292.1-processed-gene-3.43-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.43&CDS=1-1380	YNL277W
OG0000546	genemark-NC_018292.1-processed-gene-3.45-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.45&CDS=1-2901	YNL023C
OG0000547	genemark-NC_018292.1-processed-gene-3.59-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.59&CDS=1-906	YOR004W
OG0000548	snap_masked-NC_018292.1-processed-gene-3.10-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-3.10&CDS=1-465	YIL027C
OG0000549	genemark-NC_018292.1-processed-gene-3.47-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.47&CDS=1-1104	YER095W
OG0000550	genemark-NC_018292.1-processed-gene-3.48-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.48&CDS=1-2886	YBL066C
OG0000551	genemark-NC_018292.1-processed-gene-3.49-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.49&CDS=1-2739	YGL201C
OG0000552	genemark-NC_018292.1-processed-gene-3.65-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.65&CDS=1-345	YHR116W
OG0000553	genemark-NC_018292.1-processed-gene-3.54-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.54&CDS=1-1662	YPR088C
OG0000554	genemark-NC_018292.1-processed-gene-3.66-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.66&CDS=1-687	YDR167W
OG0000555	snap_masked-NC_018292.1-processed-gene-3.19-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-3.19&CDS=1-4122	YDR128W
OG0000556	genemark-NC_018292.1-processed-gene-3.67-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.67&CDS=1-1035	YLR100W
OG0000557	genemark-NC_018292.1-processed-gene-3.69-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.69&CDS=1-1554	YNL240C
OG0000558	genemark-NC_018292.1-processed-gene-3.70-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.70&CDS=1-1365	YNL237W
OG0000559	genemark-NC_018292.1-processed-gene-3.56-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.56&CDS=1-2604	YNL238W
OG0000560	genemark-NC_018292.1-processed-gene-3.57-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-3.57&CDS=1-2154	YNL272C
OG0000561	snap_masked-NC_018292.1-processed-gene-4.78-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-4.78&CDS=1-3342	YLR067C
OG0000562	genemark-NC_018292.1-processed-gene-4.42-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.42&CDS=1-561	YLR066W
OG0000563	genemark-NC_018292.1-processed-gene-4.48-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.48&CDS=1-3726	YDR097C
OG0000564	genemark-NC_018292.1-processed-gene-4.69-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.69&CDS=1-3708	YBR023C
OG0000565	maker-NC_018292.1-augustus-gene-4.117-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-4.117&CDS=1-3546	YLR069C
OG0000566	genemark-NC_018292.1-processed-gene-4.52-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.52&CDS=1-2313	YNL247W
OG0000567	genemark-NC_018292.1-processed-gene-4.53-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.53&CDS=1-3732	YFL008W
OG0000568	genemark-NC_018292.1-processed-gene-4.73-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.73&CDS=1-3123	YLR336C
OG0000569	genemark-NC_018292.1-processed-gene-4.55-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.55&CDS=1-1104	YGR028W
OG0000570	genemark-NC_018292.1-processed-gene-4.56-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.56&CDS=1-2559	YMR302C
OG0000571	genemark-NC_018292.1-processed-gene-4.74-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.74&CDS=1-1497	YPL020C
OG0000572	genemark-NC_018292.1-processed-gene-4.58-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.58&CDS=1-636	YPL010W
OG0000573	snap_masked-NC_018292.1-processed-gene-4.98-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-4.98&CDS=1-2310	YBR163W
OG0000574	genemark-NC_018292.1-processed-gene-4.61-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.61&CDS=1-1398	YNR001C
OG0000575	genemark-NC_018292.1-processed-gene-4.62-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.62&CDS=1-2958	YPL040C
OG0000576	genemark-NC_018292.1-processed-gene-4.76-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-4.76&CDS=1-1806	YER068W
OG0000577	augustus_masked-NC_018292.1-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-4.22&CDS=1-3594	YIR026C
OG0000578	genemark-NC_018292.1-processed-gene-5.54-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.54&CDS=1-1341	YNL119W
OG0000579	genemark-NC_018292.1-processed-gene-5.55-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.55&CDS=1-1731	YKR016W
OG0000580	genemark-NC_018292.1-processed-gene-5.49-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.49&CDS=1-1842	YMR092C
OG0000581	snap_masked-NC_018292.1-processed-gene-5.112-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-5.112&CDS=1-1827	YMR106C
OG0000582	snap_masked-NC_018292.1-processed-gene-5.118-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-5.118&CDS=1-1110	YMR097C
OG0000583	genemark-NC_018292.1-processed-gene-5.51-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.51&CDS=1-861	YKL110C
OG0000584	snap_masked-NC_018292.1-processed-gene-5.119-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-5.119&CDS=1-741	YKL099C
OG0000585	genemark-NC_018292.1-processed-gene-5.52-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.52&CDS=1-1731	YMR098C
OG0000586	genemark-NC_018292.1-processed-gene-5.58-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.58&CDS=1-1014	YKL108W
OG0000587	snap_masked-NC_018292.1-processed-gene-5.146-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-5.146&CDS=1-1068	YKR023W
OG0000588	snap_masked-NC_018292.1-processed-gene-5.122-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-5.122&CDS=1-1107	YJL106W
OG0000589	maker-NC_018292.1-snap-gene-5.170-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-5.170&CDS=1-954	YGR127W
OG0000590	genemark-NC_018292.1-processed-gene-5.61-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.61&CDS=1-1014	YPR147C
OG0000591	genemark-NC_018292.1-processed-gene-5.66-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.66&CDS=1-1839	YNL227C
OG0000592	genemark-NC_018292.1-processed-gene-5.83-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.83&CDS=1-2205	YNL224C
OG0000593	genemark-NC_018292.1-processed-gene-5.67-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.67&CDS=1-1257	YNL223W
OG0000594	genemark-NC_018292.1-processed-gene-5.68-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.68&CDS=1-660	YNL222W
OG0000595	genemark-NC_018292.1-processed-gene-5.69-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.69&CDS=1-3066	YOL034W
OG0000596	genemark-NC_018292.1-processed-gene-5.85-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.85&CDS=1-1548	YOL033W
OG0000597	genemark-NC_018292.1-processed-gene-5.86-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.86&CDS=1-771	YAL014C
OG0000598	genemark-NC_018292.1-processed-gene-5.72-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.72&CDS=1-2523	YLR309C
OG0000599	genemark-NC_018292.1-processed-gene-5.73-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.73&CDS=1-807	YGL050W
OG0000600	genemark-NC_018292.1-processed-gene-5.74-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.74&CDS=1-1701	YLL018C
OG0000601	genemark-NC_018292.1-processed-gene-5.75-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.75&CDS=1-1005	YGR163W
OG0000602	genemark-NC_018292.1-processed-gene-5.87-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.87&CDS=1-2289	YNL221C
OG0000603	genemark-NC_018292.1-processed-gene-5.88-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.88&CDS=1-2352	YOR112W
OG0000604	genemark-NC_018292.1-processed-gene-5.89-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.89&CDS=1-2649	YOR113W
OG0000605	genemark-NC_018292.1-processed-gene-5.91-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.91&CDS=1-501	YKL056C
OG0000606	genemark-NC_018292.1-processed-gene-5.93-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.93&CDS=1-1230	YOL125W
OG0000607	genemark-NC_018292.1-processed-gene-5.76-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.76&CDS=1-1374	YMR014W
OG0000608	snap_masked-NC_018292.1-processed-gene-5.158-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-5.158&CDS=1-1452	YDR221W
OG0000609	genemark-NC_018292.1-processed-gene-5.95-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.95&CDS=1-738	YKL055C
OG0000610	genemark-NC_018292.1-processed-gene-5.77-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.77&CDS=1-756	YGL106W
OG0000611	genemark-NC_018292.1-processed-gene-5.96-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.96&CDS=1-1179	YNL001W
OG0000612	snap_masked-NC_018292.1-processed-gene-5.160-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-5.160&CDS=1-1077	YBL033C
OG0000613	genemark-NC_018292.1-processed-gene-5.99-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.99&CDS=1-558	YGR029W
OG0000614	genemark-NC_018292.1-processed-gene-5.101-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.101&CDS=1-447	YGL103W
OG0000615	genemark-NC_018292.1-processed-gene-5.78-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.78&CDS=1-1173	YGL105W
OG0000616	genemark-NC_018292.1-processed-gene-5.79-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.79&CDS=1-3087	YIL130W
OG0000617	genemark-NC_018292.1-processed-gene-5.81-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-5.81&CDS=1-891	YGR158C
OG0000618	genemark-NC_018292.1-processed-gene-6.84-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.84&CDS=1-2559	YGR157W
OG0000619	genemark-NC_018292.1-processed-gene-6.87-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.87&CDS=1-375	YNL113W
OG0000620	maker-NC_018292.1-augustus-gene-6.2-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-6.2&CDS=1-3429	YMR269W
OG0000621	augustus_masked-NC_018292.1-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-6.7&CDS=1-2721	YMR268C
OG0000622	snap_masked-NC_018292.1-processed-gene-6.47-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-6.47&CDS=1-3276	YPL160W
OG0000623	genemark-NC_018292.1-processed-gene-6.91-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.91&CDS=1-840	YML105C
OG0000624	genemark-NC_018292.1-processed-gene-6.92-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.92&CDS=1-2301	YER091C
OG0000625	genemark-NC_018292.1-processed-gene-6.93-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.93&CDS=1-1176	YBL058W
OG0000626	genemark-NC_018292.1-processed-gene-6.94-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.94&CDS=1-4383	YER090W
OG0000627	augustus_masked-NC_018292.1-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-6.27&CDS=1-969	YBL057C
OG0000628	genemark-NC_018292.1-processed-gene-6.96-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.96&CDS=1-1125	YBL055C
OG0000629	genemark-NC_018292.1-processed-gene-6.115-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.115&CDS=1-879	YBL050W
OG0000630	augustus_masked-NC_018292.1-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-6.14&CDS=1-588	YJR112W
OG0000631	genemark-NC_018292.1-processed-gene-6.116-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.116&CDS=1-948	YDR337W
OG0000632	genemark-NC_018292.1-processed-gene-6.99-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.99&CDS=1-729	YOR232W
OG0000633	genemark-NC_018292.1-processed-gene-6.100-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.100&CDS=1-1131	YIL094C
OG0000634	snap_masked-NC_018292.1-processed-gene-6.72-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-6.72&CDS=1-1086	YNL035C
OG0000635	genemark-NC_018292.1-processed-gene-6.101-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.101&CDS=1-1950	YNL039W
OG0000636	genemark-NC_018292.1-processed-gene-6.102-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.102&CDS=1-1473	YBL051C
OG0000637	genemark-NC_018292.1-processed-gene-6.121-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.121&CDS=1-3468	YJR109C
OG0000638	genemark-NC_018292.1-processed-gene-6.122-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.122&CDS=1-1593	YER087W
OG0000639	genemark-NC_018292.1-processed-gene-6.103-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.103&CDS=1-3339	YGR125W
OG0000640	genemark-NC_018292.1-processed-gene-6.104-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.104&CDS=1-600	YDL046W
OG0000641	genemark-NC_018292.1-processed-gene-6.124-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.124&CDS=1-2853	YCR017C
OG0000642	maker-NC_018292.1-snap-gene-6.128-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-6.128&CDS=1-1182	YBR039W
OG0000643	genemark-NC_018292.1-processed-gene-6.125-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.125&CDS=1-2019	YER113C
OG0000644	genemark-NC_018292.1-processed-gene-6.126-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-6.126&CDS=1-2196	YBL084C
OG0000645	genemark-NC_018292.1-processed-gene-7.41-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.41&CDS=1-5220	YKL010C
OG0000646	genemark-NC_018292.1-processed-gene-7.42-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.42&CDS=1-777	YKL007W
OG0000647	snap_masked-NC_018292.1-processed-gene-7.95-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-7.95&CDS=1-294	YKL006C-A
OG0000648	genemark-NC_018292.1-processed-gene-7.45-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.45&CDS=1-1572	YHL002W
OG0000649	snap_masked-NC_018292.1-processed-gene-7.92-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-7.92&CDS=1-309	YHL002C-A
OG0000650	genemark-NC_018292.1-processed-gene-7.46-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.46&CDS=1-6393	YJL207C
OG0000651	genemark-NC_018292.1-processed-gene-7.47-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.47&CDS=1-2373	YMR078C
OG0000652	genemark-NC_018292.1-processed-gene-7.65-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.65&CDS=1-1968	YDR365C
OG0000653	genemark-NC_018292.1-processed-gene-7.66-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.66&CDS=1-1833	YOR118W
OG0000654	genemark-NC_018292.1-processed-gene-7.67-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.67&CDS=1-714	YDR367W
OG0000655	genemark-NC_018292.1-processed-gene-7.48-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.48&CDS=1-1425	YOR119C
OG0000656	genemark-NC_018292.1-processed-gene-7.49-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.49&CDS=1-648	YHR110W
OG0000657	genemark-NC_018292.1-processed-gene-7.50-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.50&CDS=1-1299	YHR111W
OG0000658	augustus_masked-NC_018292.1-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-7.10&CDS=1-7923	YCR032W
OG0000659	snap_masked-NC_018292.1-processed-gene-7.120-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-7.120&CDS=1-396	YCR031C
OG0000660	snap_masked-NC_018292.1-processed-gene-7.121-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-7.121&CDS=1-390	YJL190C
OG0000661	genemark-NC_018292.1-processed-gene-7.53-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.53&CDS=1-207	YJL189W
OG0000662	augustus_masked-NC_018292.1-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-7.31&CDS=1-531	YNL044W
OG0000663	augustus_masked-NC_018292.1-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-7.32&CDS=1-1206	YIR011C
OG0000664	genemark-NC_018292.1-processed-gene-7.74-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.74&CDS=1-2073	YPL260W
OG0000665	genemark-NC_018292.1-processed-gene-7.75-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.75&CDS=1-1248	YKL028W
OG0000666	genemark-NC_018292.1-processed-gene-7.76-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.76&CDS=1-474	YCR063W
OG0000667	genemark-NC_018292.1-processed-gene-7.77-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.77&CDS=1-4971	YML103C
OG0000668	genemark-NC_018292.1-processed-gene-7.58-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.58&CDS=1-1302	YMR208W
OG0000669	genemark-NC_018292.1-processed-gene-7.78-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.78&CDS=1-984	YOR271C
OG0000670	genemark-NC_018292.1-processed-gene-7.79-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.79&CDS=1-1590	YMR217W
OG0000671	genemark-NC_018292.1-processed-gene-7.61-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.61&CDS=1-4953	YOR341W
OG0000672	genemark-NC_018292.1-processed-gene-7.80-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.80&CDS=1-654	YAL008W
OG0000673	genemark-NC_018292.1-processed-gene-7.81-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-7.81&CDS=1-480	YIL098C
OG0000674	genemark-NC_018292.1-processed-gene-8.0-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.0&CDS=1-1095	YNL037C
OG0000675	genemark-NC_018292.1-processed-gene-8.1-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.1&CDS=1-1284	YNL220W
OG0000676	genemark-NC_018292.1-processed-gene-8.2-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.2&CDS=1-2352	YKL213C
OG0000677	snap_masked-NC_018292.1-processed-gene-8.42-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-8.42&CDS=1-1854	YKL211C
OG0000678	snap_masked-NC_018292.1-processed-gene-8.43-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-8.43&CDS=1-2910	YKL165C
OG0000679	genemark-NC_018292.1-processed-gene-8.27-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.27&CDS=1-549	YHR148W
OG0000680	genemark-NC_018292.1-processed-gene-8.6-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.6&CDS=1-672	YHR147C
OG0000681	genemark-NC_018292.1-processed-gene-8.7-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.7&CDS=1-831	YGR220C
OG0000682	genemark-NC_018292.1-processed-gene-8.28-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.28&CDS=1-3237	YGR218W
OG0000683	genemark-NC_018292.1-processed-gene-8.10-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.10&CDS=1-1440	YBR003W
OG0000684	genemark-NC_018292.1-processed-gene-8.11-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.11&CDS=1-654	YDR002W
OG0000685	genemark-NC_018292.1-processed-gene-8.12-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.12&CDS=1-3735	YGR233C
OG0000686	genemark-NC_018292.1-processed-gene-8.30-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.30&CDS=1-2079	YDL146W
OG0000687	genemark-NC_018292.1-processed-gene-8.13-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.13&CDS=1-2661	YLR241W
OG0000688	genemark-NC_018292.1-processed-gene-8.21-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.21&CDS=1-825	YOL067C
OG0000689	genemark-NC_018292.1-processed-gene-8.34-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.34&CDS=1-861	YDL045C
OG0000690	genemark-NC_018292.1-processed-gene-8.35-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.35&CDS=1-759	YDL043C
OG0000691	genemark-NC_018292.1-processed-gene-8.22-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.22&CDS=1-2124	YLR182W
OG0000692	genemark-NC_018292.1-processed-gene-8.36-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.36&CDS=1-573	YDR373W
OG0000693	genemark-NC_018292.1-processed-gene-8.23-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.23&CDS=1-462	YOL071W
OG0000694	genemark-NC_018292.1-processed-gene-8.24-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.24&CDS=1-1263	YLR181C
OG0000695	genemark-NC_018292.1-processed-gene-8.37-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-8.37&CDS=1-2736	YCR057C
OG0000696	snap_masked-NC_018292.1-processed-gene-8.77-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-8.77&CDS=1-855	YCR059C
OG0000697	genemark-NC_018292.1-processed-gene-9.94-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.94&CDS=1-1248	YOL058W
OG0000698	genemark-NC_018292.1-processed-gene-9.99-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.99&CDS=1-1344	YER051W
OG0000699	maker-NC_018292.1-augustus-gene-9.145-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-9.145&CDS=1-2496	YDL167C
OG0000700	augustus_masked-NC_018292.1-processed-gene-9.6-mRNA-1_1&gene=augustus_masked-NC_018292.1-processed-gene-9.6&CDS=1-2418	YDR390C
OG0000701	genemark-NC_018292.1-processed-gene-9.104-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.104&CDS=1-378	YOR122C
OG0000702	maker-NC_018292.1-snap-gene-9.141-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-9.141&CDS=1-2352	YIR004W
OG0000703	snap_masked-NC_018292.1-processed-gene-9.55-mRNA-1_1&gene=snap_masked-NC_018292.1-processed-gene-9.55&CDS=1-1884	YNL045W
OG0000704	genemark-NC_018292.1-processed-gene-9.108-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.108&CDS=1-1071	YIL110W
OG0000705	genemark-NC_018292.1-processed-gene-9.122-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-9.122&CDS=1-1443	YBL103C
