	Metschnikowia_matae	Saccharomyces_cerevisiae
OG0000517	genemark-mat-_s574-processed-gene-0.13-mRNA-1_1&gene=genemark-mat-_s574-processed-gene-0.13&CDS=1-1068	YER045C, YIL036W
OG0000518	snap_masked-mat-_s574-processed-gene-0.72-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.72&CDS=1-3399	YGR238C, YHR158C
OG0000519	maker-mat-_s682-augustus-gene-0.34-mRNA-1_1&gene=maker-mat-_s682-augustus-gene-0.34&CDS=1-1884, snap_masked-mat-_s574-processed-gene-0.74-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.74&CDS=1-1773	YNL104C
OG0000520	snap_masked-mat-_s574-processed-gene-0.75-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.75&CDS=1-600	YIL133C, YNL069C
OG0000521	augustus_masked-mat-_s580-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mat-_s580-processed-gene-0.15&CDS=1-3207, snap_masked-mat-_s677-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mat-_s677-processed-gene-0.19&CDS=1-384	YFR016C
OG0000522	snap_masked-mat-_s587-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_s587-processed-gene-0.0&CDS=1-360	YGR243W, YHR162W
OG0000523	snap_masked-mat-_s587-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_s587-processed-gene-0.5&CDS=1-2394	YMR119W, YNL008C
OG0000524	augustus_masked-mat-_s591-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-0.18&CDS=1-618, genemark-mat-_s706-processed-gene-0.28-mRNA-1_1&gene=genemark-mat-_s706-processed-gene-0.28&CDS=1-396	YJL030W
OG0000525	snap_masked-mat-_s591-processed-gene-1.55-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.55&CDS=1-390	YBL003C, YDR225W
OG0000526	augustus_masked-mat-_s591-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-1.0&CDS=1-390	YBL002W, YDR224C
OG0000527	snap_masked-mat-_s591-processed-gene-1.65-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.65&CDS=1-891	YHR198C, YHR199C
OG0000528	snap_masked-mat-_s591-processed-gene-1.99-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.99&CDS=1-1581	YLL012W, YLR020C
OG0000529	snap_masked-mat-_s591-processed-gene-1.101-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.101&CDS=1-975	YJL133W, YKR052C
OG0000530	snap_masked-mat-_s591-processed-gene-1.79-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.79&CDS=1-2976	YGL049C, YGR162W
OG0000531	snap_masked-mat-_s591-processed-gene-1.83-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.83&CDS=1-1500	YBR218C, YGL062W
OG0000532	snap_masked-mat-_s595-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mat-_s595-processed-gene-0.3&CDS=1-717	YDR259C, YOR028C
OG0000533	genemark-mat-_s6-processed-gene-0.130-mRNA-1_1&gene=genemark-mat-_s6-processed-gene-0.130&CDS=1-2730	YKL132C, YMR113W
OG0000534	genemark-mat-_s6-processed-gene-0.132-mRNA-1_1&gene=genemark-mat-_s6-processed-gene-0.132&CDS=1-2457	YDR069C, YER144C
OG0000535	snap_masked-mat-_s6-processed-gene-0.70-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.70&CDS=1-1827, snap_masked-mat-_s641-processed-gene-0.227-mRNA-1_1&gene=snap_masked-mat-_s641-processed-gene-0.227&CDS=1-1596	YLR248W
OG0000536	snap_masked-mat-_s6-processed-gene-0.105-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.105&CDS=1-1197	YBR066C, YDR043C
OG0000537	snap_masked-mat-_s6-processed-gene-0.108-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.108&CDS=1-1533	YJR054W, YML047C
OG0000538	snap_masked-mat-_s606-processed-gene-0.116-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.116&CDS=1-588	YDR453C, YML028W
OG0000539	snap_masked-mat-_s606-processed-gene-0.82-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.82&CDS=1-678	YDR185C, YLR168C
OG0000540	snap_masked-mat-_s606-processed-gene-0.91-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.91&CDS=1-1533	YDR200C, YLR238W
OG0000541	augustus_masked-mat-_s606-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-mat-_s606-processed-gene-0.57&CDS=1-390, maker-mat-_s668-snap-gene-0.19-mRNA-1_1&gene=maker-mat-_s668-snap-gene-0.19&CDS=1-390	YJL190C
OG0000542	snap_masked-mat-_s606-processed-gene-0.134-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.134&CDS=1-1347, snap_masked-mat-_s66-processed-gene-0.56-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-0.56&CDS=1-1377	YBR028C
OG0000543	augustus_masked-mat-_s606-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-mat-_s606-processed-gene-0.38&CDS=1-369	YHR132W-A, YNL157W
OG0000544	augustus_masked-mat-_s607-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mat-_s607-processed-gene-0.20&CDS=1-2919	YJL084C, YKR021W
OG0000545	snap_masked-mat-_s612-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s612-processed-gene-0.2&CDS=1-414	YER057C, YIL051C
OG0000546	snap_masked-mat-_s612-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mat-_s612-processed-gene-0.3&CDS=1-912	YER037W, YGL224C
OG0000547	snap_masked-mat-_s612-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mat-_s612-processed-gene-0.4&CDS=1-312	YER056C-A, YIL052C
OG0000548	snap_masked-mat-_s633-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_s633-processed-gene-0.7&CDS=1-435	YGR118W, YPR132W
OG0000549	augustus_masked-mat-_s84-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-mat-_s84-processed-gene-0.101&CDS=1-1116, snap_masked-mat-_s639-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mat-_s639-processed-gene-0.6&CDS=1-1101	YBL016W
OG0000550	snap_masked-mat-_s641-processed-gene-0.177-mRNA-1_1&gene=snap_masked-mat-_s641-processed-gene-0.177&CDS=1-894	YBR104W, YPR058W
OG0000551	snap_masked-mat-_s641-processed-gene-0.218-mRNA-1_1&gene=snap_masked-mat-_s641-processed-gene-0.218&CDS=1-1731	YCR048W, YNR019W
OG0000552	snap_masked-mat-_s641-processed-gene-0.243-mRNA-1_1&gene=snap_masked-mat-_s641-processed-gene-0.243&CDS=1-1437	YGR121C, YPR138C
OG0000553	augustus_masked-mat-_s650-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_s650-processed-gene-0.1&CDS=1-3603	YHR155W, YNL257C
OG0000554	snap_masked-mat-_s657-processed-gene-0.11-mRNA-1_1&gene=snap_masked-mat-_s657-processed-gene-0.11&CDS=1-2124	YKL050C, YMR031C
OG0000555	augustus_masked-mat-_s81-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mat-_s81-processed-gene-0.3&CDS=1-840, snap_masked-mat-_s66-processed-gene-0.62-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-0.62&CDS=1-4776	YGR098C
OG0000556	augustus_masked-mat-_s66-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-mat-_s66-processed-gene-0.103&CDS=1-3366, snap_masked-mat-_s71-processed-gene-0.59-mRNA-1_1&gene=snap_masked-mat-_s71-processed-gene-0.59&CDS=1-2676	YDR490C
OG0000557	snap_masked-mat-_s66-processed-gene-0.71-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-0.71&CDS=1-7608	YBR140C, YOL081W
OG0000558	genemark-mat-_s66-processed-gene-1.136-mRNA-1_1&gene=genemark-mat-_s66-processed-gene-1.136&CDS=1-3765	YBR079C, YCR036W
OG0000559	genemark-mat-_s66-processed-gene-1.118-mRNA-1_1&gene=genemark-mat-_s66-processed-gene-1.118&CDS=1-573	YBL027W, YBR084C-A
OG0000560	snap_masked-mat-_s66-processed-gene-1.102-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-1.102&CDS=1-1260	YDR132C, YLR108C
OG0000561	snap_masked-mat-_s66-processed-gene-1.82-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-1.82&CDS=1-2529	YBR033W, YKL038W
OG0000562	snap_masked-mat-_s66-processed-gene-2.112-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-2.112&CDS=1-1911	YDR107C, YLR083C
OG0000563	snap_masked-mat-_s664-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s664-processed-gene-0.2&CDS=1-1269	YDR300C, YHR033W
OG0000564	snap_masked-mat-_s67-processed-gene-0.85-mRNA-1_1&gene=snap_masked-mat-_s67-processed-gene-0.85&CDS=1-591	YER067W, YIL057C
OG0000565	augustus_masked-mat-_s67-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-mat-_s67-processed-gene-1.72&CDS=1-534	YOR226C, YPL135W
OG0000566	augustus_masked-mat-_s9-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_s9-processed-gene-0.1&CDS=1-1176, snap_masked-mat-_s682-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mat-_s682-processed-gene-0.42&CDS=1-2094	YPL072W
OG0000567	snap_masked-mat-_s682-processed-gene-0.44-mRNA-1_1&gene=snap_masked-mat-_s682-processed-gene-0.44&CDS=1-546	YBR005W, YDR003W
OG0000568	augustus_masked-mat-_s689-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-mat-_s689-processed-gene-0.105&CDS=1-819	YAL018C, YOL048C
OG0000569	snap_masked-mat-_s691-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mat-_s691-processed-gene-0.20&CDS=1-591	YGL096W, YPL177C
OG0000570	snap_masked-mat-_s695-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_s695-processed-gene-0.7&CDS=1-516	YGR085C, YPR102C
OG0000571	snap_masked-mat-_s7-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mat-_s7-processed-gene-0.48&CDS=1-255	YDR500C, YLR185W
OG0000572	augustus_masked-mat-_s7-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_s7-processed-gene-0.1&CDS=1-1656	YDR501W, YLR183C
OG0000573	snap_masked-mat-_s7-processed-gene-0.35-mRNA-1_1&gene=snap_masked-mat-_s7-processed-gene-0.35&CDS=1-1998	YDR505C, YLR177W
OG0000574	snap_masked-mat-_s703-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mat-_s703-processed-gene-0.14&CDS=1-2832	YDR458C, YML034W
OG0000575	snap_masked-mat-_s706-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mat-_s706-processed-gene-0.17&CDS=1-1794	YDR497C, YOL103W
OG0000576	snap_masked-mat-_s71-processed-gene-0.46-mRNA-1_1&gene=snap_masked-mat-_s71-processed-gene-0.46&CDS=1-4074	YGR070W, YLR371W
OG0000577	snap_masked-mat-_s71-processed-gene-0.49-mRNA-1_1&gene=snap_masked-mat-_s71-processed-gene-0.49&CDS=1-1446	YDL048C, YLR375W
OG0000578	snap_masked-mat-_s71-processed-gene-0.57-mRNA-1_1&gene=snap_masked-mat-_s71-processed-gene-0.57&CDS=1-3192	YBL106C, YPR032W
OG0000579	maker-mat-_s714-snap-gene-0.49-mRNA-1_1&gene=maker-mat-_s714-snap-gene-0.49&CDS=1-1365	YCL011C, YNL004W
OG0000580	snap_masked-mat-_s732-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s732-processed-gene-0.2&CDS=1-561	YNL096C, YOR096W
OG0000581	snap_masked-mat-_s734-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mat-_s734-processed-gene-0.21&CDS=1-870	YBR183W, YPL087W
OG0000582	snap_masked-mat-_s734-processed-gene-0.32-mRNA-1_1&gene=snap_masked-mat-_s734-processed-gene-0.32&CDS=1-900	YGL162W, YPR009W
OG0000583	snap_masked-mat-_s744-processed-gene-0.50-mRNA-1_1&gene=snap_masked-mat-_s744-processed-gene-0.50&CDS=1-1233	YLR300W, YOR190W
OG0000584	snap_masked-mat-_s744-processed-gene-0.51-mRNA-1_1&gene=snap_masked-mat-_s744-processed-gene-0.51&CDS=1-591	YDL082W, YMR142C
OG0000585	snap_masked-mat-_s744-processed-gene-0.43-mRNA-1_1&gene=snap_masked-mat-_s744-processed-gene-0.43&CDS=1-426	YDL083C, YMR143W
OG0000586	maker-mat-_s745-snap-gene-0.2-mRNA-1_1&gene=maker-mat-_s745-snap-gene-0.2&CDS=1-666	YMR233W, YOR295W
OG0000587	snap_masked-mat-_s746-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mat-_s746-processed-gene-0.14&CDS=1-321	YER019C-A, YER087C-B
OG0000588	snap_masked-mat-_s749-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s749-processed-gene-0.2&CDS=1-876	YFL059W, YNL333W
OG0000589	snap_masked-mat-_s757-processed-gene-0.74-mRNA-1_1&gene=snap_masked-mat-_s757-processed-gene-0.74&CDS=1-651	YGL135W, YPL220W
OG0000590	augustus_masked-mat-_s98-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mat-_s98-processed-gene-0.7&CDS=1-498, snap_masked-mat-_s757-processed-gene-0.83-mRNA-1_1&gene=snap_masked-mat-_s757-processed-gene-0.83&CDS=1-2901	YGR047C
OG0000591	snap_masked-mat-_s757-processed-gene-0.91-mRNA-1_1&gene=snap_masked-mat-_s757-processed-gene-0.91&CDS=1-1626	YNL293W, YOL112W
OG0000592	snap_masked-mat-_s757-processed-gene-0.94-mRNA-1_1&gene=snap_masked-mat-_s757-processed-gene-0.94&CDS=1-1038	YEL006W, YIL006W
OG0000593	snap_masked-mat-_s757-processed-gene-0.130-mRNA-1_1&gene=snap_masked-mat-_s757-processed-gene-0.130&CDS=1-2436	YFL004W, YPL019C
OG0000594	genemark-mat-_s84-processed-gene-0.2-mRNA-1_1&gene=genemark-mat-_s84-processed-gene-0.2&CDS=1-2202	YDR146C, YLR131C
OG0000595	snap_masked-mat-_s9-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mat-_s9-processed-gene-0.28&CDS=1-852	YMR222C, YOR280C
OG0000596	snap_masked-mat-_s90-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mat-_s90-processed-gene-0.29&CDS=1-1011	YBR161W, YPL057C
OG0000597	genemark-mat-_s91-processed-gene-0.26-mRNA-1_1&gene=genemark-mat-_s91-processed-gene-0.26&CDS=1-738, maker-mat-_s90-snap-gene-0.16-mRNA-1_1&gene=maker-mat-_s90-snap-gene-0.16&CDS=1-1827	YBR248C
OG0000598	snap_masked-mat-_s91-processed-gene-0.16-mRNA-1_1&gene=snap_masked-mat-_s91-processed-gene-0.16&CDS=1-588	YPR013C, YPR015C
OG0000599	augustus_masked-mat-_s94-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_s94-processed-gene-0.2&CDS=1-756	YGR027C, YLR333C
OG0000600	genemark-mat-_s94-processed-gene-0.140-mRNA-1_1&gene=genemark-mat-_s94-processed-gene-0.140&CDS=1-1920	YHR131C, YNL144C
OG0000601	snap_masked-mat-_s94-processed-gene-0.90-mRNA-1_1&gene=snap_masked-mat-_s94-processed-gene-0.90&CDS=1-3930	YLL016W, YLR310C
OG0000602	maker-mat-_s94-augustus-gene-0.112-mRNA-1_1&gene=maker-mat-_s94-augustus-gene-0.112&CDS=1-5322	YEL022W, YJR031C
OG0000603	snap_masked-mat-_s94-processed-gene-0.65-mRNA-1_1&gene=snap_masked-mat-_s94-processed-gene-0.65&CDS=1-1806	YDL224C, YNL197C
OG0000604	maker-mat-_s95-snap-gene-0.14-mRNA-1_1&gene=maker-mat-_s95-snap-gene-0.14&CDS=1-1182	YNL108C, YOR110W
OG0000605	augustus_masked-mat-_s96-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-mat-_s96-processed-gene-0.30&CDS=1-1434	YML118W, YMR285C
OG0000606		YCR102C, YLR460C, YNL134C
OG0000607	augustus_masked-mat-_C36181-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_C36181-processed-gene-0.2&CDS=1-549	YIR027C
OG0000608	snap_masked-mat-_C37381-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_C37381-processed-gene-0.0&CDS=1-729	YBL051C
OG0000609	snap_masked-mat-_C39099-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_C39099-processed-gene-0.0&CDS=1-642	YDR167W
OG0000610	snap_masked-mat-_C39583-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mat-_C39583-processed-gene-0.1&CDS=1-375	YEL026W
OG0000611	snap_masked-mat-_C42615-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mat-_C42615-processed-gene-0.1&CDS=1-1332	YNR050C
OG0000612	snap_masked-mat-_C42663-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mat-_C42663-processed-gene-0.1&CDS=1-1827	YER036C
OG0000613	augustus_masked-mat-_C43305-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mat-_C43305-processed-gene-0.4&CDS=1-693	YBR040W
OG0000614	snap_masked-mat-_C43305-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mat-_C43305-processed-gene-0.1&CDS=1-1248	YBR042C
OG0000615	snap_masked-mat-_C43411-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_C43411-processed-gene-0.2&CDS=1-822	YNL252C
OG0000616	snap_masked-mat-_C43411-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mat-_C43411-processed-gene-0.3&CDS=1-1242	YAL042W
OG0000617	augustus_masked-mat-_C43417-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_C43417-processed-gene-0.1&CDS=1-576	YIL127C
OG0000618	snap_masked-mat-_C43603-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mat-_C43603-processed-gene-0.3&CDS=1-723	YDR279W
OG0000619	snap_masked-mat-_C43603-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_C43603-processed-gene-0.5&CDS=1-915	YDR280W
OG0000620	augustus_masked-mat-_C43707-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_C43707-processed-gene-0.2&CDS=1-480	YPL234C
OG0000621	snap_masked-mat-_C43807-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_C43807-processed-gene-0.5&CDS=1-1833	YMR036C
OG0000622	snap_masked-mat-_C44031-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_C44031-processed-gene-0.2&CDS=1-3141	YGR094W
OG0000623	augustus_masked-mat-_C44215-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_C44215-processed-gene-0.1&CDS=1-4461	YOL004W
OG0000624	snap_masked-mat-_C44215-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_C44215-processed-gene-0.7&CDS=1-354	YOL005C
OG0000625	snap_masked-mat-_C44309-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_C44309-processed-gene-0.0&CDS=1-7302	YHR165C
OG0000626	snap_masked-mat-_C44687-processed-gene-0.9-mRNA-1_1&gene=snap_masked-mat-_C44687-processed-gene-0.9&CDS=1-1638	YOR355W
OG0000627	augustus_masked-mat-_C44687-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mat-_C44687-processed-gene-0.1&CDS=1-2070	YOR356W
OG0000628	snap_masked-mat-_C44687-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mat-_C44687-processed-gene-0.12&CDS=1-2364	YAL041W
OG0000629	snap_masked-mat-_C44985-processed-gene-0.13-mRNA-1_1&gene=snap_masked-mat-_C44985-processed-gene-0.13&CDS=1-597	YKL001C
OG0000630	snap_masked-mat-_C44985-processed-gene-0.9-mRNA-1_1&gene=snap_masked-mat-_C44985-processed-gene-0.9&CDS=1-915	YAR015W
OG0000631	snap_masked-mat-_C44985-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mat-_C44985-processed-gene-0.14&CDS=1-1899	YAR018C
OG0000632	snap_masked-mat-_C45125-processed-gene-0.26-mRNA-1_1&gene=snap_masked-mat-_C45125-processed-gene-0.26&CDS=1-678	YOR283W
OG0000633	augustus_masked-mat-_C45125-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-mat-_C45125-processed-gene-0.44&CDS=1-1737	YNL115C
OG0000634	snap_masked-mat-_C45125-processed-gene-0.22-mRNA-1_1&gene=snap_masked-mat-_C45125-processed-gene-0.22&CDS=1-1005	YGL212W
OG0000635	snap_masked-mat-_C45125-processed-gene-0.30-mRNA-1_1&gene=snap_masked-mat-_C45125-processed-gene-0.30&CDS=1-1299	YER152C
OG0000636	snap_masked-mat-_C45125-processed-gene-0.31-mRNA-1_1&gene=snap_masked-mat-_C45125-processed-gene-0.31&CDS=1-1461	YNL206C
OG0000637	augustus_masked-mat-_s1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-mat-_s1-processed-gene-0.40&CDS=1-1875	YPR141C
OG0000638	snap_masked-mat-_s1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-mat-_s1-processed-gene-0.30&CDS=1-1200	YPR140W
OG0000639	snap_masked-mat-_s1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mat-_s1-processed-gene-0.23&CDS=1-1737	YGR103W
OG0000640	snap_masked-mat-_s1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-mat-_s1-processed-gene-0.24&CDS=1-1044	YOL073C
OG0000641	augustus_masked-mat-_s1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-mat-_s1-processed-gene-0.50&CDS=1-558	YGR078C
OG0000642	augustus_masked-mat-_s1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-mat-_s1-processed-gene-0.51&CDS=1-2187	YLR274W
OG0000643	snap_masked-mat-_s10-processed-gene-0.49-mRNA-1_1&gene=snap_masked-mat-_s10-processed-gene-0.49&CDS=1-1455	YHR113W
OG0000644	augustus_masked-mat-_s10-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mat-_s10-processed-gene-0.10&CDS=1-1614	YBL103C
OG0000645	augustus_masked-mat-_s10-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mat-_s10-processed-gene-0.11&CDS=1-1644	YOR119C
OG0000646	snap_masked-mat-_s10-processed-gene-0.40-mRNA-1_1&gene=snap_masked-mat-_s10-processed-gene-0.40&CDS=1-675	YDR367W
OG0000647	snap_masked-mat-_s10-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mat-_s10-processed-gene-0.41&CDS=1-2127	YOR118W
OG0000648	snap_masked-mat-_s10-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mat-_s10-processed-gene-0.42&CDS=1-2049	YDR365C
OG0000649	snap_masked-mat-_s10-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mat-_s10-processed-gene-0.45&CDS=1-639	YHR110W
OG0000650	snap_masked-mat-_s10-processed-gene-0.56-mRNA-1_1&gene=snap_masked-mat-_s10-processed-gene-0.56&CDS=1-1314	YDR448W
OG0000651	snap_masked-mat-_s10-processed-gene-0.58-mRNA-1_1&gene=snap_masked-mat-_s10-processed-gene-0.58&CDS=1-531	YDL219W
OG0000652	snap_masked-mat-_s10-processed-gene-0.59-mRNA-1_1&gene=snap_masked-mat-_s10-processed-gene-0.59&CDS=1-1464	YHR132C
OG0000653	snap_masked-mat-_s10-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mat-_s10-processed-gene-0.60&CDS=1-672	YHR140W
OG0000654	snap_masked-mat-_s101-processed-gene-0.182-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.182&CDS=1-1782	YGL119W
OG0000655	snap_masked-mat-_s101-processed-gene-0.183-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.183&CDS=1-3045	YGL140C
OG0000656	snap_masked-mat-_s101-processed-gene-0.184-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.184&CDS=1-1656	YNL083W
OG0000657	snap_masked-mat-_s101-processed-gene-0.185-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.185&CDS=1-2715	YNL082W
OG0000658	snap_masked-mat-_s101-processed-gene-0.188-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.188&CDS=1-1143	YNL092W
OG0000659	snap_masked-mat-_s101-processed-gene-0.189-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.189&CDS=1-639	YOR089C
OG0000660	augustus_masked-mat-_s101-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-mat-_s101-processed-gene-0.110&CDS=1-1236	YDL230W
OG0000661	snap_masked-mat-_s101-processed-gene-0.232-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.232&CDS=1-1239	YNL207W
OG0000662	augustus_masked-mat-_s101-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-mat-_s101-processed-gene-0.148&CDS=1-2232	YNL118C
OG0000663	snap_masked-mat-_s101-processed-gene-0.194-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.194&CDS=1-843	YLR393W
OG0000664	snap_masked-mat-_s101-processed-gene-0.196-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.196&CDS=1-1689	YOR090C
OG0000665	snap_masked-mat-_s101-processed-gene-0.197-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.197&CDS=1-3636	YLR398C
OG0000666	augustus_masked-mat-_s101-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-mat-_s101-processed-gene-0.117&CDS=1-2295	YLR397C
OG0000667	augustus_masked-mat-_s101-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-mat-_s101-processed-gene-0.150&CDS=1-879	YDL065C
OG0000668	snap_masked-mat-_s101-processed-gene-0.200-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.200&CDS=1-474	YDL064W
OG0000669	snap_masked-mat-_s101-processed-gene-0.236-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.236&CDS=1-1362	YJL155C
OG0000670	snap_masked-mat-_s101-processed-gene-0.201-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.201&CDS=1-2331	YJL156C
OG0000671	snap_masked-mat-_s101-processed-gene-0.237-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.237&CDS=1-1917	YDL063C
OG0000672	maker-mat-_s101-snap-gene-0.10-mRNA-1_1&gene=maker-mat-_s101-snap-gene-0.10&CDS=1-273	YLR390W
OG0000673	maker-mat-_s101-augustus-gene-0.1-mRNA-1_1&gene=maker-mat-_s101-augustus-gene-0.1&CDS=1-3633	YDL060W
OG0000674	snap_masked-mat-_s101-processed-gene-0.205-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.205&CDS=1-2832	YLR386W
OG0000675	snap_masked-mat-_s101-processed-gene-0.206-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.206&CDS=1-1470	YDR376W
OG0000676	snap_masked-mat-_s101-processed-gene-0.241-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.241&CDS=1-984	YJR107W
OG0000677	snap_masked-mat-_s101-processed-gene-0.242-mRNA-1_1&gene=snap_masked-mat-_s101-processed-gene-0.242&CDS=1-255	YKL053C-A
