	Kuraishia_capsulata	Saccharomyces_cerevisiae
OG0000238	genemark-HG793126-processed-gene-16.173-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.173&CDS=1-858	YDL088C, YMR153W
OG0000239	snap_masked-HG793127-processed-gene-0.93-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-0.93&CDS=1-2109	YBR216C, YGL060W
OG0000240	genemark-HG793127-processed-gene-1.95-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.95&CDS=1-1485, genemark-HG793131-processed-gene-1.97-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.97&CDS=1-1512	YBR006W
OG0000241	genemark-HG793127-processed-gene-1.107-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.107&CDS=1-2349	YJR059W, YKL198C
OG0000242	genemark-HG793127-processed-gene-1.110-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.110&CDS=1-1428, snap_masked-HG793128-processed-gene-8.93-mRNA-1_1&gene=snap_masked-HG793128-processed-gene-8.93&CDS=1-1332	YHR137W
OG0000243	genemark-HG793127-processed-gene-1.112-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.112&CDS=1-921, genemark-HG793130-processed-gene-0.106-mRNA-1_1&gene=genemark-HG793130-processed-gene-0.106&CDS=1-921	YBR149W
OG0000244	genemark-HG793127-processed-gene-1.135-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.135&CDS=1-3948, genemark-HG793127-processed-gene-5.17-mRNA-1_1&gene=genemark-HG793127-processed-gene-5.17&CDS=1-3990	YKL215C
OG0000245	snap_masked-HG793127-processed-gene-1.90-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-1.90&CDS=1-2769	YJR091C, YPR042C
OG0000246	augustus_masked-HG793127-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-1.28&CDS=1-345	YJR094W-A, YPR043W
OG0000247	genemark-HG793127-processed-gene-2.132-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.132&CDS=1-906	YLR270W, YOR173W
OG0000248	genemark-HG793127-processed-gene-2.133-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.133&CDS=1-777	YLR287C-A, YOR182C
OG0000249	genemark-HG793127-processed-gene-2.142-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.142&CDS=1-510	YGR131W, YPR149W
OG0000250	genemark-HG793127-processed-gene-3.132-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.132&CDS=1-1374	YDR277C, YOR047C
OG0000251	genemark-HG793127-processed-gene-3.115-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.115&CDS=1-990	YEL006W, YIL006W
OG0000252	genemark-HG793127-processed-gene-4.106-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.106&CDS=1-1710, genemark-HG793131-processed-gene-1.108-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.108&CDS=1-1791	YNL104C
OG0000253	genemark-HG793127-processed-gene-6.39-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.39&CDS=1-1494	YBR214W, YGL056C
OG0000254	genemark-HG793127-processed-gene-6.16-mRNA-1_1&gene=genemark-HG793127-processed-gene-6.16&CDS=1-843	YLR284C, YOR180C
OG0000255	augustus_masked-HG793127-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-7.93&CDS=1-810, genemark-HG793127-processed-gene-10.123-mRNA-1_1&gene=genemark-HG793127-processed-gene-10.123&CDS=1-1041	YPR086W
OG0000256	genemark-HG793127-processed-gene-7.15-mRNA-1_1&gene=genemark-HG793127-processed-gene-7.15&CDS=1-1371	YDR348C, YHR097C
OG0000257	maker-HG793127-snap-gene-7.60-mRNA-1_1&gene=maker-HG793127-snap-gene-7.60&CDS=1-2781	YBR205W, YOR099W
OG0000258	genemark-HG793127-processed-gene-9.8-mRNA-1_1&gene=genemark-HG793127-processed-gene-9.8&CDS=1-1395, genemark-HG793130-processed-gene-8.130-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.130&CDS=1-1509	YKL221W
OG0000259	maker-HG793127-augustus-gene-9.46-mRNA-1_1&gene=maker-HG793127-augustus-gene-9.46&CDS=1-321	YOR234C, YPL143W
OG0000260	snap_masked-HG793127-processed-gene-9.123-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-9.123&CDS=1-1404	YBR273C, YJL048C
OG0000261	augustus_masked-HG793127-processed-gene-10.5-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-10.5&CDS=1-1761	YDR223W, YLR223C
OG0000262	genemark-HG793127-processed-gene-10.106-mRNA-1_1&gene=genemark-HG793127-processed-gene-10.106&CDS=1-1773	YDR263C, YOR033C
OG0000263	genemark-HG793127-processed-gene-10.135-mRNA-1_1&gene=genemark-HG793127-processed-gene-10.135&CDS=1-2148	YDR264C, YOR034C
OG0000264	genemark-HG793127-processed-gene-11.7-mRNA-1_1&gene=genemark-HG793127-processed-gene-11.7&CDS=1-3360	YHR155W, YNL257C
OG0000265	genemark-HG793127-processed-gene-11.34-mRNA-1_1&gene=genemark-HG793127-processed-gene-11.34&CDS=1-1617	YDR505C, YLR177W
OG0000266	maker-HG793127-snap-gene-12.147-mRNA-1_1&gene=maker-HG793127-snap-gene-12.147&CDS=1-2439	YDR502C, YLR180W
OG0000267	genemark-HG793127-processed-gene-12.86-mRNA-1_1&gene=genemark-HG793127-processed-gene-12.86&CDS=1-243	YDR500C, YLR185W
OG0000268	genemark-HG793127-processed-gene-12.100-mRNA-1_1&gene=genemark-HG793127-processed-gene-12.100&CDS=1-1065	YCL050C, YDR530C
OG0000269	augustus_masked-HG793127-processed-gene-12.30-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-12.30&CDS=1-1608	YCL051W, YDR528W
OG0000270	genemark-HG793127-processed-gene-13.143-mRNA-1_1&gene=genemark-HG793127-processed-gene-13.143&CDS=1-1656	YHR131C, YNL144C
OG0000271	genemark-HG793127-processed-gene-14.107-mRNA-1_1&gene=genemark-HG793127-processed-gene-14.107&CDS=1-327	YGR027C, YLR333C
OG0000272	genemark-HG793127-processed-gene-14.128-mRNA-1_1&gene=genemark-HG793127-processed-gene-14.128&CDS=1-1287	YOR237W, YPL145C
OG0000273	genemark-HG793127-processed-gene-14.154-mRNA-1_1&gene=genemark-HG793127-processed-gene-14.154&CDS=1-4413	YCR073C, YNR031C
OG0000274	augustus_masked-HG793127-processed-gene-15.5-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-15.5&CDS=1-1599	YJR054W, YML047C
OG0000275	genemark-HG793127-processed-gene-15.133-mRNA-1_1&gene=genemark-HG793127-processed-gene-15.133&CDS=1-1464, genemark-HG793128-processed-gene-0.66-mRNA-1_1&gene=genemark-HG793128-processed-gene-0.66&CDS=1-1377	YMR020W
OG0000276	genemark-HG793127-processed-gene-15.190-mRNA-1_1&gene=genemark-HG793127-processed-gene-15.190&CDS=1-921	YDL222C, YNL194C
OG0000277	genemark-HG793127-processed-gene-15.193-mRNA-1_1&gene=genemark-HG793127-processed-gene-15.193&CDS=1-1431, genemark-HG793130-processed-gene-0.135-mRNA-1_1&gene=genemark-HG793130-processed-gene-0.135&CDS=1-1395	YKL140W
OG0000278	genemark-HG793127-processed-gene-15.200-mRNA-1_1&gene=genemark-HG793127-processed-gene-15.200&CDS=1-522	YER067W, YIL057C
OG0000279	snap_masked-HG793128-processed-gene-0.43-mRNA-1_1&gene=snap_masked-HG793128-processed-gene-0.43&CDS=1-1239	YER045C, YIL036W
OG0000280	genemark-HG793128-processed-gene-0.89-mRNA-1_1&gene=genemark-HG793128-processed-gene-0.89&CDS=1-1608, genemark-HG793128-processed-gene-5.89-mRNA-1_1&gene=genemark-HG793128-processed-gene-5.89&CDS=1-1674	YML054C
OG0000281	genemark-HG793128-processed-gene-0.90-mRNA-1_1&gene=genemark-HG793128-processed-gene-0.90&CDS=1-1308, genemark-HG793128-processed-gene-9.54-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.54&CDS=1-1275	YJL060W
OG0000282	genemark-HG793128-processed-gene-0.65-mRNA-1_1&gene=genemark-HG793128-processed-gene-0.65&CDS=1-1776, genemark-HG793130-processed-gene-12.242-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.242&CDS=1-1752	YDR380W
OG0000283	augustus_masked-HG793128-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-HG793128-processed-gene-1.22&CDS=1-1920, genemark-HG793130-processed-gene-10.34-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.34&CDS=1-1923	YBL097W
OG0000284	genemark-HG793128-processed-gene-2.124-mRNA-1_1&gene=genemark-HG793128-processed-gene-2.124&CDS=1-1296	YHR001W, YKR003W
OG0000285	genemark-HG793128-processed-gene-2.129-mRNA-1_1&gene=genemark-HG793128-processed-gene-2.129&CDS=1-468	YGL031C, YGR148C
OG0000286	augustus_masked-HG793128-processed-gene-3.157-mRNA-1_1&gene=augustus_masked-HG793128-processed-gene-3.157&CDS=1-900	YJL158C, YJL160C
OG0000287	genemark-HG793128-processed-gene-3.26-mRNA-1_1&gene=genemark-HG793128-processed-gene-3.26&CDS=1-789	YCR010C, YNR002C
OG0000288	genemark-HG793128-processed-gene-3.53-mRNA-1_1&gene=genemark-HG793128-processed-gene-3.53&CDS=1-354	YER131W, YGL189C
OG0000289	genemark-HG793128-processed-gene-4.8-mRNA-1_1&gene=genemark-HG793128-processed-gene-4.8&CDS=1-537	YGR085C, YPR102C
OG0000290	genemark-HG793128-processed-gene-4.46-mRNA-1_1&gene=genemark-HG793128-processed-gene-4.46&CDS=1-915	YPR013C, YPR015C
OG0000291	genemark-HG793128-processed-gene-5.46-mRNA-1_1&gene=genemark-HG793128-processed-gene-5.46&CDS=1-1233	YKL081W, YPL048W
OG0000292	genemark-HG793128-processed-gene-5.72-mRNA-1_1&gene=genemark-HG793128-processed-gene-5.72&CDS=1-1107	YCR105W, YMR318C
OG0000293	genemark-HG793128-processed-gene-6.5-mRNA-1_1&gene=genemark-HG793128-processed-gene-6.5&CDS=1-1719, genemark-HG793129-processed-gene-12.40-mRNA-1_1&gene=genemark-HG793129-processed-gene-12.40&CDS=1-1680	YML123C
OG0000294	genemark-HG793128-processed-gene-6.30-mRNA-1_1&gene=genemark-HG793128-processed-gene-6.30&CDS=1-1863	YGR138C, YPR156C
OG0000295	genemark-HG793128-processed-gene-6.34-mRNA-1_1&gene=genemark-HG793128-processed-gene-6.34&CDS=1-3915	YLL016W, YLR310C
OG0000296	genemark-HG793128-processed-gene-6.38-mRNA-1_1&gene=genemark-HG793128-processed-gene-6.38&CDS=1-501	YBR005W, YDR003W
OG0000297	genemark-HG793128-processed-gene-7.110-mRNA-1_1&gene=genemark-HG793128-processed-gene-7.110&CDS=1-1542, genemark-HG793130-processed-gene-2.5-mRNA-1_1&gene=genemark-HG793130-processed-gene-2.5&CDS=1-1512	YMR221C
OG0000298	genemark-HG793128-processed-gene-7.138-mRNA-1_1&gene=genemark-HG793128-processed-gene-7.138&CDS=1-1128, genemark-HG793130-processed-gene-10.56-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.56&CDS=1-1179	YNL027W
OG0000299	genemark-HG793128-processed-gene-8.29-mRNA-1_1&gene=genemark-HG793128-processed-gene-8.29&CDS=1-2328	YDL109C, YGL144C
OG0000300	genemark-HG793128-processed-gene-8.12-mRNA-1_1&gene=genemark-HG793128-processed-gene-8.12&CDS=1-1188	YMR253C, YPL264C
OG0000301	genemark-HG793128-processed-gene-8.39-mRNA-1_1&gene=genemark-HG793128-processed-gene-8.39&CDS=1-468	YBR048W, YDR025W
OG0000302	genemark-HG793128-processed-gene-8.41-mRNA-1_1&gene=genemark-HG793128-processed-gene-8.41&CDS=1-1035	YBR014C, YDL010W
OG0000303	genemark-HG793128-processed-gene-9.3-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.3&CDS=1-2682	YJL105W, YKR029C
OG0000304	genemark-HG793128-processed-gene-9.38-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.38&CDS=1-1236	YCL011C, YNL004W
OG0000305	genemark-HG793128-processed-gene-9.20-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.20&CDS=1-927	YOR390W, YPL279C
OG0000306	snap_masked-HG793128-processed-gene-10.12-mRNA-1_1&gene=snap_masked-HG793128-processed-gene-10.12&CDS=1-2211	YBR033W, YKL038W
OG0000307	genemark-HG793128-processed-gene-10.108-mRNA-1_1&gene=genemark-HG793128-processed-gene-10.108&CDS=1-1752	YIL085C, YNL029C
OG0000308	genemark-HG793128-processed-gene-11.146-mRNA-1_1&gene=genemark-HG793128-processed-gene-11.146&CDS=1-657	YML106W, YMR271C
OG0000309	genemark-HG793128-processed-gene-11.155-mRNA-1_1&gene=genemark-HG793128-processed-gene-11.155&CDS=1-2286	YKL121W, YMR102C
OG0000310	genemark-HG793128-processed-gene-12.105-mRNA-1_1&gene=genemark-HG793128-processed-gene-12.105&CDS=1-732	YGL076C, YPL198W
OG0000311	genemark-HG793128-processed-gene-12.123-mRNA-1_1&gene=genemark-HG793128-processed-gene-12.123&CDS=1-1290	YMR177W, YPL224C
OG0000312	maker-HG793128-augustus-gene-12.153-mRNA-1_1&gene=maker-HG793128-augustus-gene-12.153&CDS=1-3981	YDR107C, YLR083C
OG0000313	augustus_masked-HG793128-processed-gene-12.57-mRNA-1_1&gene=augustus_masked-HG793128-processed-gene-12.57&CDS=1-3645	YBL101C, YPR030W
OG0000314	genemark-HG793128-processed-gene-12.120-mRNA-1_1&gene=genemark-HG793128-processed-gene-12.120&CDS=1-402	YHR132W-A, YNL157W
OG0000315	augustus_masked-HG793128-processed-gene-12.93-mRNA-1_1&gene=augustus_masked-HG793128-processed-gene-12.93&CDS=1-915	YHR133C, YNL156C
OG0000316	genemark-HG793128-processed-gene-13.25-mRNA-1_1&gene=genemark-HG793128-processed-gene-13.25&CDS=1-411	YBL087C, YER117W
OG0000317	genemark-HG793128-processed-gene-13.33-mRNA-1_1&gene=genemark-HG793128-processed-gene-13.33&CDS=1-2406	YDR251W, YPL032C
OG0000318	genemark-HG793128-processed-gene-13.38-mRNA-1_1&gene=genemark-HG793128-processed-gene-13.38&CDS=1-309	YAL030W, YOR327C
OG0000319	genemark-HG793128-processed-gene-13.20-mRNA-1_1&gene=genemark-HG793128-processed-gene-13.20&CDS=1-1659	YDL042C, YOL068C
OG0000320	genemark-HG793128-processed-gene-14.111-mRNA-1_1&gene=genemark-HG793128-processed-gene-14.111&CDS=1-1266	YLR300W, YOR190W
OG0000321	maker-HG793128-augustus-gene-14.108-mRNA-1_1&gene=maker-HG793128-augustus-gene-14.108&CDS=1-990	YNL301C, YOL120C
OG0000322	augustus_masked-HG793128-processed-gene-14.69-mRNA-1_1&gene=augustus_masked-HG793128-processed-gene-14.69&CDS=1-705	YGL071W, YPL202C
OG0000323	snap_masked-HG793128-processed-gene-15.82-mRNA-1_1&gene=snap_masked-HG793128-processed-gene-15.82&CDS=1-1113	YJL133W, YKR052C
OG0000324	genemark-HG793128-processed-gene-15.213-mRNA-1_1&gene=genemark-HG793128-processed-gene-15.213&CDS=1-2328	YBL009W, YGL021W
OG0000325	genemark-HG793128-processed-gene-15.178-mRNA-1_1&gene=genemark-HG793128-processed-gene-15.178&CDS=1-1656, genemark-HG793129-processed-gene-13.6-mRNA-1_1&gene=genemark-HG793129-processed-gene-13.6&CDS=1-1731	YHL036W
OG0000326	genemark-HG793128-processed-gene-15.226-mRNA-1_1&gene=genemark-HG793128-processed-gene-15.226&CDS=1-1767	YDL224C, YNL197C
OG0000327	genemark-HG793129-processed-gene-0.39-mRNA-1_1&gene=genemark-HG793129-processed-gene-0.39&CDS=1-852	YIL114C, YNL055C
OG0000328	genemark-HG793129-processed-gene-0.40-mRNA-1_1&gene=genemark-HG793129-processed-gene-0.40&CDS=1-1452	YGR121C, YPR138C
OG0000329	snap_masked-HG793129-processed-gene-1.3-mRNA-1_1&gene=snap_masked-HG793129-processed-gene-1.3&CDS=1-1104	YGL162W, YPR009W
OG0000330	genemark-HG793129-processed-gene-1.117-mRNA-1_1&gene=genemark-HG793129-processed-gene-1.117&CDS=1-408	YBR010W, YNL031C
OG0000331	genemark-HG793129-processed-gene-2.33-mRNA-1_1&gene=genemark-HG793129-processed-gene-2.33&CDS=1-651	YER031C, YGL210W
OG0000332	snap_masked-HG793129-processed-gene-2.119-mRNA-1_1&gene=snap_masked-HG793129-processed-gene-2.119&CDS=1-2421	YBR172C, YPL105C
OG0000333	genemark-HG793129-processed-gene-3.85-mRNA-1_1&gene=genemark-HG793129-processed-gene-3.85&CDS=1-1068	YBR161W, YPL057C
OG0000334	genemark-HG793129-processed-gene-4.35-mRNA-1_1&gene=genemark-HG793129-processed-gene-4.35&CDS=1-1392	YEL047C, YJR051W
OG0000335	genemark-HG793129-processed-gene-4.38-mRNA-1_1&gene=genemark-HG793129-processed-gene-4.38&CDS=1-3276	YIL151C, YKR096W
OG0000336	genemark-HG793129-processed-gene-4.41-mRNA-1_1&gene=genemark-HG793129-processed-gene-4.41&CDS=1-2565	YFL004W, YPL019C
OG0000337	genemark-HG793129-processed-gene-5.141-mRNA-1_1&gene=genemark-HG793129-processed-gene-5.141&CDS=1-489	YDR178W, YLR164W
OG0000338	genemark-HG793129-processed-gene-6.61-mRNA-1_1&gene=genemark-HG793129-processed-gene-6.61&CDS=1-1671	YIR031C, YNL117W
OG0000339	genemark-HG793129-processed-gene-6.89-mRNA-1_1&gene=genemark-HG793129-processed-gene-6.89&CDS=1-459	YEL066W, YPR193C
OG0000340	genemark-HG793129-processed-gene-6.97-mRNA-1_1&gene=genemark-HG793129-processed-gene-6.97&CDS=1-297	YMR194W, YPL249C-A
OG0000341	genemark-HG793129-processed-gene-6.101-mRNA-1_1&gene=genemark-HG793129-processed-gene-6.101&CDS=1-1338	YBR177C, YPL095C
OG0000342	genemark-HG793129-processed-gene-6.106-mRNA-1_1&gene=genemark-HG793129-processed-gene-6.106&CDS=1-309	YGR209C, YLR043C
OG0000343	snap_masked-HG793129-processed-gene-7.121-mRNA-1_1&gene=snap_masked-HG793129-processed-gene-7.121&CDS=1-1983	YDR351W, YHR103W
OG0000344	maker-HG793129-augustus-gene-7.178-mRNA-1_1&gene=maker-HG793129-augustus-gene-7.178&CDS=1-393	YGR243W, YHR162W
OG0000345	genemark-HG793129-processed-gene-7.87-mRNA-1_1&gene=genemark-HG793129-processed-gene-7.87&CDS=1-1650	YDR200C, YLR238W
OG0000346	genemark-HG793129-processed-gene-7.114-mRNA-1_1&gene=genemark-HG793129-processed-gene-7.114&CDS=1-3615	YAL017W, YOL045W
OG0000347	genemark-HG793129-processed-gene-8.103-mRNA-1_1&gene=genemark-HG793129-processed-gene-8.103&CDS=1-2361	YDR206W, YLR233C
OG0000348	maker-HG793129-snap-gene-8.94-mRNA-1_1&gene=maker-HG793129-snap-gene-8.94&CDS=1-2505	YDR458C, YML034W
OG0000349	genemark-HG793129-processed-gene-11.77-mRNA-1_1&gene=genemark-HG793129-processed-gene-11.77&CDS=1-2982, genemark-HG793129-processed-gene-8.126-mRNA-1_1&gene=genemark-HG793129-processed-gene-8.126&CDS=1-2877	YNL192W
OG0000350	snap_masked-HG793129-processed-gene-9.70-mRNA-1_1&gene=snap_masked-HG793129-processed-gene-9.70&CDS=1-2091, snap_masked-HG793129-processed-gene-9.71-mRNA-1_1&gene=snap_masked-HG793129-processed-gene-9.71&CDS=1-2067	YLR214W
OG0000351	genemark-HG793129-processed-gene-9.162-mRNA-1_1&gene=genemark-HG793129-processed-gene-9.162&CDS=1-603	YDL082W, YMR142C
OG0000352	genemark-HG793129-processed-gene-9.143-mRNA-1_1&gene=genemark-HG793129-processed-gene-9.143&CDS=1-426	YDL083C, YMR143W
OG0000353	genemark-HG793129-processed-gene-9.168-mRNA-1_1&gene=genemark-HG793129-processed-gene-9.168&CDS=1-615	YGR038W, YLR350W
OG0000354	genemark-HG793129-processed-gene-11.58-mRNA-1_1&gene=genemark-HG793129-processed-gene-11.58&CDS=1-1920	YEL041W, YJR049C
OG0000355	genemark-HG793129-processed-gene-11.80-mRNA-1_1&gene=genemark-HG793129-processed-gene-11.80&CDS=1-2871	YBR150C, YOL089C
OG0000356	genemark-HG793129-processed-gene-12.48-mRNA-1_1&gene=genemark-HG793129-processed-gene-12.48&CDS=1-1767	YDR287W, YHR046C
OG0000357	genemark-HG793129-processed-gene-12.34-mRNA-1_1&gene=genemark-HG793129-processed-gene-12.34&CDS=1-873	YJL079C, YKR013W
OG0000358	genemark-HG793129-processed-gene-12.36-mRNA-1_1&gene=genemark-HG793129-processed-gene-12.36&CDS=1-1425	YCL040W, YDR516C
OG0000359	genemark-HG793129-processed-gene-13.4-mRNA-1_1&gene=genemark-HG793129-processed-gene-13.4&CDS=1-1986	YMR119W, YNL008C
OG0000360	genemark-HG793129-processed-gene-13.33-mRNA-1_1&gene=genemark-HG793129-processed-gene-13.33&CDS=1-762	YFR031C-A, YIL018W
OG0000361	snap_masked-HG793129-processed-gene-13.74-mRNA-1_1&gene=snap_masked-HG793129-processed-gene-13.74&CDS=1-1341	YGL082W, YPL191C
OG0000362	genemark-HG793129-processed-gene-13.45-mRNA-1_1&gene=genemark-HG793129-processed-gene-13.45&CDS=1-2754	YJL084C, YKR021W
OG0000363	snap_masked-HG793129-processed-gene-13.80-mRNA-1_1&gene=snap_masked-HG793129-processed-gene-13.80&CDS=1-1347	YFL048C, YLR080W
OG0000364	genemark-HG793130-processed-gene-0.110-mRNA-1_1&gene=genemark-HG793130-processed-gene-0.110&CDS=1-2658	YDR379W, YOR127W
OG0000365	genemark-HG793130-processed-gene-1.62-mRNA-1_1&gene=genemark-HG793130-processed-gene-1.62&CDS=1-3717	YDR122W, YLR096W
OG0000366	genemark-HG793130-processed-gene-2.6-mRNA-1_1&gene=genemark-HG793130-processed-gene-2.6&CDS=1-756	YMR222C, YOR280C
OG0000367	genemark-HG793130-processed-gene-2.7-mRNA-1_1&gene=genemark-HG793130-processed-gene-2.7&CDS=1-552	YOR285W, YOR286W
OG0000368	genemark-HG793130-processed-gene-2.19-mRNA-1_1&gene=genemark-HG793130-processed-gene-2.19&CDS=1-3894, genemark-HG793131-processed-gene-9.113-mRNA-1_1&gene=genemark-HG793131-processed-gene-9.113&CDS=1-3963	YOL075C
OG0000369	genemark-HG793130-processed-gene-2.26-mRNA-1_1&gene=genemark-HG793130-processed-gene-2.26&CDS=1-408	YDR471W, YHR010W
OG0000370	augustus_masked-HG793130-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-2.125&CDS=1-8316	YBR140C, YOL081W
OG0000371	genemark-HG793130-processed-gene-3.114-mRNA-1_1&gene=genemark-HG793130-processed-gene-3.114&CDS=1-1722	YJR130C, YML082W
OG0000372	genemark-HG793130-processed-gene-4.0-mRNA-1_1&gene=genemark-HG793130-processed-gene-4.0&CDS=1-4395, genemark-HG793131-processed-gene-3.81-mRNA-1_1&gene=genemark-HG793131-processed-gene-3.81&CDS=1-4926	YER166W
OG0000373	snap_masked-HG793130-processed-gene-4.55-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-4.55&CDS=1-1323	YKL133C, YMR115W
OG0000374	genemark-HG793130-processed-gene-4.17-mRNA-1_1&gene=genemark-HG793130-processed-gene-4.17&CDS=1-3132	YBL106C, YPR032W
OG0000375	genemark-HG793130-processed-gene-4.46-mRNA-1_1&gene=genemark-HG793130-processed-gene-4.46&CDS=1-1431	YDL161W, YLR206W
OG0000376	genemark-HG793130-processed-gene-5.89-mRNA-1_1&gene=genemark-HG793130-processed-gene-5.89&CDS=1-1422	YDR247W, YPL026C
OG0000377	maker-HG793130-augustus-gene-5.57-mRNA-1_1&gene=maker-HG793130-augustus-gene-5.57&CDS=1-1410	YNL108C, YOR110W
OG0000378	genemark-HG793130-processed-gene-5.103-mRNA-1_1&gene=genemark-HG793130-processed-gene-5.103&CDS=1-1056	YJL137C, YKR058W
OG0000379	genemark-HG793130-processed-gene-6.133-mRNA-1_1&gene=genemark-HG793130-processed-gene-6.133&CDS=1-396	YBL002W, YDR224C
OG0000380	genemark-HG793130-processed-gene-6.113-mRNA-1_1&gene=genemark-HG793130-processed-gene-6.113&CDS=1-1092	YBR031W, YDR012W
OG0000381	genemark-HG793130-processed-gene-6.114-mRNA-1_1&gene=genemark-HG793130-processed-gene-6.114&CDS=1-1383	YDR253C, YPL038W
OG0000382	genemark-HG793130-processed-gene-7.109-mRNA-1_1&gene=genemark-HG793130-processed-gene-7.109&CDS=1-711	YDR098C, YER174C
OG0000383	genemark-HG793130-processed-gene-7.134-mRNA-1_1&gene=genemark-HG793130-processed-gene-7.134&CDS=1-621	YLR456W, YPR172W
OG0000384	maker-HG793130-augustus-gene-7.152-mRNA-1_1&gene=maker-HG793130-augustus-gene-7.152&CDS=1-3030	YGR010W, YLR328W
OG0000385	genemark-HG793130-processed-gene-7.139-mRNA-1_1&gene=genemark-HG793130-processed-gene-7.139&CDS=1-3027	YGL049C, YGR162W
OG0000386	genemark-HG793130-processed-gene-7.143-mRNA-1_1&gene=genemark-HG793130-processed-gene-7.143&CDS=1-2301	YJL082W, YKR018C
OG0000387	genemark-HG793130-processed-gene-7.144-mRNA-1_1&gene=genemark-HG793130-processed-gene-7.144&CDS=1-1929	YJL083W, YKR019C
OG0000388	genemark-HG793130-processed-gene-8.128-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.128&CDS=1-1647, genemark-HG793130-processed-gene-8.129-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.129&CDS=1-1671	YDR497C
OG0000389	genemark-HG793130-processed-gene-8.164-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.164&CDS=1-1290	YBL056W, YER089C
OG0000390	genemark-HG793130-processed-gene-9.31-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.31&CDS=1-1734	YBR021W, YIR028W
OG0000391	augustus_masked-HG793130-processed-gene-10.121-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-10.121&CDS=1-1278	YGR141W, YPR157W
OG0000392	genemark-HG793130-processed-gene-10.36-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.36&CDS=1-1233	YDR312W, YHR066W
OG0000393	genemark-HG793130-processed-gene-10.25-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.25&CDS=1-702	YHR043C, YHR044C
OG0000394	genemark-HG793130-processed-gene-10.54-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.54&CDS=1-426	YCR031C, YJL191W
OG0000395	genemark-HG793130-processed-gene-11.149-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.149&CDS=1-585	YDR453C, YML028W
OG0000396	genemark-HG793130-processed-gene-11.126-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.126&CDS=1-2673	YDR069C, YER144C
OG0000397	genemark-HG793130-processed-gene-11.133-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.133&CDS=1-2859	YKL072W, YMR053C
OG0000398	snap_masked-HG793130-processed-gene-11.29-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-11.29&CDS=1-570	YBL027W, YBR084C-A
OG0000399	genemark-HG793130-processed-gene-12.249-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.249&CDS=1-2286	YML109W, YMR273C
OG0000400	maker-HG793130-snap-gene-12.293-mRNA-1_1&gene=maker-HG793130-snap-gene-12.293&CDS=1-984	YGR136W, YPR154W
OG0000401	genemark-HG793130-processed-gene-12.263-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.263&CDS=1-2745, genemark-HG793131-processed-gene-0.31-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.31&CDS=1-1392	YGR249W
