	Nakazawaea_peltata	Saccharomyces_cerevisiae
OG0000306	-processed-gene-8.4-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-8.4&CDS=1-888	YLR270W, YOR173W
OG0000307	-processed-gene-8.125-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-8.125&CDS=1-201	YLR264W, YOR167C
OG0000308	-snap-gene-8.141-mRNA-1_1&gene=maker-gi|1002316196|dbj|BCGQ01000005.1|-snap-gene-8.141&CDS=1-1134	YLR287C-A, YOR182C
OG0000309	-processed-gene-9.213-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.213&CDS=1-345	YDL075W, YLR406C
OG0000310	-processed-gene-9.216-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.216&CDS=1-3375	YAL017W, YOL045W
OG0000311	-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.27&CDS=1-513	YGR085C, YPR102C
OG0000312	-processed-gene-9.225-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.225&CDS=1-1092, -processed-gene-9.74-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.74&CDS=1-1209	YPL092W
OG0000313	-processed-gene-1.54-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-1.54&CDS=1-1332	YCL011C, YNL004W
OG0000314	-processed-gene-2.83-mRNA-1_1&gene=snap_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-2.83&CDS=1-3519	YHR155W, YNL257C
OG0000315	-processed-gene-10.121-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.121&CDS=1-2628, -processed-gene-2.51-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-2.51&CDS=1-1701	YOR301W
OG0000316	-processed-gene-2.74-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-2.74&CDS=1-1689	YDR263C, YOR033C
OG0000317	-processed-gene-3.106-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.106&CDS=1-1290	YCL048W, YDR522C
OG0000318	-processed-gene-3.81-mRNA-1_1&gene=snap_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.81&CDS=1-1536	YCL051W, YDR528W
OG0000319	-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.40&CDS=1-246	YDR500C, YLR185W
OG0000320	-snap-gene-3.161-mRNA-1_1&gene=maker-gi|1002316197|dbj|BCGQ01000004.1|-snap-gene-3.161&CDS=1-2523	YDR502C, YLR180W
OG0000321	-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.17&CDS=1-1659	YDR505C, YLR177W
OG0000322	-processed-gene-11.29-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-11.29&CDS=1-1707, -processed-gene-3.154-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.154&CDS=1-1644	YEL063C
OG0000323	-processed-gene-4.87-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-4.87&CDS=1-1005	YCL050C, YDR530C
OG0000324	-processed-gene-4.91-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-4.91&CDS=1-1278	YLR300W, YOR190W
OG0000325	-processed-gene-12.176-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.176&CDS=1-1728, -processed-gene-5.30-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-5.30&CDS=1-1710	YDL210W
OG0000326	-processed-gene-3.52-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-3.52&CDS=1-2520, -processed-gene-5.12-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-5.12&CDS=1-2268	YNL020C
OG0000327	-processed-gene-6.77-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-6.77&CDS=1-1743	YHL017W, YKL039W
OG0000328	-snap-gene-6.119-mRNA-1_1&gene=maker-gi|1002316197|dbj|BCGQ01000004.1|-snap-gene-6.119&CDS=1-1920	YKL121W, YMR102C
OG0000329	-processed-gene-6.101-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-6.101&CDS=1-1794	YGR092W, YPR111W
OG0000330	-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-6.6&CDS=1-798, -processed-gene-8.57-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-8.57&CDS=1-1257	YNL103W
OG0000331	-snap-gene-7.123-mRNA-1_1&gene=maker-gi|1002316197|dbj|BCGQ01000004.1|-snap-gene-7.123&CDS=1-1368	YHR043C, YHR044C
OG0000332	-snap-gene-7.124-mRNA-1_1&gene=maker-gi|1002316197|dbj|BCGQ01000004.1|-snap-gene-7.124&CDS=1-1038	YBR189W, YPL081W
OG0000333	-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-7.35&CDS=1-3426	YIR033W, YKL020C
OG0000334	-processed-gene-8.47-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-8.47&CDS=1-966	YKR076W, YMR251W
OG0000335	-processed-gene-8.74-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-8.74&CDS=1-1236	YMR199W, YPL256C
OG0000336	-processed-gene-12.63-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.63&CDS=1-1416, -processed-gene-9.112-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-9.112&CDS=1-1365	YBR199W
OG0000337	-processed-gene-9.122-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-9.122&CDS=1-1890	YGR138C, YPR156C
OG0000338	-processed-gene-10.92-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.92&CDS=1-1260	YBR078W, YDR055W
OG0000339	-processed-gene-10.18-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.18&CDS=1-1071	YAL034C, YOR338W
OG0000340	-processed-gene-10.100-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.100&CDS=1-1764, -processed-gene-3.52-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-3.52&CDS=1-1722	YNL065W
OG0000341	-processed-gene-10.120-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-10.120&CDS=1-1938, -processed-gene-7.97-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-7.97&CDS=1-2553	YOR140W
OG0000342	-processed-gene-11.135-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.135&CDS=1-585	YBL027W, YBR084C-A
OG0000343	-processed-gene-11.20-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.20&CDS=1-750	YBR197C, YPL077C
OG0000344	-processed-gene-11.60-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.60&CDS=1-1206	YHR179W, YPL171C
OG0000345	-processed-gene-11.36-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.36&CDS=1-930	YCL036W, YDR514C
OG0000346	-processed-gene-8.85-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-8.85&CDS=1-2109, -snap-gene-0.4-mRNA-1_1&gene=maker-gi|1002316198|dbj|BCGQ01000003.1|-snap-gene-0.4&CDS=1-1047	YNL027W
OG0000347	-processed-gene-0.48-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-0.48&CDS=1-1461	YGR121C, YPR138C
OG0000348	-augustus-gene-1.2-mRNA-1_1&gene=maker-gi|1002316198|dbj|BCGQ01000003.1|-augustus-gene-1.2&CDS=1-4131	YGL133W, YPL216W
OG0000349	-processed-gene-1.126-mRNA-1_1&gene=snap_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-1.126&CDS=1-3510	YDR122W, YLR096W
OG0000350	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-1.70&CDS=1-2427	YGL139W, YPL221W
OG0000351	-processed-gene-2.64-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-2.64&CDS=1-651	YGL135W, YPL220W
OG0000352	-processed-gene-3.59-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-3.59&CDS=1-558	YNL301C, YOL120C
OG0000353	-processed-gene-4.5-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-4.5&CDS=1-435	YNL302C, YOL121C
OG0000354	-processed-gene-4.9-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-4.9&CDS=1-2244	YFL050C, YOL130W
OG0000355	-processed-gene-4.41-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-4.41&CDS=1-660	YML106W, YMR271C
OG0000356	-processed-gene-5.61-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-5.61&CDS=1-567	YOR226C, YPL135W
OG0000357	-processed-gene-6.76-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-6.76&CDS=1-732	YGR248W, YHR163W
OG0000358	-augustus-gene-7.151-mRNA-1_1&gene=maker-gi|1002316198|dbj|BCGQ01000003.1|-augustus-gene-7.151&CDS=1-2856	YIL085C, YNL029C
OG0000359	-processed-gene-8.113-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-8.113&CDS=1-2244	YGR221C, YHR149C
OG0000360	-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-8.124&CDS=1-582	YHR021C, YKL156W
OG0000361	-processed-gene-9.1-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-9.1&CDS=1-1899	YDR351W, YHR103W
OG0000362	-processed-gene-8.39-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-8.39&CDS=1-2325, -processed-gene-9.88-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-9.88&CDS=1-2367	YPR181C
OG0000363	-processed-gene-9.90-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-9.90&CDS=1-495	YDR418W, YEL054C
OG0000364	-processed-gene-10.126-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-10.126&CDS=1-5325	YCL068C, YCR038C
OG0000365	-processed-gene-11.101-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-11.101&CDS=1-2121	YFR015C, YLR258W
OG0000366	-processed-gene-12.183-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.183&CDS=1-603	YBR067C, YIL011W
OG0000367	-processed-gene-1.145-mRNA-1_1&gene=snap_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.145&CDS=1-2145, -processed-gene-12.194-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.194&CDS=1-2169	YMR216C
OG0000368	-processed-gene-12.86-mRNA-1_1&gene=snap_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.86&CDS=1-1470	YGL082W, YPL191C
OG0000369	-processed-gene-0.74-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-0.74&CDS=1-315, -processed-gene-0.95-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-0.95&CDS=1-324	YNL322C
OG0000370	-processed-gene-0.80-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-0.80&CDS=1-3642	YAR042W, YDL019C
OG0000371	-processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-0.83&CDS=1-975	YCL064C, YIL167W
OG0000372	-processed-gene-1.10-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-1.10&CDS=1-1332	YDR247W, YPL026C
OG0000373	-processed-gene-2.60-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-2.60&CDS=1-1980	YBL067C, YER098W
OG0000374	-processed-gene-2.36-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-2.36&CDS=1-1002	YBL068W, YER099C
OG0000375	-processed-gene-2.62-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-2.62&CDS=1-594	YBL072C, YER102W
OG0000376	-processed-gene-2.79-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-2.79&CDS=1-3192	YLR031W, YMR124W
OG0000377	-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-2.151&CDS=1-375	YGR034W, YLR344W
OG0000378	-processed-gene-3.69-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-3.69&CDS=1-2703	YKL050C, YMR031C
OG0000379	-processed-gene-4.35-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-4.35&CDS=1-1863	YDR107C, YLR083C
OG0000380	-processed-gene-5.100-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-5.100&CDS=1-2481	YER066W, YFL009W
OG0000381	-processed-gene-5.90-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-5.90&CDS=1-1239	YBR042C, YDR018C
OG0000382	-processed-gene-6.10-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-6.10&CDS=1-1953	YIL105C, YNL047C
OG0000383	-processed-gene-6.24-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-6.24&CDS=1-3447	YML100W, YMR261C
OG0000384	-processed-gene-19.21-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-19.21&CDS=1-918, -processed-gene-7.51-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-7.51&CDS=1-948	YBR149W
OG0000385	-processed-gene-7.71-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-7.71&CDS=1-894	YMR183C, YPL232W
OG0000386	-augustus-gene-7.146-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-augustus-gene-7.146&CDS=1-1821	YLR260W, YOR171C
OG0000387	-processed-gene-7.59-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-7.59&CDS=1-1005	YBR147W, YOL092W
OG0000388	-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-7.109&CDS=1-756	YDR066C, YER139C
OG0000389	-processed-gene-10.84-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-10.84&CDS=1-1359, -processed-gene-7.67-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-7.67&CDS=1-3069	YOL087C
OG0000390	-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-8.114&CDS=1-1221	YGR141W, YPR157W
OG0000391	-processed-gene-8.73-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-8.73&CDS=1-1650	YER045C, YIL036W
OG0000392	-processed-gene-8.81-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-8.81&CDS=1-1539	YIL135C, YNL074C
OG0000393	-processed-gene-9.98-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.98&CDS=1-834	YLR284C, YOR180C
OG0000394	-processed-gene-9.83-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.83&CDS=1-3039	YAL056W, YOR371C
OG0000395	-processed-gene-9.84-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.84&CDS=1-510	YKL141W, YMR118C
OG0000396	-processed-gene-10.133-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.133&CDS=1-1725, -processed-gene-11.71-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.71&CDS=1-1719	YPL265W
OG0000397	-processed-gene-10.118-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.118&CDS=1-3711	YBL079W, YER105C
OG0000398	-processed-gene-11.12-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.12&CDS=1-2490	YCR026C, YEL016C
OG0000399	-processed-gene-11.17-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.17&CDS=1-2079	YEL041W, YJR049C
OG0000400	-processed-gene-12.88-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.88&CDS=1-2847	YBL085W, YER114C
OG0000401	-processed-gene-13.108-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.108&CDS=1-2118	YER064C, YIL056W
OG0000402	-processed-gene-13.111-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.111&CDS=1-1068	YJL137C, YKR058W
OG0000403	-processed-gene-13.202-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.202&CDS=1-267	YBR089C-A, YPR052C
OG0000404	-processed-gene-13.121-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.121&CDS=1-924	YBR104W, YPR058W
OG0000405	-processed-gene-13.255-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.255&CDS=1-639	YDL048C, YLR375W
OG0000406	-processed-gene-13.173-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.173&CDS=1-4173	YGR070W, YLR371W
OG0000407	-processed-gene-13.175-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.175&CDS=1-1140	YMR253C, YPL264C
OG0000408	-processed-gene-13.182-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.182&CDS=1-468	YBR048W, YDR025W
OG0000409	-processed-gene-0.71-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.71&CDS=1-1101, -processed-gene-0.72-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.72&CDS=1-1155	YGR111W
OG0000410	-processed-gene-0.89-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.89&CDS=1-585	YDR453C, YML028W
OG0000411	-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.131&CDS=1-645	YDR304C, YHR057C
OG0000412	-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.16&CDS=1-2670, -snap-gene-14.144-mRNA-1_1&gene=maker-gi|1002316200|dbj|BCGQ01000001.1|-snap-gene-14.144&CDS=1-3993	YPR022C
OG0000413	-processed-gene-1.101-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.101&CDS=1-3108	YLR450W, YML075C
OG0000414	-processed-gene-1.102-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.102&CDS=1-1260	YLR449W, YML074C
OG0000415	-processed-gene-2.119-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-2.119&CDS=1-795	YGR214W, YLR048W
OG0000416	-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-2.44&CDS=1-360	YDL136W, YDL191W
OG0000417	-processed-gene-2.157-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-2.157&CDS=1-543	YDL137W, YDL192W
OG0000418	-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-2.46&CDS=1-2145	YDL138W, YDL194W
OG0000419	-augustus-gene-3.156-mRNA-1_1&gene=maker-gi|1002316200|dbj|BCGQ01000001.1|-augustus-gene-3.156&CDS=1-831	YDR272W, YOR040W
OG0000420	-processed-gene-3.66-mRNA-1_1&gene=snap_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-3.66&CDS=1-1263	YKR091W, YOR083W
OG0000421	-processed-gene-3.95-mRNA-1_1&gene=snap_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-3.95&CDS=1-741, -snap-gene-16.1-mRNA-1_1&gene=maker-gi|1002316200|dbj|BCGQ01000001.1|-snap-gene-16.1&CDS=1-1332	YAL049C
OG0000422	-processed-gene-3.122-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-3.122&CDS=1-1983	YNL299W, YOL115W
OG0000423	-processed-gene-4.108-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-4.108&CDS=1-309	YGR209C, YLR043C
OG0000424	-processed-gene-4.137-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-4.137&CDS=1-1362	YDL088C, YMR153W
OG0000425	-processed-gene-4.138-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-4.138&CDS=1-2226	YGR241C, YHR161C
OG0000426	-processed-gene-4.125-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-4.125&CDS=1-2148	YDR213W, YLR228C
OG0000427	-processed-gene-4.127-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-4.127&CDS=1-2088	YDR389W, YOR134W
OG0000428	-processed-gene-4.152-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-4.152&CDS=1-1104	YDL127W, YDL179W
OG0000429	-processed-gene-20.127-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-20.127&CDS=1-2889, -processed-gene-5.1-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-5.1&CDS=1-2355	YDR490C
OG0000430	-processed-gene-5.30-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-5.30&CDS=1-2526	YDR385W, YOR133W
OG0000431	-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-5.127&CDS=1-357	YMR230W, YOR293W
OG0000432	-processed-gene-6.61-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-6.61&CDS=1-1464	YHR115C, YNL116W
OG0000433	-processed-gene-6.64-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-6.64&CDS=1-600	YIL133C, YNL069C
OG0000434	-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-7.9&CDS=1-303	YJR094W-A, YPR043W
OG0000435	-processed-gene-7.122-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-7.122&CDS=1-2667	YJR091C, YPR042C
OG0000436	-processed-gene-7.130-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-7.130&CDS=1-1818	YHR117W, YNL121C
OG0000437	-processed-gene-8.93-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-8.93&CDS=1-1977	YDL042C, YOL068C
OG0000438	-processed-gene-8.78-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-8.78&CDS=1-459	YGL031C, YGR148C
OG0000439	-processed-gene-8.101-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-8.101&CDS=1-2049	YJL112W, YKR036C
OG0000440	-processed-gene-9.86-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-9.86&CDS=1-2823	YML109W, YMR273C
OG0000441	-augustus-gene-10.2-mRNA-1_1&gene=maker-gi|1002316200|dbj|BCGQ01000001.1|-augustus-gene-10.2&CDS=1-1446	YDR348C, YHR097C
OG0000442	-processed-gene-10.72-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-10.72&CDS=1-2271	YJR059W, YKL198C
OG0000443	-processed-gene-11.141-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-11.141&CDS=1-1380	YGL071W, YPL202C
OG0000444	-processed-gene-13.107-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-13.107&CDS=1-447	YIL111W, YNL052W
OG0000445	-processed-gene-13.138-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-13.138&CDS=1-312	YOR234C, YPL143W
OG0000446	-processed-gene-15.39-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-15.39&CDS=1-3060	YGL049C, YGR162W
OG0000447	-snap-gene-15.113-mRNA-1_1&gene=maker-gi|1002316200|dbj|BCGQ01000001.1|-snap-gene-15.113&CDS=1-3012	YGR197C, YJR015W
OG0000448	-processed-gene-16.115-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-16.115&CDS=1-2550	YOR256C, YPL176C
