	Candida_apicola	Saccharomyces_cerevisiae
OG0000231	augustus_masked-LBNK01000005.1-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-1.93&CDS=1-630	YBR242W, YGL101W
OG0000232	augustus_masked-LBNK01000005.1-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-1.96&CDS=1-2157	YFL050C, YOL130W
OG0000233	augustus_masked-LBNK01000005.1-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-1.101&CDS=1-552	YJL177W, YKL180W
OG0000234	snap_masked-LBNK01000005.1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-LBNK01000005.1-processed-gene-1.47&CDS=1-2073	YBR033W, YKL038W
OG0000235	augustus_masked-LBNK01000005.1-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-2.54&CDS=1-2556	YLR300W, YOR190W
OG0000236	augustus_masked-LBNK01000005.1-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-2.62&CDS=1-933	YBL009W, YGL021W
OG0000237	augustus_masked-LBNK01000005.1-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-2.85&CDS=1-1758	YCR026C, YEL016C
OG0000238	augustus_masked-LBNK01000005.1-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-2.88&CDS=1-231	YDL130W-A, YDL181W
OG0000239	augustus_masked-LBNK01000005.1-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-2.89&CDS=1-879, augustus_masked-LBNK01000019.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-LBNK01000019.1-processed-gene-0.88&CDS=1-1167	YGL066W
OG0000240	augustus_masked-LBNK01000005.1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-2.65&CDS=1-822	YDR099W, YER177W
OG0000241	maker-LBNK01000005.1-snap-gene-2.51-mRNA-1_1&gene=maker-LBNK01000005.1-snap-gene-2.51&CDS=1-1533	YNL095C, YOR092W
OG0000242	augustus_masked-LBNK01000005.1-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-3.94&CDS=1-1275	YCR052W, YNR023W
OG0000243	augustus_masked-LBNK01000005.1-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-4.126&CDS=1-903	YHR198C, YHR199C
OG0000244	augustus_masked-LBNK01000005.1-processed-gene-4.153-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-4.153&CDS=1-858, augustus_masked-LBNK01000013.1-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.114&CDS=1-870	YMR099C
OG0000245	augustus_masked-LBNK01000005.1-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-4.155&CDS=1-534	YIL111W, YNL052W
OG0000246	augustus_masked-LBNK01000005.1-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-4.131&CDS=1-2643	YAL017W, YOL045W
OG0000247	augustus_masked-LBNK01000005.1-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-5.91&CDS=1-312	YHR132W-A, YNL157W
OG0000248	augustus_masked-LBNK01000005.1-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-5.93&CDS=1-3363	YBL091C-A, YER120W
OG0000249	augustus_masked-LBNK01000005.1-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-5.95&CDS=1-1773	YNL104C, YOR108W
OG0000250	genemark-LBNK01000005.1-processed-gene-5.62-mRNA-1_1&gene=genemark-LBNK01000005.1-processed-gene-5.62&CDS=1-1347	YGR108W, YPR119W
OG0000251	snap_masked-LBNK01000005.1-processed-gene-6.71-mRNA-1_1&gene=snap_masked-LBNK01000005.1-processed-gene-6.71&CDS=1-4245	YHR155W, YNL257C
OG0000252	augustus_masked-LBNK01000005.1-processed-gene-6.297-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-6.297&CDS=1-495	YDR418W, YEL054C
OG0000253	augustus_masked-LBNK01000005.1-processed-gene-6.298-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-6.298&CDS=1-1164	YOR237W, YPL145C
OG0000254	augustus_masked-LBNK01000005.1-processed-gene-6.249-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-6.249&CDS=1-321	YOR234C, YPL143W
OG0000255	augustus_masked-LBNK01000005.1-processed-gene-6.302-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-6.302&CDS=1-2679	YOR233W, YPL141C
OG0000256	augustus_masked-LBNK01000005.1-processed-gene-6.306-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-6.306&CDS=1-1257	YOR231W, YPL140C
OG0000257	augustus_masked-LBNK01000005.1-processed-gene-6.265-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-6.265&CDS=1-6546	YNL087W, YOR086C
OG0000258	augustus_masked-LBNK01000006.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-0.79&CDS=1-2886	YDR069C, YER144C
OG0000259	augustus_masked-LBNK01000006.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-0.90&CDS=1-777	YHR203C, YJR145C
OG0000260	augustus_masked-LBNK01000006.1-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-1.45&CDS=1-2346	YGL096W, YPL177C
OG0000261	augustus_masked-LBNK01000019.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-LBNK01000019.1-processed-gene-0.96&CDS=1-540, snap_masked-LBNK01000006.1-processed-gene-1.7-mRNA-1_1&gene=snap_masked-LBNK01000006.1-processed-gene-1.7&CDS=1-951	YKR016W
OG0000262	augustus_masked-LBNK01000006.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-1.60&CDS=1-1572	YCR067C, YNR026C
OG0000263	augustus_masked-LBNK01000006.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-1.64&CDS=1-2973	YBL085W, YER114C
OG0000264	augustus_masked-LBNK01000006.1-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-1.86&CDS=1-1482	YMR169C, YMR170C
OG0000265	augustus_masked-LBNK01000006.1-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-2.0&CDS=1-1929	YBR021W, YIR028W
OG0000266	genemark-LBNK01000006.1-processed-gene-2.76-mRNA-1_1&gene=genemark-LBNK01000006.1-processed-gene-2.76&CDS=1-1458	YDR451C, YML027W
OG0000267	augustus_masked-LBNK01000006.1-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-2.16&CDS=1-1863	YGR241C, YHR161C
OG0000268	augustus_masked-LBNK01000006.1-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-2.38&CDS=1-357	YDL136W, YDL191W
OG0000269	augustus_masked-LBNK01000006.1-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-2.20&CDS=1-540	YDL137W, YDL192W
OG0000270	augustus_masked-LBNK01000006.1-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-3.24&CDS=1-1239	YBR078W, YDR055W
OG0000271	augustus_masked-LBNK01000006.1-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-3.36&CDS=1-987	YDL088C, YMR153W
OG0000272	augustus_masked-LBNK01000006.1-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-4.111&CDS=1-1848, augustus_masked-LBNK01000012.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-0.85&CDS=1-1836	YKR039W
OG0000273	snap_masked-LBNK01000006.1-processed-gene-4.19-mRNA-1_1&gene=snap_masked-LBNK01000006.1-processed-gene-4.19&CDS=1-1344	YDR348C, YHR097C
OG0000274	augustus_masked-LBNK01000006.1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-5.32&CDS=1-1524	YBR214W, YGL056C
OG0000275	augustus_masked-LBNK01000006.1-processed-gene-6.179-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-6.179&CDS=1-915	YGR086C, YPL004C
OG0000276	augustus_masked-LBNK01000006.1-processed-gene-6.205-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-6.205&CDS=1-2583	YBR294W, YLR092W
OG0000277	augustus_masked-LBNK01000006.1-processed-gene-6.206-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-6.206&CDS=1-3192	YJL129C, YKR050W
OG0000278	snap_masked-LBNK01000006.1-processed-gene-6.39-mRNA-1_1&gene=snap_masked-LBNK01000006.1-processed-gene-6.39&CDS=1-1302, snap_masked-LBNK01000012.1-processed-gene-1.185-mRNA-1_1&gene=snap_masked-LBNK01000012.1-processed-gene-1.185&CDS=1-1242	YMR066W
OG0000279	augustus_masked-LBNK01000006.1-processed-gene-6.215-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-6.215&CDS=1-582	YNL096C, YOR096W
OG0000280	augustus_masked-LBNK01000007.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-0.104&CDS=1-1260	YKL081W, YPL048W
OG0000281	augustus_masked-LBNK01000007.1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-0.112&CDS=1-2676	YCR091W, YNR047W
OG0000282	augustus_masked-LBNK01000007.1-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-0.113&CDS=1-261	YJL136C, YKR057W
OG0000283	augustus_masked-LBNK01000007.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-0.100&CDS=1-1590	YIR013C, YLR013W
OG0000284	augustus_masked-LBNK01000007.1-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-1.100&CDS=1-378	YGR034W, YLR344W
OG0000285	snap_masked-LBNK01000007.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-1.27&CDS=1-1461	YDR200C, YLR238W
OG0000286	augustus_masked-LBNK01000007.1-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-1.111&CDS=1-4527	YDR406W, YOR153W
OG0000287	augustus_masked-LBNK01000007.1-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-1.122&CDS=1-1443	YML116W, YMR279C
OG0000288	augustus_masked-LBNK01000007.1-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-1.125&CDS=1-687	YMR222C, YOR280C
OG0000289	augustus_masked-LBNK01000007.1-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-1.142&CDS=1-4500	YGR238C, YHR158C
OG0000290	genemark-LBNK01000013.1-processed-gene-1.135-mRNA-1_1&gene=genemark-LBNK01000013.1-processed-gene-1.135&CDS=1-360, maker-LBNK01000007.1-snap-gene-1.0-mRNA-1_1&gene=maker-LBNK01000007.1-snap-gene-1.0&CDS=1-1224	YLR403W
OG0000291	genemark-LBNK01000007.1-processed-gene-2.60-mRNA-1_1&gene=genemark-LBNK01000007.1-processed-gene-2.60&CDS=1-1224	YGR004W, YLR324W
OG0000292	augustus_masked-LBNK01000007.1-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-2.133&CDS=1-1641	YDR358W, YHR108W
OG0000293	augustus_masked-LBNK01000007.1-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-2.144&CDS=1-3246	YLR187W, YNL278W
OG0000294	augustus_masked-LBNK01000007.1-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-2.146&CDS=1-777	YBR147W, YOL092W
OG0000295	augustus_masked-LBNK01000007.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.62&CDS=1-306	YGR209C, YLR043C
OG0000296	augustus_masked-LBNK01000007.1-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.87&CDS=1-1566	YBR001C, YDR001C
OG0000297	augustus_masked-LBNK01000007.1-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.67&CDS=1-312	YMR194W, YPL249C-A
OG0000298	genemark-LBNK01000007.1-processed-gene-3.39-mRNA-1_1&gene=genemark-LBNK01000007.1-processed-gene-3.39&CDS=1-1101	YHR131C, YNL144C
OG0000299	augustus_masked-LBNK01000007.1-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.73&CDS=1-801	YDL222C, YNL194C
OG0000300	augustus_masked-LBNK01000007.1-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.94&CDS=1-1896	YDL224C, YNL197C
OG0000301	augustus_masked-LBNK01000007.1-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.78&CDS=1-837	YBR183W, YPL087W
OG0000302	augustus_masked-LBNK01000007.1-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.10&CDS=1-1206	YJL138C, YKR059W
OG0000303	augustus_masked-LBNK01000007.1-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.47&CDS=1-465	YDR450W, YML026C
OG0000304	snap_masked-LBNK01000007.1-processed-gene-5.29-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-5.29&CDS=1-1962	YBR216C, YGL060W
OG0000305	augustus_masked-LBNK01000007.1-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.60&CDS=1-765	YER037W, YGL224C
OG0000306	augustus_masked-LBNK01000007.1-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.87&CDS=1-852	YDR368W, YOR120W
OG0000307	augustus_masked-LBNK01000007.1-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.98&CDS=1-504	YGR131W, YPR149W
OG0000308	augustus_masked-LBNK01000007.1-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.73&CDS=1-510	YGR136W, YPR154W
OG0000309	augustus_masked-LBNK01000007.1-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.1&CDS=1-840, augustus_masked-LBNK01000007.1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.67&CDS=1-843	YHR029C
OG0000310	augustus_masked-LBNK01000007.1-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.63&CDS=1-1509	YHR001W, YKR003W
OG0000311	augustus_masked-LBNK01000007.1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.37&CDS=1-411	YBL087C, YER117W
OG0000312	augustus_masked-LBNK01000008.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.84&CDS=1-1341, augustus_masked-LBNK01000009.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-0.61&CDS=1-1440	YIR027C
OG0000313	augustus_masked-LBNK01000008.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.105&CDS=1-1575	YDR151C, YLR136C
OG0000314	augustus_masked-LBNK01000008.1-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.107&CDS=1-624	YER031C, YGL210W
OG0000315	augustus_masked-LBNK01000008.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.93&CDS=1-486	YLR456W, YPR172W
OG0000316	augustus_masked-LBNK01000008.1-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.12&CDS=1-942	YCL064C, YIL167W
OG0000317	augustus_masked-LBNK01000008.1-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.30&CDS=1-2667	YDR213W, YLR228C
OG0000318	augustus_masked-LBNK01000008.1-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-2.25&CDS=1-444	YDL083C, YMR143W
OG0000319	augustus_masked-LBNK01000008.1-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-2.29&CDS=1-357	YER131W, YGL189C
OG0000320	augustus_masked-LBNK01000008.1-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-2.32&CDS=1-564	YBL027W, YBR084C-A
OG0000321	augustus_masked-LBNK01000008.1-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-3.13&CDS=1-411	YBR210W, YGL054C
OG0000322	augustus_masked-LBNK01000008.1-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-4.113&CDS=1-474	YBR191W, YPL079W
OG0000323	augustus_masked-LBNK01000008.1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-4.89&CDS=1-1407	YCL040W, YDR516C
OG0000324	snap_masked-LBNK01000008.1-processed-gene-4.50-mRNA-1_1&gene=snap_masked-LBNK01000008.1-processed-gene-4.50&CDS=1-2886	YDR251W, YPL032C
OG0000325	augustus_masked-LBNK01000008.1-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-4.92&CDS=1-459	YDR252W, YPL037C
OG0000326	augustus_masked-LBNK01000008.1-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-4.124&CDS=1-360	YGR243W, YHR162W
OG0000327	augustus_masked-LBNK01000008.1-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-4.100&CDS=1-1113	YGR010W, YLR328W
OG0000328	genemark-LBNK01000008.1-processed-gene-4.176-mRNA-1_1&gene=genemark-LBNK01000008.1-processed-gene-4.176&CDS=1-855	YFL059W, YNL333W
OG0000329	augustus_masked-LBNK01000009.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-0.70&CDS=1-1920	YEL065W, YHL040C
OG0000330	augustus_masked-LBNK01000009.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-0.52&CDS=1-2217, augustus_masked-LBNK01000013.1-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.101&CDS=1-2187	YHL016C
OG0000331	augustus_masked-LBNK01000009.1-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-1.18&CDS=1-2559	YKL072W, YMR053C
OG0000332	augustus_masked-LBNK01000009.1-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-2.127&CDS=1-1281	YBL089W, YER119C
OG0000333	augustus_masked-LBNK01000009.1-processed-gene-2.182-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-2.182&CDS=1-1005	YML118W, YMR285C
OG0000334	augustus_masked-LBNK01000009.1-processed-gene-2.185-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-2.185&CDS=1-276	YJR094W-A, YPR043W
OG0000335	augustus_masked-LBNK01000009.1-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-2.142&CDS=1-792	YHL033C, YLL045C
OG0000336	snap_masked-LBNK01000009.1-processed-gene-2.245-mRNA-1_1&gene=snap_masked-LBNK01000009.1-processed-gene-2.245&CDS=1-390, snap_masked-LBNK01000009.1-processed-gene-2.246-mRNA-1_1&gene=snap_masked-LBNK01000009.1-processed-gene-2.246&CDS=1-2556	YDR495C
OG0000337	augustus_masked-LBNK01000009.1-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-2.145&CDS=1-3696	YAR042W, YDL019C
OG0000338	augustus_masked-LBNK01000009.1-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-2.146&CDS=1-1449	YGR121C, YPR138C
OG0000339	augustus_masked-LBNK01000010.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LBNK01000010.1-processed-gene-0.62&CDS=1-1128	YCR094W, YNR048W
OG0000340	augustus_masked-LBNK01000010.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-LBNK01000010.1-processed-gene-0.66&CDS=1-3792	YJL083W, YKR019C
OG0000341	augustus_masked-LBNK01000010.1-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-LBNK01000010.1-processed-gene-1.35&CDS=1-1671, augustus_masked-LBNK01000010.1-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-LBNK01000010.1-processed-gene-2.69&CDS=1-1719	YDL174C
OG0000342	augustus_masked-LBNK01000010.1-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-LBNK01000010.1-processed-gene-2.67&CDS=1-2118	YDR264C, YOR034C
OG0000343	snap_masked-LBNK01000010.1-processed-gene-2.33-mRNA-1_1&gene=snap_masked-LBNK01000010.1-processed-gene-2.33&CDS=1-1251	YDR312W, YHR066W
OG0000344	augustus_masked-LBNK01000010.1-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-LBNK01000010.1-processed-gene-2.110&CDS=1-1032	YAL015C, YOL043C
OG0000345	augustus_masked-LBNK01000011.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LBNK01000011.1-processed-gene-0.9&CDS=1-588	YDL082W, YMR142C
OG0000346	augustus_masked-LBNK01000011.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LBNK01000011.1-processed-gene-0.28&CDS=1-1317	YLR260W, YOR171C
OG0000347	augustus_masked-LBNK01000011.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LBNK01000011.1-processed-gene-0.14&CDS=1-2940	YGL008C, YPL036W
OG0000348	augustus_masked-LBNK01000011.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LBNK01000011.1-processed-gene-0.40&CDS=1-402	YER074W, YIL069C
OG0000349	augustus_masked-LBNK01000011.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-LBNK01000011.1-processed-gene-1.62&CDS=1-1617	YDR501W, YLR183C
OG0000350	augustus_masked-LBNK01000011.1-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-LBNK01000011.1-processed-gene-1.74&CDS=1-936	YBR104W, YPR058W
OG0000351	augustus_masked-LBNK01000012.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-0.86&CDS=1-531	YDR185C, YLR168C
OG0000352	augustus_masked-LBNK01000012.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-0.88&CDS=1-1890	YDR263C, YOR033C
OG0000353	augustus_masked-LBNK01000012.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-0.93&CDS=1-2097	YBR169C, YPL106C
OG0000354	augustus_masked-LBNK01000012.1-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-0.94&CDS=1-1656	YDR497C, YOL103W
OG0000355	augustus_masked-LBNK01000012.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-0.100&CDS=1-759	YFR031C-A, YIL018W
OG0000356	augustus_masked-LBNK01000012.1-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-1.135&CDS=1-2910	YGL049C, YGR162W
OG0000357	augustus_masked-LBNK01000012.1-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-1.141&CDS=1-1407	YJL105W, YKR029C
OG0000358	augustus_masked-LBNK01000012.1-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-1.127&CDS=1-1914	YKR072C, YOR054C
OG0000359	augustus_masked-LBNK01000013.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-0.0&CDS=1-4212	YGL133W, YPL216W
OG0000360	augustus_masked-LBNK01000013.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-0.21&CDS=1-1050	YBR042C, YDR018C
OG0000361	augustus_masked-LBNK01000013.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-0.4&CDS=1-3765	YBL079W, YER105C
OG0000362	augustus_masked-LBNK01000013.1-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.77&CDS=1-2757	YJL084C, YKR021W
OG0000363	augustus_masked-LBNK01000013.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.78&CDS=1-267	YER019C-A, YER087C-B
OG0000364	augustus_masked-LBNK01000013.1-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.107&CDS=1-1230, snap_masked-LBNK01000014.1-processed-gene-0.218-mRNA-1_1&gene=snap_masked-LBNK01000014.1-processed-gene-0.218&CDS=1-891	YOL080C
OG0000365	augustus_masked-LBNK01000013.1-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.111&CDS=1-1086	YDL022W, YOL059W
OG0000366	augustus_masked-LBNK01000014.1-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-LBNK01000014.1-processed-gene-0.113&CDS=1-2610	YER066W, YFL009W
OG0000367	augustus_masked-LBNK01000014.1-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-LBNK01000014.1-processed-gene-0.169&CDS=1-1695	YDL085W, YMR145C
OG0000368	augustus_masked-LBNK01000014.1-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-LBNK01000014.1-processed-gene-0.170&CDS=1-735	YGR248W, YHR163W
OG0000369	augustus_masked-LBNK01000015.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LBNK01000015.1-processed-gene-0.3&CDS=1-840	YLR270W, YOR173W
OG0000370	augustus_masked-LBNK01000015.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-LBNK01000015.1-processed-gene-0.34&CDS=1-2043	YER064C, YIL056W
OG0000371	snap_masked-LBNK01000015.1-processed-gene-0.153-mRNA-1_1&gene=snap_masked-LBNK01000015.1-processed-gene-0.153&CDS=1-2478	YOR256C, YPL176C
OG0000372	snap_masked-LBNK01000016.1-processed-gene-0.142-mRNA-1_1&gene=snap_masked-LBNK01000016.1-processed-gene-0.142&CDS=1-2637	YFL042C, YLR072W
